,Anime_ID,Title,Type,Season,Year,Character,Character_ID,Character_Favorites,Personnel_ID,Personnel_Name,Role_Main,Role_Supporting
98,721,Princess Tutu,TV,Summer,2002.0,Drosselmeyer,1053,60,10007,Noboru Mitani,False,True
247,60551,Hyakushou Kizoku 3rd Season,TV,Fall,2025.0,"Arakawa, Hiromu",228789,2,10013,Tamura Mutsumi,True,False
248,59897,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,Movie,,2025.0,Kobayashi,136726,3090,10013,Tamura Mutsumi,True,False
249,51818,Enen no Shouboutai: San no Shou,TV,Spring,2025.0,"Son, Nataku",179670,4,10013,Tamura Mutsumi,False,True
250,57827,Mashin Souzouden Wataru,TV,Winter,2025.0,"Hoshibe, Wataru",255081,1,10013,Tamura Mutsumi,True,False
251,57592,Dr. Stone: Science Future,TV,Winter,2025.0,"Ooki, Taiju",148992,285,10013,Tamura Mutsumi,True,False
252,57066,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,TV,Fall,2024.0,"Deimne, Finne",116205,35,10013,Tamura Mutsumi,False,True
253,57562,Hyakushou Kizoku 2nd Season,TV,Fall,2024.0,"Arakawa, Hiromu",228789,2,10013,Tamura Mutsumi,True,False
254,57567,Shy 2nd Season,TV,Summer,2024.0,Stigma,182302,2,10013,Tamura Mutsumi,False,True
255,52588,Kaijuu 8-gou,TV,Spring,2024.0,"Nakanoshima, Tae",208765,1,10013,Tamura Mutsumi,False,True
256,51461,Tonari no Youkai-san,TV,Spring,2024.0,"Ooishi, Takumi",243775,1,10013,Tamura Mutsumi,False,True
257,56980,Karasu wa Aruji wo Erabanai,TV,Spring,2024.0,Yukiya,242172,30,10013,Tamura Mutsumi,True,False
258,57160,Sand Land: The Series,ONA,,2024.0,Beelzebub,7241,23,10013,Tamura Mutsumi,True,False
259,53590,Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,TV,Winter,2024.0,Sora,229168,30,10013,Tamura Mutsumi,True,False
260,54743,Dead Mount Death Play Part 2,TV,Fall,2023.0,"Byandiraz, Framrodia",234553,1,10013,Tamura Mutsumi,False,True
261,55742,Mahoutsukai no Yome Season 2 Part 2,TV,Fall,2023.0,"Swayne, Alice",149024,20,10013,Tamura Mutsumi,False,True
262,53237,Shy,TV,Fall,2023.0,Stigma,182302,2,10013,Tamura Mutsumi,False,True
263,54803,Captain Tsubasa Season 2: Junior Youth-hen,TV,Fall,2023.0,"Ishizaki, Ryou",46468,20,10013,Tamura Mutsumi,False,True
264,53882,Sand Land,Movie,,2023.0,Beelzebub,7241,23,10013,Tamura Mutsumi,True,False
265,53426,Hyakushou Kizoku,TV,Summer,2023.0,"Arakawa, Hiromu",228789,2,10013,Tamura Mutsumi,True,False
266,46422,Niehime to Kemono no Ou,TV,Spring,2023.0,Fenrir,224969,2,10013,Tamura Mutsumi,False,True
267,53613,Dead Mount Death Play,TV,Spring,2023.0,"Byandiraz, Framrodia",234553,1,10013,Tamura Mutsumi,False,True
268,52955,Mahoutsukai no Yome Season 2,TV,Spring,2023.0,"Swayne, Alice",149024,20,10013,Tamura Mutsumi,False,True
269,54040,Tousouchuu: Great Mission,TV,Spring,2023.0,"Genmu, Tarot",246939,1,10013,Tamura Mutsumi,False,True
270,50287,Kyuuketsuki Sugu Shinu 2,TV,Winter,2023.0,John,171299,615,10013,Tamura Mutsumi,True,False
271,49154,High Card,TV,Winter,2023.0,"Oldman, Finn",206798,55,10013,Tamura Mutsumi,True,False
272,50284,Technoroid: Overmind,TV,Winter,2023.0,"Shibaura, Esora",219491,1,10013,Tamura Mutsumi,True,False
273,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,,2022.0,"Costello, Ermes",13369,411,10013,Tamura Mutsumi,True,False
274,49938,Ame wo Tsugeru Hyouryuu Danchi,Movie,,2022.0,"Kumagaya, Kousuke",209966,8,10013,Tamura Mutsumi,True,False
275,51367,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,ONA,,2022.0,"Costello, Ermes",13369,411,10013,Tamura Mutsumi,True,False
276,52020,Sekai no Owari ni Shiba Inu to,ONA,,2022.0,Haru-san,174164,7,10013,Tamura Mutsumi,True,False
277,50891,Hoshi no Samidare,TV,Summer,2022.0,"Akane, Taiyou",41865,9,10013,Tamura Mutsumi,False,True
278,48895,Overlord IV,TV,Summer,2022.0,"Beiron, Ninya",119081,2,10013,Tamura Mutsumi,False,True
279,48548,5-toubun no Hanayome Movie,Movie,,2022.0,"Uesugi, Fuutarou",159332,1163,10013,Tamura Mutsumi,True,False
280,42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,Spring,2022.0,Lutz,172399,66,10013,Tamura Mutsumi,False,True
281,51616,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,TV Special,,2022.0,Lutz,172399,66,10013,Tamura Mutsumi,True,False
282,43693,Thermae Romae Novae,ONA,,2022.0,"Pietoras, Marcus",53987,1,10013,Tamura Mutsumi,False,True
283,49909,Kotarou wa Hitorigurashi,ONA,,2022.0,"Takei, Sumire",207002,5,10013,Tamura Mutsumi,False,True
284,49893,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,Special,,2022.0,Kobayashi,136726,3090,10013,Tamura Mutsumi,True,False
285,49969,Tribe Nine,TV,Winter,2022.0,"Mita, Santarou",202217,1,10013,Tamura Mutsumi,True,False
286,48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,,2021.0,"Costello, Ermes",13369,411,10013,Tamura Mutsumi,True,False
287,41833,Kyuuketsuki Sugu Shinu,TV,Fall,2021.0,John,171299,615,10013,Tamura Mutsumi,True,False
288,49515,Digimon Ghost Game,TV,Fall,2021.0,"Amanokawa, Hiro",201849,5,10013,Tamura Mutsumi,True,False
289,49457,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,OVA,,2021.0,"Stuart, Alan",166520,99,10013,Tamura Mutsumi,True,False
290,38400,Free! Movie 4: The Final Stroke - Zenpen,Movie,,2021.0,"Toono, Hiyori",158607,19,10013,Tamura Mutsumi,False,True
291,39247,Kobayashi-san Chi no Maid Dragon S,TV,Summer,2021.0,Kobayashi,136726,3090,10013,Tamura Mutsumi,True,False
292,49483,Mini Dragon Specials,Special,,2021.0,Kobayashi,136726,3090,10013,Tamura Mutsumi,True,False
293,42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,TV,Summer,2021.0,"Stuart, Alan",166520,99,10013,Tamura Mutsumi,True,False
294,44273,Mewkledreamy Mix!,TV,Spring,2021.0,Rei,184545,1,10013,Tamura Mutsumi,True,False
295,48590,Mini Dragon,ONA,,2021.0,Kobayashi,136726,3090,10013,Tamura Mutsumi,True,False
296,46095,Vivy: Fluorite Eye's Song,TV,Spring,2021.0,"Saeki, Tatsuya",196396,3,10013,Tamura Mutsumi,False,True
