,Title,Link
0,One Punch Man,https://myanimelist.net/anime/30276/One_Punch_Man
1,Noragami Aragoto,https://myanimelist.net/anime/30503/Noragami_Aragoto
2,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
3,Rakudai Kishi no Cavalry,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry
4,Owari no Seraph: Nagoya Kessen-hen,https://myanimelist.net/anime/28927/Owari_no_Seraph__Nagoya_Kessen-hen
5,Gakusen Toshi Asterisk,https://myanimelist.net/anime/30544/Gakusen_Toshi_Asterisk
6,Owarimonogatari,https://myanimelist.net/anime/31181/Owarimonogatari
7,Shinmai Maou no Testament Burst,https://myanimelist.net/anime/30363/Shinmai_Maou_no_Testament_Burst
8,K: Return of Kings,https://myanimelist.net/anime/27991/K__Return_of_Kings
9,Taimadou Gakuen 35 Shiken Shoutai,https://myanimelist.net/anime/24133/Taimadou_Gakuen_35_Shiken_Shoutai
10,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",https://myanimelist.net/anime/25099/Ore_ga_Ojousama_Gakkou_ni_Shomin_Sample_Toshite_Gets♥Sareta_Ken
11,Shingeki! Kyojin Chuugakkou,https://myanimelist.net/anime/31374/Shingeki_Kyojin_Chuugakkou
12,Kidou Senshi Gundam: Tekketsu no Orphans,https://myanimelist.net/anime/31251/Kidou_Senshi_Gundam__Tekketsu_no_Orphans
13,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,https://myanimelist.net/anime/30187/Sakurako-san_no_Ashimoto_ni_wa_Shitai_ga_Umatteiru
14,Subete ga F ni Naru,https://myanimelist.net/anime/28621/Subete_ga_F_ni_Naru
15,Osomatsu-san,https://myanimelist.net/anime/31174/Osomatsu-san
16,"Diabolik Lovers More,Blood",https://myanimelist.net/anime/29974/Diabolik_Lovers_MoreBlood
17,Heavy Object,https://myanimelist.net/anime/27829/Heavy_Object
18,Pokemon XY&Z,https://myanimelist.net/anime/31592/Pokemon_XY_Z
19,Valkyrie Drive: Mermaid,https://myanimelist.net/anime/30385/Valkyrie_Drive__Mermaid
20,Gochuumon wa Usagi desu ka??,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_desu_ka
21,Dance with Devils,https://myanimelist.net/anime/29976/Dance_with_Devils
22,Yuru Yuri San☆Hai!,https://myanimelist.net/anime/30279/Yuru_Yuri_San☆Hai
23,Utawarerumono: Itsuwari no Kamen,https://myanimelist.net/anime/30901/Utawarerumono__Itsuwari_no_Kamen
24,Comet Lucifer,https://myanimelist.net/anime/31318/Comet_Lucifer
25,Hidan no Aria AA,https://myanimelist.net/anime/28883/Hidan_no_Aria_AA
26,Concrete Revolutio: Choujin Gensou,https://myanimelist.net/anime/31147/Concrete_Revolutio__Choujin_Gensou
27,Young Black Jack,https://myanimelist.net/anime/30740/Young_Black_Jack
28,Komori-san wa Kotowarenai!,https://myanimelist.net/anime/31091/Komori-san_wa_Kotowarenai
29,Lupin III (2015),https://myanimelist.net/anime/27947/Lupin_III_2015
30,Hacka Doll The Animation,https://myanimelist.net/anime/30721/Hacka_Doll_The_Animation
31,Lance N' Masques,https://myanimelist.net/anime/24011/Lance_N_Masques
32,Starmyu,https://myanimelist.net/anime/30375/Starmyu
33,Kowabon,https://myanimelist.net/anime/30948/Kowabon
34,Anitore! EX,https://myanimelist.net/anime/31519/Anitore_EX
35,Kagewani,https://myanimelist.net/anime/30524/Kagewani
36,Garo: Guren no Tsuki,https://myanimelist.net/anime/28537/Garo__Guren_no_Tsuki
37,Onsen Yousei Hakone-chan,https://myanimelist.net/anime/31143/Onsen_Yousei_Hakone-chan
38,Teekyuu 6,https://myanimelist.net/anime/31440/Teekyuu_6
39,Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,https://myanimelist.net/anime/30549/Soukyuu_no_Fafner__Dead_Aggressor_-_Exodus_Part_2
40,Miss Monochrome The Animation 3,https://myanimelist.net/anime/31560/Miss_Monochrome_The_Animation_3
41,Tantei Team KZ Jiken Note,https://myanimelist.net/anime/31221/Tantei_Team_KZ_Jiken_Note
42,Fushigi na Somera-chan,https://myanimelist.net/anime/30746/Fushigi_na_Somera-chan
43,Kindaichi Shounen no Jikenbo Returns 2nd Season,https://myanimelist.net/anime/31227/Kindaichi_Shounen_no_Jikenbo_Returns_2nd_Season
44,JK Meshi!,https://myanimelist.net/anime/31578/JK_Meshi
45,Cardfight!! Vanguard G: GIRS Crisis-hen,https://myanimelist.net/anime/31196/Cardfight_Vanguard_G__GIRS_Crisis-hen
46,Ame-iro Cocoa: Rainy Color e Youkoso!,https://myanimelist.net/anime/31139/Ame-iro_Cocoa__Rainy_Color_e_Youkoso
