,Title,Link
0,H2,https://myanimelist.net/anime/386/H2
1,Nurse Angel Ririka SOS,https://myanimelist.net/anime/616/Nurse_Angel_Ririka_SOS
2,Dragon Ball Z,https://myanimelist.net/anime/813/Dragon_Ball_Z
3,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk
4,Shin Kidou Senki Gundam Wing,https://myanimelist.net/anime/90/Shin_Kidou_Senki_Gundam_Wing
5,Slayers,https://myanimelist.net/anime/534/Slayers
6,Bishoujo Senshi Sailor Moon SuperS,https://myanimelist.net/anime/1239/Bishoujo_Senshi_Sailor_Moon_SuperS
7,Fushigi Yuugi,https://myanimelist.net/anime/123/Fushigi_Yuugi
8,Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan
9,Tenchi Muyou!,https://myanimelist.net/anime/696/Tenchi_Muyou
10,Doraemon (1979),https://myanimelist.net/anime/2471/Doraemon_1979
11,Marmalade Boy,https://myanimelist.net/anime/334/Marmalade_Boy
12,Romeo no Aoi Sora,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
13,Magic Knight Rayearth II,https://myanimelist.net/anime/1563/Magic_Knight_Rayearth_II
14,Macross 7,https://myanimelist.net/anime/1397/Macross_7
15,Captain Tsubasa J,https://myanimelist.net/anime/1674/Captain_Tsubasa_J
16,Street Fighter II V,https://myanimelist.net/anime/876/Street_Fighter_II_V
17,Ai Tenshi Densetsu Wedding Peach,https://myanimelist.net/anime/1533/Ai_Tenshi_Densetsu_Wedding_Peach
18,Ike! Ina-chuu Takkyuu-bu,https://myanimelist.net/anime/914/Ike_Ina-chuu_Takkyuu-bu
19,Kishin Douji Zenki,https://myanimelist.net/anime/1573/Kishin_Douji_Zenki
20,Mahoujin Guruguru,https://myanimelist.net/anime/331/Mahoujin_Guruguru
21,Ai to Yuuki no Pig Girl Tonde Buurin,https://myanimelist.net/anime/2041/Ai_to_Yuuki_no_Pig_Girl_Tonde_Buurin
22,Sazae-san,https://myanimelist.net/anime/2406/Sazae-san
23,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou
24,Ninkuu,https://myanimelist.net/anime/912/Ninkuu
25,Kiteretsu Daihyakka,https://myanimelist.net/anime/6509/Kiteretsu_Daihyakka
26,Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
27,Sore Ike! Anpanman,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman
28,Azuki-chan,https://myanimelist.net/anime/1893/Azuki-chan
29,Ougon Yuusha Goldran,https://myanimelist.net/anime/5440/Ougon_Yuusha_Goldran
30,Tobe! Isami,https://myanimelist.net/anime/3036/Tobe_Isami
31,Juuni Senshi Bakuretsu Eto Ranger,https://myanimelist.net/anime/2757/Juuni_Senshi_Bakuretsu_Eto_Ranger
32,Juusenshi Gulkeeva,https://myanimelist.net/anime/3099/Juusenshi_Gulkeeva
33,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,https://myanimelist.net/anime/6472/Gakkou_no_Kowai_Uwasa__Hanako-san_ga_Kita
34,Kyouryuu Boukenki Jura Tripper,https://myanimelist.net/anime/2487/Kyouryuu_Boukenki_Jura_Tripper
35,Kuusou Kagaku Sekai Gulliver Boy,https://myanimelist.net/anime/2980/Kuusou_Kagaku_Sekai_Gulliver_Boy
36,Bonobono (TV),https://myanimelist.net/anime/4286/Bonobono_TV
37,Pokonyan!,https://myanimelist.net/anime/6779/Pokonyan
38,Sekai Meisaku Douwa: Wow! Maerchen Oukoku,https://myanimelist.net/anime/7245/Sekai_Meisaku_Douwa__Wow_Maerchen_Oukoku
39,Shima Shima Tora no Shimajirou,https://myanimelist.net/anime/9768/Shima_Shima_Tora_no_Shimajirou
40,Oyako Club,https://myanimelist.net/anime/12393/Oyako_Club
41,Alice Tantei Kyoku,https://myanimelist.net/anime/18819/Alice_Tantei_Kyoku
42,Narara Superboard,https://myanimelist.net/anime/32136/Narara_Superboard
43,Bit the Cupid,https://myanimelist.net/anime/9812/Bit_the_Cupid
44,Yanbou Ninbou Tonbou,https://myanimelist.net/anime/12793/Yanbou_Ninbou_Tonbou
45,Kuma no Puutarou,https://myanimelist.net/anime/11197/Kuma_no_Puutarou
46,Asobo Toy-chan,https://myanimelist.net/anime/21553/Asobo_Toy-chan
47,Fushigi na Ano Ko wa Suteki na Kono Ko,https://myanimelist.net/anime/30121/Fushigi_na_Ano_Ko_wa_Suteki_na_Kono_Ko
48,Stray Sheep no Daibouken,https://myanimelist.net/anime/55285/Stray_Sheep_no_Daibouken
49,Tenchi Muyou! Ryououki 2nd Season,https://myanimelist.net/anime/540/Tenchi_Muyou_Ryououki_2nd_Season
50,Ranma ½ Super,https://myanimelist.net/anime/1011/Ranma_½_Super
51,3x3 Eyes: Seima Densetsu,https://myanimelist.net/anime/1225/3x3_Eyes__Seima_Densetsu
52,Keiraku no Houteishiki Level-C,https://myanimelist.net/anime/736/Keiraku_no_Houteishiki_Level-C
53,Mahou Shoujo Pretty Sammy,https://myanimelist.net/anime/1918/Mahou_Shoujo_Pretty_Sammy
54,Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,https://myanimelist.net/anime/2473/Ginga_Ojousama_Densetsu_Yuna__Kanashimi_no_Siren
55,Ranma ½: DoCo Music Video,https://myanimelist.net/anime/10824/Ranma_½__DoCo_Music_Video
56,Elf no Wakaokusama,https://myanimelist.net/anime/1332/Elf_no_Wakaokusama
57,Rakushou! Hyper Doll,https://myanimelist.net/anime/2522/Rakushou_Hyper_Doll
58,Yuuwaku Countdown,https://myanimelist.net/anime/1383/Yuuwaku_Countdown
59,Idol Project,https://myanimelist.net/anime/2072/Idol_Project
60,Injuu Seisen: Twin Angels,https://myanimelist.net/anime/3569/Injuu_Seisen__Twin_Angels
61,Bishoujo Yuugekitai Battle Skipper,https://myanimelist.net/anime/1528/Bishoujo_Yuugekitai_Battle_Skipper
62,Magical Twilight,https://myanimelist.net/anime/3078/Magical_Twilight
63,Visionary,https://myanimelist.net/anime/4700/Visionary
64,Injuu Onna Kyoushi,https://myanimelist.net/anime/5649/Injuu_Onna_Kyoushi
65,Mechano: Scientific Attack Force,https://myanimelist.net/anime/24259/Mechano__Scientific_Attack_Force
66,Konchuu Tsurezuregusa,https://myanimelist.net/anime/16263/Konchuu_Tsurezuregusa
67,Yamiyo no Jidaigeki (OVA),https://myanimelist.net/anime/23767/Yamiyo_no_Jidaigeki_OVA
68,Mimi wo Sumaseba,https://myanimelist.net/anime/585/Mimi_wo_Sumaseba
69,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,https://myanimelist.net/anime/906/Dragon_Ball_Z_Movie_13__Ryuuken_Bakuhatsu_Gokuu_ga_Yaraneba_Dare_ga_Yaru
70,Slayers: The Motion Picture,https://myanimelist.net/anime/536/Slayers__The_Motion_Picture
71,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,https://myanimelist.net/anime/2499/Slam_Dunk__Hoero_Basketman-damashii_Hanamichi_to_Rukawa_no_Atsuki_Natsu
72,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,https://myanimelist.net/anime/1400/Macross_7_Movie__Ginga_ga_Ore_wo_Yondeiru
73,Anne no Nikki,https://myanimelist.net/anime/3829/Anne_no_Nikki
74,Hajimari no Boukensha-tachi: Legend of Crystania,https://myanimelist.net/anime/515/Hajimari_no_Boukensha-tachi__Legend_of_Crystania
75,Ninkuu (Movie),https://myanimelist.net/anime/2851/Ninkuu_Movie
76,Bulg-eunmae,https://myanimelist.net/anime/1776/Bulg-eunmae
77,Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!,https://myanimelist.net/anime/10058/Sore_Ike_Anpanman__Yuurei_Sen_wo_Yattsukero
78,Kazu & Yasu Hero Tanjou,https://myanimelist.net/anime/20143/Kazu___Yasu_Hero_Tanjou
79,Sore Ike! Anpanman: Anpanman to Happy Otanjoubi,https://myanimelist.net/anime/21933/Sore_Ike_Anpanman__Anpanman_to_Happy_Otanjoubi
80,Katta-kun Monogatari,https://myanimelist.net/anime/21101/Katta-kun_Monogatari
81,Top wo Nerae! Kagaku Kouza,https://myanimelist.net/anime/5462/Top_wo_Nerae_Kagaku_Kouza
82,Lupin III: Harimao no Zaihou wo Oe!!,https://myanimelist.net/anime/1434/Lupin_III__Harimao_no_Zaihou_wo_Oe
83,Macross 7 Plus,https://myanimelist.net/anime/6209/Macross_7_Plus
84,Tenchi Muyou! Ryououki 2nd Season Picture Drama,https://myanimelist.net/anime/10351/Tenchi_Muyou_Ryououki_2nd_Season_Picture_Drama
85,Private Eye Dol,https://myanimelist.net/anime/25983/Private_Eye_Dol
86,Crayon Shin-chan Specials,https://myanimelist.net/anime/41880/Crayon_Shin-chan_Specials
87,Kyouryou Pikora,https://myanimelist.net/anime/29493/Kyouryou_Pikora
88,Slime Boukenki,https://myanimelist.net/anime/60018/Slime_Boukenki
