,Japanese,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genre,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synopsis,Related_Entries,Title,English,Genres
0,钢铁之城,['Movie'],1,Finished Airing,"Jun 3, 2024","None found,","None found,","None found,",Original,['Sci-Fi'],1 hr.,PG-13 - Teens 13 or older,[],#20638,#24461,98,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Gangtie Zhi Cheng,,
1,ルカと太陽の花,['TV Special'],1,Finished Airing,"Apr 26, 2024",['NHK'],"None found,",['Tomoyasu Murata Company'],Original,,29 min.,G - All Ages,[],#17253,#22793,137,0,"A story set in a village covered with clouds depicting the bond between a young boy, Luka, and his childhood friend, Rosa. One day Rosa, who has the power of the sun, hears from a mysterious duo named Kiyu and Orico that there is a way to clear the clouds. Meanwhile, Luka is attracted to a traveling band that visits the village, and decides to leave the village. (Source: NHK, translated)",[],Luka to Taiyou no Hana,Luka and the Flower of the Sun,"['Adventure', 'Fantasy']"
