,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographics
30,Sigururi,戦翼のシグルドリーヴァ,Warlords of Sigrdrifa,Warlords of Sigrdrifa,,Warlords no Sigrdrifa,['TV'],12,Finished Airing,"Oct 3, 2020 to Dec 26, 2020",['Fall 2020'],Saturdays at 23:30 (JST),"['Aniplex', 'Good Smile Company', 'Contents Seed', 'Sonilude']",['Funimation'],['A-1 Pictures'],Original,,['Military'],,25 min. per ep.,PG-13 - Teens 13 or older,6.45,#7419,#3369,"47,902",72,14991,"When humanity is driven to the brink of despair by an alien threat called Pillars, a self-proclaimed god named Odin appears and bestows upon the people the power of ""Valkyries""—battle maidens who pilot vintage aircraft called Hero Wings. Claudia ""Schwertleite"" Bruford is the ace of the European Valkyrie Wing. When Japan's S-class Valkyrie passes away in battle, Claudia is relocated to Japan as a replacement. However, with a dark record of being the sole survivor in every mission that results in being nicknamed ""Grim Reaper,"" she suspects she already knows why she was chosen. Prepared to be shunned yet again, she arrives at the Tateyama Valkyrie Wing. Little does she know, her new comrades are a bunch of oddballs who have zero intention of accepting her dreadful nickname! [Written by MAL Rewrite]",[],Senyoku no Sigrdrifa,['Action'],,
31,Dig Delight Direct Drive DJ,D4DJ First Mix,D4DJ First Mix,D4DJ First Mix,D4DJ First Mix,D4DJ First Mix,['TV'],13,Finished Airing,"Oct 30, 2020 to Jan 29, 2021",['Fall 2020'],Fridays at 23:00 (JST),['Bushiroad'],['Sentai Filmworks'],['SANZIGEN'],Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,7.61,#1537,#3542,"44,201",518,17539,"Having lived abroad in Africa for most of her life, Rinku Aimoto is now returning to Japan to attend Yoba Academy, a school where DJ units—groups made up of DJs, vocalists, and dancers—are extremely popular. There, she meets Maho Akashi, an aspiring DJ who teaches Rinku the basics of DJing. The girls attend a performance by Yoba's famous DJ unit Peaky P-key, and struck by inspiration, they decide to form a unit of their own. Rinku and Maho soon recruit Muni Oonaruto, a talented artist and Rinku's childhood friend, as well as Rei Togetsu, a shy and caring pianist. Newly named Happy Around, the group aims to use the budding friendships and combined talents of its members to become one of the top DJ units in the country. [Written by MAL Rewrite]","['Sequel (TV) D4DJ All Mix', '']",D4DJ First Mix,,"['Idols (Female)', 'Music', 'School']",
32,OchiFuru,おちこぼれフルーツタルト,Dropout Idol Fruit Tart,Dropout Idol Fruit Tart,,Dropout Idol Fruit Tart,['TV'],12,Finished Airing,"Oct 12, 2020 to Dec 28, 2020",['Fall 2020'],Mondays at 21:30 (JST),"['AT-X', 'Studio Mausu', 'Houbunsha', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']",['Funimation'],['feel.'],['4-koma manga'],,,,23 min. per ep.,PG-13 - Teens 13 or older,6.77,#5513,#3673,"41,337",87,12393,"Ino Sakura has just moved to Tokyo to join the newly formed Fruit Tart, an idol group composed of three members besides herself—Roko Sekino, a washed-up child actor; Hayu Nukui, a failed musician; and Nina Maehara, a model who is still waiting for her first gig. They soon begin their new life together in their dormitory, the Mouse House. But there is no time to get settled as the girls awaken to a shocking reality: Fruit Tart is in a deep debt of one hundred million yen and has not even started yet! With the possibility of Fruit Tart breaking up and the Mouse House being torn down if they cannot repay the money, the girls must work their way up from the bottom of idol society by making a name for themselves and writing their own songs. Luckily, Hemo Midori, an experienced idol, is a huge fan of Sakura and decides to join the group. With smiles on their faces, Sakura and the other girls work hard to become popular idols while making sure that each day is as fun as the last. [Written by MAL Rewrite]","['Adaptation (Manga) Ochikobore Fruit Tart', '']",Ochikobore Fruit Tart,['Slice of Life'],"['CGDCT', 'Idols (Female)', 'Music']",
33,MWZ,禍つヴァールハイト -ZUERST-,MAGATSU WAHRHEIT,,,,['TV'],12,Finished Airing,"Oct 13, 2020 to Dec 29, 2020",['Fall 2020'],Tuesdays at 23:00 (JST),"['WOWOW', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Q-Tec', 'Chugai Mining', 'BS11', 'KLab', 'Marui Group', 'Bit grooove promotion']",['Funimation'],['Yokohama Animation Laboratory'],Game,"['Action', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),6.54,#6833,#3821,"38,226",64,12928,"In the technologically and magically advanced Wahrheit Empire, rumors of a returning catastrophe known only as the ""light"" causes a disturbance amongst the people. Meanwhile, in the capital of the Empire, transporter Innumael Grauer prepares his daily deliveries, struggling to make ends meet for himself and his sister. Leocadio Wöhler, a newly recruited soldier, assists Innumael whilst commuting to work—unknowingly loading a mysterious package containing contraband artillery belonging to a criminal organization. Innumael is accused of smuggling the package, facing possible execution due to the Empire's strict oversight of weapons in response to the rising disorder. However, unbeknownst to him, the very syndicate that placed him in this unfortunate predicament may save him from this fate, at least temporarily. Elsewhere, Leocadio is assigned his first mission—to apprehend the criminal group known as ""Headkeeper,"" suspected of transporting illegal weaponry. Magatsu Wahrheit: Zuerst follows these two young men on a journey encompassing the Wahrheit Empire, triggering a chain of events that will not only change their lives but also alter the course of the Empire as they know it. [Written by MAL Rewrite]",[],Magatsu Wahrheit: Zuerst,,,
34,One Room 3rd Season,One Room サードシーズン,,One Room Staffel 3,One Room Temporada 3,One Room Saison 3,['TV'],12,Finished Airing,"Oct 6, 2020 to Dec 22, 2020",['Fall 2020'],Tuesdays at 01:05 (JST),"None found,","None found,",['Zero-G'],Original,,,,4 min. per ep.,PG-13 - Teens 13 or older,6.43,#7509,#3876,"37,018",60,14231,Third season of One Room.,"['Prequel (TV) One Room: Second Season', '']",One Room: Third Season,['Slice of Life'],,
35,"Please Take My Brother Away 4, Kuai Ba Wo Ge Dai Zou 4",兄に付ける薬はない！4,,,,,['TV'],12,Finished Airing,"Oct 2, 2020 to Dec 18, 2020",['Fall 2020'],Unknown,"['Imagineer', 'Tencent Penguin Pictures', 'Planet Cartoon']","None found,",['Fanworks'],['Web manga'],,['School'],,3 min. per ep.,PG-13 - Teens 13 or older,7.59,#1586,#4202,"31,088",35,14386,"Shi Miao has a lot of experience dealing with her older brother's peculiar habits. After all her scolding, it is natural to expect that Shi Fen's antics would come to an end. But having spent their whole life together, it is obvious to Miao that some things never change—and maybe that is for the best. Despite his recklessness, Fen usually means well. As a result, a tight-knit friend group has formed around him and his sister. Joined by their classmates—Kai Xin, Wan Sui, and Miaomiao—the Shi siblings' tenure at high school continues to be an absolute spectacle. [Written by MAL Rewrite]","['Prequel (TV) Ani ni Tsukeru Kusuri wa Nai! 3', 'Sequel (ONA) Ani ni Tsukeru Kusuri wa Nai! 5', 'Adaptation (Manhua) Kuai Ba Wo Ge Dai Zou', '']",Ani ni Tsukeru Kusuri wa Nai! 4,['Comedy'],,
36,Maitetsu,レヱル・ロマネスク,,,,,['TV'],12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",['Fall 2020'],Saturdays at 01:00 (JST),"None found,","None found,",['Saetta'],Visual novel,,,,3 min. per ep.,PG-13 - Teens 13 or older,5.17,#12936,#4213,"30,943",26,11287,"The year is 1989. After the nation of Hinomoto was destabilized during the past World War, the rise of new technologies has enabled its revitalization. Modern engineering has given birth to aircraft, gasoline engines, and geomagnetic technology—revolutionizing transportation. Railroads have been rendered nearly obsolete and replaced by more efficient modes of transit. However, a group of lively ""Raillords"" aims to renew the railroads' former glory. The Raillords, personified as energetic and spirited girls, act as humanoid control modules for their assigned railways. They meet in Ohitoyo City for the Raillord Summit, headed by Suzushiro, a Raillord from Manoka Railways. Together, the group capitalizes on its teamwork to get the railroads back on track, ushering in a ""new railroad age."" [Written by MAL Rewrite]","['Sequel (TV) Rail Romanesque 2', '']",Rail Romanesque,['Slice of Life'],,
37,Strike Witches 3,第501統合戦闘航空団 ストライクウィッチーズ ROAD to BERLIN,,,,501st Joint Fighter Wing Strike Witches: Road to Berlin,['TV'],12,Finished Airing,"Oct 8, 2020 to Dec 24, 2020",['Fall 2020'],Thursdays at 01:05 (JST),"['Magic Capsule', 'Nippon Columbia', 'Docomo Anime Store', 'Sammy', 'Kadokawa Media House', 'DeNA', 'Kadokawa']",['Funimation'],['David Production'],Original,"['Action', 'Sci-Fi', 'Ecchi']",['Military'],,23 min. per ep.,PG-13 - Teens 13 or older,7.35,#2598,#4313,"29,532",97,8647,"Preparations for a new offensive against the Neuroi—a mysterious race of alien invaders—are well underway. The objective is securing Berlin, the capital city of the Empire of Karlsland, which is necessary for wiping out the Neuroi threat from Europe. However, as the enemy is capable of adapting to the battlefield on a daily basis, the allied forces and the current state of Striker technology might not be enough to achieve a victory. Meanwhile, Yoshika Miyafuji, a Witch from Fuso, continues her medical studies in Lausanne. Having recovered from a recent incident that deprived her of magical power, she is eager to assist in the war effort. The call to arms soon arrives and the scattered witches of the 501st Joint Fighter Wing must be gathered once again for a final push against the enemy. [Written by MAL Rewrite]","['Prequel (Movie) Strike Witches Movie', '']",Strike Witches: Road to Berlin,,,
38,Mr. Osomatsu 3,おそ松さん 第3期,,Mr. Osomatsu Staffel 3,Mr. Osomatsu Temporada 3,Osomatsu-san Saison 3,['TV'],25,Finished Airing,"Oct 13, 2020 to Mar 30, 2021",['Fall 2020'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'Dentsu', 'Rakuonsha', 'Avex Pictures', 'Daiichi Shokai']","None found,",['Pierrot'],['Manga'],,,,23 min. per ep.,R - 17+ (violence & profanity),7.40,#2375,#4737,"24,026",111,8368,Third season of Osomatsu-san.,"['Prequel (TV) Osomatsu-san 2nd Season', 'Sequel (TV) Osomatsu-san 4th Season', 'Adaptation (Manga) Osomatsu-san', '']",Osomatsu-san 3rd Season,['Comedy'],"['Gag Humor', 'Parody']",
39,Act! Addict! Actors! Season Autumn & Winter,A3! SEASON AUTUMN & WINTER,A3! Season Autumn & Winter,A3! StaffelAutumn & Winter,,A3! Saison Autumn & Winter,['TV'],12,Finished Airing,"Oct 13, 2020 to Dec 29, 2020",['Fall 2020'],Tuesdays at 00:00 (JST),"['Pony Canyon', 'Infinite']",['Funimation'],"['P.A. Works', 'Studio 3Hz']",Game,,['Performing Arts'],,23 min. per ep.,PG-13 - Teens 13 or older,7.25,#3098,#4766,"23,785",173,7550,"With the completion of the Summer Troupe's show, Izumi Tachibana must now recruit five members for the next sub-troupe, the Autumn Troupe. Luckily, enough people arrive at the audition: Banri Settsu, a talented but boastful jack of all trades; Juuza Hyoudou, a stone-faced delinquent passionate about acting; Taichi Nanao, a man wanting to impress girls through the stage; Omi Fushimi, a college student, amateur photographer, and adept cook; and Sakyou Furuichi, a yakuza member who shares a past connection with the Mankai Company. But between the non-existent teamwork and multiple threats jeopardizing the show's success, Izumi realizes that the troupe might be more difficult to handle than she first thought. How will she be able to unite them in time for their debut performance? [Written by MAL Rewrite]","['Prequel (TV) A3! Season Spring & Summer', 'Adaptation (Manga) A3! Autumn', 'Adaptation (Manga) A3! Winter', '']",A3! Season Autumn & Winter,['Drama'],,
40,,犬と猫どっちも飼ってると毎日たのしい,"With a Dog AND a Cat, Every Day is Fun","With a Dog AND a Cat, Evey Day is Fun","With a Dog AND a Cat, Every Day is Fun","With a Dog AND a Cat, Every Day is Fun",['TV'],24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",['Fall 2020'],Saturdays at 01:50 (JST),"['Half H.P Studio', 'studioGONG']","None found,",['Team TillDawn'],['Web manga'],"['Comedy', 'Slice of Life']",['Pets'],,1 min. per ep.,G - All Ages,7.23,#3200,#5586,"15,934",43,8191,Matsumoto-san owns an innocent dog and an adorably devious cat. Laughing and crying ensue as they all live daily life together. (Source: MAL News),"['Adaptation (Manga) Inu to Neko Docchi mo Katteru to Mainichi Tanoshii', '']",Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,,,
41,Grablu!,ぐらぶるっ！,Grand Blues!,Grand Blues!,Grand Blues!,Grand Blues!,['TV'],12,Finished Airing,"Oct 8, 2020 to Dec 24, 2020",['Fall 2020'],Thursdays at 21:54 (JST),['dugout'],"None found,","['W-Toon Studio', 'DMM.futureworks']",['4-koma manga'],"['Adventure', 'Fantasy']",,,3 min. per ep.,PG-13 - Teens 13 or older,5.79,#10958,#5709,"15,058",22,4530,"Anime adaptation of Guraburu!, which is 4-koma manga of Granblue Fantasy.","['Adaptation (Manga) Guraburu!', '']",Guraburu!,,,
42,,まえせつ!,Maesetsu! Opening Act,Maesetsu! Opening Act,,Maesetsu! Opening Act,['TV'],12,Finished Airing,"Oct 11, 2020 to Dec 27, 2020",['Fall 2020'],Sundays at 23:30 (JST),['Kadokawa'],['Funimation'],"['Studio Gokumi', 'AXsiZ']",Original,"['Comedy', 'Slice of Life']",['CGDCT'],,24 min. per ep.,PG-13 - Teens 13 or older,5.80,#10905,#6143,"12,499",7,3994,"Manzai is a traditional form of Japanese stand-up comedy where two comedians act out skits as a straight man and funny man, guiding the audience through a series of punchlines. Two determined girls, Mafuyu Kogarashi and Fubuki Kitakaze, are aspiring manzai entertainers who struggle to achieve any real success, despite their lengthy time on stage. They often partner up with manzai newcomers and their close friends—Rin Araya and Nayuta Asougi—to help in the opening acts of each other's routines. In order to eventually reach their desired fame, the four girls challenge themselves by changing venues, switching roles, entering competitions, and giving it their best to hone their craft and gain more experience. But before that can happen, these flourishing young artists must first grow into presentable performers to get signed as amateurs and start their dream in earnest. [Written by MAL Rewrite]","['Adaptation (Manga) Maesetsu!', '']",Maesetsu!,,,
43,"Tsukiuta. The Animation Second Season, Tsukiani. 2",ツキウタ. THE ANIMATION 2,,,,,['TV'],13,Finished Airing,"Oct 7, 2020 to Dec 30, 2020",['Fall 2020'],Wednesdays at 22:30 (JST),"['Pierrot', 'Movic', 'Crest']","None found,","[""Children's Playground Entertainment""]",Music,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.65,#6159,#7268,"8,325",32,1875,"Six Gravity and Procellarum, Tsukino Talent Productions' best male idol groups, are preparing for this year's edition of the Full Moon Festival. The show's theme is ""a new self,"" which seems to excite all the members. Some of the members from both units struggle to find inspiration for the theme, having matured from their last festival appearance. As they continue their daily lives while juggling their show business responsibilities, each of the Six Gravity and Procellarum members discover the meaning of ""a new self."" [Written by MAL Rewrite]","['Prequel (TV) Tsukiuta. The Animation', '']",Tsukiuta. The Animation 2,,"['Idols (Male)', 'Music']",
44,,それだけがネック,That is the Bottleneck,That is the Bottleneck,That is the Bottleneck,That is the Bottleneck,['TV'],12,Finished Airing,"Oct 13, 2020 to Jan 5, 2021",['Fall 2020'],Tuesdays at 02:30 (JST),"None found,","None found,",['Toho Interactive Animation'],Original,,['Workplace'],,3 min. per ep.,PG-13 - Teens 13 or older,5.67,#11522,#7843,"6,823",3,3152,"Set in a convenience store that seems to be everywhere, through the appearance of a convenience store clerk who does not talk properly, while raising problems with the way of modern communication, we will approach the secret of the mysterious hero Mutou. (Source: MAL News)",[],Sore dake ga Neck,['Mystery'],,
45,Animation Kapibara-san,アニメ カピバラさん,Anime Kapibarasan,Anime Kapibarasan,Anime Kapibarasan,Anime Kabibarasan,['TV'],24,Finished Airing,"Oct 9, 2020 to Mar 26, 2021",['Fall 2020'],Fridays at 07:30 (JST),['Jinnan Studio'],"None found,","['Shin-Ei Animation', 'Lesprit']",Other,,,['Kids'],1 min. per ep.,G - All Ages,6.70,#5903,#9234,"4,475",47,2265,The series follows the daily adventures of Kapibarasan and his animal friends as they chill out among the Midorino Grasslands. (Source: Crunchyroll),[],Anime Kapibara-san,['Comedy'],,
46,,東京ガンボ,,,,,['TV'],5,Finished Airing,"Nov 22, 2020 to Dec 20, 2020",['Fall 2020'],Sundays at 03:20 (JST),['MMDGP'],"None found,",['Jumonji'],Original,,,,2 min. per ep.,G - All Ages,5.52,#12036,#9631,"3,926",4,142,"The story will take place 100 years after the world was destroyed in the 21st century due to environmental destruction and depletion of resources. The story follows four girls who work at PARK, based on a real store in Harajuku that follows the theme of ""Fashion × Otaku × Creation."" (Source: ANN)",[],Tokyo Gambo,['Slice of Life'],,
47,,ふしぎ駄菓子屋 銭天堂,,,,,['TV'],Unknown,Currently Airing,"Sep 8, 2020 to ?",['Fall 2020'],Tuesdays at 18:45 (JST),"None found,","None found,","['Toei Animation', 'Gallop', 'Kanaban Graphics']",Novel,,,['Kids'],10 min.,G - All Ages,6.03,#9755,#11793,"2,035",5,202,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune. (Source: MAL News)","['Prequel (Movie) Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki', '']",Fushigi Dagashiya: Zenitendou,['Mystery'],,
48,Fireball Gebaude Baude,ゲボイデ＝ボイデ,,,,,['TV'],10,Finished Airing,"Nov 8, 2020 to Dec 10, 2020",['Fall 2020'],Unknown,"None found,","None found,",['Jinnis Animation Studios'],Original,"['Comedy', 'Sci-Fi']",,,2 min. per ep.,G - All Ages,6.12,#9251,#12367,"1,682",3,606,Final chapter of Disney's Fireball series.,"['Prequel (TV) Fireball Humorous', '']",Gebäude Bäude,,,
49,,秘密結社 鷹の爪 ～ゴールデン・スペル～,Eagle Talon: Golden Spell,Eagle Talon: Golden Spell,Eagle Talon: Golden Spell,Eagle Talon: Golden Spell,['TV'],12,Finished Airing,"Oct 5, 2020 to Dec 21, 2020",['Fall 2020'],Mondays at 01:20 (JST),"None found,","None found,",['DLE'],Original,,,,15 min. per ep.,None,6.19,#8902,#13094,"1,346",3,540,Latest Himitsukessha Taka no Tsume series to be aired on TV.,[],Himitsukessha Taka no Tsume: Golden Spell,['Comedy'],"['Parody', 'Super Power']",
50,,せいぜいがんばれ！魔法少女くるみ,,,,,['TV'],25,Finished Airing,"Oct 7, 2020 to Sep 29, 2021",['Fall 2020'],Wednesdays at 23:54 (JST),['Lantis'],"None found,",['Pie in the sky'],Original,,,,4 min. per ep.,G - All Ages,6.31,#8200,#13153,"1,327",2,151,Third season of Seizei Ganbare! Mahou Shoujo Kurumi.,"['Prequel (ONA) Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season', '']",Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,,"['Mahou Shoujo', 'Parody']",
51,,かえるのピクルス -きもちのいろ-,,,,,['TV'],12,Finished Airing,"Oct 4, 2020 to Dec 27, 2020",['Fall 2020'],Sundays at 09:55 (JST),"None found,","None found,",['Sunny Gapen'],Original,,,['Kids'],3 min. per ep.,G - All Ages,5.39,#12435,#14047,"1,040",0,199,,[],Kaeru no Pickles: Kimochi no Iro,['Slice of Life'],,
52,,カオルの大切なモノ,,,,,['TV'],50,Finished Airing,"Nov 18, 2020 to Oct 27, 2021",['Fall 2020'],Wednesdays at 23:29 (JST),['CHANCE iN'],"None found,",['Kachidoki Studio'],Original,,,,1 min. per ep.,G - All Ages,[],#16680,#15697,656,0,,Spin-off of Kichikujima with super deformed characters.,[],Kaoru no Taisetsu na Mono,['Comedy'],,
53,,あわじしまの七福神,Seven Lucky Gods,,,,['TV'],25,Finished Airing,"Oct 5, 2020 to Mar 5, 2021",['Fall 2020'],Mondays at 07:30 (JST),"None found,","None found,","None found,",Original,"['Comedy', 'Supernatural']",,['Kids'],5 min. per ep.,G - All Ages,[],#19225,#18467,376,0,,"The story centers on the Seven Gods of Fortune in Japanese mythology as they reside on Awaji Island in Hyogo. In the shorts' story, the Seven Gods of Fortune slack in their duties in heaven, and Susanoo-no-Mikoto banishes them to Awaji Island. In order to return to the heavenly realm, they must help bring happiness to humans and rebuild their virtue. The outcast gods reluctantly grant human wishes and accumulate points in their ""god phones"" to be able to return to heaven. They aim to perform good deeds on particularly auspicious days to maximize point accumulation. Despite their best efforts at accumulating virtue, sometimes the Seven Gods of Fortune end up bringing misfortune to humans. When they fail, they lose points, further prolonging their stay on Awaji Island. (Source: ANN)",[],Awajishima no Shichifukujin,,,
54,,かいじゅうステップ ワンダバダ,,,,,['TV'],26,Finished Airing,"Sep 25, 2020 to Mar 26, 2021",['Fall 2020'],Fridays at 17:20 (JST),"['Tsuburaya Productions', 'NHK Enterprises']","None found,",['Usagi Ou'],Picture book,,,['Kids'],5 min. per ep.,G - All Ages,[],#16573,#20276,262,0,,Second season of Kaijuu Step Wandabada.,"['Prequel (TV) Kaijuu Step Wandabada', '']",Kaijuu Step Wandabada 2nd Season,['Comedy'],,
55,,どうしても干支にはいりたい2,,,,,['TV'],13,Finished Airing,"Oct 6, 2020 to Dec 29, 2020",['Fall 2020'],Tuesdays at 21:42 (JST),"None found,","None found,",['Pollyanna Graphics'],['Web manga'],,,,6 min. per ep.,G - All Ages,[],#20306,#21237,207,0,,Second season of Doushitemo Eto ni Hairitai.,"['Prequel (TV) Doushitemo Eto ni Hairitai', '']",Doushitemo Eto ni Hairitai 2,['Comedy'],,
56,"Sylvanian Families: Mini Episodes - Peony, Sylvanian Families: Mini Story 4th Season",シルバニアファミリー ミニストーリー ピオニー,Calico Critters: Mini Episodes - Peony,,,,['TV'],12,Finished Airing,"Oct 1, 2020 to Dec 17, 2020",['Fall 2020'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Other,,,['Kids'],3 min. per ep.,G - All Ages,[],#14523,#21979,169,0,,"The story takes place in a village called Sylvania, and centers on Chocolate Usagi-chan, Kurumi Risu-kun, and their friends and families. (Source: ANN)","['Prequel (TV) Sylvanian Families: Mini Story - Clover', '']",Sylvanian Families: Mini Story - Peony,['Slice of Life'],,
57,,뽀롱뽀롱 뽀로로 7,Pororo the Little Penguin 7,,,,['TV'],26,Finished Airing,"Nov 23, 2020 to Feb 16, 2021",['Fall 2020'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,G - All Ages,[],#18476,#22244,158,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Porong Porong Pororo 6', 'Sequel (TV) Porong Porong Pororo 8']",Porong Porong Pororo 7,['Fantasy'],,
58,Pinkfong and Hogi,명탐정 핑크퐁과 호기,Pinkfong Wonderstar Part 2,,,,['TV'],26,Finished Airing,"Sep 24, 2020 to Apr 29, 2021",['Fall 2020'],Thursdays at 14:30 (JST),['Pinkfong'],"None found,","None found,",Unknown,,['Anthropomorphic'],['Kids'],11 min. per ep.,PG - Children,[],#17876,#23212,124,0,,"Pinkfong and Hogi are back, helping friends in Wonderville and making memories! Watch them zoom around in their magical car and collect 'cube-cubes' every time they solve a friend's problem. Wonderville can count on Pinkfong and Hogi because no problem is too big (or too small) for team Wonderstar! (Source: Official YouTube Channel)","['Prequel (TV) Pinkfong Wonderstar', 'Sequel (TV) Pinkfong-gwa Hogi: Sae Chingu Ninimo']",Myeongtamjeong Pinkfong-gwa Hogi,,,
59,,인앱,,,,,['TV'],56,Finished Airing,"Nov 21, 2020 to Dec 18, 2021",['Fall 2020'],Unknown,"None found,","None found,",['ANYZAC'],Original,"['Action', 'Comedy']",['Anthropomorphic'],,7 min. per ep.,G - All Ages,[],#21371,#23708,113,0,,"Inside our small smart device is a world very much like our own, where countless Appmen work to run their apps as smoothly as possible. Each of our thoughtless taps or pretty selfies can easily drive Smart World into chaos. But the same goes the other way – when our smartphone malfunctions our days can easily be ruined. In this oddly balanced back and forth – where what seems small in one world can become huge in the other – are our protagonists Jackie and Robin. These two don’t quite mesh. They are a team with no teamwork. They just don’t seem reliable enough for us to entrust our smart devices. But they do remind us that their, and our ""Smart Life"" can easily become comedy. (Source: WelCon)",[],In:App,,,
60,,벅스봇 G,,,,,['TV'],15,Finished Airing,"Sep 29, 2020 to Jan 5, 2021",['Fall 2020'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],4 min. per ep.,PG - Children,[],#19597,#24368,100,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bugsbot G,['Sci-Fi'],,
61,,티시태시,,,,,['TV'],26,Finished Airing,"Sep 28, 2020 to Dec 22, 2020",['Fall 2020'],Unknown,['EBS'],"None found,",['Studio Gale'],Original,,['Anthropomorphic'],['Kids'],5 min. per ep.,G - All Ages,[],#14784,#27301,64,0,,"Growing up can be tough, especially when you're a family of bears and your younger brother is a bit of a wild animal. Luckily Tish has a ridiculously huge imagination and a larger than life, imaginary friend Tash. No matter what troubles they face, be it tackling the age-old terror of boredom or maybe just helping your baby brother not to be sad about losing his favorite toy; Together they can create new worlds around themselves, embarking on imaginative adventures and finding their own creative angle to help solve any problems that life throws at them. (Source: WelCon)",[],Tish Tash,['Adventure'],,
62,OP,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#54,#17,"2,481,526","233,030",1410344,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,
63,,ブラッククローバー,Black Clover,,,,['TV'],170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",['Fall 2017'],Tuesdays at 18:25 (JST),"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],['Manga'],"['Action', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.14,#475,#57,"1,760,885","48,238",903650,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically. When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King! [Written by MAL Rewrite]","['Adaptation (Manga) Black Clover', '']",Black Clover,,,
