,Personnel_ID,K_SimilarActors,Total_SharedProjects,K_Reccomendations,True_Positive(Train),Precision(Train),True_Positive(Test),Precision(Test)
50,1,11,74,10,4,0.4,4,0.4
51,1,11,74,20,8,0.4,10,0.5
52,1,11,74,30,9,0.3,13,0.43333333333333335
53,1,11,74,40,10,0.25,14,0.35
54,1,11,74,50,10,0.2,15,0.3
55,1,12,82,10,4,0.4,4,0.4
56,1,12,82,20,8,0.4,11,0.55
57,1,12,82,30,10,0.3333333333333333,12,0.4
58,1,12,82,40,10,0.25,13,0.325
59,1,12,82,50,11,0.22,15,0.3
60,1,13,88,10,6,0.6,4,0.4
61,1,13,88,20,7,0.35,9,0.45
62,1,13,88,30,10,0.3333333333333333,12,0.4
63,1,13,88,40,10,0.25,13,0.325
64,1,13,88,50,11,0.22,15,0.3
65,1,14,93,10,6,0.6,4,0.4
66,1,14,93,20,7,0.35,9,0.45
67,1,14,93,30,10,0.3333333333333333,12,0.4
68,1,14,93,40,10,0.25,14,0.35
69,1,14,93,50,11,0.22,15,0.3
70,1,15,103,10,5,0.5,4,0.4
71,1,15,103,20,7,0.35,10,0.5
72,1,15,103,30,10,0.3333333333333333,12,0.4
73,1,15,103,40,11,0.275,13,0.325
74,1,15,103,50,12,0.24,15,0.3
75,1,16,108,10,5,0.5,4,0.4
76,1,16,108,20,7,0.35,10,0.5
77,1,16,108,30,10,0.3333333333333333,12,0.4
78,1,16,108,40,11,0.275,13,0.325
79,1,16,108,50,12,0.24,15,0.3
80,1,17,110,10,5,0.5,4,0.4
81,1,17,110,20,7,0.35,10,0.5
82,1,17,110,30,10,0.3333333333333333,12,0.4
83,1,17,110,40,11,0.275,13,0.325
84,1,17,110,50,12,0.24,15,0.3
85,1,18,117,10,5,0.5,4,0.4
86,1,18,117,20,7,0.35,10,0.5
87,1,18,117,30,10,0.3333333333333333,12,0.4
88,1,18,117,40,11,0.275,13,0.325
89,1,18,117,50,12,0.24,15,0.3
90,1,19,121,10,5,0.5,4,0.4
91,1,19,121,20,8,0.4,11,0.55
92,1,19,121,30,10,0.3333333333333333,12,0.4
93,1,19,121,40,11,0.275,13,0.325
94,1,19,121,50,12,0.24,15,0.3
95,2,1,11,10,6,0.6,3,0.3
96,2,1,11,20,6,0.3,5,0.25
97,2,1,11,30,7,0.23333333333333334,6,0.2
98,2,1,11,40,7,0.175,6,0.15
99,2,1,11,50,7,0.14,6,0.12
100,2,2,36,10,7,0.7,4,0.4
101,2,2,36,20,8,0.4,6,0.3
102,2,2,36,30,9,0.3,7,0.23333333333333334
103,2,2,36,40,9,0.225,8,0.2
104,2,2,36,50,9,0.18,8,0.16
105,2,3,53,10,7,0.7,6,0.6
106,2,3,53,20,12,0.6,8,0.4
107,2,3,53,30,17,0.5666666666666667,11,0.36666666666666664
108,2,3,53,40,17,0.425,11,0.275
109,2,3,53,50,17,0.34,11,0.22
110,2,4,71,10,7,0.7,5,0.5
111,2,4,71,20,11,0.55,9,0.45
112,2,4,71,30,13,0.43333333333333335,9,0.3
113,2,4,71,40,17,0.425,12,0.3
114,2,4,71,50,19,0.38,13,0.26
115,2,5,82,10,7,0.7,5,0.5
116,2,5,82,20,11,0.55,9,0.45
117,2,5,82,30,13,0.43333333333333335,12,0.4
118,2,5,82,40,16,0.4,14,0.35
119,2,5,82,50,19,0.38,15,0.3
120,2,6,92,10,7,0.7,5,0.5
121,2,6,92,20,11,0.55,9,0.45
122,2,6,92,30,13,0.43333333333333335,12,0.4
123,2,6,92,40,16,0.4,14,0.35
124,2,6,92,50,19,0.38,15,0.3
125,2,7,101,10,7,0.7,5,0.5
126,2,7,101,20,10,0.5,9,0.45
127,2,7,101,30,12,0.4,10,0.3333333333333333
128,2,7,101,40,14,0.35,13,0.325
129,2,7,101,50,16,0.32,14,0.28
130,2,8,122,10,6,0.6,5,0.5
131,2,8,122,20,9,0.45,8,0.4
132,2,8,122,30,12,0.4,10,0.3333333333333333
133,2,8,122,40,14,0.35,12,0.3
134,2,8,122,50,17,0.34,15,0.3
135,2,9,132,10,7,0.7,5,0.5
136,2,9,132,20,9,0.45,8,0.4
137,2,9,132,30,12,0.4,10,0.3333333333333333
138,2,9,132,40,13,0.325,11,0.275
139,2,9,132,50,17,0.34,15,0.3
140,2,10,141,10,7,0.7,5,0.5
141,2,10,141,20,9,0.45,8,0.4
142,2,10,141,30,13,0.43333333333333335,12,0.4
143,2,10,141,40,15,0.375,13,0.325
144,2,10,141,50,17,0.34,15,0.3
145,2,11,154,10,7,0.7,4,0.4
146,2,11,154,20,9,0.45,8,0.4
147,2,11,154,30,13,0.43333333333333335,12,0.4
148,2,11,154,40,15,0.375,13,0.325
149,2,11,154,50,18,0.36,15,0.3
150,2,12,163,10,6,0.6,5,0.5
151,2,12,163,20,9,0.45,8,0.4
152,2,12,163,30,12,0.4,11,0.36666666666666664
153,2,12,163,40,15,0.375,13,0.325
154,2,12,163,50,18,0.36,16,0.32
155,2,13,173,10,5,0.5,5,0.5
156,2,13,173,20,9,0.45,8,0.4
157,2,13,173,30,12,0.4,10,0.3333333333333333
158,2,13,173,40,15,0.375,13,0.325
159,2,13,173,50,17,0.34,16,0.32
160,2,14,183,10,6,0.6,5,0.5
161,2,14,183,20,10,0.5,9,0.45
162,2,14,183,30,12,0.4,11,0.36666666666666664
163,2,14,183,40,15,0.375,14,0.35
164,2,14,183,50,17,0.34,16,0.32
165,2,15,191,10,6,0.6,5,0.5
166,2,15,191,20,10,0.5,9,0.45
167,2,15,191,30,12,0.4,11,0.36666666666666664
168,2,15,191,40,15,0.375,14,0.35
169,2,15,191,50,17,0.34,16,0.32
170,2,16,201,10,6,0.6,5,0.5
171,2,16,201,20,10,0.5,9,0.45
172,2,16,201,30,11,0.36666666666666664,10,0.3333333333333333
173,2,16,201,40,15,0.375,14,0.35
174,2,16,201,50,17,0.34,16,0.32
175,2,17,217,10,6,0.6,5,0.5
176,2,17,217,20,10,0.5,9,0.45
177,2,17,217,30,12,0.4,12,0.4
178,2,17,217,40,15,0.375,15,0.375
179,2,17,217,50,17,0.34,16,0.32
180,2,18,223,10,6,0.6,5,0.5
181,2,18,223,20,10,0.5,9,0.45
182,2,18,223,30,12,0.4,12,0.4
183,2,18,223,40,15,0.375,15,0.375
184,2,18,223,50,16,0.32,15,0.3
185,2,19,225,10,6,0.6,5,0.5
186,2,19,225,20,9,0.45,8,0.4
187,2,19,225,30,11,0.36666666666666664,11,0.36666666666666664
188,2,19,225,40,14,0.35,14,0.35
189,2,19,225,50,16,0.32,15,0.3
190,3,1,12,10,7,0.7,5,0.5
191,3,1,12,20,7,0.35,5,0.25
192,3,1,12,30,7,0.23333333333333334,6,0.2
193,3,1,12,40,8,0.2,6,0.15
194,3,1,12,50,8,0.16,6,0.12
195,3,2,18,10,6,0.6,5,0.5
196,3,2,18,20,9,0.45,6,0.3
197,3,2,18,30,10,0.3333333333333333,7,0.23333333333333334
198,3,2,18,40,10,0.25,7,0.175
199,3,2,18,50,10,0.2,8,0.16
200,3,3,23,10,6,0.6,5,0.5
201,3,3,23,20,8,0.4,5,0.25
202,3,3,23,30,9,0.3,6,0.2
203,3,3,23,40,9,0.225,7,0.175
204,3,3,23,50,9,0.18,7,0.14
205,3,4,31,10,4,0.4,4,0.4
206,3,4,31,20,8,0.4,7,0.35
207,3,4,31,30,10,0.3333333333333333,7,0.23333333333333334
208,3,4,31,40,10,0.25,7,0.175
209,3,4,31,50,10,0.2,7,0.14
210,3,5,35,10,2,0.2,2,0.2
211,3,5,35,20,4,0.2,4,0.2
212,3,5,35,30,8,0.26666666666666666,7,0.23333333333333334
213,3,5,35,40,9,0.225,7,0.175
214,3,5,35,50,10,0.2,7,0.14
215,3,6,38,10,2,0.2,2,0.2
216,3,6,38,20,4,0.2,4,0.2
217,3,6,38,30,8,0.26666666666666666,7,0.23333333333333334
218,3,6,38,40,9,0.225,7,0.175
219,3,6,38,50,10,0.2,7,0.14
220,3,7,50,10,3,0.3,4,0.4
221,3,7,50,20,5,0.25,6,0.3
222,3,7,50,30,9,0.3,9,0.3
223,3,7,50,40,9,0.225,9,0.225
224,3,7,50,50,11,0.22,9,0.18
225,3,8,56,10,3,0.3,4,0.4
226,3,8,56,20,3,0.15,4,0.2
227,3,8,56,30,7,0.23333333333333334,7,0.23333333333333334
228,3,8,56,40,9,0.225,9,0.225
229,3,8,56,50,10,0.2,9,0.18
230,3,9,61,10,3,0.3,3,0.3
231,3,9,61,20,3,0.15,4,0.2
232,3,9,61,30,3,0.1,4,0.13333333333333333
233,3,9,61,40,7,0.175,7,0.175
234,3,9,61,50,8,0.16,8,0.16
235,3,10,69,10,4,0.4,5,0.5
236,3,10,69,20,4,0.2,6,0.3
237,3,10,69,30,5,0.16666666666666666,7,0.23333333333333334
238,3,10,69,40,8,0.2,9,0.225
239,3,10,69,50,9,0.18,10,0.2
240,3,11,76,10,3,0.3,4,0.4
241,3,11,76,20,4,0.2,6,0.3
242,3,11,76,30,5,0.16666666666666666,7,0.23333333333333334
243,3,11,76,40,5,0.125,7,0.175
244,3,11,76,50,9,0.18,10,0.2
245,3,12,78,10,3,0.3,4,0.4
246,3,12,78,20,5,0.25,7,0.35
247,3,12,78,30,6,0.2,8,0.26666666666666666
248,3,12,78,40,6,0.15,8,0.2
249,3,12,78,50,10,0.2,11,0.22
250,3,13,79,10,3,0.3,4,0.4
251,3,13,79,20,5,0.25,7,0.35
252,3,13,79,30,6,0.2,8,0.26666666666666666
253,3,13,79,40,6,0.15,8,0.2
254,3,13,79,50,8,0.16,10,0.2
255,3,14,84,10,4,0.4,5,0.5
256,3,14,84,20,5,0.25,7,0.35
257,3,14,84,30,5,0.16666666666666666,7,0.23333333333333334
258,3,14,84,40,6,0.15,8,0.2
259,3,14,84,50,6,0.12,8,0.16
260,3,15,93,10,5,0.5,6,0.6
261,3,15,93,20,7,0.35,7,0.35
262,3,15,93,30,9,0.3,10,0.3333333333333333
263,3,15,93,40,11,0.275,12,0.3
264,3,15,93,50,11,0.22,12,0.24
265,3,16,99,10,5,0.5,6,0.6
266,3,16,99,20,7,0.35,7,0.35
267,3,16,99,30,9,0.3,10,0.3333333333333333
268,3,16,99,40,9,0.225,10,0.25
269,3,16,99,50,10,0.2,11,0.22
270,3,17,105,10,5,0.5,6,0.6
271,3,17,105,20,7,0.35,7,0.35
272,3,17,105,30,9,0.3,10,0.3333333333333333
273,3,17,105,40,9,0.225,10,0.25
274,3,17,105,50,10,0.2,11,0.22
275,3,18,111,10,5,0.5,6,0.6
276,3,18,111,20,7,0.35,7,0.35
277,3,18,111,30,9,0.3,10,0.3333333333333333
278,3,18,111,40,9,0.225,10,0.25
279,3,18,111,50,10,0.2,11,0.22
280,3,19,117,10,5,0.5,6,0.6
281,3,19,117,20,7,0.35,7,0.35
282,3,19,117,30,9,0.3,10,0.3333333333333333
283,3,19,117,40,9,0.225,10,0.25
284,3,19,117,50,10,0.2,11,0.22
285,5,1,16,10,5,0.5,8,0.8
286,5,1,16,20,12,0.6,11,0.55
287,5,1,16,30,12,0.4,11,0.36666666666666664
288,5,1,16,40,12,0.3,11,0.275
289,5,1,16,50,12,0.24,11,0.22
290,5,2,24,10,5,0.5,8,0.8
291,5,2,24,20,7,0.35,11,0.55
292,5,2,24,30,8,0.26666666666666666,11,0.36666666666666664
293,5,2,24,40,10,0.25,12,0.3
294,5,2,24,50,11,0.22,13,0.26
295,5,3,32,10,5,0.5,8,0.8
296,5,3,32,20,7,0.35,11,0.55
297,5,3,32,30,8,0.26666666666666666,11,0.36666666666666664
298,5,3,32,40,10,0.25,12,0.3
299,5,3,32,50,12,0.24,14,0.28
300,5,4,42,10,5,0.5,7,0.7
301,5,4,42,20,7,0.35,11,0.55
302,5,4,42,30,7,0.23333333333333334,11,0.36666666666666664
303,5,4,42,40,10,0.25,12,0.3
304,5,4,42,50,10,0.2,12,0.24
305,5,5,52,10,4,0.4,7,0.7
