,Personnel_ID,K_SimilarActors,Total_SharedProjects,K_Reccomendations,True_Positive(Train),Precision(Train),True_Positive(Test),Precision(Test)
0,1,1,12,10,4,0.4,3,0.3
1,1,1,12,20,4,0.2,3,0.15
2,1,1,12,30,5,0.16666666666666666,4,0.13333333333333333
3,1,1,12,40,7,0.175,5,0.125
4,1,1,12,50,7,0.14,5,0.1
5,1,2,19,10,4,0.4,5,0.5
6,1,2,19,20,6,0.3,5,0.25
7,1,2,19,30,7,0.23333333333333334,6,0.2
8,1,2,19,40,8,0.2,7,0.175
9,1,2,19,50,8,0.16,7,0.14
10,1,3,30,10,3,0.3,4,0.4
11,1,3,30,20,6,0.3,5,0.25
12,1,3,30,30,6,0.2,5,0.16666666666666666
13,1,3,30,40,8,0.2,8,0.2
14,1,3,30,50,9,0.18,9,0.18
15,1,4,35,10,2,0.2,3,0.3
16,1,4,35,20,7,0.35,6,0.3
17,1,4,35,30,7,0.23333333333333334,6,0.2
18,1,4,35,40,8,0.2,8,0.2
19,1,4,35,50,10,0.2,10,0.2
20,1,5,44,10,1,0.1,3,0.3
21,1,5,44,20,5,0.25,6,0.3
22,1,5,44,30,7,0.23333333333333334,6,0.2
23,1,5,44,40,8,0.2,6,0.15
24,1,5,44,50,8,0.16,8,0.16
25,1,6,46,10,1,0.1,3,0.3
26,1,6,46,20,5,0.25,6,0.3
27,1,6,46,30,7,0.23333333333333334,6,0.2
28,1,6,46,40,8,0.2,6,0.15
29,1,6,46,50,8,0.16,8,0.16
30,1,7,53,10,1,0.1,3,0.3
31,1,7,53,20,5,0.25,6,0.3
32,1,7,53,30,8,0.26666666666666666,6,0.2
33,1,7,53,40,8,0.2,6,0.15
34,1,7,53,50,8,0.16,8,0.16
35,1,8,59,10,1,0.1,2,0.2
36,1,8,59,20,2,0.1,4,0.2
37,1,8,59,30,6,0.2,6,0.2
38,1,8,59,40,8,0.2,6,0.15
39,1,8,59,50,8,0.16,6,0.12
40,1,9,66,10,1,0.1,2,0.2
41,1,9,66,20,2,0.1,4,0.2
42,1,9,66,30,5,0.16666666666666666,6,0.2
43,1,9,66,40,7,0.175,6,0.15
44,1,9,66,50,8,0.16,6,0.12
45,1,10,71,10,1,0.1,2,0.2
46,1,10,71,20,2,0.1,4,0.2
47,1,10,71,30,5,0.16666666666666666,6,0.2
48,1,10,71,40,7,0.175,6,0.15
49,1,10,71,50,8,0.16,6,0.12
50,1,11,75,10,1,0.1,2,0.2
51,1,11,75,20,2,0.1,4,0.2
52,1,11,75,30,4,0.13333333333333333,6,0.2
53,1,11,75,40,7,0.175,6,0.15
54,1,11,75,50,8,0.16,6,0.12
55,1,12,88,10,2,0.2,2,0.2
56,1,12,88,20,2,0.1,3,0.15
57,1,12,88,30,3,0.1,5,0.16666666666666666
58,1,12,88,40,7,0.175,7,0.175
59,1,12,88,50,10,0.2,7,0.14
60,1,13,94,10,2,0.2,2,0.2
61,1,13,94,20,3,0.15,7,0.35
62,1,13,94,30,4,0.13333333333333333,8,0.26666666666666666
63,1,13,94,40,8,0.2,11,0.275
64,1,13,94,50,10,0.2,11,0.22
65,1,14,99,10,2,0.2,2,0.2
66,1,14,99,20,3,0.15,7,0.35
67,1,14,99,30,4,0.13333333333333333,8,0.26666666666666666
68,1,14,99,40,7,0.175,11,0.275
69,1,14,99,50,10,0.2,11,0.22
70,1,15,104,10,2,0.2,2,0.2
71,1,15,104,20,3,0.15,6,0.3
72,1,15,104,30,4,0.13333333333333333,8,0.26666666666666666
73,1,15,104,40,7,0.175,11,0.275
74,1,15,104,50,9,0.18,11,0.22
75,1,16,109,10,2,0.2,4,0.4
76,1,16,109,20,3,0.15,6,0.3
77,1,16,109,30,4,0.13333333333333333,7,0.23333333333333334
78,1,16,109,40,4,0.1,8,0.2
79,1,16,109,50,8,0.16,11,0.22
80,1,17,111,10,2,0.2,4,0.4
81,1,17,111,20,3,0.15,6,0.3
82,1,17,111,30,4,0.13333333333333333,8,0.26666666666666666
83,1,17,111,40,5,0.125,10,0.25
84,1,17,111,50,7,0.14,11,0.22
85,1,18,127,10,2,0.2,3,0.3
86,1,18,127,20,3,0.15,6,0.3
87,1,18,127,30,3,0.1,6,0.2
88,1,18,127,40,4,0.1,8,0.2
89,1,18,127,50,5,0.1,10,0.2
90,1,19,133,10,2,0.2,3,0.3
91,1,19,133,20,3,0.15,6,0.3
92,1,19,133,30,3,0.1,6,0.2
93,1,19,133,40,5,0.125,9,0.225
94,1,19,133,50,6,0.12,11,0.22
95,2,1,22,10,3,0.3,4,0.4
96,2,1,22,20,7,0.35,9,0.45
97,2,1,22,30,7,0.23333333333333334,11,0.36666666666666664
98,2,1,22,40,7,0.175,11,0.275
99,2,1,22,50,7,0.14,14,0.28
100,2,2,30,10,2,0.2,3,0.3
101,2,2,30,20,7,0.35,9,0.45
102,2,2,30,30,8,0.26666666666666666,10,0.3333333333333333
103,2,2,30,40,8,0.2,12,0.3
104,2,2,30,50,10,0.2,14,0.28
105,2,3,37,10,3,0.3,5,0.5
