,Personnel_ID,K_SimilarActors,Total_SharedProjects,K_Reccomendations,True_Positive(Train),Precision(Train),True_Positive(Test),Precision(Test)
0,1,1,7,10,2,0.2,6,0.6
1,1,1,7,20,3,0.15,8,0.4
2,1,1,7,30,3,0.1,8,0.26666666666666666
3,1,1,7,40,4,0.1,9,0.225
4,1,1,7,50,4,0.08,9,0.18
5,1,2,14,10,3,0.3,3,0.3
6,1,2,14,20,4,0.2,8,0.4
7,1,2,14,30,4,0.13333333333333333,8,0.26666666666666666
8,1,2,14,40,5,0.125,10,0.25
9,1,2,14,50,5,0.1,10,0.2
10,1,3,17,10,4,0.4,4,0.4
11,1,3,17,20,4,0.2,8,0.4
12,1,3,17,30,4,0.13333333333333333,8,0.26666666666666666
13,1,3,17,40,4,0.1,8,0.2
14,1,3,17,50,5,0.1,9,0.18
15,1,4,27,10,3,0.3,4,0.4
16,1,4,27,20,3,0.15,8,0.4
17,1,4,27,30,4,0.13333333333333333,8,0.26666666666666666
18,1,4,27,40,4,0.1,8,0.2
19,1,4,27,50,5,0.1,9,0.18
20,1,5,37,10,3,0.3,2,0.2
21,1,5,37,20,5,0.25,6,0.3
22,1,5,37,30,6,0.2,9,0.3
23,1,5,37,40,6,0.15,9,0.225
24,1,5,37,50,6,0.12,9,0.18
25,1,6,45,10,3,0.3,2,0.2
26,1,6,45,20,6,0.3,5,0.25
27,1,6,45,30,7,0.23333333333333334,6,0.2
28,1,6,45,40,7,0.175,10,0.25
29,1,6,45,50,8,0.16,11,0.22
30,1,7,51,10,4,0.4,3,0.3
31,1,7,51,20,6,0.3,6,0.3
32,1,7,51,30,7,0.23333333333333334,6,0.2
33,1,7,51,40,7,0.175,11,0.275
34,1,7,51,50,8,0.16,12,0.24
35,1,8,62,10,4,0.4,3,0.3
36,1,8,62,20,8,0.4,9,0.45
37,1,8,62,30,9,0.3,10,0.3333333333333333
38,1,8,62,40,10,0.25,14,0.35
39,1,8,62,50,10,0.2,15,0.3
40,1,9,69,10,4,0.4,3,0.3
41,1,9,69,20,7,0.35,8,0.4
42,1,9,69,30,9,0.3,10,0.3333333333333333
43,1,9,69,40,9,0.225,13,0.325
44,1,9,69,50,10,0.2,16,0.32
45,1,10,72,10,3,0.3,2,0.2
46,1,10,72,20,6,0.3,9,0.45
47,1,10,72,30,9,0.3,12,0.4
48,1,10,72,40,9,0.225,12,0.3
49,1,10,72,50,10,0.2,16,0.32
50,1,11,83,10,3,0.3,2,0.2
51,1,11,83,20,5,0.25,8,0.4
52,1,11,83,30,8,0.26666666666666666,14,0.4666666666666667
53,1,11,83,40,11,0.275,16,0.4
54,1,11,83,50,11,0.22,17,0.34
55,1,12,96,10,3,0.3,3,0.3
56,1,12,96,20,4,0.2,8,0.4
57,1,12,96,30,7,0.23333333333333334,12,0.4
58,1,12,96,40,11,0.275,18,0.45
59,1,12,96,50,11,0.22,18,0.36
60,1,13,104,10,3,0.3,3,0.3
61,1,13,104,20,5,0.25,8,0.4
62,1,13,104,30,8,0.26666666666666666,13,0.43333333333333335
63,1,13,104,40,11,0.275,18,0.45
64,1,13,104,50,11,0.22,18,0.36
65,1,14,111,10,4,0.4,4,0.4
66,1,14,111,20,6,0.3,8,0.4
67,1,14,111,30,9,0.3,14,0.4666666666666667
68,1,14,111,40,11,0.275,18,0.45
69,1,14,111,50,11,0.22,18,0.36
70,1,15,120,10,7,0.7,5,0.5
71,1,15,120,20,9,0.45,9,0.45
72,1,15,120,30,10,0.3333333333333333,13,0.43333333333333335
73,1,15,120,40,10,0.25,17,0.425
74,1,15,120,50,12,0.24,18,0.36
75,1,16,131,10,5,0.5,4,0.4
76,1,16,131,20,7,0.35,6,0.3
77,1,16,131,30,10,0.3333333333333333,10,0.3333333333333333
78,1,16,131,40,11,0.275,16,0.4
79,1,16,131,50,12,0.24,19,0.38
80,1,17,139,10,5,0.5,5,0.5
81,1,17,139,20,7,0.35,7,0.35
82,1,17,139,30,11,0.36666666666666664,11,0.36666666666666664
83,1,17,139,40,12,0.3,16,0.4
84,1,17,139,50,12,0.24,19,0.38
85,1,18,148,10,5,0.5,5,0.5
86,1,18,148,20,7,0.35,7,0.35
87,1,18,148,30,11,0.36666666666666664,11,0.36666666666666664
88,1,18,148,40,12,0.3,16,0.4
89,1,18,148,50,12,0.24,19,0.38
90,1,19,157,10,5,0.5,5,0.5
91,1,19,157,20,7,0.35,7,0.35
92,1,19,157,30,11,0.36666666666666664,11,0.36666666666666664
93,1,19,157,40,12,0.3,16,0.4
94,1,19,157,50,12,0.24,17,0.34
95,2,1,11,10,6,0.6,5,0.5
96,2,1,11,20,6,0.3,5,0.25
