,Personnel_ID,Work_References,True_Positives,Total_Recommendations,Precision
0,1,1,4,10,0.4
1,1,2,1,10,0.1
2,1,3,4,10,0.4
3,1,4,3,10,0.3
4,1,5,4,10,0.4
5,1,6,7,10,0.7
6,1,7,4,10,0.4
7,1,8,6,10,0.6
8,1,9,6,10,0.6
9,1,10,6,10,0.6
10,2,1,10,10,1.0
11,2,2,10,10,1.0
12,2,3,10,10,1.0
13,2,4,10,10,1.0
14,2,5,10,10,1.0
15,2,6,10,10,1.0
16,2,7,10,10,1.0
17,2,8,10,10,1.0
18,2,9,10,10,1.0
19,2,10,10,10,1.0
20,3,1,2,10,0.2
21,3,2,1,10,0.1
22,3,3,1,10,0.1
23,3,4,3,10,0.3
24,3,5,0,10,0.0
25,3,6,1,10,0.1
26,3,7,0,10,0.0
27,3,8,1,10,0.1
28,3,9,1,10,0.1
29,3,10,1,10,0.1
30,4,1,1,10,0.1
31,4,2,4,10,0.4
32,4,3,4,10,0.4
33,4,4,1,10,0.1
34,4,5,3,10,0.3
35,4,6,5,10,0.5
36,4,7,5,10,0.5
37,4,8,4,10,0.4
38,4,9,3,10,0.3
39,4,10,4,10,0.4
40,5,1,9,10,0.9
41,5,2,7,10,0.7
42,5,3,7,10,0.7
43,5,4,7,10,0.7
44,5,5,7,10,0.7
45,5,6,7,10,0.7
46,5,7,7,10,0.7
47,5,8,6,10,0.6
48,5,9,6,10,0.6
49,5,10,5,10,0.5
50,8,1,2,10,0.2
51,8,2,9,10,0.9
52,8,3,5,10,0.5
53,8,4,6,10,0.6
54,8,5,10,10,1.0
55,8,6,10,10,1.0
56,8,7,10,10,1.0
57,8,8,10,10,1.0
58,8,9,10,10,1.0
59,8,10,10,10,1.0
60,9,1,4,10,0.4
61,9,2,3,10,0.3
62,9,3,3,10,0.3
63,9,4,0,10,0.0
64,9,5,1,10,0.1
65,9,6,1,10,0.1
66,9,7,2,10,0.2
67,9,8,1,10,0.1
68,9,9,2,10,0.2
69,9,10,1,10,0.1
70,10,1,5,10,0.5
71,10,2,6,10,0.6
72,10,3,8,10,0.8
73,10,4,5,10,0.5
74,10,5,3,10,0.3
75,10,6,4,10,0.4
76,10,7,8,10,0.8
77,10,8,7,10,0.7
78,10,9,4,10,0.4
79,10,10,3,10,0.3
80,13,1,0,10,0.0
81,13,2,5,10,0.5
82,13,3,5,10,0.5
83,13,4,4,10,0.4
84,13,5,6,10,0.6
85,13,6,5,10,0.5
86,13,7,7,10,0.7
87,13,8,7,10,0.7
88,13,9,6,10,0.6
89,13,10,6,10,0.6
90,14,1,10,10,1.0
91,14,2,10,10,1.0
92,14,3,9,10,0.9
93,14,4,8,10,0.8
94,14,5,8,10,0.8
95,14,6,8,10,0.8
96,14,7,8,10,0.8
97,14,8,8,10,0.8
98,14,9,7,10,0.7
99,14,10,6,10,0.6
100,15,1,3,10,0.3
101,15,2,7,10,0.7
102,15,3,5,10,0.5
103,15,4,2,10,0.2
104,15,5,6,10,0.6
105,15,6,6,10,0.6
106,15,7,5,10,0.5
107,15,8,5,10,0.5
108,15,9,7,10,0.7
109,15,10,7,10,0.7
110,16,1,8,10,0.8
111,16,2,7,10,0.7
112,16,3,5,10,0.5
113,16,4,3,10,0.3
114,16,5,6,10,0.6
115,16,6,3,10,0.3
116,16,7,3,10,0.3
117,16,8,3,10,0.3
118,16,9,4,10,0.4
119,16,10,4,10,0.4
120,17,1,4,10,0.4
121,17,2,8,10,0.8
122,17,3,6,10,0.6
123,17,4,6,10,0.6
124,17,5,7,10,0.7
125,17,6,6,10,0.6
126,17,7,6,10,0.6
127,17,8,7,10,0.7
128,17,9,8,10,0.8
129,17,10,8,10,0.8
130,19,1,0,10,0.0
131,19,2,0,10,0.0
132,19,3,0,10,0.0
133,19,4,3,10,0.3
134,19,5,4,10,0.4
135,19,6,5,10,0.5
136,19,7,6,10,0.6
137,19,8,6,10,0.6
138,19,9,5,10,0.5
139,19,10,5,10,0.5
140,20,1,0,10,0.0
141,20,2,2,10,0.2
142,20,3,3,10,0.3
143,20,4,5,10,0.5
144,20,5,3,10,0.3
145,20,6,3,10,0.3
146,20,7,4,10,0.4
147,20,8,4,10,0.4
148,20,9,1,10,0.1
149,20,10,1,10,0.1
150,21,1,5,10,0.5
151,21,2,6,10,0.6
152,21,3,9,10,0.9
153,21,4,8,10,0.8
154,21,5,7,10,0.7
155,21,6,6,10,0.6
156,21,7,5,10,0.5
157,21,8,5,10,0.5
158,21,9,4,10,0.4
159,21,10,4,10,0.4
160,22,1,0,10,0.0
161,22,2,1,10,0.1
162,22,3,0,10,0.0
163,22,4,2,10,0.2
164,22,5,2,10,0.2
165,22,6,2,10,0.2
166,22,7,2,10,0.2
167,22,8,2,10,0.2
168,22,9,2,10,0.2
169,22,10,2,10,0.2
170,24,1,3,10,0.3
171,24,2,9,10,0.9
172,24,3,10,10,1.0
173,24,4,10,10,1.0
174,24,5,10,10,1.0
175,24,6,10,10,1.0
176,24,7,10,10,1.0
177,24,8,10,10,1.0
178,24,9,9,10,0.9
179,24,10,10,10,1.0
180,27,1,1,10,0.1
181,27,2,1,10,0.1
182,27,3,0,10,0.0
183,27,4,0,10,0.0
184,27,5,0,10,0.0
185,27,6,0,10,0.0
186,27,7,0,10,0.0
187,27,8,0,10,0.0
188,27,9,0,10,0.0
189,27,10,0,10,0.0
190,28,1,1,10,0.1
191,28,2,3,10,0.3
192,28,3,8,10,0.8
193,28,4,6,10,0.6
194,28,5,8,10,0.8
195,28,6,7,10,0.7
196,28,7,7,10,0.7
197,28,8,7,10,0.7
198,28,9,7,10,0.7
199,28,10,7,10,0.7
200,30,1,0,10,0.0
201,30,2,1,10,0.1
202,30,3,1,10,0.1
203,30,4,0,10,0.0
204,30,5,0,10,0.0
205,30,6,1,10,0.1
206,30,7,0,10,0.0
207,30,8,1,10,0.1
208,30,9,1,10,0.1
209,30,10,1,10,0.1
210,31,1,1,10,0.1
211,31,2,4,10,0.4
212,31,3,2,10,0.2
213,31,4,3,10,0.3
214,31,5,2,10,0.2
215,31,6,3,10,0.3
216,31,7,3,10,0.3
217,31,8,2,10,0.2
218,31,9,2,10,0.2
219,31,10,1,10,0.1
220,34,1,1,10,0.1
221,34,2,2,10,0.2
222,34,3,2,10,0.2
223,34,4,2,10,0.2
224,34,5,9,10,0.9
225,34,6,9,10,0.9
226,34,7,9,10,0.9
227,34,8,9,10,0.9
228,34,9,9,10,0.9
229,34,10,9,10,0.9
230,36,1,0,10,0.0
231,36,2,1,10,0.1
232,36,3,1,10,0.1
233,36,4,1,10,0.1
234,36,5,2,10,0.2
235,36,6,2,10,0.2
236,36,7,2,10,0.2
237,36,8,1,10,0.1
238,36,9,1,10,0.1
239,36,10,0,10,0.0
240,40,1,1,10,0.1
241,40,2,1,10,0.1
242,40,3,3,10,0.3
243,40,4,1,10,0.1
244,40,5,1,10,0.1
245,40,6,0,10,0.0
246,40,7,0,10,0.0
247,40,8,2,10,0.2
248,40,9,1,10,0.1
249,40,10,1,10,0.1
250,43,1,1,10,0.1
251,43,2,1,10,0.1
252,43,3,1,10,0.1
253,43,4,2,10,0.2
254,43,5,1,10,0.1
255,43,6,1,10,0.1
256,43,7,1,10,0.1
257,43,8,0,10,0.0
258,43,9,0,10,0.0
259,43,10,0,10,0.0
260,52,1,6,10,0.6
261,52,2,5,10,0.5
262,52,3,4,10,0.4
263,52,4,4,10,0.4
264,52,5,4,10,0.4
265,52,6,4,10,0.4
266,52,7,3,10,0.3
267,52,8,3,10,0.3
268,52,9,3,10,0.3
269,52,10,3,10,0.3
270,61,1,7,10,0.7
271,61,2,6,10,0.6
272,61,3,6,10,0.6
273,61,4,6,10,0.6
274,61,5,6,10,0.6
275,61,6,6,10,0.6
276,61,7,6,10,0.6
277,61,8,6,10,0.6
278,61,9,5,10,0.5
279,61,10,4,10,0.4
280,62,1,7,10,0.7
281,62,2,2,10,0.2
282,62,3,9,10,0.9
283,62,4,3,10,0.3
284,62,5,8,10,0.8
285,62,6,8,10,0.8
286,62,7,8,10,0.8
287,62,8,7,10,0.7
288,62,9,6,10,0.6
289,62,10,6,10,0.6
290,65,1,8,10,0.8
291,65,2,4,10,0.4
292,65,3,4,10,0.4
293,65,4,6,10,0.6
