,Personnel_ID,K_SimilarActors,Total_SharedProjects,K_Reccomendations,True_Positive(Train),Precision(Train),True_Positive(Test),Precision(Test)
0,1,1,2932,10,6,0.6,3,0.3
1,1,1,2932,20,11,0.55,3,0.15
2,1,1,2932,30,13,0.43333333333333335,5,0.16666666666666666
3,1,1,2932,40,13,0.325,9,0.225
4,1,1,2932,50,13,0.26,10,0.2
5,1,2,5864,10,4,0.4,2,0.2
6,1,2,5864,20,5,0.25,3,0.15
7,1,2,5864,30,10,0.3333333333333333,5,0.16666666666666666
8,1,2,5864,40,11,0.275,7,0.175
9,1,2,5864,50,12,0.24,8,0.16
10,1,3,8796,10,6,0.6,4,0.4
11,1,3,8796,20,6,0.3,4,0.2
12,1,3,8796,30,8,0.26666666666666666,5,0.16666666666666666
13,1,3,8796,40,11,0.275,8,0.2
14,1,3,8796,50,13,0.26,8,0.16
15,1,4,11728,10,6,0.6,4,0.4
16,1,4,11728,20,6,0.3,4,0.2
17,1,4,11728,30,8,0.26666666666666666,5,0.16666666666666666
18,1,4,11728,40,11,0.275,8,0.2
19,1,4,11728,50,13,0.26,8,0.16
20,1,5,14660,10,6,0.6,4,0.4
21,1,5,14660,20,8,0.4,5,0.25
22,1,5,14660,30,9,0.3,6,0.2
23,1,5,14660,40,11,0.275,7,0.175
24,1,5,14660,50,13,0.26,9,0.18
25,1,6,17592,10,5,0.5,4,0.4
26,1,6,17592,20,8,0.4,5,0.25
27,1,6,17592,30,9,0.3,5,0.16666666666666666
28,1,6,17592,40,10,0.25,6,0.15
29,1,6,17592,50,12,0.24,10,0.2
30,1,7,20524,10,5,0.5,4,0.4
31,1,7,20524,20,9,0.45,5,0.25
32,1,7,20524,30,9,0.3,5,0.16666666666666666
33,1,7,20524,40,10,0.25,6,0.15
34,1,7,20524,50,12,0.24,10,0.2
35,1,8,23456,10,5,0.5,4,0.4
36,1,8,23456,20,9,0.45,5,0.25
37,1,8,23456,30,9,0.3,5,0.16666666666666666
38,1,8,23456,40,10,0.25,6,0.15
39,1,8,23456,50,12,0.24,10,0.2
40,1,9,26388,10,5,0.5,4,0.4
41,1,9,26388,20,9,0.45,5,0.25
42,1,9,26388,30,9,0.3,5,0.16666666666666666
43,1,9,26388,40,10,0.25,6,0.15
44,1,9,26388,50,12,0.24,10,0.2
45,1,10,29320,10,5,0.5,4,0.4
46,1,10,29320,20,9,0.45,5,0.25
47,1,10,29320,30,9,0.3,5,0.16666666666666666
48,1,10,29320,40,10,0.25,6,0.15
49,1,10,29320,50,12,0.24,8,0.16
50,1,11,32252,10,4,0.4,4,0.4
51,1,11,32252,20,9,0.45,5,0.25
52,1,11,32252,30,9,0.3,5,0.16666666666666666
53,1,11,32252,40,10,0.25,6,0.15
54,1,11,32252,50,11,0.22,7,0.14
55,1,12,35184,10,4,0.4,4,0.4
56,1,12,35184,20,9,0.45,5,0.25
57,1,12,35184,30,9,0.3,5,0.16666666666666666
58,1,12,35184,40,10,0.25,6,0.15
59,1,12,35184,50,11,0.22,7,0.14
60,1,13,38116,10,4,0.4,4,0.4
61,1,13,38116,20,9,0.45,5,0.25
62,1,13,38116,30,9,0.3,5,0.16666666666666666
63,1,13,38116,40,10,0.25,5,0.125
64,1,13,38116,50,11,0.22,7,0.14
65,1,14,41048,10,3,0.3,4,0.4
66,1,14,41048,20,7,0.35,4,0.2
67,1,14,41048,30,10,0.3333333333333333,5,0.16666666666666666
68,1,14,41048,40,10,0.25,5,0.125
69,1,14,41048,50,11,0.22,7,0.14
70,1,15,43980,10,3,0.3,4,0.4
71,1,15,43980,20,8,0.4,4,0.2
72,1,15,43980,30,10,0.3333333333333333,5,0.16666666666666666
73,1,15,43980,40,10,0.25,5,0.125
74,1,15,43980,50,12,0.24,8,0.16
75,1,16,46912,10,3,0.3,4,0.4
76,1,16,46912,20,8,0.4,4,0.2
77,1,16,46912,30,10,0.3333333333333333,5,0.16666666666666666
78,1,16,46912,40,10,0.25,5,0.125
79,1,16,46912,50,11,0.22,7,0.14
80,1,17,49844,10,2,0.2,3,0.3
81,1,17,49844,20,8,0.4,4,0.2
82,1,17,49844,30,10,0.3333333333333333,5,0.16666666666666666
83,1,17,49844,40,10,0.25,5,0.125
84,1,17,49844,50,11,0.22,7,0.14
85,1,18,52776,10,2,0.2,3,0.3
86,1,18,52776,20,6,0.3,4,0.2
87,1,18,52776,30,9,0.3,4,0.13333333333333333
88,1,18,52776,40,10,0.25,5,0.125
89,1,18,52776,50,10,0.2,5,0.1
90,1,19,55708,10,4,0.4,4,0.4
91,1,19,55708,20,6,0.3,4,0.2
92,1,19,55708,30,8,0.26666666666666666,5,0.16666666666666666
93,1,19,55708,40,10,0.25,6,0.15
94,1,19,55708,50,10,0.2,6,0.12
95,2,1,2932,10,7,0.7,6,0.6
96,2,1,2932,20,10,0.5,12,0.6
97,2,1,2932,30,11,0.36666666666666664,13,0.43333333333333335
98,2,1,2932,40,13,0.325,13,0.325
99,2,1,2932,50,14,0.28,15,0.3
