,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"115,806","579,158","7,637","11,561","130,663","844,825",93060,125921,151267,76903,22840,8210,3255,1531,1203,1662,Ore dake Level Up na Ken
1,"52,447","264,134","6,475","5,274","113,152","441,482",28825,41012,75121,47273,14330,4439,1758,710,363,541,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season
2,"93,036","226,430","12,124","11,446","92,434","435,470",44094,72505,61531,21941,5639,2386,901,333,160,297,Dungeon Meshi
3,"60,860","275,285","6,549","5,959","65,875","414,528",21533,34712,76970,58000,16589,5121,1506,519,204,279,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen
4,"46,071","153,343","3,462","3,580","72,873","279,329",12453,20487,44520,31666,9082,2873,925,351,170,189,Tsuki ga Michibiku Isekai Douchuu 2nd Season
5,"40,873","139,861","7,159","9,401","77,264","274,558",22130,28750,39089,20966,6589,2418,915,318,187,281,Yubisaki to Renren
6,"34,496","176,672","4,009","7,400","34,785","257,362",9635,16313,42774,43949,15102,5142,1346,416,165,179,Chiyu Mahou no Machigatta Tsukaikata
7,"26,141","155,926","3,123","2,324","53,532","241,046",41453,43050,31335,11104,2950,1115,383,230,382,649,Boku no Kokoro no Yabai Yatsu 2nd Season
8,"30,434","97,543","4,982","13,365","70,902","217,226",5678,5293,13117,26059,18276,7788,3490,1381,697,644,Mato Seihei no Slave
9,"24,978","115,310","3,428","5,098","35,651","184,465",7916,11009,26966,30075,11446,3735,1027,327,116,128,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru"
10,"24,236","96,258","4,314","10,049","48,474","183,331",4667,5956,15791,28502,15481,6324,2074,819,355,312,Dosanko Gal wa Namara Menkoi
11,"40,102","65,109","6,199","20,631","44,918","176,959",4514,5686,11231,17380,13590,7434,4129,1722,708,544,Ninja Kamui
12,"19,582","121,138","2,082","3,672","29,043","175,517",5657,9476,27414,32332,11492,3662,902,281,136,98,Nozomanu Fushi no Boukensha
13,"27,508","88,614","4,102","8,569","42,600","171,393",11430,10417,21269,19093,8103,3340,1650,848,557,967,Mahou Shoujo ni Akogarete
14,"18,718","115,184","2,327","4,086","30,593","170,908",5046,6839,19215,32740,16098,5620,1572,486,221,157,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen
15,"23,177","65,056","4,657","9,760","56,761","159,411",3781,6104,15936,18581,7260,2749,1021,334,152,153,Majo to Yajuu
16,"21,381","59,815","4,611","5,764","65,526","157,097",2595,3371,9612,16978,8596,2998,1139,414,154,173,Ao no Exorcist: Shimane Illuminati-hen
17,"21,244","91,943","2,761","10,746","29,421","156,115",3354,3418,8271,18625,18487,9787,4930,2213,1177,1025,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga."
18,"15,736","63,144","3,405","4,869","46,344","133,498",2562,4271,11699,18386,9275,3607,1407,519,284,369,Jaku-Chara Tomozaki-kun 2nd Stage
19,"19,443","62,197","4,034","7,852","37,983","131,509",2209,2738,7111,16021,11974,4820,1727,560,222,187,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd"
20,"16,268","53,774","3,407","10,885","38,014","122,348",2416,2996,7701,15147,9563,4313,1885,747,365,346,Oroka na Tenshi wa Akuma to Odoru
21,"17,867","54,110","2,908","10,832","31,830","117,547",2036,1385,3650,9468,12881,8119,4233,1756,814,614,Kekkon Yubiwa Monogatari
22,"13,583","69,945","2,177","4,465","24,591","114,761",4949,6948,15962,16019,6378,2430,794,268,132,97,Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.
23,"16,023","28,770","4,179","13,426","43,386","105,784",956,1469,3398,7619,8244,4962,2612,989,387,258,Metallic Rouge
24,"17,723","36,118","3,643","10,850","37,528","105,862",1365,1989,4984,9587,7595,3707,1726,707,340,296,Ishura
25,"14,608","54,392","2,582","7,536","24,455","103,573",2370,2891,8375,15678,10080,4267,1652,542,237,187,Sasaki to Pii-chan
26,"10,586","56,874","1,673","3,412","24,388","96,933",3033,4006,10283,15623,7102,2711,843,280,107,119,Gekai Elise
27,"14,403","41,076","2,669","9,913","27,914","95,975",1614,2400,5576,10699,8942,4626,2371,940,409,438,Bucchigiri?!
28,"15,968","29,741","3,589","6,879","34,551","90,728",2112,2743,5736,8970,4537,2071,653,219,86,107,Kyuujitsu no Warumono-san
29,"14,090","46,673","2,275","9,814","14,122","86,974",1353,1296,2934,8487,11497,7172,3002,1202,513,328,"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru"
30,"11,284","44,330","1,941","6,023","18,623","82,201",2369,2329,5144,10522,8418,4011,1479,509,220,190,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.
31,"9,625","39,670","1,386","3,085","18,945","72,711",3721,4722,8641,9149,3728,1373,399,154,83,197,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii
32,"10,090","25,514","2,566","7,106","24,218","69,494",2104,2246,5286,7211,3782,1939,809,334,144,159,"Himesama ""Goumon"" no Jikan desu"
33,"9,068","18,092","2,341","5,681","25,118","60,300",880,1255,3326,5557,3337,1595,601,193,90,93,Sengoku Youko: Yonaoshi Kyoudai-hen
34,"7,915","16,967","1,896","6,139","17,848","50,765",835,851,1741,3766,4049,2307,1075,406,168,161,Momochi-san Chi no Ayakashi Ouji
35,"6,584","16,744","1,593","1,129","24,135","50,185",1782,2741,5195,3800,1109,398,108,62,24,37,Urusei Yatsura (2022) 2nd Season
36,"4,998","18,456","1,378","1,640","18,754","45,226",884,1422,2843,4961,2650,1054,357,107,48,50,High Card Season 2
37,"3,951","22,643",546,407,"17,412","44,959",4993,6622,5130,1463,295,106,29,34,141,149,Kingdom 5th Season
38,"4,919","11,788",961,"3,341","15,770","36,779",420,166,378,1093,1987,2453,1410,796,493,469,"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita"
39,"2,918","9,482",755,"1,069","19,203","33,427",406,385,1032,2054,1899,849,343,149,61,72,Shaman King: Flowers
40,"4,202","7,903","1,221","3,804","16,175","33,305",433,380,1088,1986,2046,1280,573,232,96,105,Pon no Michi
41,"4,332","10,224",819,"1,640","13,630","30,645",1190,1607,2429,2113,1056,536,252,96,52,72,Yuuki Bakuhatsu Bang Bravern
42,"2,037","8,415",510,541,"7,760","19,263",468,532,1473,2056,1109,435,159,62,16,49,Synduality: Noir Part 2
43,"1,733","4,927",482,"1,659","5,728","14,529",134,159,644,1172,1235,712,266,112,44,44,Meiji Gekken: 1874
44,991,"5,144",340,893,"5,454","12,822",137,191,582,861,1101,775,454,204,98,59,Hikari no Ou 2nd Season
45,"1,266","2,363",412,"2,514","4,765","11,320",91,49,120,308,524,666,456,276,140,134,Gekkan Mousou Kagaku
46,"1,176","2,777",326,"1,699","3,640","9,618",138,165,464,600,593,452,254,149,94,111,Snack Basue
47,"3,161","1,105",325,426,"2,536","7,553",306,298,443,413,198,119,42,20,12,16,Wonderful Precure!
48,459,"2,590",100,225,"2,534","5,908",81,51,133,344,608,423,171,77,42,49,Yami Shibai 12
49,484,369,184,643,"3,789","5,469",25,8,13,23,59,97,81,62,42,53,Chou Futsuu Ken Chiba Densetsu
50,548,"1,394",96,266,"1,389","3,693",104,120,221,354,193,92,40,13,6,15,Cardfight!! Vanguard: Divinez
51,68,118,24,161,463,834,39,6,9,7,18,10,5,4,3,7,Harimaware! Koinu
52,22,79,14,139,163,417,7,2,1,4,8,11,4,1,2,6,Shinobanai! Crypto Ninja Sakuya: Ni no Maki
53,36,72,11,114,165,398,8,1,3,,14,10,6,3,1,9,Enjou Bokumetsu! Mahou Shoujo Aiko
54,79,39,29,91,152,390,14,3,5,4,5,7,3,2,2,7,Sai-Kyo-Oh! Zukan: The Ultimate Battles
55,22,45,10,123,108,308,9,,1,1,4,3,1,1,,5,Colorful na Everyday
56,45,0,10,120,83,258,3,,,,1,,2,,,5,Xin Xiyou Lixian Ji
57,18,46,7,115,60,246,5,3,,1,6,6,1,4,1,4,Sakuretsu! Amabie-hime. Season 3
58,10,46,8,82,97,243,7,1,1,2,7,4,2,,1,11,Balala Xiao Mo Xian: Xing Yuan Die Qi 2
59,19,16,8,85,93,221,5,,1,1,1,2,1,,,2,Magical Fang
60,40,0,9,74,86,209,8,,,2,5,1,,,,9,Larva in Mars
61,12,22,6,86,38,164,2,,1,1,1,3,3,1,,3,Dinoster: Gonglyongsuhodae 2nd Season
62,14,32,3,57,38,144,8,,2,2,2,3,3,2,,5,Kkoma Bus Tayo 7
63,10,13,5,56,36,120,2,,,1,1,,1,1,,1,DoReMi Friends
64,4,13,1,17,29,64,1,,,,1,3,,,,1,Charging Topspinner BX
65,"1,757,295",16,"302,076","197,821","224,471","2,481,679",642839,291959,227772,130267,53275,28273,12357,5812,4209,13659,One Piece
66,"210,002","585,930","19,591","13,020","182,102","1,010,645",332276,150834,63674,20153,6467,3456,1479,797,709,6425,Sousou no Frieren
67,"93,142","313,732","9,820","5,473","124,427","546,594",84014,111552,65391,17406,3899,1318,389,163,122,338,Kusuriya no Hitorigoto
68,"167,016",1,"75,000","48,912","68,787","359,716",39107,34214,43357,29335,10493,4416,1301,540,351,792,Meitantei Conan
69,"73,364","197,152","8,541","11,329","61,967","352,353",20097,41325,65209,32942,9732,3409,1174,414,187,246,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su"
70,"68,926","103,211","15,577","18,705","95,907","302,326",9152,17213,36395,26594,9128,3590,1305,427,222,285,Undead Unluck
71,"47,022","93,319","7,900","13,664","68,615","230,520",7862,10882,24098,23483,10009,4176,1919,746,365,366,Ragna Crimson
72,"35,153",5,"17,884","18,634","16,004","87,680",9042,6930,9782,8979,3813,1809,640,351,256,434,Crayon Shin-chan
73,"10,543","25,787","2,176","2,862","36,957","78,325",1758,2154,4929,6805,2979,1174,533,217,132,217,Nanatsu no Taizai: Mokushiroku no Yonkishi
74,"5,874","16,504","1,493","6,044","16,007","45,922",779,709,1841,3747,3753,2366,1336,741,432,517,Buta no Liver wa Kanetsu Shiro
75,"17,938",1,"3,908","2,741","10,512","35,100",904,1077,2065,2183,940,383,168,63,36,130,Pokemon (2023)
76,"5,085","7,552","1,455","4,313","10,646","29,051",440,607,1468,2289,2006,1104,467,187,69,65,Megumi no Daigo: Kyuukoku no Orange
77,"8,989",2,"3,490","4,210","4,615","21,306",2026,1426,2111,2192,995,479,119,72,32,96,Doraemon (2005)
78,"3,291","5,607",552,749,"4,850","15,049",610,825,1444,1626,687,285,101,57,20,22,Captain Tsubasa Season 2: Junior Youth-hen
79,"2,298",0,761,"1,898","3,803","8,760",263,102,186,362,360,275,110,56,48,169,Sazae-san
80,"2,220",0,"1,230","1,689","2,831","7,970",324,288,455,700,445,189,53,29,16,47,Nintama Rantarou
81,836,"1,470",283,677,"4,366","7,632",130,128,263,407,242,153,58,37,26,27,Dog Signal
82,"2,453",0,948,"1,286","2,014","6,701",357,383,416,487,247,147,42,19,15,52,Chibi Maruko-chan (1995)
83,"2,143",0,423,849,"3,272","6,687",137,67,85,147,211,162,92,60,60,110,Yu☆Gi☆Oh! Go Rush!!
84,"1,486",0,348,993,"3,231","6,058",71,30,57,106,123,163,98,41,30,50,Tousouchuu: Great Mission
85,"2,709",0,446,639,"1,910","5,704",526,112,167,196,123,122,52,35,23,45,Chiikawa
86,"2,316",0,358,494,"1,429","4,597",154,85,164,297,174,108,58,25,17,21,Beyblade X
87,"1,591",0,550,"1,152","1,288","4,581",202,346,350,254,261,179,45,31,21,46,Sore Ike! Anpanman
88,872,0,451,887,"1,055","3,265",108,50,91,133,138,94,43,26,25,49,Bonobono (TV 2016)
89,704,0,205,664,"1,451","3,024",41,9,31,56,77,78,50,25,18,37,Ninjala (TV)
90,157,0,60,186,"2,009","2,412",27,1,6,6,3,7,5,3,,8,Shikaru Neko
91,656,0,256,620,683,"2,215",68,40,48,99,121,94,33,13,9,28,Ojarumaru
92,399,0,194,318,"1,124","2,035",18,9,12,41,54,24,17,10,6,11,Fushigi Dagashiya: Zenitendou
93,327,0,80,282,"1,000","1,689",26,7,4,19,22,18,12,8,5,26,Puzzle & Dragon
94,521,0,281,157,371,"1,330",69,17,57,110,147,69,22,10,5,10,Tom to Jerry Gokko
95,244,0,60,397,580,"1,281",18,6,4,10,10,14,7,5,5,23,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?
96,138,309,45,195,387,"1,074",22,16,29,63,80,46,15,7,6,4,Ochibi-san
97,263,0,114,290,329,996,30,4,17,25,21,35,6,5,8,19,Hanakappa
98,176,0,37,375,388,976,21,1,1,3,5,11,2,2,1,20,Shiawase Haitatsu Taneko
99,157,0,34,242,249,682,37,4,1,4,10,15,6,3,4,10,Shimajirou no Wow!
100,76,82,26,130,348,662,13,2,3,8,11,8,4,4,2,9,Duel Masters Win: Duel Wars-hen
101,116,0,40,301,191,648,8,1,1,4,4,9,12,3,5,17,Manul no Yuube
102,122,0,36,201,202,561,11,,,2,4,6,9,1,9,13,Gohan Kaijuu Pap
