,Title,Link
0,Enen no Shouboutai: San no Shou,https://myanimelist.net/anime/51818/Enen_no_Shouboutai__San_no_Shou
1,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita: Sono Ni",https://myanimelist.net/anime/50738/Slime_Taoshite_300-nen_Shiranai_Uchi_ni_Level_Max_ni_Nattemashita__Sono_Ni
2,Wind Breaker Season 2,https://myanimelist.net/anime/59160/Wind_Breaker_Season_2
3,Lazarus,https://myanimelist.net/anime/56038/Lazarus
4,Vigilante: Boku no Hero Academia Illegals,https://myanimelist.net/anime/60593/Vigilante__Boku_no_Hero_Academia_Illegals
5,Aharen-san wa Hakarenai Season 2,https://myanimelist.net/anime/59466/Aharen-san_wa_Hakarenai_Season_2
6,Sentai Daishikkaku 2nd Season,https://myanimelist.net/anime/59189/Sentai_Daishikkaku_2nd_Season
7,"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru?",https://myanimelist.net/anime/60146/Saikyou_no_Ousama_Nidome_no_Jinsei_wa_Nani_wo_Suru
8,"Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)",https://myanimelist.net/anime/52709/Danjo_no_Yuujou_wa_Seiritsu_suru_Iya_Shinai
9,"Haite Kudasai, Takamine-san",https://myanimelist.net/anime/59457/Haite_Kudasai_Takamine-san
10,Kuroshitsuji: Midori no Majo-hen,https://myanimelist.net/anime/59228/Kuroshitsuji__Midori_no_Majo-hen
11,"Katainaka no Ossan, Kensei ni Naru",https://myanimelist.net/anime/59452/Katainaka_no_Ossan_Kensei_ni_Naru
12,Shoushimin Series 2nd Season,https://myanimelist.net/anime/59828/Shoushimin_Series_2nd_Season
13,"Isshun de Chiryou shiteita noni Yakutatazu to Tsuihou sareta Tensai Chiyushi, Yami Healer toshite Tanoshiku Ikiru",https://myanimelist.net/anime/58359/Isshun_de_Chiryou_shiteita_noni_Yakutatazu_to_Tsuihou_sareta_Tensai_Chiyushi_Yami_Healer_toshite_Tanoshiku_Ikiru
14,Witch Watch,https://myanimelist.net/anime/59597/Witch_Watch
15,Shiunji-ke no Kodomotachi,https://myanimelist.net/anime/58131/Shiunji-ke_no_Kodomotachi
16,Kowloon Generic Romance,https://myanimelist.net/anime/60083/Kowloon_Generic_Romance
17,Summer Pockets,https://myanimelist.net/anime/50694/Summer_Pockets
18,Your Forma,https://myanimelist.net/anime/55995/Your_Forma
19,"Bye Bye, Earth 2nd Season",https://myanimelist.net/anime/59819/Bye_Bye_Earth_2nd_Season
20,Uma Musume: Cinderella Gray,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray
21,Ore wa Seikan Kokka no Akutoku Ryoushu!,https://myanimelist.net/anime/60154/Ore_wa_Seikan_Kokka_no_Akutoku_Ryoushu
22,Kanpekisugite Kawaige ga Nai to Konyaku Haki sareta Seijo wa Ringoku ni Urareru,https://myanimelist.net/anime/60157/Kanpekisugite_Kawaige_ga_Nai_to_Konyaku_Haki_sareta_Seijo_wa_Ringoku_ni_Urareru
