,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"69,426","207,677","6,277","4,425","131,740","419,545",39982,63773,53499,18460,4611,1496,707,278,153,518,[Oshi no Ko] 2nd Season
1,"73,968","217,632","6,484","12,470","84,816","395,370",18592,27513,62383,56509,20700,7441,2729,1098,514,915,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san
2,"50,840","171,467","4,028","7,162","48,716","282,213",14316,27335,54341,33998,9930,3451,1284,482,248,315,Tsue to Tsurugi no Wistoria
3,"55,462","96,469","5,157","14,643","82,223","253,954",4946,5931,14626,26744,19566,8875,4918,1992,835,766,Kami no Tou: Ouji no Kikan
4,"41,345","140,920","4,077","4,482","63,232","254,056",16234,33779,45463,22273,6699,2193,798,282,117,229,Make Heroine ga Oosugiru!
5,"63,227","77,080","9,906","30,204","60,731","241,148",10638,7076,16381,25968,16868,8756,4359,1827,879,1016,Shikanoko Nokonoko Koshitantan
6,"37,656","90,088","4,246","12,401","50,869","195,260",4724,7307,19378,26571,11918,4706,1767,666,289,296,Isekai Shikkaku
7,"33,815","109,279","2,276","8,747","28,546","182,663",4026,4459,11889,25320,22739,11052,5467,2426,1290,1012,"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made"
8,"31,760","75,341","4,374","9,277","56,911","177,663",5660,8441,18959,20894,9884,4100,1732,652,325,360,Gimai Seikatsu
9,"33,819","70,685","5,287","10,757","54,078","174,626",8746,11054,21070,16905,6487,2733,974,369,176,188,Giji Harem
10,"33,983","73,779","4,627","6,980","52,098","171,467",5287,11959,25959,16718,4949,1716,573,193,95,156,Nige Jouzu no Wakagimi
11,"31,246","99,075","2,334","8,245","28,200","169,100",4331,5559,14629,27155,16867,7100,2779,963,427,394,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai"
12,"38,725","24,532","3,674","3,022","82,594","152,547",5187,3486,7421,7647,3115,1235,496,194,98,176,Fairy Tail: 100-nen Quest
13,"20,879","43,864","3,954","15,142","65,729","149,568",1760,2222,6199,12130,10330,5593,3076,1350,629,606,Isekai Suicide Squad
14,"27,028","98,438","1,860","5,100","22,050","154,476",5140,7961,21179,27480,10700,3648,1226,478,183,231,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru."
15,"26,438","61,562","2,758","11,095","27,022","128,875",1884,1893,5679,15048,15107,7688,3135,1195,470,356,Maougun Saikyou no Majutsushi wa Ningen datta
16,"33,860","32,553","4,732","8,316","48,400","127,861",3313,4216,9760,11189,4897,2237,958,445,220,258,2.5-jigen no Ririsa
17,"26,794","47,742","2,912","10,197","29,855","117,500",1639,1357,4136,10870,12677,7339,3125,1090,404,311,Naze Boku no Sekai wo Daremo Oboeteinai no ka?
18,"18,412","35,147","3,490","7,433","42,409","106,891",1957,3932,9585,10957,4820,2038,822,290,133,151,Shoushimin Series
19,"11,029","34,552","1,748","1,196","44,649","93,174",4287,5990,9997,5960,1861,597,208,101,45,66,NieR:Automata Ver1.1a Part 2
20,"23,522",0,"6,415","3,219","56,673","89,829",741,414,1023,2073,1516,776,402,183,108,119,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II"
21,"14,827","35,349","2,201","3,877","31,827","88,081",3038,3978,8971,9275,3749,1454,468,165,71,98,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.
22,"14,022","40,355","1,516","5,973","15,173","77,039",1989,1895,4349,9082,8406,4187,1622,635,262,249,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu
23,"12,769","23,718","2,428","6,825","30,599","76,339",1860,2680,5898,7178,3445,1570,656,287,167,405,Senpai wa Otokonoko
24,"10,831","21,010","2,329","4,732","34,545","73,447",1683,1874,4521,6614,3447,1544,615,224,110,130,Atri: My Dear Moments
25,"13,402","33,401","1,416","7,152","15,644","71,015",999,759,1929,5116,7881,6455,3192,1441,592,514,Mob kara Hajimaru Tansaku Eiyuutan
26,"9,672","33,135","1,552","1,509","24,523","70,391",2203,2626,7407,9505,3556,1204,427,149,85,92,Megami no Café Terrace 2nd Season
27,"11,824","30,997","1,666","4,729","20,087","69,303",1002,1403,4235,8822,6444,2687,833,271,98,92,Madougushi Dahliya wa Utsumukanai
28,"13,968","20,445","2,425","7,557","21,340","65,735",1522,1940,4447,6579,4141,2043,902,358,211,231,VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta
29,"10,233","21,918","1,782","5,134","23,304","62,371",801,746,2329,5593,5691,2996,1551,602,272,292,Koi wa Futago de Warikirenai
30,"12,124","17,394","2,010","7,364","19,609","58,501",544,575,1585,3765,4806,3173,1611,545,232,203,"Bye Bye, Earth"
31,"9,213","21,867","1,507","6,562","18,495","57,644",1211,1225,3397,6141,4742,2376,1168,514,279,315,Boku no Tsuma wa Kanjou ga Nai
32,"7,919","17,915","1,427","3,411","20,030","50,702",1096,1884,4647,5459,2356,999,375,125,46,78,Mayonaka Punch
33,"10,259","9,764","1,520","3,242","24,510","49,295",628,689,1610,2949,2321,1175,458,180,82,76,Delico's Nursery
