,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
46,102,212,44,185,415,958,21,7,15,29,35,27,16,8,14,19,5-Okunen Button
47,23,123,10,105,160,421,11,2,6,19,13,15,14,4,1,9,Iii Icecrin Double
48,34,96,18,159,97,404,16,4,3,3,9,12,5,7,4,18,Sakuretsu! Amabie-hime.
49,25,61,13,149,105,353,13,,2,2,5,8,11,2,1,5,Ganbare! Choushuu-kun
50,41,0,10,102,89,242,2,,,,,,1,,,3,Youkoso Ninchishou Sekai e
51,8,40,8,86,64,206,9,,,4,5,,3,1,,3,Bo & To's Family 2nd Season
52,4,33,3,54,33,127,6,,,,2,1,3,2,1,3,Dino Powers
53,3,27,3,44,38,115,7,,,,1,,2,1,1,1,Hero Circle 2
54,"1,765,315",51,"304,100","198,855","225,031","2,493,352",646517,293341,228717,130882,53542,28401,12433,5839,4237,13761,One Piece
55,"377,237","76,543","117,148","231,528","92,376","894,832",24549,21380,45916,84060,86955,66740,50565,27964,19103,29473,Boruto: Naruto Next Generations
56,"84,791","277,820","22,548","14,816","197,723","597,698",52017,81137,72986,29341,9170,3743,1813,689,321,451,Summertime Render
57,"167,451",3,"75,169","48,998","68,933","360,554",39190,34272,43437,29402,10512,4428,1302,541,352,793,Meitantei Conan
58,"51,432","126,209","12,970","22,340","90,216","303,167",6839,8207,21741,36889,22949,11118,4885,1842,848,837,Kakkou no Iinazuke
59,"30,373","137,169","6,549","7,008","51,164","232,263",15417,29260,43024,20569,5744,1954,697,279,126,224,Ao Ashi
60,"29,243","29,759","10,622","9,407","16,665","95,696",4444,5362,9707,11222,5246,2371,932,464,233,358,Pokemon (2019)
61,"35,302",5,"17,937","18,671","16,062","87,977",9079,6947,9809,9013,3817,1806,642,351,258,435,Crayon Shin-chan
62,"22,474","14,097","7,016","8,982","24,091","76,660",5489,3240,5532,5918,3007,1604,602,257,129,193,Dragon Quest: Dai no Daibouken (2020)
63,"8,652","37,353","1,231",825,"25,434","73,495",8817,11388,8183,2373,556,191,85,65,187,329,Kingdom 4th Season
64,"6,674","12,671","1,917","5,070","15,537","41,869",555,945,1709,3348,2871,1751,862,384,143,121,Love All Play
65,"5,871","5,800","2,026","2,809","8,282","24,788",402,541,1397,2033,1490,796,334,128,64,80,Digimon Ghost Game
66,"9,044",1,"3,495","4,226","4,626","21,392",2034,1429,2119,2202,997,478,120,72,32,97,Doraemon (2005)
67,"3,385",171,"1,447","1,401","6,992","13,396",556,220,398,637,413,242,84,36,54,82,Gudetama
68,"1,924","3,329",672,833,"4,317","11,075",355,387,764,800,536,311,147,55,18,48,Delicious Party♡Precure
69,"1,223","3,652",358,"1,352","2,414","8,999",178,115,249,546,865,824,425,229,160,148,Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu
70,"2,303",0,761,"1,908","3,817","8,789",266,102,185,364,359,274,110,55,48,169,Sazae-san
71,"2,226",0,"1,236","1,693","2,853","8,008",326,289,455,700,444,189,54,29,16,47,Nintama Rantarou
72,"1,691","1,459",334,793,"2,584","6,861",154,99,233,384,321,175,74,43,35,62,Shadowverse Flame
73,"2,475",0,950,"1,297","2,032","6,754",361,385,416,492,247,148,41,19,15,52,Chibi Maruko-chan (1995)
74,"2,175",0,428,856,"3,294","6,753",138,67,84,153,212,165,91,59,61,110,Yu☆Gi☆Oh! Go Rush!!
75,891,"1,045",338,725,"2,946","5,945",212,118,158,240,183,140,68,53,27,44,Waccha PriMagi!
76,"2,902",2,457,658,"1,993","6,012",586,123,181,197,128,123,53,36,23,47,Chiikawa
77,"1,594",0,553,"1,150","1,302","4,599",202,348,350,254,261,177,45,31,21,46,Sore Ike! Anpanman
78,875,0,452,890,"1,060","3,277",108,50,92,134,139,93,43,26,25,49,Bonobono (TV 2016)
79,708,0,204,669,"1,459","3,040",41,9,31,57,76,81,49,25,17,38,Ninjala (TV)
80,544,423,206,452,"1,192","2,817",125,43,92,164,164,95,28,21,16,19,Youkai Watch ♪
81,162,0,62,191,"2,018","2,433",27,1,6,6,4,8,5,3,,8,Shikaru Neko
82,655,0,256,626,686,"2,223",68,40,48,99,121,94,33,13,9,28,Ojarumaru
83,404,0,193,320,"1,144","2,061",18,9,12,41,54,25,17,10,6,11,Fushigi Dagashiya: Zenitendou
84,331,0,82,286,"1,002","1,701",26,7,4,19,22,18,12,8,5,26,Puzzle & Dragon
85,248,0,59,402,587,"1,296",18,6,4,10,10,14,7,5,5,23,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?
86,155,177,42,211,453,"1,038",22,7,19,28,32,28,14,9,9,17,Cap Kakumei Bottleman DX
87,265,0,112,294,331,"1,002",30,4,17,25,21,36,6,5,8,19,Hanakappa
88,178,0,36,377,389,980,21,1,1,3,5,11,2,2,1,20,Shiawase Haitatsu Taneko
89,85,59,40,246,443,873,19,1,1,4,5,7,13,5,2,15,Uchuu Nanchara Kotetsu-kun
90,65,157,36,143,401,802,18,5,6,16,13,15,12,8,4,15,Duel Masters King Max
91,160,0,33,245,249,687,38,4,1,4,10,15,6,3,4,10,Shimajirou no Wow!
92,118,0,39,305,192,654,8,1,1,4,4,9,12,3,5,17,Manul no Yuube
93,57,99,17,128,307,608,15,2,9,11,16,10,5,2,1,12,Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season
94,123,0,36,203,205,567,11,,,2,4,6,9,1,9,13,Gohan Kaijuu Pap
95,108,0,26,197,196,527,12,,,2,6,6,1,2,2,10,Yowamushi Monsters
96,49,89,19,136,226,519,16,2,7,5,13,12,8,4,3,13,Insect Land
97,36,126,22,107,196,487,14,,2,8,16,14,10,2,1,16,Ehon Yose
98,84,20,21,172,137,434,13,,1,,5,4,6,,7,17,Otoppe
99,81,0,27,168,121,397,11,,1,1,2,2,4,3,1,11,Pakkororin
100,63,0,24,158,132,377,25,,,,2,2,3,1,,7,Shin Nippon History
101,62,0,20,156,128,366,5,1,,,3,2,1,,2,8,Origami Ninja Koyankinte
102,38,34,9,161,88,330,11,1,,,1,6,4,,1,10,Madtoy Chatty
103,6,55,5,81,44,191,9,,,2,4,5,2,,1,8,Agisang-eo Ollie wa William
104,2,59,8,75,47,191,13,2,,1,9,2,4,1,2,3,Beuledeu Ibalso 3
105,28,0,14,85,52,179,4,,,1,,2,1,,,1,Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi
106,9,40,4,45,47,145,7,,,3,2,,5,3,,3,Mecard Ball
107,3,33,4,57,35,132,6,,,,1,1,2,2,,5,Hello Carbot Season 12
108,3,36,4,45,34,122,11,,,2,3,,4,2,,4,Robocar Poli 5
109,"45,800","713,324","11,680","8,840","97,465","877,109",159940,195815,144335,60945,20205,7508,3149,1298,679,1111,Cyberpunk: Edgerunners
110,"14,327","229,005","4,537","1,667","46,029","295,565",24170,37980,66083,35575,10634,3003,1071,366,177,318,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2
111,"5,853","75,299","2,321","2,016","33,068","118,557",3808,5011,13298,19775,9355,3487,1183,430,228,193,Kakegurui Twin
112,"15,429","52,103","2,747","2,022","33,855","106,156",3082,3398,8144,11111,4944,1758,639,222,175,124,Xian Wang de Richang Shenghuo 3
113,"30,051","4,539","8,747","17,925","17,807","79,069",2073,1417,2285,4343,5630,5187,3792,2261,1783,2181,Super Dragon Ball Heroes
114,"22,578",2,"3,810","3,608","26,855","56,853",7808,2524,2732,1848,823,519,209,154,167,1122,Holo no Graffiti
115,"3,240","16,163",840,384,"26,707","47,334",2124,3536,5042,2129,555,201,77,24,30,40,Yojouhan Time Machine Blues
116,"8,641","15,681","1,391","1,610","16,242","43,565",1084,1275,2786,3741,1906,761,338,144,84,96,Long Zu
117,"2,714","20,726",751,887,"9,646","34,724",960,1316,2433,4434,3483,1519,669,299,137,126,Bastard!! Ankoku no Hakaishin Part 2 (ONA)
118,"2,181","26,258",446,759,"4,142","33,786",769,882,2385,5895,5450,2718,1155,449,204,157,Tekken: Bloodline
119,"5,325","11,869","1,054","2,104","9,296","29,648",465,523,1393,2917,2217,1078,355,146,57,79,Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming
120,"4,559","8,288",564,617,"5,481","19,509",483,511,1152,1702,817,270,116,58,46,53,Kao Ni La Zhanshen Xitong
121,"1,820","9,200",387,452,"4,952","16,811",458,307,889,1750,1600,661,160,55,48,54,Overlord: Ple Ple Pleiades 4
122,"1,917","5,632",436,312,"4,326","12,623",616,375,633,1125,809,396,137,70,30,42,Obey Me! Season 2
123,"1,531","4,083",290,433,"5,807","12,144",294,228,340,663,633,400,203,92,79,60,Tian Mei De Yao Hen
124,626,"7,720",138,127,"2,610","11,221",407,448,1240,1910,705,221,71,34,31,25,Long Zu Episode 0
125,"6,256",0,350,353,"2,356","9,315",1343,652,555,190,58,37,29,50,48,130,Doupo Cangqiong: Nian Fan
126,"1,882","2,578",246,265,"2,435","7,406",494,504,719,321,100,30,18,26,25,50,Yi Nian Yong Heng: Chuan Cheng Pian
127,844,"3,366",150,287,"2,165","6,812",227,128,258,404,523,323,159,81,83,98,"Mori no Kuma-san, Toumin-chuu."
128,"1,296","1,112",389,648,"3,081","6,526",88,60,167,361,317,200,79,28,28,41,Sekai no Owari ni Shiba Inu to
129,178,"5,351",37,66,867,"6,499",582,340,793,1099,519,223,58,46,26,51,Shark'd
130,795,"3,206",160,157,"1,755","6,073",237,265,566,680,243,83,32,27,24,26,Meng Qi Shi Shen: Huanxi Zhui Hun
131,966,"1,758",203,236,"2,792","5,955",178,169,247,380,219,84,49,23,19,25,Cang Lan Jue
132,354,"1,971",172,250,"2,210","4,957",148,46,83,128,294,325,111,62,43,79,"Kanojo, Okarishimasu Petit 2nd Season"
133,"1,128","1,929",118,196,"1,050","4,421",221,198,401,365,161,54,22,19,14,22,Zhu Xian
134,405,"2,335",46,106,879,"3,771",276,211,369,379,92,38,22,24,22,52,Doupo Cangqiong: Yuanqi
135,435,"1,955",101,246,953,"3,690",102,71,180,339,363,230,107,65,41,57,Saint Seiya: Knights of the Zodiac - Battle Sanctuary
136,635,"1,391",106,108,"1,413","3,653",147,192,306,251,57,26,14,16,14,17,Bai Yao Pu 3rd Season
137,171,"1,793",76,133,"1,412","3,585",112,85,206,449,274,141,57,19,6,12,Rilakkuma to Yuuenchi
138,301,"1,803",85,95,"1,273","3,557",197,205,341,363,94,43,23,25,21,23,Hanhua Riji 3rd Season
139,249,"2,280",40,104,436,"3,109",435,415,493,168,40,11,4,6,9,19,Tunshi Xingkong 3rd Season
140,563,"1,154",147,221,931,"3,016",65,42,108,152,219,225,88,43,22,39,Chiichai! Maou-sama!!
141,"1,381",365,144,187,410,"2,487",102,70,115,158,53,27,14,12,12,16,Wan Jie Du Zun 2nd Season
142,358,"1,165",58,127,632,"2,340",86,66,211,250,119,48,17,19,16,18,Shen Mu
143,485,908,77,128,619,"2,217",116,93,173,161,49,25,14,12,9,14,Shen Lan Qi Yu Wushuang Zhu
144,148,"1,087",38,69,625,"1,967",112,30,63,162,157,120,41,24,22,31,Hololive Summer 2022
145,128,743,103,157,654,"1,785",38,20,26,54,112,127,46,17,13,21,Akuyaku Reijou nanode Last Boss wo Kattemimashita Mini
146,436,495,57,137,612,"1,737",52,49,72,109,59,25,13,9,8,15,Shaonian Bai Ma Zui Chun Feng
147,983,0,119,174,285,"1,561",55,19,54,82,46,20,5,9,6,13,Wangu Shenhua
148,623,284,60,140,303,"1,410",24,10,31,69,46,29,19,6,6,11,Wo Kao Chongzhi Dang Wudi
149,441,482,55,122,251,"1,351",33,17,49,74,62,35,12,19,14,13,Jidao Long Shen
150,113,87,36,94,"1,001","1,331",11,1,4,12,11,13,6,9,5,8,Huanmeng Shan Hai Yao
151,368,393,58,116,312,"1,247",26,19,45,79,56,36,10,7,6,11,Wangu Jian Shen (2022)
152,44,791,23,54,304,"1,216",39,11,26,68,157,137,37,17,8,7,Pokemon Scarlet Violet
153,161,131,36,84,779,"1,191",16,3,14,15,19,12,2,6,5,9,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 3rd Season
154,334,347,49,105,268,"1,103",23,12,23,56,58,30,15,10,9,13,Xian Wu Cangqiong
155,71,536,46,80,311,"1,044",28,10,18,37,103,86,19,6,6,8,Shinmai Renkinjutsushi no Tenpo Keiei Mini Anime
156,101,128,42,73,681,"1,025",11,5,11,25,24,14,7,4,4,9,Shanghai Gushi
157,340,259,49,132,231,"1,011",18,7,17,42,41,36,20,13,9,12,Xing Yuan Zhi Zhu
158,178,173,37,107,505,"1,000",10,11,19,29,34,22,12,7,8,9,Hei Men
159,246,404,40,103,207,"1,000",23,18,42,75,48,32,8,10,8,11,Zhan Qiannian
160,358,161,34,148,246,947,14,5,13,24,28,25,14,8,11,10,Xian Mu
161,37,422,18,107,334,918,15,6,13,39,57,78,23,13,11,18,Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 3rd Season
162,163,119,34,82,453,851,10,5,13,32,17,8,8,5,3,9,Shi Shaoxia Ganjue Hao Gudan
163,264,247,34,90,191,826,16,4,12,30,38,25,16,7,7,9,Li Ba Shanhe Xi Zitang
164,96,70,30,73,422,691,7,,3,14,12,11,9,4,3,6,Yangguang Kafei Ting Zhi Xin You Ji
165,170,127,31,107,199,634,11,1,10,27,18,14,10,8,5,8,San Cun Renjian
166,150,74,25,77,214,540,10,,3,7,15,11,12,4,2,6,Shan Hai Juelun
167,58,193,22,70,198,541,14,9,12,23,23,10,5,6,5,4,Xi Xing Ji: Qiong Qi Didong
168,41,144,15,62,266,528,16,8,15,21,22,7,3,4,2,6,Fei Ren Zai 2nd Season
169,214,0,76,42,194,526,26,8,23,29,36,14,3,2,2,,MyGO!!!!! Member no Nichijou
170,18,311,3,48,116,496,13,4,18,33,58,37,16,7,3,8,Anata no France wa Donna Tokoro?
171,118,0,74,48,237,477,9,2,1,10,18,14,7,5,2,,Pokemon Peaceful Place
172,24,210,13,37,169,453,9,,4,22,49,37,10,5,5,4,"Iro wo Shiru Tabi, Sekai ga Hiroku Naru"
173,28,158,20,60,184,450,17,,3,14,21,24,11,7,2,4,Extreme Hearts S×S×S
174,95,61,16,61,148,381,11,,3,10,11,4,1,4,3,4,Mo You Ji
175,22,114,11,64,163,374,11,2,11,17,19,19,4,2,2,3,Tuanzimen de Shiming
176,11,261,7,28,73,380,24,6,18,33,54,37,7,3,1,2,Midnight Grand Mos Burger
177,34,104,14,57,126,335,15,,11,15,13,9,5,2,3,6,Si Wuxie
178,12,179,13,40,97,341,17,3,1,15,33,23,8,6,4,4,Azur Lane 4th Anniversary: A Day at the Port Ice Cream Shop
179,12,205,6,25,88,336,13,5,12,32,35,36,4,1,2,4,Koneko no Haitatsuin Uunyan
180,36,50,12,72,182,352,7,4,7,14,7,6,3,1,1,2,Jiaonang Jihua
181,13,142,9,45,102,311,7,,2,6,30,32,11,6,3,11,Katsuren Omoro Soushi
182,25,94,3,64,79,265,8,2,1,10,11,19,6,3,,11,Cap Kakumei Bottleman DX: Side Story
183,16,64,13,67,74,234,10,3,,2,7,8,6,4,5,3,Aware! Meisaku-kun: Ryuuguuchuu-hen
184,21,61,12,53,77,224,10,2,,10,9,9,5,,,3,BT21 Original Story 2nd Season
185,16,39,7,58,89,209,6,,,2,3,5,3,,,3,Hun Hou Richang
186,14,34,6,43,88,185,7,,,,5,,2,,,2,Duxing Yueqiu
187,5,104,2,28,41,180,9,1,1,7,6,19,10,4,5,7,Went to the Stray Kids Concert!
188,7,64,4,34,37,146,7,,3,3,10,7,5,1,1,1,Bu Ya Duanpian: Bajiu Buli Shi
189,5,80,2,27,34,148,6,,2,1,13,17,5,,,1,Haha toshite Honmono wo.
190,5,48,4,36,38,131,8,,,1,6,3,5,1,1,4,Rescue Tayo
191,7,41,6,29,39,122,9,,1,1,3,3,2,,,2,Miaomiao Ruci Yaorao
192,6,47,4,18,44,119,1,,,1,3,9,8,4,,1,Rich Mountain Toyama
193,3,56,4,22,29,114,6,,,3,12,6,2,2,,2,LG gram 360 x Julia Ryu: Shimcheong Dive
194,5,21,3,30,35,94,1,,,,4,3,1,,,,Yuanqi Qi Shi
195,4,34,2,10,11,61,1,,,6,4,4,4,,,2,Yowaki Hakanaki Mono-tachi Pilot Movie
196,"6,826","31,930","1,825",595,"37,635","78,811",1929,2515,7081,8318,2532,630,125,37,17,35,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi
197,"3,274","15,032",879,475,"20,815","40,475",970,684,1611,3071,2075,952,365,168,84,93,Strike the Blood Final
198,821,"24,866",188,209,"13,662","39,746",2377,2034,4012,5287,2071,666,126,48,23,43,Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.
199,"2,020","25,957",446,242,"10,813","39,478",1482,1216,2902,5234,2828,987,313,148,81,62,Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou
200,"3,028","2,741",822,330,"6,309","13,230",429,379,775,1344,736,314,76,36,20,27,Choujigen Game Neptune The Animation OVA
201,"4,383","1,726",617,387,"2,181","9,294",689,585,886,819,396,203,74,38,34,60,Seika Jogakuin Kounin Sao Ojisan
202,"1,498","2,398",405,241,"1,335","5,877",265,245,485,667,372,187,60,19,16,33,Iinchou wa Saimin Appli wo Shinjiteru.
203,627,"3,070",216,272,"1,216","5,401",152,92,181,345,451,373,254,152,130,173,Sleepless: A Midsummer Night's Dream - The Animation
204,"1,641","1,506",504,287,"1,414","5,352",281,191,368,464,307,153,71,45,30,35,Boku wa Chiisana Succubus no Shimobe
205,387,"3,398",143,176,802,"4,906",184,168,306,532,521,338,123,62,42,45,Delivery Chi*ko wo Tanomitai Oneesan
206,"1,245","1,357",358,264,"1,225","4,449",173,83,187,300,363,212,84,52,32,37,Summer: Inaka no Seikatsu
207,647,"2,180",224,236,"1,121","4,408",120,60,118,257,368,279,191,104,75,81,Natsuyasumi Ake no Kanojo wa...
208,"1,103","1,303",332,271,"1,084","4,093",129,78,139,244,320,191,81,70,41,54,Tsugunai
209,924,"1,393",290,252,980,"3,839",124,82,164,275,306,212,105,50,31,49,Kitsune Musume no Ecchi na Oyado
210,883,"1,173",271,220,"1,240","3,787",104,74,210,261,291,162,90,32,21,25,Doukyuusei Remake The Animation
211,931,"1,182",312,247,"1,051","3,723",88,60,111,205,267,236,96,64,38,37,Renseijutsushi Colette no H na Sakusei Monogatari
212,"1,079",689,312,224,"1,017","3,321",102,60,137,203,213,154,62,33,21,35,Korashime 2: Kyouikuteki Depaga Shidou
213,780,965,257,207,852,"3,061",80,33,81,169,219,196,79,41,28,32,Haji+ Shinchishin
214,163,"1,189",73,118,307,"1,850",54,32,53,116,171,165,101,62,45,45,Kisaku Reiwa
215,6,23,6,21,41,97,5,,1,,1,1,,1,,1,Enomoto The Animation
216,"9,751","93,417","2,218",451,"91,293","197,130",10634,14075,24307,17754,5711,1748,621,205,98,78,"Natsu e no Tunnel, Sayonara no Deguchi"
217,"5,434","145,124",984,519,"39,256","191,317",18251,20320,31384,24070,9928,3818,2085,899,494,470,One Piece Film: Red
218,"2,357","38,941",812,306,"44,880","87,296",6476,8584,10093,4433,1093,298,102,51,34,70,Yuru Camp△ Movie
219,"2,435","47,039",679,444,"23,237","73,834",3239,4081,9005,11533,5717,2159,733,296,101,83,Ame wo Tsugeru Hyouryuu Danchi
220,464,"5,565",257,155,"14,331","20,772",572,618,1078,1097,401,153,39,25,6,19,Bakuten!! Movie
221,456,"3,381",236,147,"16,233","20,453",261,255,547,708,239,85,20,6,2,14,Tsurune Movie: Hajimari no Issha
222,"1,435","7,913",314,198,"6,370","16,230",1044,1846,2353,828,202,60,21,19,4,26,Ginga Eiyuu Densetsu: Die Neue These - Sakubou
223,143,"1,133",89,122,"4,109","5,596",151,66,113,147,106,68,24,18,6,17,Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours
224,102,"1,309",58,85,"1,301","2,855",91,165,346,179,122,53,31,12,6,11,Gundam: G no Reconguista Movie IV - Gekitou ni Sakebu Ai
225,117,"1,278",57,86,"1,293","2,831",97,162,332,164,114,70,25,17,7,14,Gundam: G no Reconguista Movie V - Shisen wo Koete
226,89,758,57,82,"1,659","2,645",28,33,59,149,135,59,25,11,2,17,Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu
227,81,"1,315",54,95,913,"2,458",88,135,294,206,154,91,35,10,3,8,Delicious Party♡Precure Movie: Yume Miru Oko-sama Lunch!
228,90,770,36,69,729,"1,694",62,80,129,165,73,20,7,8,7,7,Xin Shen Bang: Yang Jian
229,68,527,27,73,501,"1,196",102,30,62,65,35,24,5,5,1,1,Aikatsu! 10th Story: Mirai e no Starway
