,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"142,324","2,927,921","45,880","42,412","192,681","3,351,218",506142,706422,680227,297149,79062,28612,8893,3513,2113,3808,One Punch Man
1,"53,270","1,224,242","22,619","14,709","183,820","1,498,660",128208,230099,316622,170762,49809,16930,4563,1414,682,750,Noragami Aragoto
2,"61,762","1,298,299","17,369","9,869","104,458","1,491,757",239565,319876,284318,103480,22946,7433,1858,693,412,1485,Haikyuu!! Second Season
3,"44,744","767,137","13,820","22,549","142,723","990,973",56462,76507,151296,157102,74934,35529,13940,5759,2622,1962,Rakudai Kishi no Cavalry
4,"27,600","677,639","11,229","10,207","94,374","821,049",50402,73860,144557,133792,51371,19968,7609,3140,1386,992,Owari no Seraph: Nagoya Kessen-hen
5,"31,209","522,980","10,499","24,406","94,725","683,819",22269,32075,72820,114378,70958,38585,17042,8422,5033,4515,Gakusen Toshi Asterisk
6,"21,886","309,846","9,983","5,497","146,096","493,308",46840,76565,76887,29609,8013,2795,980,427,243,841,Owarimonogatari
7,"18,605","323,362","7,775","10,913","55,721","416,376",17531,17990,39162,64537,44007,22996,10998,5339,2878,2300,Shinmai Maou no Testament Burst
8,"19,646","223,118","10,630","9,618","77,872","340,884",16243,23712,45040,43945,18639,7968,3192,1217,547,449,K: Return of Kings
9,"20,988","206,074","8,123","12,874","72,913","320,972",6726,10117,26970,49762,31374,15655,6123,2519,1081,681,Taimadou Gakuen 35 Shiken Shoutai
10,"17,139","186,897","5,955","9,456","70,597","290,044",6844,8486,22686,41405,29687,15869,6870,2997,1531,1146,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken"
11,"15,589","191,419","10,768","16,859","40,404","275,039",17459,14849,30270,44429,24787,11737,4439,2039,990,1145,Shingeki! Kyojin Chuugakkou
12,"22,899","153,944","11,793","9,978","58,114","256,728",16876,30382,44930,23564,7524,3342,1321,533,245,319,Kidou Senshi Gundam: Tekketsu no Orphans
