,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"212,394","1,133,479","26,828","25,789","296,744","1,695,234",193819,307333,286643,115460,30990,11026,4475,1929,1249,4652,Chainsaw Man
1,"148,352","673,866","24,647","18,156","152,780","1,017,801",80744,141778,193313,92248,23427,7424,2097,787,374,1349,Spy x Family Part 2
2,"144,901","467,345","23,726","29,506","121,129","786,607",65840,109457,141234,71109,21168,7955,3711,1725,909,1454,Blue Lock
3,"80,413","469,287","14,614","5,400","191,408","761,122",105851,126973,97860,37030,9263,2521,829,277,177,478,Mob Psycho 100 III
4,"97,164","491,608","12,620","19,813","129,659","750,864",79812,101144,121388,61672,20188,8147,4178,1957,1146,1558,Kage no Jitsuryokusha ni Naritakute!
5,"109,123","451,673","14,304","11,738","136,250","723,088",58443,96132,117786,56903,17601,6383,2426,958,496,1056,Boku no Hero Academia 6th Season
6,"59,556","460,536","12,677","9,838","127,523","670,130",125691,129693,95207,35867,9654,3526,1296,544,686,1738,Bocchi the Rock!
7,"87,166","367,754","7,875","5,273","148,240","616,308",144942,95754,53228,17677,4953,1936,983,495,894,5543,Bleach: Sennen Kessen-hen
8,"39,256","239,674","5,984","10,293","64,993","360,200",20209,27443,55822,52861,21082,8296,3417,1492,708,751,"Fuufu Ijou, Koibito Miman."
9,"34,467","199,810","5,412","11,470","54,912","306,071",11894,18484,44647,46640,17415,6752,2319,908,492,451,Tensei shitara Ken deshita
10,"37,404","133,847","10,930","9,254","110,638","302,073",17372,25403,38073,20799,6970,2670,1229,493,234,258,Fumetsu no Anata e Season 2
11,"23,859","116,353","4,567","6,078","84,103","234,960",6059,7911,21909,31539,13480,5016,1772,630,333,355,Uzaki-chan wa Asobitai! Double
12,"27,875","146,320","3,469","9,233","31,990","218,887",7315,8131,18352,34086,22311,10724,3845,1485,639,561,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau"
13,"33,055","121,185","5,329","3,604","50,341","213,514",10515,14489,32250,24320,7264,2172,721,225,117,169,Mairimashita! Iruma-kun 3rd Season
14,"24,072","119,292","5,277","10,927","35,501","195,069",6861,8625,20948,31478,15850,6413,2185,716,269,272,Akuyaku Reijou nanode Last Boss wo Kattemimashita
15,"35,721","45,190","11,797","17,951","81,061","191,720",4135,5546,13622,15522,7001,3299,1394,562,255,268,Urusei Yatsura (2022)
16,"28,898","72,989","5,489","21,820","50,451","179,647",2239,2469,5823,13952,16700,11115,6229,2708,1341,945,Shinobi no Ittoki
17,"21,111","79,408","6,381","11,318","56,570","174,788",7186,10150,21563,18794,7793,3150,1451,599,297,359,Akiba Meido Sensou
18,"22,072","98,785","4,400","4,545","40,562","170,364",7978,16885,31982,18708,5515,2077,947,376,194,401,Kidou Senshi Gundam: Suisei no Majo
19,"25,057","74,042","4,819","11,943","47,005","162,866",4571,4470,9638,16331,12847,6808,3751,1786,884,917,Renai Flops
20,"24,951","79,222","3,468","15,682","29,958","153,281",2575,1977,4986,11155,15513,11739,6166,2816,1589,1157,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.
21,"20,228","55,726","3,441","8,075","32,517","119,987",2818,2596,5648,11147,10245,5589,2718,1313,717,669,Futoku no Guild
22,"13,182","48,529","4,286","6,736","42,885","115,618",3564,5024,12341,13801,5855,2245,559,196,84,122,Do It Yourself!!
23,"17,154","43,283","4,396","7,594","41,540","113,967",3075,3298,8639,12286,6756,3091,1296,522,260,235,Arknights: Reimei Zensou
24,"15,545","45,489","4,388","1,374","40,090","106,886",5390,8761,15807,6969,1632,431,158,45,34,73,Golden Kamuy 4th Season
25,"12,633","45,942","3,418","5,832","39,019","106,844",3171,5038,11254,11602,4676,1879,583,186,92,92,Koukyuu no Karasu
26,"16,453","33,838","4,148","4,203","43,775","102,417",4312,4861,9090,7893,2750,1152,311,111,51,78,Cool Doji Danshi
27,"11,344","33,694","2,869","6,003","26,593","80,503",1894,2297,4704,8582,6181,3095,1165,386,181,178,Mushikaburi-hime
28,"11,005","40,078","2,067","5,922","16,572","75,644",1361,1676,4097,9568,7881,3971,1338,501,183,184,Shinmai Renkinjutsushi no Tenpo Keiei
