,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"119,225","1,676,906","60,540","57,457","383,526","2,297,654",453220,390163,302709,146901,54754,25097,12187,5004,2854,4518,Shigatsu wa Kimi no Uso
1,"84,556","1,773,967","30,617","62,541","173,108","2,124,789",152677,244114,396169,321082,135051,65149,33031,15871,8758,9671,Nanatsu no Taizai
2,"98,578","1,485,778","46,026","36,253","280,012","1,946,647",199727,355298,383694,180986,51091,17907,6474,2186,1121,1403,Kiseijuu: Sei no Kakuritsu
3,"37,882","891,498","14,491","10,053","155,938","1,109,862",101597,186580,240956,115525,33591,12321,5042,2083,962,1093,Fate/stay night: Unlimited Blade Works
4,"50,397","550,222","27,791","26,931","235,653","890,994",65779,92958,135146,88096,31209,12617,4219,1448,718,733,Akatsuki no Yona
5,"39,778","639,200","16,160","29,935","146,454","871,527",33675,45416,100535,142084,80258,39874,18234,7935,4036,2452,Trinity Seven
6,"29,094","466,479","15,290","18,283","150,035","679,181",21717,45316,111122,113582,44269,17362,5235,1725,777,635,Amagi Brilliant Park
7,"23,681","469,544","13,884","15,727","150,758","673,594",26442,52182,101785,101858,43475,17850,9924,4023,1887,1308,Psycho-Pass 2
8,"32,458","426,255","14,259","20,208","144,093","637,273",29862,44948,90874,87556,38359,16888,7627,3332,1749,1606,Grisaia no Kajitsu
9,"39,018","454,659","23,738","22,016","91,528","630,959",28259,54084,105544,97157,39118,15387,6382,2093,881,680,Log Horizon 2nd Season
10,"19,509","355,325","8,769","17,958","85,287","486,848",18910,27349,56014,75708,41510,20868,10943,4857,3326,2927,Ookami Shoujo to Kuro Ouji
11,"32,878","163,606","23,493","17,101","220,021","457,099",23113,40512,45007,22967,8288,3901,1225,473,245,367,Shirobako
12,"56,955","167,688","29,900","36,924","153,589","445,056",12768,20692,44376,42565,17477,8704,3721,1458,888,723,World Trigger
13,"25,629","267,062","11,697","15,087","121,031","440,506",9435,17171,46460,68516,35948,16118,5852,2163,987,654,Inou-Battle wa Nichijou-kei no Naka de
14,"24,608","235,889","12,838","13,434","139,132","425,901",13342,28396,60457,51076,19410,7265,2410,847,419,360,Shingeki no Bahamut: Genesis
15,"24,247","253,545","9,503","15,116","73,557","375,968",11999,17937,42043,58196,31202,14806,5592,2430,1032,732,Madan no Ou to Vanadis
16,"14,072","250,161","6,308","8,414","83,898","362,853",10729,20747,49623,61865,28928,12242,3231,1354,624,519,Danna ga Nani wo Itteiru ka Wakaranai Ken
17,"15,478","139,731","6,769","3,516","111,848","277,342",32295,35621,27407,10307,2809,1019,300,157,430,838,Mushishi Zoku Shou 2nd Season
18,"11,945","150,782","6,379","16,155","52,983","238,244",7100,12620,27610,33227,18403,9471,5604,2863,1666,1294,Terra Formars
19,"15,665","109,101","6,811","9,755","74,646","215,978",9076,12345,22099,22098,10772,5157,2987,1566,877,928,Cross Ange: Tenshi to Ryuu no Rondo
20,"8,690","154,646","4,953","4,306","40,708","213,303",5280,10073,28838,39381,18138,7307,2435,762,357,226,Hitsugi no Chaika: Avenging Battle
21,"11,578","104,620","7,787","9,331","54,588","187,904",7844,11407,22735,23297,9790,4184,1279,497,234,213,Gugure! Kokkuri-san
22,"10,782","85,330","6,035","14,291","48,482","164,920",3774,4127,8836,16670,14793,9132,5289,2558,1578,1231,"Ore, Twintail ni Narimasu."
23,"9,258","71,738","5,603","7,100","66,315","160,014",5866,8164,14655,15433,7582,4097,1711,738,335,308,Yuuki Yuuna wa Yuusha de Aru
24,"11,688","64,807","6,921","10,814","53,826","148,056",3543,6026,14123,15379,7295,3579,1344,521,237,247,Garo: Honoo no Kokuin
25,"7,868","109,937","4,075","3,164","19,575","144,619",10545,18455,28498,15928,4963,1783,600,208,72,299,Yowamushi Pedal: Grande Road
26,"9,801","76,949","4,540","6,262","44,276","141,828",3104,4098,10583,19279,12016,6336,2229,862,380,270,Daitoshokan no Hitsujikai
27,"8,613","66,972","4,911","7,111","46,498","134,105",2581,5196,13488,18111,8632,3870,1232,494,213,187,Denki-gai no Honya-san
28,"8,317","61,997","5,055","7,137","51,300","133,806",4937,6732,12048,13322,6560,3144,1193,453,209,154,Donten ni Warau
29,"9,363","75,380","6,552","6,272","32,100","129,667",7313,10379,19133,14465,4996,2026,679,250,115,111,Magic Kaito 1412
30,"4,600","83,929","2,302","4,794","21,953","117,578",4429,5711,10488,17268,11825,6464,2190,909,552,393,Orenchi no Furo Jijou
31,"7,124","42,875","4,706","8,036","48,217","110,958",2526,3048,5906,9585,7138,4225,1944,892,377,269,Sora no Method
32,"6,233","42,312","3,834","7,835","35,016","95,230",2031,2735,5879,9671,7044,3866,1934,888,502,340,Ushinawareta Mirai wo Motomete
33,"3,513","52,985","2,574","2,729","18,457","80,258",3381,5482,10776,11175,5502,2458,1115,438,201,145,Selector Spread WIXOSS
34,"2,543","34,576","1,065","1,399","7,101","46,684",2146,2684,6224,8154,4024,1831,722,276,99,121,Gundam Build Fighters Try
35,"3,100","14,292","2,012","6,345","18,935","44,684",566,508,1370,2473,2756,2527,1436,921,571,451,Girlfriend (Kari)
