,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"154,545","1,334,008","50,648","57,334","236,126","1,832,661",174010,298299,372418,179656,50183,19077,7622,2853,1482,1702,Dr. Stone
1,"144,140","1,117,601","42,691","24,480","315,531","1,644,443",258783,357675,228791,73301,18859,7191,3156,1426,1110,1926,Vinland Saga
2,"150,390","905,203","60,950","81,114","222,757","1,420,414",63127,126843,258599,197581,67832,29909,12850,4884,2096,1729,Enen no Shouboutai
3,"42,994","671,342","11,645","14,872","123,078","863,931",31492,50015,126339,165602,73451,29128,11332,4476,1889,1320,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II
4,"42,743","559,791","9,035","40,812","110,005","762,386",36335,39408,72230,105775,74440,41775,26439,14809,10304,9480,Arifureta Shokugyou de Sekai Saikyou
5,"28,512","419,497","10,656","13,285","128,501","600,451",78481,78149,88019,52523,18040,7338,2517,1061,597,1137,Given
6,"41,711","225,141","20,100","25,886","101,111","413,949",11518,16983,48197,64827,30726,12870,3804,1380,692,518,Dumbbell Nan Kilo Moteru?
7,"25,255","190,029","9,899","12,420","121,232","358,835",9839,19715,44814,46364,21695,9122,4154,1574,856,918,Araburu Kisetsu no Otome-domo yo.
8,"24,724","228,662","6,558","38,810","48,359","347,113",5563,5867,13318,28842,36856,34923,22956,13725,9844,8623,Isekai Cheat Magician
9,"17,622","238,114","7,387","5,630","77,590","346,343",26028,39370,65618,39189,12070,4326,1342,564,276,345,Karakai Jouzu no Takagi-san 2
10,"24,459","211,715","7,454","15,969","83,349","342,946",8031,8645,23147,46829,38482,20516,10259,4990,2872,2103,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?
11,"18,443","183,735","7,125","9,551","102,869","321,723",22684,36331,49113,27757,9670,4324,1949,818,376,396,Kanata no Astra
12,"26,822","141,322","9,877","45,288","74,750","298,059",4523,3561,8588,20530,28931,24558,17217,10006,6782,5630,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?
13,"21,890","161,723","8,107","21,104","75,566","288,390",5159,5557,15762,37341,34394,19572,8512,3856,1916,1380,Tejina-senpai
14,"17,741","187,296","4,387","18,245","40,982","268,651",7498,8360,20451,39181,30472,17474,8694,4291,2638,1830,"Maou-sama, Retry!"
