,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"223,604","2,706,374","45,403","45,717","189,570","3,210,668",508858,640669,615983,290018,88395,36494,12390,5091,2679,6706,Kimetsu no Yaiba
1,"81,940","2,176,455","9,718","8,138","132,952","2,409,203",730896,529281,270123,88870,23993,8791,3489,1727,1422,13206,Shingeki no Kyojin Season 3 Part 2
2,"72,145","1,395,308","19,992","29,432","261,104","1,777,981",99909,157465,301958,307619,129841,46135,21110,7065,2720,2593,One Punch Man 2nd Season
3,"83,105","502,181","39,613","34,811","225,217","884,927",81366,97317,127520,72102,24778,10640,4011,1486,828,1083,Fruits Basket 1st Season
4,"33,829","479,447","13,130","6,549","137,368","670,323",58661,83747,126298,62624,16490,5447,1598,672,258,504,Bungou Stray Dogs 3rd Season
5,"36,841","473,009","8,109","29,933","77,230","625,122",23327,27276,56176,93336,69995,42959,20963,10827,6293,5224,Kenja no Mago
6,"27,184","302,593","9,542","15,747","104,049","459,115",13400,22333,63432,82735,34136,13904,4486,1684,805,702,Bokutachi wa Benkyou ga Dekinai
7,"21,123","279,353","8,168","13,372","75,996","398,012",14908,24146,62852,73769,29689,11676,3528,1442,704,702,Isekai Quartet
8,"25,873","241,758","7,441","17,165","79,459","371,696",13577,10843,24691,47023,42409,24587,11966,6032,3543,2626,Nande Koko ni Sensei ga!?
9,"29,450","220,957","13,908","21,072","83,307","368,694",14878,19378,45196,59276,27169,11532,3733,1516,668,635,Sewayaki Kitsune no Senko-san
10,"29,770","161,249","18,813","19,533","109,598","338,963",17903,29800,45304,32364,13377,5845,2311,858,428,523,Carole & Tuesday
11,"22,360","162,681","8,892","9,350","124,228","327,511",16060,23705,44354,29940,8992,3571,1174,473,184,216,Kono Oto Tomare!
12,"19,138","178,540","6,601","14,583","72,364","291,226",6424,8539,22794,44304,31792,16135,6492,2626,1368,938,Midara na Ao-chan wa Benkyou ga Dekinai
13,"7,806","144,288","2,797","1,117","83,340","239,348",24082,34559,35276,13956,4152,1346,523,228,132,570,Zoku Owarimonogatari
14,"16,990","119,705","7,857","11,029","70,929","226,510",8375,11964,29348,31259,12601,5519,1532,605,256,258,Hitoribocchi no Marumaru Seikatsu
15,"13,817","101,712","5,284","7,867","64,141","192,821",5417,8483,22556,27689,11414,4673,1222,396,180,164,Senryuu Shoujo
16,"16,688","52,577","8,402","37,678","56,707","172,052",1328,1694,4889,10162,12401,10711,7063,3859,1903,1338,Fairy Gone
17,"20,317","60,934","7,429","16,062","64,925","169,667",3594,3849,7669,13368,10860,6546,3985,1779,1037,985,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO
18,"13,853","93,520","5,730","20,948","33,273","167,324",2423,3205,8342,18208,19209,12996,7091,3260,1533,1151,Gunjou no Magmell
19,"9,142","55,453","5,289","11,690","56,274","137,848",4886,7317,13079,12279,5922,2872,1675,807,520,640,Sarazanmai
20,"11,354","59,076","3,060","1,821","19,893","95,204",8438,12285,16017,7742,2041,781,253,95,39,163,Diamond no Ace: Act II
