,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"105,050","1,295,911","9,485","5,850","151,895","1,568,191",283579,345216,245186,86093,23184,8150,2918,1249,1115,2643,Kimetsu no Yaiba: Yuukaku-hen
1,"158,043","1,008,695","18,062","11,868","210,942","1,407,610",299915,249936,163483,65569,21989,8795,5037,2473,1998,8530,Shingeki no Kyojin: The Final Season Part 2
2,"110,288","856,741","17,950","26,377","148,409","1,159,765",112418,177046,225262,120237,38741,15204,6531,3069,2210,2707,Sono Bisque Doll wa Koi wo Suru
3,"40,061","252,424","8,289","14,113","110,242","425,129",15823,17998,38699,54937,29200,12802,6037,2843,1565,1441,Arifureta Shokugyou de Sekai Saikyou 2nd Season
4,"34,867","183,036","7,948","12,137","69,482","307,470",8874,14374,41342,49938,18437,6604,2127,781,347,325,Tensai Ouji no Akaji Kokka Saisei Jutsu
5,"28,673","175,507","7,841","4,831","87,670","304,522",20658,32831,49299,23702,6282,1956,639,237,128,198,Vanitas no Karte Part 2
6,"25,249","195,641","4,910","6,468","42,729","274,997",10258,16268,41032,46541,17539,6354,2301,821,361,344,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2
7,"31,083","178,760","4,767","19,636","39,584","273,830",5650,5736,13387,30271,34759,22316,10612,4687,2344,1562,Shikkakumon no Saikyou Kenja
8,"36,987","123,117","8,780","22,721","78,249","269,854",5853,3886,8831,19660,25258,17623,10569,5705,3551,3239,Shuumatsu no Harem
9,"33,232","124,081","9,800","18,467","78,791","264,371",5524,10123,26103,35302,17227,7545,3097,1180,435,335,Sabikui Bisco
10,"23,827","116,698","5,688","6,943","60,468","213,624",20920,20557,25933,17085,6125,2502,892,382,217,561,Sasaki to Miyano
11,"17,715","110,255","4,924","2,897","62,878","198,669",18079,24283,29090,12783,3374,1172,370,159,94,194,Karakai Jouzu no Takagi-san 3
12,"23,324","81,332","8,028","13,362","73,001","199,047",8489,11051,21777,18849,7984,3597,1355,594,317,364,Akebi-chan no Sailor-fuku
