,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"181,266","319,759","5,120","5,688","97,540","609,373",67413,112675,93987,30654,7470,2471,1129,513,329,747,Dandadan
1,"171,578",48,"12,488","2,626","156,664","343,404",20964,17747,13472,5240,1713,700,348,172,141,2312,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season
2,"43,981","103,667","2,202","6,577","86,127","242,554",9822,13985,26745,25493,10451,4075,2670,1164,808,1293,Blue Lock vs. U-20 Japan
3,"22,225","60,940","1,929","14,111","128,275","227,480",2012,2320,5548,11412,14396,9379,7052,3420,1919,1468,Uzumaki
4,"55,881","83,187","1,734","1,045","60,382","202,229",29447,25401,18001,7300,2280,790,344,143,158,1813,Bleach: Sennen Kessen-hen - Soukoku-tan
5,"117,151",25,"4,000","3,682","71,368","196,226",7762,10438,12992,5558,1666,706,264,103,49,118,Ao no Hako
6,"21,631","51,435","1,588","3,662","83,744","162,060",2910,2782,7050,14119,10071,3848,1572,581,271,233,Seirei Gensouki 2
7,"76,822",25,"5,413","1,028","68,468","151,756",3619,4111,7357,4254,1255,492,220,96,58,101,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen
8,"92,960",35,"1,932","1,029","53,686","149,642",4383,6415,9325,4103,1027,357,112,36,22,73,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season"
9,"60,751",17,"2,283","2,177","84,295","149,523",2092,1582,3532,4577,2367,998,459,189,87,172,Arifureta Shokugyou de Sekai Saikyou Season 3
10,"64,050",5,"2,739","2,587","54,712","124,093",4256,6275,5968,2306,746,343,138,65,42,105,Chi. Chikyuu no Undou ni Tsuite
11,"28,589","49,594","1,746","1,977","29,847","111,753",5448,10083,18898,9912,2351,648,166,81,44,94,Ranma ½ (2024)
12,"25,076","38,465","1,865","5,436","36,309","107,151",2095,3158,8460,12700,5734,2131,850,312,187,179,Raise wa Tanin ga Ii
13,"24,228","34,080","2,394","6,762","39,023","106,487",2077,2393,6863,12183,6305,2567,843,314,132,114,Kimi wa Meido-sama.
