,Watching,Completed,On-Hold,Dropped,Plan to Watch,Total,10,9,8,7,6,5,4,3,2,1,Title
0,"291,474","1,609,501","25,781","17,101","166,381","2,110,238",513816,431757,267955,106900,35499,13791,7385,3188,2629,17922,Shingeki no Kyojin: The Final Season
1,"148,253","1,067,693","27,956","32,297","205,172","1,481,371",164551,222975,271052,152253,50729,20531,7970,2922,1429,2251,Horimiya
2,"107,551","1,094,686","14,626","21,299","192,041","1,430,203",174049,262740,271712,110383,31374,12079,7027,3651,2567,6366,Mushoku Tensei: Isekai Ittara Honki Dasu
3,"94,160","795,208","18,477","11,947","179,724","1,099,516",86995,151902,226404,116781,30571,9189,2951,985,413,626,Dr. Stone: Stone Wars
4,"72,535","791,435","9,165","7,778","147,738","1,028,651",112328,165443,196571,85712,22560,7416,2842,1104,500,906,Tensei shitara Slime Datta Ken 2nd Season
5,"86,183","689,173","19,056","13,292","154,428","962,132",124417,171368,155976,70270,23451,9011,4540,1994,1070,2028,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
6,"104,171","489,539","24,202","137,675","201,239","956,826",22678,25247,43410,66756,78557,66548,73346,47300,35144,37480,Yakusoku no Neverland 2nd Season
7,"89,377","391,360","31,297","39,359","236,358","787,751",35484,60985,102193,83128,39071,17104,9242,3493,1636,1740,Wonder Egg Priority
8,"51,546","563,492","10,402","10,287","119,230","754,957",64161,95381,158710,93481,29152,10448,3581,1415,681,1043,5-toubun no Hanayome ∬
9,"66,710","398,512","11,095","50,976","83,345","610,638",42985,22210,41897,66512,59288,35909,25631,16307,13806,25049,Kaifuku Jutsushi no Yarinaoshi
10,"64,373","358,503","16,135","18,033","131,339","588,383",51172,59194,89602,62272,22104,8637,3259,1278,580,732,SK∞
11,"57,979","301,903","10,836","21,060","79,323","471,101",21070,33756,68680,69670,30834,12932,6523,2778,1479,1263,"Kumo desu ga, Nani ka?"
12,"31,541","300,612","10,260","7,909","114,971","465,293",19729,47085,86207,57645,19786,7073,3061,1137,572,835,Beastars 2nd Season
13,"58,553","255,457","14,584","30,104","90,889","449,587",16859,17438,31946,50601,42005,23409,15656,7803,4663,4402,Nanatsu no Taizai: Funnu no Shinpan
14,"36,524","252,691","9,333","17,391","97,073","413,012",9948,16732,49284,73287,34247,13735,5237,2244,1062,1078,Jaku-Chara Tomozaki-kun
15,"40,355","272,985","6,939","23,895","67,429","411,603",10978,10337,23907,49815,52383,32219,16678,7948,4122,2895,Ore dake Haireru Kakushi Dungeon
16,"44,088","215,438","11,805","16,756","107,483","395,570",11130,18913,49975,59578,23612,9160,2654,906,390,372,Kemono Jihen
17,"34,241","190,552","7,002","23,958","45,797","301,550",6177,6618,17658,38473,39524,23031,10342,4354,1942,1323,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari
18,"23,475","128,283","10,392","8,152","113,094","283,396",7076,9976,27428,37207,13769,4617,1172,352,165,147,Hataraku Saibou!!
19,"25,267","115,277","9,035","9,350","96,403","255,332",4851,7121,19325,31464,16006,6198,2515,807,335,286,Log Horizon: Entaku Houkai
20,"21,878","121,171","6,781","2,651","85,404","237,885",23990,30369,32329,13025,3157,1088,258,104,71,339,Yuru Camp△ Season 2
21,"23,011","96,280","11,953","11,034","91,385","233,663",5429,9701,26842,26570,9119,3297,973,334,140,148,Hataraku Saibou Black
22,"11,786","87,113","2,576","2,000","58,343","161,818",7829,13024,23647,12728,3422,1077,348,123,61,117,World Trigger 2nd Season
23,"9,668","60,959","3,156","1,692","55,367","130,842",10307,12720,16605,7614,1990,700,183,82,48,127,Non Non Biyori Nonstop
24,"13,226","44,298","5,212","12,252","52,263","127,251",2390,2492,6529,11723,9333,5189,2412,1051,431,359,Urasekai Picnic
25,"11,441","69,265","3,945","3,002","37,534","125,187",12154,8314,13163,12072,4757,1886,464,193,93,162,Bungou Stray Dogs Wan!
26,"14,250","47,419","5,715","16,552","31,635","115,571",1397,1937,4911,11354,12099,8024,4064,1723,764,541,2.43: Seiin Koukou Danshi Volley-bu
27,"8,810","39,971","2,928","6,133","26,834","84,676",2181,3147,6996,11423,5787,2608,921,386,172,159,Kai Byoui Ramune
28,"8,780","15,786","1,745","32,116","25,268","83,695",2946,153,195,448,588,784,1402,2585,6259,29012,Ex-Arm
29,"8,909","37,558","3,553","8,144","24,374","82,538",1925,3058,7313,11265,5779,2815,959,366,167,207,Tenchi Souzou Design-bu
30,"9,463","25,783","2,607","8,897","26,784","73,534",764,628,1811,3946,5481,4882,2693,1265,611,549,Hortensia Saga
31,"6,687","22,276","2,483","3,040","35,562","70,048",2423,2580,4491,5175,2654,1343,589,258,114,122,Idoly Pride
32,"4,959","30,439","1,709","1,649","18,779","57,535",5117,5219,6885,4673,1785,769,298,105,55,145,Uma Musume: Pretty Derby Season 2
33,"4,133","25,951","1,374","1,715","20,379","53,552",1889,1447,3735,6796,4009,1807,668,303,160,189,Azur Lane: Bisoku Zenshin!
34,"6,465","14,070","2,778","7,123","20,285","50,721",743,676,1518,2478,3252,2766,1866,999,548,343,Wave!! Surfing Yappe!! (TV)
35,"4,905","15,256","1,950","4,238","17,048","43,397",792,858,1668,3294,3037,2027,974,428,202,163,Skate-Leading☆Stars
36,"5,746","13,617","2,010","7,286","14,365","43,024",573,900,1671,3040,3058,2282,1349,730,348,292,Back Arrow
37,"3,972","8,517","1,397","5,115","16,590","35,591",454,348,739,1374,1784,1582,1085,614,360,335,Project Scard: Praeter no Kizu
38,"3,126","12,542",919,"1,649","13,067","31,303",321,329,1006,2018,2594,1369,648,247,112,128,Majutsushi Orphen Hagure Tabi: Kimluck-hen
