Year,Season,Title,Type,Episodes,Status,Source,Genres,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Themes,Demographics,Broadcast_Day,Broadcast_Hour,Duration_Minutes,Premiere Datetime
2020,0,Bungou to Alchemist: Shinpan no Haguruma,TV,13.0,Finished Airing,Game,"['Adventure', 'Fantasy']",PG-13 - Teens 13 or older,6.52,6964.0,3117.0,55632,243,14516.0,,,6.0,1.0,24.0,2020-04-04
2020,0,Cardfight!! Vanguard Gaiden: If,TV,25.0,Finished Airing,Original,"['Action', 'Adventure', 'Comedy']",PG-13 - Teens 13 or older,6.48,7175.0,9118.0,4643,12,1682.0,"['Mythology', 'Parody', 'Strategy Game']",,6.0,8.0,24.0,2020-05-30
2020,0,Catch! Tiniping,TV,52.0,Finished Airing,Original,['Fantasy'],PG - Children,6.24,8592.0,16261.0,573,4,145.0,"['Mahou Shoujo', 'School']",['Kids'],,,11.0,2020-03-19
2020,0,Chibi Maruko-chan (1995),TV,,Currently Airing,Manga,['Comedy'],G - All Ages,7.34,2629.0,7918.0,6700,61,2165.0,['School'],['Shoujo'],0.0,18.0,23.0,1995-01-08
2020,0,Chiisana Tsubomi no Sono Oku ni...,OVA,4.0,Finished Airing,Original,['Hentai'],Rx - Hentai,6.52,,6834.0,9669,54,3827.0,,,,,25.0,2020-04-24
2020,0,Choujigen Game Neptune: Hi☆Light,Special,2.0,Finished Airing,Game,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",PG-13 - Teens 13 or older,6.81,5258.0,9412.0,4206,15,783.0,['Parody'],,,,96.0,
2020,0,Chuldong! Super Wings 4,TV,40.0,Finished Airing,Original,['Adventure'],PG - Children,,19885.0,22990.0,131,0,,['Racing'],['Kids'],,,11.0,2020-03-30
2020,0,Condom Battler Gorou,ONA,4.0,Finished Airing,Original,['Action'],PG-13 - Teens 13 or older,6.62,6378.0,11022.0,2561,14,1498.0,['Parody'],,,,0.95,
2020,0,Crayon Shin-chan,TV,,Currently Airing,Manga,"['Comedy', 'Ecchi']",G - All Ages,7.8,1030.0,2394.0,87677,1325,42035.0,['School'],['Seinen'],5.0,19.0,21.0,1992-04-13
2020,0,Crong Crong Ujudaesodong,ONA,1.0,Finished Airing,Original,"['Adventure', 'Sci-Fi']",G - All Ages,,19963.0,27377.0,64,0,,"['Anthropomorphic', 'Space']",['Kids'],,,21.0,
2020,0,Da Li Si Rizhi,ONA,12.0,Finished Airing,Web manga,"['Action', 'Comedy', 'Mystery']",PG-13 - Teens 13 or older,6.97,4525.0,8087.0,6328,29,1365.0,"['Anthropomorphic', 'Historical', 'Martial Arts', 'Mythology']",,,,20.0,2020-04-10
2020,0,Da Luan,ONA,1.0,Finished Airing,Unknown,['Drama'],G - All Ages,,19992.0,22711.0,140,0,,['Historical'],,,,16.0,
2020,0,Da Maoxian Tielu,Movie,1.0,Finished Airing,Original,['Drama'],PG-13 - Teens 13 or older,,19994.0,22760.0,138,0,,,,,,15.0,
2020,0,Digimon Adventure:,TV,67.0,Finished Airing,Other,"['Action', 'Adventure', 'Comedy', 'Fantasy']",PG - Children,6.48,7179.0,3029.0,58888,210,19344.0,['Isekai'],['Kids'],0.0,9.0,23.0,2020-04-05
2020,0,Dixia Cheng Yu Yongshi: Nizhuan Zhi Lun,ONA,12.0,Finished Airing,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",PG-13 - Teens 13 or older,6.03,9748.0,10973.0,2599,13,208.0,,,,,24.0,2020-04-23
2020,0,Dixia Cheng Yu Yongshi: Nizhuan Zhi Lun - Tebie Pian,ONA,3.0,Finished Airing,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",PG-13 - Teens 13 or older,,20175.0,22209.0,160,0,,,,,,21.0,2020-05-28
