,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Genres,Theme,Synonyms,French,Demographic,Themes,Demographics
35,灵契 2,Spiritpact: Bond of the Underworld,['TV'],12,Finished Airing,"Feb 23, 2018 to May 11, 2018",['Winter 2018'],Saturdays at 21:00 (JST),['Tencent Animation & Comics'],"None found,",['Haoliners Animation League'],['Web manga'],,24 min. per ep.,PG-13 - Teens 13 or older,7.49,#2008,#3300,"50,616",231,20094,"In this new season, we will discover the backstory of Tanmoki and who will learn through his memories who was his ancestor Rakugetsu. (Source: ANN)","['Prequel (ONA) Ling Qi', '']",Ling Qi 2,Spiritpact: Bond of The Underworld,Spiritpact: Bond of the Underworld,"['Action', 'Boys Love', 'Comedy', 'Supernatural']",,"Spirit Pact: Yomi no Chigiri, Spirit Pact: Bond of the Underworld",Spiritpact: Bond of the Underworld,,,
36,たくのみ。,Takunomi,['TV'],12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018",['Winter 2018'],Fridays at 02:43 (JST),"['Pony Canyon', 'TBS', 'Magic Capsule', 'Shogakukan', 'Lawson', 'RAY', 'U-NEXT', 'Nichion']",['Sentai Filmworks'],['Production IMS'],['Web manga'],,12 min. per ep.,PG-13 - Teens 13 or older,6.43,#7523,#3363,"48,696",49,15848,"20-year-old Michiru Amatsuki moved to Tokyo after a career change, and now finds herself living in a woman only share house, Stella House Haruno, with a few other women of varying age and occupation. Every night the girls settle down and have a drink or two (or more) as drama ensues.","['Adaptation (Manga) Takunomi.', '']",Takunomi.,,,"['Comedy', 'Gourmet']",,,,,"['Adult Cast', 'CGDCT']",
37,メルヘン・メドヘン,Maerchen Maedchen,['TV'],10,Finished Airing,"Jan 11, 2018 to Mar 29, 2018",['Winter 2018'],Thursdays at 21:00 (JST),"['Lantis', 'AT-X', 'NBCUniversal Entertainment Japan', 'Medicos Entertainment', 'Shueisha', 'Kanon Sound', 'DMM.com', 'NichiNare']","None found,",['Hoods Entertainment'],['Light novel'],['Fantasy'],23 min. per ep.,PG-13 - Teens 13 or older,5.41,#12373,#3636,"42,621",49,14746,"Hazuki Kagimura is a socially awkward girl with no friends; and having been recently adopted, she struggles to connect with her new family as well. Her only refuge from this painful reality is between the pages of stories where her vivid imagination allows her to live out her dreams of friendship and adventure. However, one day, an old and mysterious text appears in her book bag. On her way back to the library to return it, Hazuki sees a familiar girl who is seemingly invisible to everyone but her. Deciding to follow her, Hazuki is led a hidden library where a world she thought only existed in her dreams awaits her. Märchen Mädchen tells the story of Hazuki's meeting with Shizuka Tsuchimikado, her very first friend, and discovering she has been chosen by the original print of Cinderella to become a powerful mage known as an Origin Master. Hazuki enrolls at Kuzunoha Girl's Magic Academy where she learns to conquer her fears and believe in her ability to create her own amazing story. [Written by MAL Rewrite]","['Sequel (Special) Märchen Mädchen Specials', 'Adaptation (Manga) Märchen Mädchen', 'Adaptation (Light Novel) Märchen Mädchen', '']",Märchen Mädchen,Maerchen Maedchen,Maerchen Maedchen,,,Fairy Tale Girls,Maerchen Maedchen,,"['Isekai', 'School']",
38,バジリスク ～桜花忍法帖～,Basilisk: The Ouka Ninja Scrolls,['TV'],24,Finished Airing,"Jan 9, 2018 to Jun 19, 2018",['Winter 2018'],Tuesdays at 00:00 (JST),"['Kodansha', 'Glovision', 'King Records', 'Universal Entertainment']",['Funimation'],['Seven Arcs Pictures'],['Manga'],,23 min. per ep.,R - 17+ (violence & profanity),5.55,#11952,#3757,"40,067",41,11251,"It has been 10 years since the war between the Iga and Kouga ninja clans came to an end. The two groups have since made peace, supposedly dispelling the animosity that once existed between them. Hachirou Kouga and Hibiki Iga, the successors of their respective bloodlines, seem to have the perfect conditions for their love to bloom, but not everyone is satisfied with the results of the age-old battle. Different tales of the final showdown between Gennosuke Kouga and Oboro Iga have spread, leaving Tadanaga Tokugawa—whom the Kouga represented—dissatisfied. As tension between the two clans rises once again, the brewing political climate threatens to keep the two fated lovers apart, just as it had in the previous generation. [Written by MAL Rewrite]","['Prequel (TV) Basilisk: Kouga Ninpou Chou', 'Adaptation (Manga) Basilisk: Ouka Ninpouchou']",Basilisk: Ouka Ninpouchou,Basilisk: The Ouka Ninja Scrolls,Basilisk: The Ouka Ninja Scrolls,"['Action', 'Drama']",,,Basilisk: The Kôga Ninja Scrolls,['Seinen'],"['Historical', 'Martial Arts']",
39,続 刀剣乱舞-花丸-,Touken Ranbu - Hanamaru 2,['TV'],12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",['Winter 2018'],Mondays at 00:00 (JST),"['Marvelous Entertainment', 'Nitroplus', 'TOHO animation', 'Good Smile Company', 'DMM.com']",['Funimation'],['Doga Kobo'],Game,,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2899,#4220,"31,155",141,8749,Sequel of Touken Ranbu: Hanamaru.,"['Prequel (TV) Touken Ranbu: Hanamaru', 'Sequel (Movie) Toku: Touken Ranbu - Hanamaru - Setsugetsuka']",Zoku Touken Ranbu: Hanamaru,Touken Ranbu: Hanamaru 2,Touken Ranbu: Hanamaru Temporada 2,"['Action', 'Comedy', 'Fantasy']",,Touken Ranbu: Hanamaru Second Season,Touken Ranbu: Hanamaru 2,,"['Anthropomorphic', 'Historical']",
40,ダメプリ ANIME CARAVAN,Damepri Anime Caravan,['TV'],12,Finished Airing,"Jan 10, 2018 to Mar 28, 2018",['Winter 2018'],Wednesdays at 22:30 (JST),"['Pierrot', 'Movic', 'BS Fuji', 'Tokyo MX', 'AZ Creative', 'Kadokawa', 'Live Viewing Japan', 'Libre']",['Sentai Filmworks'],['Studio Flad'],Visual novel,,23 min. per ep.,PG-13 - Teens 13 or older,6.50,#7075,#4236,"30,952",87,9504,"Inako is a minor country, enclosed by two superior countries: the militaristic Milidonia, with its goal of conquering as much land as possible, and the monotheiestic Selenfalen, devoted to the deity Saint Philia. Ani Inako is the sole princess of her country, and in order to eliminate hostility between the three countries, she is sent as Inako's representative to a peace treaty signing in Selenfalen. However, Ani's hopes of a smooth ceremony are shattered when she meets the eccentric princes from her rival countries. With the treaty binding the three countries together, Ani and the princes must learn to overcome their differences. Together, they search for common ground on which to develop their friendship. [Written by MAL Rewrite]",[],Dame x Prince Anime Caravan,,,"['Adventure', 'Comedy', 'Fantasy']",,,,,"['Parody', 'Reverse Harem']",
41,覇穹 封神演義,Hakyu Hoshin Engi,['TV'],23,Finished Airing,"Jan 12, 2018 to Jun 29, 2018",['Winter 2018'],Fridays at 22:00 (JST),"['NBCUniversal Entertainment Japan', 'i0+']",['Funimation'],['C-Station'],['Manga'],,23 min. per ep.,PG-13 - Teens 13 or older,5.39,#12458,#4980,"21,580",22,5579,"When his clan is wiped out by a beautiful demon, young Taikobo finds himself in charge of the mysterious Houshin Project. Its mission: find all immortals living in the human world and seal them away forever. But who do you trust—and whose side are you really on—when you've been trained to hunt demons by a demon? (Source: VIZ Media)","['Sequel (Special) Hakyuu Houshin Engi: Kou-ke no Chi', 'Adaptation (Manga) Houshin Engi']",Hakyuu Houshin Engi,Hakyu Hoshin Engi,Hakyu Hoshin Engi,"['Action', 'Adventure', 'Fantasy']",['Mythology'],,Hakyu Hoshin Engi,['Shounen'],,
42,HuGっと！プリキュア,,['TV'],49,Finished Airing,"Feb 4, 2018 to Jan 27, 2019",['Winter 2018'],Sundays at 08:30 (JST),"['Asahi Broadcasting', 'ABC Animation', 'Echoes']","None found,",['Toei Animation'],Original,['Action'],24 min. per ep.,G - All Ages,7.82,#996,#5308,"18,477",276,6224,"It's her first day at a new school, and the cheerful Hana Nono is ready to make a fresh start, dreaming of becoming mature and reliable—a far cry from her usual childish self. Although she makes a disastrous first impression, Hana soon befriends two of her classmates: the gentle and studious class representative Saaya Yakushiji, and a cool and mysterious girl Homare Kagayaki. That night, a magical baby falls from the sky right onto Hana's balcony. She is immediately smitten with her and names her Hug-tan. Alongside Hug-tan is a snarky talking hamster, Hariham Harry, who mutters that Hana ""isn't the one"" before vanishing with the baby. The next day, Hana believes the encounter to be a dream, until people all over the city begin collapsing and a giant monster appears, feeding on their energy. As Hana escapes, she spots Hug-tan and Harry under attack. Making a stand to protect them, she and Hug-tan suddenly both glow with energy and a heart-shaped gem forms. With the crystal's power, Hana transforms into a hero called ""Cure Yell"" and defeats the monster. Surprised at Hana's power, Harry explains that he and Hug-tan came from a future frozen in time by the Criasu Corporation, the same organization that created the monster. Only the Future Crystals, manifestations of one's hopes and dreams, and the Precure they create have a chance at defeating Criasu and saving the future! [Written by MAL Rewrite]","['Adaptation (Manga) Hug tto! Precure', '']",Hug tto! Precure,,,,['Mahou Shoujo'],"Hugtto Precure, Hug! Pretty Cure",,,,
43,みっちりねこ,Mitchiri Neko,['TV'],39,Finished Airing,"Jan 4, 2018 to Mar 26, 2018",['Winter 2018'],Not scheduled once per week,['Frencel'],['Discotek Media'],['helo.inc'],['Web manga'],['Comedy'],1 min. per ep.,G - All Ages,6.82,#5220,#7065,"8,981",25,3678,"The cute and mysterious cat-like creatures called Mitchiri Neko that seem to gather around each other if you leave them alone now get their own anime with a glorious voice cast! The free and happy-go-lucky Mitchiri Neko's daily life is filled fluff and surreal laughs! Say it with me, ""Mitchiri! Mitchiri!"" (Source: Crunchyroll)","['Adaptation (Manga) Micchiri Neko', '']",Micchiri Neko,Mitchiri Neko,Mitchiri Neko,,,"MitchiriNeko, Micchiri Neko",,['Kids'],,
44,働くお兄さん!,Working Buddies!,['TV'],12,Finished Airing,"Jan 5, 2018 to Mar 23, 2018",['Winter 2018'],Fridays at 21:54 (JST),"['Lantis', 'Movic', 'Half H.P Studio', 'BS Fuji', 'Tokyo MX', 'Good Smile Company']","None found,",['Tomovies'],Original,['Comedy'],4 min. per ep.,G - All Ages,6.39,#7731,#7072,"8,958",22,3525,"The energetic Tapio Chatarozawa and the cool-headed Kuehiko Roshihara are two young cats trying out various part-time jobs. From delivering packages to washing windows on skyscrapers, the pair explore the opportunities that await them out on the recruiting field. As they struggle to learn the ropes, the duo endures the antics of their colorful customers and supervisors while bonding as working buddies. [Written by MAL Rewrite]","['Sequel (TV) Hataraku Oniisan! no 2!', 'Adaptation (Manga) Itsuka Hataraku Oniisan!']",Hataraku Oniisan!,Working Buddies!,Working Buddies!,,,,Working Buddies!,,"['Anthropomorphic', 'Workplace']",
45,怪獣娘～ウルトラ怪獣擬人化計画～ 第2期,,['TV'],12,Finished Airing,"Jan 9, 2018 to Mar 27, 2018",['Winter 2018'],Tuesdays at 21:54 (JST),"['Pony Canyon', 'Tsuburaya Productions', 'Docomo Anime Store', 'Medicrie']","None found,",['Studio PuYUKAI'],Original,,3 min. per ep.,G - All Ages,6.10,#9370,#8594,"5,553",5,2301,"Second Season of Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku. It is receiving a TV broadcast, not just dTV streaming like the previous season.","['Prequel (ONA) Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku', 'Sequel (Movie) Kaijuu Girls Kuro: Ultra Kaijuu Gijinka Keikaku']",Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,Kaijuu Girls Staffel 2,Kaijuu Girls Temporada 2,"['Comedy', 'Fantasy']",['Parody'],,Kaijuu Girls Saison 2,,,
46,新幹線変形ロボ シンカリオン THE ANIMATION,Bullet Train Transforming Robot Shinkalion The Animation,['TV'],76,Finished Airing,"Jan 6, 2018 to Jun 29, 2019",['Winter 2018'],Saturdays at 07:00 (JST),"['Ajia-do', 'TBS']","None found,",['OLM'],Other,,24 min. per ep.,PG - Children,6.79,#5383,#9088,"4,743",32,872,"Hayato Hayasugi (his last name is a pun on the words for ""too fast"") and other children will serve as conductors to pilot the Shinkalion. The Shinkalion robots are various models of real-life Japanese bullet trains (shinkansen) that transform into robots to fight an unknown evil to protect the safety and peace of Japan. The children must work together with the adults of the Shinkansen Ultra Evolution Institute (SUEI) to defeat a monster that looks like a jet black bullet train. (Source: TBS Global Business)","['Sequel (TV) Shinkansen Henkei Robo Shinkalion Z the Animation', '']",Shinkansen Henkei Robo Shinkalion The Animation,,,"['Action', 'Sci-Fi']",['Mecha'],Transformable Shinkansen Robot Shinkalion,,['Kids'],,
47,gdメン,gdgd men's Party,['TV'],12,Finished Airing,"Jan 9, 2018 to Mar 27, 2018",['Winter 2018'],Tuesdays at 01:10 (JST),"['Tokyo MX', 'Fan Company', 'Global Solutions']","None found,",['Strawberry Meets Pictures'],Original,,8 min. per ep.,PG - Children,5.83,#10796,#10298,"3,217",5,1095,"In the series, Light and Yomi are spending their daily lives happily playing video games. One night when everyone else is asleep, Light receives an invitation from Alpha, a messenger for someone named King. Light and Yomi are then sucked into another world, where they must undertake a quest to rescue Princess Melody from the demon lord. Light thinks this must be his destiny, while Yomi thinks it's kind of annoying. They form a party with Alpha to start their quest. Alpha as it turns out is an AI robot, and he has a program that allows them to raise their levels while slowly continuing their adventure. (Source: ANN)","['Prequel (TV) gdgd Fairies 2', '']",gdMen,gdgd Men's Party,gdgd men's Party,"['Comedy', 'Fantasy']",,Guda Men,gdgd Men's Party,,,
48,まめねこ,,['TV'],12,Finished Airing,"Jan 9, 2018 to Mar 27, 2018",['Winter 2018'],Tuesdays at 01:05 (JST),"['Studio A-CAT', 'On-Lead']","None found,",['Charaction'],['Manga'],['Slice of Life'],3 min. per ep.,PG - Children,6.06,#9618,#12370,"1,716",0,465,"The series follows the daily lives of a naughty female cat named Azuki and a quiet male cat named Daizu who live with their owner, a 30 year old office lady, and her extended family, including an otaku elder brother and an adopted shiba inu dog who thinks he's a cat. (Source: Crunchyroll)",[],Mameneko,,,,['Pets'],,,,,
49,イナズマデリバリー 同業者アタック編,,['TV'],10,Finished Airing,"Dec 8, 2017 to Mar 2, 2018",['Winter 2018'],Unknown,"None found,","None found,",['Kanaban Graphics'],Original,,2 min. per ep.,PG-13 - Teens 13 or older,6.31,#8243,#14407,959,2,345,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Inazma Delivery', '']",Inazma Delivery: Dougyousha Attack-hen,,,"['Action', 'Comedy', 'Sci-Fi']",,,,,,
50,ポチっと発明 ピカちんキット,,['TV'],115,Finished Airing,"Jan 6, 2018 to Mar 28, 2020",['Winter 2018'],Saturdays at 09:30 (JST),['Bandai'],"None found,","['OLM', 'Shin-Ei Animation']",Original,,24 min. per ep.,PG - Children,[],#21029,#16264,588,1,,"A fifth-year elementary student named Eiji Toomatsu, and his ""inspiration"" buddy, a dog named Pochirou. One day Eiji finds a mysterious book called the ""Pikachin Research Book,"" and learns about the seven tools that make up the Pikachin Kit. Eiji presses a button inside the research book, and immediately a ""Future Amazon"" delivery arrives at his door with the kit. Eiji uses the blueprints included in the box to assemble the kit, but it seems as though 1% part of the kit is still missing. In the franchise, the word ""Pikachin"" means the flash of inspiration or insight one gets about a new project, similar to the visual of a lightbulb turning on above one's head when someone has an idea. The concept of the franchise is ""invention is 99% plastic models, 1% inspiration."" (Source: ANN)","['Prequel (ONA) Pochitto Hatsumei: Pikachin-Kit', '']",Pikachin-Kit,,,"['Comedy', 'Sci-Fi']",,Pochitto Hatsumei: Pikachin-Kit,,['Kids'],,
51,"戦隊ヒーロー スキヤキフォース -ぐんまの平和を願うシーズン え, また?-",,['TV'],24,Finished Airing,"Jan 15, 2018 to Jun 25, 2018",['Winter 2018'],Unknown,"None found,","None found,",['Studio 4°C'],Original,['Comedy'],2 min. per ep.,G - All Ages,[],#13993,#18329,396,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season', '']","Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season e, Mata?",,,,,,,,"['Parody', 'Super Power']",
52,띠띠뽀 띠띠뽀,Titipo,['TV'],26,Finished Airing,"Jan 1, 2018 to Mar 27, 2018",['Winter 2018'],Not scheduled once per week,['EBS'],"None found,","['Iconix Entertainment', 'Studio Gale']",Original,,11 min. per ep.,PG - Children,[],#14909,#18936,347,1,,"Say hi to Tayo's new friend - Titipo! Train Center's new born little train Titipo has just passed the driving examination and is prepared to work at the Train Village. Although Titipo dreams of becoming the best train in the world, his curious yet random personality catches him in unforeseen events and troubles everyday. Titipo expands his experience in the greater world and befriends Genie, Diesel, and other little trains. Will Titipo achieve his dream of becoming the best train? Come join the railroad journey and meet Titipo and the little train friends. (Source: Official YouTube channel)","['Sequel (TV) Titipo Titipo 2', '']",Titipo Titipo,,El Pequeño Titipo Titipo,,['Racing'],"Titipo and Friends, Titipo & Friends, Titipo-wa Chingudeul Titipo Titipo",,['Kids'],,
53,うちのウッチョパス,,['TV'],38,Finished Airing,"Jan 9, 2018 to Sep 25, 2018",['Winter 2018'],Tuesdays at 17:20 (JST),"['NHK', 'Echoes']","None found,","None found,",Picture book,,5 min. per ep.,G - All Ages,[],#15100,#19136,336,0,,"The main character is the mysterious lifeform Oochopus. In the series, the Oochopus appears at the house of five-year-old Kantarou and three-year-old An-chan. Kantarou and An-chan accept the cute but somewhat irresponsible Oochopus as family. (Source: ANN)",[],Uchi no Oochopus,,,,,,,['Kids'],,
54,에어로버: 스페이스 드론의 귀환,Aerover: Return of the Space Drone,['TV'],13,Finished Airing,"Jan 18, 2018 to May 3, 2018",['Winter 2018'],Unknown,"None found,","None found,","None found,",Unknown,,14 min. per ep.,G - All Ages,[],#16480,#19338,323,1,,"Tells about a future where drones are common. Drones have played an indispensable and important function in human life. One day, a large meteorite fell on earth, and scientists discovered that it had an infinite source of energy, the ""Cosmo Stone"", and applied it to a drone, what people call a ""space drone."" One day, drone wars around the world broke out, and space drones were active as a weapon of war. As the damage spreads, world leaders proposed a ceasefire and sought to turn drones into symbols of peace, not weapons of war anymore. The result is the ""Aerover Championship"".","['Sequel (TV) Aerover: Pinigseuui Buhwal', '']",Aerover: Seupeiseu Drone Gwihwan,,,"['Action', 'Comedy']",,,,,,
55,がん がん がんこちゃん 第2期,,['TV'],8,Finished Airing,"Feb 4, 2018 to Mar 25, 2018",['Winter 2018'],Sundays at 07:55 (JST),"None found,","None found,",['10Gauge'],Original,,5 min. per ep.,G - All Ages,[],#18092,#19731,300,0,,Second season of the Gan Gan Ganko-chan anime series.,"['Prequel (TV) Gan Gan Ganko-chan', '']",Gan Gan Ganko-chan 2nd Season,,,"['Comedy', 'Sci-Fi']",,,,['Kids'],,
56,开心超人联盟之神奇实验室,,['TV'],24,Finished Airing,"Jan 20, 2018 to Feb 21, 2018",['Winter 2018'],Unknown,"None found,","None found,","None found,",Original,,13 min. per ep.,PG - Children,[],#19225,#23215,129,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kaixin Chaoren Lianmeng: Shenqi Shiyan Shi,,,"['Comedy', 'Sci-Fi']",,,,['Kids'],,
57,뱅글스쿨,Bangle School,['TV'],26,Finished Airing,"Dec 2, 2017 to Jun 30, 2018",['Winter 2018'],Unknown,"None found,","None found,","None found,",Original,,12 min. per ep.,PG - Children,[],#16809,#23376,125,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bangle School,,,"['Comedy', 'Fantasy']",['School'],Baeng-geulseukul,,['Kids'],,
58,小鹿杏仁儿,Almond the Deer,['TV'],52,Finished Airing,"Jan 23, 2018 to Jan 15, 2019",['Winter 2018'],Unknown,"None found,","None found,","None found,",Original,['Fantasy'],7 min. per ep.,PG - Children,[],#15696,#24180,108,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Xiaolu Xingren Er 2nd Season', '']",Xiaolu Xingren Er,,,,,,,['Kids'],,
59,巫女っちゃけん。,,['TV'],10,Finished Airing,"Jan 15, 2018 to Feb 25, 2018",['Winter 2018'],Not scheduled once per week,"None found,","None found,","None found,",Other,['Comedy'],1 min. per ep.,PG-13 - Teens 13 or older,[],#20242,#24848,97,0,,An animated series to promote the film Mikocchaken.,[],Mikocchaken.,,,,,,,,,
60,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,494,597","234,521",1418421,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,"['Action', 'Adventure', 'Fantasy']",,OP,,['Shounen'],,
61,ブラッククローバー,Black Clover,['TV'],170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",['Fall 2017'],Tuesdays at 18:25 (JST),"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],['Manga'],,23 min. per ep.,PG-13 - Teens 13 or older,8.14,#474,#57,"1,770,648","48,437",909467,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically. When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King! [Written by MAL Rewrite]","['Adaptation (Manga) Black Clover', '']",Black Clover,,,"['Action', 'Fantasy']",,,,['Shounen'],,
62,魔法使いの嫁,The Ancient Magus' Bride,['TV'],24,Finished Airing,"Oct 8, 2017 to Mar 25, 2018",['Fall 2017'],Sundays at 01:30 (JST),"['Production I.G', 'Shochiku', 'flying DOG', 'Mag Garden']",['Funimation'],['Wit Studio'],['Manga'],,24 min. per ep.,PG-13 - Teens 13 or older,8.05,#595,#179,"972,633","12,875",407823,"Chise Hatori, a 15-year-old Japanese girl, was sold for five million pounds at an auction to a tall masked gentleman. Abandoned at a young age and ridiculed by her peers for her unconventional behavior, she was ready to give herself to any buyer if it meant having a place to go home to. In chains and on her way to an unknown fate, she hears whispers from robed men along her path, gossiping and complaining that such a buyer got his hands on a rare Sleigh Beggy. Ignoring the murmurs, the mysterious man leads the girl to a study, where he reveals himself to be Elias Ainsworth—a magus. After a brief confrontation and a bit of teleportation magic, the two open their eyes to Elias' picturesque cottage in rural England. Greeted by fairies and surrounded by weird and wonderful beings upon her arrival, these events mark the beginning of Chise's story as the apprentice and supposed bride of the ancient magus. [Written by MAL Rewrite]","['Sequel (TV) Mahoutsukai no Yome Season 2', 'Adaptation (Manga) Mahoutsukai no Yome']",Mahoutsukai no Yome,The Ancient Magus' Bride,The Ancient Magus Bride,"['Drama', 'Fantasy', 'Romance']",,"The Magician's Bride, Mahoyome",The Ancient Magus' Bride,['Shounen'],"['Mythology', 'Urban Fantasy']",
63,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],,23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9907,#208,"895,097","7,373",456857,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,,,"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],,,['Shounen'],,
64,ドラゴンボール超（スーパー）,Dragon Ball Super,['TV'],131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018",['Summer 2015'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']",['Funimation'],['Toei Animation'],['Manga'],,23 min. per ep.,PG-13 - Teens 13 or older,7.46,#2106,#218,"868,872","10,977",559123,"Seven years after the defeat of Majin Buu, Earth is at peace, and its people live free from any dangers lurking in the universe. However, this peace is short-lived; a sleeping threat awakens in the dark reaches of the galaxy: Beerus, the ruthless God of Destruction. Disturbed by a prophecy that he will be defeated by a ""Super Saiyan God,"" Beerus and his angelic attendant Whis search the universe for this mysterious being. Before long, they reach Earth and encounter Gokuu Son, one of the planet's mightiest warriors, and his powerful friends. [Written by MAL Rewrite]","['Sequel (Movie) Dragon Ball Super: Broly', 'Adaptation (Manga) Dragon Ball Super']",Dragon Ball Super,,,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Martial Arts'],"Dragon Ball Chou, DB Super, DBS",,['Shounen'],,
