,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Theme,Demographic,Spanish,German,French,Demographics
43,MUTEKING THE Dancing HERO,,['TV'],12,Finished Airing,"Oct 3, 2021 to Dec 19, 2021",['Fall 2021'],Sundays at 01:26 (JST),"['Victor Entertainment', 'Smile Company']",['Funimation'],"['Tatsunoko Production', 'Tezuka Productions']",Original,"['Action', 'Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,5.84,#10748,#7851,"6,873",22,2679,"Set in a city modeled after San Francisco in the 1980s, the protagonist has transformed into the hero Muteking and is fighting against evil aliens for some reason. Such a cheerful hero will return in 2020! Sci-fi hero love comedy Muteking the Dancing Hero, singing and dancing with pop music. (Source: Official Website)",[],Muteking the Dancing Hero,,,['Music'],,,,,
44,ワッチャプリマジ！,Waccha PriMagi!,['TV'],51,Finished Airing,"Oct 3, 2021 to Oct 9, 2022",['Fall 2021'],Sundays at 10:00 (JST),"['TV Tokyo', 'Takara Tomy A.R.T.S']",['Sentai Filmworks'],"['Tatsunoko Production', 'Dongwoo A&E']",Original,,"['Idols (Female)', 'Mahou Shoujo', 'Music']",24 min. per ep.,G - All Ages,7.03,#4259,#8328,"5,945",57,1243,"The new series continues the Pretty Series' conceptual motifs of song, dance, and fashion, and it also adds the theme of magic. Middle-school first-year student Matsuri Hibino loves festivals, and she dreams of one day being able to star in ""PriMagi,"" a magic-like form of stage entertainment borne from song, dance and fashion. That day arrives when the hyper-spirited, trouble-making magician Myamu arrives from the magical realm and scouts Matsuri for PriMagi. Together, the two compete with rivals to rise to the top of PriMagi. (Source: ANN)",[],Waccha PriMagi!,,,,,,,,
45,かなしきデブ猫ちゃん,,['TV'],10,Finished Airing,"Dec 6, 2021 to Dec 17, 2021",['Fall 2021'],Mondays at 00:30 (JST),"['NHK', 'NHK Enterprises']","None found,",['Cyclone Graphics'],Other,,,3 min. per ep.,G - All Ages,6.32,#8170,#10241,"3,263",40,212,"The anime's story centers on a cat named Maru, adopted by a girl named Anna from a shelter in Matsuyama city. Loved and well fed by the family, Maru gets rounder and fatter every day, spending most of his day sitting by the window and looking at the garden outside. When the family gets a new cat named Cerisier and begins doting on it, Maru gets jealous. In a fight with Cerisier, Maru is hurt by the family's words to him, and follows the advice of another cat to leave and see the world. (Source: ANN)",[],Kanashiki Debu Neko-chan,The Sad and Fat Cat,['Slice of Life'],['Pets'],,,,,
46,キミとフィットボクシング,,['TV'],12,Finished Airing,"Oct 1, 2021 to Dec 17, 2021",['Fall 2021'],Fridays at 21:54 (JST),"None found,","None found,","['Imagineer', 'Story Effect']",Game,,,3 min. per ep.,PG-13 - Teens 13 or older,5.60,#11806,#13350,"1,275",7,144,Kimi to Fit Boxing is a short Japanese anime television series adaptation of the Nintendo Switch game named Fitness Boxing. (Source: Wikipedia),[],Kimi to Fit Boxing,"Fitness Boxing, Fit Boxing",['Sports'],,,,,,
47,チキップダンサーズ,,['TV'],26,Finished Airing,"Oct 5, 2021 to Mar 29, 2022",['Fall 2021'],Tuesdays at 17:20 (JST),['San-X'],"None found,",['Fanworks'],Other,,,5 min. per ep.,G - All Ages,[],#19907,#14042,"1,062",6,,"TV anime based on San-X's new series of mascot characters ""Chickip Dancers."" The main characters in the anime will be the apprehensive but curious bone-in chicken Hone Chicken, and the dancing instructor frog Skip Gaeru, who travels by dancing. (Source: ANN)","['Sequel (TV) Chickip Dancers 2nd Season', '']",Chickip Dancers,,['Slice of Life'],,,,,,
48,ぐんまちゃん,,['TV'],13,Finished Airing,"Oct 3, 2021 to Dec 26, 2021",['Fall 2021'],Sundays at 08:00 (JST),"None found,","None found,",['Ascension'],Other,,,24 min. per ep.,G - All Ages,5.96,#10119,#14324,979,2,178,"An anime series based on the Gunma Prefecture mascot character, Gunma-chan. (Source: Anilist)","['Sequel (TV) Gunma-chan Season 2', '']",Gunma-chan,,['Slice of Life'],,,,,,
49,,Record of Ragnarok Mini Anime (Cartoon Network Nite),['TV'],12,Finished Airing,"Oct 3, 2021 to Dec 19, 2021",['Fall 2021'],Saturdays at 22:25 (JST),"None found,","None found,",['AQUA ARIS'],['Manga'],"['Action', 'Comedy']",,2 min. per ep.,PG-13 - Teens 13 or older,6.01,#9873,#15910,636,2,135,Chibi shorts shown after each episode of Shuumatsu no Walküre as they were broadcasted on Japan's Cartoon Network Nite program. Each short recaps the events of the episode along with original animation.,[],Shuumatsu no Walküre Mini Anime (Cartoon Network Nite),,,,['Seinen'],,,,
50,吉田勝子のヤバイわ! SDGs ~荒ぶる! トラブル! サステナブル!~,,['TV'],13,Finished Airing,"Oct 4, 2021 to Dec 27, 2021",['Fall 2021'],Unknown,"None found,","None found,",['DLE'],Original,,"['Parody', 'Workplace']",2 min. per ep.,PG-13 - Teens 13 or older,[],#16082,#18048,414,0,,"The anime centers on Katsuko Yoshida, the cousin of Eagle Talon's Yoshida-kun, and an employee in Kemonomichi Electronics' ""special general affairs"" section. She educates her poorly informed colleagues about their misunderstandings of Sustainable Development Goals, the United Nations-backed goals for member nations to attain a sustainable future. (Source: ANN)",[],Yoshida Katsuko no Yabai wa! SDGs: Araburu! Trouble! Sustainable!,,['Comedy'],,,,,,
51,반짝반짝 캐치! 티니핑,Twinkle Catch! Tiniping,['TV'],26,Finished Airing,"Sep 22, 2021 to Mar 16, 2022",['Fall 2021'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,"['Mahou Shoujo', 'School']",11 min. per ep.,PG - Children,[],#19444,#20025,281,0,,"The residents of Jewel Forest, Jewel Teeniepings suddenly disappeared. Joahping, Teeheeping, and Trustping, who also are Jewel Teeniepings, the students of Royal Teenieping Academy, and the candidates of next Royal Teeniepings, head to Earth to save their friends… Now, Romi and Heartsping have to team up with Joahping, Teeheeping, and Trustping, three immature Royal Teeniepings. Will Romi be able to find 15 lost Jewel Teeniepings and catch? (Source: Official Site)","['Prequel (TV) Catch! Tiniping', 'Sequel (TV) Alssongdalssong Catch! Tiniping']",Banjjagbanjjag Catch! Tiniping,Sparkle Sparkle Catch! Teenieping,['Fantasy'],,,,,,
52,猫ジョッキー,,['TV'],4,Finished Airing,"Nov 4, 2021 to Nov 25, 2021",['Fall 2021'],Thursdays at 23:10 (JST),"None found,","None found,",['DLE'],Original,,,2 min. per ep.,G - All Ages,[],#18122,#20253,270,2,,Second season of Neko Jockey.,"['Prequel (TV) Neko Jockey', '']",Neko Jockey 2nd Season,,['Comedy'],,['Kids'],,,,
53,꼬마버스 타요 6,Tayo the Little Bus Season 6,['TV'],26,Finished Airing,"Sep 1, 2021 to Nov 25, 2021",['Fall 2021'],Unknown,"None found,","None found,","['Iconix Entertainment', 'Studio Gale']",Unknown,,,11 min. per ep.,PG - Children,[],#16982,#21238,212,0,,The sixth season of Kkoma Bus Tayo.,"['Prequel (TV) Kkoma Bus Tayo 5', 'Sequel (TV) Kkoma Bus Tayo 7']",Kkoma Bus Tayo 6,,,['Racing'],['Kids'],,,,
54,コヌとたのしいおともだち,,['TV'],12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",['Fall 2021'],Unknown,['TV Tokyo'],"None found,","None found,",Original,,,Unknown,PG - Children,[],#17064,#21532,199,0,,Part of TV Tokyo's Kinder TV program.,[],Konu to Tanoshii Otomodachi,,['Slice of Life'],,['Kids'],,,,
55,신비아파트 고스트볼Z,,['TV'],24,Finished Airing,"Sep 16, 2021 to Jul 28, 2022",['Fall 2021'],Unknown,['CJ ENM'],"None found,",['Studio BAZOOKA'],Original,"['Fantasy', 'Supernatural']",,24 min. per ep.,G - All Ages,[],#14409,#21677,191,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sinbi Apartment: Ghost Ball Double X', 'Sequel (TV) Sinbi Apartment: Ghost Ball Zero']",Sinbi Apartment: Ghost Ball Z,,,,['Kids'],,,,
56,메카드볼,,['TV'],52,Finished Airing,"Sep 4, 2021 to Oct 8, 2022",['Fall 2021'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing', 'Strategy Game']",13 min. per ep.,PG - Children,[],#17611,#22688,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Mecard Ball Mega', '']",Mecard Ball,,['Action'],,['Kids'],,,,
57,미니특공대 애니멀트론,Miniforce Animal Tron,['TV'],26,Finished Airing,"Sep 3, 2021 to Feb 25, 2022",['Fall 2021'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,,"['Anthropomorphic', 'Mecha']",11 min. per ep.,PG - Children,[],#17794,#23634,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Miniforce Animaltron,,['Action'],,['Kids'],,,,
58,스페이스 동의보감,,['TV'],26,Finished Airing,"Nov 3, 2021 to Jan 26, 2022",['Fall 2021'],Unknown,"None found,","None found,","None found,",Original,,,25 min. per ep.,PG - Children,[],#14548,#24315,104,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Space Donguibogam 2', '']",Space Donguibogam,,['Adventure'],,['Kids'],,,,
59,쥬라기 캅스3,,['TV'],27,Finished Airing,"Sep 8, 2021 to Apr 20, 2022",['Fall 2021'],Unknown,"None found,","None found,","None found,",Original,,,11 min. per ep.,PG - Children,[],#16669,#26491,73,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Jyulagi Cops: Jura King', '']",Jyulagi Cops 3rd Season,,['Action'],['Mecha'],['Kids'],,,,
60,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,492,991","234,339",1417428,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,['Shounen'],,,,
61,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9915,#208,"894,735","7,373",456660,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,,,['Martial Arts'],['Shounen'],,,,
62,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#434,#703,"360,522","15,320",164219,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,['Detective'],['Shounen'],,Case Closed,,
63,SHAMAN KING,,['TV'],52,Finished Airing,"Apr 1, 2021 to Apr 21, 2022",['Spring 2021'],Thursdays at 17:55 (JST),['TV Tokyo'],"None found,",['Bridge'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,6.90,#4849,#947,"271,979","1,737",77169,"Shamans are extraordinary individuals with the ability to communicate with ghosts, spirits, and gods, which are invisible to ordinary people. The Shaman Fight—a prestigious tournament pitting shamans from all over the world against each other—is held every five hundred years, where the winner is crowned Shaman King. This title allows the current incumbent to call upon the Great Spirit and shape the world as they see fit. Finding himself late for class one night, Manta Oyamada, an ordinary middle school student, decides to take a shortcut through the local cemetery. Noticing him, a lone boy sitting on a gravestone invites Manta to stargaze with ""them."" Realizing that ""them"" refers to the boy and his ghostly friends, Manta flees in terror. Later, the boy introduces himself as You Asakura, a Shaman-in-training, and demonstrates his powers by teaming up with the ghost of six-hundred-year-old samurai Amidamaru to save Manta from a group of thugs. You befriends Manta due to his ability to see spirits, and with the help of Amidamaru, they set out to accomplish You's goal of becoming the next Shaman King. [Written by MAL Rewrite]","['Sequel (TV) Shaman King: Flowers', 'Adaptation (Manga) Shaman King', 'Adaptation (Manga) Shaman King Kanzenban', '']",Shaman King (2021),,,,['Shounen'],Shaman King,Shaman King,Shaman King,
64,ジャヒー様はくじけない！,The Great Jahy Will Not Be Defeated!,['TV'],20,Finished Airing,"Aug 1, 2021 to Dec 19, 2021",['Summer 2021'],Sundays at 02:00 (JST),"['Square Enix', 'Medicos Entertainment', 'King Records', 'Nagoya Broadcasting Network', 'ABC Animation', 'DMM pictures']","None found,",['SILVER LINK.'],['Manga'],"['Comedy', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.01,#4361,#1006,"258,629","1,443",89588,"The great Jahy will not be defeated! Simultaneously combating starvation, the lack of A/C, and the unavoidable weakness of turning child-sized, Jahy—previously the second strongest being in the Dark Realm—is under great stress. If it weren't for the destruction of the mana crystal which used to power the Dark Realm, Jahy would still be living a life of power and luxury. And yet, at the moment, brawling with the landlady over rent is a recurring event for Jahy. Just to have a place to stay and food to eat, Jahy must work part-time. However, her immense pride will not allow her to live under such poor conditions for any longer than necessary. Vowing to reinstate the Dark Realm to its former glory, Jahy continues her journey to reassemble the mana crystal. [Written by MAL Rewrite]","['Adaptation (Manga) Jahy-sama wa Kujikenai!', '']",Jahy-sama wa Kujikenai!,Jahy-sama Won't Be Discouraged!,,,['Shounen'],,,,
65,白い砂のアクアトープ,The Aquatope on White Sand,['TV'],24,Finished Airing,"Jul 9, 2021 to Dec 17, 2021",['Summer 2021'],Fridays at 00:00 (JST),"['BS Fuji', 'Tokyo MX', 'Infinite', 'Forecast Communications', 'Kadokawa Media House', 'DMM pictures', 'Bandai Namco Arts', 'AQUA ARIS']","None found,",['P.A. Works'],Original,,,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1917,#1435,"175,877","1,409",53341,"After leaving her idol career behind, Fuuka Miyazawa finds herself on a spontaneous flight to Okinawa instead of returning home to her pity party in Morioka. Bearing a heavy heart and nowhere to go, she aimlessly wanders around the area until she stumbles upon Gama Gama Aquarium—an aging aquarium on the verge of closing down. With a lack of visitors and costly but necessary repairs needed to keep its doors open, the director is faced with shutting down the establishment for good by the end of the summer. The director's aquatic life-loving granddaughter—Kukuru Misakino—cannot stand the thought of the aquarium closing and is determined to make enough money by the end of the season to keep the doors open. Seeing the unique magic of the aquarium, Fuuka begs Kukuru for a job; however, she soon finds that her lack of experience makes her more of a hindrance than anything else. At the same time, Kukuru realizes that her ambitious goal might be more than she can handle. With mounting pressure from all around them, will Kukuru and Fuuka be able to save the one place they hold close to their hearts? [Written by MAL Rewrite]","['Adaptation (Manga) Shiroi Suna no Aquatope', '']",Shiroi Suna no Aquatope,Aquatope of White Sand,['Drama'],['Workplace'],,The Aquatope on White Sand,The Aquatope On The White Sand,The Aquatope On White Sand,
66,SCARLET NEXUS,Scarlet Nexus,['TV'],26,Finished Airing,"Jul 1, 2021 to Dec 23, 2021",['Summer 2021'],Thursdays at 22:30 (JST),"['Sunrise Music', 'Bandai Namco Arts']",['Funimation'],['Sunrise'],Game,"['Action', 'Sci-Fi']","['Military', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,5.71,#11327,#2199,"101,758",501,27642,"In the year 2020, a nation faces the pervasive threat of the ""Others""—mysterious monsters who fall from the sky and feed on human brains. At the same time, psionics, a hormone that gives certain people extrasensory abilities that are effective against the Others, is discovered in the human body. Subsequently, the nation's founder establishes the Other Suppression Force (OSF) to combat these monsters and save humanity. Commonly referred to as the Scarlet Guardians, young individuals with psionics undergo intensive training to join this group. One day, the nation prepares an induction ceremony for the exceptional recruits who completed the grueling training to become Scarlet Guardians. Among these young elites is Yuito Sumeragi, the determined son of the nation's founder; at the age of five, he was rescued by a woman in the OSF. To repay this debt, he joins the organization, eager to put his training to good use. As he meets his new comrades, he faces a big problem—the woman who saved him years ago closely resembles one of his teammates. However, this should be the least of his worries—unbeknownst to him, a conspiracy is brewing, one with the capability to shake the entire country. [Written by MAL Rewrite]",[],Scarlet Nexus,,,,,,,,
67,ポケットモンスター(2019),Pokémon Journeys: The Series,['TV'],136,Finished Airing,"Nov 17, 2019 to Dec 16, 2022",['Fall 2019'],Fridays at 18:55 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'MediaNet']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG - Children,7.55,#1784,#2285,"95,677",655,40333,"On a new day in the Kanto region, Satoshi gets invited by Professor Yukinari Ookido over to Professor Sakuragi's lab-opening ceremony in Vermillion City. During the ceremonial speech, Professor Sakuragi receives an alert of a possibly rare Pokémon appearing in Vermillion City's harbor, leading Satoshi and the other trainers to rush to the area in hopes of finding the mysterious Pokémon. At the harbor, they find Lugia—a Legendary Pokémon—engaged in combat with other trainers. Noticing the other trainers' tactics, Satoshi has his partner, Pikachu, strike Lugia with a Thunderbolt attack. Unfazed, Lugia flees, but not before Satoshi determinedly leaps onto its back. To Satoshi's surprise, he meets another boy, Gou, who leapt onto Lugia's back as well. The two ride on Lugia's back as it brings them along on a bizarre adventure across the seas. As it lets the two back on the ground, Satoshi and Gou bid their farewells to Lugia and return to Sakuragi Institute. Impressed by Gou's findings and Satoshi's insight taken during their encounter, Sakuragi requests for the duo to be his new research partners. And so the duo's journey begins, traveling across multiple regions to meet many new Pokémon—including ones that have the ability to Gigantamax! [Written by MAL Rewrite]","['Prequel (TV) Pokemon Sun & Moon', 'Sequel (TV) Pokemon: Mezase Pokemon Master', 'Adaptation (Manga) Pocket Monsters: Satoshi to Gou no Monogatari!', '']",Pokemon (2019),"Pocket Monsters, Pokemon 2019, Pokémon",,,['Kids'],Pokémon Viajes Serie,,,
68,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1028,#2399,"87,961","1,328",42152,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,['School'],['Seinen'],Shin Chan,Shin Chan,,
69,ドラゴンクエスト ダイの大冒険,Dragon Quest: The Adventure of Dai,['TV'],100,Finished Airing,"Oct 3, 2020 to Oct 22, 2022",['Fall 2020'],Saturdays at 09:30 (JST),"['TV Tokyo', 'Square Enix', 'Shueisha']","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.73,#1215,#2613,"76,631",645,25968,"A long time ago, there was a valiant swordsman who came to be known simply as ""the hero."" There was a demon who has caused people suffering. The hero and his companions arrived to challenge the demon to a battle and by combining their powers, the battle was brought swift conclusion. With no one around to cause trouble, the island became a quiet place where everyone could live together in peace. Several years later, the demon is revived. Our present-day protagonist, Dai, lives on a remote island in the southern seas and dreams of becoming a great hero. When he hears about the demon's revival, Dai and his friends take it upon themselves to stop him and the evil force that revived him. Along the way, Dai discovers the identity of ""the hero,"" the truth behind the evil force who revived the demon, and Dai's own hidden powers that surface in times of peril. (Source: MU, edited)","['Adaptation (Manga) Dragon Quest: Dai no Daibouken', '']",Dragon Quest: Dai no Daibouken (2020),Dragon Quest: Dai's Great Adventure,,,['Shounen'],Dragon Quest: La Aventura de Dai,Dragon Quest: The Adventure of Dai,Dragon Quest: The Adventure of Dai,
70,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min.,PG - Children,7.72,#1248,#4997,"21,388",239,9579,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,['Anthropomorphic'],,,,,"['Kids', 'Shounen']"
71,舞妓さんちのまかないさん,Kiyo in Kyoto: From the Maiko House,['TV'],12,Finished Airing,"Feb 25, 2021 to Jan 27, 2022",['Winter 2021'],Thursdays at 08:30 (JST),"['NHK', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],"['Gourmet', 'Slice of Life']","['Educational', 'Iyashikei', 'Workplace']",25 min. per ep.,PG-13 - Teens 13 or older,7.03,#4240,#5168,"19,684",68,4705,"Kiyo Nozuki and Sumire Herai are childhood friends who share a common desire to become maikos—apprentice geishas. When they join a maiko house, Kiyo is deemed unfit to be a maiko and ends up employed as a live-in cook. On the other hand, Sumire perfectly fits the maiko image and undergoes training to become one. Although disheartened by her own failure, the ever-optimistic Kiyo cooks for everyone in the house, happy to nourish and encourage them in their endeavors. [Written by MAL Rewrite]","['Adaptation (Manga) Maiko-san Chi no Makanai-san', '']",Maiko-san Chi no Makanai-san,The caterer at the Maiko Manor,,,['Shounen'],Kiyo in Kyoto: From the Maiko House,Kiyo in Kyoto: From the Maiko House,Kiyo in Kyoto: From the Maiko House,
72,遊☆戯☆王 SEVENS,Yu-Gi-Oh! Sevens,['TV'],92,Finished Airing,"Apr 4, 2020 to Mar 27, 2022",['Spring 2020'],Saturdays at 07:30 (JST),"['TV Tokyo', 'Konami', 'Shueisha', 'Konami Cross Media NY']","None found,",['Bridge'],Card game,"['Action', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.20,#8828,#5260,"18,801",88,4909,"In the ever-growing world of Duel Monsters, as duelists improve their skills and rise up the ranks, duels become increasingly complex. By adhering to strict rules, in addition to using and learning proven strategies, one can develop into a strong duelist. However, as a boy who loves inventions and discovering new possibilities, elementary school student Yuuga Oudou finds the current way of dueling predictable and rigid—in other words, boring. Thus, he aims to craft a new path in dueling with his exhilarating new invention: Rush Duels. His ambition soon catches the attention of Tatsuhisa Kamijou, a fellow elementary school student, who brings him to a mysterious place in an attempt to discover the potential of the new system. While Yuuga aims to implement Rush Duels as the new dueling standard and overthrow the conventions of the game, he opens the door to his ultimate goal—to make dueling exciting again. [Written by MAL Rewrite]","['Adaptation (One-shot) Yu☆Gi☆Oh! Rush Duel: Yarouze! Rush Duel!!', 'Adaptation (Manga) Yu☆Gi☆Oh! Sevens: Luke! Bakuretsu Hadouden!!']",Yu☆Gi☆Oh! Sevens,Yuu Gi Ou!,,['Strategy Game'],['Shounen'],,,,
73,トロピカル～ジュ！プリキュア,Tropical-Rouge! Pretty Cure,['TV'],46,Finished Airing,"Feb 28, 2021 to Jan 30, 2022",['Winter 2021'],Sundays at 08:30 (JST),"['ABC Animation', 'ADK Emotions']","None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.39,#2414,#5866,"14,142",147,4549,"It's an exciting day for fashionable teenager Manatsu Natsumi, who is moving into the big city for the first time. Upon arriving, Manatsu is immediately charmed by the city's spectacles. However, things take an unbelievable turn when she encounters Laura—a real-life mermaid! Laura is searching for the Precure, a group of radiant warriors who may have the key to rescuing Grand Ocean, Laura's home. This duty soon falls upon Manatsu, whose unwavering determination causes her to awaken as one of the Precure: the vivid Cure Summer. As new friends join the team, Manatsu needs to adapt to her hectic, new life while protecting humanity's liveliness from oceanic invaders! With each battle more difficult than the last, the girls must discover what is truly valuable to them. [Written by MAL Rewrite]","['Adaptation (Manga) Tropical-Rouge! Precure: Precure Collection', '']",Tropical-Rouge! Precure,,['Action'],['Mahou Shoujo'],,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,
