,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographics
0,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",とっとこハム太郎,Hamtaro,Hamtaro,Hamtaro,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",['Anthropomorphic'],['Kids'],25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,643",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,,,
1,,HAND MAID メイ,,,,,['TV'],10,Finished Airing,"Jul 26, 2000 to Sep 27, 2000",['Summer 2000'],Wednesdays at 18:30 (JST),"['Pioneer LDC', 'Cosmic Ray']","['Discotek Media', 'Geneon Entertainment USA']",['TNK'],Original,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Harem'],,23 min. per ep.,PG-13 - Teens 13 or older,6.68,#6030,#4195,"31,735",37,14208,"Saotome Kazuya is a computer whiz. One day his friend Nanbara, threatens him with a computer virus. Trying to stop the virus, Kazuya ends up making a special order. May is a cyberdoll that arrives at his door a few minutes later and she is 1/6th the size of a normal person, which makes for many awkward situations. Not to mention the fact Kazuya can't even afford to keep May. Cyberdyne is not satisfied with Kazuya's non-payments and will do anything to retrieve CBD May. (Source: ANN)","['Sequel (Special) Hand Maid May: Akiramemasen', '']",Hand Maid May,,,
2,"Medabots Damashii, Medabots Spirits, Medabots II",メダロット魂,Medabots Spirits,,,,['TV'],39,Finished Airing,"Jul 7, 2000 to Mar 30, 2001",['Summer 2000'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Nelvana']","['ADV Films', 'Discotek Media']",['Trans Arts'],Game,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,G - All Ages,6.67,#6060,#4954,"21,901",23,11157,"The sequel to the famous Medabots series, following the continuing adventures of Ikki and Metabee. The two encountered a strange enemy named Jinkai and the so called Death Medabots. Along with Nae and Erica, they will defeat Jinkai and the Death Medabots.","['Prequel (TV) Medarot', '']",Medarot Damashii,,,
3,"Brigadoon Marin and Melan, MariMera",ブリガドーン まりんとメラン,Brigadoon,,,,['TV'],26,Finished Airing,"Jul 21, 2000 to Feb 9, 2001",['Summer 2000'],Fridays at 19:30 (JST),['Bandai Visual'],['Tokyopop'],['Sunrise'],Original,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']",['Mecha'],,24 min. per ep.,PG-13 - Teens 13 or older,7.19,#3409,#5783,"14,753",149,3977,"Marin is a typical junior high school girl with a sunny disposition and a loving adoptive family. Her life takes a drastic change when a mysterious mirage is seen in the sky above the entire earth. Killer androids called Monomakia descend to earth from the formation in the sky called Brigadoon and begin to hunt down little Marin. She discovers a blue bottle in a shrine as she seeks escape and from the bottle comes a protector, a sword carrying gun slinging alien called Melan Blue, together they must save the earth and deal with family crisis, school prejudice and the police and come to an understanding of Marins past and Melans unexplained mission, as well as learn to trust each other. Set in 1969 Japan with a colorful cast of friends and enemies. (Source: ANN)","['Adaptation (Manga) Brigadoon: Marin to Melan', '']",Brigadoon: Marin to Melan,,,
4,,ストレンジ・ドーン,,,,,['TV'],13,Finished Airing,"Jul 11, 2000 to Sep 26, 2000",['Summer 2000'],Tuesdays at 18:30 (JST),"None found,",['Urban Vision'],['HAL Film Maker'],Original,"['Adventure', 'Drama', 'Fantasy']",['Isekai'],,23 min. per ep.,PG-13 - Teens 13 or older,6.24,#8634,#7913,"6,782",9,2102,"Yuko and Eri are two normal girls who are sucked into the alternate world filled with tiny people. The people of this mysterious world sees them as their ""Great Protectors"" who can protect their land in a time of strife. The two girls set out on a mission with a group of warriors from the village to find out how they were brought here and how might they return home. However, there is a war brewing and these two Great Protectors are the political tool that every faction lusts for to rally the people to their side. (Source: ANN)",[],Strange Dawn,,,
5,Taegwon-wang Gangtaepung,태권왕 강태풍,King of Taekwondo Kang Taepoong,,,,['TV'],26,Finished Airing,"Jun 2, 2000 to Dec 8, 2000",['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,,,,22 min. per ep.,PG-13 - Teens 13 or older,[],#14681,#18658,371,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taekwon-wang Gang Taepung,['Sports'],"['Martial Arts', 'School']",
6,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,,,,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],6 min. per ep.,PG - Children,[],#18441,#22582,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,
7,OP,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,625","234,846",1420258,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,
8,"GTO, GTO - The Animation",グレート・ティーチャー・オニヅカ,Great Teacher Onizuka,,,,['TV'],43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",['Summer 1999'],Wednesdays at 19:30 (JST),"['Aniplex', 'Fuji TV']","['Discotek Media', 'Tokyopop']",['Pierrot'],['Manga'],,,['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),8.68,#69,#221,"867,314","27,379",425941,"Twenty-two-year-old Eikichi Onizuka—ex-biker gang leader, conqueror of Shonan, and virgin—has a dream: to become the greatest high school teacher in all of Japan. This isn't because of a passion for teaching, but because he wants a loving teenage wife when he's old and gray. Still, for a perverted, greedy, and lazy delinquent, there is more to Onizuka than meets the eye. So when he lands a job as the homeroom teacher of the Class 3-4 at the prestigious Holy Forest Academy—despite suplexing the Vice Principal—all of his talents are put to the test, as this class is particularly infamous. Due to their utter contempt for all teachers, the class' students use psychological warfare to mentally break any new homeroom teacher they get, forcing them to quit and leave school. However, Onizuka isn't your average teacher, and he's ready for any challenge in his way. Bullying, suicide, and sexual harassment are just a few of the issues his students face daily. By tackling the roots of their problems, Onizuka supports them with his unpredictable and unconventional methods—even if it means jumping off a building to save a suicidal child. Thanks to his eccentric charm and fun-loving nature, Class 3-4 slowly learns just how enjoyable school can be when you're the pupils of the Great Teacher Onizuka. [Written by MAL Rewrite]","['Prequel (OVA) Shonan Junai Gumi!', 'Adaptation (Manga) GTO Read Manga']",Great Teacher Onizuka,['Comedy'],"['Delinquents', 'School', 'Workplace']",
9,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",ポケットモンスター,Pokémon,Pokémon,Pokémon,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,564",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,,,
