,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Theme,Demographic,Genre,Demographics
0,"FMP, Fullmetal Panic!",フルメタル・パニック！,Full Metal Panic!,['TV'],24,Finished Airing,"Jan 8, 2002 to Jun 18, 2002",['Winter 2002'],Tuesdays at 18:30 (JST),"['Kadokawa Shoten', 'KlockWorx']","['ADV Films', 'Funimation']",['Gonzo'],['Light novel'],"['Action', 'Comedy', 'Sci-Fi']","['Mecha', 'Military']",24 min. per ep.,R - 17+ (violence & profanity),7.59,#1606,#464,"512,486","4,413",246491,"Mithril, a covert military institution using state-of-the-art technology to combat terrorist operations, assigns a specialized team to a sensitive mission. Under the command of superior officer Melissa Mao, sergeants Sousuke Sagara and Kurz Weber must secretly protect Kaname Chidori—a teenage girl who unconsciously holds breakthrough scientific knowledge and is considered a ""Whispered""—from intelligence agencies and other organizations pursuing her abilities. While Kurz and Melissa are to assist him remotely, Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However, his militaristic upbringing and poor social skills lead to a difficult adjustment to civilian life. Not only does he attract unnecessary attention, but his actions frequently make Kaname suspicious of him. Despite the earnest attempts to fulfill his duty, a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault, Sousuke abandons his orders to ensure Kaname's safety. [Written by MAL Rewrite]","['Sequel (TV) Full Metal Panic! The Second Raid', 'Adaptation (Manga) Full Metal Panic!', 'Adaptation (Manga) Full Metal Panic! Sigma', 'Adaptation (Light Novel) Full Metal Panic! Tanpenshuu']",Full Metal Panic!,,,,,,,
1,Onegai Sensei,おねがい☆ティーチャー,Please Teacher!,['TV'],12,Finished Airing,"Jan 10, 2002 to Mar 28, 2002",['Winter 2002'],Thursdays at 18:30 (JST),"['Bandai Visual', 'Genco']","['Nozomi Entertainment', 'Bandai Entertainment']",['Daume'],Original,"['Drama', 'Romance', 'Sci-Fi']",,22 min. per ep.,PG-13 - Teens 13 or older,7.09,#3941,#1397,"182,420",983,97271,"One day, Kei Kusanagi notices a strange glowing woman by the lake. He discovers that the woman is actually an alien officer from the Galaxy Federation named Mizuho Kazami, and even more shocking—she's also his teacher! In spite of this setback, he and his teacher gradually get to know each other and a romance blossoms between them. However, soon enough, the principal of the school finds out about their relationship. The solution? Get married! Together, the newlyweds must keep their marriage a secret, not only from Kei's high school friends, but also the Galaxy Federation. Onegai☆Teacher is the fragile but comedic love story of an alien and her student. [Written by MAL Rewrite]","['Sequel (OVA) Onegai☆Teacher: Himitsu na Futari', 'Adaptation (Manga) Onegai☆Teacher', 'Adaptation (Light Novel) Onegai Teacher: Mizuho to Kei no Milk Diary', '']",Onegai☆Teacher,Onegai Teacher,Please Teacher!,Please Teacher!,['School'],,,
2,,ラーゼフォン,RahXephon,['TV'],26,Finished Airing,"Jan 21, 2002 to Sep 11, 2002",['Winter 2002'],Mondays at 16:25 (JST),"['Media Factory', 'Victor Entertainment', 'Asatsu DK', 'Fuji TV']","['ADV Films', 'Sentai Filmworks']",['Bones'],Original,"['Action', 'Award Winning', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']","['Mecha', 'Music', 'Psychological']",23 min. per ep.,PG-13 - Teens 13 or older,7.37,#2504,#1913,"123,638",983,44337,"The ordinary life of high school student Ayato Kamina is turned upside down when Tokyo is suddenly invaded by futuristic fighter jets. Amidst the chaos, he encounters a woman called Haruka Shitow who claims to be from a government organization called TERRA. She reveals that he has been living in a time bubble named ""Tokyo Jupiter"" that was put in place by the Mulians—humanoids from another dimension—in an attempt to isolate and take over Tokyo. TERRA has been trying to break through the barrier surrounding the city ever since. Unable to process the revelation, Ayato panics and flees. He runs into his classmate Reika Mishima who leads him to a place called ""The Shrine of Xephon"" where a large egg slumbers. She starts to sing and an unknown power awakens within Ayato, connecting him to a being called RahXephon that breaks out of the egg. Shortly after, Haruka finds him again and tries to make him join her cause of fighting against the Mulians. Caught between the crosshairs of the Mulians and TERRA, Ayato begins to question his purpose, navigating altered memories and ultimately his very identity in this chaotic new world. [Written by MAL Rewrite]","['Adaptation (Manga) RahXephon', 'Adaptation (Light Novel) RahXephon']",RahXephon,,,,,,,
3,Beyblade 2002,爆転シュート　ベイブレード2002,Beyblade V-Force,['TV'],51,Finished Airing,"Jan 7, 2002 to Dec 30, 2002",['Winter 2002'],Mondays at 18:00 (JST),"['TV Tokyo', 'd-rights']","['Nelvana', 'Discotek Media']",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,21 min. per ep.,PG - Children,6.74,#5661,#2748,"70,911",123,44404,"The Bladebreakers have to join forces once again because a mysterious group under the lead of Oozuma has defeated them, but the real enemy is not Oozuma. The real threath is formed by a group of people who use cyber-BitBeasts to capture the original ones from the Bladebreakers. (Source: ANN)","['Prequel (TV) Bakuten Shoot Beyblade', 'Sequel (TV) Bakuten Shoot Beyblade G Revolution']",Bakuten Shoot Beyblade 2002,,Beyblade Vforce,,,['Shounen'],,
4,Kanon (2002),カノン,,['TV'],13,Finished Airing,"Jan 31, 2002 to Mar 28, 2002",['Winter 2002'],Unknown,"['Movic', 'Fuji TV', 'Fujipacific Music']","None found,",['Toei Animation'],Visual novel,"['Drama', 'Romance', 'Supernatural']",,24 min. per ep.,G - All Ages,7.06,#4084,#2810,"68,417",222,28053,"It’s been 7 years since Yuuichi Aizawa visited his aunt Akiko, but now that his parents have gone to Africa to pursue their careers, he is finally back in the little northern town. Yuuichi is not really overjoyed with the prospect of living here though, because all of his memories of this place and the people living in it have mysteriously vanished. His cute cousin Nayuki seems like a stranger as well, even though he used to play with her all the time when they were younger. On the day of moving into his new home, Yuuichi starts unpacking the boxes and stumbles upon a red headband that no one seems to recognize. This is one of the first clues that will make Yuuichi take a stroll through the snow-covered town and make him start recalling fragments of his past, broken promises and buried secrets. Yuuichi soon realizes that there is something supernatural going on, and all of his new female acquaintances seem to have links to his forgotten past.","['Sequel (Special) Kanon Kazahana', 'Adaptation (Light Novel) Kanon', 'Adaptation (Manga) Kanon', '']",Kanon,,,,,,,
5,,炎の蜃気楼 [ミラージュ],Mirage of Blaze,['TV'],13,Finished Airing,"Jan 7, 2002 to Apr 8, 2002",['Winter 2002'],Mondays at 18:00 (JST),['Aniplex'],['Media Blasters'],"['Madhouse', 'Studio Matrix']",['Light novel'],"['Action', 'Boys Love', 'Drama', 'Supernatural']","['Historical', 'Reincarnation', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.48,#7185,#4663,"25,246",82,8382,"Takaya Ougi is just a typical high school guy who wants nothing more than to protect his best friend and live a normal life. Enter Nobutsuna Naoe, an older man who informs Takaya that he is in fact the reincarnation of Lord Kagetora. Naoe, himself a possessor, awakens Takaya's abilities to exorcise evil spirits and fight the Fuedal Underworld. While most possessors remember their former lives before being reincarnated, Takaya does not. Naoe is thankful for this, considering his passionate and abusive past with his Lord Kagetora. As Takaya improves his abilities, he also begins to remember what Naoe did because of his love for him. Meanwhile the dark forces of the Hojo and Fuma clans begin their attack as the Fuedal Underworld descends upon the living world. (Source: ANN)","['Sequel (OVA) Honoo no Mirage: Minagiwa no Hangyakusha', 'Adaptation (Manga) Honoo no Mirage', 'Adaptation (Light Novel) Honoo no Mirage', '']",Honoo no Mirage,,,,,['Shoujo'],,
6,"Kinnikuman Nisei, Kinnikuman Second Generations, Ultimate Muscle: The Kinnikuman Legacy",キン肉マンII世,Ultimate Muscle,['TV'],51,Finished Airing,"Jan 9, 2002 to Dec 25, 2002",['Winter 2002'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","['4Kids Entertainment', 'Discotek Media']",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,6.91,#4756,#5270,"18,786",70,9631,"Kinnikuman II Sei takes place several years after the events of the original Kinnikuman. Mantarou Kinniku is the 59th prince of Planet Kinniku and son of the renowned wrestler, King Suguru. Lazy, immature, and cowardly, Mantarou seems to have little in common with his heroic father. When a powerful group calling themselves the dMP threatens the Earth, only someone as powerful as Kinnikuman stands a chance against them. Not knowing the current whereabouts of the King, a plan is formed to have his son Mantarou take up the mantle. The idea of fighting super villains does not sit well with Mantarou, who initially runs away from his duty. He flees to Earth where he encounters Meat, his father’s old trainer. Despite Mantarou's shortcomings, Meat sees King Suguru in him, and believes he can set the prince on the right path. Thus begins Mantarou's journey to better himself and save the world.","['Prequel (TV) Kinnikuman: Kanpeki Chоujin Shiso-hen Season 2', 'Sequel (TV) Kinnikuman II Sei: Ultimate Muscle', 'Adaptation (Manga) Kinnikuman II-sei', '']",Kinnikuman II Sei,,,,['Combat Sports'],,,
7,Useless Witch Doremi Kaboom!,おジャ魔女どれみドッカ〜ン！,,['TV'],51,Finished Airing,"Feb 3, 2002 to Jan 26, 2003",['Winter 2002'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.73,#1223,#5276,"18,737",304,8431,"Hana now becomes a peer of the Ojamajo. When Majotourbillon's spirit revives, the witches now have to break her curse. From the help from Pao-chan, Doremi, Hana, and the other witches are able to defeat the curses. (Source: ANN)","['Prequel (TV) Motto! Ojamajo Doremi', '']",Ojamajo Doremi Dokkaan!,,,,['Mahou Shoujo'],,['Comedy'],
8,,アクエリアンエイジ Sign for Evolution,Aquarian Age: Sign for Evolution,['TV'],13,Finished Airing,"Jan 11, 2002 to Mar 29, 2002",['Winter 2002'],Fridays at 01:15 (JST),['Broccoli'],['ADV Films'],['Madhouse'],Card game,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']","['Music', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,6.05,#9661,#5859,"14,245",13,4895,"Five supernatural factions have been fighting against each other for who knows how many centuries, with the beginning of Aquarian Age always in mind. Kyouta, soon begins to see visions of mystical girls fighting, except they do exist. Soon he and his girlfriend Yoriko become involved and the battle for Earth and Aquarian Age lies in their hands. (Source: ANN)","[""Sequel (OVA) Aquarian Age: Saga II - Don't Forget Me..."", '']",Aquarian Age: Sign for Evolution,,,L'age du Verseau,,,,
9,Galaxy Angel 2,ギャラクシーエンジェルＺ,,['TV'],9,Finished Airing,"Feb 3, 2002 to Mar 31, 2002",['Winter 2002'],Sundays at 09:30 (JST),"['Bandai Visual', 'TV Osaka', 'Broccoli', 'Yomiko Advertising']","['Nozomi Entertainment', 'Bandai Entertainment']",['Madhouse'],Original,"['Comedy', 'Sci-Fi']",,24 min. per ep.,PG - Children,7.15,#3650,#6380,"11,434",11,5437,"In the far future, the human race advanced to space, and prospered. However, Jikushin ( earthquake of time and space ) which occurred suddenly intercepted all networks, and all the civilizations were reset. However, the human race begins to revive, and enters the prosperity age of The Second by the Transvaal imperial country which rises at the center of the galactic system. The science and technology before the civilization was reset, that is, ""Lost Technology"" was considered to be god`s task. And, it came to be worshiped by the priest who was called ""Tsuki no miko"". On the other hand, a certain guard fleet was stationed in the frontier of the galactic system. Though it was the seemingly perfectly ordinary army, the team composed only of the woman called ""Angel Corps"" existed in this army. They controlled the spaceship which was called ""Angel Frame"" which was the relic of Lost Technology. And, they collected the lost technology by using the angel frame, and carried out the duties to manage them. They were not the elite pilots, but Angel Corps was rather an eccentric person`s group. Arms mania`s Forte, costume player`s Mint, taciturn Vanilla, showy Ranpha and Milfeulle who likes cooking ... Every time, they cause a big trouble in the mission. (Source: AniDB)","['Prequel (TV) Galaxy Angel', 'Sequel (TV) Galaxy Angel 3']",Galaxy Angel Z,,,,,,,
