,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Themes,Demographics
0,Pet Shop of Horrors (ペットショップ・オブ・ホラーズ),Pet Shop of Horrors,['TV'],4,Finished Airing,"Mar 2, 1999 to Mar 23, 1999",['Winter 1999'],Unknown,"['Trans Arts', 'TBS']","['Sentai Filmworks', 'Urban Vision']",['Madhouse'],['Manga'],"['Horror', 'Mystery', 'Supernatural']",['Detective'],['Josei'],23 min. per ep.,R+ - Mild Nudity,7.24,#3139,#2718,"72,657",455,33135,"Count D, a quite interesting pet shop owner from an area called Chinatown, sells rare and hard to come by pets to people longing for something special, but with each sale comes a contract. If the rules of the contract are followed, everything goes fine, but if someone should break the rules of the contract, the pet shop cannot be held responsible for anything unfortunate that might happen. Leon Orcot, a homicide detective, has linked many odd and unexplainable deaths together; they all were customers of Count D's pet shop, and he intends to find out why. (Source: ANN)","['Adaptation (Manga) Petshop of Horrors', '']",Petshop of Horrors,,,,,,,
1,おジャ魔女どれみ,Magical DoReMi,['TV'],51,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",['Winter 1999'],Sundays at 08:30 (JST),['Asahi Broadcasting'],['4Kids Entertainment'],['Toei Animation'],Original,,['Mahou Shoujo'],,24 min. per ep.,G - All Ages,7.32,#2742,#3019,"59,652",760,25654,"Harukaze Doremi considers herself to be the unluckiest girl in the world. Her parents are always fighting, her little sister makes fun of her, and her crush pines after another girl. If only Doremi could just wave a magic wand, she would have a much better life—or so she used to think. After a mishap with a real witch, Doremi becomes an apprentice witch herself, and it turns out she's pretty horrible at that, too. Now she and her two friends must study to become better at magic so they can become good witches. That is, if they can focus on their magic studies! The three apprentices will need all the luck they can get if they want to pass the witch exams and become full-fledged witches. Only then will Doremi's debt to the witch Majorika be repaid. Until then, Doremi will remain a useless little witch girl!","['Sequel (TV) Ojamajo Doremi Sharp', 'Adaptation (Manga) Ojamajo Doremi']",Ojamajo Doremi,Useless Witchgirl Doremi,Magical DoReMi,Magical DoReMi,Magical DoReMi,['Comedy'],,
2,神風怪盗ジャンヌ,,['TV'],44,Finished Airing,"Feb 13, 1999 to Jan 29, 2000",['Winter 1999'],Saturdays at 18:28 (JST),"['TV Asahi', 'Toei Advertising']","None found,",['Toei Animation'],['Manga'],"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural']",,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.47,#2070,#3040,"59,155",545,29427,"A normal looking high school girl on the outside, Kusakabe Maron is actually the reincarnation of Jeanne d' Arc. With the help of the angel, Fin Fish, Maron works as the thief Jeanne at night to seal the demons that reside in pieces of artwork, preying upon the weak hearts of the owners. She is branded as a thief due to the fact that the artworks disappear after she seals the demons. One day, a new neighbor and classmate appears, as well as a rival in her night job, the thief Sinbad. With her own best friend being the detective's daughter, out to capture her and the appearance of her new rival, Maron's work is anything but easy.","['Adaptation (Manga) Kamikaze Kaitou Jeanne', '']",Kamikaze Kaitou Jeanne,"Phantom Thief Jeanne, Divine Wind Thief Jeanne",,,,,"['Mahou Shoujo', 'Mythology', 'Reincarnation']",
3,星界の紋章,Crest of the Stars,['TV'],13,Finished Airing,"Jan 3, 1999 to Mar 28, 1999",['Winter 1999'],Unknown,"['Bandai Visual', 'WOWOW']","['Funimation', 'Bandai Entertainment']",['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']",,,26 min. per ep.,PG-13 - Teens 13 or older,7.62,#1518,#3143,"55,315",471,19191,"In the distant future, humanity is under attack by the Abh Empire, a race of advanced humanoid beings possessing vastly superior technology. As countless worlds fall to the Abh, mankind establishes the Four Nations Alliance—a resistance faction made up of the United Mankind, the Republic of Greater Alcont, the Federation of Hania, and the People's Sovereign of Union Planets. Seikai no Monshou tells the story of Jinto Linn. When he was young, his father—the president of Martine—sold their world in exchange for a high position in the empire. Now a young count, Jinto must learn the ways of Abh nobility and live among those who subjugated his people. Helping him is Lafiel Abriel, an austere Abh princess whom Jinto quickly befriends. While traveling to Jinto's new school in the Abh homeland, their ship is caught in a violent space battle between the fleets of the Alliance and the Abh. Jinto and Abriel are thrust into the conflict, unaware that this skirmish marks the beginning of a full-scale war between the Abh Empire and mankind. [Written by MAL Rewrite]","['Prequel (TV Special) Seikai no Danshou: Tanjou', 'Sequel (TV) Seikai no Senki', 'Adaptation (Manga) Seikai no Monshou', 'Adaptation (Manga) Seikai no Monshou']",Seikai no Monshou,,,,Crest of The Stars,,"['Military', 'Space']",
4,イケてる２人,,['TV'],16,Finished Airing,"Feb 2, 1999 to Feb 26, 1999",['Winter 1999'],Unknown,['TBS'],"None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['School'],['Seinen'],8 min. per ep.,R+ - Mild Nudity,6.52,#6977,#5050,"20,978",33,10046,"16-year old Keisuke Saji loves to fantasize about young beautiful women. He hopes to land the object of his affection, Koizumi Akira. However, Koizumi hates Saji (as well as all men) to the point of assault. While most guys take Koizumi's cold shoulder as a hint, Saji pursues head-on without having rejection faze him. (Source: Wikipedia)","['Adaptation (Manga) Iketeru Futari', '']",Iketeru Futari,Cool Couple,,,,,,
5,火魅子伝,Legend of Himiko,['TV'],12,Finished Airing,"Jan 7, 1999 to Apr 1, 1999",['Winter 1999'],Thursdays at 01:45 (JST),"['Rakuonsha', 'Amuse', 'Hakuhodo', 'Mitsubishi', 'Panasonic Digital Contents']",['Central Park Media'],['Group TAC'],Game,"['Adventure', 'Drama', 'Fantasy', 'Supernatural']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.14,#9163,#7892,"6,821",1,2299,"In a world where the dead walk, where good and evil exist as palpable forces, a darkness is stirring. The undead march against the cities of light, to capture the sacred fire that is the source of their power. But one hope remains. Called into this world by the magical flame, a young girl named Himiko is thrust into the maelstrom of danger, betrayal, and war. For she is heir to the sacred fire, and holds a power that could save its Guardians... if she survives! (Source: Central Park Media)","['Adaptation (Manga) Himiko-den: Renge - Gaun no Shou', '']",Himiko-den,Himikoden,,,,,,
6,宇宙海賊ミトの大冒険,Space Pirate Mito,['TV'],13,Finished Airing,"Jan 5, 1999 to Mar 30, 1999",['Winter 1999'],Tuesdays at 01:15 (JST),"['Bandai Visual', 'Shaft', 'Genco']","['Nozomi Entertainment', 'Media Blasters', 'NYAV Post']",['Triangle Staff'],Original,"['Action', 'Comedy', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.35,#7953,#9946,"3,620",9,1207,"Mito isn't just another space pirate, she's a three foot tall childlike alien with enough guts to outshine a supernova. She's known as the galaxy's most dangerous pirate, a wanted criminal who destroys a dozen police space cruisers every day before breakfast. But all she really wants is to be called ""Mom."" (Source: ANN)","['Prequel (Special) Uchuu Kaizoku Mito no Daibouken Pilot', 'Sequel (TV) Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama']",Uchuu Kaizoku Mito no Daibouken,"Uchu Kaizoku Mito no Daiboken, Stellar Buster Mito, Space Pirate Mito's Great Adventure",Space Pirate Mito,Space Pirate Mito,Space Pirate Mito,,,
7,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7543,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,,
8,キティズパラダイス,Hello Kitty's Paradise,['TV'],16,Finished Airing,"Jan 5, 1999 to Sep 28, 1999",['Winter 1999'],Unknown,['Bones'],['ADV Films'],['Sanrio'],Original,,,['Kids'],20 min. per ep.,G - All Ages,6.69,#5958,#10540,"3,009",13,963,"Hello Kitty and her twin sister Mimi (aka Mimmy) are in kindergarten and have regular adventures ""over the rainbow"" (in their imaginations) or around their home and neighborhood.",[],Kitty's Paradise,,,Hello Kitty's Paradise,Le Paradis d'Hello Kitty,['Fantasy'],,
9,超生命体トランスフォーマー ビーストウォーズ・ネオ,Beast Wars Neo,['TV'],35,Finished Airing,"Feb 3, 1999 to Sep 29, 1999",['Winter 1999'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Takara']","None found,",['Ashi Productions'],Other,"['Action', 'Adventure', 'Sci-Fi']",,,23 min. per ep.,G - All Ages,6.44,#7450,#10588,"2,972",3,1024,"Beast Wars Neo was a television series that aired in Japan in 1999, in support of the toyline of the same name. It directly follows Beast Wars II. The show follows the adventures of a crew of Maximals, commanded by Big Convoy, as they compete with Magmatron's evil Predacons to collect the Angolmois energy capsules, scattered at the end of Beast Wars II.","['Prequel (TV) Beast Wars Second Chou Seimeitai Transformers', '']",Chou Seimeitai Transformers Beast Wars Neo,Transformers: Beast Wars Neo,,,,,"['Mecha', 'Space']",
