,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,Demographics,French
0,鬼滅の刃 刀鍛冶の里編,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,['TV'],11,Finished Airing,"Apr 9, 2023 to Jun 18, 2023",['Spring 2023'],Sundays at 23:15 (JST),"['Aniplex', 'Shueisha']",['Aniplex of America'],['ufotable'],['Manga'],"['Action', 'Supernatural']",['Historical'],['Shounen'],28 min. per ep.,R - 17+ (violence & profanity),8.19,#406,#187,"957,995","9,554",567007,"For centuries, the Demon Slayer Corps has sacredly kept the location of Swordsmith Village a secret. As the village of the greatest forgers, it provides Demon Slayers with the finest weapons, which allow them to fight night-crawling fiends and ensure the safety of humans. After his sword was chipped and deemed useless, Tanjirou Kamado, along with his precious little sister Nezuko, is escorted to the village to receive a new one. Meanwhile, the death of an Upper Rank Demon disturbs the idle order in the demon world. As Tanjirou becomes acquainted with Mist Hashira Muichirou Tokitou and Love Hashira Mitsuri Kanroji, ferocious powers creep from the shadows and threaten to shatter the Demon Slayers' greatest line of defense. [Written by MAL Rewrite]","['Prequel (TV) Kimetsu no Yaiba: Yuukaku-hen', 'Sequel (TV) Kimetsu no Yaiba: Hashira Geiko-hen', 'Adaptation (Novel) Kimetsu no Yaiba Novelize', 'Adaptation (Light Novel) Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen Novelize']",Kimetsu no Yaiba: Katanakaji no Sato-hen,,,,,,,
1,【推しの子】,[Oshi No Ko],['TV'],11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023",['Spring 2023'],Wednesdays at 23:00 (JST),"['Delfi Sound', 'Shueisha', 'CyberAgent', 'Kadokawa']",['Sentai Filmworks'],['Doga Kobo'],['Manga'],"['Award Winning', 'Drama']",,['Seinen'],30 min. per ep.,PG-13 - Teens 13 or older,8.59,#103,#198,"923,308","30,228",544099,"In the entertainment world, celebrities often show exaggerated versions of themselves to the public, concealing their true thoughts and struggles beneath elaborate lies. Fans buy into these fabrications, showering their idols with undying love and support, until something breaks the illusion. Sixteen-year-old rising star Ai Hoshino of pop idol group B Komachi has the world captivated; however, when she announces a hiatus due to health concerns, the news causes many to become worried. As a huge fan of Ai, gynecologist Gorou Amemiya cheers her on from his countryside medical practice, wishing he could meet her in person one day. His wish comes true when Ai shows up at his hospital—not sick, but pregnant with twins! While the doctor promises Ai to safely deliver her children, he wonders if this encounter with the idol will forever change the nature of his relationship with her. [Written by MAL Rewrite]","['Sequel (TV) [Oshi no Ko] 2nd Season', 'Adaptation (Manga) [Oshi no Ko]']",[Oshi no Ko],My Star,"['Reincarnation', 'Showbiz']",,,,,
2,地獄楽,Hell's Paradise,['TV'],13,Finished Airing,"Apr 1, 2023 to Jul 1, 2023",['Spring 2023'],Saturdays at 23:00 (JST),['Twin Engine'],['Crunchyroll'],['MAPPA'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),8.09,#539,#258,"795,156","8,665",427263,"Sentenced to death, ninja Gabimaru the Hollow finds himself apathetic. After leading a blood-soaked life, Gabimaru believes he deserves to die. However, every attempt to execute him inexplicably fails. Finally, Sagiri Yamada Asaemon, a fledgling member of a famed executioner clan, is asked to take Gabimaru's life; yet Sagiri makes no move to kill him as requested. Insisting that Gabimaru will not die because of his love for his wife, Sagiri instead offers him the chance to obtain a full pardon for his crimes. If he can travel to the island of Shinsekyo and obtain the Elixir of Life—which supposedly grants immortality—and bring it back for the shogun, then his freedom will be assured. But of the many who have traveled to Shinsekyo in search of the mythical Elixir, not a single person has returned sound of mind, if at all. Though unaware of the numerous dangers ahead, Gabimaru decides to accept the offer—alongside ten other death row convicts—in hope that he and his wife may finally live in peace. [Written by MAL Rewrite]","['Sequel (TV) Jigokuraku 2nd Season', 'Adaptation (Manga) Jigokuraku']",Jigokuraku,"Paradition, Heavenhell","['Gore', 'Historical', 'Samurai']",,,,,
3,マッシュル-MASHLE-,Mashle: Magic and Muscles,['TV'],12,Finished Airing,"Apr 8, 2023 to Jul 1, 2023",['Spring 2023'],Saturdays at 00:00 (JST),"['Aniplex', 'Asatsu DK', 'Shueisha', 'INSPION Edge']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.62,#1508,#326,"675,763","4,364",373073,"In this magical world, one is easily identified as having magical abilities by a distinctive mark on their face. Those unable to practice magic are swiftly exterminated to maintain the magical integrity of society. However, deep within a forest lies an anomaly in Mash Burnedead, who can be found pumping iron with one arm and lifting a cream puff with the other. This aloof boy with superhuman strength—but no magical abilities—leads a quiet life with his father, far removed from society. Mash's peace is soon disturbed when the authorities discover his lack of magical powers. They issue him an ultimatum: compete to become a Divine Visionary, which would force everyone to accept him, or be persecuted forever. To protect his family, he enrolls in the prestigious Easton Magic Academy, which only the most elite and gifted students are allowed to attend. Now, Mash must overcome his shortcomings as a magic-less being and surpass the other students—relying solely on his muscles. [Written by MAL Rewrite]","['Sequel (TV) Mashle: Shinkakusha Kouho Senbatsu Shiken-hen', 'Adaptation (Manga) Mashle']",Mashle,,"['Gag Humor', 'Parody', 'School']",,,,,
4,天国大魔境,Heavenly Delusion,['TV'],13,Finished Airing,"Apr 1, 2023 to Jun 24, 2023",['Spring 2023'],Saturdays at 22:00 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'NBCUniversal Entertainment Japan', 'Avex Pictures', 'NetEase']","None found,",['Production I.G'],['Manga'],"['Adventure', 'Mystery', 'Sci-Fi']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),8.21,#376,#428,"552,757","6,743",254989,"Fifteen years ago, disaster struck human civilization, and now dangerous man-eating monsters roam the ravaged lands, posing an existential threat to the remaining survivors. Amid this turmoil, an isolated facility shelters children and nurtures them in peace. However, as a few among them find out about the world beyond the narrow periphery of their nursery's walls, their curiosity about it slowly grows. Meanwhile, in the outside world, young survivors Maru and Kiruko band together to search for a special place called Heaven, each for their own reasons. Carrying past burdens and tragic secrets, the two hope to find answers to the cruelty they have experienced in their lives and in the world, which still remains in tatters. [Written by MAL Rewrite]","['Adaptation (Manga) Tengoku Daimakyou', '']",Tengoku Daimakyou,,,,,,,
5,Dr.STONE NEW WORLD,,['TV'],11,Finished Airing,"Apr 6, 2023 to Jun 15, 2023",['Spring 2023'],Thursdays at 22:30 (JST),"['TOHO animation', 'Shueisha']",['Crunchyroll'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.15,#457,#454,"522,800","3,216",238124,"With the ambitious Ryuusui Nanami on board, Senkuu Ishigami and his team are almost ready to sail the seas and reach the other side of the world—where the bizarre green light that petrified humanity originated. Thanks to the revival of a skillful chef, enough food is being prepared for the entire crew, and the incredible reinvention of the GPS promises to ensure safety on the open sea. Preparations for the upcoming journey progress swimmingly until Senkuu receives an eerie message from a mysterious source. More driven than ever, the scientist sets out to explore the new world and discover what it can offer for his scientific cause. Though the uncharted territories may hide unkind surprises, Senkuu, with a little help from science, is ready to take on any challenge. [Written by MAL Rewrite]","['Prequel (TV Special) Dr. Stone: Ryuusui', 'Sequel (TV) Dr. Stone: New World Part 2', 'Adaptation (Manga) Dr. Stone', '']",Dr. Stone: New World,Dr. Stone 3rd Season,,,,,,
6,山田くんとLv999の恋をする,My Love Story with Yamada-kun at Lv999,['TV'],13,Finished Airing,"Apr 2, 2023 to Jun 25, 2023",['Spring 2023'],Sundays at 00:30 (JST),"['Aniplex', 'Movic', 'Tokyo MX', 'BS11', 'Egg Firm', 'Kadokawa', 'COMICSMART']",['Aniplex of America'],['Madhouse'],['Web manga'],,['Video Game'],,23 min. per ep.,PG-13 - Teens 13 or older,7.78,#1091,#508,"471,912","4,770",244470,"After her boyfriend breaks up with her for another girl, college student Akane Kinoshita wrestles with a broken heart and the memories he left behind. Loading up Forest of Savior, the MMO they used to play together, she forms a plan to get back at her ex-boyfriend through an in-person event for the game. In the process, she runs into someone unexpected: Akito Yamada, a gaming legend who just happens to be her guildmate. Desperate for support, Akane ropes the asocial Yamada into helping with her scheme and lending her a shoulder to cry on. The differences between Akane and Yamada soon become apparent as they spend time together, yet they cannot help but notice each other's inner qualities. As the two gain more experience with one another in and out of the game, their tentative acquaintance may level up in a way neither expects. [Written by MAL Rewrite]","['Adaptation (Manga) Yamada-kun to Lv999 no Koi wo Suru', '']",Yamada-kun to Lv999 no Koi wo Suru,Loving Yamada at Lv999,,['Romance'],,,,
7,僕の心のヤバイやつ,The Dangers in My Heart,['TV'],12,Finished Airing,"Apr 2, 2023 to Jun 18, 2023",['Spring 2023'],Sundays at 01:30 (JST),"['Dentsu', 'TV Asahi', 'Movic', 'Magic Capsule', 'Avex Pictures', 'Akita Shoten', 'BS Asahi', 'TV Asahi Music']",['Sentai Filmworks'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Romance']",['School'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.23,#364,#683,"369,908","5,488",188550,"Kyoutarou Ichikawa may look like a shy and reserved middle school student, but deep within his heart is a bloodthirsty killer. His ultimate desire is to see his classmate Anna Yamada's beautiful face writhing in pain before he ends her life. But this fantasy may never come to fruition, as Ichikawa starts to see an entirely different side to Yamada. Often seeking refuge in the library, Ichikawa frequently runs into Yamada. It is during these encounters that Ichikawa realizes his model classmate is actually an airhead who can never read the room. As they spend more time together, the boy cannot help but feel not only a sense of endearment toward the very girl he wishes to murder but also a desire to protect her at all costs. Is it possible that this sudden change in Ichikawa's perspective could lead to something more? [Written by MAL Rewrite]","['Sequel (TV) Boku no Kokoro no Yabai Yatsu 2nd Season', 'Adaptation (Manga) Boku no Kokoro no Yabai Yatsu']",Boku no Kokoro no Yabai Yatsu,Bokuyaba,,,,,,
8,この素晴らしい世界に爆焔を！,KonoSuba: An Explosion on This Wonderful World!,['TV'],12,Finished Airing,"Apr 6, 2023 to Jun 22, 2023",['Spring 2023'],Thursdays at 01:00 (JST),"['Half H.P Studio', 'Nippon Columbia', 'Atelier Musa', '81 Produce', 'Sammy', 'Kadokawa']",['Crunchyroll'],['Drive'],['Light novel'],"['Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1961,#715,"356,157","1,916",148216,"Megumin is a young and passionate wizard from the Crimson Demon Village, a remote community of mages with red eyes and a flair for the dramatic. She has devoted her life to mastering explosion magic, a powerful but impractical spell that leaves her drained of mana and unable to move for the rest of the day. Regardless, she refuses to learn any other skills. Along with her childhood friend and self-proclaimed rival, Yunyun, Megumin enrolls in the Red Prison: a prestigious academy for Crimson Demon magic users. There, she learns more about the secrets and history of her clan, as well as the threats and challenges they must face. As she polishes her power at the Red Prison with the help of her loyal familiar Chomusuke and her adorable little sister Komekko, Megumin aims to become the greatest explosion wizard of all time! [Written by MAL Rewrite]","['Adaptation (Manga) Kono Subarashii Sekai ni Bakuen wo!', 'Adaptation (Manga) Zoku Kono Subarashii Sekai ni Bakuen wo!', 'Adaptation (Light Novel) Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!', '']",Kono Subarashii Sekai ni Bakuen wo!,,,,,,,
9,異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",['TV'],13,Finished Airing,"Apr 7, 2023 to Jun 30, 2023",['Spring 2023'],Fridays at 00:30 (JST),"['TMS Entertainment', 'Tokyo MX', 'BS11', 'Kadokawa', 'CTW']",['Crunchyroll'],['Millepensee'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.34,#8073,#745,"342,081","2,252",181111,"All his life, Yuuya Tenjou has been the subject of resentment and contempt from everyone around him, even from his parents. To make matters worse, his grandfather—the only person who ever showed him affection—suddenly dies, leaving Yuuya truly alone. Despite facing many adversities, Yuuya does what he can to offer kindness to those who need it—but even the most good-natured people can only tolerate so much abuse. Just when he reaches his breaking point, a flicker of hope appears in the form of a hidden door in his bathroom. This door provides two-way access to an abandoned house in another world, where he instantly gains game-like stats and skills. Moreover, the house once belonged to a sage, which gives Yuuya access to remarkable weapons, equipment, and crops with extraordinary effects. With these newfound blessings, the once-undesirable Yuuya may just reach his true potential and become unstoppable. [Written by MAL Rewrite]","['Adaptation (Manga) Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta', 'Adaptation (Light Novel) Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta']","Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",Iseleve,"['Isekai', 'School']",,,,,
