,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Genre,Demographics
0,Blade of Demon Destruction,鬼滅の刃,Demon Slayer: Kimetsu no Yaiba,Demon Slayer,Guardianes De La Noche: Kimetsu no Yaiba,Demon Slayer,['TV'],26,Finished Airing,"Apr 6, 2019 to Sep 28, 2019",['Spring 2019'],Saturdays at 23:30 (JST),"['Aniplex', 'Studio Mausu', 'Shueisha']",['Aniplex of America'],['ufotable'],['Manga'],"['Action', 'Award Winning', 'Supernatural']",['Historical'],['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),8.44,#174,#5,"3,210,962","92,524",2207472,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night. When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity. [Written by MAL Rewrite]","['Sequel (Movie) Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Sequel (TV) Kimetsu no Yaiba: Mugen Ressha-hen', 'Adaptation (Novel) Kimetsu no Yaiba Novelize', 'Adaptation (Light Novel) Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen Novelize']",Kimetsu no Yaiba,,,
1,,進撃の巨人 Season3 Part.2,Attack on Titan Season 3 Part 2,Attack on Titan Staffel 3 Teil 2,Ataque a los Titanes Temporada 3 Parte 2,L'Attaque des Titans Saison 3 Partie 2,['TV'],10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",['Spring 2019'],Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],['Wit Studio'],['Manga'],"['Action', 'Drama', 'Suspense']",,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),9.05,#5,#21,"2,409,440","60,536",1671960,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again. Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement. [Written by MAL Rewrite]","['Prequel (TV) Shingeki no Kyojin Season 3', 'Sequel (TV) Shingeki no Kyojin: The Final Season', 'Adaptation (Manga) Shingeki no Kyojin', '']",Shingeki no Kyojin Season 3 Part 2,"['Gore', 'Military', 'Survival']",,
2,"One Punch-Man 2, One-Punch Man 2, OPM 2",ワンパンマン,One Punch Man Season 2,One Punch Man Staffel 2,One Punch Man Temporada 2,One Punch Man Saison 2,['TV'],12,Finished Airing,"Apr 10, 2019 to Jul 3, 2019",['Spring 2019'],Wednesdays at 01:35 (JST),"['TV Tokyo', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications', 'Bandai Namco Arts', 'Bandai Spirits']",['VIZ Media'],['J.C.Staff'],['Web manga'],"['Action', 'Comedy']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),7.53,#1855,#56,"1,778,117","6,781",1076502,"In the wake of defeating Boros and his mighty army, Saitama has returned to his unremarkable everyday life in Z-City. However, unbeknownst to him, the number of monsters appearing is still continuously on the rise, putting a strain on the Hero Association's resources. Their top executives decide on the bold move of recruiting hoodlums in order to help in their battle. But during the first meeting with these potential newcomers, a mysterious man calling himself Garou makes his appearance. Claiming to be a monster, he starts mercilessly attacking the crowd. The mysterious Garou continues his rampage against the Hero Association, crushing every hero he encounters. He turns out to be the legendary martial artist Silverfang's best former disciple and seems driven by unknown motives. Regardless, this beast of a man seems unstoppable. Intrigued by this puzzling new foe and with an insatiable thirst for money, Saitama decides to seize the opportunity and joins the interesting martial arts competition. As the tournament commences and Garou continues his rampage, a new great menace reveals itself, threatening the entire human world. Could this finally be the earth-shattering catastrophe predicted by the great seer Madame Shibabawa? [Written by MAL Rewrite]","['Prequel (TV) One Punch Man', 'Prequel (TV Special) One Punch Man 2nd Season Commemorative Special', 'Sequel (TV) One Punch Man 3', 'Adaptation (Manga) One Punch-Man']",One Punch Man 2nd Season,"['Adult Cast', 'Parody', 'Super Power']",,
3,"Furuba, Fruits Basket (Zenpen)",フルーツバスケット,Fruits Basket 1st Season,Fruits Basket,Fruits Basket,Fruits Basket,['TV'],25,Finished Airing,"Apr 6, 2019 to Sep 21, 2019",['Spring 2019'],Saturdays at 01:23 (JST),"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",['Funimation'],['TMS Entertainment'],['Manga'],"['Drama', 'Romance', 'Supernatural']",,['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,8.21,#381,#212,"885,007","17,219",421169,"Tooru Honda has always been fascinated by the story of the Chinese zodiac that her beloved mother told her as a child. However, a sudden family tragedy changes her life, and subsequent circumstances leave her all alone. Tooru is now forced to live in a tent, but little does she know that her temporary home resides on the private property of the esteemed Souma family. Stumbling upon their home one day, she encounters Shigure, an older Souma cousin, and Yuki, the ""prince"" of her school. Tooru explains that she lives nearby, but the Soumas eventually discover her well-kept secret of being homeless when they see her walking back to her tent one night. Things start to look up for Tooru as they kindly offer to take her in after hearing about her situation. But soon after, she is caught up in a fight between Yuki and his hot-tempered cousin, Kyou. While trying to stop them, she learns that the Souma family has a well-kept secret of their own: whenever they are hugged by a member of the opposite sex, they transform into the animals of the Chinese zodiac. With this new revelation, Tooru will find that living with the Soumas is an unexpected adventure filled with laughter and romance. [Written by MAL Rewrite]","['Sequel (TV) Fruits Basket 2nd Season', 'Adaptation (Manga) Fruits Basket']",Fruits Basket 1st Season,"['Love Polygon', 'School']",,
4,,文豪ストレイドッグス 第3期,Bungo Stray Dogs 3,Bungo Stray Dogs Staffel 3,Bungo Stray Dogs Temporada 3,Bungou Stray Dogs Saison 3,['TV'],12,Finished Airing,"Apr 12, 2019 to Jun 28, 2019",['Spring 2019'],Fridays at 22:30 (JST),"['WOWOW', 'Lantis', 'Movic', 'Bandai Namco Live Creative', 'Sony Music Entertainment', 'Glovision', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Arts']",['Funimation'],['Bones'],['Manga'],"['Action', 'Mystery']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),8.20,#397,#335,"670,369","5,065",356331,"Following the conclusion of the three-way organizational war, government bureaucrat Ango Sakaguchi recalls an event that transpired years ago, after the death of the former Port Mafia boss. Osamu Dazai, still a new recruit at the time, was tasked with investigating rumors related to a mysterious explosion that decimated part of the city years ago—and its connection to the alleged reappearance of the former boss. Due to circumstances out of his control, he is partnered with Chuuya Nakahara, the gifted yet impulsive leader of a rival clan known as the Sheep, to uncover the truth behind the case and shine a light on the myth of Arahabaki—the god of fire who might just lead Dazai to the case's solution. Meanwhile, in the present day, it is business as usual once again for the Armed Detective Agency. Their peaceful break will not last for long, however, as enemies old and new gather their strength and prepare for another face-off. [Written by MAL Rewrite]","['Prequel (TV) Bungou Stray Dogs 2nd Season', 'Sequel (TV) Bungou Stray Dogs 4th Season', 'Adaptation (Novel) Anime Bungou Stray Dogs Shousetsuban', 'Adaptation (Manga) Bungou Stray Dogs']",Bungou Stray Dogs 3rd Season,"['Adult Cast', 'Detective', 'Organized Crime', 'Super Power']",,
5,"Philosopher's Grandson, Magi's Grandson",賢者の孫,Wise Man's Grandchild,Wise Man's Grandchild,Wise Man's Grandchild,Wise Man's Grandchild,['TV'],12,Finished Airing,"Apr 10, 2019 to Jun 26, 2019",['Spring 2019'],Wednesdays at 23:30 (JST),"['Sotsu', 'Docomo Anime Store', 'ABC Animation', 'Kadokawa']",['Funimation'],['SILVER LINK.'],['Light novel'],"['Action', 'Comedy', 'Fantasy', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.62,#6407,#368,"625,174","3,026",356403,"In the kingdom of Earlshide, Merlin Wolford was once regarded as a national hero, hailed for both his power and achievements. Preferring a quiet life however, he secludes himself deep in the rural woods, dedicating his time to raising an orphan that he saved. This orphan is Shin, a normal salaryman in modern-day Japan who was reincarnated into Merlin's world while still retaining his past memories. As the years pass, Shin displays unparalleled talent in both magic casting and martial arts, much to Merlin's constant amazement. On his 15th birthday, however, it becomes apparent that Shin only developed his combat skills and nothing else, leaving him with blatant social awkwardness, a lack of common sense, and a middling sense of responsibility. As a result, Shin enrolls in the kingdom's Magic Academy to hone his skills and mature among other teenagers. However, living a normal life is impossible, as he is established as a local celebrity almost as soon as he arrives. As Shin Wolford adjusts to his high school life in the capital, he makes new friends, learns about the world, and fights off the various forces of evil surrounding him and his city. [Written by MAL Rewrite]","['Adaptation (Manga) Kenja no Mago', 'Adaptation (Light Novel) Kenja no Mago']",Kenja no Mago,"['Isekai', 'Reincarnation']",,
6,"BokuBen, We Can't Study",ぼくたちは勉強ができない,We Never Learn: BOKUBEN,We Never Learn: Bokuben,We Never Learn: Bokuben,We Never Learn: Bokuben,['TV'],13,Finished Airing,"Apr 7, 2019 to Jun 30, 2019",['Spring 2019'],Sundays at 00:30 (JST),"['Aniplex', 'Movic', 'Barnum Studio', 'Magic Capsule', 'Shueisha', 'BS11', 'ADK']",['Aniplex of America'],"['Silver', 'Arvo Animation']",['Manga'],"['Comedy', 'Romance']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.27,#3002,#525,"459,153","1,644",237632,"Nariyuki Yuiga, an impoverished third-year high school student, works tirelessly to receive the VIP nomination, a scholarship that would cover all of his college tuition fees. In recognition of his hard work, the headmaster awards him the renowned scholarship. However, this scholarship is given under one condition: he must tutor the school's geniuses in their weakest subjects! Joining his new brigade of pupils are the math maestro Rizu Ogata, who wants to study humanities; the literature legend Fumino Furuhashi, who wants to study science; and Yuiga's sports-savvy childhood friend, Uruka Takemoto, who is hopeless at everything else. Bokutachi wa Benkyou ga Dekinai follows Yuiga as he tries to teach his three eccentric tutees in a series of strange and comedic antics. But as Ogata's and Furuhashi's ambitions conflict with their talents, will Yuiga be able to help his students achieve their dreams? [Written by MAL Rewrite]","['Sequel (TV) Bokutachi wa Benkyou ga Dekinai!', 'Adaptation (Manga) Bokutachi wa Benkyou ga Dekinai']",Bokutachi wa Benkyou ga Dekinai,"['Harem', 'School']",,
7,,異世界かるてっと,Isekai Quartet,,,,['TV'],12,Finished Airing,"Apr 10, 2019 to Jun 26, 2019",['Spring 2019'],Wednesdays at 00:30 (JST),['Kadokawa'],['Funimation'],['Studio PuYUKAI'],Original,"['Comedy', 'Fantasy']",,,11 min. per ep.,PG-13 - Teens 13 or older,7.37,#2491,#626,"398,033","1,034",223429,"It is a normal day; everyone from deranged military girl Tanya Degurechaff and 16-year-old isekai protagonist Satou Kazuma to expansionist overlord Ainz Ooal Gown and demon sisters Rem and Ram go on with their daily lives. Suddenly, a conspicuous red button begging to be pressed appears before them. Overcome by curiosity, the otherworldly characters push the button, sending them to an unfamiliar world. With no way of escaping, the characters must lead a normal school life and make acquaintances with the others. One thing is certain: the classroom full of fan-favorite eccentric personalities never gets boring! [Written by MAL Rewrite]","['Prequel (PV) Isekai Quartet Relay PVs', 'Sequel (TV) Isekai Quartet 2']",Isekai Quartet,"['Isekai', 'Parody']",,
8,Nankoko,なんでここに先生が!?,"Why the Hell are You Here, Teacher!?","Why the Hell Are You Here, Teacher?","Why the Hell Are You Here, Teacher!?","Why the Hell Are You Here, Teacher!?",['TV'],12,Finished Airing,"Apr 8, 2019 to Jun 24, 2019",['Spring 2019'],Mondays at 01:05 (JST),"['Kodansha', 'KlockWorx', 'Asmik Ace', 'King Records', 'Scarlett']",['Sentai Filmworks'],['Tear Studio'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],11 min. per ep.,R+ - Mild Nudity,6.50,#7105,#677,"371,718","1,085",187312,"Second year high school student Ichirou Satou has always been an average person—that is, until he runs into some not-so-average situations with his teacher, Kana ""The Demon"" Kojima. Kojima is Satou's Japanese language teacher with a reputation for being so ruthless that even school delinquents bow down to her. One fateful day, things escalate when Satou runs into Kojima in the restroom, leading them to share an intimate encounter that makes his imagination run wild for days after. Nande Koko ni Sensei ga? follows the daily life of Satou and his teacher as they continue to meet under similar conditions, growing ever closer with each encounter. [Written by MAL Rewrite]","['Adaptation (Manga) Nande Koko ni Sensei ga!?', '']",Nande Koko ni Sensei ga!?,,,
9,Meddlesome Kitsune Senko-san,世話やきキツネの仙狐さん,The Helpful Fox Senko-san,The Helpful Fox Senko-san,The Helpful Fox Senko-san,The Helpful Fox Senko-san,['TV'],12,Finished Airing,"Apr 10, 2019 to Jun 26, 2019",['Spring 2019'],Wednesdays at 22:30 (JST),"['AT-X', 'Docomo Anime Store', 'BS11', 'Kadokawa Media House', 'Kadokawa']",['Funimation'],['Doga Kobo'],['Web manga'],"['Slice of Life', 'Supernatural']",['Iyashikei'],,23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2752,#684,"368,717","2,345",183994,"Like many hardworking members of the workforce, Kuroto Nakano is perpetually stressed out by his job. Still, since he lives alone, he must carry on to sustain himself. Little do humans like Kuroto know, this stress takes the form of darkness residing within a person's body and will bring one's life to ruin. Fox deities can see this darkness and have the duty to save people before it is too late. To help rid Kuroto of his stress, Senko-san, an eight hundred-year-old foxgirl, volunteers to take care of him, and will do everything she can to ease the tension in his weary soul. [Written by MAL Rewrite]","['Adaptation (Manga) Sewayaki Kitsune no Senko-san', '']",Sewayaki Kitsune no Senko-san,,,
