,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,French,Genre,German,Spanish,Demographics
10,,よみがえる空 -Rescue Wings-,,['TV'],12,Finished Airing,"Jan 9, 2006 to Mar 27, 2006",['Winter 2006'],Unknown,"['Bandai Visual', 'Lantis', 'Imagine']","None found,",['J.C.Staff'],Original,,,23 min. per ep.,PG-13 - Teens 13 or older,7.35,#2605,#5623,"15,854",51,4903,"Kazuhiro Uchida is transferred to a rescue centre located in a small town while training to become a fighter pilot. Initially, Kazuhiro thinks negatively about his new occupation, due to the difficult missions and the harsh discipline he receives from his seniors. However, over the course of his training, he begins to accept the job for what it is and becomes a true member of the rescue force. (Source: ANN)","['Prequel (Special) Yomigaeru Sora: Rescue Wings - Saigo no Shigoto', '']",Yomigaeru Sora: Rescue Wings,"['Adult Cast', 'Military', 'Workplace']",,,['Drama'],,,
11,Binchotan,びんちょうタン,,['TV'],12,Finished Airing,"Feb 3, 2006 to Apr 16, 2006",['Winter 2006'],Unknown,"['Bandai Visual', 'Frontier Works', 'TBS', 'Alchemist']","None found,",['Studio Deen'],['Manga'],,['Iyashikei'],12 min. per ep.,G - All Ages,7.08,#3988,#5665,"15,492",133,5526,"This is a story about a little girl who lives in an old house in the mountains. Her name is Bincho-tan. Each episode depicts a day in the life of Bincho-tan as she prepares her breakfast in the morning, goes to the forest to gather vegetables, does her household chores and rests at night after a day's work. She is surrounded by a group of close friends who add color to her ordinary yet simple life.","['Adaptation (Manga) Binchou-tan', '']",Binchou-tan,,['Shounen'],,['Slice of Life'],,,
12,,ふたりはプリキュア Splash☆Star,Pretty Cure Splash Star,['TV'],49,Finished Airing,"Feb 5, 2006 to Jan 28, 2007",['Winter 2006'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,"['Action', 'Comedy']",['Mahou Shoujo'],24 min. per ep.,G - All Ages,7.19,#3418,#5683,"15,360",83,6364,"During the summer festival five years ago, two girls met at a mysterious tree and saw two glowing spheres. Now, these two girls--Saki Hyuuga, ace pitcher on the school softball team; and Mai Mishou, who prefers sketching over stargazing--are chosen by the spirits of flowers (Flappy) and birds (Choppy) to restore the Seven Fountains and save their worlds from Dark Autumn. Together, they are the NEW Pretty Cure. (Source: ANN)","[""Sequel (TV) Kibou no Chikara: Otona Precure '23"", 'Adaptation (Manga) Futari wa Precure: Splash☆Star']",Futari wa Precure: Splash☆Star,,,,,,,
13,Tactical Rawr,タクティカルロア,,['TV'],13,Finished Airing,"Jan 8, 2006 to Apr 2, 2006",['Winter 2006'],Unknown,"['Bandai Visual', 'Lantis']","None found,",['Actas'],Original,"['Comedy', 'Romance', 'Sci-Fi']",['Military'],25 min. per ep.,PG-13 - Teens 13 or older,6.39,#7756,#6485,"11,028",11,4043,"In the near future the world's climate shifted creating in the Western Pacific a perpetual super cyclone: the Grand Roar that altered the earth, flooding most countries. Shipping and navigation became important to nations and following the appearance of ocean pirates, necessisated companies to hire escort cruisers to safeguard their investments. Hyousuke Nagimiya is a system engineer that was comissioned to upgrade the Pascal Magi manned by an entire crew of women with its captain, Misaki Nanaha. Together the crew strives to prove themselves to their detractors that they are no mere 'Alice Brand'. Yet as they go about their mission a larger global conspiracy seems to be working behind the scenes to take advantage of this new world order. (Source: ANN)",[],Tactical Roar,,,,,,,
14,"Oroshitate Musical Nerima Daikon Brothers, Dress-up Musical Nerima Daikon Brothers",練馬大根ブラザーズ,Nerima Daikon Brothers,['TV'],12,Finished Airing,"Jan 10, 2006 to Mar 28, 2006",['Winter 2006'],Unknown,['Aniplex'],"['ADV Films', 'Funimation']",['Studio Hibari'],Original,,['Music'],24 min. per ep.,R+ - Mild Nudity,7.27,#2975,#6873,"9,616",73,3921,"In the town of Nerima, the boisterous Hideki and his stoic brother Ichiro run a daikon radish farm along with Mako, their bubbly but vain cousin. The three dream of raising the money needed to build their own concert hall, where their band—Nerima Daikon Brothers—would perform and hopefully rise to stardom. But their farm and Ichiro's host club job aren't raising money fast enough for their liking, leading them to resort to get-rich-quick schemes. Their plans usually involve tracking down evil-doers and then stealing their ill-gotten gains. Yet, while they usually do put a stop to the villains, they always end the day no richer than before. However, neither these failures nor interference from the policewoman Yukika Karakuri can come between this trio and their dream! With help from gadgets provided by the rental shop owner Nabeshin, the Nerima Daikon Brothers get themselves into and out of all kinds of ridiculous situations through their boisterous singing and comedy. [Written by MAL Rewrite]","['Adaptation (Manga) Nerima Daikon Brothers', '']",Nerima Daikon Brothers,,,,['Comedy'],,,
15,"Kagi Hime Monogatari: Eikyuu Alice Rinbukyoku, Kagihime Monogatari: Eikyuu Alice Rondo, Key Princess Story: Eternal Alice Rondo",鍵姫物語 永久アリス輪舞曲,Eternal Alice,['TV'],13,Finished Airing,"Jan 4, 2006 to Mar 29, 2006",['Winter 2006'],Wednesdays at 01:45 (JST),['Mellow Head'],['Discotek Media'],"['Trinet Entertainment', 'Picture Magic']",['Manga'],,['Mahou Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,6.12,#9264,#6937,"9,426",18,2989,"Average high school student Aruto Kirihara is obsessed with the Alice stories, written in this alternate world by the enigmatic recluse, Alternite L. Tachyon. One night, while writing his own version of a potential ""third book,"" he sees a girl flying in front of a full moon... and she looks just like the ""Alice"" in his imagination. Aruto runs out of his house and chases the flying figure from the ground, ending up at a library, where he witnesses her in combat with another costumed girl. And so begins his sudden introduction to the world of Alices, an elite club of super-powered teenage girls who regularly fight in an extra-dimensional Wonderland in order to steal each other's ""hidden stories."" When all of the stories have been gathered, they will form the legendary third volume, ""Eternal Alice,"" and the possessor will be granted one wish. It probably won't be Aruto, who can't turn into a magical girl. But it could be his doting little sister, Kiraha. Or maybe the girl of his dreams, Arisu... (Source: Discotek Media)","['Adaptation (Manga) Kagi Hime Monogatari: Eikyuu Alice Rondo', '']",Kagi Hime Monogatari: Eikyuu Alice Rondo,,,Eternal Alice,['Fantasy'],,,
16,,レモン エンジェル プロジェクト,,['TV'],13,Finished Airing,"Jan 6, 2006 to Mar 31, 2006",['Winter 2006'],Unknown,"None found,","None found,",['Radix'],Other,,,24 min. per ep.,PG - Children,6.51,#7006,#6994,"9,234",18,3332,"Lemon Angel was once the greatest girl band of Japan, but then it broke up and most of its members vanished. When a music producer decides to put together a new Lemon Angel, average high schooler Tomo Minaguchi is approached to audition for the group. Little does she know of the mystery behind the original Lemon Angel... (Source: ANN)",[],Lemon Angel Project,"['Idols (Female)', 'Music']",,,['Drama'],,,
17,Meine Liebe Wieder,吟遊黙示録マイネリーベ ヴィーダー,,['TV'],13,Finished Airing,"Jan 22, 2006 to Apr 13, 2006",['Winter 2006'],Unknown,['Marvelous Entertainment'],"None found,",['Bee Train'],Visual novel,"['Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.63,#6302,#7328,"8,237",21,2690,"The Strahl candidates are enjoying a brief holiday in their various homes. However, many surprises await them when they finally come back to their elite boarding school: Rosenstolz Academy. There is a new headmaster, and his policies are not necessarily to the advantage of the main characters. (Source: Wikipedia)","['Prequel (TV) Ginyuu Mokushiroku Meine Liebe', 'Adaptation (Manga) Meine Liebe: Eien Naru Traumerei']",Ginyuu Mokushiroku Meine Liebe Wieder,,,,,,,
18,Kinnikuman Nisei: Ultimate Muscle 2,キン肉マンII世 ULTIMATE MUSCLE 2,,['TV'],13,Finished Airing,"Jan 5, 2006 to Mar 30, 2006",['Winter 2006'],Unknown,"None found,",['Discotek Media'],['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi', 'Sports']",['Combat Sports'],24 min. per ep.,PG-13 - Teens 13 or older,6.98,#4478,#7530,"7,643",5,3761,"Mantaro has made it to the semifinal match of the Chojin Cup. He must now fight Ricardo in a soccer field to advance to the last match. Kevin Mask is also in the semifinals, and must defeat Ilioukhine in an aerial field to advance. These three matches will determine who wins the Chojin Cup. (Source: ANN)","['Prequel (TV) Kinnikuman II Sei: Ultimate Muscle', '']",Kinnikuman II Sei: Ultimate Muscle 2,,,,,,,
19,Papillon Rose: New Season,パピヨンローゼ,Papillon Rose,['TV'],6,Finished Airing,"Feb 9, 2006 to Mar 17, 2006",['Winter 2006'],Unknown,"None found,",['Maiden Japan'],['Studio Kelmadick'],Other,"['Comedy', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,4.50,#13652,#8750,"5,305",5,1660,"The story takes place one year after the OVA. Because of the previous war, Kabucki-cho was devastated, and the owner abandoned his lingerie pub, ""Pallion,"" and opened ""New Papillion"" in Akihabara. During the war, Tsubomi, and her colleagues Anne and Shizuku lost their memories, and they began new lives in Akihabara. On the other hand, the Susano, aliens who were invading the Earth, appeared. They turned a UMA (Unidentified Mysterious Animal) into a monster and make it raid on Akihabara. Rama the cat made Tsubomi and her buddies retrieve their memories, and let them fight against the monster as Lingerie Soldiers. (Source: AnimeNfo)","['Prequel (OVA) Lingerie Senshi Papillon Rose', '']",Papillon Rose,"['Mahou Shoujo', 'Parody']",,,,Papillon Rose: New Generation,,
