,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,French,Genre,German,Spanish,Demographics
20,"DICE, DNA Integrated Cybernetic Enterprises, DINOBREAKER",ディノブレイカー,,['TV'],40,Finished Airing,"Dec 6, 2005 to Sep 19, 2006",['Winter 2006'],Unknown,"None found,",['Bandai Entertainment'],['Xebec'],Original,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],25 min. per ep.,PG - Children,6.38,#7794,#8845,"5,150",18,2451,"DICE (DNA Integrated Cybernetic Enterprises) is a large organization established to deal with problems in the Sarbylion galaxy. DICE F-99 is the only unit comprised entirely of children. When a problem arises, DICE is called to the rescue. And when their special training and skills aren`t enough, they rely on their Dinobreakers, which can transform from Vehicle Mode to Dino Mode, to help get the job done! Always on call, always on alert - DICE is ready for action! (Source: AniDB)",[],D.I.C.E.,,['Kids'],,,,,
21,"Youkai Ningen Bemu, Yokai Ningen Bem, Humanoid Monster Bem (TV 2)",妖怪人間ベム,Humanoid Monster Bem,['TV'],26,Finished Airing,"Jan 4, 2006 to Jul 10, 2006",['Winter 2006'],Unknown,"['Sony Pictures Entertainment', 'Avex Entertainment', 'Nihon Ad Systems']","None found,",['Studio Comet'],Original,"['Horror', 'Supernatural']",['Mythology'],25 min. per ep.,PG-13 - Teens 13 or older,5.95,#10164,#9344,"4,367",8,1333,"The plot of the series revolves around three youkai, Bem, Bera and Barro, who arrive at a large coastal city and come across an evil atmosphere, which was brought about by immoral behavior by humans and mischief caused by monsters and youkai. They therefore decide to stay in the city, fighting against other monsters and yōkai which attack humans, making a few friends in the way. Even though the three youkai are often abused by other human beings due to their appearance, they still strive in protecting the human populace of the city from other monsters, one day hoping to become human beings in return for their good actions.",[],Youkai Ningen Bem (2006),,,,,,,
22,Magical Travelers,落語天女おゆい,,['TV'],12,Finished Airing,"Jan 5, 2006 to Mar 23, 2006",['Winter 2006'],Unknown,['Three Fat Samurai'],"None found,",['TNK'],Unknown,,,24 min. per ep.,PG-13 - Teens 13 or older,5.79,#10997,#10752,"2,831",2,700,"Five girls including Yui Tsukishima were summoned into the end of Edo period by the power of mystic stones jewel (known as Hojous'). They became the current Tennyo replacing the previous Tennyo who fell in battle. Through the use of their powers, and ""the Power of Word,"" they fight back the two demon brothers who sought to destroy humankind, using the powers they've gained. This story is about a true to life Rakugo Storyteller (named Utamaru Katsura) who wants nothing more then to make Yui (a very happy cheerful girl) an capable professional in the ""art of Rakugoing."" In otherwords, a comedy, with a punchline told in a story.",[],Rakugo Tennyo Oyui,"['Historical', 'Performing Arts']",,,['Comedy'],,,
23,Bakukyuu Hit! Crash B-Daman,爆球HIT! クラッシュビーダマン,,['TV'],50,Finished Airing,"Jan 9, 2006 to Dec 25, 2006",['Winter 2006'],Mondays at 18:00 (JST),"None found,","None found,","None found,",Unknown,,['Strategy Game'],23 min. per ep.,PG - Children,6.12,#9247,#10941,"2,663",13,1117,"Hitto Tamaga living on his own after his father had gone missing, receives a Crash B-Daman, his first B-Daman, as his birthday present from his missing father. ""Crash your adversity!"" Holding this message from his father in his heart, Hitto makes up his mind to participate in B-Daman battle tournament called ""B-1 Crash Cup."" Through the battles, Hitto encounters a lot of rivals and sometimes develops friendships with them. After the tournament, he comes to know about a secret society of rascal B-ders who find reason for living only in crashing. What is their true purpose? And what secret is there behind Hitto's B-Daman? Go! Fight, Hitto! Crash the evils and grab your future in your own hand! (Source: d-rights)","['Adaptation (Manga) Bakkyuu HIT! Crash B-daman', '']",Bakukyuu Hit! Crash B-Daman,,['Kids'],,['Adventure'],,,
24,Wan Wan Celepoo Sore Yuke! Tetsunoshin,ワンワンセレプー それゆけ！徹之進,,['TV'],51,Finished Airing,"Jan 7, 2006 to Dec 30, 2006",['Winter 2006'],Unknown,"['Tokyu Agency', ""We've Inc.""]","None found,",['Studio Comet'],Original,"['Comedy', 'Fantasy']",['Pets'],23 min. per ep.,G - All Ages,6.36,#7936,#12678,"1,560",2,493,"The Inuyama Family, along with their pet dog Tetsunoshin moves to the famous Hoppongi Hills (modeled after Roppongi Hills) from Kyushu. Rumi Inuyama's father owns an IT Company in Japan and is a step further to becoming number one. However, Tetsunoshin learned that his master's family loaned a lot of money renting their home in Hoppongi Hills, almost to the point of the whole company becoming Bankrupt. To make things even worse, the whole family spends a lot of money on everything, making Tetsunoshin's problems worse. To solve this problem, Tetsunoshin teamed up with the Hills Dogs and will do anything to pay all the Inuyama Family's expenses. (Source: Wikipedia)",[],Wanwan Celepoo Soreyuke! Tetsunoshin,,['Kids'],,,,,
25,,ファニーペッツ,,['TV'],12,Finished Airing,"Jan 11, 2006 to Mar 29, 2006",['Winter 2006'],Wednesdays at 01:30 (JST),['KBS'],"None found,","None found,",Original,,,6 min. per ep.,PG-13 - Teens 13 or older,4.93,#13301,#12781,"1,508",5,614,"One day an armada of Unidentified Flying Objects (UFO) came out of nowhere under the full moon. One of them mistakenly fell to the Earth. The two Extra-Terrestrials, Crescent and Corona, who were on board the falling UFO, happened to be saved and picked up by an Earth girl Funny. In reality Crescent and Corona were forced to live as pet with that selfish and moody girl Funny... (Source: AniDB)","['Sequel (TV) Funny Pets 2nd Season', '']",Funny Pets,,,,['Comedy'],,,
26,Playball 2nd,プレイボール2nd,Play Ball 2nd,['TV'],13,Finished Airing,"Jan 10, 2006 to Mar 28, 2006",['Winter 2006'],Unknown,['Eiken'],"None found,",['Magic Bus'],Unknown,,['Team Sports'],24 min. per ep.,G - All Ages,6.11,#9349,#14684,895,1,149,A continuation of the Play Ball TV series.,"['Prequel (TV) Play Ball', '']",Play Ball 2nd,,['Shounen'],,['Sports'],,,
27,,뽀롱뽀롱 뽀로로 2,Pororo the Little Penguin 2,['TV'],52,Finished Airing,"Dec 3, 2005 to May 28, 2006",['Winter 2006'],Unknown,"None found,","None found,","None found,",Original,,,5 min. per ep.,G - All Ages,5.88,#10543,#15925,639,0,254,A direct continuation of the previous season that starts with the introduction of a new character called Petty who is a female penguin.,"['Prequel (TV) Porong Porong Pororo', 'Sequel (TV) Porong Porong Pororo 3']",Porong Porong Pororo 2,,['Kids'],,,,Pororo el Pequeño Pingüino Serie 2,
28,星际飚车王,,Galaxy Racers,['TV'],52,Finished Airing,"Feb 1, 2006 to Jun 2006",['Winter 2006'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Adventure']",['Racing'],22 min. per ep.,G - All Ages,[],#15838,#17375,469,0,,"Set in the future on the Yellow River Planet, the realm of car racing has advanced beyond Formula One - into the domain of the Galaxy Racers. Riders steer their simulator-racers which remotely control the actual customized speedsters hurtling around a track. The hero, a teenager named Roy, was born to race and aspires to be the King of Galaxy Racers. But his guardian, his grandfather, sees a threat from and great danger in the evil and greedy Taz, the CEO of the Titan Space Navigation Auto Group which seeks to swallow or destroy all competitors, and whose Mosha Racing Team would just as ruthlessly run over and crush Roy under its thundering wheels. He arranges for him to join the good guys in the Matela Racing Team to race for the highest honors. Many years ago, Ray’s father, Dr Renault, worked for the Titan Group and he invented the Galaxy Racers but he was against CEO Taz’s destructive greed. He tries to escape - and disappears! Monopolizing the technology and construction of the Racers, Taz, the Titan Group and Mosha Racing Team swallowed, crushed and beat all rival companies, racers and teams. Desperately, Ray’s grandfather uses a secret design hidden by Dr Renault from Taz and builds for him a superior racer, The Lion King. But he has first to learn the skills and garner experience from racing at the highest levels. To acquire these qualities plus humility and resilience, he relies on his Matela friends who have their own cool cars, to help him. But arrayed against them are the Mosha baddies and their menacing machines. In a series of hair-raising and nail-biting races with thrills & spills, growling engines, screeching wheels, burning rubber, smashing metal against metal, intense bitter rivalry, persevering friendships & loyalties forged in grueling teamwork and battle, Ray and Team Matela must conquer their fears and overcome the arrogant and powerful Team Mosha which uses cheating as a winning strategy. Will justice prevail or evil triumph? Find out on The Galaxy Racers on a track near you! (Source: CHINAnimax)",[],Xingji Biaoche Wang,,,,,,,
29,,お茶犬〜「ほっ」とものがたり〜,,['TV'],13,Finished Airing,"Jan 16, 2006 to Apr 10, 2006",['Winter 2006'],Unknown,['Four Some'],"None found,","None found,",Other,,,3 min. per ep.,G - All Ages,[],#20787,#17569,455,0,,The second Ocha-ken series features the Tea Dogs interacting with humans.,"['Prequel (TV) Ocha-ken: Chokotto Monogatari', 'Sequel (TV) Ocha-ken: Ryokutto Monogatari']",Ocha-ken: Hotto Monogatari,,['Kids'],,['Slice of Life'],,,
30,,夢裡人,The Dreaming Girl,['TV'],26,Finished Airing,"Dec 12, 2005 to Jan 6, 2006",['Winter 2006'],Unknown,"None found,","None found,","None found,",Unknown,,,22 min. per ep.,G - All Ages,[],#20160,#19071,342,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Meng Li Ren,,,,['Drama'],,,
31,"Nalong 2, Longman: The Little Big Hero, Kaiketsu: Longman Nalong",쾌걸롱맨 나롱이,,['TV'],52,Finished Airing,Jan 2006 to Mar 2007,['Winter 2006'],Unknown,['Studio Kaab'],"None found,","None found,",Original,,,15 min. per ep.,G - All Ages,[],#19702,#19322,325,2,,Someone is out to conquer Lulu forest and it's up to the Nalong and his friends to to figure out who and stop them! When Nalong's girlfriend Ukkya is taken by force and Longman is zapped by a laser beam resulting in an unfavorable transformation--Nalong has more on his plate than he can handle!,"['Prequel (TV) Turuturutu Narongi', 'Sequel (TV) Green Saver']",Kwaegeol Longman Narongi,,['Kids'],,['Adventure'],,,
32,"老夫子魔界夢戰記 I, Old Master Q Fantasy Zone Battle I",老夫子之魔界夢戰記,Old Master Q Series 1: Fantasy Zone Battle,['TV'],13,Finished Airing,"Jan 3, 2006 to Jan 18, 2006",['Winter 2006'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],['4-koma manga'],"['Adventure', 'Comedy']",,22 min. per ep.,G - All Ages,[],#19745,#22996,138,0,,"Old Master Q, Big Potato, and Mr. Chin transport into various classic storyworlds to rescue their father and save the story from being ruined by the Devil King.","['Sequel (TV) Lao Fu Zi: Mojie Meng Zhanji II', 'Adaptation (Manhua) Old Master Q']",Lao Fu Zi: Mojie Meng Zhanji,,,,,,,
33,,南の島の小さな飛行機 バーディー,,['TV'],105,Finished Airing,"Dec 26, 2005 to Apr 2, 2007",['Winter 2006'],Saturdays at 17:50 (JST),['NHK'],"None found,",['Studio Deen'],Original,,['Anthropomorphic'],10 min. per ep.,PG - Children,[],#20273,#23092,135,0,,"This is Bird Paradise Island, a small island in the southern sea. Birdie is a newcomer and small plane that has been working at Bird Paradise Airport on this island for two years. Aiming to become the first airplane someday, he is working day and night on sightseeing flights with his rival Philip, a small helicopter, and his good friend, Annie, a goldfish-shaped helicopter. A small airplane, Birdy, and his funny and unique friends fly fast!",[],Minami no Shima no Chiisana Hikouki Birdy,,['Kids'],,['Adventure'],,,
34,Kinkyuu-Kids Otasuke-tai,Kin-Qキッズ☆おたすK隊,,['TV'],12,Finished Airing,"Feb 1, 2006 to Apr 19, 2006",['Winter 2006'],Unknown,['Kids Station'],"None found,","None found,",Original,,['Educational'],12 min. per ep.,PG - Children,[],#19442,#24976,96,0,,"An educational series to teach children safety measures against kidnapping, burglary, and other crime.",[],Kin-Q Kids☆Otasu K-tai,,['Kids'],,,,,
35,NARUTO,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,502","82,498",2044479,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,['Shounen'],,,,,
36,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,922","234,771",1419848,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,['Shounen'],,,,,
37,,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,075,170","78,058",1188869,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,['Shounen'],,,,,
38,,蟲師,Mushi-Shi,['TV'],26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",['Fall 2005'],Sundays at 03:40 (JST),"['Avex Entertainment', 'Marvelous Entertainment', 'SKY Perfect Well Think', 'Delfi Sound']",['Funimation'],['Artland'],['Manga'],"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,8.65,#76,#224,"863,822","27,535",287469,"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows. This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence. So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life. Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer. It could, after all, lead to the meaning of life itself. [Written by MAL Rewrite]","['Sequel (TV Special) Mushishi: Hihamukage', 'Sequel (TV) Mushishi Zoku Shou', 'Adaptation (Manga) Mushishi Read Manga', '']",Mushishi,"['Adult Cast', 'Historical', 'Iyashikei']",['Seinen'],Mushi-Shi,,Mushi-Shi,Mushi-Shi,
39,Burning-Eyed Shana,灼眼のシャナ,Shakugan no Shana: Season I,['TV'],24,Finished Airing,"Oct 6, 2005 to Mar 23, 2006",['Fall 2005'],Thursdays at 00:45 (JST),"['ASCII Media Works', 'Toshiba Entertainment', 'Cosmic Ray', 'Showgate', 'Geneon Entertainment']","['Funimation', 'Geneon Entertainment USA']",['J.C.Staff'],['Light novel'],"['Action', 'Drama', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.44,#2202,#431,"547,626","4,961",261875,"The world has become a slaughtering ground for the Crimson Denizens, mysterious beings from a parallel universe who thrive on the life energy of humans. These merciless murderers only leave behind scant remainders of souls called ""Torches,"" which are mere residues that will eventually be destroyed, along with the very fact of the victims' existence from the minds of the living. In an ambitious endeavor to put an end to this invisible, hungry massacre, warriors called Flame Hazes relentlessly fight these monsters. One fateful day, Yuuji Sakai ceases to be a regular high schooler—he becomes trapped in a crevice of time and is suddenly attacked by a Denizen. Coming to his rescue just in the nick of time is a nameless hunter who seems no different from an ordinary young girl except for her blazing eyes and burning crimson hair. However, before Yuuji can learn anything more about his situation, he discovers that he has already been reduced to a Torch—merely a scrap of memory waiting to be extinguished. [Written by MAL Rewrite]","['Sequel (TV) Shakugan no Shana II (Second)', 'Adaptation (Manga) Shakugan no Shana', 'Adaptation (Light Novel) Shakugan no Shana', '']",Shakugan no Shana,"['School', 'Urban Fantasy']",,,,,,
40,Psalms of Planets Eureka Seven,交響詩篇エウレカセブン,Eureka Seven,['TV'],50,Finished Airing,"Apr 17, 2005 to Apr 2, 2006",['Spring 2005'],Sundays at 07:00 (JST),"['Aniplex', 'Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Ashi Productions', 'Sony Music Entertainment', 'Bandai Namco Games', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'USEN', 'Fonishia']","['Funimation', 'Bandai Entertainment']",['Bones'],Original,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,8.05,#593,#544,"446,330","9,183",185525,"In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing. Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash. [Written by MAL Rewrite]","['Sequel (TV) Eureka Seven AO', 'Adaptation (Manga) Koukyoushihen Eureka seveN', 'Adaptation (Light Novel) Eureka Seven', '']",Koukyoushihen Eureka Seven,,,Eureka Seven,,Eureka Seven,,
41,Blood Plus,ブラッドプラス,Blood+,['TV'],50,Finished Airing,"Oct 8, 2005 to Sep 23, 2006",['Fall 2005'],Saturdays at 18:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'eNa']",['Sony Pictures Entertainment'],['Production I.G'],Original,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural']",,23 min. per ep.,R - 17+ (violence & profanity),7.61,#1541,#650,"387,052","4,434",162229,"Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year. However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst. Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past. [Written by MAL Rewrite]","['Adaptation (Manga) Blood+', 'Adaptation (Light Novel) Blood+']",Blood+,"['Gore', 'Military', 'Vampire']",,,,,,
42,Jigoku Shojo,地獄少女,Hell Girl,['TV'],26,Finished Airing,"Oct 5, 2005 to Apr 5, 2006",['Fall 2005'],Wednesdays at 00:00 (JST),"['Aniplex', 'SKY Perfect Well Think', 'DAX Production']",['Funimation'],['Studio Deen'],Original,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],25 min. per ep.,R - 17+ (violence & profanity),7.60,#1573,#679,"371,959","3,304",136667,"It is said that if someone seeks revenge, they should dig two graves—and this is especially true of those who use the Hell Correspondence website. At the stroke of midnight, this ominous web domain becomes accessible, and whoever inputs the name of their grudge will get a visit from Ai Enma, the Hell Girl. Ai explains that she will send the target's soul to hell, but the requester will also end up in hell when they die. For some, that price is far too steep; for others, where they will spend their afterlife has no bearing on their current, day-to-day hell. But one thing is certain: the Hell Girl will always be available to those in need of revenge, while she stoically performs her duty of ferrying souls into the darkness. [Written by MAL Rewrite]","['Sequel (TV) Jigoku Shoujo Futakomori', 'Adaptation (Manga) Jigoku Shoujo', 'Adaptation (Manga) Shin Jigoku Shoujo', '']",Jigoku Shoujo,,,La Fille des enfers,,,,
43,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,844","15,330",164342,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,['Shounen'],,,Case Closed,,
44,,ブラックキャット,Black Cat,['TV'],23,Finished Airing,"Oct 7, 2005 to Mar 31, 2006",['Fall 2005'],Fridays at 01:25 (JST),"['GDH', 'Dentsu', 'TBS', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],['Gonzo'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",['Super Power'],24 min. per ep.,PG-13 - Teens 13 or older,7.31,#2782,#932,"276,710","1,804",131512,"Completing every job with ruthless accuracy, Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world, the elite killer works for the powerful secret organization known only as Chronos. One gloomy night, the blasé gunman stumbles upon Saya Minatsuki, an enigmatic bounty hunter, and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life, Train begins to rethink his life. Deciding to abandon his role as the Black Cat, he instead opts to head down a virtuous path as an honest bounty hunter. However, Chronos—and particularly Creed Diskenth, Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck. This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out. [Written by MAL Rewrite]","['Adaptation (Manga) Black Cat', '']",Black Cat,,['Shounen'],Black Cat,,Black Cat,Black Cat,
45,"Yu-Gi-Oh! GX, Yugioh GX, Yu-Gi-Oh! Genex, Yugioh Genex, Yu-Gi-Oh!: Duel Monsters GX, Yugioh: Duel Monsters GX, Yu-Gi-Oh!: Duel Monsters Genex, Yugioh: Duel Monsters Genex, Game King of Duel Monsters GX",遊☆戯☆王　デュエルモンスターズ GX,Yu-Gi-Oh! GX,['TV'],180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",['Fall 2004'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']","['Konami', 'Funimation']",['Gallop'],['Manga'],"['Action', 'Comedy', 'Fantasy']",['Strategy Game'],23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3319,#1156,"225,888","1,729",140769,"In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination? Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters', ""Sequel (TV) Yu☆Gi☆Oh! 5D's"", 'Adaptation (Manga) Yu☆Gi☆Oh! GX', '']",Yu☆Gi☆Oh! Duel Monsters GX,,['Shounen'],Yu-Gi-Oh! GX,,,Yu-Gi-Oh! GX,
46,Initial D 4th Stage,頭文字〈イニシャル〉D FOURTH STAGE,,['TV'],24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",['Spring 2004'],Unknown,['OB Planning'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama']",['Racing'],27 min. per ep.,PG-13 - Teens 13 or older,8.17,#447,#1275,"200,519","1,381",112322,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]","['Prequel (Movie) Initial D Third Stage', 'Sequel (TV) Initial D Fifth Stage', 'Adaptation (Manga) Initial D Read Manga', '']",Initial D Fourth Stage,,['Seinen'],Initial D 4ème-Etape,,,Initial D: Supera el Límite de Velocidad Temporada 4,
