,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Themes,Demographic,German,French,Demographics
10,ご愁傷さま二ノ宮くん,Good Luck! Ninomiya-kun,['TV'],12,Finished Airing,"Oct 5, 2007 to Dec 21, 2007",['Fall 2007'],Unknown,['Kadokawa Shoten'],['Funimation'],['AIC Spirits'],['Light novel'],"['Comedy', 'Fantasy', 'Ecchi']",['Harem'],24 min. per ep.,R+ - Mild Nudity,6.64,#6259,#2214,"100,564",170,49189,"Shungo Ninomiya is just an ordinary, run-of-the-mill high school student who lives at home with his older sister Ryoko—at least when she's not away doing her job as a mercenary. However, Shungo's life ceases to be normal the moment a cute girl named Mayu Tsukimura descends into the middle of his school's campus in a military-grade helicopter. It turns out Ryoko sent this girl, along with her older brother Mikihiro, to live at the Ninomiya household. But the newly-arrived siblings are a little special: Mayu is, in fact, a succubus and her brother, an incubus! And as if the circumstances are not problematic enough, Mayu is crippled with androphobia—the fear of men—and it's up to Shungo to help her overcome this at the behest of his sister. Ryoko plans to force Mayu to be closer to Shungo, and to do this, she’ll employ some questionable methods such as having them share the same bed and even take baths together. The situation further complicates when student council president Reika Houjou arrives as the new maid of the Ninomiya family, and she will stop at nothing to thwart Shungo and Mayu’s sexually-geared training. With the sudden arrival of all these oddities, Shungo's ordinary life is about to be thrown into utter turmoil. [Written by MAL Rewrite]","['Adaptation (Manga) Goshuushou-sama Ninomiya-kun', 'Adaptation (Light Novel) Goshuushou-sama Ninomiya-kun']",Goshuushou-sama Ninomiya-kun,"Goshusho-sama Ninomiya-kun, Gosyushosama Ninomiyakun, My Condolences, Ninomiya-kun, My Heartfelt Sympathy, Ninomiya-kun",,,,,,,
11,キミキス pure rouge,KimiKiss: Pure Rouge,['TV'],24,Finished Airing,"Oct 7, 2007 to Mar 23, 2008",['Fall 2007'],Unknown,"['Bandai Visual', 'Lantis']",['Sentai Filmworks'],['J.C.Staff'],Visual novel,"['Drama', 'Romance']",['School'],24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3040,#2338,"92,077",295,41596,"Kouichi Sanada and Kazuki Aihara's childhood friend Mao Mizusawa has returned after living in France for a couple of years. Kouichi is surprised to learn that, since her parents are remaining overseas for the time being, his mother has agreed to let Mao stay with them. The three friends help each other deal with the ups and downs of high school romance. (Source: ANN)","['Adaptation (Manga) KimiKiss: Various Heroines', '']",KimiKiss Pure Rouge,Kimi-kiss pure rouge,,,,,,,
12,バンブーブレード,Bamboo Blade,['TV'],26,Finished Airing,"Oct 2, 2007 to Apr 1, 2008",['Fall 2007'],Tuesdays at 01:30 (JST),"['AIC', 'Square Enix', 'd-rights', 'Studio Tulip', 'KlockWorx', 'flying DOG']",['Funimation'],['AIC ASTA'],['Manga'],"['Comedy', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2884,#2366,"90,389",280,41567,"Kojirou is the kendo instructor for Muroe High School and he's totally broke. But then an unexpected chance is given to him: his team must win against his senpai's team and the prize is: free meals for a whole year! Now, the only problem left... where to find girls skilled enough and willing to join the kendo team?","['Adaptation (Manga) Bamboo Blade Read Manga', '']",Bamboo Blade,,,,"['Combat Sports', 'School']",['Seinen'],,,
13,げんしけん2,Genshiken 2,['TV'],12,Finished Airing,"Oct 10, 2007 to Dec 26, 2007",['Fall 2007'],Wednesdays at 01:30 (JST),"['Genco', 'Lantis', 'Media Factory', 'Kids Station', 'Magic Capsule', 'Palm Studio', 'Showgate']",['Media Blasters'],['Arms'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.74,#1199,#2447,"85,758",216,46225,"The Society for the Study of Modern Visual Culture, otherwise known as Genshiken, is now under the charge of a more confident Sasahara. Things have changed in between semesters, and the otaku club now has a new otaku-hating member named Ogiue. Sasahara's initial goal of starting a doujin circle and selling those fan-made magazines at the next Comic Festival becomes a reality, but reality is a cruel master... who apparently crossplays. Afterward, the club is abuzz with talk about Tanaka and Ohno's relationship, which takes a hesitant step forward. (Source: Media Blasters)","['Prequel (OVA) Genshiken OVA', 'Sequel (OVA) Genshiken Nidaime OVA', 'Adaptation (Manga) Genshiken Read Manga', '']",Genshiken 2,Gendai Shikaku Bunka Kenkyuukai 2,Genshiken Nidaime,['Slice of Life'],"['Adult Cast', 'Otaku Culture', 'Parody']",['Seinen'],Genshiken Staffel 2,Genshiken Saison 2,
14,ドラゴノーツ-ザ・レソナンス-,Dragonaut - The Resonance,['TV'],25,Finished Airing,"Oct 4, 2007 to Mar 27, 2008",['Fall 2007'],Unknown,"['Nihon Ad Systems', 'Sotsu Music Publishing']",['Funimation'],['Gonzo'],Original,"['Action', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,6.57,#6661,#2572,"79,079",117,34151,"Twenty years prior to the story's beginning, an asteroid headed for Earth destroys Pluto. Due to Pluto's destruction, the asteroid, which is dubbed Thanatos, becomes temporarily stagnant. Now, in order to avoid Earth's impending destruction, the International Solarsystem Development Agency (ISDA) works on the ""D-Project"", and creates the ""Dragonaut"" after finding a dragon egg under the ocean. This weapon's primary purpose is to destroy the asteroid when the time comes. However, they soon find out that the asteroid is not their only threat, as powerful dragon-like creatures, which are bent on destruction, appear on Earth. After witnessing a murder by one of the creatures, Jin Kamishina, a lonely 18-year-old boy who lost his family in a shuttle accident two years ago, gets involved in the mysteries of the dragons and becomes the chosen pilot of the Dragonaut. Helping him on his journey is Toa, a mysterious girl who saves him from falling to his death after the creature attacks him. As they get deeper into the mysteries of the dragons, they encounter new friends and enemies, and also begin to develop a closer relationship. (Source: Wikipedia)","['Adaptation (Manga) Dragonaut: The Resonance', '']",Dragonaut: The Resonance,,,,,,,,
15,もやしもん,,['TV'],11,Finished Airing,"Oct 12, 2007 to Dec 21, 2007",['Fall 2007'],Fridays at 00:45 (JST),"['Dentsu', 'SKY Perfect Well Think', 'Kodansha', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Fujipacific Music']","None found,","['Telecom Animation Film', 'Shirogumi']",['Manga'],"['Comedy', 'Gourmet', 'Supernatural']",['Adult Cast'],23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1776,#2649,"75,241",265,29411,"One could say that freshman college student Tadayasu Sawaki has a wide range of vision. He has a peculiar ability that allows him to see microorganisms with the naked eye. Sawaki can see all sorts of microbes, from the fungi that cause athlete's foot to the yeast used to make alcohol, with him perceiving his little friends as cute chibi creatures. Attending an agricultural university, his talent piques the interest of numerous professors, including Professor Itsuki, who specializes in fermentation. Sawaki starts school indifferent toward his ability, choosing an agricultural school in Tokyo. However, with the help of the eccentric community around him, he slowly learns to appreciate these visible microbes and his talent. The whimsical cast of professors and classmates attending the university almost makes Sawaki seem normal despite his ability. [Written by MAL Rewrite]","['Sequel (TV) Moyashimon Returns', 'Adaptation (Manga) Moyashimon']",Moyashimon,"Moyasimon, Tales of Agriculture",,,,['Seinen'],,,
16,魔人探偵 脳噛ネウロ,Neuro: Supernatural Detective,['TV'],25,Finished Airing,"Oct 3, 2007 to Mar 26, 2008",['Fall 2007'],Wednesdays at 01:29 (JST),"['VAP', 'Shueisha']","None found,",['Madhouse'],['Manga'],"['Comedy', 'Mystery', 'Supernatural']",,23 min. per ep.,R - 17+ (violence & profanity),7.58,#1659,#2786,"69,492",595,28467,"Yako Katsuragi is an acclaimed high school detective, who, despite her young age, has solved many cases. In fact, there seems to be no case that she cannot solve, or any culprit that escapes justice. But within the walls of her detective agency lies the secret to her prolific crime-solving skills: the cases are actually solved by her assistant, Neuro Nougami. However, to call Neuro an ordinary man would be incorrect. In reality, he is a demon, who came to the human world in search of the ultimate mystery, having already solved every mystery in the demon world. With Yako as his proxy, he feasts on the negative energy released by humans when they commit crimes. Thus, he promises to help Yako solve the mystery of her father's death. But to do so, he must avoid drawing too much attention to himself, which is why Yako plays the role of the detective. As Yako desperately searches for the truth of her father's death, the unlikely duo continues to solve case after case in order to satisfy Neuro's ravenous appetite. [Written by MAL Rewrite]","['Adaptation (Manga) Majin Tantei Nougami Neuro', '']",Majin Tantei Nougami Neuro,"Private Evil-Eye Nougami Neuro, Demon Detective Nougami Neuro",,,"['Detective', 'Mythology']",['Shounen'],,,
17,レンタルマギカ,Rental Magica,['TV'],24,Finished Airing,"Oct 8, 2007 to Mar 24, 2008",['Fall 2007'],Mondays at 00:00 (JST),"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['Nozomi Entertainment'],['Zexcs'],['Light novel'],"['Action', 'Mystery', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.98,#4487,#2915,"63,812",109,22069,"Due to his father's disappearance, Itsuki Iba has to take over the family business: a magician dispatch service. Their family employs countless magicians and other supernatural beings in order to send them out to help those who need magical assistance. As a leader, Itsuki now has to be tough, commanding, and reliable, but there's one problem, he's a coward. Also, in order to run a successful business, he must connect with his employees, which is more difficult than it seems due to his personality. But not only does he have to deal with his own employees, he also has to deal with those who threaten the family business. (Source: CrunchyRoll)","['Adaptation (Manga) Rental Magica', 'Adaptation (Light Novel) Rental Magica']",Rental Magica,,,,,,,,
18,D.C.II ～ダ・カーポII～,,['TV'],13,Finished Airing,"Oct 2, 2007 to Dec 25, 2007",['Fall 2007'],Unknown,['Starchild Records'],"None found,",['feel.'],Visual novel,"['Drama', 'Romance', 'Ecchi']",['School'],23 min. per ep.,PG-13 - Teens 13 or older,6.85,#5089,#3863,"37,856",41,16756,"The undying Sakura Trees return. Based on a PS2 sequel of the original DaCapo game, the story once again takes place on Hatsunejima, but is set 53 years after the events of D.C. and D.C.S.S.. Although some characters will probably look a bit familiar to the initiated eye, the cast is a new one. The new main protagonist is Yoshiyuki Sakurai, who lives next door to the Asakura sisters Yume and Otome, who are the granddaughters of Junichi and Nemu from the first season. [Written by MAL Rewrite]","['Prequel (TV) D.C.S.S: Da Capo Second Season', 'Sequel (TV) D.C.II S.S.: Da Capo II Second Season', 'Adaptation (Manga) Da Capo II', '']",D.C.II: Da Capo II,,,,,,,,
19,ナイトウィザード,,['TV'],13,Finished Airing,"Oct 3, 2007 to Dec 26, 2007",['Fall 2007'],Wednesdays at 02:00 (JST),"['TYO', 'Omnibus Promotion']","None found,",['HAL Film Maker'],Game,"['Action', 'Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,6.63,#6311,#3885,"37,385",56,15409,"Night Wizard. A term given to those whose mission is to protect the world from impending darkness. Renji Hiiragi is one such Night Wizard, who is constantly called on missions, even though all he wants is to be able to go to school and graduate. However, his latest order was to protect Elis Shiho, who is a new transfer student at his academy. Being dragged into the Astronomy Club by Renji's childhood friend, Kureha Akabane on her first day at school, Elis soon realises that she too, has the power to become a Night Wizard, after possessing one of seven secret Jewels, the Jewel of Kindness. Along with Renji and Kureha, Elis now begins her fight and her new life as a Night Wizard. (Source: ANN)",[],Night Wizard,Night Wizard The Animation,,,,,,,
