,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Themes,Demographic,German,French,Demographics
20,しおんの王 - The Flowers of Hard Blood,The Flowers of Hard Blood,['TV'],22,Finished Airing,"Oct 14, 2007 to Mar 23, 2008",['Fall 2007'],Unknown,"['Yomiko Advertising', 'Pony Canyon', 'Fuji TV', 'DAX Production', 'Fujipacific Music', 'Universal Music Japan']","None found,",['Studio Deen'],['Manga'],"['Drama', 'Mystery', 'Suspense']",['Strategy Game'],23 min. per ep.,PG-13 - Teens 13 or older,7.49,#1998,#4111,"33,330",94,11567,"Defying the odds, middle school student Shion Yasuoka is becoming a rising star of the professional shogi world. Despite losing her family at a young age and being unable to speak due to the trauma, in her loving adoptive family and at the shogi association, she has found the necessary emotional support to move on with her life and very demanding career. Her talent attracts the attention of Satoru Hani, a successful businessman and brother of the current ""Meijin""—the title given to the defending champion of Japan's most prestigious shogi tournament. He decides to organize a tournament open to both men and women, including professional and amateur players, and urges Shion to participate in the competition. However, Satoru seems to know a lot about Shion's troubled past, and his actions bring suspicion from Shion's friend Ayumi Saitou and the police—who are still investigating the death of Shion's loved ones. As the end of Satoru's tournament approaches, Shion starts remembering events related to the night when she lost everything and will have to show her mental fortitude to defeat her opponents and foil the plans of the culprits who ruined her life. [Written by MAL Rewrite]","['Adaptation (Manga) Shion no Ou: The Flowers of Hard Blood.', '']",Shion no Ou,Shion no Oh,,,,,,,
21,スケッチブック ～full color's～,Sketchbook ~full color's~,['TV'],13,Finished Airing,"Oct 2, 2007 to Dec 25, 2007",['Fall 2007'],Tuesdays at 02:00 (JST),"['Media Factory', 'Shochiku', 'AT-X', 'TV Tokyo Music', 'TYO', 'Mag Garden']",['Nozomi Entertainment'],['HAL Film Maker'],['4-koma manga'],,,23 min. per ep.,G - All Ages,7.36,#2551,#4153,"32,600",198,10123,"To Sora Kajiwara, the world is full of wonderful and adorable things she wants to draw—cats being a popular object of her affection. Even though there are some things that can't be captured with a pencil and paper, she still brings her sketchbook wherever she goes. Her love of drawing eventually leads her to join her school's art club, despite her shy and childish personality. Just like herself, all of Sora's fellow art club members have their own vivid imagination and personality to match. Through her interactions with the rest of the club, Sora begins to break out of her shell and see more of the world around her, taking every opportunity to sketch whatever is on her mind or in her heart. [Written by MAL Rewrite]","['Adaptation (Manga) Sketchbook', 'Adaptation (Manga) Sketchbook: Shucchouban']",Sketchbook: Full Color's,,Sketchbook ~full color's~,['Slice of Life'],"['CGDCT', 'Iyashikei', 'Visual Arts']",,,,
22,BLUE DROP ～天使達の戯曲～,Blue Drop,['TV'],13,Finished Airing,"Oct 3, 2007 to Dec 26, 2007",['Fall 2007'],Wednesdays at 02:00 (JST),"['Pony Canyon', 'Memory-Tech', 'Showgate', 'King Records']",['Sentai Filmworks'],"['BeSTACK', 'Asahi Production']",['Manga'],"['Drama', 'Girls Love', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6076,#4178,"32,084",107,12752,"Five years ago, something horrifying happened on Kamioki Island. Something so nightmarish that it stripped all memory from Mari Wakatake's mind even as it left every other human on the island dead in its wake! Now enrolled against her will at an isolated girl's academy, Mari is unaware that hidden eyes are watching her, waiting for her memory to return. Buried in her psyche is the most terrifying secret of all: while Mari was the only human who lived, she may not have been the only survivor! As something in a female skin invades Kaihou Academy, Mari's only hope may lie in a strange girl to whom she is inexplicably drawn yet cannot trust. (Source: Sentai Filmworks)","['Adaptation (Manga) Blue Drop', '']",Blue Drop: Tenshi-tachi no Gikyoku,Blue Drop: Tenshitachi no Gikyoku,,,,['Shounen'],,,
23,獣神演武 - HERO TALES -,Hero Tales,['TV'],26,Finished Airing,"Oct 8, 2007 to Mar 31, 2008",['Fall 2007'],Mondays at 02:00 (JST),"['Square Enix', 'Genco', 'Tohokushinsha Film Corporation']",['Funimation'],['Studio Flag'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],24 min. per ep.,PG-13 - Teens 13 or older,6.81,#5275,#4424,"28,442",37,10401,"For citizens of the Ken Empire, justice is a myth. Lord Keiro, the deranged Shogun of the Imperial Army, blazes a trail of terror across the countryside in search of the sacred sword that will make him a god. Standing in his way is Taito, an omnipotent star reborn in human form—a young hero who vows to use his celestial strength to avenge those slaughtered by the villainous Shogun. Taito's mystical powers steer him toward a violent showdown with Keiro, and if used recklessly, his newfound abilities could shred the very fabric of his being. To master the art of control and become a heroic martial artist, Taito must seek the guidance of others like him: the seven star-born warriors with the strength to shatter a corrupt empire. (Source: RightStuf)","['Adaptation (Manga) Juushin Enbu', '']",Juushin Enbu: Hero Tales,"Jyuushin Enbu, Jushin Enbu",Hero Tales,,,['Shounen'],Hero Tales,Hero Tales,
24,プリズム・アーク,,['TV'],12,Finished Airing,"Oct 8, 2007 to Dec 24, 2007",['Fall 2007'],Unknown,"['Marvelous Entertainment', 'Media Factory', '5pb.', 'Pencil', 'Omnibus Promotion']","None found,",['Front Line'],Visual novel,"['Action', 'Comedy', 'Fantasy', 'Romance']",,24 min. per ep.,R+ - Mild Nudity,6.40,#7684,#4802,"23,516",27,9243,"The Sablum Empire has been attempting to take over the kingdom of Windland for many years, and are now plotting with the mercenaries Sister Hell and Darkness Knight to start a new offensive using powerful magical beings called Angels. Hyaweh, a carefree yet talented swordsman, and Priecia, who just might be the lost princess of Windland, are enrolled at the Knight's Academy in Windland to hone their skill at swords and sorcery. There they meet many friends and allies who can help them protect their homeland from the impending invasion.",[],Prism Ark,,,,"['Harem', 'School']",,,,
25,もっけ,,['TV'],24,Finished Airing,"Oct 3, 2007 to Mar 16, 2008",['Fall 2007'],Wednesdays at 02:45 (JST),"['Kodansha', 'Nagoya Broadcasting Network']","None found,","['Madhouse', 'Tezuka Productions']",['Manga'],"['Mystery', 'Slice of Life', 'Supernatural']",['Iyashikei'],24 min. per ep.,PG - Children,7.03,#4234,#5496,"16,779",30,3792,"This is a story about two sisters: Shizuru, is a high school student who is able to see ghosts while her younger sister, Mizuki, is haunted by these apparitions. Frustrated by their abilities, their parents decided to entrust the sisters into the care of their grandparents who live in the countryside. As they adapt to life in the countryside, Shizuru and Mizuki begin to learn about the importance of coexisting nature with these apparitions. (Source: ANN)","['Adaptation (Manga) Mokke', '']",Mokke,,,,,['Seinen'],,,
26,逮捕しちゃうぞ フルスロットル,You're Under Arrest: Full Throttle,['TV'],23,Finished Airing,"Oct 5, 2007 to Mar 28, 2008",['Fall 2007'],Unknown,['TBS'],['Sentai Filmworks'],['Studio Deen'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3508,#6428,"11,258",6,3908,"Miyuki Kobayakawa, fresh from forensics training in the United States and Natsumi Tsujimoto, from completing Japanese Self-Defense Force (JSDF) ranger training return in the long-awaited 3rd season of the highly popular series. This time, the duo rejoins active duty at Bokuto Police Department, fighting against crime using their wits and brawn, plus having some misadventures along the way. (Source: ANN)","['Prequel (OVA) Taiho Shichau zo', 'Prequel (TV) Taiho Shichau zo (TV)', 'Prequel (TV) Taiho Shichau zo Special', 'Prequel (TV Special) Taiho Shichau zo: Nagisa no Koutsuu Yuudou']",Taiho Shichau zo: Full Throttle,"Taiho Shichauzo: Full Throttle, Taiho Shichau zo (2007)",,,"['Adult Cast', 'Detective', 'Workplace']",['Seinen'],,,
27,素敵探偵☆ラビリンス,Fantastic Detective Labyrinth,['TV'],25,Finished Airing,"Oct 3, 2007 to Mar 26, 2008",['Fall 2007'],Unknown,['Sotsu'],['Nozomi Entertainment'],['Studio Deen'],['Manga'],"['Mystery', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.64,#6274,#6544,"10,766",16,2813,"In a forgotten town known as the old capital of Tokyo, strange and mysterious crimes are progressively occuring. These supernatural occurances are beyond comprehension and bring fear and terror to the people. Only one person is not intimidated by the evil underlying these occurances and is willing to challenge them: Hyuga Mayuki, a young boy detective who holds a special insight power that allows him to uncover the real truth behind these occurances. (Source: ANN)","['Adaptation (Manga) Suteki Tantei Labyrinth', '']",Suteki Tantei Labyrinth,"Lovely Detective Labyrinth, Great Detective Labyrinth",Fantastic Detective Labyrinth,,,['Shounen'],Fantastic Detective Labyrinth,Fantastic Detective Labyrinth,
28,流星のロックマン トライブ,Megaman Star Force Tribe,['TV'],21,Finished Airing,"Nov 3, 2007 to Mar 29, 2008",['Fall 2007'],Unknown,['Half H.P Studio'],"None found,",['Xebec'],Game,,,10 min. per ep.,PG - Children,6.94,#4628,#7788,"7,038",20,3012,"The second series is to follow the events of the second video game, focusing on the lost continent of Mu. The ancient civilization vanished ages ago, and a few of its remnants still exist as myths and legends called UMAs (unidentified lifeforms). The UMAs begin merging with humans in order to search for the treasures of Mu, the powerful ooparts, which will give them the power to revive Mu. After Subaru and War-Rock encounter several unusual enemies, they meet a professor named Doctor Orihime who sends them on a quest to find the ooparts and stop the UMAs. Using the ooparts, Rockman is able to take new forms, including Thunder Berserk, Fire Dinosaur, and Green Shinobi. (Source: Wikipedia)","['Prequel (TV) Ryuusei no Rockman', '']",Ryuusei no Rockman Tribe,"Ryusei no Rockman Tribe, Shooting Star Rockman Tribe, Mega Man Shooting Star Tribe",,['Adventure'],,,,,
29,ムーンライトマイル 2ndシーズン -Touch down-,,['TV'],14,Finished Airing,"Sep 13, 2007 to Dec 13, 2007",['Fall 2007'],Unknown,"None found,","None found,",['Studio Hibari'],['Manga'],"['Adventure', 'Drama', 'Sci-Fi']",['Space'],25 min. per ep.,R+ - Mild Nudity,7.27,#2972,#8709,"5,378",10,1860,The second season of Moonlight Mile.,"['Prequel (TV) Moonlight Mile 1st Season: Lift Off', 'Adaptation (Manga) Moonlight Mile']",Moonlight Mile 2nd Season: Touch Down,,,,,,,Moonlight Mile Saison 2: Touch Down,
30,ウサビッチ,Usavich II,['TV'],13,Finished Airing,"Oct 8, 2007 to Jan 15, 2008",['Fall 2007'],Unknown,"None found,","None found,",['Kanaban Graphics'],Original,"['Adventure', 'Comedy']",,1 min. per ep.,PG-13 - Teens 13 or older,7.04,#4199,#8790,"5,232",2,3276,"The adventures of Putin and Kirenenko, two rabbits stuck in a Russian prison, continue as they make their escape and try to avoid the fearsome Soviet bunnies on their trail!","['Prequel (TV) Usavich', 'Sequel (TV) Usavich III']",Usavich II,Usavich 2,,,,,,,
31,メイプルストーリー,,['TV'],25,Finished Airing,"Oct 7, 2007 to Mar 30, 2008",['Fall 2007'],Unknown,"['TV Tokyo', 'Dentsu', 'Nexon']","None found,",['Madhouse'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,5.22,#12878,#8942,"4,995",4,1907,"Ten years ago, the World Tree that protected peace and order of the world was being targeted by an evil organization called the Zakum. The Human race led four other races: the brave warriors, the intelligent magicians, the agile archers and the sly thieves in a fight against the Zakums. In the end, the World Tree activated self-destruction to protect itself. However, the other races thought it was the Human race that destroyed the World Tree. When the World Tree was destroyed most of the races had nothing left, so a number of them went to Maple Island thinking the ones who stayed would die. They escaped Victoria and lived on Maple Island where living is getting harder and harder. Since then, a never-ending war between the different races began. Ten years later, the main protagonist, Al, is determined to revive the World Tree. Al and his companions begin their journey to seek the seeds of the World Tree. At the same time, the Zakums reappear… (Source: Wikipedia)","['Sequel (Special) MapleStory Special', '']",MapleStory,Maple Story,,,,['Kids'],,,
32,デュエル・マスターズ ゼロ,,['TV'],24,Finished Airing,"Oct 6, 2007 to Mar 22, 2008",['Fall 2007'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Original,,['Strategy Game'],10 min. per ep.,G - All Ages,5.95,#10160,#11658,"2,162",1,694,"This season is a direct continuation of the Zero Duel Masters with the same alternative setting, plot and characters. The only difference between both season were the shift from 2D to 3DCGI animation. It follows after the duel of Shobu vs. Hakuoh, later unveiling Hakuoh and Jura were cooperating with the series' main antagonist: Professor March, who aims to control every creature by obtaining every Duel Orb. (Source: Duel Masters Wikia)","['Prequel (TV) Zero Duel Masters', 'Sequel (TV) Duel Masters Cross']",Duel Masters Zero,,,['Action'],,['Kids'],,,
33,さぁイコー！たまごっち,Let's Go! Tamagotchi,['TV'],12,Finished Airing,"Nov 29, 2007 to Feb 14, 2008",['Fall 2007'],Unknown,['Bandai'],"None found,",['OLM'],Unknown,,,2 min. per ep.,G - All Ages,5.69,#11451,#13507,"1,228",1,510,"Let's Go! Tamagotchi is an anime series focusing on the lives of Mametchi, Memetchi, Kuchipatchi, ChaMametchi, and their friends. The series premiered in Japan in December 2007, while an English dub was uploaded by Bandai in December 2008. It was originally uploaded a week before the release of the first movie in Japanese.","['Sequel (Movie) Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?', '']",Saa Ikou! Tamagotchi,Saa Ikoo! Tamagotchi,,,,['Kids'],,,
34,ハローキティ りんごの森とパラレルタウン,Hello Kitty: Apple Forest and Parallel Town,['TV'],27,Finished Airing,"Oct 2, 2007 to Mar 25, 2008",['Fall 2007'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,"['Comedy', 'Fantasy']",,9 min. per ep.,PG - Children,6.19,#8897,#14487,944,2,217,"Kitty and Mimmy fall through a hole and end up in a parallel world. It's identical to the one the sisters live in but it's inhabited by humans with transparent wings and pointy ears. Kitty becomes friends with Emily, a supermodel in this parallel world, and together they try to rescue Mimmy who has disappeared. Their search is hampered by Akuro--a black cat who has a mean streak.","['Prequel (TV) Hello Kitty: Ringo no Mori no Mystery', '']",Hello Kitty: Ringo no Mori to Parallel Town,,Hello Kitty: El Bosque de las Manzanas y la Ciudad Paralela,,,['Kids'],,,
35,はたらキッズマイハム組,Master Hamsters,['TV'],50,Finished Airing,"Oct 7, 2007 to Oct 5, 2008",['Fall 2007'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],Original,,,25 min. per ep.,PG - Children,5.94,#10245,#15668,678,1,134,"Hatara Kids Maihamu Gumi, literally ""Working Kids, My Hamster Team"", is a Japanese anime action series for young children about hamsters who hold down jobs from firefighting to cooking. (Source: Wikipedia)",[],Hatara Kids Mai Ham Gumi,"Hatarakids Maiham Gumi, Hatara kids My ham Gumi, Master Hamsters",,['Action'],,['Kids'],,,
36,一期一会 恋バナ友バナ,,['TV'],13,Finished Airing,"Oct 20, 2007 to Jan 26, 2008",['Fall 2007'],Unknown,['Four Some'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",['School'],5 min. per ep.,G - All Ages,6.31,#8217,#15741,665,0,144,"Ichigo Ichie is based on a series of stationery. The stationery, by a company called Mind Wave, focuses on the friendship of two young girls. (Source: TokyoPop)","['Sequel (TV) Ichigo Ichie: Kimi no Kotoba', '']",Ichigo Ichie: Koibana Tomobana,,,,,,,,
37,やっとかめ探偵団,,['TV'],14,Finished Airing,"Oct 7, 2007 to Jan 6, 2008",['Fall 2007'],Unknown,"None found,","None found,",['No Side'],Unknown,"['Mystery', 'Slice of Life']",,20 min. per ep.,G - All Ages,[],#16013,#17002,507,0,,Neighborhood children help a group of retirees solve local mysteries in contemporary Japan.,[],Yattokame Tanteidan,At Last! Turtle Detective Agency,,,,['Kids'],,,
38,星新一 ショートショート,,['TV'],26,Finished Airing,"Nov 11, 2007 to Nov 17, 2008",['Fall 2007'],Unknown,['Directions'],"None found,",['Echoes'],Book,"['Comedy', 'Sci-Fi']",,10 min. per ep.,PG-13 - Teens 13 or older,[],#18683,#17226,483,0,,"This series features stories from the acclaimed sci-fi writer Hoshi Shinichi. The episodes uses animation, live-action footage, computer graphics, and other visual means to re-enact the short stories. Each episode is a collection of several short-short stories by Hoshi Shinichi. Note: This entry includes the pilot and the 25 TV episodes.",[],Hoshi Shinichi Short Short,Hoshi Shinichi's Short Shorts,,,,,,,
39,ぷるるんっ! しずくちゃんあはっ☆,,['TV'],51,Finished Airing,"Oct 7, 2007 to Sep 28, 2008",['Fall 2007'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],,,24 min. per ep.,None,[],#21178,#17675,445,2,,Second season of Pururun! Shizuku-chan.,"['Prequel (TV) Pururun! Shizuku-chan', 'Sequel (TV) Picchipichi Shizuku-chan']",Pururun! Shizuku-chan Aha,,,['Comedy'],,['Kids'],,,
40,エレキング The Animation,,['TV'],13,Finished Airing,"Nov 10, 2007 to Feb 9, 2008",['Fall 2007'],Unknown,"None found,","None found,",['Zuiyo'],['4-koma manga'],,,5 min. per ep.,G - All Ages,[],#17882,#18167,408,0,,"A surrealist comedy about a local neighborhood. The 4-koma it's based on is known for the number of characters added each week, which exceeded over 280 during its serialization. The anime focuses on the 16 most reoccurring of the bunch and each episode is composed of 3 skits/chapters.",[],Elec-king The Animation,,,['Comedy'],,['Seinen'],,,
41,天才？Dr.ハマックス,,['TV'],12,Finished Airing,"Oct 6, 2007 to Dec 22, 2007",['Fall 2007'],Unknown,"['Production I.G', 'Tohokushinsha Film Corporation']","None found,",['Trans Arts'],Original,,,23 min. per ep.,G - All Ages,[],#14813,#18534,380,0,,No synopsis has been added for this series yet. Click here to update this information.,[],Tensai? Dr. Hamax,,,['Comedy'],,,,,
42,まめうしくん,,['TV'],52,Finished Airing,"Oct 6, 2007 to Sep 27, 2008",['Fall 2007'],Unknown,['Sotsu'],"None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,15 min. per ep.,G - All Ages,[],#19998,#18761,363,0,,Mameushi-kun follows the farmland adventures of a calf that is as small as a dust speck. (Source: AniDB),[],Mameushi-kun (TV),,,,,['Kids'],,,
43,森の戦士ボノロン,,['TV'],26,Finished Airing,"Nov 5, 2007 to May 17, 2008",['Fall 2007'],Unknown,"['Four Some', 'Coamix', 'North Stars Pictures']","None found,",['Actas'],Unknown,"['Adventure', 'Fantasy']",,5 min. per ep.,PG - Children,[],#20429,#18824,358,0,,"Bonolon is touted as the warrior who comes from the forest of the great oaks. Despite his huge body size and outwardly orange appearance, Bonolon is only a child of 9 years old. However, notwithstanding his tender age, Bonolon possess a strong sense of justice and strives to become a reliable man. The tears of those people who are depressed or troubled will flow through the roots of the great oaks and communicates their feelings to Bonolon. Bonolon will then appear from the great oaks and help the people solve their problems as well as grant their wishes. (Source: ANN)",[],Mori no Senshi Bonolon,Bonolon: Fushigina Mori no Iitsutae,,,,['Kids'],,,
44,シャンプー王子,,['TV'],12,Finished Airing,"Oct 1, 2007 to Dec 17, 2007",['Fall 2007'],Mondays at 17:55 (JST),"None found,","None found,","None found,",Picture book,"['Adventure', 'Fantasy']",,5 min. per ep.,G - All Ages,[],#14015,#20545,256,0,,Prince Shampoo lives in the clean and shiny Bubble Kingdom. He's bored with his life and decides to jump out of the protective dome and explore the dirty things of the outer world. Here he encounters various people and understands what dirty and cleanliness really mean in the world.,[],Shampoo Ouji,,,,,['Kids'],,,
45,福娃の五連環,Fuwa,['TV'],54,Finished Airing,"Oct 1, 2007 to Aug 24, 2008",['Fall 2007'],Unknown,"None found,","None found,","None found,",Original,,['Historical'],11 min. per ep.,PG - Children,[],#18072,#21127,224,0,,"Fuwa Beibei encounters the severely injured goddess, Athena. In order to help Athena regain strength, Beibei sets out to find a mysterious wooden box left by Coubertin in 1894, but the worrying thing is that Pixiu who injured his stomach from his glutinous eating habits heard this news too. He thought that this mysterious energy could not only cure his stomach, but also improve his magic, and such begins the journey through time and space of two spirits with different aims. After all the hardships, they found the sixth son of the dragon - Bixi, and after the two's efforts in passing his test, Bixi carries them along 100 years of Olympic history.","['Prequel (TV) Fuwa Aoyun Manyouji', '']",Fuwa no Go Renkan,"Fuwa and the five rings, 福娃五连环, Fuwa Wu Lianhuan",,,,,,,
46,土管くん何かの絵描き歌,,['TV'],13,Finished Airing,"Oct 6, 2007 to Dec 31, 2007",['Fall 2007'],Unknown,['TV Tokyo'],"None found,",['DLE'],Original,,,45 sec. per ep.,G - All Ages,[],#17685,#23462,124,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dokan-kun Nanika no Ekaki Uta,,,['Comedy'],,,,,
47,다오 배찌 붐힐 대소동,,['TV'],26,Finished Airing,"Nov 15, 2007 to May 15, 2008",['Fall 2007'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,[],#17564,#24746,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dao Baejji Bumhil Daesodong,,,,,['Kids'],,,
48,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],23 min. per ep.,PG-13 - Teens 13 or older,8.28,#303,#16,"2,598,340","115,648",1728837,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Hurricane Chronicles,Naruto Shippuden,,,['Shounen'],Naruto Shippuden,Naruto Shippuden,
49,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,742","234,765",1419746,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,,['Shounen'],,,
50,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#703,#35,"2,075,036","78,052",1188805,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,,['Shounen'],,,
51,銀魂,Gintama,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,655","60,227",408387,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,"Gin Tama, Silver Soul, Yorinuki Gintama-san",,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],,,
52,バッカーノ！,Baccano!,['TV'],13,Finished Airing,"Jul 27, 2007 to Nov 2, 2007",['Summer 2007'],Fridays at 00:30 (JST),"['Aniplex', 'Movic']","['Funimation', 'Aniplex of America']","[""Brain's Base""]",['Light novel'],"['Action', 'Mystery', 'Supernatural']",,24 min. per ep.,R - 17+ (violence & profanity),8.35,#233,#196,"930,534","23,510",390214,"During the early 1930s in Chicago, the transcontinental train, Flying Pussyfoot, is starting its legendary journey that will leave a trail of blood all over the country. At the same time in New York, the ambitious scientist Szilard and his unwilling aide Ennis are looking for missing bottles of the immortality elixir. In addition, a war between the mafia groups is getting worse. On board the Advena Avis, in 1711, alchemists are about to learn the price of immortality. Based on the award-winning light novels of the same name, Baccano! follows several events that initially seem unrelated, both in time and place, but are part of a much bigger story—one of alchemy, survival, and immortality. Merging these events together are the kindhearted would-be thieves, Isaac and Miria, connecting various people, all of them with their own hidden ambitions and agendas, and creating lifelong bonds and consequences for everyone involved. [Written by MAL Rewrite]","['Sequel (Special) Baccano! Specials', 'Adaptation (Manga) Baccano! 1931 The Grand Punk Railroad', 'Adaptation (Manga) Baccano! Read Manga', 'Adaptation (Light Novel) Baccano! Read LN']",Baccano!,,,,"['Adult Cast', 'Historical', 'Organized Crime']",,,,
