,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Genre,Demographics
0,約束のネバーランド,The Promised Neverland,The Promised Neverland,The Promised Neverland,The Promised Neverland,['TV'],12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",['Winter 2019'],Fridays at 01:05 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund']",['Aniplex of America'],['CloverWorks'],['Manga'],"['Mystery', 'Suspense']","['Psychological', 'Survival']",['Shounen'],22 min. per ep.,R - 17+ (violence & profanity),8.48,#151,#39,"2,050,598","32,647",1335672,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage—a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family, never to be heard from again. However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama. [Written by MAL Rewrite]","['Sequel (TV) Yakusoku no Neverland 2nd Season', 'Adaptation (Manga) Yakusoku no Neverland']",Yakusoku no Neverland,,,,
1,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,Kaguya-sama: Love is War,Kauya-sama: Love Is War,Kaguya-sama: Love is War,Kaguya-sama: Love is War,['TV'],12,Finished Airing,"Jan 12, 2019 to Mar 30, 2019",['Winter 2019'],Saturdays at 23:30 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Comedy', 'Romance']",,['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,8.40,#197,#52,"1,825,930","40,853",1146814,"At the renowned Shuchiin Academy, Miyuki Shirogane and Kaguya Shinomiya are the student body's top representatives. Ranked the top student in the nation and respected by peers and mentors alike, Miyuki serves as the student council president. Alongside him, the vice president Kaguya—eldest daughter of the wealthy Shinomiya family—excels in every field imaginable. They are the envy of the entire student body, regarded as the perfect couple. However, despite both having already developed feelings for the other, neither are willing to admit them. The first to confess loses, will be looked down upon, and will be considered the lesser. With their honor and pride at stake, Miyuki and Kaguya are both equally determined to be the one to emerge victorious on the battlefield of love! [Written by MAL Rewrite]","['Sequel (TV) Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Adaptation (Manga) Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen']",Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains,['School'],,
2,盾の勇者の成り上がり,The Rising of the Shield Hero,The Rising of the Shield Hero,The Rising of the Shield Hero,The Rising of the Shield Hero,['TV'],25,Finished Airing,"Jan 9, 2019 to Jun 26, 2019",['Winter 2019'],Wednesdays at 22:00 (JST),"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']",['Funimation'],['Kinema Citrus'],['Light novel'],"['Action', 'Adventure', 'Drama', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.93,#769,#69,"1,670,897","25,234",1035229,"The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that have repeatedly ravaged the land and brought disaster to its citizens for centuries. The four heroes are respectively bestowed a sword, spear, bow, and shield to vanquish these Waves. Naofumi Iwatani, an otaku, becomes cursed with the fate of being the ""Shield Hero."" Armed with only a measly shield, Naofumi is belittled and ridiculed by his fellow heroes and the kingdom's people due to his weak offensive capabilities and lackluster personality. When the heroes are provided with resources and comrades to train with, Naofumi sets out with the only person willing to train alongside him, Malty Melromarc. He is soon betrayed by her, however, and becomes falsely accused of taking advantage of her. Naofumi then becomes heavily discriminated against and hated by the people of Melromarc for something he didn't do. With a raging storm of hurt and mistrust in his heart, Naofumi begins his journey of strengthening himself and his reputation. Further along however, the difficulty of being on his own sets in, so Naofumi buys a demi-human slave on the verge of death named Raphtalia to accompany him on his travels. As the Waves approach the kingdom, Naofumi and Raphtalia must fight for the survival of the kingdom and protect the people of Melromarc from their ill-fated future. [Written by MAL Rewrite]","['Sequel (TV) Tate no Yuusha no Nariagari Season 2', 'Adaptation (Manga) Tate no Yuusha no Nariagari', 'Adaptation (Light Novel) Tate no Yuusha no Nariagari', '']",Tate no Yuusha no Nariagari,,['Isekai'],,
3,モブサイコ100 II,Mob Psycho 100 II,,,,['TV'],13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",['Winter 2019'],Mondays at 23:00 (JST),"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Funimation'],['Bones'],['Web manga'],"['Action', 'Comedy', 'Supernatural']",,,24 min. per ep.,PG-13 - Teens 13 or older,8.79,#34,#73,"1,618,389","33,115",1021333,"Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens. While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before. [Written by MAL Rewrite]","['Prequel (TV) Mob Psycho 100', 'Sequel (TV) Mob Psycho 100 III', 'Adaptation (Manga) Mob Psycho 100', '']",Mob Psycho 100 II,"Mob Psycho 100 2nd Season, Mob Psycho Hyaku, Mob Psycho One Hundred",,,
4,どろろ,Dororo,,,Dororo to Hyakkimaru,['TV'],24,Finished Airing,"Jan 7, 2019 to Jun 24, 2019",['Winter 2019'],Mondays at 22:30 (JST),['Twin Engine'],['Sentai Filmworks'],"['Tezuka Productions', 'MAPPA']",['Manga'],"['Action', 'Adventure', 'Fantasy']","['Historical', 'Mythology', 'Samurai']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),8.25,#328,#107,"1,294,597","21,871",660229,"The greedy samurai lord Daigo Kagemitsu's land is dying, and he would do anything for power, even renounce Buddha and make a pact with demons. His prayers are answered by 12 demons who grant him the power he desires by aiding his prefecture's growth, but at a price. When Kagemitsu's first son is born, the boy has no limbs, no nose, no eyes, no ears, nor even skin—yet still, he lives. This child is disposed of in a river and forgotten. But as luck would have it, he is saved by a medicine man who provides him with prosthetics and weapons, allowing for him to survive and fend for himself. The boy lives and grows, and although he cannot see, hear, or feel anything, he must defeat the demons that took him as sacrifice. With the death of each one, he regains a part of himself that is rightfully his. For many years he wanders alone, until one day an orphan boy, Dororo, befriends him. The unlikely pair of castaways now fight for their survival and humanity in an unforgiving, demon-infested world. [Written by MAL Rewrite]","['Adaptation (Manga) Dororo', '']",Dororo,Dororo to Hyakkimaru,,,
5,五等分の花嫁,The Quintessential Quintuplets,The Quintessential Quintuplets,The Quintessential Quintuplets,The Quintessential Quintuplets,['TV'],12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",['Winter 2019'],Fridays at 01:28 (JST),"['Pony Canyon', 'Kodansha', 'ZERO-A', 'GYAO!', 'eNa']",['Funimation'],['Tezuka Productions'],['Manga'],"['Comedy', 'Romance']","['Harem', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.63,#1478,#171,"1,004,384","14,180",647059,"Fuutarou Uesugi is an ace high school student, but leads an otherwise tough life. His standoffish personality and reclusive nature have left him friendless, and his father is debt-ridden, forcing his family to scrape by. One day during his lunch break, Uesugi argues with a female transfer student who has claimed ""his seat,"" leading both of them to dislike each other. That same day, he is presented with a golden opportunity to clear his family's debt: a private tutoring gig for a wealthy family's daughter, with a wage of five times the market price. He accepts the proposal, but is horrified to discover that the client, Itsuki Nakano, is the girl he confronted earlier! After unsuccessfully trying to get back on Itsuki's good side, Uesugi finds out that his problems don't end there: Itsuki is actually a quintuplet, so in addition to her, he must also tutor her sisters—Miku, Yotsuba, Nino, and Ichika—who, despite the very real threat of flunking, want nothing to do with a tutor. However, his family's livelihood is on the line so Uesugi pushes on, adamant in his resolve to rid the sisters of their detest for studying and successfully lead them to graduation. [Written by MAL Rewrite]","['Sequel (TV) 5-toubun no Hanayome ∬', 'Adaptation (Manga) 5-toubun no Hanayome', 'Adaptation (Novel) Anime 5-toubun no Hanayome Novelize', '']",5-toubun no Hanayome,"Gotoubun no Hanayome, The Five Wedded Brides",,,
6,賭ケグルイ××,,Kakegurui: Das Leben ist ein Spiel Staffel 2,,Gambling School Saison 2,['TV'],12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",['Winter 2019'],Wednesdays at 02:30 (JST),"['Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'KlockWorx', 'flying DOG', '81 Produce', 'Avex Pictures']",['Sentai Filmworks'],['MAPPA'],['Manga'],"['Drama', 'Mystery', 'Suspense']","['High Stakes Game', 'Psychological', 'School', 'Strategy Game']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.19,#3430,#254,"805,287","1,998",483029,"As Yumeko Jabami's fame grows and the reputation of the student council dwindles, Kirari Momobami decides to revolutionize the group. To this end, she announces an election for its next president. The rules are simple: each student in the school receives one chip. Whoever has the most chips by the end of thirty days becomes both the new president and the head of the Momobami clan. Upon receiving news of this development, the Momobami branch families spring into action. Eleven transfer students arrive at Hyakkao Private Academy, each aiming to lead both the school and the Momobami clan. Equipped with unique talents, they will compete to get as many chips as possible—but their chips are not the only things on the line. [Written by MAL Rewrite]","['Prequel (TV) Kakegurui', 'Adaptation (Manga) Kakegurui']",Kakegurui××,"Kakegurui 2nd Season, Kakegurui: Compulsive Gambler 2nd Season, Gambling School 2nd Season,",,,
7,ドメスティックな彼女,Domestic Girlfriend,Domestic Girlfriend,Domestic Girlfriend,Domestic Girlfriend,['TV'],12,Finished Airing,"Jan 12, 2019 to Mar 30, 2019",['Winter 2019'],Saturdays at 01:55 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'flying DOG', 'DMM pictures', 'Bit Promotion']",['Sentai Filmworks'],['Diomedéa'],['Manga'],"['Drama', 'Romance']","['Love Polygon', 'School']",['Shounen'],25 min. per ep.,R+ - Mild Nudity,6.64,#6271,#262,"791,291","5,995",474962,"In their teenage years, few things can hurt people more than the heartaches that come with unrequited love. Such is the case for Natsuo Fujii, who has found himself entranced by his school's ever-cheerful teacher Hina. Deflated by this unreachable desire, Natsuo humors his friends and attends a mixer. There he meets Rui, a girl whose lack of excitement rivals that of himself. After bonding over their mutual awkwardness, Rui takes Natsuo to her house and asks him to have sex with her, hoping that the experience will stop her friends from treating her like a clueless child. With his hopeless feelings towards Hina still on his mind, Natsuo hesitantly agrees. Equally unfulfilled by their ""first times,"" the two decide to part ways as strangers. However, before he even has a chance to process this experience, Natsuo's father drops a major bombshell: he is getting remarried, and his new wife Tsukiko Tachibana is coming over now to meet Natsuo. As if that was not enough of a shock, her daughters—and, in turn, Natsuo's new sisters—are Hina and Rui Tachibana, the woman he's in love with and the girl with whom he shared his first night. Now, Natsuo must come to terms with the feelings he has for his step-siblings as his eyes open to a darker side of love. [Written by MAL Rewrite]","['Adaptation (Manga) Domestic na Kanojo', '']",Domestic na Kanojo,"Dome x Kano, Domekano",,,
8,デート・ア・ライブⅢ,Date A Live III,,,,['TV'],12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",['Winter 2019'],Fridays at 21:30 (JST),"['Nippon Columbia', 'Kadokawa']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Fantasy', 'Romance', 'Sci-Fi']","['Harem', 'School', 'Urban Fantasy']",,24 min. per ep.,R - 17+ (violence & profanity),7.19,#3417,#589,"417,219","1,719",221741,"Shidou Itsuka carries on with his quest for Ratatoskr in finding Spirits and trying to seal their powers, all while maintaining his relationships with the ones he had already sealed. Moreover, as new Spirits appear, he must undergo more complicated trials—all to put a stop to further disasters as he discovers more about the Spirits' origin. [Written by MAL Rewrite]","['Prequel (Movie) Date A Live Movie: Mayuri Judgment', 'Sequel (TV) Date A Live IV', 'Adaptation (Manga) Date A Live', 'Adaptation (Manga) Date A Live: Tooka Dead End']",Date A Live III,"Date A Live 3, Date A Live 3rd Season, DAL 3",,,
9,ブギーポップは笑わない,Boogiepop and Others,Boogiepop And Others,BoogiePop And Others,BoogiePop And Others,['TV'],18,Finished Airing,"Jan 4, 2019 to Mar 29, 2019",['Winter 2019'],Fridays at 21:00 (JST),"['ASCII Media Works', 'Kadokawa']",['Funimation'],['Madhouse'],['Light novel'],"['Avant Garde', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Suspense']",,,23 min. per ep.,R - 17+ (violence & profanity),7.06,#4117,#1097,"236,493",935,70494,"Hushed exchanges among the female student populace of Shinyo Academy center around an enigmatic supernatural entity. This entity is Boogiepop, a Shinigami who is rumored to murder people at the height of their beauty before their allure wanes. Few know of his true nature: a guardian who, between periods of dormancy, manifests as the alter ego of a high school girl named Touka Miyashita to fend off ""the enemies of the world."" Now, a string of mysterious disappearances—presumed by the school to be merely runaways—has caused Boogiepop to awaken. But somewhere in the academy, a menacing creature hides, waiting for its opportune moment to strike. Boogiepop wa Warawanai subtly explores the intrinsic associations between human beings and their perception of time, while delving into its characters' complex relationships, emotions, memories, and pasts. [Written by MAL Rewrite]","['Adaptation (Manga) Boogiepop wa Warawanai', 'Adaptation (Manga) Yoake no Boogiepop', 'Adaptation (Manga) Boogiepop wa Warawanai: VS Imaginator', 'Adaptation (Light Novel) Boogiepop Series']",Boogiepop wa Warawanai (2019),"Boogiepop Never Laughs, Boogiepop Doesn't Laugh",['Psychological'],,
