,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
0,STEINS;GATE,Steins;Gate,['TV'],24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",['Spring 2011'],Wednesdays at 02:05 (JST),"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],['White Fox'],Visual novel,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",24 min. per ep.,PG-13 - Teens 13 or older,9.07,#3,#14,"2,670,312","194,647",1450977,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo. However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN. Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity. [Written by MAL Rewrite]","['Sequel (Special) Steins;Gate: Oukoubakko no Poriomania', 'Adaptation (Manga) Steins;Gate']",Steins;Gate,,,,,,,,
1,青の祓魔師,Blue Exorcist,['TV'],25,Finished Airing,"Apr 17, 2011 to Oct 2, 2011",['Spring 2011'],Sundays at 17:00 (JST),"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Shueisha']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Action', 'Supernatural']","['Mythology', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.48,#2041,#41,"1,989,984","17,076",1187053,"Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king. Ao no Exorcist follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio. [Written by MAL Rewrite]","['Sequel (TV) Ao no Exorcist: Kyoto Fujouou-hen', 'Adaptation (Manga) Ao no Exorcist']",Ao no Exorcist,Ao no Futsumashi,Blue Exorcist,Blue Exorcist,Blue Exorcist,['Shounen'],,,
2,あの日見た花の名前を僕達はまだ知らない。,Anohana: The Flower We Saw That Day,['TV'],11,Finished Airing,"Apr 15, 2011 to Jun 24, 2011",['Spring 2011'],Fridays at 01:15 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Fujipacific Music']","['NIS America, Inc.', 'Aniplex of America']",['A-1 Pictures'],Original,"['Drama', 'Supernatural']",,22 min. per ep.,PG-13 - Teens 13 or older,8.29,#294,#70,"1,651,812","32,770",1006239,"Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago. At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on—but themselves as well? [Written by MAL Rewrite]","['Sequel (Movie) Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie', 'Adaptation (Light Novel) Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.', 'Adaptation (Manga) Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.', '']",Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"AnoHana, We Still Don't Know the Name of the Flower We Saw That Day.","AnoHana: Die Blume, die Wir an Jenem Tag Sahen",anohana: The Flower We Saw that Day,Anohana: The Flower We Saw That Day,,,,
3,デッドマン・ワンダーランド,Deadman Wonderland,['TV'],12,Finished Airing,"Apr 17, 2011 to Jul 3, 2011",['Spring 2011'],Sundays at 01:00 (JST),"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC']",['Funimation'],['Manglobe'],['Manga'],"['Action', 'Sci-Fi', 'Supernatural', 'Suspense']","['Gore', 'High Stakes Game', 'Survival']",24 min. per ep.,R - 17+ (violence & profanity),7.13,#3741,#113,"1,276,155","6,957",701073,"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit. But Ganta's nightmare is only just beginning. The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland. [Written by MAL Rewrite]","['Adaptation (Manga) Deadman Wonderland', '']",Deadman Wonderland,DEADMAN WONDERLAND,,,,['Shounen'],,,
4,日常,Nichijou - My Ordinary Life,['TV'],26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",['Spring 2011'],Sundays at 02:20 (JST),"['Lantis', 'Kadokawa Shoten', 'Movic', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Animation Do']","['Funimation', 'Bandai Entertainment']",['Kyoto Animation'],['Manga'],,"['Gag Humor', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,8.47,#155,#194,"936,107","24,645",383712,"Nichijou primarily focuses on the daily antics of a trio of childhood friends—high school girls Mio Naganohara, Yuuko Aioi and Mai Minakami—whose stories soon intertwine with the young genius Hakase Shinonome, her robot caretaker Nano, and their talking cat Sakamoto. With every passing day, the lives of these six, as well as of the many people around them, experience both the calms of normal life and the insanity of the absurd. Walking to school, being bitten by a talking crow, spending time with friends, and watching the principal suplex a deer: they are all in a day's work in the extraordinary everyday lives of those in Nichijou. [Written by MAL Rewrite]","['Prequel (OVA) Nichijou: Nichijou no 0-wa', 'Adaptation (Manga) Nichijou']",Nichijou,Everyday,,,,['Shounen'],['Comedy'],,
5,銀魂',Gintama Season 2,['TV'],51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",['Spring 2011'],Mondays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","None found,",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,9.02,#9,#401,"580,886","8,343",246061,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child. Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it. With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo. [Written by MAL Rewrite]","['Prequel (TV) Gintama', ""Sequel (TV) Gintama': Enchousen"", 'Adaptation (Manga) Gintama', '']",Gintama',Gintama (2011),Gintama Staffel 2,Gintama Temporada 2,Gintama Saison 2,['Shounen'],,,
6,神のみぞ知るセカイ II,The World God Only Knows II,['TV'],12,Finished Airing,"Apr 12, 2011 to Jun 28, 2011",['Spring 2011'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'Geneon Universal Entertainment']",['Sentai Filmworks'],['Manglobe'],['Manga'],"['Comedy', 'Romance', 'Supernatural']","['Harem', 'Otaku Culture']",23 min. per ep.,PG-13 - Teens 13 or older,7.86,#902,#622,"399,728","1,022",245075,"Keima Katsuragi, the ""God of Conquest,"" returns to his quest of expelling runaway spirits that have possessed the hearts of women. Still stuck in his contract with the demon Elsie, he must continue to utilize the knowledge he has gained from mastering multitudes of dating simulators and chase out the phantoms that reside within by capturing the hearts of that which he hates most: three-dimensional girls. However, the God of Conquest has his work cut out for him. From exorcising karate practitioners and student teachers to the arrival of Elsie's best friend from Hell, he is up against a wide array of girls that will test his wit and may even take him by surprise. Though he would much rather stick to the world of 2D, he is trapped in lousy reality, and so Keima must trudge forward in his conquest of love. [Written by MAL Rewrite]","['Prequel (TV) Kami nomi zo Shiru Sekai', 'Sequel (OVA) Kami nomi zo Shiru Sekai: 4-nin to Idol', 'Adaptation (Manga) Kami nomi zo Shiru Sekai', '']",Kami nomi zo Shiru Sekai II,"Kami nomi zo Shiru Sekai 2, Kaminomi II, The World God Only Knows 2",,Kami nomi zo Shiru Sekai Temporada 2,,['Shounen'],,,
7,緋弾のアリア,Aria the Scarlet Ammo,['TV'],12,Finished Airing,"Apr 15, 2011 to Jul 1, 2011",['Spring 2011'],Fridays at 01:25 (JST),"['Media Factory', 'TBS', 'Magic Capsule', 'flying DOG']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.78,#5430,#653,"385,356",910,199309,"In response to the worsening crime rate, Japan creates Tokyo Butei High, an elite academy where ""Butei"" or armed detectives hone their deadly skills in hopes of becoming mercenary-like agents of justice. One particular Butei is Kinji Tooyama, an anti-social and curt sophomore dropout who was once a student of the combat-centric Assault Division. Kinji now lives a life of leisure studying logistics in order to cover up his powerful but embarrassing special ability. However, his peaceful days soon come to an end when he becomes the target of the infamous ""Butei Killer,"" and runs into an emotional hurricane and outspoken prodigy of the highest rank, Aria Holmes Kanzaki, who saves Kinji's life and demands that he become her partner after seeing what he is truly capable of. [Written by MAL Rewrite]","['Sequel (Special) Hidan no Aria: Butei ga Kitarite Onsen Kenshuu', 'Adaptation (Manga) Hidan no Aria', 'Adaptation (Light Novel) Hidan no Aria', '']",Hidan no Aria,Hidan no Aria,Aria the Scarlet Ammo,Aria the Scarlet Ammo,Aria the Scarlet Ammo,,,,
8,花咲くいろは,Hanasaku Iroha: Blossoms for Tomorrow,['TV'],26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",['Spring 2011'],Sundays at 22:00 (JST),"['Bandai Visual', 'Sotsu', 'Yomiuri Telecasting', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']","['NIS America, Inc.']",['P.A. Works'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,7.89,#839,#757,"338,922","2,586",131553,"Ohana Matsumae is an energetic and wild teenager residing in Tokyo with her carefree single mother. Abruptly, her mother decides to run away with her new boyfriend from debt collectors, forcing the young girl to fend for herself—as per her mother's ""rely only on yourself"" philosophy—in rural Japan, where her cold grandmother runs a small inn. Driven to adapt to the tranquil lifestyle of the countryside, Ohana experiences and deals with the challenges of working as a maid, as well as meeting and making friends with enthralling people at her new school and the inn. [Written by MAL Rewrite]","['Adaptation (Manga) Hanasaku Iroha', '']",Hanasaku Iroha,,,,,,['Drama'],['Workplace'],
9,「C」 THE MONEY OF SOUL AND POSSIBILITY CONTROL,[C] CONTROL - The Money and Soul of Possibility,['TV'],11,Finished Airing,"Apr 15, 2011 to Jun 24, 2011",['Spring 2011'],Fridays at 00:45 (JST),"['Dentsu', 'Fuji TV', 'TOHO', 'Sony Music Entertainment', 'Fujipacific Music']",['Funimation'],['Tatsunoko Production'],Original,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']","['High Stakes Game', 'Super Power']",22 min. per ep.,PG-13 - Teens 13 or older,7.15,#3640,#790,"326,319","1,330",151543,"Money is power, and without it, life is meaningless. In a country whose economy is in shambles, second-year economics university student Kimimaro Yoga understands this fact all too well, as he is surrounded by the relatively luxurious lives of his peers and struggling to make ends meet. However, his world is turned on its head when a stranger in a top hat arrives one late night at his door. Going by the name Masakaki, the visitor petitions Yoga to come to the Eastern Financial District, a place where money flows in abundance if one offers their ""future"" as collateral. Although reluctant, greed triumphs reason and Yoga accepts the offer, thus taking on the mantle of an Entre. But unbeknownst to him, the land of wealth he has entered is an alternate realm built in the likeness of his own, where Entres are forced to participate in weekly duels called Deals, with their collateral at stake. Pitted against his countrymen and fate, Yoga must quickly adapt in this new world if he hopes to protect his fortune and future—and discover just how much money is truly worth. [Written by MAL Rewrite]",[],C: The Money of Soul and Possibility Control,[C] The Money of Soul and Possibility Control,,,C-Control : The Money of Soul and Possibility,,,,
