,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Synonyms,Genre,German,Spanish,Demographics,French
38,火狩りの王,The Fire Hunter,['TV'],10,Finished Airing,"Jan 14, 2023 to Mar 18, 2023",['Winter 2023'],Saturdays at 22:30 (JST),"['Production I.G', 'WOWOW', 'flying DOG']","None found,",['Signal.MD'],['Light novel'],"['Adventure', 'Drama', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.33,#8089,#3404,"47,466",103,13562,"Human civilization no longer revolves around fire, but is instead now driven by fear of it. Repeated wars have changed human biology, and people now spontaneously combust when they get close to natural flame. However, a new source of energy prevents society from complete collapse: a stone-shaped material used to produce light and steam lies within the bodies of monsters that infest numerous forests. Those tasked with collecting this precious resource are called fire hunters. Touko, a young village girl, is saved from a forest monster by a fire hunter who perishes during his heroic action. After the hunter's dog, Kanata, heals from his own injury, the girl's family sends her to the capital in order to return Kanata and the hunter's fire sickle to his relatives. Elsewhere, the fire hunter's son, Koushi, and his sister are adopted by a wealthy family. Koushi learns some troubling facts related to the country's ruling royal family. He conducts secret research on a special fire stone found by his late father, kickstarting a race against time between the country's leaders and those trying to save mankind from its ultimate demise. [Written by MAL Rewrite]","['Sequel (TV) Hikari no Ou 2nd Season', 'Adaptation (Light Novel) Hikari no Ou']",Hikari no Ou,,,,,,,
39,ノケモノたちの夜,The Tale of Outcasts,['TV'],13,Finished Airing,"Jan 8, 2023 to Apr 2, 2023",['Winter 2023'],Sundays at 22:00 (JST),"['Pony Canyon', 'KlockWorx', 'Studio Mausu', 'Shogakukan', 'Crunchyroll', 'Yomiuri TV Enterprise']","None found,",['Ashi Productions'],['Manga'],"['Action', 'Fantasy']","['Anthropomorphic', 'Historical', 'Urban Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.61,#6429,#3400,"47,498",127,14052,"Wisteria is an orphan girl living in a corner of the British Empire at the end of the 19th century. Her life is desolate and bleak–until she encounters Marbas, a powerful but equally lonely immortal being with a furry appearance, hounded by hunters. Together, Wisteria and Marbas roam the Empire–populated by humans and human-like beasts–in search of a place where they can live together in peace. (Source: Seven Seas Entertainment)","['Adaptation (Manga) Nokemono-tachi no Yoru', '']",Nokemono-tachi no Yoru,,,,,,,
40,アルスの巨獣,Giant Beasts of Ars,['TV'],12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023",['Winter 2023'],Saturdays at 01:25 (JST),"['Mainichi Broadcasting System', 'Sentai Filmworks', 'bilibili', 'DMM.com', 'Bit grooove promotion', 'NetEase']","None found,",['Asahi Production'],Original,"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.04,#9735,#3446,"46,589",90,14542,"In the world of Ars, humans lead a decades-long war against giant beasts that ravage the lands and feed on their resources. Those tasked with fighting them are champions called nagimori, who utilize the destructive power of kannagi: beings gifted with uncontrollable magical powers. While mourning the death of his war partner, former nagimori Jiiro crosses paths with Kuumi, a young woman who has just awakened her magical powers. After the pair form a contract to save the city from a giant beast attack, Jiiro learns that Kuumi has escaped a laboratory and is being hunted by the underlings of Mezami, the head of the research facility. Reluctantly agreeing to help Kuumi flee from her pursuers, Jiiro starts traveling with his new partner and her friend Myaa, a young girl with a cat headdress. As the unlikely trio wanders the Arsian lands, top officials begin setting their plans into motion—and the group of adventurers soon discover that men are to be feared more than monsters. [Written by MAL Rewrite]",[],Ars no Kyojuu,,,,,,,
41,The Legend of Heroes 閃の軌跡 Northern War,The Legend of Heroes: Trails of Cold Steel - Northern War,['TV'],12,Finished Airing,"Jan 8, 2023 to Mar 26, 2023",['Winter 2023'],Sundays at 23:30 (JST),"['Nihon Falcom', 'Crunchyroll', 'NADA Holdings', 'USERJOY Technology']","None found,",['Tatsunoko Production'],Game,"['Action', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,5.64,#11656,#3798,"39,096",123,9802,"For many years following the North Ambrian Disaster, North Ambria has been known as the poorest region in Zemuria. After the state suffered a major loss due to the mysterious Salt Pale turning citizens and buildings into salt, the economy has never truly recovered. Out of necessity to secure foreign investment for the state, the former state military has turned into a group of mercenaries known as the Northern Jaegers. Wishing to join the largest group of mercenaries on the continent, Lavian ""Lavi"" Winslet, a promising rookie, enlists with the Northern Jaegers. Although she has only been with them for half a year, the reserved but capable Lavi Winslet is well respected by her peers. When Lavi and her team are tasked with gathering information regarding the Imperial Hero of Erebonia—a new threat to the state—she discovers that there may be more to the continent's intricate politics than meets the eye. [Written by MAL Rewrite]",[],The Legend of Heroes: Sen no Kiseki - Northern War,['Military'],Eiyuu Densetsu: Sen no Kiseki,,,,,
42,吸血鬼すぐ死ぬ2,The Vampire Dies in No Time Season 2,['TV'],12,Finished Airing,"Jan 9, 2023 to Mar 27, 2023",['Winter 2023'],Mondays at 23:00 (JST),"['Frontier Works', 'Marvelous Entertainment', 'Pony Canyon', 'Studio Mausu', 'Hakuhodo DY Music & Pictures', 'Akita Shoten', 'BS11', 'Kadokawa Media House']","None found,",['Madhouse'],['Manga'],"['Comedy', 'Fantasy']","['Adult Cast', 'Gag Humor', 'Urban Fantasy', 'Vampire']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.45,#2144,#3933,"36,244",122,13254,Second season of Kyuuketsuki Sugu Shinu.,"['Prequel (TV) Kyuuketsuki Sugu Shinu', 'Adaptation (Manga) Kyuuketsuki Sugu Shinu']",Kyuuketsuki Sugu Shinu 2,,KyuuShi,,,,,
43,ポケットモンスター めざせポケモンマスター,Pokémon: To Be a Pokémon Master,['TV'],11,Finished Airing,"Jan 13, 2023 to Mar 24, 2023",['Winter 2023'],Fridays at 18:55 (JST),['TV Tokyo'],['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.58,#1664,#4557,"26,778",133,12336,"By embracing challenges, learning from failures, overcoming obstacles, and beating the best in the world, Satoshi finally achieves his long-held dream. His adventurous spirit, however, still runs high as he continues to explore new regions, witness unfamiliar Pokémon, and forge unexpected friendships and rivalries. As the world opens its vast horizons to Satoshi, he once more encounters the people who helped shape his momentous path to success. A legendary journey nears its end just as an entirely new one is about to begin, with the bond between humans and Pokémon continuing forevermore. [Written by MAL Rewrite]","['Prequel (TV) Pokemon (2019)', '']",Pokemon: Mezase Pokemon Master,,Pokemon: Aim to Be a Pokemon Master,,,,,
44,もういっぽん！,"""Ippon"" again!",['TV'],13,Finished Airing,"Jan 9, 2023 to Apr 3, 2023",['Winter 2023'],Mondays at 01:35 (JST),"['TV Tokyo', 'Pony Canyon', 'Akita Shoten', 'MAGNET', 'CHOCOLATE', 'Three S Studio']",['Sentai Filmworks'],['Bakken Record'],['Manga'],,"['Combat Sports', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.09,#3940,#4684,"24,997",53,8427,"The happy-go-lucky Michi Sonoda announces to her teammate, Sanae Takigawa, that she will quit judo for good after her final middle school tournament. This leaves Sanae in disbelief; after all, it was Michi's passion toward the sport that reeled Sanae into judo in the first place. Michi claims that a well-spent youth should be associated with things such as getting a boyfriend rather than sweaty tatami mats. However, Michi's plan to end her fledgling judo career with a bang is spoiled after experiencing an embarrassing defeat at the hands of the talented Towa Hiura. Later, her plan is further derailed when she finds out that Towa has enrolled in the same high school as herself and Sanae. With the sudden appearance of her past foe, Michi may soon realize that she still has lingering feelings for the sport of judo. [Written by MAL Rewrite]","['Adaptation (Manga) Mou Ippon!', '']",Mou Ippon!,,,['Sports'],,,,
45,魔術士オーフェンはぐれ旅 アーバンラマ編,Sorcerous Stabber Orphen -Chaos in Urbanrama-,['TV'],12,Finished Airing,"Jan 18, 2023 to Apr 5, 2023",['Winter 2023'],Wednesdays at 20:30 (JST),"['WOWOW', 'Lantis', 'MediaNet', 'Bushiroad', 'BS Fuji', 'Nippon Television Network', 'Yomiuri TV Enterprise', 'TO Books', 'NetEase', 'Bandai Namco Music Live']","None found,",['Studio Deen'],['Light novel'],"['Action', 'Adventure', 'Drama', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.15,#9119,#5375,"17,752",60,3545,"After the events of Kimluck, Orphen is on a quest to find Azalie, only to find himself in a war in between celestial beings and humans.","['Prequel (TV) Majutsushi Orphen Hagure Tabi: Kimluck-hen', 'Sequel (TV) Majutsushi Orphen Hagure Tabi: Seiiki-hen', 'Adaptation (Light Novel) Majutsushi Orphen Hagure Tabi', '']",Majutsushi Orphen Hagure Tabi: Urbanrama-hen,['Martial Arts'],"Majutsushi Orphen Hagure Tabi 3rd Season, Sorcerous Stabber Orphen 3rd Season",,,,,
46,テクノロイド OVERMIND,,['TV'],12,Finished Airing,"Jan 5, 2023 to Mar 30, 2023",['Winter 2023'],Thursdays at 00:00 (JST),"['TV Tokyo', 'Sotsu', 'Avex Pictures', 'CyberAgent', 'LOGIC&MAGIC', 'CMI']","None found,",['Doga Kobo'],Mixed media,"['Mystery', 'Sci-Fi']","['Idols (Male)', 'Music']",,24 min. per ep.,PG-13 - Teens 13 or older,6.53,#6867,#5576,"16,099",82,3645,"Due to rising sea levels and a rapidly declining human population, androids have been engineered to perform most menial tasks, allowing humans to focus on other things. Aside from providing manual labor and customer service, androids also entertain humans through Babel—a tower where participants captivate audiences with song and dance to clear Climb Stages. The higher the climb, the more prize money is awarded. Androids Cobalt, Chrom, Neon, and Kei are down on their luck and about to have their electricity cut off from unpaid bills. Desperate to make a quick buck, the group decide to become Babel climbers. However, winning the audience's favor is a great challenge. Dejected but unwilling to give up, Cobalt resolves to somehow improve their chances after watching an impressive performance by STAND-ALONE—the top climber unit. When the group stumbles across a mysterious choreographer willing to give away his routine, Cobalt sees this as their only way up. With the help of their human companion, Esora Shibaura, the androids form the unit KNoCC to tackle the daunting climb to the top of Babel, but they must also overcome android-based discrimination along the way. [Written by MAL Rewrite]",[],Technoroid: Overmind,,,,,,,
47,D4DJ All Mix,,['TV'],12,Finished Airing,"Jan 13, 2023 to Mar 31, 2023",['Winter 2023'],Fridays at 23:00 (JST),"['Dentsu', 'Bushiroad', 'Tokyo MX', 'Bushiroad Music', 'Donuts', 'BS NTV', 'Bushiroad Move', 'Bushiroad Creative']","None found,",['SANZIGEN'],Mixed media,,"['Idols (Female)', 'Music', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,7.37,#2489,#5697,"15,272",135,5824,"Arisugawa Academy's DJ unit Lyrical Lily is known for bringing smiles to people's faces through music. Thanks to their efforts, the local city hall requests them to perform monthly for a year as part of Operation Beckoning Cat, the town revitalization project. Unfortunately, given the long and demanding event, Lyrical Lily wonders if they can successfully meet the expectations placed on them. To better their chances, they decide to invite the DJ units that supported them during their first performance: Happy Around, Photo Maiden, Peaky P-key, Rondo, and Merm4id. Intrigued by the opportune event, the other units gladly accept Lyrical Lily's request. However, the project is extremely demanding. To attract visitors and new residents to the town, the energetic girls of the participating DJ units must give their best to create a memorable experience for their audiences. [Written by MAL Rewrite]","['Prequel (TV) D4DJ First Mix', '']",D4DJ All Mix,,,,,,,
48,にじよんあにめーしょん,Nijiyon Animation,['TV'],12,Finished Airing,"Jan 6, 2023 to Mar 24, 2023",['Winter 2023'],Fridays at 21:54 (JST),"['Bushiroad', 'Kadokawa', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,",['Sunrise'],['4-koma manga'],,"['CGDCT', 'Idols (Female)']",,3 min. per ep.,PG-13 - Teens 13 or older,6.80,#5360,#6014,"13,280",44,5223,Short anime based on the 4-koma series illustrating the daily lives of the Nijigasaki High School Idol Club’s members.,"['Sequel (TV) Nijiyon Animation 2', 'Adaptation (Manga) Nijiyon: Love Live! Nijigasaki Gakuen School Idol Doukoukai Yonkoma']",Nijiyon Animation,,,['Comedy'],,,,
49,ひろがるスカイ！プリキュア,Soaring Sky! Pretty Cure,['TV'],50,Finished Airing,"Feb 5, 2023 to Jan 28, 2024",['Winter 2023'],Sundays at 08:30 (JST),"['ABC Animation', 'ADK Emotions']","None found,",['Toei Animation'],Original,,,,24 min. per ep.,G - All Ages,7.61,#1553,#6380,"11,405",158,3860,A major incident in peaceful Skyland?! The infant princess Ellee-chan has been kidnapped by a monster from the Undergu Empire! A brave girl named Sora follows the princess into a strange hole. It leads her to another world called Sorashido City. Televisions? Bicycles? Are these magical devices?!?! There's no time to be surprised! Sora has to take the princess back to the castle as soon as possible! Flying between two worlds! This is the beginning of a Precure adventure! It's hero time! (Source: Toei Animation USA),"['Adaptation (Manga) Hirogaru Sky! Precure: Precure Collection', '']",Hirogaru Sky! Precure,['Mahou Shoujo'],,['Action'],,,,
50,UniteUp!,,['TV'],12,Finished Airing,"Jan 7, 2023 to Apr 15, 2023",['Winter 2023'],Saturdays at 23:30 (JST),"['Aniplex', 'Sony Music Entertainment']",['Aniplex of America'],['CloverWorks'],Music,,"['Idols (Male)', 'Music']",,24 min. per ep.,PG-13 - Teens 13 or older,7.05,#4165,#6469,"11,054",99,3311,"Akira Kiyose, a high schooler who loves to sing, gets recruited by a talent agency called sMiLea Production. Akira learns that the legendary idols ""Anela,"" who shocked the world with their sudden retirement, are behind the agency developing talent. Together with Banri Naoe and Chihiro Isuzugawa, also recruited by the agency, they form an idol group as they chase their dream towards super stardom alongside other idol groups ""LEGIT"" and ""JAXX/JAXX."" (Source: Aniplex USA, edited)","['Sequel (TV) UniteUp! Uni:Birth', '']",UniteUp!,,,['Slice of Life'],,,,
51,僕とロボコ,Me & Roboco,['TV'],28,Finished Airing,"Dec 5, 2022 to Jun 19, 2023",['Winter 2023'],Mondays at 00:30 (JST),['Shueisha'],"None found,",['Gallop'],['Manga'],"['Comedy', 'Sci-Fi']","['Gag Humor', 'Parody']",['Shounen'],3 min. per ep.,PG-13 - Teens 13 or older,6.82,#5250,#7141,"8,721",30,2936,"Robotic OrderMaids are popping up in every household, and 10-year-old Bondo Taira has found out that his two closest friends—Motsuo and Gachi Gorilla—have OrderMaids too. Motsuo, in particular, owns Meico, a beautiful robot that gives excellent massages and serves drinks with a smile. Jealous of his friend, Bondo convinces his mother to get him an OrderMaid, hoping for a similar experience. However, to Bondo's surprise, the maid that appears outside of his door is incredibly muscular and clumsy enough to destroy a house when completing simple chores. Going by the name Roboko, this new robot is the exact opposite of what Bondo wanted. But despite that, Bondo, together with his friends, learns that there is more to Roboko than they could ever expect. [Written by MAL Rewrite]","['Adaptation (Manga) Boku to Roboko', '']",Boku to Roboko,,"Me and Roboco, Roboco and I",,,,,
52,カードファイト!! ヴァンガード will+Dress Season2,,['TV'],12,Finished Airing,"Jan 14, 2023 to Apr 1, 2023",['Winter 2023'],Saturdays at 08:00 (JST),['Bushiroad'],"None found,","['Kinema Citrus', 'GIFTanimation', 'Studio Jemi']",Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.70,#5919,#8716,"5,335",20,1417,"Yu-yu, Raika, and Touya were invited to America after their win in the “Deluxe” tournament in Japan, and went on a tour of exhibition matches. It was one blazing fight after another as their opponents were all top ranking fighters from Deluxe USA. Danji, who had arrived earlier in America to look into the background of the Deluxe tournament at Michiru’s behest, begins to suspect a connection with the case of the missing fighters. Meanwhile, a new force emerges in Japan, with their ideal of achieving the “Ultimate Fight” in cardfights. What is their goal of recruiting more and more fighters? This will eventually come to cast a shadow upon the future of Yu-yu and the rest of Blackout… (Source: cf-vanguard.com)","['Prequel (TV) Cardfight!! Vanguard: will+Dress', 'Sequel (TV) Cardfight!! Vanguard: will+Dress Season 3']",Cardfight!! Vanguard: will+Dress Season 2,['Strategy Game'],Cardfight!! Vanguard: Over Dress,['Action'],,,,
53,『FLAGLIA』～なつやすみの物語～,,['TV'],6,Finished Airing,"Jan 17, 2023 to Jan 31, 2023",['Winter 2023'],Tuesdays at 01:35 (JST),"None found,","None found,",['Gaina'],Mixed media,,,,13 min. per ep.,PG-13 - Teens 13 or older,5.16,#12982,#9102,"4,715",34,300,"Iko, a third grader, lives with his four older brothers in an old house in Tateyama. Iko's family has no parents, and according to his older brothers, their mother works in Tokyo. Despite being a bit eccentric, Iko loves his brothers, who take good care of him, but they have a secret: they are wizards who live almost forever... The story unfolds of a family's summer vacation in a seaside town, happily living together while being caught up in the world of wizards. (Source: Comic Natalie, translated)",[],Flaglia: Natsuyasumi no Monogatari,,Flaglia,['Fantasy'],,,,
54,KJファイル 第2期,KJ File 2nd Season,['TV'],13,Finished Airing,"Jan 9, 2023 to Apr 3, 2023",['Winter 2023'],Mondays at 02:35 (JST),['TV Tokyo'],"None found,","['ILCA', 'yell']",Original,"['Action', 'Sci-Fi']",,,4 min. per ep.,PG-13 - Teens 13 or older,5.25,#12799,#12070,"1,904",12,168,Sequel to KJ File.,"['Prequel (TV) KJ File', '']",KJ File 2nd Season,,KJ File Second Season,,,,,
55,夜廻り猫,,['TV'],15,Finished Airing,"Mar 21, 2023 to Mar 27, 2023",['Winter 2023'],Not scheduled once per week,"['Sotsu', 'NHK']","None found,",['Shogakukan Music & Digital Entertainment'],['Web manga'],,,,5 min. per ep.,PG-13 - Teens 13 or older,[],#16061,#15352,725,0,,The story of a cat who's drawn to the scent of tears and goes to those who are crying in an attempt to comfort or encourage them. (Source: Baka-Updates),"['Adaptation (Manga) Yomawari Neko', '']",Yomawari Neko,['Anthropomorphic'],,['Slice of Life'],,,,
56,ハートカクテル カラフル 春編,,['TV'],5,Finished Airing,"Mar 28, 2023 to Mar 29, 2023",['Winter 2023'],Not scheduled once per week,['NHK'],"None found,","None found,",['Manga'],,,['Seinen'],5 min. per ep.,PG-13 - Teens 13 or older,[],#21096,#20831,237,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Heart Cocktail Colorful: Natsu-hen', '']",Heart Cocktail Colorful: Haru-hen,,Heart Cocktail Colorful: Spring Chapter,['Romance'],,,,
57,출동! 슈퍼윙스7,Super Wings 7,['TV'],40,Finished Airing,"Feb 27, 2023 to Jul 11, 2023",['Winter 2023'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#19996,#22567,150,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Chuldong! Super Wings 6', '']",Chuldong! Super Wings 7,['Racing'],,['Adventure'],,,,
58,린다의 신기한 여행 2,The Curious World of Linda 2,['TV'],8,Finished Airing,"Dec 25, 2022 to Sep 2, 2023",['Winter 2023'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],14 min. per ep.,PG - Children,[],#17336,#23208,128,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Lindaui Singihan Yeohaeng', '']",Lindaui Singihan Yeohaeng 2,,,['Adventure'],,,,
59,크리켓팡 시즌2,,['TV'],13,Finished Airing,"Jan 13, 2023 to Sep 15, 2023",['Winter 2023'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],Unknown,PG - Children,[],#20070,#23235,128,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Cricket Pang', '']",Cricket Pang Season 2,,,['Comedy'],,,,
60,뿡뿡빵빵 부부맨,,['TV'],26,Finished Airing,"Feb 27, 2023 to May 23, 2023",['Winter 2023'],Unknown,['CJ ENM'],"None found,","None found,",Original,,,['Kids'],11 min. per ep.,G - All Ages,[],#18661,#23472,122,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ppungppungppangppang Bubumaen,['Super Power'],,['Comedy'],,,,
61,내 친구 반인반어,,['TV'],13,Finished Airing,"Dec 28, 2022 to Mar 22, 2023",['Winter 2023'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],12 min. per ep.,PG - Children,[],#18038,#23594,119,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Nae Chingu Baninbaneo,['Super Power'],"My Friend, Halfboyhalffish",,,,,
62,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,493,202","234,368",1417570,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,OP,,,,,
63,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9912,#208,"894,807","7,372",456693,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,['Martial Arts'],,,,,,
64,ブルーロック,Blue Lock,['TV'],24,Finished Airing,"Oct 9, 2022 to Mar 26, 2023",['Fall 2022'],Sundays at 01:30 (JST),"['TV Asahi', 'Lantis', 'Kodansha', ""Toy's Factory"", 'Crunchyroll', 'Bandai Spirits', 'Bit grooove promotion', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,",['8bit'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.20,#396,#265,"786,513","13,632",424489,"Yoichi Isagi was mere moments away from scoring a goal that would have sent his high school soccer team to the nationals, but a split-second decision to pass the ball to his teammate cost him that reality. Bitter, confused, and disappointed, Isagi wonders if the outcome would have been different had he not made the pass. When the young striker returns home, an invitation from the Japan Football Union awaits him. Through an arbitrary and biased decision-making process, Isagi is one of three hundred U-18 strikers selected for a controversial project named Blue Lock. The project's ultimate goal is to turn one of the selected players into the star striker for the Japanese national team. To find the best participant, each diamond in the rough must compete against others through a series of solo and team competitions to rise to the top. Putting aside his ethical objections to the project, Isagi feels compelled to fight his way to the top, even if it means ruthlessly crushing the dreams of 299 aspiring young strikers. [Written by MAL Rewrite]","['Sequel (TV) Blue Lock vs. U-20 Japan', 'Adaptation (Novel) Shousetsu Blue Lock', 'Adaptation (Manga) Blue Lock', '']",Blue Lock,['Team Sports'],,['Sports'],,,,
65,陰の実力者になりたくて！,The Eminence in Shadow,['TV'],20,Finished Airing,"Oct 5, 2022 to Feb 15, 2023",['Fall 2022'],Wednesdays at 22:30 (JST),"['AT-X', 'BS NTV', 'Kadokawa', 'NewGin', 'Aiming']",['Sentai Filmworks'],['Nexus'],['Light novel'],"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",,23 min. per ep.,R - 17+ (violence & profanity),8.26,#321,#287,"750,744","16,666",401111,"For as long as he can remember, Minoru Kagenou has been fixated on becoming as strong as possible, which has led him to undertake all kinds of rigorous training. This wish, however, does not stem from a desire to be recognized by others; rather, Minoru does everything he can to blend in with the crowd. So, while pretending to be a completely average student during the day, he arms himself with a crowbar and ruthlessly thrashes local biker gangs at night. Yet when Minoru finds himself in a truck accident, his ambitions seemingly come to a sudden end. In his final moments, he laments his powerlessness—no matter how much he trained, there was nothing he could do to overcome his human limitations. But instead of dying, Minoru reawakens as Cid, the second child of the noble Kagenou family, in another world—one where magic is commonplace. With the power he so desired finally within his grasp, he dons the moniker ""Shadow"" and establishes Shadow Garden: a group whose sole purpose is to combat the enigmatic Cult of Diablos, an organization born from Cid's imagination. However, as Shadow Garden grows in both membership and influence, it becomes increasingly apparent that the Cult of Diablos is not as fictional as Cid had intended. [Written by MAL Rewrite]","['Sequel (TV) Kage no Jitsuryokusha ni Naritakute! 2nd Season', 'Adaptation (Manga) Kage no Jitsuryokusha ni Naritakute!', 'Adaptation (Light Novel) Kage no Jitsuryokusha ni Naritakute!', '']",Kage no Jitsuryokusha ni Naritakute!,,Shadow Garden,,,,,
66,僕のヒーローアカデミア,My Hero Academia Season 6,['TV'],25,Finished Airing,"Oct 1, 2022 to Mar 25, 2023",['Fall 2022'],Saturdays at 17:30 (JST),"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']","None found,",['Bones'],['Manga'],,"['School', 'Super Power']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.24,#344,#293,"722,986","7,276",358129,"With Tomura Shigaraki at its helm, the former Liberation Army is now known as the Paranormal Liberation Front. This organized criminal group poses an immense threat to the Hero Association, not only because of its sheer size and strength, but also the overpowering quirks of Jin ""Twice"" Bubaigawara and Gigantomachia. As new intel from the covert hero Keigo ""Hawks"" Takami confirms that Shigaraki is nowhere to be seen, the Hero Association decides to strike the enemy headquarters with a surprise attack using the entirety of its assets—and the UA students find themselves on the battlefield once again. As the fight rages on, the unsuspecting villains must regroup and push back, but the brave heroes are determined to eradicate every last one of them. [Written by MAL Rewrite]","['Prequel (TV) Boku no Hero Academia 5th Season', 'Sequel (TV) Boku no Hero Academia 7th Season', 'Adaptation (Manga) Boku no Hero Academia', '']",Boku no Hero Academia 6th Season,,My Hero Academia 6,['Action'],,,,
