,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Genre,German,Spanish,French,Demographics
0,"Classroom of the Elite 2nd Season, You-jitsu 2nd Season, You-zitsu 2nd Season",ようこそ実力至上主義の教室へ 2nd Season,Classroom of the Elite II,['TV'],13,Finished Airing,"Jul 4, 2022 to Sep 26, 2022",['Summer 2022'],Mondays at 21:00 (JST),"['Studio Hibari', 'Movic', 'AT-X', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Music Live']","None found,",['Lerche'],['Light novel'],"['Drama', 'Suspense']","['Psychological', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,8.08,#548,#300,"713,915","8,360",408234,"Life back on the cruise following the Island Special Examination is anything but smooth sailing. Almost immediately after their return, the first-year students of Tokyo Metropolitan Advanced Nurturing High School face yet another special exam, with both class and individual points on the line. In addition to the complicated ruleset, more issues arise in the form of Kakeru Ryuuen and Kei Karuizawa. Angered by the previous test's outcome, Ryuuen is dead set on outdoing every class in the new challenge using any means necessary. Meanwhile, Karuizawa, a crucial pillar of Class D, is close to crumbling under the pressure of her past. The stage is now set for Kiyotaka Ayanokouji to once again—using the full extent of his planning, foresight, and ruthless manipulation—steer Class D to victory as dangerously close enemy forces try to bring it down. [Written by MAL Rewrite]","['Prequel (TV) Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Sequel (TV) Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season', 'Adaptation (Manga) Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Adaptation (Light Novel) Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e']",Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,,,,,,,
1,,よふかしのうた,Call of the Night,['TV'],13,Finished Airing,"Jul 8, 2022 to Sep 30, 2022",['Summer 2022'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Animax', 'Fuji TV', 'Ultra Super Pictures', 'Shogakukan', 'Fuji Creative', 'Tohan Corporation']",['Sentai Filmworks'],['LIDENFILMS'],['Manga'],"['Romance', 'Supernatural']",,22 min. per ep.,PG-13 - Teens 13 or older,7.95,#740,#342,"657,465","8,767",289948,"Kou Yamori is an average middle school student who struggles with grasping the complex concept of love. Because he sees little sense in surrendering to the norm, he soon stops going to school. Plagued with insomnia due to his idleness, Kou begins roaming the lonesome streets at night. One night, Kou encounters a bizarre girl named Nazuna Nanakusa who believes that people stay awake during the night because they are dissatisfied with how they spent their day and cannot rest until they release their inhibitions. Nazuna offers to help Kou with his sleep issues and invites him over to her place, where she convinces him to share a futon with her. Feeling uncomfortable, Kou only pretends to doze off—which is when Nazuna suddenly bites his neck, revealing herself to be a vampire! While Kou thinks the bite will turn him into a vampire, the specifics of transforming are not that simple. In order to change, he must be bitten by someone he truly loves. Ready to let go of his dreary mortal life, Kou decides on a new goal: he will fall in love with Nazuna and become a vampire himself. [Written by MAL Rewrite]","['Sequel (TV) Yofukashi no Uta 2nd Season', 'Adaptation (Manga) Yofukashi no Uta']",Yofukashi no Uta,['Vampire'],['Shounen'],,,,,
2,,オーバーロード IV,Overlord IV,['TV'],13,Finished Airing,"Jul 5, 2022 to Sep 27, 2022",['Summer 2022'],Tuesdays at 22:00 (JST),"['AT-X', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']","None found,",['Madhouse'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,R - 17+ (violence & profanity),8.07,#571,#400,"580,649","7,315",291098,"E-Rantel, the capital city of the newly established Sorcerer Kingdom, suffers from a dire shortage of goods. Once a prosperous city known for its trade, it now faces a crisis due to its caution—or even fear—of its king, Ainz Ooal Gown. To make amends, Ainz sends Albedo to the city as a diplomatic envoy. Meanwhile, the cardinals of the Slane Theocracy discuss how to retaliate against Ainz after his attack crippled the Re-Estize Kingdom's army, plotting for the Baharuth Empire to take over the Sorcerer Kingdom. However, when Emperor Jircniv Rune Farlord El Nix arranges a meeting with the Theocracy's messengers at a colosseum, he is confronted by none other than Ainz himself. With their secret gathering now out in the open, the emperor and his guests learn that Ainz has challenged the Warrior King, the empire's greatest fighter, to a duel. With Ainz's motivations beyond his comprehension, Jircniv can do nothing but watch as humanity's future changes before his very eyes. [Written by MAL Rewrite]","['Prequel (TV) Overlord III', 'Adaptation (Manga) Overlord', 'Adaptation (Manga) Overlord: ""Shin"" Sekai-hen', 'Adaptation (Light Novel) Overlord']",Overlord IV,['Isekai'],,,,,,
3,LycoReco,リコリス・リコイル,Lycoris Recoil,['TV'],13,Finished Airing,"Jul 2, 2022 to Sep 24, 2022",['Summer 2022'],Saturdays at 23:30 (JST),"['Aniplex', 'BS11', 'ABC Animation']",['Aniplex of America'],['A-1 Pictures'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,8.15,#462,#437,"540,345","9,077",262533,"The number of terrorist acts in Japan has never been lower, thanks to the efforts of a syndicate called Direct Attack (DA). The organization raises orphaned girls as killers to carry out assassinations under their ""Lycoris"" program. Takina Inoue is an exceptional Lycoris with a strong sense of purpose and a penchant for perfection. Unfortunately, a hostage situation tests her patience, and the resulting act of insubordination leads to her transfer out of DA. Not thrilled about losing the only place she belonged to, she reluctantly arrives at her new base of operations—LycoReco, a cafe in disguise. Takina's new partner, however, turns out to be quite different from what she imagined. Despite being the famed Lycoris prodigy, Chisato Nishikigi appears almost unconcerned with her duties. She drags Takina along on all kinds of odd jobs under the simple explanation of helping people in need. Takina is even more puzzled when Chisato takes down a group of armed assailants without killing any of them. Feeling like a fish out of water, Takina itches to get reinstated into DA—but Chisato is determined to prove to her that there is more to a life than just taking them. [Written by MAL Rewrite]","['Adaptation (Manga) Lycoris Recoil', '']",Lycoris Recoil,,,['Action'],,,,
4,"The Devil is a Part-Timer! 2nd Season, The Devil is a Part-Timer!!, Hataraku Maou-sama 2",はたらく魔王さま！！,The Devil is a Part-Timer! Season 2,['TV'],12,Finished Airing,"Jul 14, 2022 to Sep 29, 2022",['Summer 2022'],Thursdays at 23:30 (JST),"['Sotsu', 'Movic', 'KlockWorx', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Infinite', 'BS11', 'Kadokawa', 'Bandai Namco Music Live', 'Happinet Phantom Studios']","None found,",['Studio 3Hz'],['Light novel'],"['Comedy', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,6.65,#6199,#476,"501,453","4,751",161770,"The once-feared Demon Lord Satan of Ente Isla, who had to flee to Earth after being defeated by the hero Emilia Justinia, is now leading a peaceful life in Tokyo under the alias Sadao Maou. Having become a model employee of a local fast-food restaurant, Sadao has to provide for his former generals Alciel and Lucifer who joined him in Japan, as well as avoid confrontations with Emi Yusa—the assumed name of Emilia—and the angels who monitor his actions. Amidst a violent argument between Sadao and Emi, a dimensional portal suddenly appears, carrying a mysterious apple that harbors a toddler named Alas Ramus. To everyone's bewilderment, she imprints on Emi and Sadao, marking them as her parents! After Emi reluctantly agrees to help Sadao take care of Alas Ramus, their semblance of normal life is jeopardized by the appearance of the archangel Gabriel, who comes bearing bad news. He claims that he must take both Alas Ramus and Emi's sacred sword with him—lest the world be destroyed. Unable to accept Gabriel's grim prophecies, the hero and the former Demon Lord need to put their differences aside and unite to protect what they hold dearest. [Written by MAL Rewrite]","['Prequel (TV) Hataraku Maou-sama!', 'Sequel (TV) Hataraku Maou-sama!! 2nd Season', 'Adaptation (Manga) Hataraku Maou-sama!', 'Adaptation (Light Novel) Hataraku Maou-sama!']",Hataraku Maou-sama!!,,,,,,,
5,,メイドインアビス 烈日の黄金郷,Made in Abyss: The Golden City of the Scorching Sun,['TV'],12,Finished Airing,"Jul 6, 2022 to Sep 28, 2022",['Summer 2022'],Wednesdays at 22:30 (JST),"['AT-X', 'Takeshobo', 'Kadokawa Media House', 'Cygames', 'Kadokawa', 'Global Solutions', 'Sony Music Solutions', 'IRMA LA DOUCE']",['Sentai Filmworks'],['Kinema Citrus'],['Web manga'],"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",,25 min. per ep.,R - 17+ (violence & profanity),8.61,#96,#489,"488,048","6,509",228408,"After surviving the brutal challenges of Idofront, Riko now possesses a White Whistle, allowing her to descend into the Abyss's sixth layer—The Capital of the Unreturned. Alongside Reg and Nanachi, Riko begins to explore the uncharted domain, where the ruins of the promised Golden City are located. As the trio starts to adapt to the harsh environment, they soon encounter dangerous creatures and treacherous landscapes. Their expedition leads them to a village inhabited by strange beings known as ""hollows."" Despite the creeping sense of unease that welcomes them, the three venture onward to uncover the mysteries of the settlement and long-lost legacies of the forgotten adventurers who once descended into the horrors of the unexplored Abyss. [Written by MAL Rewrite]","['Prequel (Movie) Made in Abyss Movie 3: Fukaki Tamashii no Reimei', 'Sequel (Unknown) Made in Abyss: Retsujitsu no Ougonkyou (Zoku-hen)', 'Adaptation (Manga) Made in Abyss', '']",Made in Abyss: Retsujitsu no Ougonkyou,['Gore'],,,,,,
6,Kanokari,彼女、お借りします,Rent-a-Girlfriend Season 2,['TV'],12,Finished Airing,"Jul 2, 2022 to Sep 17, 2022",['Summer 2022'],Saturdays at 01:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures', 'DMM Music']",['Crunchyroll'],['TMS Entertainment'],['Manga'],"['Comedy', 'Romance']","['Adult Cast', 'Harem']",24 min. per ep.,PG-13 - Teens 13 or older,6.78,#5441,#546,"445,397","4,883",178863,"A year after they met, Kazuya Kinoshita and Chizuru Mizuhara still regularly see each other through the rental girlfriend app. However, Chizuru confesses that she is ready to quit her job to pursue her true passion—acting. Despite wishing to maintain the relationship they have, Kazuya decides to support her dream. When Kazuya goes to watch Chizuru's anticipated first play, he is amazed by her talent and ability to captivate the audience. At the same time, he is saddened at the thought that she will undoubtedly be scouted by the famous director in attendance. However, after the show, Chizuru explains that the director recruited another actress, lamenting her lack of talent. Frustrated on her behalf, Kazuya resolves to rent her every week to help her financially. But as Kazuya's ex-girlfriend Mami Nanami lingers around for unknown reasons, hesitance muddles his true feelings, and fulfilling his promise to Chizuru becomes uncertain. [Written by MAL Rewrite]","['Prequel (TV) Kanojo, Okarishimasu', 'Sequel (TV) Kanojo, Okarishimasu 3rd Season', 'Adaptation (Manga) Kanojo, Okarishimasu', '']","Kanojo, Okarishimasu 2nd Season",,['Shounen'],,,,,
7,"Isekai Uncle, Ojisan in Another World",異世界おじさん,Uncle from Another World,['TV'],13,Finished Airing,"Jul 6, 2022 to Mar 8, 2023",['Summer 2022'],Wednesdays at 22:00 (JST),"['Movic', 'AT-X', 'Sammy', 'BS11', 'Kadokawa Media House', 'Kadokawa']","None found,",['Atelier Pontdarc'],['Web manga'],"['Comedy', 'Fantasy']","['Adult Cast', 'Isekai', 'Otaku Culture', 'Parody']",24 min. per ep.,PG-13 - Teens 13 or older,7.77,#1105,#645,"389,582","2,168",178398,"After a fatal encounter with a truck, Takafumi Takaoka's uncle, Yousuke ""Ojisan"" Shibazaki, lies comatose for 17 years. When he finally regains consciousness, Ojisan begins to ramble in a foreign tongue and reveals that he had been transported to a magical world called Gran Bahamal. Takafumi dismisses his uncle's claims as nonsense until an incantation makes a cup of water hover in the air. In a flash of brilliance, the pair creates a YouTube channel to showcase Ojisan's magical abilities. The responsibility now falls on Takafumi's shoulders to acquaint Ojisan with everything that has transpired during his absence, including getting him up to speed with the internet, new technology, and surprisingly, the outcome of the '90s console war—the result of which was especially distressing for a hardcore SEGA fan. With Ojisan's wisdom from his other world experiences, they grow their YouTube channel and tackle online comments and trolls. The journey of this uncle-nephew duo promises to be anything but conventional. [Written by MAL Rewrite]","['Adaptation (Manga) Isekai Ojisan', '']",Isekai Ojisan,,,,,,,
8,"DanMachi 4th Season, Is It Wrong That I Want to Meet You in a Dungeon 4th Season",ダンジョンに出会いを求めるのは間違っているだろうかⅣ 新章 迷宮篇,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,['TV'],11,Finished Airing,"Jul 23, 2022 to Oct 1, 2022",['Summer 2022'],Saturdays at 01:05 (JST),"['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'Hakuhodo DY Music & Pictures', 'Egg Firm', 'FuRyu', 'GREE', 'SB Creative']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,R - 17+ (violence & profanity),7.74,#1180,#672,"374,428","2,119",160071,"Intrepid adventurer Bell Cranel has leveled up, but he can’t rest on his dungeoneering laurels just yet. The Hestia Familia still has a long way to go before it can stand toe-to-toe with the other Familias of Orario — but before Bell can set out on his next mission, reports of a brutal murder rock the adventuring community! One of Bell’s trusted allies stands accused of the horrible crime, and it’s up to Bell and his friends to clear their name and uncover a nefarious plot brewing in the dungeon’s dark depths. (Source: Sentai Filmworks)","['Prequel (TV) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III', 'Sequel (TV) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen', 'Adaptation (Manga) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Adaptation (Manga) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II']",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,,,,,,,
9,"My Stepsister is My Ex-Girlfriend, Tsurekano",継母の連れ子が元カノだった,My Stepmom's Daughter Is My Ex,['TV'],12,Finished Airing,"Jul 6, 2022 to Sep 21, 2022",['Summer 2022'],Wednesdays at 21:00 (JST),"['Sotsu', 'Pony Canyon', 'Movic', 'AT-X', 'KlockWorx', 'Asmik Ace', 'BS Fuji', 'DMM pictures', 'BS NTV', 'Kadokawa', 'Yomiuri Shimbun', 'APDREAM', 'Bit grooove promotion', 'Happinet Phantom Studios', 'Bergamo']","None found,",['Project No.9'],['Light novel'],"['Comedy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,6.73,#5706,#824,"313,535","1,575",144688,"Listless geek Mizuto Irido and introverted nerd Yume Ayai seemed like a match made in heaven, connected by their mutual love for literature. Unfortunately, their differences gradually grew, and they separated just after their middle school graduation. But, as if by divine comedy, the two find themselves reunited as step-siblings. A rivalry begins to brew between the former couple, both unwilling to acknowledge the other as the older sibling. In an attempt to ""solve"" this issue, Mizuto and Yume agree upon a rule: whoever crosses the boundaries of siblinghood norms loses, and the winner will not only be called the older sibling, but also get to make a request. However, now that they live under the same roof, the lingering memories they share start to influence their actions—possibly rekindling the feelings that may not have been fully extinguished in the first place. [Written by MAL Rewrite]","['Adaptation (Manga) Mamahaha no Tsurego ga Motokano datta', 'Adaptation (Light Novel) Mamahaha no Tsurego ga Motokano datta']",Mamahaha no Tsurego ga Motokano datta,,,,,,,
