,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Theme,Demographic,Demographics
0,アナザー,Another,['TV'],12,Finished Airing,"Jan 10, 2012 to Mar 27, 2012",['Winter 2012'],Unknown,"['Lantis', 'Kadokawa Shoten', 'TOHO', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo']",['Sentai Filmworks'],['P.A. Works'],Novel,"['Horror', 'Mystery']","['Gore', 'School']",24 min. per ep.,R - 17+ (violence & profanity),7.47,#2056,#60,"1,719,804","18,065",1020387,"In class 3-3 of Yomiyama North Junior High, transfer student Kouichi Sakakibara makes his return after taking a sick leave for the first month of school. Among his new classmates, he is inexplicably drawn toward Mei Misaki—a reserved girl with an eyepatch whom he met in the hospital during his absence. But none of his classmates acknowledge her existence; they warn him not to acquaint himself with things that do not exist. Against their words of caution, Kouichi befriends Mei—soon learning of the sinister truth behind his friends' apprehension. The ominous rumors revolve around a former student of the class 3-3. However, no one will share the full details of the grim event with Kouichi. Engrossed in the curse that plagues his class, Kouichi sets out to discover its connection to his new friend. As a series of tragedies arise around them, it is now up to Kouichi, Mei, and their classmates to unravel the eerie mystery—but doing so will come at a hefty price. [Written by MAL Rewrite]","['Prequel (OVA) Another: The Other - Inga', 'Adaptation (Manga) Another Read Manga', 'Adaptation (Novel) Another', '']",Another,,,,,,,,
1,ハイスクールD×D,High School DxD,['TV'],12,Finished Airing,"Jan 6, 2012 to Mar 23, 2012",['Winter 2012'],Fridays at 11:00 (JST),"['Genco', 'Lantis', 'Media Factory', 'AT-X', 'Showgate', 'Atelier Musa', 'Fujimi Shobo']",['Funimation'],['TNK'],['Light novel'],"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'Mythology', 'School']",24 min. per ep.,R+ - Mild Nudity,7.32,#2725,#89,"1,479,053","22,861",928046,"High school student Issei Hyoudou is your run-of-the-mill pervert who does nothing productive with his life, peeping on women and dreaming of having his own harem one day. Things seem to be looking up for Issei when a beautiful girl asks him out on a date, although she turns out to be a fallen angel who brutally kills him! However, he gets a second chance at life when beautiful senior student Rias Gremory, who is a top-class devil, revives him as her servant, recruiting Issei into the ranks of the school's Occult Research club. Slowly adjusting to his new life, Issei must train and fight in order to survive in the violent world of angels and devils. Each new adventure leads to many hilarious (and risqué) moments with his new comrades, all the while keeping his new life a secret from his friends and family in High School DxD! [Written by MAL Rewrite]","['Sequel (OVA) High School DxD OVA', 'Adaptation (Manga) High School DxD', 'Adaptation (Manga) High School DxD: Akuma no Oshigoto', 'Adaptation (Light Novel) High School DxD Read Manga']",High School DxD,Highschool DxD,Highschool DxD,,,,,,
2,男子高校生の日常,Daily Lives of High School Boys,['TV'],12,Finished Airing,"Jan 10, 2012 to Mar 27, 2012",['Winter 2012'],Tuesdays at 02:00 (JST),"['TV Tokyo', 'Square Enix', 'Trinity Sound', 'Happinet Pictures']","['NIS America, Inc.']",['Sunrise'],['Web manga'],,"['Gag Humor', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.23,#364,#230,"852,449","14,583",427593,"Roaming the halls of the all-boys Sanada North High School are three close comrades: the eccentric ringleader with a hyperactive imagination Hidenori, the passionate Yoshitake, and the rational and prudent Tadakuni. Their lives are filled with giant robots, true love, and intense drama... in their colorful imaginations, at least. In reality, they are just an everyday trio of ordinary guys trying to pass the time, but who said everyday life couldn't be interesting? Whether it's an intricate RPG reenactment or an unexpected romantic encounter on the riverbank at sunset, Danshi Koukousei no Nichijou is rife with bizarre yet hilariously relatable situations that are anything but mundane. [Written by MAL Rewrite]","['Adaptation (Manga) Danshi Koukousei no Nichijou', '']",Danshi Koukousei no Nichijou,,Daily Lives of High School Boys,Daily Lives of High School Boys,Daily Lives of High School Boys,['Comedy'],,,
3,偽物語,Nisemonogatari,['TV'],11,Finished Airing,"Jan 8, 2012 to Mar 18, 2012",['Winter 2012'],Sundays at 00:00 (JST),"['Aniplex', 'Kodansha', 'Rakuonsha']",['Aniplex of America'],['Shaft'],['Light novel'],"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",,25 min. per ep.,R - 17+ (violence & profanity),8.13,#485,#287,"751,461","3,924",442278,"Koyomi Araragi has recently survived a vampire attack and met several girls plagued by supernatural entities. On top of all this, he wakes up one morning to find himself kidnapped and tied up by his girlfriend Hitagi Senjougahara. Araragi's sister Karen has run afoul of Deishuu Kaiki, a swindler who once conned Senjougahara's family. As a result, Senjougahara has imprisoned Araragi to keep him safe from the devious Kaiki. But when Araragi receives a frantic message from Karen, he sets out to rescue her. Along with Karen's troubles, Tsukihi, Araragi's other server, faces issues of her own. And when two mysterious women step into their lives, not even Araragi can anticipate their true goals, nor the catastrophic truths about his family soon to be revealed. [Written by MAL Rewrite]","['Prequel (TV) Bakemonogatari', 'Sequel (TV) Monogatari Series: Second Season', 'Adaptation (Manga) Bakemonogatari Read Manga', 'Adaptation (Light Novel) Monogatari Series: First Season Read Manga']",Nisemonogatari,Impostory,,,,,,,
4,妖狐×僕SS,Inu X Boku Secret Service,['TV'],12,Finished Airing,"Jan 13, 2012 to Mar 30, 2012",['Winter 2012'],Fridays at Unknown,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic']",['Sentai Filmworks'],['David Production'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.36,#2559,#460,"515,707","3,275",240076,"Ririchiyo Shirakiin is the sheltered daughter of a renowned family. With her petite build and wealthy status, Ririchiyo has been a protected and dependent girl her entire life, but now she has decided to change all that. However, there is just one problem—the young girl has a sharp tongue she can't control, and terrible communication skills. With some help from a childhood friend, Ririchiyo takes up residence in Maison de Ayakashi, a secluded high-security apartment complex that, as the unsociable 15-year-old soon discovers, is home to a host of bizarre individuals. Furthermore, their quirky personalities are not the strangest things about them: each inhabitant of the Maison de Ayakashi, including Ririchiyo, is actually half-human, half-youkai. But Ririchiyo's troubles have only just begun. As a requirement of staying in her new home, she must be accompanied by a Secret Service agent. Ririchiyo's new partner, Soushi Miketsukami, is handsome, quiet... but ridiculously clingy and creepily submissive. With Soushi, her new supernatural neighbors, and the beginning of high school, Ririchiyo definitely seems to have a difficult path ahead of her. [Written by MAL Rewrite]","['Sequel (Special) Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto', 'Adaptation (Manga) Inu x Boku SS']",Inu x Boku SS,Youko x Boku SS,Inu X Boku Secret Service,Inu × Boku Secret Service,Inu X Boku Secret Service,,['Mythology'],['Shounen'],
5,ゼロの使い魔F,The Familiar of Zero F,['TV'],12,Finished Airing,"Jan 7, 2012 to Mar 24, 2012",['Winter 2012'],Saturdays at 08:30 (JST),"['Cospa', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.42,#2281,#565,"433,192","1,207",248194,"Saito Hiraga and Louise Françoise Le Blanc de La Vallière go on the offensive after the events of Zero no Tsukaima: Princesses no Rondo. Together, they face off against King Joseph in the Holy City of Romalia with the help of two others who control the power of the ""void."" But in the midst of the many conflicts ahead of them, an ancient evil begins to stir in the shadows. Will their close bonds blossom into something more or will they be shattered through the ever increasing difficulty of the tasks that they must undertake? Zero no Tsukaima F follows the story of Louise and Saito as they face their final challenges together. [Written by MAL Rewrite]","['Prequel (TV) Zero no Tsukaima: Princesses no Rondo', 'Adaptation (Manga) Zero no Tsukaima', 'Adaptation (Manga) Zero no Tsukaima Chevalier', 'Adaptation (Light Novel) Zero no Tsukaima']",Zero no Tsukaima F,"Zero no Tsukaima Final Series, Zero's Familiar Final Series, Zero no Tsukaima S4",The Familiar of Zero F,The Familiar of Zero F,The Familiar of Zero F,,,,
6,あの夏で待ってる,Waiting in the Summer,['TV'],12,Finished Airing,"Jan 10, 2012 to Mar 27, 2012",['Winter 2012'],Tuesdays at 01:30 (JST),"['Geneon Universal Entertainment', 'Genco', 'AT-X', 'Bushiroad', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],Original,"['Drama', 'Romance', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.40,#2358,#628,"397,338","2,065",184210,"While testing out his camera on a bridge one summer night, Kaito Kirishima sees a blue light streaking across the sky, only to be blown off the railing seconds later. Just before succumbing to unconsciousness, a hand reaches down to grab ahold of his own. Dazed and confused, Kaito wakes up the next morning wondering how he ended up back in his own room with no apparent injuries or any recollection of the night before. As he proceeds with his normal school life, Kaito and his friends discuss what to do with his camera, finally deciding to make a film with it over their upcoming summer break. Noticing that Kaito has an interest in the new upperclassmen Ichika Takatsuki, his friend Tetsurou Ishigaki decides to invite her, as well as her friend Remon Yamano, to join them in their movie project. In what becomes one of the most entertaining and exciting summers of their lives, Kaito and his friends find that their time spent together is not just about creating a film, but something much more meaningful that will force them to confront their true feelings and each other. [Written by MAL Rewrite]","['Sequel (Special) Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.', 'Adaptation (Manga) Ano Natsu de Matteru', 'Adaptation (Light Novel) Ano Natsu de Matteru', '']",Ano Natsu de Matteru,,Waiting in the Summer,Ano Natsu de Matteru: Waiting in the Summer,,,['Love Polygon'],,
7,ブラック★ロックシューター,Black Rock Shooter,['TV'],8,Finished Airing,"Feb 3, 2012 to Mar 23, 2012",['Winter 2012'],Fridays at 00:45 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'TOHO', 'Ultra Super Pictures', 'Sony Music Entertainment', 'Fujipacific Music', 'MAGES.', 'Good Smile Company']",['Discotek Media'],"['Ordet', 'SANZIGEN']",Other,"['Action', 'Drama', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.79,#5398,#704,"360,776","2,283",179051,"On the first day of junior high school, Mato Kuroi happens to run into Yomi Takanashi, a shy, withdrawn girl whom she immediately takes an interest in. Mato tries her best to make conversation with Yomi, wanting to befriend her. At first, she is avoided, but the ice breaks when Yomi happens to notice a decorative blue bird attached to Mato's phone, which is from the book ""Li'l Birds At Play."" Discovering they have a common interest, the two form a strong friendship. In an alternate universe, the young girls exist as parallel beings, Mato as Black★Rock Shooter, and Yomi as Dead Master. Somehow, what happens in one world seems to have an effect on the other, and unaware of this fact, the girls unknowingly become entangled by the threads of fate. [Written by MAL Rewrite]","['Prequel (Music) Black★Rock Shooter', '']",Black★Rock Shooter (TV),BRS (TV),Black Rock Shooter,,Black Rock Shooter,,['School'],,
8,夏目友人帳 肆,Natsume's Book of Friends Season 4,['TV'],13,Finished Airing,"Jan 3, 2012 to Mar 27, 2012",['Winter 2012'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha', 'Sony Music Entertainment']","['NIS America, Inc.']","[""Brain's Base""]",['Manga'],"['Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",24 min. per ep.,PG-13 - Teens 13 or older,8.63,#85,#1026,"254,628","2,061",113159,"Takashi Natsume, the timid youkai expert and master of the Book of Friends, continues his journey towards self-understanding and acceptance with the help of friends both new and old. His most important ally is still his gluttonous and sake-loving bodyguard, the arrogant but fiercely protective wolf spirit Madara—or Nyanko-sensei, as Madara is called when in his usual disguise of an unassuming, pudgy cat. Natsume, while briefly separated from Nyanko-sensei, is ambushed and kidnapped by a strange group of masked, monkey-like youkai, who have spirited him away to their forest as they desperately search for the Book of Friends. Realizing that his ""servant"" has been taken out from right under his nose, Nyanko-sensei enlists the help of Natsume's youkai friends and mounts a rescue operation. However, the forest of the monkey spirits holds many dangerous enemies, including the Matoba Clan, Natsume's old nemesis. Stretching from the formidable hideout of the Matoba to Natsume's own childhood home, Natsume Yuujinchou Shi is a sweeping but familiar return to a world of danger and friendship, where Natsume will finally confront the demons of his own past. [Written by MAL Rewrite]","['Prequel (TV) Natsume Yuujinchou San', 'Sequel (TV) Natsume Yuujinchou Go', 'Adaptation (Manga) Natsume Yuujinchou', '']",Natsume Yuujinchou Shi,"Natsume Yuujinchou Four, Natsume Yuujinchou 4, Natsume Yujincho 4",Natsume Yujin-cho Staffel 4,Natsume Yujin-cho Temporada 4,Natsume Yujin-cho Saison 4,,,['Shoujo'],
9,パパのいうことを聞きなさい！,"Listen to Me, Girls. I Am Your Father!",['TV'],12,Finished Airing,"Jan 11, 2012 to Mar 28, 2012",['Winter 2012'],Wednesdays at 01:30 (JST),"['Starchild Records', 'KlockWorx', 'PPP', 'Studio Mausu', 'Shueisha']",['Sentai Filmworks'],['feel.'],['Light novel'],"['Comedy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.24,#3138,#1277,"200,204",644,103244,"Yuuta Segawa has just started his freshman year of university. One day, his sister Yuri, who raised him after their parents died, asks him to take care of her daughters Hina, Sora and Miu while she and her husband go overseas on a business trip. Yuuta grudgingly accepts, but tragedy strikes when their plane goes missing and all passengers are presumed dead. In an effort to prevent the three girls from being split up, Yuuta goes against their family and takes them in, just as his sister took him in when he had no one else. Now the four find themselves in a new and peculiar situation: Yuuta must learn how to balance his new responsibilities—as the newest member of the Street Observation Research Society, a club for people watching, and also as a father figure—while Sora, Miu, and Hina come to terms with the loss of their parents. [Written by MAL Rewrite]","['Sequel (Special) Papa no Iukoto wo Kikinasai!: Pokkapoka', 'Adaptation (Manga) Papa no Iukoto wo Kikinasai!', 'Adaptation (Light Novel) Papa no Iukoto wo Kikinasai!', '']",Papa no Iukoto wo Kikinasai!,"Papakiki, Listen to Me, Girls, I'm Your Father!","Listen to Me, Girls. I Am Your Father!","Papa no Iukoto wo Kikinasai!: Listen to Me, Girls. I Am Your Father!","Listen to Me, Girls. I Am Your Father!",,['Childcare'],,
