,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Genre,Demographics
20,"Absolutely Lovely Children, ZKC",絶対可憐チルドレン,Psychic Squad,,,,['TV'],51,Finished Airing,"Apr 6, 2008 to Mar 29, 2009",['Spring 2008'],Sundays at Unknown,"['TV Tokyo', 'Half H.P Studio', 'Shogakukan Productions']",['Sentai Filmworks'],['SynergySP'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.28,#2909,#3380,"48,210",123,12584,"They're cute, adorable and three of the most powerful Espers the world has ever seen: Kaoru, the brash psychokinetic who can move objects with her mind; Shiho, the sarcastic and dark natured psychometric able to pick thoughts from people's minds and read the pasts of inanimate objects like a book; and Aoi, the most collected and rational of the three, who has the ability to teleport herself and the others at will. So what to do with these potential psychic monsters in the making? Enter B.A.B.E.L., the Base of Backing ESP Laboratory, where hopefully ""The Children"" and others like them can become part of the answer to an increasing wave of psychic evolution. It's a win-win solution... Unless you're Koichi Minamoto, the overworked young man stuck with the unenviable task of field commanding a team of three pre-teen girls! (Source: Sentai Filmworks)","['Sequel (OVA) Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?', 'Adaptation (Manga) Zettai Karen Children']",Zettai Karen Children,['Super Power'],['Shounen'],,
21,,ゴルゴ13,Golgo 13,,,Golgo 13,['TV'],50,Finished Airing,"Apr 12, 2008 to Mar 28, 2009",['Spring 2008'],Saturdays at 01:23 (JST),"['TV Tokyo', 'Sotsu', 'Half H.P Studio']",['Sentai Filmworks'],['The Answer Studio'],['Manga'],"['Action', 'Adventure', 'Drama', 'Suspense']",,24 min. per ep.,R+ - Mild Nudity,7.51,#1937,#3523,"45,128",245,12233,"Golgo 13 is not his real name. Then again, neither is Duke Togo, Tadashi Togo, or any number of the aliases he goes by. A man of mystery, not even the world's most prominent intelligence agencies can determine who Golgo really is, or just where he came from. But all agree that his skills are nothing short of legendary. Armed with a custom M16, Golgo is willing to take any job for any agency, from the FBI to the KGB. He has completed every contract he has ever taken and will work for anyone who can meet his price. He is both the greatest weapon and the greatest threat to any nation; no one is safe once they are in Golgo’s sights.","['Prequel (Movie) Golgo 13', 'Prequel (OVA) Golgo 13: Queen Bee', 'Adaptation (Manga) Golgo 13', '']",Golgo 13 (TV),['Adult Cast'],['Seinen'],,
22,"Alison and Lilia, Arison to Riria, Allison and Lillia",アリソンとリリア,Allison & Lillia,,,,['TV'],26,Finished Airing,"Apr 3, 2008 to Oct 2, 2008",['Spring 2008'],Thursdays at 23:32 (JST),"None found,",['Sentai Filmworks'],['Madhouse'],['Light novel'],"['Action', 'Adventure']",,24 min. per ep.,PG-13 - Teens 13 or older,7.32,#2703,#3568,"44,105",175,15837,"Set in a continent divided into two commonwealths that have been engaged in war for hundreds of years, Allison and Will go on a mission to search ""the treasure that will put an end to the war"". Their hope is inherited to their daughter Lillia, who strives to thaw the torn nations into a united country. This anime encourages young generations to believe in a world without hatred or war regardless of nationalities and beliefs. (Source: Anime Network)","['Adaptation (Manga) Lillia to Treize: Soshite Futari wa Ryoko ni Itta', 'Adaptation (Manga) Allison', 'Adaptation (Light Novel) Allison', 'Adaptation (Light Novel) Lillia to Treize']",Allison to Lillia,,,,
23,,仮面のメイドガイ,,,,,['TV'],12,Finished Airing,"Apr 6, 2008 to Jun 22, 2008",['Spring 2008'],Unknown,"['Frontier Works', 'Rondo Robe', 'AT-X', 'KlockWorx', 'Kinyosha', 'Geneon Entertainment']",['Discotek Media'],['Madhouse'],['Manga'],"['Action', 'Comedy', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.98,#4474,#3626,"42,864",59,19263,"Fujiwara Naeka is a typical 17-year-old high school student. Or so we thought. She's really one of two surviving heirs of a tycoon who has the right to inherit his mass fortune when she turns 18 in half a year. Fubuki, a young and beautiful maid, and Kogarashi, a big burly maid guy with a mask, have been assigned to keep Naeka and her brother Kousuke safe from those who would plot their demise, and to steal the fortune she would inherit. (Source: AniDB)","['Adaptation (Manga) Kamen no Maid Guy', '']",Kamen no Maid Guy,['Super Power'],['Shounen'],,
24,,ネオアンジェリーク Abyss,,,,,['TV'],13,Finished Airing,"Apr 7, 2008 to Jun 30, 2008",['Spring 2008'],Mondays at 02:00 (JST),"['Lantis', 'MediaNet', 'Pony Canyon', 'AT-X', 'Koei', 'TYO']",['Sentai Filmworks'],['Yumeta Company'],Visual novel,"['Comedy', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.78,#5448,#3825,"38,701",124,15283,"While the young Angelique lives out her days peacefully in her school, attacks from the monstrous Thanatos has been increasing everywhere else. Two Purifiers show up one day, men with the power to exterminate the Thanatos. One of them, Nyx, attempts to convince Angelique to join them in their work, as she has the power to be the only female Purifier. As Angelique hesitates, a Thanatos shows up in their school. Nyx and the other Purifier, Rayne, fight a losing battle. With her classmates falling prey to the Thanatos, and the Purifiers beaten to submission, Angelique's desire to save everyone awakens. She became the only female Purifier in their land of Arcadia, the one known as the ""Queen's Egg"".","['Sequel (TV) Neo Angelique Abyss: Second Age', 'Adaptation (Manga) Neo Angelique']",Neo Angelique Abyss,['Reverse Harem'],['Josei'],,
25,"Kyou Kara Maou! Dai San Series, Kyou Kara Maoh! Third Series, Kyou Kara Maoh! Season 3, Maruma Third Series",今日からマ王！第3シリーズ,,Kyou kara Maou! Staffel 3,Kyou kara Maou! Temporada 3,Kyou kara Maou! Saison 3,['TV'],39,Finished Airing,"Apr 3, 2008 to Feb 19, 2009",['Spring 2008'],Thursdays at 23:02 (JST),"['NHK', 'Sogo Vision']",['Discotek Media'],['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.72,#1231,#3934,"36,343",123,14504,"At the end of season 2. Yuuri defeats Shinou, but since Shinou had been defeated, Yuuri and Murata could no longer go to the Shin Makoku. However, because Yuuri had fought and defeated him, his powers had surpassed that of Shinou's, resulting in him being able to rely on his own power to return to Shin Makoku. After the ceremony at the age of 16, Yuuri slowly begins to discover that much has happened while he was away. The ten officials of the noble family have decided to make Wolfram the next Maou, but now that Yuuri has returned and taken back his role as Maou, complications arise when one noble disagrees with Yuuri returning to the throne. In addition, an ancient secret society that threatens the peace of both humans and Mazoku has risen, and a fight for the throne that now leaves the nobles wondering who is the legitimate Maou.","['Prequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou! 3rd Series,['Isekai'],['Shoujo'],,
26,"The Daughter of Twenty Faces, Chiko, Heiress of the Phantom Thief",二十面相の娘,The Daughter of 20 Faces,,,,['TV'],22,Finished Airing,"Apr 13, 2008 to Sep 28, 2008",['Spring 2008'],Sundays at 02:05 (JST),"['Shochiku', 'Yomiko Advertising', 'Fuji TV', 'Sakura Create', 'Fujipacific Music', 'Geneon Entertainment']","None found,","['Bones', 'Telecom Animation Film']",['Manga'],"['Action', 'Adventure', 'Mystery']",,22 min. per ep.,PG-13 - Teens 13 or older,7.53,#1852,#3952,"35,914",160,12095,"To the public, Nijuu Mensou is known for his flawlessly executed heists and the advance warnings he sends his victims. But the gentleman thief is no common criminal—he firmly opposes killing and primarily targets those he views as pigs. One job brings Nijuu Mensou to the Mikamo residence, where 11-year-old Chizuko, nicknamed ""Chiko,"" lives with her aunt Yoshie and uncle Shouji following the death of her parents. While Chiko is the sole inheritor of a substantial fortune, there is more to her family circumstances than meets the eye, and she would like nothing but to escape her home life. Fortunately, her wish comes true when Nijuu Mensou makes off not only with the Mikamos' heirloom gemstone but also with Chiko herself. Quick to join the infamous thief's crew, Chiko learns the tools of the trade and grows closer to her new partners in crime, attaining the loving family she has always desired. At the same time, she begins to gain notoriety as the daughter of Nijuu Mensou—a title that carries more than its fair share of trouble. [Written by MAL Rewrite]","['Adaptation (Manga) Nijuu Mensou no Musume', '']",Nijuu Mensou no Musume,,['Seinen'],,
27,Wagaya no Oinarisama,我が家のお稲荷さま。,Our Home's Fox Deity,Our Home's Fox Deity,Our Home's Fox Deity,Our Home's Fox Deity,['TV'],24,Finished Airing,"Apr 7, 2008 to Sep 15, 2008",['Spring 2008'],Mondays at 00:00 (JST),"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']","['NIS America, Inc.']",['Zexcs'],['Light novel'],"['Comedy', 'Supernatural']","['Magical Sex Shift', 'Mythology']",24 min. per ep.,PG-13 - Teens 13 or older,7.18,#3476,#4100,"33,483",84,12222,"The Mizuchi bloodline has long been hunted by Yokai, or monsters. Toru and Noboru Takagami are descendents of this bloodline, and under their grandmother's discretion, are given a secret weapon to combat these monsters. It is Tenko Kugen, a fox deity who can take the shape of a man or woman at will. The mischievous deity is accompanied by a shrine maiden, Ko, who will both live with the Takagami brothers at their house. Life just got complicated. (Source: NIS America)","['Adaptation (Manga) Wagaya no Oinari-sama.', 'Adaptation (Light Novel) Wagaya no Oinari-sama.']",Wagaya no Oinari-sama.,,,,
28,D.C.II S.S.: Da Capo II 2nd Season,D.C.II S.S. ～ダ・カーポII セカンドシーズン～,,,,,['TV'],13,Finished Airing,"Apr 6, 2008 to Jun 29, 2008",['Spring 2008'],Unknown,"['Starchild Records', 'Lantis', 'GANSIS']","None found,",['feel.'],Visual novel,"['Comedy', 'Drama', 'Fantasy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.16,#3581,#4248,"30,835",50,13691,"The story continues where it left off at season 1, but now we start to get to know the people we already know a little more in detail. (Source: ANN)","['Prequel (TV) D.C.II: Da Capo II', 'Sequel (TV) D.C.III: Da Capo III', 'Adaptation (Manga) Da Capo II', '']",D.C.II S.S.: Da Capo II Second Season,['Harem'],,,
29,The Diary of a Crazed Family,狂乱家族日記,,,,,['TV'],26,Finished Airing,"Apr 12, 2008 to Oct 4, 2008",['Spring 2008'],Unknown,['Lantis'],"None found,",['Nomad'],['Light novel'],"['Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3131,#4342,"29,488",114,11224,"Midarezaki Ouka is used to having strange things happen to him -after all, he is the head of the Great Japanese Empire Paranormal Phenomena Bureau of Measures. But when he catches a small cat girl in the shopping district stealing apples, his whole life rearranges to fit a new operation... OPERATION COZY FAMILY. Thousands of years ago, Enka the God of Destruction, was killed. However, with a dying breath it claimed that its child would appear and destroy humanity. Now in futuristic Japan, all of the potential children of Enka have been found and placed into a haphazard family. Teika the lion, Gekka the jellyfish, Yuuka the oni, Ginka the cross-dressing mafia son, and Hyouka the bioweapon--along with their parents Ouka and Kyouka (the ruler of a demon underworld)--all live under one roof in a family frenzy.","['Adaptation (Manga) Kyouran Kazoku Nikki', 'Adaptation (Light Novel) Kyouran Kazoku Nikki']",Kyouran Kazoku Nikki,,,,
30,,RD 潜脳調査室,Real Drive,,,,['TV'],26,Finished Airing,"Apr 9, 2008 to Oct 1, 2008",['Spring 2008'],Wednesdays at 00:59 (JST),"['VAP', 'Nippon Television Network', 'D.N. Dream Partners']","None found,",['Production I.G'],Original,"['Action', 'Sci-Fi']",,22 min. per ep.,R - 17+ (violence & profanity),7.09,#3946,#4338,"29,519",54,6535,"2061 AD. Fifty years have passed since mankind developed the Network society. It was anticipated that this new infrastructure would realize a utopia where people connected with each other at the level of consciousness. However, new social problems such as personal data leaks and proliferation of manipulated information began to surface. Nevertheless, people still relied on the Network to exchange information, and proved unable to opt to abandon it. In due course, a new Network realm with more effective security measures was developed. This was called Meta Real Network, usually abbreviated as ""the Metal."" The Metal accommodated personal memory data within protected virtual stand-alone organic cyber enclaves called bubble shells and eventually pervaded the everyday lives of people. However, people gradually learned to release and explode their instincts within the secure environment of the Metal. The unleashed instincts pushed each individual's consciousness to drown in the sea of information and to be exposed to the pressures of desire. Meanwhile, norms and regulations continued to bind their real world lives. Thus, strange friction between the two worlds began to manifest themselves as aberrations beyond the bounds of the imaginable. Experts who challenged the deep sea of the Metal to investigate and decipher such aberrations were called cyber divers. This is a story of a cyber diver, Masamichi Haru, who investigates the incidents that lie between Reality and the Metal. (Source: Production I.G)","['Adaptation (Manga) RD Sennou Chousashitsu', 'Adaptation (Light Novel) RD Sennou Chousashitsu Redeemable Dream']",RD Sennou Chousashitsu,,,,
31,Himitsu: Top Secret - The Revelation,秘密（トップシークレット） The Revelation,,,,,['TV'],26,Finished Airing,"Apr 9, 2008 to Oct 1, 2008",['Spring 2008'],Wednesdays at 01:29 (JST),"['VAP', 'Nippon Television Network', 'D.N. Dream Partners']","None found,",['Madhouse'],['Manga'],"['Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",22 min. per ep.,R+ - Mild Nudity,7.27,#2989,#5090,"20,490",73,4563,"In the future, a new MRI technology analyzes the brains of deceased crime victims and eyewitnesses within 48 hours of their death to extract images of their memories. Although this cutting-edge technology is responsible for solving various murder cases, it has raised several ethical concerns, placing Section Nine—the police division in charge of the MRI investigations led by Tsuyoshi Maki—under considerable pressure from the media and the government. The team members of Section Nine are not only forced to witness traumatic events through the eyes of both victims and murderers, but they also need to negotiate with the victims' families, whose consent is required for the post-mortem MRI scans. Freshly graduated from the police academy, Ikkou Aoki joins Section Nine to replace Maki's best friend Katsuhiro Suzuki—a former member who passed away under ambiguous circumstances after watching MRI footage from a particularly morbid criminal case. As a stream of seemingly unrelated events creeps closer to the case of Suzuki's death, Section Nine will have to face its greatest challenge to date, threatening its very existence. [Written by MAL Rewrite]","['Adaptation (Manga) Top Secret', '']",Top Secret: The Revelation,,['Shoujo'],,
32,"Blue Dragon: Tenkuu no Nana Ryuu, Blue Dragon: The Seven Dragons of Heaven",BLUE DRAGON 天界の七竜,Blue Dragon: Trials of the Seven Shadows,,,,['TV'],51,Finished Airing,"Apr 5, 2008 to Mar 28, 2009",['Spring 2008'],Unknown,['TV Tokyo'],['VIZ Media'],['Pierrot'],Game,"['Adventure', 'Comedy', 'Fantasy']",,20 min. per ep.,PG - Children,6.55,#6780,#5242,"19,052",21,8427,"After the events of the Blue Dragon series, Shu and Bouquet join a resistance group to fight General Rogi's army of invasion.They encounter a mysterious child , Noi, who has the power to revive Shu's shadow counter-part Blue Dragon, and save her from the pursuit of a red dragon. Now Shu and his company have to set foot once again on a journey to discover the purpose of the dragons, undergo their tests and stop the chains of events which threatens the fate of humanity. (Source: ANN)","['Prequel (TV) Blue Dragon', 'Adaptation (Manga) Blue Dragon: Tenkai no Shichi Ryuu - Kuuchuu Toshi no Tatakai']",Blue Dragon: Tenkai no Shichi Ryuu,,,,
33,,クリスタル ブレイズ,Glass Maiden,,,,['TV'],12,Finished Airing,"Apr 9, 2008 to Jun 25, 2008",['Spring 2008'],Wednesdays at 01:15 (JST),"['Happinet Pictures', 'BIGLOBE']",['Maiden Japan'],['Studio Fantasia'],Original,"['Action', 'Mystery', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),6.11,#9318,#5430,"17,314",11,5643,"Rags Town is the garbage dump of Japan. The place where people who want to forget their pasts run to. In this town, where the rules strictly forbid asking about the past or getting to know people, there is small detective agency called S&A Detectives. The story revolves around Ayamana, the inseparable pair of misfit wannabe detectives, the case Manami takes on impulse, and the trouble that arises from it. On the case they find a woman who is abnormally hot, and who is being chased by a bunch of women with guns. After being dubbed Sara, the detectives try and figure out just what is going on with her. At the same time, all over town teenage girls are burning up and turning into glass. The government is covering everything up, but the detectives, as well as a nosy reporter and the local police, are determined to find out what is happening.",[],Crystal Blaze,['Detective'],,,
34,,ファイアボール,Fireball,,,,['TV'],13,Finished Airing,"Apr 7, 2008 to Jun 30, 2008",['Spring 2008'],Mondays at 18:25 (JST),['Disney Platform Distribution'],"None found,",['Jinnis Animation Studios'],Original,"['Comedy', 'Sci-Fi']",,1 min. per ep.,G - All Ages,6.62,#6387,#6543,"10,772",25,5784,"Fireball takes place during the war between humans and robots. There is no real story, just individual episode skits.","['Prequel (TV) Fireball Charming', 'Sequel (TV) Fireball Humorous']",Fireball,,,,
35,Jjajang Sonyeo Ppukka,짜장소녀 뿌까,,,Pucca Temporada 2,,['TV'],13,Finished Airing,"Mar 7, 2008 to Jul 24, 2008",['Spring 2008'],Unknown,['VOOZ Character System'],['Disney Platform Distribution'],"None found,",Other,"['Action', 'Comedy', 'Romance']",,23 min. per ep.,G - All Ages,6.64,#6235,#7113,"8,864",6,4613,The second series of Pucca. The episode numbers continue from 27.,"['Prequel (TV) Pucca (TV)', 'Sequel (TV) Pucca 3']",Pucca (TV) 2nd Season,['Parody'],,,
36,Gyagu Manga Biyori 3,増田こうすけ劇場 ギャグマンガ日和3,,,,,['TV'],12,Finished Airing,"Mar 17, 2008 to Jun 2, 2008",['Spring 2008'],Mondays at 23:00 (JST),"['Bandai Visual', 'Kids Station', 'DAX Production', 'Shueisha']","None found,",['Studio Deen'],['Manga'],,,5 min. per ep.,PG-13 - Teens 13 or older,7.01,#4366,#10337,"3,184",1,1391,Based on Masuda Kosuke's popular gag manga. Famous for its cynicism and sarcasm. Features omnibus styled 5-minute episodes starring various characters; including historical figures.,"['Prequel (TV) Masuda Kousuke Gekijou: Gag Manga Biyori 2', 'Sequel (TV) Masuda Kousuke Gekijou: Gag Manga Biyori +', 'Adaptation (Manga) Masuda Kousuke Gekijou: Gag Manga Biyori', '']",Masuda Kousuke Gekijou: Gag Manga Biyori 3,['Gag Humor'],,['Comedy'],
37,Shen Diao Xia Lu III: Shi liu nian zhi yue,神鵰俠侶 III: 十六年之約,Legend of the Condor Hero III,,,,['TV'],26,Finished Airing,"Apr 13, 2008 to May 3, 2008",['Spring 2008'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Action', 'Adventure', 'Drama', 'Romance']",,20 min. per ep.,PG-13 - Teens 13 or older,7.19,#3394,#10458,"3,084",5,943,Sequel to Shin Chou Kyou Ryo: Condor Hero II.,"['Prequel (TV) Shin Chou Kyou Ryo: Condor Hero II', '']",Shin Chou Kyou Ryo: Condor Hero III,['Historical'],,,
38,,おねがい♪マイメロディ きららっ★,,,,,['TV'],52,Finished Airing,"Apr 6, 2008 to Mar 29, 2009",['Spring 2008'],Sundays at 09:30 (JST),['Sanrio'],"None found,",['Studio Comet'],Unknown,"['Comedy', 'Fantasy']",,20 min. per ep.,G - All Ages,6.54,#6838,#10683,"2,888",6,540,Sequel to Onegai My Melody Sukkiri.,"['Prequel (TV) Onegai My Melody Sukkiri♪', '']",Onegai♪My Melody Kirara★,,,,
39,,デュエル・マスターズ クロス,,,,,['TV'],100,Finished Airing,"Apr 5, 2008 to Mar 27, 2010",['Spring 2008'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,6.26,#8502,#11212,"2,466",2,861,"Shobu and friends fight the remaining Fua Duelists in order to defeat Zakira. Once again, they face off against the old members of Fua Duelists at the World Championship tournament. Shobu also found the terrible fate his friends faced because of these duelists in their past. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Zero', 'Sequel (TV) Duel Masters Cross Shock']",Duel Masters Cross,,['Kids'],,
40,,ネットゴーストPIPOPA,Web Ghosts PiPoPa,Web Ghosts PiPoPa,Web Ghosts PiPoPa,Web Ghosts PiPoPa,['TV'],51,Finished Airing,"Apr 6, 2008 to Mar 29, 2009",['Spring 2008'],Unknown,['Milky Cartoon'],"None found,",['Studio Hibari'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,24 min. per ep.,G - All Ages,6.77,#5508,#11277,"2,423",7,842,About a young boy named Akigawa Yuta who gets sucked into a virtual world through his cell phone. He meets three strange creatures that travel with him on Yuta's adventure in this strange new world.,[],Net Ghost Pipopa,,['Kids'],,
41,"Catman 3rd Season, Catman series III (Fuji Version)",キャットマン,,,,,['TV'],6,Finished Airing,"Mar 1, 2008 to Apr 2008",['Spring 2008'],Unknown,['Fuji TV'],"None found,","None found,",Original,"['Comedy', 'Fantasy', 'Slice of Life']",,4 min. per ep.,PG-13 - Teens 13 or older,6.26,#8500,#12075,"1,908",3,797,"In a city filled with anthropomorphic cat-people, Catman lives free of rules and boundaries, doing everything he wants, which often collides with the other iinhabitants of the city. Created entirely in flash, with no spoken dialog, Catman instead speaks in English and Japanese subtitles. The series is spread across three so-called 'seasons', with only the third having been aired.","['Prequel (ONA) Catman Series II', '']",Catman Series III,['Anthropomorphic'],,,
42,A Penguin's Troubles,ペンギンの問題,,,,,['TV'],100,Finished Airing,"Apr 5, 2008 to Mar 20, 2009",['Spring 2008'],Unknown,['TV Tokyo'],"None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],,,10 min. per ep.,G - All Ages,5.83,#10766,#14605,915,2,317,About the daily lives of a boy and his talking penguin.,"['Sequel (TV) Penguin no Mondai Max', '']",Penguin no Mondai,,['Kids'],['Comedy'],
43,Sugar Bunnies 2,シュガーバニーズ ショコラ！,,,,,['TV'],26,Finished Airing,"Apr 1, 2008 to Sep 30, 2008",['Spring 2008'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,,,8 min. per ep.,PG - Children,6.04,#9707,#14662,899,2,166,Sequel to Sugar Bunnies. Aired inside the anime corner of the Kitty's Paradise TV block.,"['Prequel (Special) Sugar Bunnies: Taisetsu na Tomodachi e...', 'Sequel (Special) Sugar Bunnies Chocolate! Specials']",Sugar Bunnies Chocolate!,,['Kids'],,
44,"Uchi no 3Shimai, Uchi no San Shimai",うちの3姉妹,,,,,['TV'],102,Finished Airing,"Apr 8, 2008 to Mar 30, 2010",['Spring 2008'],Unknown,"None found,","None found,","['Toei Animation', 'Studio Animal']",Other,"['Comedy', 'Slice of Life']",,23 min. per ep.,G - All Ages,6.32,#8131,#14736,883,1,185,"The daily life of the Motsumoto family. The three sisters, Fuu, Suu, and Chii, follow what happens on a daily basis. Mother and Father have to deal with them sometimes, but they're used to it.",[],Uchi no 3 Shimai,,,,
45,,リトル・チャロ,Little Charo,,,,['TV'],50,Finished Airing,"Apr 2, 2008 to Mar 25, 2009",['Spring 2008'],Wednesdays at 19:45 (JST),['NHK'],"None found,",['Spooky graphic'],Original,,,5 min. per ep.,G - All Ages,6.25,#8538,#15016,813,0,198,NHK's English education program featured the adventures of a puppy named Charo in New York.,"['Sequel (TV) Little Charo 4: Eigo de Aruku New York', '']",Little Charo,['Educational'],,['Slice of Life'],
46,,はっけん たいけん だいすき! しまじろう,,,,,['TV'],101,Finished Airing,"Apr 7, 2008 to Mar 29, 2010",['Spring 2008'],Unknown,"None found,","None found,","['Studio Kikan', 'Pierrot Plus']",Original,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,G - All Ages,6.16,#9065,#16529,557,1,126,Second season of the Shimajirou children's television series.,"['Prequel (TV) Shima Shima Tora no Shimajirou', 'Sequel (TV) Shimajirou Hesoka']",Hakken Taiken Daisuki! Shimajirou,,['Kids'],,
47,,やさいのようせい N.Y.SALAD 2ndシリーズ,,,,,['TV'],26,Finished Airing,"May 5, 2008 to Jun 9, 2008",['Spring 2008'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Unknown,,,5 min. per ep.,G - All Ages,[],#16005,#17880,430,0,,It is based on N.Y.SALAD written by Yoshitaka Amano. It depicts lives of vegetable fairies at a kitchen in N. Y.,"['Prequel (TV) Yasai no Yousei: N.Y.Salad', '']",Yasai no Yousei: N.Y.Salad 2nd Series,,['Kids'],,
48,Consumer Electronics John TV Show,家電漫才 ジョンテレビSHOW！,,,,,['TV'],25,Finished Airing,"Apr 6, 2008 to Aug 21, 2008",['Spring 2008'],Unknown,"['TV Tokyo', 'Milky Cartoon']","None found,","None found,",Unknown,,,3 min. per ep.,G - All Ages,[],#19179,#19748,300,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kaden Manzai John TV Show!,,,['Comedy'],
49,"Cocomong 1, Reizou Kono Kuni no Cocomong",냉장고 나라 코코몽,Cocomong,,,,['TV'],26,Finished Airing,"Mar 5, 2008 to Aug 27, 2008",['Spring 2008'],Wednesdays at Unknown,"None found,","None found,",['Olive Studio'],Original,,,12 min. per ep.,G - All Ages,[],#20539,#20312,267,0,,"The cold air from the air circulation duct in the refrigerator turned the vegetables into animals: The pea pig brothers Dookong, Saekong, Naekong, mushroom-radish Hippo Doori, carrot-donkey Kaero, and cucumber-alligator Agle. They travel to Refrigerator Land (Cutie Land) through the air duct. They fall on egg-rabbit Aromi's flower garden! The animals help to fix and reorganize Aromi's flower garden which was damaged because of them. They meet sausage-monkey Cocomong and set to learn about friendship, compassion, and responsibility together through playing. (Source: Official YouTube Channel)","['Sequel (TV) Cocomong 2', '']",Naengjang-go Nala Cocomong,,['Kids'],,
50,,忍者玉丸,,,,,['TV'],26,Finished Airing,"Apr 12, 2008 to Oct 25, 2008",['Spring 2008'],Unknown,"None found,","None found,","None found,",Original,,,5 min. per ep.,G - All Ages,[],#20686,#20523,257,0,,A simple short anime series about a ninja named Tamamaru who is diligent and enthusiastic about his ninja training...but always fails at it.,"['Sequel (TV) Shin Ninja Tamamaru', '']",Ninja Tamamaru,['Martial Arts'],['Kids'],,
51,Fight Tension☆School,たたかえ!土管くん ロボリンピック編,,,,,['TV'],13,Finished Airing,"Apr 5, 2008 to Sep 27, 2008",['Spring 2008'],Unknown,"None found,","None found,",['DLE'],Original,,,5 min. per ep.,G - All Ages,[],#14779,#20715,246,0,,"The fourth season of the Dokan-kun franchise. It aired within the ""Fight Tension☆TV"" variety program.","['Prequel (TV) Tatakae! Dokan-kun: Gekitou-kun', 'Sequel (TV) Tobidase! Dokan-kun']",Tatakae! Dokan-kun: Robolympic-hen,['Mecha'],,['Comedy'],
52,,レオナルド博士とキリン村のなかまでしょ,,,,,['TV'],26,Finished Airing,"Apr 5, 2008 to Sep 27, 2008",['Spring 2008'],Saturdays at Unknown,"None found,","None found,","None found,",Original,,,5 min. per ep.,G - All Ages,[],#19789,#21371,209,0,,"The second season of Leonardo Hakase to Kirin-mura no Nakama-tachi, the title had changed from ""Nakama-tachi"" to ""Nakama desho.""","['Prequel (TV) Leonardo Hakase to Kirin-mura no Nakama-tachi (TV)', '']",Leonardo Hakase to Kirin-mura no Nakama desho,,['Kids'],['Comedy'],
53,,브리스톨 탐험대,,,,,['TV'],26,Finished Airing,"Mar 6, 2008 to Sep 11, 2008",['Spring 2008'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,[],#16932,#23212,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Beuliseutol Tamheomdae,,['Kids'],,
54,,おべとも学園,,,,,['TV'],200,Finished Airing,Apr 2008 to Mar 2013,['Spring 2008'],Unknown,['NHK'],"None found,","None found,",Original,,,2 min. per ep.,G - All Ages,[],#20782,#24012,112,0,,A series by Japanese illustrator Obetomo which aired on NHK's Shakin! program.,[],Obetomo Gakuen,['School'],,['Slice of Life'],
