,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Themes,Demographic,Genre,Demographics
0,Psalms of Planets Eureka Seven,交響詩篇エウレカセブン,Eureka Seven,Eureka Seven,Eureka Seven,['TV'],50,Finished Airing,"Apr 17, 2005 to Apr 2, 2006",['Spring 2005'],Sundays at 07:00 (JST),"['Aniplex', 'Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Ashi Productions', 'Sony Music Entertainment', 'Bandai Namco Games', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'USEN', 'Fonishia']","['Funimation', 'Bandai Entertainment']",['Bones'],Original,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,8.05,#593,#544,"446,357","9,185",185532,"In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing. Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash. [Written by MAL Rewrite]","['Sequel (TV) Eureka Seven AO', 'Adaptation (Manga) Koukyoushihen Eureka seveN', 'Adaptation (Light Novel) Eureka Seven', '']",Koukyoushihen Eureka Seven,,,,,
1,"HachiKuro, Honey & Clover",ハチミツとクローバー,Honey and Clover,Honey and Clover,Honey and Clover,['TV'],24,Finished Airing,"Apr 15, 2005 to Sep 27, 2005",['Spring 2005'],Fridays at 00:35 (JST),"['Dentsu', 'Genco', 'Fuji TV', 'Asmik Ace', 'Shueisha']","['VIZ Media', 'Discotek Media']",['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.98,#688,#934,"275,835","4,173",85310,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him. Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them. Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends. [Written by MAL Rewrite]","['Sequel (TV) Hachimitsu to Clover II', 'Adaptation (Manga) Hachimitsu to Clover']",Hachimitsu to Clover,Honey and Clover,"['Adult Cast', 'Love Polygon', 'Visual Arts']",['Josei'],,
2,Tsubasa: RESERVoir CHRoNiCLE,ツバサ・クロニクル,Tsubasa RESERVoir CHRoNiCLE,Tsubasa CHRoNiCLE,Tsubasa CHRoNiCLE,['TV'],26,Finished Airing,"Apr 9, 2005 to Oct 15, 2005",['Spring 2005'],Saturdays at 18:30 (JST),"['NHK', 'Kodansha']",['Funimation'],['Bee Train'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,7.51,#1927,#1114,"234,466","2,055",98475,"Sakura and Syaoran live peaceful lives in the desert country of Clow. Despite the King's disapproval of the budding romance between the princess and her archeologist friend, their days remain blissful if not a little dull. But that soon changes when Sakura appears in front of Syaoran in a trance with wings on her back. When the wings dissolve into feathers and Sakura loses consciousness, Syaoran is spurred to action. Syaoran soon learns that he must collect Sakura's feathers, which have been scattered across many different realms, in order to protect her life. After making a deal with the Dimensional Witch Yuuko Ichihara, Syaoran teams up with Mokona Modoki, a creature who has the power to traverse realms. Also accompanying him on this journey are Fai D. Flourite, a carefree man fleeing persecution in his home world, and Kurogane, a swordsman forced to travel to refine his strength and character. Together, the bizarre alliance works to reclaim Sakura's feathers—no matter how impossible it seems to find them all. [Written by MAL Rewrite]","['Sequel (TV) Tsubasa Chronicle 2nd Season', 'Adaptation (Manga) Tsubasa: RESERVoir CHRoNiCLE']",Tsubasa Chronicle,Tsubasa CHRoNiCLE,,['Shounen'],,
3,"Basilisk: Koga Nimpo Cho, Basilisk: The Kouga Ninja Scrolls",バジリスク 甲賀忍法帖,Basilisk,Basilisk: Chronik der Koga-Ninja,Basilisk: The Kôga Ninja Scrolls,['TV'],24,Finished Airing,"Apr 13, 2005 to Sep 21, 2005",['Spring 2005'],Unknown,"['GDH', 'Kodansha', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],['Gonzo'],['Manga'],"['Action', 'Drama', 'Romance']",,24 min. per ep.,R - 17+ (violence & profanity),7.53,#1827,#1306,"196,055","1,432",80073,"For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms. Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war. Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans. [Written by MAL Rewrite]","['Sequel (TV) Basilisk: Ouka Ninpouchou', 'Adaptation (Manga) Basilisk: Kouga Ninpouchou']",Basilisk: Kouga Ninpou Chou,Basilisk,"['Adult Cast', 'Gore', 'Historical', 'Martial Arts', 'Samurai']",['Seinen'],,
4,,トリニティ・ブラッド,Trinity Blood,,,['TV'],24,Finished Airing,"Apr 29, 2005 to Oct 28, 2005",['Spring 2005'],Fridays at 00:00 (JST),"None found,",['Funimation'],['Gonzo'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",['Vampire'],24 min. per ep.,R - 17+ (violence & profanity),7.28,#2906,#1339,"191,395","1,371",82027,"Following Armageddon, an apocalyptic war, mankind faces yet another menace: vampires. The continuous confrontations between the races have split the world into separate factions. The race of vampires, Methuselah, are affiliated with the New Human Empire; whereas the humans, deemed Terrans by the vampires, make up the Vatican Papal State. Furthermore, extremist groups like the Rosenkreuz Order strive to rekindle a war, despite the factions' attempts to avoid direct conflict. To combat terrorist organizations, the Vatican has implemented the AX unit. Led by Cardinal Caterina Sforza, the AX agents investigate vampire-related disturbances with hopes that the Terrans and the Methuselah will one day achieve peaceful coexistence. Amongst the AX unit is priest Abel Nightroad—a seemingly disoriented but gentle-hearted fellow who is a fierce vampire slayer on the battlefield. Joining the unit as his partner is agent Sister Esther Blanchett, a brave and gentle young nun troubled with a tragic past. As the two grow closer, they begin to uncover signs of malicious schemes and dark forces working in the shadows. But the path they walk is riddled with misfortune that might just force them to confront the memories that plague their hearts. [Written by MAL Rewrite]","['Adaptation (Manga) Trinity Blood', 'Adaptation (Light Novel) Trinity Blood: Reborn on the Mars', 'Adaptation (Light Novel) Trinity Blood: Rage Against the Moons', '']",Trinity Blood,,,,,
5,Eyeshield21,アイシールド21,,,,['TV'],145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",['Spring 2005'],Wednesdays at 19:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Gallop'],['Manga'],,['Team Sports'],23 min. per ep.,PG-13 - Teens 13 or older,7.91,#801,#1355,"189,285","2,064",91285,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad. As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College. Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Eyeshield 21', '']",Eyeshield 21,,,['Shounen'],['Sports'],
6,LL,LOVELESS,Loveless,,,['TV'],12,Finished Airing,"Apr 7, 2005 to Jun 30, 2005",['Spring 2005'],Thursdays at 02:40 (JST),"['Bandai Visual', 'TV Asahi', 'Frontier Works', 'Movic']",['Media Blasters'],['J.C.Staff'],['Manga'],"['Boys Love', 'Drama', 'Mystery', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.71,#5850,#1699,"143,914","1,293",71534,"In the world of Loveless, each person is born with cat ears and a tail, which disappear only if that person engages in a sexual intercourse. Because of this, they have come to symbolize virginity and innocence. Additionally, fighting is only done by ""fighting pairs"" or couples, where one is known as the Sacrifice and the other as the Fighter. The first receives the damage while the latter attacks. Ritsuka Aoyagi is a 12-year-old boy, who for some unknown reason suffers from amnesia. His brother got killed recently, and as if his life has not been hard enough lately, on his first day at the new school he gets approached by a stranger called Agatsuma Soubi, who claims to have known his late brother. Ritsuka finds out that Agatsuma and his brother used to be a fighting pair, and that Agatsuma has inherited Ritsuka now that his brother is gone. Together, they try to find the truth behind his brother's death and the organization known as the ""Seven Moons,"" which may have been responsible for it. All the while, it seems that Ritsuka and Agatsuma are becoming closer than they intended to be…","['Adaptation (Manga) Loveless', '']",Loveless,,,['Josei'],,
7,,うえきの法則,The Law of Ueki,The Law of Ueki,The Law of Ueki,['TV'],51,Finished Airing,"Apr 4, 2005 to Mar 27, 2006",['Spring 2005'],Mondays at 18:30 (JST),"['Studio Tulip', 'TV Tokyo Music']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Supernatural']",['Super Power'],23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1280,#1929,"121,589",910,50031,"Unbeknownst to most humans, a bizarre tournament is held to decide the next ruler of the Heavenly World. In this tournament, 100 Heavenly Beings known as the ""God Candidates"" are required to search among the middle school students on Earth, and transfer their powers to a student of their choice. The chosen ones will then battle each other, representing their God Candidates. The victor of this tournament will be awarded the ""Blank Talent""—allowing them to choose any one unique ability they so desire—while the God Candidate they represent will obtain the position of ""God"" and become the king of the Heavenly World. Participating in this grand tournament is Kousuke Ueki, a middle school student who is given the power to turn trash into trees by his homeroom teacher, Kobayashi. Despite the concerns of his classmate, Ai Mori, Ueki embarks on a journey to pursue his own sense of justice after witnessing the people around him misusing their powers for selfish purposes. But as he encounters talented power users such as Seiichirou Sano, Rinko Jerrard, Robert Haydn, and Hideyoshi Soya, he realizes that achieving his goal might be harder than it seems. [Written by MAL Rewrite]","['Adaptation (Manga) Ueki no Housoku', '']",Ueki no Housoku,,,['Shounen'],,
8,,スピードグラファー,Speed Grapher,,,['TV'],24,Finished Airing,"Apr 8, 2005 to Sep 30, 2005",['Spring 2005'],Fridays at 02:40 (JST),"['TV Asahi', 'Rakuonsha', 'WAO World', 'TAP', 'Future Vision Music']",['Funimation'],['Gonzo'],Original,"['Action', 'Mystery', 'Suspense']",,23 min. per ep.,R+ - Mild Nudity,7.29,#2890,#1954,"119,517",607,42349,"Ten years after the Bubble War, the dichotomy between the rich and the poor in the world becomes more prominent and Japan is no exception. The rich seek to satisfy their desires and derive pleasure for themselves, and Tokyo has materialized into such a city as a result. Saiga, once a war photographer, works for Hibara Ginza in the capitalist state of Tokyo. He infiltrates the Roppongi Club, a secretive base located in the red light district of the city, to collect information about them. However, he was caught in the process and brought forward to a girl called Kagura who was in the midst of a ritual. His contact with Kagura awakens his special ability: the power to make things explode when photographed. In order to unravel the mystery behind the Roppongi Club and Kagura, Saiga begins his solitary battle.","['Adaptation (Manga) Speed Grapher', '']",Speed Grapher,,"['Adult Cast', 'Gore', 'Organized Crime', 'Psychological', 'Super Power']",,,
9,Ichigo 100%,いちご100%,Strawberry 100%,,,['TV'],12,Finished Airing,"Apr 6, 2005 to Jun 22, 2005",['Spring 2005'],Wednesdays at 02:40 (JST),['Shueisha'],"None found,",['Madhouse'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['Harem'],23 min. per ep.,PG-13 - Teens 13 or older,6.61,#6464,#1978,"118,208",255,55950,"One day, Manaka Junpei walks to the roof of his school and encounters a beautiful girl falling down from above him and accidentally exposing her strawberry panties. The embarrassed girl runs away before Junpei can find out whom she is. He wishes to become a filmmaker, and this whole experience seemed like it would make the perfect scene in a movie. And so he goes on a search for the girl with the strawberry panties in order to reenact it all on film. But he will soon discover that finding that one girl will not be that easy... (Source: ANN)","['Sequel (Special) Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e', 'Adaptation (Manga) Ichigo 100%']",Ichigo 100%,,,['Shounen'],,
