,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genre,Theme,Demographics
10,Three Way Struggle,みつどもえ,Mitsudomoe,,,['TV'],13,Finished Airing,"Jul 3, 2010 to Sep 26, 2010",['Summer 2010'],Saturdays at 02:00 (JST),"['Aniplex', 'Lantis', 'Cospa', 'Studio Mausu', 'Akita Shoten']","None found,",['Bridge'],['Manga'],,"['Gag Humor', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.51,#1914,#2063,"112,008",585,45229,"When Satoshi Yabe, the newest teacher at an elementary school, is assigned as the homeroom teacher of class 6-3, he is in for a shock. The class is full of chaos and eccentric students, but none are more troublesome than the mischievous Marui triplets. Mitsuba is sadistic and unusually mature for her age; Futaba is both lewd and incredibly strong; and Hitoha, often absorbed in her erotic books, is quiet and ominous. As the sisters take an interest in Yabe, they start pestering him with endless antics. With misunderstandings and bizarre situations unfolding every day, Yabe's life at school is anything but boring. [Written by MAL Rewrite]","['Sequel (TV) Mitsudomoe Zouryouchuu!', 'Adaptation (Manga) Mitsudomoe']",Mitsudomoe,,['Comedy'],,
11,"Zaidanhoujin Occult Designer Gakuin, Seikimatsu Occult Academy",世紀末オカルト学院,Occult Academy,Occult Academy,Occult Academy,['TV'],13,Finished Airing,"Jul 6, 2010 to Sep 28, 2010",['Summer 2010'],Tuesdays at 01:30 (JST),"['Aniplex', 'Xebec', 'TV Tokyo Music']","['NIS America, Inc.']",['A-1 Pictures'],Original,"['Comedy', 'Mystery', 'Sci-Fi', 'Supernatural']","['School', 'Time Travel']",,24 min. per ep.,R - 17+ (violence & profanity),7.03,#4240,#2124,"106,817",196,43702,"The story revolves around Maya, the daughter of the former Headmaster of Waldstein Academy, and a time traveling agent Fumiaki Uchida. In the year 2012, the world had been invaded by aliens and time travelers were sent back to the year 1999 in order to find and destroy the Nostradamus Key, which Nostradamus Prophecy foretold as what would bring about the apocalypse. The series then turns to the year 1999, where Maya returns to the Academy with the intention of destroying the Academy by superseding her late father's position as the principal. Her plan was interrupted when she meets Fumiaki and learns of the forthcoming destruction. Despite being distrusting towards Fumiaki, they form a pact to look for the Nostradamus Key. In order to find the Nostradamus Key, time agents were provided with specially created cell phones. When a user finds an object of interest, by thinking of destroying it and taking a photo, and if the resulting image is that of a peaceful world, then the subject is the Nostradamus Key. Conversely, if the subject is not the Nostradamus Key, then the photo displays destruction. By using the phone, Maya and Fumiaki investigates occult occurrences as they occur in the town. (Source: Wikipedia)","['Adaptation (Manga) Seikimatsu Occult Gakuin', '']",Seikimatsu Occult Gakuin,Occult Academy,,,
12,,ストライクウィッチーズ 2,Strike Witches 2,,,['TV'],12,Finished Airing,"Jul 8, 2010 to Sep 23, 2010",['Summer 2010'],Thursdays at 01:30 (JST),"['AIC', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['Funimation'],['AIC Spirits'],Original,"['Action', 'Sci-Fi', 'Ecchi']",,,24 min. per ep.,R+ - Mild Nudity,7.28,#2902,#2441,"86,137",271,41347,"Six months have passed since the victorious Battle of Britannia and the reclamation of Gallia from Neuroi invaders. Yoshika Miyafuji, member of the famed 501st Joint Fighter Wing, has come back home to Fuso and graduated from middle school. However, her fight is far from over. She receives a letter supposedly sent by her long-deceased father, containing blueprints of a state-of-the-art Striker Unit he had been working on before his death. The Unit, designed specifically for Yoshika, might be capable of harnessing her extraordinary magical powers. Meanwhile, a new threat in Europe is rising. A Neuroi nest of an unprecedented size and might has appeared over Venezia, wiping out local Witch forces and instantly swallowing the northern part of the country. To make matters worse, a newly spotted humanoid type of Neuroi is attempting to come into contact with humans. Yoshika, incapable of abandoning her friends on the front lines, must once again venture to the war-torn continent. [Written by MAL Rewrite]","['Prequel (TV) Brave Witches', 'Sequel (OVA) Strike Witches: Operation Victory Arrow']",Strike Witches 2,,,['Military'],
13,"Sengoku Basara Two, Sengoku Basara 2",戦国BASARA 弐,Sengoku Basara: Samurai Kings 2,,,['TV'],12,Finished Airing,"Jul 11, 2010 to Sep 26, 2010",['Summer 2010'],Sundays at 17:00 (JST),"['Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Pony Canyon', 'Movic', 'flying DOG']",['Funimation'],['Production I.G'],Game,"['Action', 'Fantasy']","['Historical', 'Martial Arts', 'Samurai']",,24 min. per ep.,PG-13 - Teens 13 or older,7.49,#1978,#2732,"72,205",169,34126,"The deadly confrontation with the Devil King, Oda Nobunaga is over, but the struggle for supremacy continues in Warring Countries-era Japan, as the armies of Takeda Shingen and Uesugi Kenshin repeatedly engage battle at Kawanakajima. Meanwhile, on the easternmost side of the battlefield, two outstanding characters bound by destiny—one clad in azure and the other in crimson—are about to clash in a long-awaited, decisive duel. Then a sudden dispatch informs that a huge army has surrounded the forces of Takeda, Uesugi and Date at Kakanakajima. Their leader is Toyotomi Hideyoshi, the man who inherited Nobunaga's dreams and ambitions, and who is now going to bring havoc over Japan once again! (Source: Production I.G)","['Prequel (TV) Sengoku Basara', 'Sequel (Movie) Sengoku Basara Movie: The Last Party', 'Adaptation (Manga) Sengoku Basara Ranse Ranbu', '']",Sengoku Basara Ni,Sengoku Basara Samurai Kings 2,,,
14,Digimon Cross Wars,デジモンクロスウォーズ,Digimon Fusion,Digimon 6 Fusión,,['TV'],30,Finished Airing,"Jul 6, 2010 to Mar 8, 2011",['Summer 2010'],Tuesdays at 19:27 (JST),['TV Asahi'],['Flatiron Film Company'],['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,25 min. per ep.,PG - Children,6.68,#6025,#3232,"52,257",120,27933,"The Digital World is in a state of war, with the evil Bagra Army attempting to collect fragments of the Code Crown. Whoever manages to collect all 108 fragments will become king of the Digital World. An evil group of Digimon, known as the Bagra Army, are determined to get their hands on the Code Crown. Digimon Xros Wars features Taiki Kudou, a soccer-loving middle schooler who will always go out of his way to help people in need. When out with his friends Akari Hinomoto and Zenjirou Tsurugi one day, he hears a voice calling out for help. Investigating the situation, he meets a Digimon named Shoutmon who has been severely wounded in a nearby alley. Using the power of a strange device called a Xros Loader, Taiki manages to save Shoutmon's life, but is pulled into the Digital World alongside Akari and Zenjirou. Determined not to let the evil Bagra have their way, Taiki and his friends join with Shoutmon and other local Digimon to form their own army known as Xros Heart. Now Xros Heart must fight their way across the Digital World to collect Code Crown fragments and defeat the Bagra Army, but Taiki and his friends are not the only humans caught up in this war of monsters…","['Sequel (TV) Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku', 'Adaptation (Manga) Digimon Xros Wars']",Digimon Xros Wars,,,['Isekai'],
15,La Campanella Della Benedizione,祝福のカンパネラ,Blessing of the Campanella,,,['TV'],12,Finished Airing,"Jul 3, 2010 to Sep 18, 2010",['Summer 2010'],Unknown,['Delfi Sound'],"['Funimation', 'Nozomi Entertainment']",['AIC'],Visual novel,"['Adventure', 'Fantasy']",,,24 min. per ep.,R+ - Mild Nudity,6.27,#8466,#4130,"33,101",29,12238,"The story takes place in a trading city Ert'Aria. Leicester Maycraft is an item engineer belonging to an adventurer guild ""Oasis."" One night, he is at a party with his friends to see a meteor stream on the rooftop of a chapel. One meteor grazes them and hits the steeple of the chapel. There he finds a secret room and a sleeping girl. The girl wakes up and says ""You must be my father!"" The encounter with the mysterious girl brings an unexpected adventure to Leicester.","['Sequel (OVA) Shukufuku no Campanella: La Campanella Della Benedizione', 'Adaptation (Manga) Shukufuku no Campanella']",Shukufuku no Campanella,,,['Harem'],
16,,스캔2고,Scan2Go,,,['TV'],52,Finished Airing,"Aug 9, 2010 to Mar 29, 2011",['Summer 2010'],Unknown,['d-rights'],['Cookie Jar Entertainment'],['SynergySP'],Original,,"['Racing', 'Space', 'Strategy Game']",['Kids'],25 min. per ep.,G - All Ages,6.18,#8954,#9873,"3,706",12,1716,"Sometime in the near future, in an age in which we have established contact and communications with planets outside our galaxy, Scan2Go has become a huge phenomenon throughout all of outer space. Giant races are held at every locality, with each racer gunning for the title of the universe's number one racer! The main character in the series, Kazuya, possesses the power of the eagle, performed well with his blazing, innate power commanding his falconine beast spirit. He competes in a tournament, the ""Pro-Racer Exhibition Race."", but was no match for the other teams that had won their way through the competitive Space Preliminaries. Realizing the difficult obstacles that lie before them, Kazuya and his friends leave the small Earth behind and set off on a universe-wide quest to hone their skills as warriors!",[],Scan2Go,,['Sci-Fi'],,
17,Tono to Issho TV,殿といっしょ 1分間劇場,,,,['TV'],12,Finished Airing,"Jul 6, 2010 to Sep 21, 2010",['Summer 2010'],Unknown,['Frontier Works'],"None found,",['Gathering'],['4-koma manga'],,,['Seinen'],1 min. per ep.,PG-13 - Teens 13 or older,6.17,#8979,#9965,"3,586",0,1525,Comedy parodying famous samurai generals and historical events.,"['Sequel (TV) Tono to Issho: Gantai no Yabou', 'Adaptation (Manga) Tono to Issho']",Tono to Issho: Ippunkan Gekijou,,['Comedy'],['Samurai'],
18,Stitch! 3,スティッチ！～ずっと最高のトモダチ～,Stitch: Season 3,,,['TV'],29,Finished Airing,"Jul 6, 2010 to Mar 8, 2011",['Summer 2010'],Unknown,"None found,","None found,",['Shin-Ei Animation'],Unknown,"['Adventure', 'Comedy']",,['Kids'],25 min. per ep.,PG - Children,6.05,#9650,#10959,"2,653",3,833,"In their new adventure, Yuuna and Stitch move from their small island Izayoi to the Okinawa main island where Yuuna is supposed to visit a school. A new cast of friends awaits them there as well as a new crisis approaching from space. (Source: AniDB)","['Prequel (TV) Stitch! Itazura Alien no Daibouken', 'Prequel (Special) Stitch!: Itazura Alien no Daibouken - Uchuu Ichi no Oniichan', 'Sequel (TV Special) Stitch to Suna no Wakusei', '']",Stitch!: Zutto Saikou no Tomodachi,,,,
19,AI Football GGO,超智能足球,GGO Football,GGO Football,GGO Football,['TV'],52,Finished Airing,"Jun 2, 2010 to Jun 10, 2014",['Summer 2010'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],Original,"['Comedy', 'Sports']",,,22 min. per ep.,G - All Ages,6.58,#6606,#11199,"2,473",10,1207,"As we enter the 21st century, the relationship between sports and technology is getting closer and closer. Sports products are enhanced by technological advances. The designs of footballs and football shoes require detailed information and computer tests in order to produce products that will allow us to reach the full potential and beyond. If we were only reliant on human testing, the standards would definitely fluctuate greatly. Thus, Professor GGO was brought in as consultant in the research, and as a result GGO robotic footballers were created. (Source: GGO Football Website)","['Sequel (TV) Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian', '']",Chao Zhi Neng Zu Qiu,GGO Football,,['Team Sports'],
