,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genre,Themes,Spanish,Demographics
0,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,['TV'],64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",['Spring 2009'],Sundays at 17:00 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Techno Sound']","['Funimation', 'Aniplex of America']",['Bones'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),9.10,#2,#3,"3,486,881","232,140",2198350,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world. [Written by MAL Rewrite]","['Adaptation (Manga) Fullmetal Alchemist', '']",Fullmetal Alchemist: Brotherhood,,,,,
1,"Keion, K-ON! Season 1",けいおん!,K-ON!,K-ON!,['TV'],13,Finished Airing,"Apr 3, 2009 to Jun 26, 2009",['Spring 2009'],Fridays at 01:59 (JST),"['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']","['Bandai Entertainment', 'Sentai Filmworks']",['Kyoto Animation'],['4-koma manga'],,,,24 min. per ep.,PG-13 - Teens 13 or older,7.86,#902,#149,"1,086,136","24,683",590264,"A fresh high school year always means much to come, and one of those things is joining a club. Being in a dilemma about which club to join, Yui Hirasawa stumbles upon and applies for the Light Music Club, which she misinterprets to be about playing simple instruments, such as castanets. Unable to play an instrument, she decides to visit to apologize and quit. Meanwhile, the Light Music Club faces disbandment due to a lack of members. This causes the club members to offer anything, from food to slacking off during club time, in order to convince Yui to join. Despite their efforts, Yui insists on leaving due to her lack of musical experience. As a last resort, they play a piece for Yui, which sparks her fiery passion and finally convinces her to join the club. From then onward, it is just plain messing around with bits and pieces of practice. The members of the Light Music Club are ready to make their time together a delightful one! [Written by MAL Rewrite]","['Sequel (TV) K-On!!', 'Adaptation (Manga) K-On!']",K-On!,K-ON!,['Comedy'],"['CGDCT', 'Music', 'School']",,
2,Higashi no Eden,東のエデン,Eden of The East,Eden of the East,['TV'],11,Finished Airing,"Apr 10, 2009 to Jun 19, 2009",['Spring 2009'],Fridays at 00:45 (JST),"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Fonishia']",['Funimation'],['Production I.G'],Original,"['Award Winning', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",,,22 min. per ep.,R - 17+ (violence & profanity),7.73,#1216,#402,"580,260","4,234",261086,"On November 22, 2010, Japan was hit by missile strikes, a terrorist act that fortunately did not harm anyone, becoming known as ""Careless Monday."" Quickly forgotten, society goes on about their lives as normal. During her graduation trip to America three months later, friendly college student Saki Morimi's life is forever changed when she finds herself saved from unexpected trouble by Akira Takizawa. Takizawa is cheerful, but odd in many ways—he is stark naked and suffers from amnesia, believing himself to be a terrorist. In addition, he possesses a strange cell phone loaded with 8.2 billion yen in digital cash. Despite Takizawa's suspicious traits, Saki quickly befriends the enigmatic young man. However, unbeknownst to her, this is the beginning of a thrilling death game involving money, cell phones, and the salvation of the world. Higashi no Eden chronicles Saki's struggle to unravel the mysteries behind her savior, while Takizawa himself battles other individuals armed with similar cell phones and returning memories which reveal his possible connection to the event from months ago. [Written by MAL Rewrite]","['Sequel (Movie) Higashi no Eden Movie I: The King of Eden', 'Adaptation (Light Novel) Shousetsu Higashi no Eden']",Higashi no Eden,Eden of the East,,"['Adult Cast', 'Psychological']",,
3,"Suzumiya Haruhi no Yuutsu (2009), Endless Eight, The Sigh of Haruhi Suzumiya",涼宮ハルヒの憂鬱,The Melancholy of Haruhi Suzumiya Season 2,La Mélancolie de Haruhi Suzumiya Saison 2,['TV'],14,Finished Airing,"May 22, 2009 to Sep 11, 2009",['Spring 2009'],Fridays at 00:40 (JST),"['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx']","['Funimation', 'Bandai Entertainment']",['Kyoto Animation'],['Light novel'],"['Comedy', 'Mystery', 'Sci-Fi']",['School'],,24 min. per ep.,PG-13 - Teens 13 or older,7.22,#3233,#432,"546,583","2,386",313005,"Kyon has found himself dragged through many adventures as of late—all because of the SOS Brigade club and its excitable leader, Haruhi Suzumiya. He has stopped believing in the supernatural long ago, but after being forced to join this club based solely on that, he has seen things that cannot be explained logically. Joining Kyon on his various misadventures is the shy and soft-spoken Mikuru Asahina, the bookish Yuki Nagato, and the ever-cheerful Itsuki Koizumi. Whether it is summer vacation or a school festival, things involving their club and Haruhi herself always end up becoming strange. [Written by MAL Rewrite]","['Prequel (TV) Suzumiya Haruhi no Yuuutsu', 'Sequel (Movie) Suzumiya Haruhi no Shoushitsu', 'Adaptation (Manga) Suzumiya Haruhi no Yuuutsu', 'Adaptation (Light Novel) Suzumiya Haruhi Series']",Suzumiya Haruhi no Yuuutsu (2009),Die Melancholie der Haruhi Suzumiya: Staffel 2,,,,
4,,パンドラハーツ,Pandora Hearts,,['TV'],25,Finished Airing,"Apr 3, 2009 to Sep 25, 2009",['Spring 2009'],Fridays at 01:29 (JST),"['Square Enix', 'TBS', 'flying DOG']","['NIS America, Inc.']",['Xebec'],['Manga'],"['Adventure', 'Fantasy', 'Mystery']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.64,#1462,#554,"441,602","5,226",178224,"To young Oz Vessalius, heir to the Vessalius Duke House, the perilous world called the Abyss is nothing more than a folktale used to scare misbehaving children. However, when Oz's coming-of-age ceremony is interrupted by the malicious Baskerville Clan intent on banishing him into the depths of the Abyss, the Vessalius heir realizes that his peaceful life of luxury is at its end. Now, he must confront the world of the Abyss and its dwellers, the monstrous ""Chains,"" which are both not quite as fake as he once believed. Based on the supernatural fantasy manga of the same name, Pandora Hearts tells the story of fifteen-year-old Oz's journey to discover the meaning behind the strange events that have overtaken his life. Assisted by a mysterious Chain named Alice, whose nickname is ""Bloodstained Black Rabbit,"" and members of a clandestine organization known as ""Pandora,"" Oz begins to realize his existence may have more meaning than he could have ever imagined. [Written by MAL Rewrite]","['Adaptation (Manga) Pandora Hearts', '']",Pandora Hearts,,,,,
5,"Dragonball Kai, DBK, DB Kai, DBZ Kai",ドラゴンボール改,Dragon Ball Z Kai,Dragon Ball Z Kai,['TV'],97,Finished Airing,"Apr 5, 2009 to Mar 27, 2011",['Spring 2009'],Sundays at 09:00 (JST),['Fuji TV'],['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Martial Arts'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.76,#1130,#604,"411,492","3,705",253486,"Five years after the events of Dragon Ball, martial arts expert Gokuu is now a grown man married to his wife Chi-Chi, with a four-year old son named Gohan. While attending a reunion on Turtle Island with his old friends Master Roshi, Krillin, Bulma and others, the festivities are interrupted when a humanoid alien named Raditz not only reveals the truth behind Gokuu's past, but kidnaps Gohan as well. With Raditz displaying power beyond anything Gokuu has seen before, he is forced to team up with his old nemesis, Piccolo, in order to rescue his son. But when Gokuu and Piccolo reveal the secret of the seven mystical wish-granting Dragon Balls to Raditz, he informs the duo that there is more of his race, the Saiyans, and they won’t pass up an opportunity to seize the power of the Dragon Balls for themselves. These events begin the saga of Dragon Ball Kai, a story that finds Gokuu and his friends and family constantly defending the galaxy from increasingly more powerful threats. Bizarre, comical, heartwarming and threatening characters come together in a series of battles that push the powers and abilities of Gokuu and his friends beyond anything they have ever experienced.","['Prequel (TV) Dragon Ball', 'Sequel (TV Special) Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni', 'Adaptation (Manga) Dragon Ball', '']",Dragon Ball Kai,Dragon Ball Z Kai,,,,
6,,Phantom 〜Requiem for the Phantom〜,Phantom: Requiem for the Phantom,,['TV'],26,Finished Airing,"Apr 3, 2009 to Sep 25, 2009",['Spring 2009'],Fridays at 02:15 (JST),"['Genco', 'Media Factory']",['Funimation'],['Bee Train'],Visual novel,"['Action', 'Drama', 'Suspense']",['Organized Crime'],,24 min. per ep.,R+ - Mild Nudity,7.92,#787,#737,"344,908","4,526",128498,"Mafia is rife in America where assassinations are a regular occurrence on the streets. Inferno, a mysterious company, is behind most of these dealings through the use of their near-invincible human weapon, ""Phantom."" One day, a Japanese tourist accidentally witnesses Phantom's latest murder. Desperate to escape, the tourist hides in a secluded building. However, Phantom, revealed to be a young woman named Ein, and the leader of Inferno ""Scythe Master"" captures the tourist and brainwashes him. Given the name ""Zwei,"" this once peaceful tourist is now a puppet of Inferno with no memories. Drawn into a world of lies, deceit, and violence, Zwei must fight to survive, hopefully to one day regain his memories and escape from this world where he is constantly on the brink of death. [Written by MAL Rewrite]","['Adaptation (Light Novel) Phantom: Phantom of Inferno', 'Adaptation (Manga) Phantom: Requiem for the Phantom']",Phantom: Requiem for the Phantom,,,,,
7,"07 Ghost, Seven Ghost, 7 Ghosts, The Seven Ghosts",セブンゴースト,07-Ghost,,['TV'],25,Finished Airing,"Apr 7, 2009 to Sep 22, 2009",['Spring 2009'],Tuesdays at 01:40 (JST),['Ichijinsha'],['Discotek Media'],['Studio Deen'],['Manga'],"['Action', 'Fantasy']",,['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,7.18,#3481,#1196,"217,031","2,097",106373,"Barsburg Empire's Military Academy is known for training elites who bring victory to the empire. Students of the academy freely utilize an ability called ""Zaiphon"" to fight, while the types of Zaiphon usable depends on the nature of the soldier. Teito Klein, a student at the academy, is one of the most promising soldiers produced. Although ridiculed by everyone for being a sklave (German for slave) with no memories of his past, he is befriended by a fellow student called Mikage. While preparing for the final exam, Teito uncovers a dark secret related to his past. When an attempt to assassinate Ayanami, a high-ranking official who killed his father, fails, Teito is locked away awaiting punishment. Only wanting the best for Teito, Mikage helps him escape. Teito ends up at the 7th District Church where he is taken in by the bishops. It is here that Teito attempts to evade the grasp of Ayanami and the Military, so he can rediscover his memories and learn why he is the person that can change the fate of the world. [Written by MAL Rewrite]","['Adaptation (Manga) 07-Ghost', '']",07-Ghost,,,"['Military', 'Mythology']",,
8,,戦国BASARA,Sengoku Basara: Samurai Kings,Sengoku Basara: Samurai Kings,['TV'],12,Finished Airing,"Apr 2, 2009 to Jun 18, 2009",['Spring 2009'],Thursdays at 01:29 (JST),"['Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Movic', 'flying DOG']",['Funimation'],['Production I.G'],Game,"['Action', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2747,#1523,"166,024",959,66527,"In the Sengoku period, the struggle for power and unification has brought endless bloodshed to the unstable Japan. Out of all the warring generals, Nobunaga Oda—the ""Demon King of Owari""—has established himself as the strongest ruler. Friend or foe, he is determined to crush anyone who stands in his way of creating a tyrannical central government. The only two who dare rebel against Oda are the ""One-eyed Dragon of Oshu"" Masamune Date, and the distinguished but hot-blooded warrior of the Takeda clan, Yukimura Sanada. Though they share the goal of preventing Oda from unifying the domains, Masamune and Yukimura cannot see eye-to-eye. Equally skilled in combat, mutual admiration for one another causes these two feuding warriors to forge a fierce rivalry, thwarting any attempts to form a united front against the Demon King of Owari. With Oda's forces closing in on their respective territories, Masamune and Yukimura reluctantly learn to put aside their differences and fight together against the threatening usurpator. [Written by MAL Rewrite]","['Sequel (TV) Sengoku Basara Ni', 'Adaptation (Manga) Sengoku Basara Ranse Ranbu', 'Adaptation (Manga) Sengoku Basara', '']",Sengoku Basara,Sengoku Basara Samurai Kings,,"['Historical', 'Martial Arts', 'Samurai']",,
9,Battlefield Valkyria: Gallian Chronicles,戦場のヴァルキュリア,Valkyria Chronicles,,['TV'],26,Finished Airing,"Apr 5, 2009 to Sep 27, 2009",['Spring 2009'],Sundays at 01:35 (JST),"['Aniplex', 'Sega', 'Sakura Create']","None found,",['A-1 Pictures'],Game,"['Action', 'Romance']",['Military'],,24 min. per ep.,PG-13 - Teens 13 or older,7.56,#1733,#1788,"134,729",613,55985,"In its expansion west to gain resources, the Europan Imperial Alliance invades the neutral Principality of Gallia, seeking to take control of its vast Ragnite deposits. Their strategic advantage, technological superiority, and military might make opposition nonexistent, so they steamroll through the border of the sleepy principality with ease. As Imperial forces run through his quiet hometown, Welkin Gunther and his younger sister Isara jump into action, banding with the leader of the local militia to push the occupational forces out of the village. Quickly retreating to the Gallian capital, they are organized into a unit with the remnants of the militia, tasked with assisting in repelling the Imperial presence from the country. Though unfamiliar with war, the newly formed Squad Seven must defend their country from annexation. But as the battle rages on through the streets of Gallia, ancient secrets will bring the team closer than they'd ever anticipated. [Written by MAL Rewrite]","['Adaptation (Manga) Senjou no Valkyria: Gallian Chronicles', '']",Senjou no Valkyria,,,,,
