,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Synonyms,Demographics
10,ハイスコアガール,Hi Score Girl,,,,['TV'],12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018",['Summer 2018'],Saturdays at 00:30 (JST),"['Square Enix', 'Warner Bros. Japan', 'KlockWorx', 'Good Smile Company']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Romance']","['Love Polygon', 'School', 'Video Game']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.75,#1170,#964,"268,820","2,932",141216,"The year is 1991, and arcade video games are the latest craze. Becoming a professional gamer is a far-fetched dream in an industry that has yet to spread its influence. Yet, that is the path sixth-grader Haruo Yaguchi wants to pursue. His aptitude for video games has earned him respect in local arcades and bestowed him with confidence and pride, both of which are shattered when fellow classmate Akira Oono easily defeats him in Street Fighter 2. Akira is rich, pretty, and smart—as close as can be to a perfect girl. But Haruo had never cared about these things as, despite his multiple shortcomings as a person, his supremacy in video games was, in his mind, undisputed. So, now that someone has appeared who can rival him, part of Haruo cannot help but loathe her. Another part, however, itches for somebody who can compete with him on equal terms, and Akira is more than capable. [Written by MAL Rewrite]","['Sequel (OVA) High Score Girl: Extra Stage', 'Adaptation (Manga) High Score Girl']",High Score Girl,,,,
11,天狼〈シリウス〉 Sirius the Jaeger,Sirius the Jaeger,,,,['TV'],12,Finished Airing,"Jul 12, 2018 to Sep 27, 2018",['Summer 2018'],Thursdays at 23:00 (JST),"['Sotsu', 'Warner Bros. Japan', 'Infinite']","None found,",['P.A. Works'],Original,"['Action', 'Supernatural']","['Historical', 'Vampire']",,23 min. per ep.,R - 17+ (violence & profanity),6.96,#4569,#1007,"258,343",697,116130,"In the year 1930, vampires have infiltrated Tokyo to feast upon its unsuspecting citizens. As the number of victims continues to rise, the city's authorities decide to hire the Jaegers—a strange, diverse group of individuals tasked by the V Shipping Company to hunt down vampires around the world. Carrying musical instrument cases to disguise their identity, the Jaegers battle the vampires with the same mercilessness demonstrated by their foes. Yuliy, the Jaeger's most skilled warrior, is the sole survivor of a vampire raid on his home village. Using the strength granted by his werewolf blood, he works with his team to assist Tokyo's law enforcement with the city's vampire problem. Though under the pretense of helping the police, the Jaegers are actually fighting the vampires over the mystical Ark of Sirius. With its power to change the fate of the world, Yuliy and his friends must locate the artifact before the vampires can use it to achieve their destructive goals. [Written by MAL Rewrite]",[],Sirius,,,Tenrou,
12,銀魂. 銀ノ魂篇 後半戦,Gintama. Silver Soul Arc - Second Half War,,,,['TV'],14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",['Summer 2018'],Mondays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']","None found,",['Bandai Namco Pictures'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.88,#22,#1233,"209,533","1,062",100544,"Following the temporary retreat of the Altana Liberation Army from the Kabuki District, the state of the war has seemingly improved. However, as the Oniwaban, Shinsengumi, and residents of the district combat the army's remnants, Edo's greatest inventor Gengai Hiraga is abducted. Responsible for causing the enemy's withdrawal by rendering their weapons useless, Gengai's nanomachine virus is now at risk of being shut down. Meanwhile, a laser capable of obliterating a planet is activated in Earth's orbit on the Liberation Army's mother ship. Another battle ensues when Shinsuke Takasugi and the rest of the Kiheitai arrive on the vessel to stop the weapon from firing. Forced to fight a war on two fronts, the Yorozuya and their allies must prevail on both sides to save Edo and the rest of the world. [Written by MAL Rewrite]","['Prequel (TV) Gintama. Shirogane no Tamashii-hen', 'Sequel (Special) Gintama: The Semi-Final', 'Adaptation (Manga) Gintama', '']",Gintama. Shirogane no Tamashii-hen - Kouhan-sen,,,Gintama. Silver Soul Arc 2,
13,百錬の覇王と聖約の戦乙女〈ヴァルキュリア〉,The Master of Ragnarok & Blesser of Einherjar,The Master of Ragnarok & Blesser of Einherjar,The Master of Ragnarok & Blesser of Einherjar,The Master of Ragnarok & Blesser of Einherjar,['TV'],12,Finished Airing,"Jul 8, 2018 to Sep 23, 2018",['Summer 2018'],Sundays at 01:30 (JST),"['Sotsu', 'Crunchyroll SC Anime Fund']",['Funimation'],['EMT Squared'],['Light novel'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Military']",,23 min. per ep.,PG-13 - Teens 13 or older,5.68,#11501,#1254,"204,655",322,94891,"Some urban legends are best left untested! Yuuto Suou gets more than he bargained for when he joins his childhood friend Mitsuki Shimoya in testing out an urban legend. When he uses his phone to take a picture of himself with the local shrine's divine mirror, he is whisked off into another world—one heavily steeped in the lore of the old Norse myths. Using his knowledge gained from school and from his solar-powered smartphone, he has the chance to bring the Wolf Clan, the same people who cared for him, to prominence, all while earning the adoration of a group of magic-wielding warrior maidens known as the Einherjar. (Source: J-Novel Club)","['Adaptation (Manga) Hyakuren no Haou to Seiyaku no Valkyria', 'Adaptation (Light Novel) Hyakuren no Haou to Seiyaku no Valkyria']",Hyakuren no Haou to Seiyaku no Valkyria,,,Hyakuren no Haou to Seiyaku no Ikusa Otome,
14,Free!-Dive to the Future-,,,,,['TV'],12,Finished Airing,"Jul 12, 2018 to Sep 27, 2018",['Summer 2018'],Thursdays at 00:00 (JST),"['ABC Animation', 'Heart Company']",['Funimation'],"['Kyoto Animation', 'Animation Do']",Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,7.60,#1592,#1370,"187,449",612,85644,"With the seniors having graduated from high school, the determined swimmers eagerly take on their futures with a dream to fulfill. Now attending Hidaka University in Tokyo, Haruka Nanase unexpectedly runs into Shiina Asahi, an old teammate and friend from his middle school days. Consequently, the troubling memories regarding his middle school swim team resurface, as it was a time when Haruka's views on swimming became negative and led him to quit the team. Haruka later reconnects with his other middle school classmates; all except for Ikuya Kirishima, who still resents Haruka for quitting the team, resulting in its disbandment. Aware of the issues between them, Haruka resolves to improve his friendship with Ikuya. However, he quickly realizes that making amends with an old friend isn't his only obstacle. Facing the reality and challenges of encountering higher calibre swimmers, Haruka must work hard to establish himself if he dreams of competing on an international level. [Written by MAL Rewrite]","['Prequel (TV) Free! Eternal Summer', 'Prequel (Movie) Free! Movie 2: Timeless Medley - Yakusoku', 'Prequel (Special) Free! Dive to the Future - Soushun no Build-up!', 'Sequel (Movie) Free! Movie 4: The Final Stroke - Zenpen']",Free! Dive to the Future,['School'],['Sports'],Free! 3rd Season,
15,はねバド！,Hanebado!,,,,['TV'],13,Finished Airing,"Jul 2, 2018 to Oct 1, 2018",['Summer 2018'],Mondays at 00:00 (JST),"['Kodansha', 'AT-X', 'Ultra Super Pictures', 'TOHO animation', 'Q-Tec', 'Sammy', 'BS11', 'Contents Seed', 'Toho Music', 'MediaLink Entertainment Limited']",['Funimation'],['LIDENFILMS'],['Manga'],,,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,6.84,#5132,#1554,"161,613",370,76342,"After her crushing defeat of 21-0 at the National Junior Badminton Tournament, Nagisa Aragaki's love for her sport begins to distort. Unable to deal with the shame of loss, she starts to terrorize the members of her high school badminton club. Her grueling drills bring some to the verge of tears while others quit the club outright. With the team losing members and new prospects being too terrified to join, the future of the badminton club looks exceptionally grim. That is, until Kentarou Tachibana joins as the new head coach. Not only is he an Olympic-level player, but he also comes bearing a secret weapon: Ayano Hanesaki, the girl who defeated Nagisa six months ago. However, Ayano is not the rival Nagisa remembers, but a girl with conflicted feelings wanting to distance herself from badminton. With her future in sports now on the line, Nagisa must find a way to face her fears of inadequacy, heal her rival's troubled heart, and bring victory to Kitakomachi High School's badminton club. [Written by MAL Rewrite]","['Adaptation (Manga) Hanebado!', '']",Hanebado!,['School'],['Sports'],The Badminton play of Ayano Hanesaki!,
16,Back Street Girls -ゴクドルズ,Back Street Girls: Gokudols,Back Street Girls: GOKUDOLS,,Back Street Girls: GOKUDOLS,['TV'],10,Finished Airing,"Jul 4, 2018 to Sep 5, 2018",['Summer 2018'],Wednesdays at 01:00 (JST),"['Toei Video', 'Kodansha']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Ecchi']","['Gag Humor', 'Magical Sex Shift', 'Organized Crime', 'Workplace']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.97,#4526,#1560,"161,083",735,83817,"After failing their boss for the last time, yakuza members Kentarou, Ryou, and Kazuhiko are faced with one of two choices: have their organs harvested and sold or take a trip to Thailand for sex reassignment surgery and become pop idols. Now, after a year of excruciating training, the three thugs have been reborn as Airi, Chika, and Mari. Debuting as the amateur idol group The Goku Dolls, the three strive towards becoming top idols. However, despite the hours of feminizing brainwashing they were forced to endure, the three idols have managed to keep the yakuza spirit alive in their hearts. In order to fix this, their yakuza boss hires Mandarin Kinoshita, a legendary manager who has never had an idol group fail under his management. With their lives now on the line, the reluctant yakuza must work with their new manager to unleash their inner cuteness and become the successful idols that their tyrannical boss can truly be proud of. [Written by MAL Rewrite]","['Adaptation (Manga) Back Street Girls', '']",Back Street Girls: Gokudolls,,,"Back Street Girls: Washira Idol Hajimemashita., Gokudols",
17,すのはら荘の管理人さん,Miss Caretaker of Sunohara-sou,,,,['TV'],12,Finished Airing,"Jul 5, 2018 to Sep 20, 2018",['Summer 2018'],Thursdays at 21:00 (JST),"['Sotsu', 'AT-X', 'flying DOG', 'bilibili', 'Ichijinsha', 'DMM pictures']",['Funimation'],['SILVER LINK.'],['4-koma manga'],"['Comedy', 'Ecchi']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.74,#5644,#1586,"157,938",444,60589,"Aki Shiina has always been perceived as a girl because of his feminine appearance. Wishing to change himself and forget his past, he moves to a dorm and enrolls in a middle school in Tokyo. Arriving at his new home, Aki is welcomed warmly by the dorm's caretaker, Ayaka Sunohara, who immediately takes a liking to him. But he soon finds out that all of his new roommates are girls from the student council! The girls often tease Aki, seeing him as very girlish. However, still determined to become more masculine, Aki tries his best to help the people around him. [Written by MAL Rewrite]","['Adaptation (Manga) Sunohara-sou no Kanrinin-san', '']",Sunohara-sou no Kanrinin-san,['Harem'],,,
18,七星のスバル,Seven Senses of the Re'Union,Seven Senses of the Re’Union,La Unión de los Siete Sentidos,Les Sept Sens de la Re'Union,['TV'],12,Finished Airing,"Jul 6, 2018 to Sep 21, 2018",['Summer 2018'],Fridays at 01:58 (JST),"['TBS', 'SUPA LOVE']",['Sentai Filmworks'],['Lerche'],['Light novel'],"['Action', 'Drama', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.10,#9397,#1684,"145,344",237,54694,"Asahi's life in reality ended simultaneously when she died playing Union, a world-renowned online RPG. The members of Subaru went separate ways when Union shut down due to Asahi's death. Six years later, Haruto logs onto a renewed version of Re'Union and reunites with Asahi who had died. Is it really her or just an electronic ghost? The former team members reunite and enter the mysterious and deadly online game to find out. (Source: TBS Global Business)","['Adaptation (Light Novel) Shichisei no Subaru', '']",Shichisei no Subaru,['Video Game'],,,
19,ISLAND,Island,,,,['TV'],12,Finished Airing,"Jul 1, 2018 to Sep 16, 2018",['Summer 2018'],Sundays at 22:00 (JST),"['MAGES.', 'Crunchyroll', 'Yomiuri TV Enterprise', 'Top Marshal', 'Front Wing']",['Funimation'],['feel.'],Visual novel,"['Drama', 'Romance', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.31,#8244,#1765,"136,560",381,55636,"On a remote island far from the mainland named Urashima, a man washes ashore, with no recollection of his name or homeland. What he does recall, however, is that he is a time traveler with a mission: to save a certain girl from harm. As nightfall arrives, he meets Rinne Ohara, a girl who sings a tune that reminds him of a specific name—Setsuna—and decides to use it as his own. Knowing another ""Setsuna"" herself, Rinne takes him to her household as a servant, hoping that he is the same one she remembers. On the other hand, Setsuna continues to learn more about Urashima, desiring to identify his lost past. He comes to know about the island's folklore, its three great families, and the endemic disease that prevents anyone afflicted from stepping out into the daylight. As the mysteries of his missing memories and Urashima itself unfold, Setsuna must remember his purpose and fulfill his mission as soon as possible. But, as he witnesses the myriad of troubles plaguing the island, Setsuna begins to question—is his temporal displacement merely an effort to change a single girl's fate? [Written by MAL Rewrite]","['Adaptation (Manga) Island', '']",Island,['Time Travel'],,,
