,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Synonyms,Demographics
51,ざんねんないきもの事典,,,,,['TV'],10,Finished Airing,"Aug 6, 2018 to Aug 17, 2018",['Summer 2018'],Not scheduled once per week,"['NHK', 'Fanworks']","None found,",['NHK Enterprises'],Picture book,"['Comedy', 'Slice of Life']",,,5 min. per ep.,PG - Children,5.96,#10089,#16109,610,0,161,"The book series offers humourous introductions to surprising aspects of living creatures, such as ""raccoons don't really wash their food,"" and ""dolphins would drown if they fall completely asleep."" (Source: ANN)","['Sequel (TV) Zannen na Ikimono Jiten (2019)', '']",Zannen na Ikimono Jiten,['Educational'],,Encyclopedia of Pitiful Creatures,
52,かみさまみならい ヒミツのここたま 特别篇,,,,,['TV'],8,Finished Airing,"Jul 5, 2018 to Aug 30, 2018",['Summer 2018'],Thursdays at Unknown,"['TV Tokyo', 'Lantis']","None found,",['OLM'],Original,"['Fantasy', 'Slice of Life']",,['Kids'],3 min. per ep.,PG - Children,[],#19272,#17212,484,0,,Short episodes that introduce the Cocotama's from Kirakira Happy★Hirake! Cocotama TV series.,[],Kamisama Minarai: Himitsu no Cocotama - Minarai Cocotama-dou,,,,
53,カエル王子といもむしヘンリー,Frog Prince & Henry The Caterpillar,,,,['TV'],130,Finished Airing,"Jul 2, 2018 to Dec 28, 2018",['Summer 2018'],Not scheduled once per week,"None found,","None found,","None found,",Other,"['Comedy', 'Fantasy']",,,40 sec. per ep.,G - All Ages,[],#19171,#17954,423,0,,"The story centers on a frog prince cursed by a witch and his servant, a caterpillar named Henry. (Source: ANN)",[],Kaeru Ouji to Imomushi Henry,,,Frog Prince and Caterpillar Henry,
54,꼬마버스 타요 5,Tayo the Little Bus Season 5,Tayo Der Kleine Bus Staffel 5,Tayo El Pequeño Autobús Serie 5,,['TV'],26,Finished Airing,"Aug 29, 2018 to Feb 20, 2019",['Summer 2018'],Unknown,"None found,","None found,","['Iconix Entertainment', 'Studio Gale']",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#19463,#18685,366,0,,The fifth season of Kkoma Bus Tayo.,"['Prequel (TV) Kkoma Bus Tayo 4', 'Sequel (Special) Tayo-ui Gonglyong Adventure', 'Sequel (TV) Kkoma Bus Tayo 6', '']",Kkoma Bus Tayo 5,['Racing'],,,
55,京剧猫之乘风破浪,Jing-Ju Cats 3,,,,['TV'],52,Finished Airing,"Jul 9, 2018 to Aug 13, 2018",['Summer 2018'],Not scheduled once per week,"None found,","None found,",['Dazzling Star'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],12 min. per ep.,PG - Children,[],#19042,#19085,337,4,,Third season of Jingju Mao.,"['Prequel (TV) Jingju Mao Zhi Xinnian de Maoxian', 'Sequel (ONA) Jingju Mao Zhi Jiaota Shidi']",Jingju Mao Zhi Cheng Feng Polang,['Martial Arts'],,"Jingju Mao 3rd Season, Beijing Opera Cats",
56,ハワイアン コヌ,,,,,['TV'],13,Finished Airing,"Jul 7, 2018 to Sep 29, 2018",['Summer 2018'],Saturdays at 07:55 (JST),"None found,","None found,",['Magic Bus'],Picture book,"['Comedy', 'Slice of Life']",,,5 min. per ep.,None,[],#18455,#19279,327,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hawaiian Conu,,,,
57,赛尔号第9季：霹雳九重天,,,,,['TV'],30,Finished Airing,"Jun 8, 2018 to Sep 28, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Game,,,['Kids'],16 min. per ep.,PG - Children,[],#21501,#22589,151,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Sai Er Hao Season 8: Huanmeng Zhan Ji', 'Sequel (TV) Sai Er Hao Season 10: Bing Feng Yaosai']",Sai Er Hao Season 9: Pili Jiuchong Tian,,,Seer Ninth Season,
58,또봇 V,Tobot: Galaxy Detectives,,,,['TV'],52,Finished Airing,"Jul 12, 2018 to Aug 1, 2019",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,['Kids'],11 min. per ep.,PG - Children,[],#14924,#22720,145,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"[""Prequel (TV) Tobot V: Swag's Secret"", ""Sequel (TV) Tobot V: Swag's Secret"", 'Sequel (TV) Tobot V Season 2', '']",Tobot V,['Mecha'],,"Ttobos V, Tobot GD",
59,엠버와 함께하는 생활안전 이야기,Daily Life Safety with Amber,,,,['TV'],26,Finished Airing,"Aug 31, 2018 to Nov 23, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,,"['Educational', 'Racing']",['Kids'],6 min. per ep.,PG - Children,[],#16551,#23301,127,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Amber wa Hamkkehaneun Saenghwalanjeon Iyagi,,['Comedy'],,
60,草本家族,Herb Family,,,,['TV'],52,Finished Airing,"Jul 12, 2018 to Aug 6, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],13 min. per ep.,PG - Children,[],#17129,#23683,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Caoben Jiazu,,,,
61,헬로 카봇 쿵,,,,,['TV'],26,Finished Airing,"Aug 3, 2018 to Jan 25, 2019",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Racing']",['Kids'],11 min. per ep.,PG - Children,[],#18494,#23898,114,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hello Carbot Kung,,['Action'],,
62,转战之超旋斗士,,,,,['TV'],38,Finished Airing,"Aug 25, 2018 to Oct 1, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],23 min. per ep.,PG-13 - Teens 13 or older,[],#16386,#24396,104,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Zhuanzhan Chao Xuan Doushi: Chao Xuan Juexing', '']",Zhuanzhan Zhi Chao Xuan Doushi,,,,
63,太姥娘娘与白茶仙子,,,,,['TV'],26,Finished Airing,"Jun 29, 2018 to Jul 11, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],13 min. per ep.,PG - Children,[],#14669,#24988,95,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tai Lao Niangniang Yu Baicha Xianzi,,['Fantasy'],,
64,파파독 시즌 2,,,,,['TV'],19,Finished Airing,"Aug 8, 2018 to Nov 7, 2018",['Summer 2018'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],14 min. per ep.,G - All Ages,[],#20970,#25498,88,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Papa Dog', 'Sequel (TV) Papa Dog Season 2 Part 2']",Papa Dog Season 2,,,,
65,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,494,583","234,514",1418410,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,OP,
66,僕のヒーローアカデミア,My Hero Academia Season 3,My Hero Academia 3. Staffel,My Hero Academia Temporada 3,My Hero Academia Saison 3,['TV'],25,Finished Airing,"Apr 7, 2018 to Sep 29, 2018",['Spring 2018'],Saturdays at 17:30 (JST),"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],['Manga'],,"['School', 'Super Power']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.99,#682,#26,"2,270,866","12,471",1490718,"As summer arrives for the students at UA Academy, each of these superheroes-in-training puts in their best efforts to become renowned heroes. They head off to a forest training camp run by UA's pro heroes, where the students face one another in battle and go through dangerous tests, improving their abilities and pushing past their limits. However, their school trip is suddenly turned upside down when the League of Villains arrives, invading the camp with a mission to capture one of the students. Boku no Hero Academia 3rd Season follows Izuku ""Deku"" Midoriya, an ambitious student training to achieve his dream of becoming a hero similar to his role model—All Might. Being one of the students caught up amidst the chaos of the villain attack, Deku must take a stand with his classmates and fight for their survival. [Written by MAL Rewrite]","['Prequel (TV) Boku no Hero Academia 2nd Season', 'Sequel (TV) Boku no Hero Academia 4th Season', 'Adaptation (Manga) Boku no Hero Academia', '']",Boku no Hero Academia 3rd Season,,['Action'],,
67,ブラッククローバー,Black Clover,,,,['TV'],170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",['Fall 2017'],Tuesdays at 18:25 (JST),"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],['Manga'],"['Action', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.14,#474,#57,"1,770,648","48,440",909467,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically. When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King! [Written by MAL Rewrite]","['Adaptation (Manga) Black Clover', '']",Black Clover,,,,
68,シュタインズ・ゲート ゼロ,Steins;Gate 0,,,,['TV'],23,Finished Airing,"Apr 12, 2018 to Sep 27, 2018",['Spring 2018'],Thursdays at 01:35 (JST),"['Frontier Works', 'Movic', 'Kadokawa']",['Funimation'],['White Fox'],Visual novel,"['Drama', 'Sci-Fi', 'Suspense']",,,23 min. per ep.,PG-13 - Teens 13 or older,8.54,#125,#203,"907,758","12,221",447258,"The eccentric, self-proclaimed mad scientist Rintarou Okabe has become a shell of his former self. Depressed and traumatized after failing to rescue his friend Makise Kurisu, he has decided to forsake his mad scientist alter ego and live as an ordinary college student. Surrounded by friends who know little of his time travel experiences, Okabe spends his days trying to forget the horrors of his adventures alone. While working as a receptionist at a college technology forum, Okabe meets the short, spunky Maho Hiyajo, who later turns out to be the interpreter at the forum's presentation, conducted by Professor Alexis Leskinen. In front of a stunned crowd, Alexis and Maho unveil Amadeus—a revolutionary AI capable of storing a person's memories and creating a perfect simulation of that person complete with their personality and quirks. Meeting with Maho and Alexis after the presentation, Okabe learns that the two were Kurisu's colleagues in university, and that they have simulated her in Amadeus. Hired by Alexis to research the simulation's behavior, Okabe is given the chance to interact with the shadow of a long-lost dear friend. Dangerously tangled in the past, Okabe must face the harsh reality and carefully maneuver around the disastrous consequences that come with disturbing the natural flow of time. [Written by MAL Rewrite]","['Prequel (TV Special) Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero', 'Adaptation (Manga) Steins;Gate 0']",Steins;Gate 0,['Time Travel'],,"Steins,Gate Zero",
69,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,,,,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9907,#208,"895,097","7,373",456857,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,['Martial Arts'],,,
70,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#433,#704,"360,648","15,327",164259,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,['Detective'],,Detective Conan,
71,TVアニメ「ペルソナ５」,Persona 5 the Animation,Persona 5 The Animation,Persona 5 The Animation,Persona 5 The Animation,['TV'],26,Finished Airing,"Apr 8, 2018 to Sep 30, 2018",['Spring 2018'],Sundays at 00:30 (JST),"['Aniplex', 'A-1 Pictures', 'Movic', 'Atlus', 'Sammy', 'Sonilude']",['Aniplex of America'],['CloverWorks'],Game,,"['School', 'Super Power']",,24 min. per ep.,R - 17+ (violence & profanity),6.44,#7483,#968,"267,891",985,103060,"Ren Amamiya, a new transfer student at Shujin Academy, is sent to Tokyo to live with his family friend Sojiro Sakura after wrongly being put on probation for defending a woman from sexual assault. While on the way to attend his first day at his new school, Ren notices a strange app has appeared on his phone, transferring him to a world known as the Metaverse, which contains people's ""shadows"": distorted depictions of their true selves. In the Metaverse, he awakens his Persona, a power from deep within that gives him the strength to fight the shadows. With the help of similarly troubled students, he forms the Phantom Thieves of Hearts, attempting to save people from their sinful desires by ""taking their heart,"" making evildoers regret their actions and turn over a new leaf. The group's reputation continues to grow explosively, bringing along fame both positive and negative. However, during the peak of their popularity, Ren gets captured and taken into custody. Here, he wakes up to a harsh interrogation, but this is cut short by the arrival of Sae Niijima—a prosecutor seeking answers. Just how will she react to his story, and what will become of the Phantom Thieves? [Written by MAL Rewrite]","['Sequel (TV Special) Persona 5 the Animation TV Specials', 'Adaptation (Manga) Persona 5']",Persona 5 the Animation,,['Action'],"P5A, Persona 5 the Anime",
72,あっくんとカノジョ,My Sweet Tyrant,My Sweet Tyrant,My Sweet Tyrant,My Sweet Tyrant,['TV'],25,Finished Airing,"Apr 6, 2018 to Sep 21, 2018",['Spring 2018'],Fridays at 22:30 (JST),"None found,","None found,",['Yumeta Company'],['Manga'],"['Comedy', 'Romance']",,['Josei'],3 min. per ep.,PG-13 - Teens 13 or older,6.82,#5241,#1355,"189,114",319,81639,"Despite his incredible bashfulness, Atsuhiro ""Akkun"" Kagari has landed the girl of his dreams: the sweet and loveable Non Katagiri. However, his embarrassment for affectionate acts—from giving compliments to exchanging a kiss—causes him to act harsh and downright mean to Katagiri in their day-to-day lives. But Akkun is still very much a boy in love; he shows his admiration for Katagiri in his own way. From tailing her in order to take her picture to eavesdropping in on her conversations, he ends up stalking his own girlfriend. Luckily enough, Katagiri finds Akkun's actions cute and endearing, and knows he doesn't really mean any of his insults. Even if their close friend, Masago Matsuo, finds their dynamic a little odd, Katagiri loves her sweet tyrant just the way he is. [Written by MAL Rewrite]","['Adaptation (Manga) Akkun to Kanojo', '']",Akkun to Kanojo,['School'],,Akkun and His Girlfriend,
73,かくりよの宿飯,Kakuriyo: Bed and Breakfast for Spirits,Kakuriyo: Bed & Breakfast for Spirits,Kakuriyo: Bed and Breakfast for Spirits,Kakuriyo: Bed and Breakfast for Spirits,['TV'],26,Finished Airing,"Apr 2, 2018 to Sep 24, 2018",['Spring 2018'],Mondays at 22:30 (JST),"['DLE', 'flying DOG', 'Studio Mausu', 'BS Fuji', 'Tokyo MX', 'NADA Holdings', 'Kadokawa', 'Happinet']",['Funimation'],['Gonzo'],['Light novel'],"['Drama', 'Fantasy', 'Gourmet', 'Romance']","['Adult Cast', 'Isekai', 'Mythology']",,23 min. per ep.,PG-13 - Teens 13 or older,7.54,#1792,#1394,"182,543","1,500",66999,"Abandoned as a child by her mother, Aoi Tsubaki has always had the ability to see ""ayakashi""—spirits from the Hidden Realm. Shirou Tsubaki, her grandfather who shared the same ability, took her under his wing and taught her how to live with the ayakashi in peace. When her grandfather abruptly passes away, the independent Aoi must continue her college career, armed with only her knowledge in cooking as a means of protection against the human-eating spirits. In hopes that the ayakashi will not turn to her or other unknowing humans as a tasty meal, she takes it upon herself to feed the hungry creatures that cross her path. After giving a mysterious ayakashi her lunch, Aoi is transported to the Hidden Realm, where the ayakashi reveals himself to be an ogre-god known as Oodanna, the ""Master Innkeeper."" There, she learns that she was used as collateral for her grandfather's debt of one hundred million yen, and that she must pay the price for her grandfather's careless decision by marrying Oodanna. Aoi valiantly refuses and decides to settle things on her own terms: she will pay off the debt herself by opening an eatery at Oodanna's inn. Kakuriyo no Yadomeshi follows the journey of Aoi as she proceeds to change and touch the lives of the ayakashi through the one weapon she has against them—her delicious cooking. [Written by MAL Rewrite]","['Sequel (TV) Kakuriyo no Yadomeshi 2nd Season', 'Adaptation (Manga) Kakuriyo no Yadomeshi: Ayakashi Oyado ni Yomeiri shimasu.', 'Adaptation (Manga) Kakuriyo no Yadomeshi: Ayakashi Oyado ni Yomeiri shimasu.', 'Adaptation (Novel) Kakuriyo no Yadomeshi']",Kakuriyo no Yadomeshi,,,,
74,ポケットモンスター サン＆ムーン,Pokémon the Series: Sun & Moon,Pokémon Die TV-Serie: Sonne und Mond Staffel 20,Pokémon Serie: Sol y Luna Temporada 20,Pokémon La Serie: Soleil et Lune Saison 20,['TV'],146,Finished Airing,"Nov 17, 2016 to Nov 3, 2019",['Fall 2016'],Sundays at 18:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Fantasy']","['School', 'Strategy Game']",['Kids'],24 min. per ep.,PG - Children,6.95,#4611,#1922,"122,069",595,65598,"After his mother wins a free trip to the islands, Pokémon trainer Satoshi and his partner Pikachu head for Melemele Island of the beautiful Alola region, which is filled with lots of new Pokémon and even variations of familiar faces. Eager to explore the island, Satoshi and Pikachu run wild with excitement, quickly losing their way while chasing after a Pokémon. The pair eventually stumbles upon the Pokémon School, an institution where students come to learn more about these fascinating creatures. At the school, when he and one of the students—the no-nonsense Kaki—have a run-in with the nefarious thugs of Team Skull, Satoshi discovers the overwhelming might of the Z-Moves, powerful attacks originating from the Alola region that require the trainer and Pokémon to be in sync. Later that night, he and Pikachu have an encounter with the guardian deity Pokémon of Melemele Island, the mysterious Kapu Kokeko. The Pokémon of legend bestows upon them a Z-Ring, a necessary tool in using the Z-Moves. Dazzled by their earlier battle and now in possession of a Z-Ring, Satoshi and Pikachu decide to stay behind in the Alola Region to learn and master the strength of these powerful new attacks. Enrolling in the Pokémon School, Satoshi is joined by classmates such as Lillie, who loves Pokémon but cannot bring herself to touch them, Kaki, and many others. Between attending classes, fending off the pesky Team Rocket—who themselves have arrived in Alola to pave the way for their organization's future plans—and taking on the Island Challenge that is necessary to master the Z-Moves, Satoshi and Pikachu are in for an exciting new adventure. [Written by MAL Rewrite]","['Prequel (TV) Pokemon XY&Z', 'Sequel (TV) Pokemon (2019)']",Pokemon Sun & Moon,,,"Pocket Monsters Sun & Moon, Pokémon Sun & Moon",
75,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1028,#2400,"88,018","1,330",42174,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,['School'],,,
76,キャプテン翼,,Captain Tsubasa,,Captain Tsubasa,['TV'],52,Finished Airing,"Apr 3, 2018 to Apr 2, 2019",['Spring 2018'],Tuesdays at 01:35 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Warner Bros. Japan', 'Shueisha']",['VIZ Media'],['David Production'],['Manga'],,,['Shounen'],22 min. per ep.,G - All Ages,7.42,#2284,#2566,"79,133",385,35528,"Captain Tsubasa is the passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing football at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession. In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd. He encounters not only rivals, but also new friends like the pretty girl Sanae Nakazawa and the talented goalkeeper, Genzo Wakabayashi, who shares the same passion as Tsubasa, and will prove to be a treasured friend in helping him push towards his dreams. Representing Japan in the FIFA World Cup is Tsubasa’s ultimate dream, but it will take a lot more than talent to reach it.","['Sequel (TV) Captain Tsubasa Season 2: Junior Youth-hen', 'Adaptation (Manga) Captain Tsubasa']",Captain Tsubasa (2018),['Team Sports'],['Sports'],,
77,ゲゲゲの鬼太郎 (2018),GeGeGe no Kitaro,GeGeGe no Kitaro,GeGeGe no Kitaro (2018),GeGeGe no Kitaro,['TV'],97,Finished Airing,"Apr 1, 2018 to Mar 29, 2020",['Spring 2018'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Horror', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.22,#3258,#3193,"53,596",158,12187,"Nearly twenty years into the 21st century, people have forgotten the existence of youkai. When a number of unexplainable phenomena plague adults of the human world with confusion and chaos, thirteen-year-old Mana writes a letter to the Youkai Post in search of answers, only to be greeted by Gegege no Kitarou... (Source: Crunchyroll)","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (2018),['Mythology'],,Spooky Kitaro,
78,遊戯王VRAINS,Yu-Gi-Oh! VRAINS,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,['TV'],120,Finished Airing,"May 10, 2017 to Sep 25, 2019",['Spring 2017'],Wednesdays at 18:25 (JST),"['TV Tokyo', 'Nihon Ad Systems']",['Konami Cross Media NY'],['Gallop'],Card game,"['Action', 'Fantasy', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.70,#5912,#3340,"49,406",267,20295,"The world of Duel Monsters is once again evolving with the development of a network called Link Vrains and a new summoning mechanic introduced as Link Summoning. By using this cyberspace, duelists can now create their own avatars and duel their way to glory within a virtual reality. However, much like the real world, the digital world is not free from war, conflict, and mysteries. Years ago, a hacker organization known as the Knights of Hanoi unleashed an attack on Link Vrains. Led by the anonymous Revolver, their aim was to annihilate the artificial intelligence program known as the Cyberse. After a failed attempt, one of their targets, Ignis, managed to escape and hide the Cyberse somewhere in the network. Five years later, high school student Yuusaku Fujiki encounters a strange artificial intelligence program while dueling in Link Vrains. Under the guise of his avatar named Playmaker, Yuusaku and his partner in crime, Shouichi Kusanagi, decide to join forces with the peculiar existence. As he seeks the truth behind a mysterious incident of the past, Yuusaku battles against the Knights of Hanoi and SOL Technologies in a race that might alter the fate of the world. [Written by MAL Rewrite]",[],Yu☆Gi☆Oh! VRAINS,['Strategy Game'],,"Yuu Gi Ou!, Yugioh",
