,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,German,Spanish,Demographics
20,おでんくん,,['TV'],156,Finished Airing,"Aug 4, 2005 to Feb 27, 2009",['Summer 2005'],Unknown,['Studio Egg'],"None found,","None found,",Picture book,,,7 min. per ep.,G - All Ages,[],#20789,#17017,506,1,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Sequel (TV) Ganbare! Oden-kun', '']",Oden-kun,Odenkun,['Comedy'],,,,,,
21,섀도우 파이터,,['TV'],26,Finished Airing,"Jul 7, 2005 to Jan 12, 2006",['Summer 2005'],Unknown,"None found,","None found,","None found,",Unknown,,,Unknown,PG - Children,[],#14010,#22490,156,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shadow Fighter,Syaedou Paiteo,,['Kids'],,,,,
22,마스크맨,Mask Man,['TV'],39,Finished Airing,"Jul 7, 2005 to Mar 30, 2006",['Summer 2005'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG - Children,[],#20068,#22927,139,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mask Man,Maseukeumaen,,['Kids'],,,,,
23,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,687","82,496",2044591,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,NARUTO,,['Shounen'],,['Martial Arts'],,,
24,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,218","234,795",1420012,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,['Shounen'],,,,,
25,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#704,#35,"2,075,323","78,070",1188975,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,['Shounen'],,,,,
26,モンスター,Monster,['TV'],74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",['Spring 2004'],Wednesdays at 00:40 (JST),"['VAP', 'Nippon Television Network']",['VIZ Media'],['Madhouse'],['Manga'],"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Psychological']",24 min. per ep.,R+ - Mild Nudity,8.88,#24,#123,"1,210,754","56,857",459073,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved. [Written by MAL Rewrite]","['Adaptation (Manga) Monster', '']",Monster,,,['Seinen'],,,,,
27,交響詩篇エウレカセブン,Eureka Seven,['TV'],50,Finished Airing,"Apr 17, 2005 to Apr 2, 2006",['Spring 2005'],Sundays at 07:00 (JST),"['Aniplex', 'Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Ashi Productions', 'Sony Music Entertainment', 'Bandai Namco Games', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'USEN', 'Fonishia']","['Funimation', 'Bandai Entertainment']",['Bones'],Original,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,8.05,#593,#544,"446,357","9,185",185532,"In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing. Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash. [Written by MAL Rewrite]","['Sequel (TV) Eureka Seven AO', 'Adaptation (Manga) Koukyoushihen Eureka seveN', 'Adaptation (Light Novel) Eureka Seven', '']",Koukyoushihen Eureka Seven,Psalms of Planets Eureka Seven,,,Eureka Seven,['Mecha'],Eureka Seven,,
28,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,864","15,329",164349,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,['Shounen'],,['Detective'],Case Closed,,
29,ハチミツとクローバー,Honey and Clover,['TV'],24,Finished Airing,"Apr 15, 2005 to Sep 27, 2005",['Spring 2005'],Fridays at 00:35 (JST),"['Dentsu', 'Genco', 'Fuji TV', 'Asmik Ace', 'Shueisha']","['VIZ Media', 'Discotek Media']",['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Visual Arts']",23 min. per ep.,PG-13 - Teens 13 or older,7.98,#688,#934,"275,835","4,173",85310,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him. Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them. Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends. [Written by MAL Rewrite]","['Sequel (TV) Hachimitsu to Clover II', 'Adaptation (Manga) Hachimitsu to Clover']",Hachimitsu to Clover,"HachiKuro, Honey & Clover",,['Josei'],Honey and Clover,,Honey and Clover,Honey and Clover,
30,ツバサ・クロニクル,Tsubasa RESERVoir CHRoNiCLE,['TV'],26,Finished Airing,"Apr 9, 2005 to Oct 15, 2005",['Spring 2005'],Saturdays at 18:30 (JST),"['NHK', 'Kodansha']",['Funimation'],['Bee Train'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,7.51,#1927,#1114,"234,466","2,055",98475,"Sakura and Syaoran live peaceful lives in the desert country of Clow. Despite the King's disapproval of the budding romance between the princess and her archeologist friend, their days remain blissful if not a little dull. But that soon changes when Sakura appears in front of Syaoran in a trance with wings on her back. When the wings dissolve into feathers and Sakura loses consciousness, Syaoran is spurred to action. Syaoran soon learns that he must collect Sakura's feathers, which have been scattered across many different realms, in order to protect her life. After making a deal with the Dimensional Witch Yuuko Ichihara, Syaoran teams up with Mokona Modoki, a creature who has the power to traverse realms. Also accompanying him on this journey are Fai D. Flourite, a carefree man fleeing persecution in his home world, and Kurogane, a swordsman forced to travel to refine his strength and character. Together, the bizarre alliance works to reclaim Sakura's feathers—no matter how impossible it seems to find them all. [Written by MAL Rewrite]","['Sequel (TV) Tsubasa Chronicle 2nd Season', 'Adaptation (Manga) Tsubasa: RESERVoir CHRoNiCLE']",Tsubasa Chronicle,Tsubasa: RESERVoir CHRoNiCLE,,['Shounen'],Tsubasa CHRoNiCLE,,Tsubasa CHRoNiCLE,Tsubasa CHRoNiCLE,
31,遊☆戯☆王　デュエルモンスターズ GX,Yu-Gi-Oh! GX,['TV'],180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",['Fall 2004'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']","['Konami', 'Funimation']",['Gallop'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3320,#1156,"225,899","1,731",140773,"In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination? Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters', ""Sequel (TV) Yu☆Gi☆Oh! 5D's"", 'Adaptation (Manga) Yu☆Gi☆Oh! GX', '']",Yu☆Gi☆Oh! Duel Monsters GX,"Yu-Gi-Oh! GX, Yugioh GX, Yu-Gi-Oh! Genex, Yugioh Genex, Yu-Gi-Oh!: Duel Monsters GX, Yugioh: Duel Monsters GX, Yu-Gi-Oh!: Duel Monsters Genex, Yugioh: Duel Monsters Genex, Game King of Duel Monsters GX",,['Shounen'],Yu-Gi-Oh! GX,['Strategy Game'],,Yu-Gi-Oh! GX,
32,頭文字〈イニシャル〉D FOURTH STAGE,,['TV'],24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",['Spring 2004'],Unknown,['OB Planning'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama']",,27 min. per ep.,PG-13 - Teens 13 or older,8.17,#447,#1275,"200,537","1,381",112324,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]","['Prequel (Movie) Initial D Third Stage', 'Sequel (TV) Initial D Fifth Stage', 'Adaptation (Manga) Initial D', '']",Initial D Fourth Stage,Initial D 4th Stage,,['Seinen'],Initial D 4ème-Etape,['Racing'],,Initial D: Supera el Límite de Velocidad Temporada 4,
33,バジリスク 甲賀忍法帖,Basilisk,['TV'],24,Finished Airing,"Apr 13, 2005 to Sep 21, 2005",['Spring 2005'],Unknown,"['GDH', 'Kodansha', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],['Gonzo'],['Manga'],"['Action', 'Drama', 'Romance']","['Adult Cast', 'Gore', 'Historical', 'Martial Arts', 'Samurai']",24 min. per ep.,R - 17+ (violence & profanity),7.53,#1827,#1306,"196,055","1,432",80073,"For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms. Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war. Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans. [Written by MAL Rewrite]","['Sequel (TV) Basilisk: Ouka Ninpouchou', 'Adaptation (Manga) Basilisk: Kouga Ninpouchou']",Basilisk: Kouga Ninpou Chou,"Basilisk: Koga Nimpo Cho, Basilisk: The Kouga Ninja Scrolls",,['Seinen'],Basilisk: The Kôga Ninja Scrolls,,Basilisk: Chronik der Koga-Ninja,Basilisk,
34,ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,927",295,120792,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",,['Kids'],Pokémon Advance,,Pokémon: Rubin und Saphir,Pokémon Advanced,
35,トリニティ・ブラッド,Trinity Blood,['TV'],24,Finished Airing,"Apr 29, 2005 to Oct 28, 2005",['Spring 2005'],Fridays at 00:00 (JST),"None found,",['Funimation'],['Gonzo'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),7.28,#2906,#1339,"191,395","1,371",82027,"Following Armageddon, an apocalyptic war, mankind faces yet another menace: vampires. The continuous confrontations between the races have split the world into separate factions. The race of vampires, Methuselah, are affiliated with the New Human Empire; whereas the humans, deemed Terrans by the vampires, make up the Vatican Papal State. Furthermore, extremist groups like the Rosenkreuz Order strive to rekindle a war, despite the factions' attempts to avoid direct conflict. To combat terrorist organizations, the Vatican has implemented the AX unit. Led by Cardinal Caterina Sforza, the AX agents investigate vampire-related disturbances with hopes that the Terrans and the Methuselah will one day achieve peaceful coexistence. Amongst the AX unit is priest Abel Nightroad—a seemingly disoriented but gentle-hearted fellow who is a fierce vampire slayer on the battlefield. Joining the unit as his partner is agent Sister Esther Blanchett, a brave and gentle young nun troubled with a tragic past. As the two grow closer, they begin to uncover signs of malicious schemes and dark forces working in the shadows. But the path they walk is riddled with misfortune that might just force them to confront the memories that plague their hearts. [Written by MAL Rewrite]","['Adaptation (Manga) Trinity Blood', 'Adaptation (Light Novel) Trinity Blood: Reborn on the Mars', 'Adaptation (Light Novel) Trinity Blood: Rage Against the Moons', '']",Trinity Blood,,,,,['Vampire'],,,
36,アイシールド21,,['TV'],145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",['Spring 2005'],Wednesdays at 19:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Gallop'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.91,#801,#1355,"189,285","2,064",91285,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad. As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College. Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Eyeshield 21', '']",Eyeshield 21,Eyeshield21,['Sports'],['Shounen'],,['Team Sports'],,,
37,金色のガッシュベル!!,Zatch Bell!,['TV'],150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",['Spring 2003'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['VIZ Media', 'Flatiron Film Company']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1772,#1817,"132,177","1,314",62532,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.","['Adaptation (Manga) Konjiki no Gash!!', '']",Konjiki no Gash Bell!!,,,['Shounen'],Zatch Bell!,['Mythology'],,,
38,うえきの法則,The Law of Ueki,['TV'],51,Finished Airing,"Apr 4, 2005 to Mar 27, 2006",['Spring 2005'],Mondays at 18:30 (JST),"['Studio Tulip', 'TV Tokyo Music']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1280,#1929,"121,589",910,50031,"Unbeknownst to most humans, a bizarre tournament is held to decide the next ruler of the Heavenly World. In this tournament, 100 Heavenly Beings known as the ""God Candidates"" are required to search among the middle school students on Earth, and transfer their powers to a student of their choice. The chosen ones will then battle each other, representing their God Candidates. The victor of this tournament will be awarded the ""Blank Talent""—allowing them to choose any one unique ability they so desire—while the God Candidate they represent will obtain the position of ""God"" and become the king of the Heavenly World. Participating in this grand tournament is Kousuke Ueki, a middle school student who is given the power to turn trash into trees by his homeroom teacher, Kobayashi. Despite the concerns of his classmate, Ai Mori, Ueki embarks on a journey to pursue his own sense of justice after witnessing the people around him misusing their powers for selfish purposes. But as he encounters talented power users such as Seiichirou Sano, Rinko Jerrard, Robert Haydn, and Hideyoshi Soya, he realizes that achieving his goal might be harder than it seems. [Written by MAL Rewrite]","['Adaptation (Manga) Ueki no Housoku', '']",Ueki no Housoku,,,['Shounen'],The Law of Ueki,['Super Power'],The Law of Ueki,,
39,スピードグラファー,Speed Grapher,['TV'],24,Finished Airing,"Apr 8, 2005 to Sep 30, 2005",['Spring 2005'],Fridays at 02:40 (JST),"['TV Asahi', 'Rakuonsha', 'WAO World', 'TAP', 'Future Vision Music']",['Funimation'],['Gonzo'],Original,"['Action', 'Mystery', 'Suspense']","['Adult Cast', 'Gore', 'Organized Crime', 'Psychological', 'Super Power']",23 min. per ep.,R+ - Mild Nudity,7.29,#2890,#1954,"119,517",607,42349,"Ten years after the Bubble War, the dichotomy between the rich and the poor in the world becomes more prominent and Japan is no exception. The rich seek to satisfy their desires and derive pleasure for themselves, and Tokyo has materialized into such a city as a result. Saiga, once a war photographer, works for Hibara Ginza in the capitalist state of Tokyo. He infiltrates the Roppongi Club, a secretive base located in the red light district of the city, to collect information about them. However, he was caught in the process and brought forward to a girl called Kagura who was in the midst of a ritual. His contact with Kagura awakens his special ability: the power to make things explode when photographed. In order to unravel the mystery behind the Roppongi Club and Kagura, Saiga begins his solitary battle.","['Adaptation (Manga) Speed Grapher', '']",Speed Grapher,,,,,,,,
40,今日からマ王！,,['TV'],78,Finished Airing,"Apr 3, 2004 to Feb 25, 2006",['Spring 2004'],Saturdays at 09:00 (JST),"['NHK', 'Sogo Vision']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,7.61,#1560,#1972,"118,722","1,379",43043,"Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage. Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.","['Sequel (OVA) Kyou kara Maou! R', 'Adaptation (Manga) Kyou kara Ma no Tsuku Jiyuugyou!', 'Adaptation (Light Novel) Ma Series', '']",Kyou kara Maou!,"Kyo Kara Maoh!, Maruma, God? Save Our King, King from now on!",,['Shoujo'],,['Isekai'],,,
41,機動戦士ガンダムSEED DESTINY,Mobile Suit Gundam SEED Destiny,['TV'],50,Finished Airing,"Oct 9, 2004 to Oct 1, 2005",['Fall 2004'],Saturdays at 18:00 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']","['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']",['Sunrise'],Original,"['Action', 'Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']",24 min. per ep.,R - 17+ (violence & profanity),7.17,#3521,#2049,"112,938","1,131",67671,"In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit. Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages. As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him. [Written by MAL Rewrite]","['Prequel (TV) Kidou Senshi Gundam SEED', 'Prequel (Special) Kidou Senshi Gundam SEED: Hoshi no Hazama de', 'Sequel (OVA) Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai', 'Adaptation (Manga) Kidou Senshi Gundam SEED Destiny']",Kidou Senshi Gundam SEED Destiny,Kidou Senshi Gundam SEED DESTINY,,,Mobile Suit Gundam Seed Destiny,,Mobile Suit Gundam Seed Destiny,Mobile Suit Gundam Seed Destiny,
