,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,German,Spanish,Demographics
10,おくさまは女子高生,My Wife is a High School Girl,['TV'],13,Finished Airing,"Jul 2, 2005 to Sep 24, 2005",['Summer 2005'],Unknown,"None found,","None found,",['Madhouse'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.30,#8273,#4308,"29,989",37,11397,"Asami Onohara is a seventeen-year old high-school student with a secret which has not been revealed to anyone: She is already married. Her husband, Kyosuke Ichimaru, is a Physics teacher in the same high school as her. However, even though they are officially a married couple, Asami's father forbids them to have any sexual contact until after Asami has graduated. Asami has to hide the fact that she is married to Kyosuke while trying desperately to further their relationship, and it does not help when there are so many interferences and obstacles from her father and other third parties. (Source: ANN)","['Adaptation (Manga) Okusama wa Joshikousei', '']",Okusama wa Joshikousei (TV),"Oku-sama wa Joshi Kousei, Oku-sama wa Joshikosei",,['Seinen'],,['School'],,,
11,強殖装甲ガイバー,Guyver: The Bioboosted Armor,['TV'],26,Finished Airing,"Aug 6, 2005 to Feb 18, 2006",['Summer 2005'],Saturdays at 19:00 (JST),"['Kadokawa Pictures Japan', 'Imagine']","['ADV Films', 'Funimation']",['OLM'],['Manga'],"['Action', 'Horror', 'Sci-Fi']","['Gore', 'Super Power']",23 min. per ep.,R - 17+ (violence & profanity),7.22,#3275,#4746,"24,189",155,10205,"Sho Fukamachi, a normal teenager accidentally found an alien object called Unit and thus, changed his life forever. The Unit bonded with Sho, resulting in an incredibly powerful life-form called Guyver. With this great power, Sho battles the mysterious Chronos organization and it's Zoanoids, in order to protect his friends and his world. Unknown to Sho, the battle against Chronos will lead to the discovery of the origins of human, their destiny, and the Creators... (Source: ANN)","['Adaptation (Manga) Kyoushoku Soukou Guyver', '']",Kyoushoku Soukou Guyver (2005),Guyver: The Bio-boosted Armor,,['Shounen'],,,Guyver: The Bioboosted Armor,,
12,奥さまは魔法少女,Madam is a Magical Girl,['TV'],13,Finished Airing,"Jul 4, 2005 to Sep 26, 2005",['Summer 2005'],Mondays at 00:00 (JST),"['Media Factory', 'Amber Film Works']","None found,",['J.C.Staff'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.32,#8173,#6504,"10,962",9,3271,"Ureshiko Asaba, 26 years old, married. Few people know the fact that she is a magical girl named ""Agnes"", and she is actually the guardian of the town where she lives. One day she meets Sayaka Kurenai, aka ""Cruje"", another magical girl appointed by the magic realm as the legitimate sucessor to her position, but Agnes is reluctant in letting her assume because she knows that Cruje has orders to erase the whole place, including its human inhabitants with the purpose of creating a new one. To complicate matters, Ureshiko must deal with the growing distance between her and her husband, Tamotsu, her crescent feelings for Tatsumi Kagura, a young man who is now living as a tenant in her home, and the fact that in the moment she ever kisses a common human, she would lose her powers forever. (Source: ANN)",[],Okusama wa Mahou Shoujo,"Bewitched Agnes, Bewitched Bride",['Romance'],,,['Mahou Shoujo'],,,
13,タイドライン・ブルー,,['TV'],12,Finished Airing,"Jul 7, 2005 to Sep 29, 2005",['Summer 2005'],Thursdays at 02:40 (JST),"['Bandai Visual', 'TV Asahi', 'Lantis']",['Bandai Entertainment'],['Telecom Animation Film'],Original,"['Action', 'Adventure', 'Drama']",,23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6591,#7306,"8,287",6,3352,"The catastrophe, ""Hammer of Eden,"" resulted in the loss of six billion lives and the flooding of 90% of the land. The New United Nations were formed to pursue peace on the ruined lands 14 years later. Keel is a boy living in a town called Yabitsu, an area which prospered due to the energy from the nuclear generator brought by the catastrophe. His next kin, Aoi, is the secretary general of the New United Nations. She views the catastrophe as an opportunity to create a new world in which nations can help one another overcome differences in races and religions. However, her efforts to realise that vision fail because of the unwillingness of the nations to change. Gould, a military officer, feels that the only way to make an order is through the military. Using Ulysses, a nuclear submarine, along with his crew, including Keel's brother Tean, Gould carries out a coup to declare war against the New United Nations in his attack on Yabitsu. (Source: ANN)","['Sequel (Special) Tide-Line Blue: Kyoudai', 'Adaptation (Manga) Tide-Line Blue']",Tide-Line Blue,,,,,['Military'],,,
14,ぺとぺとさん,,['TV'],13,Finished Airing,"Jul 9, 2005 to Oct 1, 2005",['Summer 2005'],Unknown,"['Xebec', 'Mellow Head', 'Genco', 'Media Factory', 'Enterbrain', 'Toshiba Entertainment']","None found,",['XEBEC M2'],['Light novel'],"['Comedy', 'Romance']","['Mythology', 'School']",25 min. per ep.,PG-13 - Teens 13 or older,6.50,#7102,#7452,"7,831",8,2718,"After centuries of antagonism and misunderstanding, the Japanese finally welcome youkai into their community. In an attempt at species integration, normal children begin attending school with paranormal creatures who are quite humanoid. Shingo Ohashi finds himself developing feelings for Hatoko ""Petoko"" Fujimura, a half-youkai half-human girl whose powers are: uncontrollable cuteness to enchant those around her (similar to a low-power succubus), get stuck to any other person who touches her bare flesh (cured by her falling asleep), and the ability to disappear even at the molecular stage (which she can for the most part control). (Source: The Anime Encyclopedia)",[],PetoPeto-san,,,,,,,,
15,あかほり外道アワーらぶげ,Akahori's Heretical Hour Love Game,['TV'],13,Finished Airing,"Jul 5, 2005 to Sep 27, 2005",['Summer 2005'],Unknown,"['Lantis', 'Kadokawa Shoten', 'NBCUniversal Entertainment Japan', 'Audio Tanaka', 'On The Run']","None found,",['Radix'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9311,#7862,"6,878",8,1968,"Akahori Gedou Hour Rabuge is an anime series that combined episodes of two related stories into one broadcast block. Zettai Seigi Love Pheromone Yoshizumi Aimi and Sasajima Kaoruko are comic duo, Their dream is to become popular and stand on the Broadway stage.However, their names are not well-known, and they have to do part-time jobs.To make their names popular, they decided to do side job. It is heroines of justice, They will beat villains one after another, but after that, there is nothing but ruins. People are afraid of them and even rumor that they are evil. (Source: ANN) Soreyuke! Gedou Otometai The five Hokke sisters lost their parents when they were quite young. Although they are poor, they`re living comfortably because they have a dream, which is to be evil. The Hokke Family has belonged to an evil organization and worked as a combatant. When their father died, he left them a message that asked them to become a villain that he couldn`t become. However they wondered how to become the best villains. One day, the youngest sister Utano found a jar. They were told not to open it until they we`re 18. It was sealed by a talisman labeled R18. Akuma-ko broke the seal on the jar and a devil appeared. The demon said they had special powers inside of them, when they have the weapons in their hands they would turn into Gedo Otome Tai. (Source: AnimeNfo)",[],Akahori Gedou Hour Rabuge,"Akahori Gedou Hour Love Game, Zettai Seigi Love Pheromone, Soreyuke! Gedou Otometai, Absolute Justice Love Pheromone",['Comedy'],,,['Parody'],,,
16,機動新撰組 萌えよ剣 TV,Moeyo Ken TV,['TV'],13,Finished Airing,"Jul 2, 2005 to Sep 24, 2005",['Summer 2005'],Saturdays at 01:30 (JST),"None found,","['ADV Films', 'Funimation']","['Trinet Entertainment', 'Picture Magic']",Game,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,6.12,#9265,#7955,"6,699",2,2305,"Set in an alternate version of the Meiji Era, a boy named Sakamoto Ryunosuke returns to Kyoto from Shanghai with his monster (youkai) Nekomaru. The law states that in order to live freely with humans, a youkai must be liscensed. The Kidou Shinsengumi Co. Ltd. is responsible for the capture of unliscensed youkais but must fight with the Tsubamegumi, who resents the new law. It turns out that Ryunosuke is the son of the owner of the Shinsengumis.",[],Kidou Shinsengumi Moeyo Ken TV,,,,,['Historical'],,,
17,パタリロ西遊記！,,['TV'],26,Finished Airing,"Jun 7, 2005 to Nov 29, 2005",['Summer 2005'],Tuesdays at 00:30 (JST),"None found,","None found,",['Magic Bus'],['Manga'],"['Adventure', 'Boys Love', 'Comedy', 'Fantasy']",,9 min. per ep.,PG-13 - Teens 13 or older,6.46,#7317,#9112,"4,729",2,1604,"Genjou Sanzou is a Buddhist monk who has been sent by the Emperor on a journey to find the sacred Buddhist scriptures. One day, Sanzou meets an Earth Deity who tells him that Buddha has sent him a disciple: the mischievous Monkey Deity Son Goku, who was sealed inside of a mountain for five hundred years after wreaking havoc in Heaven! Together with the alcohol-loving playboy Cho Hakkai; the heavenly army General Sagojyou; and their horse, the Dragon Crown Prince Ryuuba; there are plenty of adventures to be had from fighting off monsters to bishounen contests. (Source: ANN and AniDB)","['Sequel (Special) Patalliro Saiyuuki! Special', 'Adaptation (Manga) Patalliro Saiyuuki!']",Patalliro Saiyuuki!,Patalliro Saiyuki!,,['Shoujo'],,,,,
18,プレイボール,Play Ball,['TV'],13,Finished Airing,"Jul 5, 2005 to Sep 27, 2005",['Summer 2005'],Unknown,['Eiken'],"None found,",['Magic Bus'],['Manga'],,,24 min. per ep.,G - All Ages,5.94,#10230,#12930,"1,443",1,446,"After fracturing a finger in a junior high school game, Takao Taniguchi is unable to play baseball. After entering Sumitani High School, he is constantly watching the baseball club even though he is unable to play. He catches the eye of the captain of the soccer club, and while he still has lingering hopes of joining the baseball club, he decides to join the soccer club. While he's a complete beginner, Taniguchi developed a strong spirit of hard work while in junior high school and his new teammates begin to see his potential. While he focuses all of his energy on soccer, he is unable to forget his youthful zeal for baseball and he begins umpiring baseball games in secret. (Source: Wikipedia)","['Prequel (TV) Captain (TV)', 'Sequel (TV) Play Ball 2nd', 'Adaptation (Manga) Play Ball', '']",Play Ball,Playball,['Sports'],['Shounen'],,['Team Sports'],,,
19,ななみちゃん 第2シリーズ,,['TV'],16,Finished Airing,"Jun 17, 2005 to Dec 23, 2005",['Summer 2005'],Unknown,['Robot Communications'],"None found,","None found,",Other,,,5 min. per ep.,G - All Ages,6.17,#9026,#15440,714,1,260,"Michi and her family have just moved into the Happiness House, a huge tree with all sorts of little buildings and houses built on and inside of it. Upon exploring what is to be her new bedroom, Michi finds an odd nut-like object. Before long, a strange creature, Nanami-chan, hatches out of it. The two become fast friends. Together, Michi and Nanami-chan learn all kind of new things, and everyday they meet more eccentric residents of the Happiness House. (Source: ANN)","['Prequel (TV) Nanami-chan', 'Sequel (TV) Nanami-chan 3rd Series']",Nanami-chan 2nd Series,,['Comedy'],['Kids'],,,,,
