,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genres,Theme,Demographics
0,僕のヒーローアカデミア,My Hero Academia,My Hero Academia,My Hero Academia,My Hero Academia,['TV'],13,Finished Airing,"Apr 3, 2016 to Jun 26, 2016",['Spring 2016'],Sundays at 17:00 (JST),"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],['Manga'],['Action'],"['School', 'Super Power']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.84,#955,#7,"3,142,643","53,841",2138423,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual. Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor! Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero. [Written by MAL Rewrite]","['Sequel (TV) Boku no Hero Academia 2nd Season', 'Adaptation (Manga) Boku no Hero Academia']",Boku no Hero Academia,,,,
1,Re:ゼロから始める異世界生活,Re:ZERO -Starting Life in Another World-,Re:ZERO -Starting Life in Another World-,Re:Zero -Empezar de cero en un mundo diferente-,Re:Zero -Starting Life in Another World-,['TV'],25,Finished Airing,"Apr 4, 2016 to Sep 19, 2016",['Spring 2016'],Mondays at 01:05 (JST),"['TV Tokyo', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Memory-Tech', 'Hakuhodo DY Music & Pictures']",['Funimation'],['White Fox'],['Light novel'],,"['Isekai', 'Psychological', 'Time Travel']",,26 min. per ep.,R - 17+ (violence & profanity),8.24,#351,#23,"2,310,186","70,913",1476804,"When Subaru Natsuki leaves the convenience store, the last thing he expects is to be wrenched from his everyday life and dropped into a fantasy world. Things are not looking good for the bewildered teenager; however, not long after his arrival, he is attacked by some thugs. Armed with only a bag of groceries and a now useless cell phone, he is quickly beaten to a pulp. Fortunately, a mysterious beauty named Satella, in hot pursuit after the one who stole her insignia, happens upon Subaru and saves him. In order to thank the honest and kindhearted girl, Subaru offers to help in her search, and later that night, he even finds the whereabouts of that which she seeks. But unbeknownst to them, a much darker force stalks the pair from the shadows, and just minutes after locating the insignia, Subaru and Satella are brutally murdered. However, Subaru immediately reawakens to a familiar scene—confronted by the same group of thugs, meeting Satella all over again—the enigma deepens as history inexplicably repeats itself. [Written by MAL Rewrite]","['Prequel (Movie) Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna', 'Sequel (TV) Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season', 'Adaptation (Manga) Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen', 'Adaptation (Manga) Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen']",Re:Zero kara Hajimeru Isekai Seikatsu,"Re: Life in a different world from zero, ReZero","['Drama', 'Fantasy', 'Suspense']",,
2,文豪ストレイドッグス,Bungo Stray Dogs,Bungo Stray Dogs,Bungo Stray Dogs,Bungo Stray Dogs,['TV'],12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016",['Spring 2016'],Thursdays at 01:05 (JST),"['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL', 'Kadokawa']","['Funimation', 'Crunchyroll']",['Bones'],['Manga'],,"['Adult Cast', 'Detective', 'Organized Crime', 'Super Power']",['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),7.81,#1017,#90,"1,463,906","28,153",740154,"For weeks, Atsushi Nakajima's orphanage has been plagued by a mystical tiger that only he seems to be unaware of. Suspected to be behind the strange incidents, the 18-year-old is abruptly kicked out of the orphanage and left hungry, homeless, and wandering through the city. While starving on a riverbank, Atsushi saves a rather eccentric man named Osamu Dazai from drowning. Whimsical suicide enthusiast and supernatural detective, Dazai has been investigating the same tiger that has been terrorizing the boy. Together with Dazai's partner Doppo Kunikida, they solve the mystery, but its resolution leaves Atsushi in a tight spot. As various odd events take place, Atsushi is coerced into joining their firm of supernatural investigators, taking on unusual cases the police cannot handle, alongside his numerous enigmatic co-workers. [Written by MAL Rewrite]","['Sequel (TV) Bungou Stray Dogs 2nd Season', 'Adaptation (Manga) Bungou Stray Dogs', 'Adaptation (Novel) Anime Bungou Stray Dogs Shousetsuban', '']",Bungou Stray Dogs,"Literary Stray Dogs, BSD","['Action', 'Mystery']",,
3,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,JoJo's Bizarre Adventure: Diamond Is Unbreakable,,Jojo's Bizarre Adventure: Diamond Is Unbreakable Temporada 3,JoJo's Bizarre Adventure: Diamond is Unbreakable,['TV'],39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",['Spring 2016'],Saturdays at 00:30 (JST),['Warner Bros. Japan'],['VIZ Media'],['David Production'],['Manga'],,,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),8.50,#141,#128,"1,182,295","41,127",816210,"The year is 1999. Morioh, a normally quiet and peaceful town, has recently become a hotbed of strange activity. Joutarou Kuujou, now a marine biologist, heads to the mysterious town to meet Jousuke Higashikata. While the two may seem like strangers at first, Jousuke is actually the illegitimate child of Joutarou's grandfather, Joseph Joestar. When they meet, Joutarou realizes that he may have more in common with Jousuke than just a blood relation. Along with the mild-mannered Kouichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs. [Written by MAL Rewrite]","['Prequel (TV) JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen', 'Sequel (TV) JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', '']",JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, Diamond is not Crash","['Action', 'Adventure']",['Super Power'],
4,甲鉄城のカバネリ,Kabaneri of the Iron Fortress,Kabaneri of the Iron Fortress,Kabaneri de la Fortaleza de Hierro: La Batalla de Unato,Kabaneri of the Iron Fortress,['TV'],12,Finished Airing,"Apr 8, 2016 to Jul 1, 2016",['Spring 2016'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']","['Funimation', 'Crunchyroll']",['Wit Studio'],Original,,"['Gore', 'Historical', 'Survival']",,22 min. per ep.,R - 17+ (violence & profanity),7.27,#2965,#232,"846,943","3,803",444454,"The world is in the midst of the industrial revolution when horrific creatures emerge from a mysterious virus, ripping through the flesh of humans to sate their never-ending appetite. The only way to kill these beings, known as ""Kabane,"" is by destroying their steel-coated hearts. However, if bitten by one of these monsters, the victim is doomed to a fate worse than death, as the fallen rise once more to join the ranks of their fellow undead. Only the most fortified of civilizations have survived this turmoil, as is the case with the island of Hinomoto, where mankind has created a massive wall to protect themselves from the endless hordes of Kabane. The only way into these giant fortresses is via heavily-armored trains, which are serviced and built by young men such as Ikoma. Having created a deadly weapon that he believes will easily pierce through the hearts of Kabane, Ikoma eagerly awaits the day when he will be able to fight using his new invention. Little does he know, however, that his chance will come much sooner than he expected... [Written by MAL Rewrite]","['Sequel (Movie) Koutetsujou no Kabaneri Movie 3: Unato Kessen', 'Adaptation (Manga) Koutetsujou no Kabaneri', 'Adaptation (Light Novel) Koutetsujou no Kabaneri: Akatsuki', 'Adaptation (Light Novel) Koutetsujou no Kabaneri']",Koutetsujou no Kabaneri,,"['Action', 'Fantasy', 'Horror', 'Suspense']",,
5,坂本ですが？,Haven't You Heard? I'm Sakamoto,Haven’t You Heard? I’m Sakamoto,Haven't You Heard? I'm Sakamoto (Sakamoto desu ga?),Haven’t You Heard? I’m Sakamoto,['TV'],12,Finished Airing,"Apr 8, 2016 to Jul 1, 2016",['Spring 2016'],Fridays at 02:28 (JST),"['TBS', 'DAX Production', 'Daiichikosho', 'King Records', 'NichiNare', 'Kadokawa']",['Sentai Filmworks'],['Studio Deen'],['Manga'],['Comedy'],"['Gag Humor', 'School']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.54,#1803,#257,"797,943","2,762",401021,"Sophisticated, suave, sublime; all words which describe the exceedingly handsome and patently perfect Sakamoto. Though it is only his first day in high school, his attractiveness, intelligence, and charm already has the girls swooning and the guys fuming with jealousy. No one seems able to derail him, as all attempts at tripping him up are quickly foiled. His sangfroid is indomitable, his wits peerless. Will any of Sakamoto's classmates, or even teachers, be able to reach his level of excellence? Probably not, but they just might learn a thing or two trying... [Written by MAL Rewrite]","['Adaptation (Manga) Sakamoto desu ga?', '']",Sakamoto desu ga?,Sakamoto desu ga?,,,
6,キズナイーバー,Kiznaiver,Kizunaiver,,,['TV'],12,Finished Airing,"Apr 9, 2016 to Jun 25, 2016",['Spring 2016'],Saturdays at 23:30 (JST),"['Aniplex', 'Movic', 'Ultra Super Pictures', 'Sammy', 'Asahi Broadcasting', 'BS11', 'Crunchyroll']",['Aniplex of America'],['Trigger'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,7.36,#2510,#272,"769,233","5,118",369691,"Katsuhira Agata is a quiet and reserved teenage boy whose sense of pain has all but vanished. His friend, Chidori Takashiro, can only faintly remember the days before Katsuhira had undergone this profound change. Now, his muffled and complacent demeanor make Katsuhira a constant target for bullies, who exploit him for egregious sums of money. But their fists only just manage to make him blink, as even emotions are far from his grasp. However, one day Katsuhira, Chidori, and four other teenagers are abducted and forced to join the Kizuna System as official ""Kiznaivers."" Those taking part are connected through pain: if one member is injured, the others will feel an equal amount of agony. These individuals must become the lab rats and scapegoats of an incomplete system designed with world peace in mind. With their fates literally intertwined, the Kiznaivers must expose their true selves to each other, or risk failing much more than just the Kizuna System. [Written by MAL Rewrite]","['Adaptation (Manga) Kiznaiver', '']",Kiznaiver,,"['Drama', 'Romance', 'Sci-Fi']",,
7,ネトゲの嫁は女の子じゃないと思った？,And you thought there is never a girl online?,And you thought there is never a girl online?,And You Thought There is Never a Girl Online?,And You Thought There is Never a Girl Online?,['TV'],12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016",['Spring 2016'],Thursdays at 23:00 (JST),"['Sotsu', 'AT-X', 'Barnum Studio', 'DAX Production', 'ASCII Media Works', 'NBCUniversal Entertainment Japan', 'i0+', 'Medicos Entertainment', 'Radio Osaka']",['Funimation'],['Project No.9'],['Light novel'],,"['Otaku Culture', 'School', 'Video Game']",,24 min. per ep.,PG-13 - Teens 13 or older,6.67,#6064,#417,"568,970","1,268",294497,"After mustering up the courage to propose to a girl in an online game, naive otaku Hideki ""Rusian"" Nishimura is devastated when she flat-out rejects him. To make matters worse, the girl reveals that she is actually an older man in real life. With his dreams crushed and his heart broken, Rusian comes to an abrupt decision in the midst of his raging fit: he will never trust another girl in an online game again. Years later, Rusian is now in a guild with three other players, one of whom possesses a female avatar by the name of Ako. Ako is deeply in love with Rusian and wants to marry him. Although he entertains the possibility that she might be a guy, Rusian accepts her proposal, claiming that her gender does not matter as long as she is cute in-game. However, after a discussion between the guild members that led to all of them having an offline meeting, Rusian finds out that Ako, along with the other members, is not just a girl but also his schoolmate. [Written by MAL Rewrite]","['Adaptation (Manga) Netoge no Yome wa Onnanoko ja Nai to Omotta?', 'Adaptation (Light Novel) Netoge no Yome wa Onnanoko ja Nai to Omotta?']",Netoge no Yome wa Onnanoko ja Nai to Omotta?,"Net Game no Yome wa Onna no Ko ja Nai to Omotta?, NetoYome","['Comedy', 'Romance', 'Ecchi']",,
8,双星の陰陽師,Twin Star Exorcists,Twin Star Exorcists,Twin Star Exorcists,Twin Star Exorcists,['TV'],50,Finished Airing,"Apr 6, 2016 to Mar 29, 2017",['Spring 2016'],Wednesdays at 18:25 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Avex Pictures', 'Shueisha']",['Crunchyroll'],['Pierrot'],['Manga'],,"['Mythology', 'Urban Fantasy']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2890,#444,"533,134","3,080",222054,"Magano, a parallel realm filled with monsters known as ""Kegare,"" is a place where exorcists deal with all impurities. Benio Adashino is a prodigy exorcist who is recognized for her strength and is summoned to Tokyo by the Exorcist Union. On her way, she plummets into the arms of Rokuro Enmadou, a young exorcist with a troubled past. But the impurities of Magano do not rest. When these two exorcists witness a couple of children stolen by a Kegare, Benio rushes to save them, dragging Rokuro along with her into Magano. Engaged in a fight she is on the verge of being defeated in, Benio is saved by Rokuro, revealing himself capable of being her rival in talent. Sousei no Onmyouji tells the story of two talented exorcists who are destined to become the ""Twin Star Exorcists"" and the prophesised parents of the Miko—the reincarnation of Abe no Seimei—who will cleanse the world of all impurities. [Written by MAL Rewrite]","['Adaptation (Manga) Sousei no Onmyouji', '']",Sousei no Onmyouji,,"['Action', 'Fantasy', 'Romance']",,
9,マギ シンドバッドの冒険,Magi: Adventure of Sinbad,,,,['TV'],13,Finished Airing,"Apr 16, 2016 to Jul 2, 2016",['Spring 2016'],Saturdays at 02:25 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Shogakukan']","None found,",['Lay-duce'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.84,#943,#478,"498,507","1,589",266909,"In the small, impoverished Tison Village of the Parthevia Empire, a boy, Sinbad, is born to the jaded ex-soldier Badr and his kind-hearted wife Esra. His birth creates a radiant surge throughout the rukh, a declaration of a singularity to those who stand at the pinnacle of magical might: the ""Child of Destiny"" is here. Despite his country being plagued by economic instability and the repercussions of war, Sinbad leads a cheerful life—until a stranger's arrival shatters his peaceful world, and tragedy soon befalls him. Years later, mysterious edifices called ""dungeons"" have been erected all over the world. Rumored to contain great power and treasures, these dungeons piqued the interest of adventurers and armies alike; though to this day, none have returned therefrom. Sinbad, now 14, has grown into a charming and talented young boy. Inspired by the shocking events of his childhood and by his father's words, he yearns to begin exploring the world beyond his village. As though orchestrated by fate, Sinbad meets an enigmatic traveler named Yunan. Stirred by Sinbad's story and ambitions, Yunan directs him to a dungeon which he claims holds the power Sinbad needs to achieve his goals—the ""power of a king."" Magi: Sinbad no Bouken tells the epic saga of Sinbad's early life as he travels the world, honing his skill and influence, while gathering allies and power to become the High King of the Seven Seas. [Written by MAL Rewrite]","['Sequel (TV) Magi: The Labyrinth of Magic', 'Adaptation (Manga) Magi: Sinbad no Bouken']",Magi: Sinbad no Bouken (TV),,"['Action', 'Adventure', 'Fantasy']",,
