,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Genre,Demographics
10,ノエイン もうひとりの君へ,Noein: To Your Other Self,,,,['TV'],24,Finished Airing,"Oct 12, 2005 to Mar 29, 2006",['Fall 2005'],Wednesdays at 01:30 (JST),"['Lantis', 'Media Factory', 'Toshiba Entertainment', 'Bandai Channel']","['Funimation', 'Manga Entertainment']",['Satelight'],Original,"['Adventure', 'Drama', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.55,#1780,#2309,"94,141",729,30863,"During their last summer of elementary school, four friends decide to undertake a test of courage at their local graveyard. Before the test begins, Haruka Kaminogi makes a last effort to pull Yuu Gotou away from his controlling mother. While doing so, Haruka suddenly has a strange vision of blue snow followed by the appearance of an imposing silver-haired man. Later, a similar vision occurs at the graveyard to both Haruka and her friends before they try to escape what they assume are ghosts. Unbeknownst to the children, the people who appeared before them are Dragon Soldiers: an elite military group from a dimension known as La'cryma. The soldiers have traveled to this dimension to secure the ""Dragon Torque""—an entity they believe to be their last hope for survival. However, both the Dragon Soldiers and Haruka are shocked to learn that the Dragon Torque is Haruka herself. She attempts to escape from the Dragon Soldiers as she finds her own last ray of hope—the strange silver-haired man who claims to be another version of Yuu himself. [Written by MAL Rewrite]",[],Noein: Mou Hitori no Kimi e,Noein: Toward Another You,['Time Travel'],,
11,魔法少女リリカルなのは エース,Magical Girl Lyrical Nanoha A's,,,,['TV'],13,Finished Airing,"Oct 2, 2005 to Dec 25, 2005",['Fall 2005'],Sundays at 01:35 (JST),"['Starchild Records', 'Omnibus Promotion']","['Discotek Media', 'Geneon Entertainment USA']",['Seven Arcs'],Original,"['Action', 'Comedy', 'Drama']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.95,#733,#2828,"67,302","1,012",34822,"After solving the incident of the scattered Jewel Seeds, Nanoha Takamachi happily returns to her everyday life, though now with added magic practice in the morning. Exchanging video messages with Fate Testarossa and the crew of the Arthra, Nanoha eagerly awaits the chance to speak with them in person again. But while studying in her room one day, Raising Heart suddenly calls out to Nanoha and warns her of an incoming attack! The attacker is a young girl named Vita, who calls herself a Belka Knight. She proves her strength by using an intelligent device with a mysterious cartridge system to quickly overwhelm Nanoha. Luckily, the Space-Time Administration Bureau is able to step in before she is completely crushed. Vita and her fellow knights Shamal, Signum, and Zafila are on a mission to steal magical power from mages in order to complete the Book of Darkness, one of the Lost Logia. For what sinister purpose are the knights after this Book of Darkness? [Written by MAL Rewrite]","['Prequel (TV) Mahou Shoujo Lyrical Nanoha', 'Sequel (TV) Mahou Shoujo Lyrical Nanoha StrikerS', ""Adaptation (Manga) Mahou Shoujo Lyrical Nanoha A's"", '']",Mahou Shoujo Lyrical Nanoha A's,"Mahou Shoujo Lyrical Nanoha A's, Nanoha Season 2",['Mahou Shoujo'],,
12,舞-乙HiME,My-Otome,,,,['TV'],26,Finished Airing,"Oct 7, 2005 to Mar 31, 2006",['Fall 2005'],Fridays at 01:30 (JST),"['Bandai Visual', 'Lantis', 'TV Tokyo Music']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,"['Comedy', 'Drama', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.27,#2970,#3214,"52,961",311,25990,"In the Kingdom of Windbloom, Arika Yumemiya enrolls at Garderobe Academy to become an Otome—a virgin girl who is able to use a HiME (Highly-advanced Materializing Equipment) that bestows destructive abilities. Arika also wishes to find her mother who was a Meister Otome, an Otome of the highest rank responsible for being the personal bodyguard and super weapon of the specific nation they are assigned to. While attending the academy, Arika makes friends with Nina Wáng, a distinguished Otome student, and Mashiro Blan de Windbloom, the current princess of the kingdom. With them by her side, Arika quickly adjusts to the academy's environment as she spends her days eagerly training, navigating social relationships, and developing her skills as an Otome. However, Arika soon realizes that the process of becoming an Otome is fraught with dangers and unsavory political dealings. Bombarded with numerous personal dilemmas, Arika must make many sacrifices if she truly wishes to achieve her goals. [Written by MAL Rewrite]","['Prequel (OVA) Mai-Otome 0: S.ifr', 'Sequel (OVA) Mai-Otome Zwei', 'Adaptation (Manga) Mai-Otome', '']",Mai-Otome,"Mai Oto-Hime, Mai-OtoHiME, Dancing Maiden",,,
13,銀盤カレイドスコープ,,,,,['TV'],12,Finished Airing,"Oct 9, 2005 to Dec 25, 2005",['Fall 2005'],Sundays at 02:40 (JST),['Aniplex'],"None found,",['Karaku'],['Light novel'],"['Drama', 'Romance', 'Sports', 'Supernatural']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2862,#3264,"51,425",156,23770,"Figure skater Tazusa Sakurano is on the fast track to the Olympics. As a top contender, her chances rest on a single competition in Canada. However, during her program, she falls and hits her head on the ice, knocking her unconscious. At the same time, Canadian stunt pilot Pete Pumps goes down in a fiery blaze. After her devastating failure, Tazusa returns home to Japan, but she starts hearing a voice in her head. In reality, when Pete had arrived at the gates of heaven, he was denied access for his sins. Instead, he was told to wait 100 days and is now trapped in Tazusa's body! Unwilling to let this interrupt her life—even if her body is a bit crowded—Tazusa moves forward with skating, all while a pesky voice may just be able to help her achieve her dream. [Written by MAL Rewrite]","['Adaptation (Manga) Ginban Kaleidoscope', 'Adaptation (Light Novel) Ginban Kaleidoscope']",Ginban Kaleidoscope,Skating Rink Kaleidoscope,['Performing Arts'],,
14,ラムネ,,,,,['TV'],12,Finished Airing,"Oct 11, 2005 to Dec 27, 2005",['Fall 2005'],Tuesdays at 02:00 (JST),"None found,","None found,","['Trinet Entertainment', 'Picture Magic']",Visual novel,"['Drama', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.78,#5445,#3621,"42,933",74,18718,"Lamune tells the story of a boy named Kenji and his childhood friend Nanami. Although, everyone seems to know that they have a relationship, neither are determined to push it anymore than close friends. The story goes through flashbacks, explaining why they are such close friends and any action doesn't seem to push them apart, but draw them closer. (Source: ANN)",[],Lamune,,,,
15,ソルティレイ,,,,,['TV'],24,Finished Airing,"Oct 7, 2005 to Mar 31, 2006",['Fall 2005'],Fridays at 02:40 (JST),"['TV Asahi', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],"['Gonzo', 'AIC']",Original,"['Action', 'Sci-Fi']",,,23 min. per ep.,R - 17+ (violence & profanity),7.24,#3145,#4192,"31,814",135,13315,"In a future-based disaster-ridden city with an enormous gap between the rich and the poor, it is hard to tell which humans are walking around with cybernetic body parts. This makes Roy Revant's job as a renegade bounty hunter/bodyguard-for-hire even more difficult. When a young girl with unbeliveable strength rescues him from a particularly dangerous criminal, Roy realizes that perhaps help can be found in the strangest of places. Joining together with a few others, they engage in a battle to find out the truth behind the giant conglomerates that are supposedly serving mankind and making life better. Solty, an android who has lost her memory, has escaped and is being hunted by the RUC Security Bureau. She encounters the bounty hunter Roy and he adopts her as his daughter after being hired as a bodygaurd for Miranda. (Source: ANN)","['Adaptation (Manga) SoltyRei - The Red Lady', '']",Solty Rei,SoltyRei,['Super Power'],,
16,カペタ,,,,,['TV'],52,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",['Fall 2005'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Marvelous Entertainment', 'Delfi Sound']","None found,",['Studio Comet'],['Manga'],,,['Shounen'],23 min. per ep.,PG - Children,7.82,#988,#4399,"28,827",316,12460,"After losing his mother at a very young age, elementary school student Capeta Taira is forced to become more independent to avoid his father worrying for him. Working in a paving company, his father is often busy and has to work overtime to make ends meet. However, no matter how tough he acts in front of his father, Capeta is ultimately just a lonely kid with a rough life. In addition to his typical house duties, he has to deal with the bully Nobu Andou which makes him feel worse, despite support from his classmate, Monami Suzuki. One day, Capeta's father sees young go-kart drivers racing at high speeds and gets inspired by the scene. He then decides to collect scrapped parts available on the track and begins working on a gift for his son. Meanwhile, Capeta and Monami sneak into his workplace, suspecting that his father is up to something. Much to their surprise, they see a go-kart built from discarded parts—with Capeta's name attached to it! Although it lacks an engine and looks worn out, the kart is mostly complete and functional. Despite the heavy rain, Capeta cannot resist the urge to try out this new machinery. As he drives the kart downhill on a wet road, an incident that is almost a dangerous accident instead becomes a thrilling obsession. No longer bored with life, the engine of Capeta's heart is ignited with a new passion as he journeys into the world of racing. [Written by MAL Rewrite]","['Adaptation (Manga) Capeta', '']",Capeta,,['Racing'],['Sports'],
17,Canvas2 ～虹色のスケッチ～,Canvas 2: Rainbow Colored Sketch,,,,['TV'],24,Finished Airing,"Oct 2, 2005 to Mar 26, 2006",['Fall 2005'],Unknown,"['Kadokawa Shoten', 'DAX Production']","None found,",['Zexcs'],Visual novel,"['Comedy', 'Drama', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.71,#5826,#4480,"27,770",48,11953,"Kamikura Hiroki is an art student at the local school Nadesico Academy (High School and college level) whom intends to be an art teacher in the future. He is also the advisor to the high school arts society where his cousin, Housen Elis, attends. While Elis is a painter like Hiroki, Hiroki seems to have given up on his dreams and no longer paints. There appears to be some mysterious trauma in the both of their pasts which may have changed them. Meanwhile, the high school hires a new PE teacher, Kikyo Kiri. On the first day, she bumps into Hiroki and is stunned. Here is the boy she confessed to and he refused her... (Source: ANN)","['Adaptation (Manga) Canvas 2: Nijiiro no Sketch', '']",Canvas 2: Nijiiro no Sketch,,['Visual Arts'],,
18,トゥハート2,To Heart 2,,,,['TV'],13,Finished Airing,"Oct 4, 2005 to Jan 3, 2006",['Fall 2005'],Unknown,"None found,",['Maiden Japan'],['OLM'],Visual novel,"['Comedy', 'Drama', 'Romance']","['Harem', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7239,#4895,"22,443",43,7715,"Following her graduation from middle school, Konomi Yuzuhara enters the same high school as Takaaki Kono, her childhood friend. As the new school year begins, they meet their childhood friend Tamaki Kosaka, as well as many new accquaintances. Unbeknownst to the group, their encounters with each other will soon lead to many memorable adventures. (Source: ANN)","['Sequel (OVA) To Heart 2 OVA', 'Adaptation (Manga) To Heart 2']",To Heart 2,ToHeart2,,,
19,IGPX -Immortal Grand Prix-,IGPX: Immortal Grand Prix,,,IGPX: Immortal Grand Prix,['TV'],13,Finished Airing,"Oct 6, 2005 to Jan 18, 2006",['Fall 2005'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Discotek Media']",['Production I.G'],Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Racing']",,23 min. per ep.,PG-13 - Teens 13 or older,7.06,#4127,#4946,"21,954",90,9012,"In the year 2048, people are raving about a fighting race called “Immortal Grand Prix”, or IGPX in short, which is faster and more exciting than any of the existing motor sports. The phenomenon is so big that an entire city was built for the racing industry where competitions take place on a huge track. In the “Immortal Grand Prix,” two teams of three IG machines, high-tech humanoid mechs driven by humans, race at speeds greater than 400km/h. The teams make three laps of a 60 km course while intercepting the opponent as they vie for a first place finish. The best machine performance, the best pilots and the best teamwork are the only factors that can make them the winners. (Source: Production I.G.)","['Sequel (TV) IGPX: Immortal Grand Prix (2005) 2nd Season', '']",IGPX: Immortal Grand Prix (2005),,,,
