,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Genre,Demographics
20,韋駄天翔(ジャンプ),Idaten Jump,,,,['TV'],52,Finished Airing,"Oct 1, 2005 to Sep 30, 2006",['Fall 2005'],Saturdays at 09:30 (JST),"['Production I.G', 'TV Tokyo', 'Aniplex', 'MediaNet']","None found,",['Trans Arts'],['Manga'],"['Fantasy', 'Sports']","['Isekai', 'Racing', 'School']",,24 min. per ep.,PG - Children,7.36,#2558,#5007,"21,382",220,12680,"During a race, mountain bike (MTB) enthusiast Shou Yamato is mysteriously dragged into another world alongside his friends, Kakeru and Makoto. Soon, the group discovers that this world known as ""X-Zone"" revolves around Idaten battles—MTB races characterized by special courses, rules, and hidden powers lying dormant within the bikes. The only way to return home is to win and obtain the MTB emblems from the defeated challengers. Despite being perplexed and terrified of the bizarre world, Shou is surprisingly excited. He has the opportunity to compete with fellow MTB riders, make new friends and rivals, and also unearth the X-Zone's hidden truths that may dramatically change his fate. Shou and his friends must make it through an arduous journey, one rife with conspiracies against them, in order to safely return home together. [Written by MAL Rewrite]",[],Idaten Jump,,,,
21,エンジェル・ハート,,,,,['TV'],50,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",['Fall 2005'],Tuesdays at Unknown,['Aniplex'],['Discotek Media'],['TMS Entertainment'],['Manga'],"['Action', 'Drama', 'Mystery', 'Romance']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.25,#3089,#5216,"19,375",86,5996,"A young Taiwanese assassin codenamed ""Glass Heart"" committed suicide by jumping off a building, and her heart was pierced by metal fence. Miraculously, her life was saved by heart transplantation. During her recovery she began to experience strange dreams, which lead her to Japan looking for the donor of her heart, who happens to be Kaori Makimura, former partner of City Hunter Ryo Saeba. The author mentioned in the first tankoubon volume that Angel Heart only shares the same characters of City Hunter but not its continuation. The events are all parallel universe, therefore it has nothing to do with City Hunter. (Source: Wikipedia)","['Adaptation (Manga) Angel Heart', '']",Angel Heart,,,,
22,銀牙伝説ウィード,,,,,['TV'],26,Finished Airing,"Nov 3, 2005 to May 11, 2006",['Fall 2005'],Thursdays at 22:30 (JST),"['Nihon Ad Systems', 'SKY Perfect Well Think']","None found,",['Studio Deen'],['Manga'],"['Adventure', 'Drama']",,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.22,#3259,#5545,"16,428",251,8476,"A dog named Weed happens to hear that he is the son of Gin, the great leader of Ohu who lead the dogs of Ohu to victory in a fight against monsterous bear, Akakabuto. Weed wants to find his father no matter what. On a journey to find his father Weed meets many friends and enemies. (Source: ANN)","['Prequel (TV) Ginga Nagareboshi Gin', 'Adaptation (Manga) Ginga Densetsu Weed']",Ginga Densetsu Weed,Ginga Legend Weed,['Anthropomorphic'],,
23,CLUSTER EDGE（クラスターエッジ）,,,,,['TV'],25,Finished Airing,"Oct 5, 2005 to Mar 29, 2006",['Fall 2005'],Wednesdays at 01:00 (JST),"['Bandai Visual', 'Imagine']",['Sentai Filmworks'],['Sunrise'],Original,"['Action', 'Fantasy', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.31,#8221,#6356,"11,547",14,3392,"Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing. (Source: Sentai Filmworks)",[],Cluster Edge,,['Military'],,
24,ロックマン エグゼ ＢＥＡＳＴ,,,,,['TV'],25,Finished Airing,"Oct 1, 2005 to Apr 1, 2006",['Fall 2005'],Unknown,"['TV Tokyo', 'Shogakukan Music & Digital Entertainment']","None found,",['Xebec'],Game,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'Strategy Game']",,25 min. per ep.,PG - Children,7.05,#4152,#7054,"9,033",17,3553,"Trill, a mysterious navi said to have originated from the world of Beyondard, is discovered. And new beast-type enemies, the Zoanoroids, want him for his special power. Netto Hikari and Rockman must protect their new friend while they try to figure out what Trill is really and his connection to the two legendary cyber beasts, Grega and Faltzer. (Source: ANN)","['Prequel (TV) Rockman.EXE Stream', 'Sequel (TV) Rockman.EXE Beast+']",Rockman.EXE Beast,Rockman EXE Beast,,,
25,冒険王ビィト エクセリオン,Beet the Vandel Buster Excellion,,,,['TV'],25,Finished Airing,"Oct 6, 2005 to Mar 30, 2006",['Fall 2005'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min. per ep.,PG - Children,6.68,#6018,#7235,"8,522",6,3921,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.","['Prequel (TV) Bouken Ou Beet', '']",Bouken Ou Beet Excellion,Adventure King Beet Excellion,,,
26,格闘美神 武龍,Fighting Beauty Wulong,,,,['TV'],25,Finished Airing,"Oct 10, 2005 to Mar 26, 2006",['Fall 2005'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Action', 'Ecchi']",,,25 min. per ep.,R - 17+ (violence & profanity),6.55,#6739,#7842,"6,928",7,1895,"At first glance, Mao Ran is a normal cute girl, but she is a master of a martial arts handed down by Mao family. One day, she is tricked by her grandfather, and forced to take part in the fighting match, ""Prime Mat"". First, she is reluctant to fight, but fighting against the rivals, she is gradually fascinated by the ""fighting"". (Source: AnimeNfo)","['Sequel (TV) Kakutou Bijin Wulong: Rebirth', 'Adaptation (Manga) Kakutou Bijin Wulong']",Kakutou Bijin Wulong,,['Martial Arts'],,
27,はっぴぃセブン ～ざ・テレビまんが～,,,,,['TV'],13,Finished Airing,"Oct 3, 2005 to Dec 26, 2005",['Fall 2005'],Unknown,"['Trinet Entertainment', 'Three Fat Samurai']","None found,",['Studio Hibari'],['Light novel'],"['Comedy', 'Fantasy']",,,24 min. per ep.,PG - Children,6.23,#8682,#8147,"6,302",7,2250,"Amano Sakogami is a girl who has an unnatural amount of bad luck. One day, she stumbles into the clubroom of the Better Fortune Research Organization, which consists of a boy and seven other girls who secretly use the power of the luck deities to fight against the Magatsugami, monsters who can affect a person's luck & well-being. Amano soon becomes the club's manager, and joins the club in their fight against the Magatsugami and their controller, Kukitomoe. (Source: ANN)","['Adaptation (Manga) Gakuen Happy Seven', 'Adaptation (Light Novel) Gakuen Happy Seven']",Happy Seven: The TV Manga,Happy 7,['School'],,
28,ガイキング Legend of Daiku-Maryu,,,,,['TV'],39,Finished Airing,"Nov 12, 2005 to Sep 24, 2006",['Fall 2005'],Unknown,"None found,","None found,",['Toei Animation'],Original,"['Action', 'Sci-Fi']",,,25 min. per ep.,G - All Ages,7.13,#3751,#8549,"5,654",15,1844,"A boy, Tsuwabaki Daiya found a black fire in an ocean when he and his father were in a small boat. A big monster came out of the fire, and the father and the crews were disappeared into the sea. When he was about to become the next victim, a large mecka dragon appeared and saved him. 5 years later since then, Daiya becomes a junior high school student. A big monster reappear, and he meets the mecha dragon,""Daiku Maryu"". The head of the dragon separates from the body, and it turns into the body of a super robot, Gaiking. He gets in Gaiking, fights against the monster, and beats it. He learns that there is an enemy that plots to conquer the world, and he leaves for another world, Darius, to stop the plot. (Source: AnimeNfo)","['Adaptation (Manga) Daikuu Maryuu Gaiking', '']",Gaiking: Legend of Daiku-Maryu,"Great Sky Demon Dragon Gaiking, Gaiking: Legend of Daikuu-Maryuu",['Mecha'],,
29,ガンパレード・オーケストラ,Gunparade Orchestra,,,,['TV'],24,Finished Airing,"Oct 4, 2005 to Mar 28, 2006",['Fall 2005'],Unknown,"None found,","None found,","[""Brain's Base""]",Game,"['Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military']",,25 min. per ep.,PG-13 - Teens 13 or older,5.83,#10795,#8731,"5,340",3,1462,"The story focuses and revolves around the 108th Guard Squad, stationed in Aomori. A poorly equipped unit with very little military standing, it is often viewed as a 'reject camp' for pilots not making the grade for the elite units based in Hokkaido. The apparent helpless nature of this force is hardly a deterrent for the encroaching enemy armies, ever closing in on both the 108th and the rest of the empire. The young pilots of the 108th, who had dreamed on returning home, are plunged forcefully and unwillingly into a war. (Source: ANN)","['Adaptation (Manga) Gunparade Orchestra', '']",Gunparade Orchestra,GPO,,,
30,少女チャングムの夢,,,,,['TV'],26,Finished Airing,"Oct 29, 2005 to Apr 29, 2006",['Fall 2005'],Unknown,['Heewon Entertainment'],"None found,","None found,",Other,"['Adventure', 'Comedy', 'Gourmet']",,,24 min. per ep.,PG - Children,7.24,#3166,#8945,"4,995",40,1687,Story is about the girl Jang Geum who wants to be a cook. She gets accepted as a palace servant. Clever and cheerful Jang Geum quickly finds friends. But all to soon she encounters intrigue and corruption. A Korean/Japanese joint production.,"[""Sequel (TV) Dae Jang Geum: Jang Geum's Dream 2"", '']",Dae Jang Geum: Jang Geum's Dream,"Shoujo Changumu no Yume, Janggeum's Dream, Changumu no Yume - Dae Jang Geum, 장금이의 꿈",['Historical'],,
31,アニマル横町,Animal Lane,,,,['TV'],51,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",['Fall 2005'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Dentsu', 'TV Tokyo Music', 'Dentsu Tec', 'Geneon Entertainment']","None found,",['Gallop'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",,['Shoujo'],23 min. per ep.,G - All Ages,7.00,#4400,#9793,"3,798",12,1400,"On the first day her family moved to their new house, 5-year-old Ami-chan made friends with three talking animals who came out of a door in her bedroom floor, which she finds out leads to Animal Yokocho, another world. The three are Issa, an overly innocent, soft-spoken panda, Kenta, a highly strung, red-scarf-loving bear who puts on an almost constant tough-guy act, and Iyo, a rabbit who usually holds her own well-being and enjoyment over the happiness (and safety) of her friends. Even at only 5 years old, Ami-chan is easily the most rational of the group, and she's a little wary at first, but she eventually comes around and starts spending her free time with them. A typical day involves Ami-chan and the three doing different things to pass the time, often playing a seemingly innocent game, but in AniYoko style. Unfortunately for Ami-chan, the AniYoko version usually turns out to be drastically different, much less logical, and usually more dangerous than the ordinary version. (Source: ANN)","['Adaptation (Manga) Animal Yokochou', '']",Animal Yokochou,,,,
32,카드왕 믹스마스터,Mix Master: King of Cards,,"Mix Master, el Rey de las Cartas",,['TV'],39,Finished Airing,"Oct 4, 2005 to Jul 18, 2006",['Fall 2005'],Unknown,"['Sunwoo Entertainment', 'KBS']","None found,",['Nippon Animation'],Unknown,"['Adventure', 'Fantasy']",,,25 min. per ep.,PG - Children,6.43,#7536,#11795,"2,071",8,778,"Mix Masters is a Korea-Japan co-produced anime series, also known by the name Mix Master: King of Cards. It is a co-production by Nippon Animation of Japan and Sunwoo Entertainment and KBS of Korea. The story centers on the fantasy and adventure card game, Mix Master, and the transference of this game from a video game to the real world after a scientist's new invention goes terribly wrong. Creatures from the video game called henches run loose upon the real world and it is up to the Mix Master to stop those creatures from causing trouble. All the while, an evil leader from the video game, Prince Brad, causes trouble for them for some nefarious purpose. (Source: Wikipedia)","['Sequel (TV) Choegang Habche: Mix Master', '']",Card Wang: Mix Master,Card Ou Mix Master,['Strategy Game'],,
33,こてんこてんこ,,,,,['TV'],52,Finished Airing,"Oct 6, 2005 to Sep 28, 2006",['Fall 2005'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems']","None found,",['I-move'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],14 min. per ep.,G - All Ages,[],#19563,#16924,514,1,,"Kotencotenco is a gag strip anime for young children featuring the flourishes of the Prince of the country of the Paradice, Kotenco. Kotenco guards the “Angel Star” for the Queen in the Paradice. Kotenco is a very good child, but when the bad spirits rise, Kotenco transforms into Matenco. Unlike Kotenco, Matenco is a very naughty child and troubles everyone. But don't worry! By changing the angel ring, Matenco goes back to being Kotenco. Will Kotenco be able to guard the “Angel Star” from the ruler and the Devil of the Country of the Ground, who is aiming for the Paradice?",[],Kotencotenco,"Kotenkotenko, Kotenco and Matenco",,,
34,ナルト,Naruto,,,,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,687","82,496",2044591,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,NARUTO,['Martial Arts'],,
35,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,207","234,795",1420002,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,
36,BLEACH - ブリーチ -,Bleach,,,,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.97,#704,#35,"2,075,323","78,068",1188975,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,
37,交響詩篇エウレカセブン,Eureka Seven,Eureka Seven,,Eureka Seven,['TV'],50,Finished Airing,"Apr 17, 2005 to Apr 2, 2006",['Spring 2005'],Sundays at 07:00 (JST),"['Aniplex', 'Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Ashi Productions', 'Sony Music Entertainment', 'Bandai Namco Games', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'USEN', 'Fonishia']","['Funimation', 'Bandai Entertainment']",['Bones'],Original,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,8.05,#593,#544,"446,357","9,185",185532,"In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing. Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash. [Written by MAL Rewrite]","['Sequel (TV) Eureka Seven AO', 'Adaptation (Manga) Koukyoushihen Eureka seveN', 'Adaptation (Light Novel) Eureka Seven', '']",Koukyoushihen Eureka Seven,Psalms of Planets Eureka Seven,['Mecha'],,
38,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,862","15,329",164348,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,['Detective'],,
39,SHUFFLE! (シャッフル!),Shuffle!,,,,['TV'],24,Finished Airing,"Jul 8, 2005 to Jan 6, 2006",['Summer 2005'],Fridays at 00:30 (JST),"['Xebec', 'Lantis', 'Kadokawa Shoten', 'KlockWorx', 'Memory-Tech']",['Funimation'],['asread.'],Visual novel,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'School', 'Urban Fantasy']",,24 min. per ep.,R+ - Mild Nudity,7.01,#4323,#906,"285,301","1,465",137647,"In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him in the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.","['Adaptation (Manga) Shuffle!', 'Adaptation (Light Novel) Shuffle!']",Shuffle!,,,,
40,遊☆戯☆王　デュエルモンスターズ GX,Yu-Gi-Oh! GX,,Yu-Gi-Oh! GX,Yu-Gi-Oh! GX,['TV'],180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",['Fall 2004'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']","['Konami', 'Funimation']",['Gallop'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.21,#3320,#1156,"225,899","1,731",140773,"In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination? Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters', ""Sequel (TV) Yu☆Gi☆Oh! 5D's"", 'Adaptation (Manga) Yu☆Gi☆Oh! GX', '']",Yu☆Gi☆Oh! Duel Monsters GX,"Yu-Gi-Oh! GX, Yugioh GX, Yu-Gi-Oh! Genex, Yugioh Genex, Yu-Gi-Oh!: Duel Monsters GX, Yugioh: Duel Monsters GX, Yu-Gi-Oh!: Duel Monsters Genex, Yugioh: Duel Monsters Genex, Game King of Duel Monsters GX",['Strategy Game'],,
41,頭文字〈イニシャル〉D FOURTH STAGE,,,Initial D: Supera el Límite de Velocidad Temporada 4,Initial D 4ème-Etape,['TV'],24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",['Spring 2004'],Unknown,['OB Planning'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Drama']",,['Seinen'],27 min. per ep.,PG-13 - Teens 13 or older,8.17,#447,#1275,"200,537","1,381",112324,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]","['Prequel (Movie) Initial D Third Stage', 'Sequel (TV) Initial D Fifth Stage', 'Adaptation (Manga) Initial D', '']",Initial D Fourth Stage,Initial D 4th Stage,['Racing'],,
42,ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,Pokémon: Rubin und Saphir,Pokémon Advanced,Pokémon Advance,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,927",295,120792,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",,,
43,アイシールド21,,,,,['TV'],145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",['Spring 2005'],Wednesdays at 19:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['VIZ Media', 'Sentai Filmworks']",['Gallop'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.91,#801,#1355,"189,285","2,064",91285,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad. As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College. Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges valuable bonds along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Eyeshield 21', '']",Eyeshield 21,Eyeshield21,['Team Sports'],['Sports'],
44,金色のガッシュベル!!,Zatch Bell!,,,Zatch Bell!,['TV'],150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",['Spring 2003'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['VIZ Media', 'Flatiron Film Company']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1772,#1817,"132,177","1,314",62532,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.","['Adaptation (Manga) Konjiki no Gash!!', '']",Konjiki no Gash Bell!!,,['Mythology'],,
