,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Genre,Demographics
0,AoButa,青春ブタ野郎はバニーガール先輩の夢を見ない,Rascal Does Not Dream of Bunny Girl Senpai,Rascal Dpes Not Dream Of Bunny Girl Senpai,Rascal does not Dream of Bunny Girl Senpai (Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai),Rascal does not Dream of Bunny Girl Senpai (Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai),['TV'],13,Finished Airing,"Oct 4, 2018 to Dec 27, 2018",['Fall 2018'],Thursdays at 02:20 (JST),"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']",['Aniplex of America'],['CloverWorks'],['Light novel'],"['Drama', 'Romance', 'Supernatural']",['School'],24 min. per ep.,PG-13 - Teens 13 or older,8.23,#359,#50,"1,829,195","48,470",1158550,"The rare and inexplicable Puberty Syndrome is thought of as a myth. It is a rare disease which only affects teenagers, and its symptoms are so supernatural that hardly anyone recognizes it as a legitimate occurrence. However, high school student Sakuta Azusagawa knows from personal experience that it is very much real, and happens to be quite prevalent in his school. Mai Sakurajima is a third-year high school student who gained fame in her youth as a child actress, but recently halted her promising career for reasons unknown to the public. With an air of unapproachability, she is well known throughout the school, but none dare interact with her—that is until Sakuta sees her wandering the library in a bunny girl costume. Despite the getup, no one seems to notice her, and after confronting her, he realizes that she is another victim of Puberty Syndrome. As Sakuta tries to help Mai through her predicament, his actions bring him into contact with more girls afflicted with the elusive disease. [Written by MAL Rewrite]","['Sequel (Movie) Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'Adaptation (Manga) Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Adaptation (Manga) Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai', 'Adaptation (Manga) Seishun Buta Yarou wa Logical Witch no Yume wo Minai']",Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,,,
1,TenSura,転生したらスライムだった件,That Time I Got Reincarnated as a Slime,That Time I Got Reincamrnated as a Slime,That Time I Got Reincarnated as a Slime,That Time I Got Reincarnated as a Slime,['TV'],24,Finished Airing,"Oct 2, 2018 to Mar 19, 2019",['Fall 2018'],Tuesdays at 00:00 (JST),"['Lantis', 'Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing']",['Funimation'],['8bit'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.14,#473,#82,"1,539,580","31,581",932674,"Thirty-seven-year-old Satoru Mikami is a typical corporate worker, who is perfectly content with his monotonous lifestyle in Tokyo, other than failing to nail down a girlfriend even once throughout his life. In the midst of a casual encounter with his colleague, he falls victim to a random assailant on the streets and is stabbed. However, while succumbing to his injuries, a peculiar voice echoes in his mind, and recites a bunch of commands which the dying man cannot make sense of. When Satoru regains consciousness, he discovers that he has reincarnated as a goop of slime in an unfamiliar realm. In doing so, he acquires newfound skills—notably, the power to devour anything and mimic its appearance and abilities. He then stumbles upon the sealed Catastrophe-level monster ""Storm Dragon"" Veldora who had been sealed away for the past 300 years for devastating a town to ashes. Sympathetic to his predicament, Satoru befriends him, promising to assist in destroying the seal. In return, Veldora bestows upon him the name Rimuru Tempest to grant him divine protection. Now, liberated from the mundanities of his past life, Rimuru embarks on a fresh journey with a distinct goal in mind. As he grows accustomed to his new physique, his gooey antics ripple throughout the world, gradually altering his fate. [Written by MAL Rewrite]","['Sequel (TV) Tensei shitara Slime Datta Ken 2nd Season', 'Adaptation (Manga) Tensei shitara Slime Datta Ken']",Tensei shitara Slime Datta Ken,"['Isekai', 'Reincarnation']",['Shounen'],,
2,,ゴブリンスレイヤー,Goblin Slayer,,,,['TV'],12,Finished Airing,"Oct 7, 2018 to Dec 30, 2018",['Fall 2018'],Sundays at 00:30 (JST),"['Sony Pictures Entertainment', 'Frontier Works', 'AT-X', 'SoftBank Creative', 'Bushiroad', 'Hakuhodo DY Music & Pictures', 'Good Smile Film', 'Artist Management Office']",['Funimation'],['White Fox'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",['Gore'],23 min. per ep.,R - 17+ (violence & profanity),7.42,#2293,#129,"1,179,496","7,559",702471,"Goblins are known for their ferocity, cunning, and rapid reproduction, but their reputation as the lowliest of monsters causes their threat to be overlooked. Raiding rural civilizations to kidnap females of other species for breeding, these vile creatures are free to continue their onslaught as adventurers turn a blind eye in favor of more rewarding assignments with larger bounties. To commemorate her first day as a Porcelain-ranked adventurer, the 15-year-old Priestess joins a band of young, enthusiastic rookies to investigate a tribe of goblins responsible for the disappearance of several village women. Unprepared and inexperienced, the group soon faces its inevitable demise from an ambush while exploring a cave. With no one else left standing, the terrified Priestess accepts her fate—until the Goblin Slayer unexpectedly appears to not only rescue her with little effort, but destroy the entire goblin nest. As a holder of the prestigious Silver rank, the Goblin Slayer allows her to accompany him as he assists the Adventurer's Guild in all goblin-related matters. Together with the Priestess, High Elf, Dwarf, and Lizardman, the armored warrior will not rest until every single goblin in the frontier lands has been eradicated for good. [Written by MAL Rewrite]","[""Sequel (Movie) Goblin Slayer: Goblin's Crown"", 'Adaptation (Manga) Goblin Slayer', 'Adaptation (Manga) Goblin Slayer: Brand New Day', 'Adaptation (Manga) Goblin Slayer: Day in the Life']",Goblin Slayer,,,,
3,"Sword Art Online III, SAO Alicization, Sword Art Online 3, SAO 3",ソードアート・オンライン アリシゼーション,Sword Art Online: Alicization,Sword Art Online Alicization,Sword Art Online Alicization,,['TV'],24,Finished Airing,"Oct 7, 2018 to Mar 31, 2019",['Fall 2018'],Sundays at 00:00 (JST),"['Aniplex', 'Genco', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",['Video Game'],24 min. per ep.,R - 17+ (violence & profanity),7.57,#1677,#146,"1,092,035","7,424",646001,"The Soul Translator is a state-of-the-art full-dive interface which interacts with the user's Fluctlight—the technological equivalent of a human soul—and fundamentally differs from the orthodox method of sending signals to the brain. The private institute Rath aims to perfect their creation by enlisting the aid of Sword Art Online survivor Kazuto Kirigaya. He works there as a part-time employee to test the system's capabilities in the Underworld: the fantastical realm generated by the Soul Translator. As per the confidentiality contract, any memories created by the machine in the virtual world are wiped upon returning to the real world. Kazuto can only vaguely recall a single name, Alice, which provokes a sense of unease when mentioned in reality. When Kazuto escorts Asuna Yuuki home one evening, they chance upon a familiar foe. Kazuto is mortally wounded in the ensuing fight and loses consciousness. When he comes to, he discovers that he has made a full-dive into the Underworld with seemingly no way to escape. He sets off on a quest, seeking a way back to the physical world once again. [Written by MAL Rewrite]","['Prequel (Movie) Sword Art Online Movie: Ordinal Scale', 'Sequel (TV) Sword Art Online: Alicization - War of Underworld', 'Adaptation (Manga) Sword Art Online: Project Alicization', 'Adaptation (Light Novel) Sword Art Online']",Sword Art Online: Alicization,,,,
4,"JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, Le Bizzarre Avventure Di GioGio Parte 5: Vento Aureo",ジョジョの奇妙な冒険 黄金の風,JoJo's Bizarre Adventure: Golden Wind,Jojo's Bizarre Adventure: Golden Wind,Jojo's Bizarre Adventure: Golden Wind,JoJo's Bizarre Adventure: Golden Wind,['TV'],39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",['Fall 2018'],Saturdays at 01:05 (JST),['Warner Bros. Japan'],['VIZ Media'],['David Production'],['Manga'],"['Action', 'Adventure']",,23 min. per ep.,R - 17+ (violence & profanity),8.58,#106,#152,"1,083,049","33,126",724841,"In the coastal city of Naples, corruption is teeming—the police blatantly conspire with outlaws, drugs run rampant around the youth, and the mafia governs the streets with an iron fist. However, various fateful encounters will soon occur. Enter Giorno Giovanna, a 15-year-old boy with an eccentric connection to the Joestar family, who makes a living out of part-time jobs and pickpocketing. Furthermore, he is gifted with the unexplained Stand ability to give and create life—growing plants from the ground and turning inanimate objects into live animals, an ability he has dubbed ""Gold Experience."" Fascinated by the might of local gangsters, Giorno has dreamed of rising up in their ranks and becoming a ""Gang-Star,"" a feat made possible by his encounter with Bruno Bucciarati, a member of the Passione gang with his own sense of justice. JoJo no Kimyou na Bouken: Ougon no Kaze follows the endeavors of Giorno after joining Bruno's team while working under Passione, fending off other gangsters and secretly plotting to overthrow their mysterious boss. [Written by MAL Rewrite]","['Prequel (TV) JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Sequel (ONA) JoJo no Kimyou na Bouken Part 6: Stone Ocean', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', '']",JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"['Organized Crime', 'Super Power']",['Shounen'],,
5,"Tokyo Kushu:re, Toukyou Kuushu:re",東京喰種トーキョーグール：re 第2期,Tokyo Ghoul:re 2nd Season,Tokyo Ghoul:re Teil 2,Tokyo Ghoul:re Parte 2,Tokyo Ghoul:re Partie 2,['TV'],12,Finished Airing,"Oct 9, 2018 to Dec 25, 2018",['Fall 2018'],Tuesdays at 23:00 (JST),"['Marvelous Entertainment', 'Pierrot Plus', 'TC Entertainment', 'Shueisha']",['Funimation'],['Pierrot'],['Manga'],"['Action', 'Fantasy', 'Horror', 'Suspense']",,24 min. per ep.,R - 17+ (violence & profanity),6.46,#7336,#196,"930,056","2,858",552961,"After the conclusion of the Tsukiyama Family Extermination Operation, the members of the Commission of Counter Ghouls (CCG) have grown exponentially in power and continue to pursue their goal of exterminating every ghoul in Japan. Having resigned from Quinx Squad, the now seemingly emotionless Haise Sasaki begins taking on more and more tasks from the CCG with no regard to the difficulty. Despite his vacant expressions, Ken Kaneki's memories are resurfacing in Haise, leaving him in a state of internal conflict. Meanwhile, his new coldhearted behavior is affecting the people around him. Quinx Squad are left in shambles, having to cope with the death of one of their members without the support of their former mentor. Amidst this turmoil, both Quinx Squad and Haise must continue to fulfill their duties to the CCG, whether willingly or not. However, the presence of a mysterious group behind the CCG has been made known to Haise, and certain whispers of corruption have not gone unheard by the Quinx Squad as well. [Written by MAL Rewrite]","['Prequel (TV) Tokyo Ghoul:re', 'Adaptation (Manga) Tokyo Ghoul:re']",Tokyo Ghoul:re 2nd Season,"['Gore', 'Psychological', 'Urban Fantasy']",['Seinen'],,
6,"Fairy Tail Season 3, Fairy Tail (2018)",FAIRY TAIL ファイナルシリーズ,Fairy Tail Final Series,Fairy Tail: Final Season,Fairy Tail: Final Season,Fairy Tail: Saison Finale,['TV'],51,Finished Airing,"Oct 7, 2018 to Sep 29, 2019",['Fall 2018'],Sundays at 07:00 (JST),"['TV Tokyo', 'Dentsu', 'Kodansha', 'Avex Pictures']",['Funimation'],"['A-1 Pictures', 'Bridge', 'CloverWorks']",['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.61,#1542,#441,"534,470","5,333",263399,"Although Fairy Tail has disbanded and its members are now spread far across Fiore, Natsu Dragneel has not given up on reuniting the guild he and others once called home. Along with his companions Happy and Lucy Heartfilia, he will stop at nothing to keep Fairy Tail and its fiery spirit alive even as they face their most difficult trial yet—the invasion of Fiore by the Alvarez Empire's immense army and their all-too-familiar ruler. [Written by MAL Rewrite]","['Prequel (TV) Fairy Tail (2014)', 'Sequel (TV) Fairy Tail: 100-nen Quest', 'Adaptation (Manga) Fairy Tail', '']",Fairy Tail: Final Series,,['Shounen'],,
7,,ゾンビランドサガ,Zombie Land Saga,Zombie Land Saga,,Zombie Land Saga,['TV'],12,Finished Airing,"Oct 4, 2018 to Dec 20, 2018",['Fall 2018'],Thursdays at 23:30 (JST),"['Avex Pictures', 'Cygames', 'dugout']",['Funimation'],['MAPPA'],Original,"['Award Winning', 'Comedy', 'Supernatural']",,23 min. per ep.,R - 17+ (violence & profanity),7.50,#1980,#462,"513,788","3,273",246460,"Sakura Minamoto dreams of becoming an idol. Unfortunately, reality hits her like a truck, and she dies in a sudden traffic accident. Ten years later, she wakes up in Saga Prefecture, only to find herself a zombie with no memory of her past. While still coming to terms with her demise, she meets a man named Koutarou Tatsumi, who explains that he has resurrected her and six other zombie girls from different eras for the purpose of economically revitalizing Saga by means of an idol group. Assuming the role of an abrasive manager, Koutarou begins scheduling events; the girls go along with it, eventually deciding to name their idol group Franchouchou. An absurdly comedic take on the idol genre, Zombieland Saga tells the story of Franchouchou's heartwarming struggle to save Saga Prefecture while hiding their zombie identities and rediscovering their past lives. [Written by MAL Rewrite]","['Sequel (TV) Zombieland Saga Revenge', 'Adaptation (Manga) Zombieland Saga']",Zombieland Saga,"['Idols (Female)', 'Music', 'Parody']",,,
8,Kishukugakkou no Juliet,寄宿学校のジュリエット,Boarding School Juliet,Boarding School Juliet,Juliet en el Internado,Juliet au pensionnat,['TV'],12,Finished Airing,"Oct 6, 2018 to Dec 22, 2018",['Fall 2018'],Saturdays at 01:25 (JST),['NBCUniversal Entertainment Japan'],"None found,",['LIDENFILMS'],['Manga'],"['Action', 'Comedy', 'Romance']",['School'],24 min. per ep.,PG-13 - Teens 13 or older,7.45,#2142,#643,"390,942","2,078",185954,"We lay our scene in the fair Dahlia Academy, where two countries, both alike in dignity, come together; the ""Black Doggies"" of the Eastern Nation of Touwa and ""White Cats"" of the Principality of West have a longstanding feud. Romio Inuzuka and Juliet Persia, leaders of their respective dorms, seem to be bitter enemies. In reality, however, Romio and Juliet are hopelessly in love, but revealing their relationship would call upon the ire of all their comrades. They hide their love to maintain peace, but a clandestine relationship means they miss out on many of the activities couples get to do. As they grow closer together, Romio and Juliet must come to terms with the fact that keeping their relationship a secret may prove to be impossible. [Written by MAL Rewrite]","['Adaptation (Manga) Kishuku Gakkou no Juliet', '']",Kishuku Gakkou no Juliet,,['Shounen'],,
9,"YagaKimi, Eventually, I Will Become You",やがて君になる,Bloom Into You,Bloom Into You,,Bloom Into You,['TV'],13,Finished Airing,"Oct 5, 2018 to Dec 28, 2018",['Fall 2018'],Fridays at 21:30 (JST),"['AT-X', 'Sony Music Communications', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],['TROYCA'],['Manga'],"['Drama', 'Girls Love']",['School'],24 min. per ep.,PG-13 - Teens 13 or older,7.88,#860,#701,"360,797","6,699",151346,"Yuu Koito has always been entranced with romantic shoujo manga and the lyrics of love songs. She patiently waits for the wings of love to sprout and send her heart aflutter on the day that she finally receives a confession. Yet, when her classmate from junior high declares his love for her during their graduation, she feels unexpectedly hollow. The realization hits her: she understands romance as a concept, but she is incapable of experiencing the feeling first-hand. Now, having enrolled in high school, Yuu, disconcerted and dispirited, is still ruminating over how to respond to her suitor. There, she happens upon the seemingly flawless student council president, Touko Nanami, maturely rejecting a confession of her own. Stirred by Touko's elegant manner, Yuu approaches her for advice, only to be bewildered when the president confesses to her! Yuu quickly finds herself in the palm of Touko's hand, and unknowingly sets herself on a path to find the emotion which has long eluded her. [Written by MAL Rewrite]","['Adaptation (Manga) Yagate Kimi ni Naru', '']",Yagate Kimi ni Naru,,,,
