,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Theme,Genre,Demographics
10,P4A,ペルソナ4アニメーション,Persona 4 the Animation,,,,['TV'],25,Finished Airing,"Oct 7, 2011 to Mar 30, 2012",['Fall 2011'],Fridays at 01:30 (JST),"['Aniplex', 'AIC', 'Mainichi Broadcasting System', 'ASCII Media Works', 'Index']",['Sentai Filmworks'],['AIC ASTA'],Game,"['Action', 'Mystery', 'Sci-Fi', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,7.51,#1916,#953,"271,359","2,414",133315,"Serial murders have recently plagued Inaba, with the police struggling to find any leads. Despite this, due to his parents going abroad for work, Yuu Narukami moves to the small town to live with his uncle for a year. He enrolls at Yasogami High School, where he meets and befriends Yousuke Hanamura, Chie Satonaka, and Yukiko Amagi. While hanging out together after school, the group fills Yuu in on the urban legend known as the ""Midnight Channel""—a mysterious TV channel that only appears at midnight on rainy days while the viewer is alone. Curious about the claim, Yuu decides to tune in that night, only to see the next victim of the serial murders appear on the screen instead. He also finds himself being drawn into the TV, which intrigues his newfound friends enough to want to investigate. Yuu ends up falling into the world within the TV, which is blanketed by a thick fog and swarming with hostile creatures known as ""Shadows."" Realizing that this world is somehow connected to the murders, the Investigation Team forms with the goal of uncovering the mystery behind the incidents. [Written by MAL Rewrite]","['Sequel (Special) Persona 4 the Animation: No One is Alone', 'Adaptation (Manga) Persona 4']",Persona 4 the Animation,"['School', 'Super Power']",,,
11,Working!! 2,ワーキング’！！,Wagnaria!!2,,,,['TV'],13,Finished Airing,"Oct 1, 2011 to Dec 24, 2011",['Fall 2011'],Unknown,"['Aniplex', 'Yomiuri Telecasting', 'Rakuonsha']","['NIS America, Inc.']",['A-1 Pictures'],['4-koma manga'],,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.81,#1011,#959,"270,367",463,154788,"The exciting antics of Wagnaria return as more ridiculous incidents occur, friendships are deepened, and new feelings are discovered. In addition to Souta Takanashi and his wacky co-workers, more eccentric personalities join the family restaurant: Haruna, Hyougo Otoo's missing wife, who has a habit of getting hopelessly lost through the sewer system; Kirio Yamada, Aoi's older brother, who is able to withstand Mahiru Inami's deadly punches; and twins Youhei and Mitsuki Mashiba, Kyouko Shirafuji's juniors who do not get along. Absurdity, romance, and hilarity are all on the menu for the Wagnaria family restaurant! [Written by MAL Rewrite]","['Prequel (TV) Working!!', 'Sequel (TV) Working!!!', 'Adaptation (Manga) Working!!', '']",Working'!!,"['Love Status Quo', 'Workplace']",,['Comedy'],
12,"Shakugan no Shana Third, Shakugan no Shana 3",灼眼のシャナIII –Final–,Shakugan no Shana: Season III,,,,['TV'],24,Finished Airing,"Oct 8, 2011 to Mar 24, 2012",['Fall 2011'],Saturdays at 01:30 (JST),"['Geneon Universal Entertainment', 'Warner Bros. Japan', 'ASCII Media Works', 'Showgate']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Drama', 'Fantasy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1966,#1070,"242,254","1,145",119815,"Yuji disappeared the fateful night he was supposed to choose between a life combating evil by Shana's side or as a normal teenager. He returns from near-death to lead the Crimson Denizens in a dubious plot to bring peace to the universe, but Shana isn't fooled. In an explosive reunion, the fiery warrior faces her unlikeliest of foes while Flame Hazes from across the world join forces to ignite a war that will determine the fate of all supernatural kind. (Source: FUNimation)","['Prequel (OVA) Shakugan no Shana S', 'Adaptation (Manga) Shakugan no Shana', 'Adaptation (Light Novel) Shakugan no Shana', '']",Shakugan no Shana III (Final),"['School', 'Urban Fantasy']",,,
13,Kimi to Boku.,君と僕。,You and Me.,,,,['TV'],13,Finished Airing,"Oct 4, 2011 to Dec 27, 2011",['Fall 2011'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'Aniplex', 'Square Enix', 'Nihon Ad Systems', 'Movic']","None found,",['J.C.Staff'],['Manga'],,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.65,#1421,#1340,"190,935","1,394",63516,"Four childhood friends are in their second year at Homare High School: kind and cheerful Shun Matsuoka, hot-tempered Kaname Tsukahara, and the Asaba twins, gentle Yuuta and lazy Yuuki. When a dynamic transfer student, Chizuru Tachibana, joins their group, the friends get caught up in his creative yet troublesome ideas that end up bringing excitement to their everyday lives. With new encounters and experiences, they begin to learn more about each other and themselves. [Written by MAL Rewrite]","['Sequel (TV) Kimi to Boku. 2', 'Adaptation (Manga) Kimi to Boku.']",Kimi to Boku.,"['Iyashikei', 'School']",,['Slice of Life'],
14,Kyoukai Senjou no Horizon,境界線上のホライゾン,Horizon in the Middle of Nowhere,,,,['TV'],13,Finished Airing,"Oct 2, 2011 to Dec 25, 2011",['Fall 2011'],Sundays at 02:58 (JST),"['Bandai Visual', 'Lantis', 'ASCII Media Works', 'Sony PCL']",['Sentai Filmworks'],['Sunrise'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.00,#4377,#1377,"185,286",814,66842,"In the far future, humans abandon a devastated Earth and traveled to outer space. However, due to unknown phenomenon that prevents them from traveling into space, humanity returns to Earth only to find it inhospitable except for Japan. To accommodate the entire human population, pocket dimensions are created around Japan to house in the populace. In order to find a way to return to outer space, the humans began reenacting human history according to the Holy book Testament. But in the year 1413 of the Testament Era, the nations of the pocket dimensions invade and conquer Japan, dividing the territory into feudal fiefdoms and forcing the original inhabitants of Japan to leave. It is now the year 1648 of the Testament Era, the refugees of Japan now live in the city ship Musashi, where it constantly travels around Japan while being watched by the Testament Union, the authority that runs the re-enactment of history. However, rumors of an apocalypse and war begin to spread when the Testament stops revealing what happens next after 1648. Taking advantage of this situation, Toori Aoi, head of Musashi Ariadust Academy's Supreme Federation and President of the student council, leads his fellow classmates to use this opportunity to regain their homeland. (Source: Wikipedia)","['Prequel (Special) Owari no Chronicle', 'Sequel (TV) Kyoukaisenjou no Horizon II', 'Adaptation (Manga) Kyoukaisenjou no Horizon', 'Adaptation (Light Novel) Kyoukaisenjou no Horizon']",Kyoukaisenjou no Horizon,,,,
15,"C3, C Cube, C^3",シーキューブ,C³ - CubexCursedxCurious,,,,['TV'],12,Finished Airing,"Oct 1, 2011 to Dec 17, 2011",['Fall 2011'],Unknown,['Starchild Records'],['Funimation'],['SILVER LINK.'],['Light novel'],"['Action', 'Comedy', 'Supernatural', 'Ecchi']",,24 min. per ep.,R - 17+ (violence & profanity),6.57,#6625,#1404,"180,478",267,83585,"From the light novel series written by Minase Hazuki, comes a story of love, action, and comedy. Yachi Haruaki is a high school boy who is naturally resistant to curses. After his father sends him a mysterious black cube, Haruaki awakes to find a nude girl named Fear standing in his kitchen. She’s the human form of the cursed black cube – and an instrument of torture! Utilizing her special abilities, Fear fights alongside Haruaki to defeat other cursed instruments and their owners. (Source: FUNimation)","['Adaptation (Manga) C³', 'Adaptation (Light Novel) C³']",C³,"['Harem', 'School']",,,
16,"Sekai-ichi Hatsukoi 2, Sekai'ichi Hatsukoi 2",世界一初恋 2,Sekai Ichi Hatsukoi - World's Greatest First Love 2,,,,['TV'],12,Finished Airing,"Oct 8, 2011 to Dec 24, 2011",['Fall 2011'],Saturdays at 01:05 (JST),"['Lantis', 'Kadokawa Shoten', 'AT-X', 'KlockWorx']",['Funimation'],['Studio Deen'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.81,#1007,#1564,"160,905",726,92106,"First loves are messy. While settling in as a shoujo manga editor at the famous Marukawa Publishing House, Ritsu Onodera is quite troubled. Working under the stern and superb Masamune Takano is hard enough as it is. However, Masamune is not only Ritsu's first love from middle school but he also suddenly declares that he will make Ritsu fall for him again. Unknown to them, another editor in the department, Yoshiyuki Katori, is in a relationship with the popular manga artist Chiaki Yoshino. The carefree Chiaki fails to notice, however, that his high school friend—Yuu Yanase—thinks of him as more than a friend. The stoic but caring Hatori will not surrender his love so easily. Falling in love for the first time when you are 30 is certainly troublesome. Shouta Kisa, yet another editor, is going out with 21-year-old Kou Yukina, an art student. Despite Yukina's assurances, Kisa cannot help but doubt whether someone like himself is truly worthy of his younger, ""sparkling"" boyfriend. [Written by MAL Rewrite]","['Prequel (TV) Sekaiichi Hatsukoi', 'Sequel (Movie) Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai', 'Adaptation (Manga) Sekaiichi Hatsukoi: Onodera Ritsu no Baai', 'Adaptation (Manga) Junjou Mistake']",Sekaiichi Hatsukoi 2,"['Adult Cast', 'Otaku Culture', 'Workplace']",,['Boys Love'],
17,"Mashiro-iro Symphony: Love Is Pure White, Mashiroiro Symphony: The Color of Lovers, Pure White Symphony",ましろ色シンフォニー -The color of lovers-,Mashiroiro Symphony: The Color of Lovers,,Mashiroiro Symphony,,['TV'],12,Finished Airing,"Oct 5, 2011 to Dec 21, 2011",['Fall 2011'],Wednesdays at 02:00 (JST),"['Frontier Works', 'Lantis', 'Media Factory']",['Sentai Filmworks'],['Manglobe'],Visual novel,"['Drama', 'Romance']",,24 min. per ep.,R+ - Mild Nudity,7.01,#4365,#1576,"159,497",499,76656,"When boys suddenly get into places where they've never been allowed before, some girls tend to get upset. So when the decision is made to merge the elite Yuihime Girls' Private Academy and the coeducational Kagamidai Private Academy, everyone wants to take extra care in avoiding trouble while bringing the two Privates together. Therefore, rather than just bringing the Kagamidai boys into the Yuihime girls' school all at once, a plan is concocted in which a group of test males will be inserted into the Girls' Private Academy first. Thus, poor young Shingo finds himself being thrown as a sacrificial lamb to the lionesses of Yuihime, who aren't exactly waiting for him with open arms. Will Shingo manage to survive the estrogen soaked death pit that is Yuihime? Can the girls learn to be more receptive to the boys? And just how long until something involving panties will cause emotions to flare, sparks to fly and the battle of the sexes to explode? (Source: Sentai Filmworks, edited)","['Adaptation (Manga) Mashiro-iro Symphony', '']",Mashiro-iro Symphony: The Color of Lovers,"['Harem', 'School']",,,
18,,UN-GO アン ゴ,Un-Go,,,,['TV'],11,Finished Airing,"Oct 14, 2011 to Dec 23, 2011",['Fall 2011'],Fridays at 00:45 (JST),"['Dentsu', 'Fuji TV', 'TOHO', 'Sony Music Entertainment', 'Fujipacific Music']",['Sentai Filmworks'],['Bones'],Novel,"['Mystery', 'Sci-Fi', 'Supernatural']",,24 min. per ep.,R - 17+ (violence & profanity),7.32,#2757,#1602,"155,773",633,59661,"In a dystopian future, detective Shinjuurou Yuuki—known by some as the ""Defeated Detective""—solves mysteries throughout Tokyo. Aided by his odd associate Inga, Shinjuurou's insight and ingenuity in cracking cases, particularly homicides, lead to numerous mysteries solved and culprits caught. However, his partner seems to have some other, more sinister intentions for the people they catch, and the truth of the assistant's identity and motivation is shrouded in secrecy. [Written by MAL Rewrite]","['Prequel (Movie) Un-Go: Inga-ron', 'Adaptation (Manga) Un-Go: Haisen Tantei Yuuki Shinjuurou']",Un-Go,"['Adult Cast', 'Detective']",,,
19,Phi Φ Brain: Kami no Puzzle,ファイ・ブレイン 神のパズル,Phi-Brain ~ Puzzle of God,Phi-Brain: Puzzle of God,Phi Brain: Puzzle of God,Phi-Brain: Puzzle of God,['TV'],25,Finished Airing,"Oct 2, 2011 to Apr 1, 2012",['Fall 2011'],Sundays at 17:30 (JST),['NHK'],['Sentai Filmworks'],['Sunrise'],Original,"['Action', 'Mystery', 'Suspense']",,24 min. per ep.,PG-13 - Teens 13 or older,7.16,#3601,#2071,"111,125",233,45479,"Kaito Daimon would be a completely average high school student except for one thing: he's a ""demon"" at solving puzzles. Kaito is so brilliant, in fact, that when he's asked to take some 'special' tests of his unique ability, he immediately suspects that the test itself is a test. Kaito suddenly finds himself caught up in a lethal Philosopher's Puzzle made by the sinister group POG, a murderous maze of trap upon trap, where failing to solve the secret correctly will result in death! Fortunately, Kaito's skills prove up to the first test, both for himself and his childhood friend Nanoha, who is also caught up in the deadly scheme. But now that he has been designated as a Solver, he is pulled into a new life where he must travel the world with other Solvers, attempting to solve the latest deadly riddles left by POG. There's a new conundrum around every corner and each deception could lead to death, but once a riddle has been posed, you can count on Kaito to unfold, unravel and unlock it! (Source: Sentai Filmworks)","['Sequel (TV) Phi Brain: Kami no Puzzle - Orpheus Order-hen', 'Adaptation (Manga) Phi Brain: Saigo no Puzzle', 'Adaptation (Manga) Phi Brain: Kami no Puzzle', '']",Phi Brain: Kami no Puzzle,"['High Stakes Game', 'Strategy Game']",,,
