,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,Genre,Demographics
47,寄生獣 セイの格率,Parasyte: The Maxim,Parasyte -the maxim-,Parasyte -the maxim-,Parasite -la maxime-,['TV'],24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",['Fall 2014'],Thursdays at 01:29 (JST),"['VAP', 'Nippon Television Network', 'Forecast Communications']",['Sentai Filmworks'],['Madhouse'],['Manga'],"['Action', 'Horror', 'Sci-Fi', 'Suspense']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),8.32,#256,#43,"1,946,854","35,687",1200021,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey. Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species. [Written by MAL Rewrite]","['Adaptation (Manga) Kiseijuu', '']",Kiseijuu: Sei no Kakuritsu,"['Gore', 'Psychological']","Parasite, Parasitic Beasts, Parasyte",,
48,FAIRY TAIL（フェアリーテイル）,Fairy Tail Series 2,Fairy Tail Zweite Staffel,Fairy Tail Temporada 2,Fairy Tail Deuxième Saison,['TV'],102,Finished Airing,"Apr 5, 2014 to Mar 26, 2016",['Spring 2014'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu']",['Funimation'],"['A-1 Pictures', 'Bridge']",['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.65,#1416,#161,"1,035,515","12,467",578163,"The Grand Magic Games reaches its climax following Natsu Dragneel and Gajeel Redfox's stunning victory over Sting Eucliffe and Rogue Cheney of the Sabertooth guild. This success pushes the Fairy Tail guild closer to being crowned the overall champions, but obtaining victory is not the only challenge they face. A mystery still surrounds a hooded stranger and the ominous Eclipse Gate, leaving more questions than answers. More crazy adventures are on the horizon for Fairy Tail as their destructive antics and joyful rowdiness continue unabated. Their greatest trial is quickly approaching, but united as a family, the guild will always be ready to face any threat that comes their way. [Written by MAL Rewrite]","['Prequel (TV) Fairy Tail', 'Sequel (TV) Fairy Tail: Final Series', 'Adaptation (Manga) Fairy Tail', 'Adaptation (Manga) Fairy Tail Zerø']",Fairy Tail (2014),,Fairy Tail Season 2,,
49,暁のヨナ,Yona of the Dawn,Akatsuki No Yona: Prinzessin der Morgendämmerung,Akatsuka no Yona: Yona of the Dawn,Yona: Princesse de l'Aube,['TV'],24,Finished Airing,"Oct 7, 2014 to Mar 24, 2015",['Fall 2014'],Tuesdays at 23:00 (JST),"['VAP', 'Hakusensha', 'AT-X', 'Delfi Sound', 'Marvelous AQL', 'Tokyo MX', 'Age Global Networks', 'Docomo Anime Store', 'Top-Insight International']",['Funimation'],['Pierrot'],['Manga'],"['Adventure', 'Fantasy', 'Romance']",,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,8.03,#620,#210,"891,091","16,957",432972,"The kingdom of Kouka is blessed with a beautiful princess whose childlike innocence charms all who come across her. Named Yona, she has grown up sheltered in the royal palace, shielded from any danger that may befall her. However, all good things must come to an end. Yona's perfect world comes crashing down when a heinous act of treason threatens to erase all that she holds dear, including her birthright as the princess of Kouka. Left with no one to trust but her childhood friend and loyal bodyguard Son Hak, she is forced to flee the palace. Faced with the perils of surviving in the wild with a target on her back, Yona realizes that her kingdom is no longer the safe haven it once was. Free from the shackles of naivety, Yona vows to do everything in her power to become strong enough to crush her enemies. With Hak by her side, she must piece together the remains of an ancient legend that might be the key to reclaiming her kingdom from those who conspired to steal it from her. [Written by MAL Rewrite]","['Sequel (OVA) Akatsuki no Yona OVA', 'Adaptation (Manga) Akatsuki no Yona']",Akatsuki no Yona,,Yona: The girl standing in the blush of dawn,,
50,ログ・ホライズン 第2シリーズ,Log Horizon 2,Log Horizon 2,Log Horizon 2,Log Horizon 2,['TV'],25,Finished Airing,"Oct 4, 2014 to Mar 28, 2015",['Fall 2014'],Saturdays at 17:30 (JST),['NHK'],"['Funimation', 'Sentai Filmworks']",['Studio Deen'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.56,#1726,#364,"630,997","1,406",349607,"After being trapped in the world of Elder Tale for six months, Shiroe and the other Adventurers have begun to get the hang of things in their new environment. The Adventurers are starting to gain the trust of the People of the Land, and Akiba has flourished thanks to the law and order established by Shiroe's Round Table Alliance, regaining its everyday liveliness. Despite this success, however, the Alliance faces a new crisis: they are running out of funds to govern Akiba, and spies from the Minami district have infiltrated the city. As formidable forces rise in other districts, there is also a need to discover more about the vast new world they are trapped in—leading Shiroe to decide that the time has come to venture outside the city. Accompanied by his friend Naotsugu and the Sage of Mirror Lake Regan, the calculative Shiroe makes his move, hoping to unravel new possibilities and eventually find a way home. [Written by MAL Rewrite]","['Prequel (TV) Log Horizon', 'Sequel (TV) Log Horizon: Entaku Houkai', 'Adaptation (Manga) Log Horizon', 'Adaptation (Manga) Log Horizon: Kanami, Go! East!']",Log Horizon 2nd Season,"['Adult Cast', 'Video Game']","Log Horizon Second Season, Log Horizon Dai 2 Series",,
51,SHIROBAKO,Shirobako,,,,['TV'],24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",['Fall 2014'],Thursdays at 23:30 (JST),"['Sotsu', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Infinite', 'Imagine']",['Sentai Filmworks'],['P.A. Works'],Original,"['Award Winning', 'Comedy', 'Drama']",,,24 min. per ep.,PG-13 - Teens 13 or older,8.27,#309,#528,"457,141","6,250",146113,"It all started in Kaminoyama High School, when five best friends—Aoi Miyamori, Ema Yasuhara, Midori Imai, Shizuka Sakaki, and Misa Toudou—discovered their collective love for all things anime and formed the animation club. After making their first amateur anime together and showcasing it at the culture festival, the group vows to pursue careers in the industry, aiming to one day work together and create their own mainstream show. Two and a half years later, Aoi and Ema have managed to land jobs at the illustrious Musashino Animation production company. The others, however, are finding it difficult to get their dream jobs. Shizuka is feeling the weight of not being recognized as a capable voice actor, Misa has a secure yet unsatisfying career designing 3D models for a car company, and Midori is a university student intent on pursuing her dream as a story writer. These five girls will learn that the path to success is one with many diversions, but dreams can still be achieved through perseverance and a touch of eccentric creativity. [Written by MAL Rewrite]","['Sequel (Movie) Shirobako Movie', 'Adaptation (Manga) Shirobako: Kaminoyama Koukou Animation Doukoukai', 'Adaptation (Light Novel) Shirobako: Introduction', '']",Shirobako,"['Adult Cast', 'Otaku Culture', 'Workplace']",White Box,,
52,ワールドトリガー,World Trigger,,,,['TV'],73,Finished Airing,"Oct 5, 2014 to Apr 3, 2016",['Fall 2014'],Sundays at 06:30 (JST),['TV Asahi'],['Sentai Filmworks'],['Toei Animation'],['Manga'],"['Action', 'Sci-Fi']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.58,#1641,#547,"445,110","2,987",153386,"When a gate to another world suddenly opens on Earth, Mikado City is invaded by strange creatures known as ""Neighbors,"" malicious beings impervious to traditional weaponry. In response to their arrival, an organization called the Border Defense Agency has been established to combat the Neighbor menace through special weapons called ""Triggers."" Even though several years have passed after the gate first opened, Neighbors are still a threat and members of Border remain on guard to ensure the safety of the planet. Despite this delicate situation, members-in-training, such as Osamu Mikumo, are not permitted to use their Triggers outside of headquarters. But when the mysterious new student in his class is dragged into a forbidden area by bullies, they are attacked by Neighbors, and Osamu has no choice but to do what he believes is right. Much to his surprise, however, the transfer student Yuuma Kuga makes short work of the aliens, revealing that he is a humanoid Neighbor in disguise. [Written by MAL Rewrite]","['Sequel (TV) World Trigger 2nd Season', 'Adaptation (Manga) World Trigger']",World Trigger,,,,
53,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#433,#704,"360,648","15,327",164259,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,Detective Conan,,
54,ダイヤのA[エース],Ace of Diamond,Ace of Diamond,Ace of the Diamond,Ace of Diamond,['TV'],75,Finished Airing,"Oct 6, 2013 to Mar 29, 2015",['Fall 2013'],Sundays at 08:30 (JST),"['TV Tokyo', 'Sotsu', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production']","None found,","['Production I.G', 'Madhouse']",['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.11,#515,#1024,"254,596","4,765",119482,"With a stray pitch that completely missed the batter, Eijun Sawamura loses his final middle school baseball game. Frustrated by this defeat, Eijun and his teammates vow to reach the national tournament once they are in high school. But everything changes when a scout unexpectedly invites him to Tokyo's prestigious Seidou High School after seeing the potential in his unusual pitching style. Encouraged by his teammates, Eijun accepts the offer, ready to improve his skills and play at a much more competitive level of baseball. However, now surrounded by a large number of skilled players, Eijun struggles to find his place on the team. He declares that he will one day become the team's ace, but that's only if fellow first year Satoru Furuya doesn't take the title first, with his breakneck fastballs that earn him a coveted spot on the starting roster. With the addition of these talented new players to an already powerful lineup, the Seidou baseball team aims to become the best in Japan, facing off against a number of formidable foes that stand in their way. [Written by MAL Rewrite]","['Sequel (TV) Diamond no Ace: Second Season', 'Adaptation (Manga) Diamond no Ace']",Diamond no Ace,"['School', 'Team Sports']","Daiya no Ace, Ace of the Diamond, Dia no A",['Sports'],
55,クロスアンジュ 天使と竜の輪舞〈ロンド〉,Cross Ange: Rondo of Angel and Dragon,CROSS ANGE Rondo of Angel and Dragon,Cross Ange Tenshi to Ryuu no Rondo,CROSS ANGE Rondo of Angel and Dragon,['TV'],25,Finished Airing,"Oct 5, 2014 to Mar 29, 2015",['Fall 2014'],Sundays at 01:30 (JST),"['Starchild Records', 'Bandai Namco Live Creative', 'Bandai Namco Games', 'Docomo Anime Store', 'Fields', 'Bandai Channel']",['Sentai Filmworks'],['Sunrise'],Original,"['Action', 'Fantasy', 'Sci-Fi']",,,23 min. per ep.,R - 17+ (violence & profanity),7.38,#2445,#1200,"215,997","1,766",87911,"Angelise Ikaruga Misurugi is the first princess of the noble Misurugi Empire. The kingdom has seen great power and prosperity due to the advancement of the revolutionary technology known as ""Mana,"" an abstract bending of light that has reduced the world's problems of war and pollution to a timeless peace. However, not all are blessed with the ability to wield Mana. Those who cannot are labeled ""Norma,"" outcasts of society who are considered a threat to civilization and live under constant persecution, and Angelise herself is one of many who want the Norma exterminated. But as Angelise's sixteenth birthday commences, it is discovered in a shocking revelation that she is actually a Norma. Chaos ensues, the public is outraged, and the once adored princess is exiled to Arzenal: a remote military base where Normas are forced into conscription. Now, the former royal must adapt to a harsh and vastly different lifestyle; piloting mechanical robots known as ""Paramail"" to fend off large, devastating beasts referred to as DRAGONs. However, a sinister truth about these savage creatures threatens to change everything. [Written by MAL Rewrite]","['Adaptation (Manga) Cross Ange: Tenshi to Ryuu no Rondo', '']",Cross Ange: Tenshi to Ryuu no Rondo,"['Gore', 'Mecha', 'Military']",,,
56,ドラゴンボール改,Dragon Ball Z Kai: The Final Chapters,,,Dragon Ball Z Kai: The Final Chapters,['TV'],61,Finished Airing,"Apr 6, 2014 to Jun 28, 2015",['Spring 2014'],Sundays at 09:00 (JST),['Fuji TV'],['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Martial Arts'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1261,#1263,"203,330",862,117037,Remastered version of the Majin Buu saga that adheres more to the manga's story.,"['Prequel (TV Special) Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni', 'Adaptation (Manga) Dragon Ball']",Dragon Ball Kai (2014),,"Dragonball Kai, DBK, DB Kai, DBZ Kai",,
57,ポケットモンスターXY,Pokémon the Series: XY,Pokémon Staffel XY,Pokémon Temporada XY,Pokémon Saision XY,['TV'],93,Finished Airing,"Oct 17, 2013 to Oct 22, 2015",['Fall 2013'],Thursdays at 19:00 (JST),['TV Tokyo'],['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,PG - Children,7.44,#2200,#1396,"182,349",637,112863,"Satoshi and Pikachu have arrived in Lumiose City of the illustrious Kalos region to capture more Pokémon and continue their journey toward becoming the very best. Meanwhile, a genius inventor named Citron and his little sister Eureka wander the city when they run into Satoshi who quickly challenges them to a battle. However, they are soon caught up in a dangerous incident when Team Rocket, following Satoshi into Kalos, cause a Gaburias to rampage through the city. Far away in the quiet Vaniville Town, a young girl named Serena slogs through daily Sihorn riding practice at the behest of her mother, a professional Sihorn racer. After practice, she sees the events unfolding in Miare City on television where she recognizes a boy from her childhood. Having left a significant impact on her life, the sight of him stirs in her a desire to meet him again; and so, Serena sets off to Miare City, determined to find the boy from her past. Pokemon XY follows the group as they travel throughout Kalos in pursuit of their ambitions—Satoshi challenging Pokémon gyms, Citron learning from Satoshi, and Serena searching for what exactly her dream is. Along the way, they meet new friends, face new rivals, and continue to thwart Team Rocket's schemes, all the while discovering a little about the mysteries of mega evolution. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Best Wishes! Season 2: Decolora Adventure', 'Prequel (TV Special) Pokemon XY SP: Road to Kalos', 'Sequel (TV) Pokemon XY&Z', '']",Pokemon XY,,"Pocket Monsters XY, Pokémon XY",,
58,牙狼〈GARO〉-炎の刻印-,GARO: THE ANIMATION,Garo: The Animation,Garo: The Animation,Garo: The Animation,['TV'],24,Finished Airing,"Oct 4, 2014 to Mar 28, 2015",['Fall 2014'],Saturdays at 01:23 (JST),['Tohokushinsha Film Corporation'],['Funimation'],['MAPPA'],Original,"['Action', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.34,#2629,#1663,"148,064",446,52296,"In the name of the king, the Valiante Kingdom launched hunts to exterminate users of witchcraft. Seventeen years later, their pursuit is still growing in both size and brutality. Unbeknownst to the citizens, the targets of these witch hunts are the secret protectors of humanity. Known as the Makai Knights and Alchemists, they have a strong will to protect people from Horrors, demons who possess souls plagued by sadness and pain. One such Makai Knight is 17-year-old Leon Luis who inherits the legendary armor of the Golden Knight Garo from his mother. Though he possesses great power, he struggles to overcome the hatred he bears from his mother's death at the hands of the kingdom. His father German, known as Zoro the Shadow Cutting Knight, is still training Leon when he is called to investigate the upsurge of Horrors in the kingdom's capital. Although German knows Leon's will is wavering, he decides to bring Leon along to continue his training. As German and Leon head to the capital, the king's amiable son Alfonso San Valiante struggles to find a solution to the growing Horror threat. But before he can do so, he is double-crossed and banished from his own kingdom. To return home, Alfonso sets out to find the help and strength he needs to reclaim the throne. During his search, he comes across Leon, whose interactions with the prince will forever change both of their fates. [Written by MAL Rewrite]","['Sequel (Special) Garo: Honoo no Kokuin - Home', '']",Garo: Honoo no Kokuin,,Garo Project,,
59,弱虫ペダル GRANDE ROAD,,,Yowamushi Pedal Grande Road,,['TV'],24,Finished Airing,"Oct 7, 2014 to Mar 31, 2015",['Fall 2014'],Tuesdays at 01:35 (JST),"['TV Tokyo', 'MediaNet', 'TOHO animation', 'Akita Shoten']",['Discotek Media'],['TMS Entertainment'],['Manga'],,['Racing'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.05,#606,#1692,"144,631",499,81362,Second season of the Yowamushi Pedal series.,"['Prequel (TV) Yowamushi Pedal', 'Sequel (Movie) Yowamushi Pedal Movie', 'Adaptation (Manga) Yowamushi Pedal', '']",Yowamushi Pedal: Grande Road,,"Yowamushi Pedal 2nd Season, Yowapeda 2nd Season",['Sports'],
60,まじっく快斗1412,,,,,['TV'],24,Finished Airing,"Oct 4, 2014 to Mar 28, 2015",['Fall 2014'],Saturdays at 17:30 (JST),"['Aniplex', 'Yomiuri Telecasting', 'DAX Production']","None found,",['A-1 Pictures'],['Manga'],"['Adventure', 'Comedy', 'Romance']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.86,#906,#1830,"129,678","1,124",59471,"Eight years after the mysterious death of his father, Kaito Kuroba, a slightly mischievous but otherwise ordinary teenager, discovers a shocking secret: the Phantom Thief Kaito Kid—also known as ""The Magician Under the Moonlight""—was none other than his own father. The former thief was murdered by a criminal organization seeking a mythical stone called the Pandora Gem, said to shed a tear with the passing of the Valley Comet that comes every ten thousand years. When the tear is consumed, the gem supposedly grants immortality. Vowing to bring those responsible for his father's death to justice, Kaito dons the Phantom Thief's disguise, stealing priceless jewels night after night to find the Pandora Gem before his enemies can use the power for themselves. [Written by MAL Rewrite]","['Adaptation (Manga) Magic Kaito', '']",Magic Kaito 1412,,Magic Kaito 2014,,
61,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],21 min.,G - All Ages,7.80,#1028,#2400,"88,019","1,330",42174,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,,
62,遊☆戯☆王　アーク・ファイブ ARC-V,Yu-Gi-Oh! Arc-V,Yu-Gi-Oh! Arc-V,Yu-Gi-Oh! Arc-V,Yu-Gi-Oh! Arc-V,['TV'],148,Finished Airing,"Apr 6, 2014 to Mar 26, 2017",['Spring 2014'],Sundays at 17:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Marvelous AQL', 'Konami Cross Media NY']","None found,",['Gallop'],['Manga'],"['Action', 'Fantasy']",['Strategy Game'],['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.72,#5806,#2813,"68,026",502,35675,"Action Duels, which allow duelists to soar and swing alongside their Duel Monsters, are taking the world by storm. Due to an evolutionary breakthrough, the ""Solid Vision"" system is now able to provide Duel Monsters with mass. Yuuya Sakaki is Yuusho Sakaki's son, the latter being the founder of You Show Duel School in Miami City. Yuusho insists that duels are not a tool of war, but rather are to bring smiles to people and thus introduced the concept of Entertainment Dueling. However, at the height of his fame, Yuusho disappears and fails to attend his duel with Strong Ishijima, the Action Duel champion. Although scarred by this sudden leave, Yuuya vows to become an Entertainment Duelist like his father. Several years later, in the midst of a battle with Strong Ishijima, Yuuya's desperation to win brings forth a miracle. His pendant begins glowing, turning his cards into Pendulum Cards, which enables him to perform a Pendulum Summon—a summoning method unknown to the world and himself—gaining him fame overnight. As a result, Reiji Akaba, CEO of Leo Corporation and founder of the elite Leo Duel School, starts producing new Pendulum Cards to incorporate Pendulum Summoning into the system. Thus, the mysteries that surround Pendulum Summoning and Yuuya's father start to unravel, and Yuuya learns bit by bit what it takes to become an Entertainment Duelist. [Written by MAL Rewrite]","['Adaptation (One-shot) Yu☆Gi☆Oh! Arc-V', 'Adaptation (Manga) Yu☆Gi☆Oh! Arc-V']",Yu☆Gi☆Oh! Arc-V,,"Yugioh, Yuu Gi Ou! Arc-V, Yu-Gi-Oh! Arc Five, Yu-Gi-Oh! Arc-V",,
63,ガンダムビルドファイターズトライ,Gundam Build Fighters Try,,,,['TV'],25,Finished Airing,"Oct 8, 2014 to Apr 1, 2015",['Fall 2014'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu']",['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Sci-Fi']",['Mecha'],,25 min. per ep.,G - All Ages,7.21,#3337,#3444,"46,690",114,26285,"The story of Gundam Build Fighters Try is set 7 years after the end of the 1st series. Now Seiho Academy's Gunpla Battle Club has only one member, Hoshino Fumina, who is a third grade student in junior high. As the president of the club, she needs two more members to participate in the upcoming All-Japan Gunpla Battle Championships. One day she encounters a transfer student named Kamiki Sekai, who has traveled around for Kenpo training with his master. Then joining by a young Gunpla builder Kousaka Yuuma, their challenge to the Gunpla Battle begins.... (Source: Crunchyroll)","['Prequel (ONA) Gundam Build Fighters: GM no Gyakushuu', 'Sequel (TV Special) Gundam Build Fighters Try: Island Wars']",Gundam Build Fighters Try,,,,
64,アイカツ！アイドルカツドウ！,,,,,['TV'],178,Finished Airing,"Oct 8, 2012 to Mar 31, 2016",['Fall 2012'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Bandai Visual', 'Dentsu']","None found,","['Sunrise', 'Bandai Namco Pictures']",Original,,,,24 min. per ep.,PG - Children,7.47,#2054,#3497,"45,709",918,15211,"An idol's brilliance illuminates the dreams of humanity. Starlight Academy, a holy ground for celebrities in training, seeks to realize this belief. Behind its rigorous entrance requirements lie not only the top young stars in the entertainment business, but some of the best memories these students will ever have. Or so Aoi Kiriya believes. Alongside her best friend Ichigo, Aoi decides to apply for the prestigious private school in hopes of living up to the praise of the biggest idol in the world: Mizuki Kanzaki. As they journey through the numerous laughs, friendships, and heartbreaks that await them, can the two girls light up the lives of others as Mizuki has done for them? Whether it be chopping down Christmas trees, traversing obstacle courses, or even rock climbing, there's always a playful new adventure to be found in the world of Aikatsu!. [Written by MAL Rewrite]","['Sequel (Movie) Aikatsu!: Nerawareta Mahou no Aikatsu! Card', '']",Aikatsu!,"['Idols (Female)', 'Music', 'School']","Aikatsu! Idol Katsudou! Idol ga Tsudou!, Aidoru ga Tsudou!, Aikatsu! 2, Idol ga Tsudou! 2",['Slice of Life'],
65,妖怪ウォッチ,Yo-kai Watch,Yo-Kai Watch,Yo-Kai Watch,Yo-Kai Watch,['TV'],214,Finished Airing,"Jan 8, 2014 to Mar 30, 2018",['Winter 2014'],Fridays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['Dentsu Entertainment USA'],['OLM'],Game,"['Comedy', 'Supernatural']",['Mythology'],['Kids'],23 min. per ep.,G - All Ages,6.68,#6014,#3993,"35,140",270,16270,"Primary school student Keita Amano's curiosity is as innocent as any other child's his age. But when one day he decides to venture deeper into the forest, he encounters a small and mysterious capsule. Out from its depths comes Whisper. After 190 years of imprisonment, this ghost-like creature is glad that someone has been kind enough to set him free. He decides to reward Keita by becoming his guardian against supernatural forces. Whisper is one of many Youkai that exist in the world, and provides Keita with a special Youkai Watch, which enables him to see and interact with all the other Youkai. Youkai Watch follows Keita, Whisper and the cat spirit Jibanyan as they encounter Youkai, befriend them, fix all the trouble that they so often cause, and, with the help of the watch, use the powers of previously encountered Youkai to aid them. Young Keita may have been just an ordinary primary school student when he first encountered the Youkai, but the many adventures that follow his discovery provide him with invaluable experiences and precious life lessons that help him grow.","['Sequel (TV) Youkai Watch!', 'Adaptation (Manga) Youkai Watch']",Youkai Watch,,Yokai Watch,,
66,ガンダム Gのレコンギスタ,Gundam Reconguista in G,Gundam Reconguista in G,Gundam Reconguista in G,Gundam Reconguista in G,['TV'],26,Finished Airing,"Oct 3, 2014 to Mar 27, 2015",['Fall 2014'],Fridays at 01:44 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation']",['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,5.80,#10969,#4097,"33,541",66,13490,"In the year Regild Century 1014, an entire millennium has passed since the end of the fabled Universal Century, where legends like Amuro Ray and Char Aznable ruled the battlefield as ace mobile suit pilots. The Earth's surface that was once hotly contested is now mostly abandoned, with humanity preferring to live in space colonies and the surface of the moon. Capital Guard Academy student Bellri Zenam lives a peaceful academic life, but his normal days are brought to an end with the capture of pirate pilot Aida Surugan and her mobile suit G-Self. Bellri feels a strong mental connection with the G-Self and discovers that he is able to pilot it. He soon finds himself in contention with the ""Capital Guard,"" a radical faction that follows its own secret agenda despite the wishes of the Amerian Army, who still hold power on Earth. Joining the crew of the Amerian spaceship Megafauna, Bellri and Aida must pilot the G-Self to victory against the Capital Guard and its leaders, the charismatic Colonel Kunpa Rushita and the enigmatic Captain Mask. [Written by MAL Rewrite]","['Adaptation (Manga) Gundam: G no Reconguista', '']",Gundam: G no Reconguista,"['Mecha', 'Space']",G-Reco,,
67,山賊の娘ローニャ,Ronja the Robber's Daughter,,Ronja: La hija del Bandolero,"Ronja, Fille de Brigand",['TV'],26,Finished Airing,"Oct 11, 2014 to Mar 28, 2015",['Fall 2014'],Unknown,"['NHK', 'Dwango']",['GKIDS'],"['Studio Ghibli', 'Polygon Pictures']",Book,,,,25 min. per ep.,PG - Children,7.06,#4099,#4177,"32,026",83,7428,"The story is about a girl named Ronja who is the daughter of a chief from a tribe of bandits, she lives in a huge castle inside the forest with the bandits. The story follows Ronja as she encounters mystical creatures, making friends with another young child such as herself and experiencing what it is like to live in the forest.",[],Sanzoku no Musume Ronja,,"Sanzoku no Musume Ronia, Ronja Rövardotter",['Adventure'],
68,プリパラ,,,,,['TV'],140,Finished Airing,"Jul 5, 2014 to Mar 28, 2017",['Summer 2014'],Tuesdays at 17:55 (JST),['TV Tokyo'],"None found,","['Tatsunoko Production', 'Dongwoo A&E']",Game,,,,23 min. per ep.,PG - Children,7.52,#1903,#4812,"23,383",461,6947,"Every little girl waits for the day she'll get her special ticket, one that will grant her entry into the world of PriPara (Prism Paradise). PriPara is a world of music, fashion, and daily auditions for a chance to become a pop idol. Laala Manaka's friends and classmates aspire to become idols, but her school forbids elementary school students from participating in the idol competitions. Luckily, Laala is only interested in watching the idol shows. Yet somehow despite all this, she manages to bumble her way into the PriPara world, and debut as a fresh new talent. After being told all her life that she's too loud, Laala has finally found a place where she can be as loud as she wants and sing from her heart. And not only that, but there's a possibility that she might be the legendary Prism Voice. Adventure, fashion, and music awaits as Laala climbs her way to the top, on her way to become the cutest and most beloved pop idol in the world of PriPara!","['Sequel (TV) Idol Time PriPara', '']",PriPara,"['Idols (Female)', 'Music', 'School']","Puri Para, Pri Para, PuriPara, Prism Paradise",['Slice of Life'],
