,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Genre,Theme,Demographics
0,東京リベンジャーズ,Tokyo Revengers,['TV'],24,Finished Airing,"Apr 11, 2021 to Sep 19, 2021",['Spring 2021'],Sundays at 02:08 (JST),"['Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'AT-X', 'Ultra Super Pictures', 'Studio Mausu', 'Sammy']",['VIZ Media'],['LIDENFILMS'],['Manga'],"['Action', 'Drama']","['Delinquents', 'Time Travel']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.87,#886,#105,"1,324,162","25,253",731645,"Takemichi Hanagaki's second year of middle school was the highest point in his life. He had respect, a gang of friends he could count on, and even a girlfriend. But that was twelve years ago. Today, he's a nobody: a washed-up nonentity made fun of by children and always forced to apologize to his younger boss. A sudden news report on the Tokyo Manji Gang's cruel murder of the only girlfriend he ever had alongside her brother only adds insult to injury. Half a second before a train ends his pitiful life for good, Takemichi flashes back to that same day 12 years ago, when he was still dating Hinata Tachibana. After being forced to relive the very same day that began his downward spiral, Takemichi meets Hinata's younger brother. Without thinking, he admits to his seeming death before flashing back to the past. Takemichi urges him to protect his sister before inexplicably returning to the future. Miraculously, he is not dead. Stranger still, the future has changed. It seems as though Takemichi can alter the flow of time. Given the chance to prevent his ex-girlfriend's tragic death at the hands of the Tokyo Manji Gang, Takemichi decides to fly through time to change the course of the future. [Written by MAL Rewrite]","['Sequel (TV) Tokyo Revengers: Seiya Kessen-hen', 'Adaptation (Manga) Tokyo卍Revengers']",Tokyo Revengers,,,,,,,
1,僕のヒーローアカデミア,My Hero Academia Season 5,['TV'],25,Finished Airing,"Mar 27, 2021 to Sep 25, 2021",['Spring 2021'],Saturdays at 17:30 (JST),"['Dentsu', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],['Manga'],,"['School', 'Super Power']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.35,#2561,#115,"1,259,720","10,226",648080,"UA Academy's Class 1-A has been the focus of a substantial amount of public attention due to the multiple villain attacks they have faced over the past school year. This attention has left Class 1-A's rivals, Class 1-B, feeling quite bitter. Desiring to prove their skills, they look forward to the opportunity that has been given to them: a set of mock battles between the students of each class. The classes are split into squads of four, each of which is tasked with capturing the other group members. The winner is the group who first secures all of the opposing team. While this sounds simple, a curveball is thrown into the mix with the inclusion of General Course Student Hitoshi Shinsou, who wishes to transfer into the Hero Course. Despite using his training with Class 1-A's homeroom teacher Shouta ""Eraserhead"" Aizawa to prove that he's capable of being a real hero, he is still far behind the others due to his lack of experience. However, Shinsou is determined to overcome this challenge. Thus begins the fiery competition between Class 1-A and 1-B as each tries to prove that they are superior to the other. [Written by MAL Rewrite]","['Prequel (TV) Boku no Hero Academia 4th Season', 'Sequel (TV) Boku no Hero Academia 6th Season', 'Adaptation (Manga) Boku no Hero Academia', '']",Boku no Hero Academia 5th Season,My Hero Academia 5,My Hero Academia Staffel 5,My Hero Academia Temporada 5,My Hero Academia Saison 5,['Action'],,
2,不滅のあなたへ,To Your Eternity,['TV'],20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",['Spring 2021'],Mondays at 22:50 (JST),"['NHK', 'Kodansha', 'NHK Enterprises']",['VIZ Media'],"[""Brain's Base""]",['Manga'],"['Adventure', 'Drama', 'Supernatural']",,['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),8.34,#245,#199,"922,714","15,110",390533,"An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss. It does not move until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day. The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy? Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time. [Written by MAL Rewrite]","['Sequel (TV) Fumetsu no Anata e Season 2', 'Adaptation (Manga) Fumetsu no Anata e']",Fumetsu no Anata e,"To You, the Immortal",To Your Eternity,To Your Eternity,To Your Eternity,,,
3,86―エイティシックス―,86 Eighty-Six,['TV'],11,Finished Airing,"Apr 11, 2021 to Jun 20, 2021",['Spring 2021'],Sundays at 00:00 (JST),"['Aniplex', 'Kadokawa', 'Bandai Spirits']","None found,",['A-1 Pictures'],['Light novel'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",,23 min. per ep.,R - 17+ (violence & profanity),8.32,#259,#224,"861,102","23,199",446899,"According to the Republic of San Magnolia, their ongoing war against the Giadian Empire has no casualties—however, that is mere propaganda. While the silver-haired Alba of the Republic's eighty-five sectors live safely behind protective walls, those of different appearances are interned in a secret eighty-sixth faction. Known within the military as the Eighty-Six, they are forced to fight against the Empire's autonomous Legion under the command of the Republican ""Handlers."" Vladilena Milizé is assigned to the Spearhead squadron to replace their previous Handler. Shunned by her peers for being a fellow Eighty-Six supporter, she continues to fight against their inhumane discrimination. Shinei Nouzen is the captain of the Spearhead squadron. Infamous for being the sole survivor of every squadron he's been in, he insists on shouldering the names and wishes of his fallen comrades. When the fates of these young souls from two different worlds collide, will it ignite the spark that lights their path to salvation, or will they burn themselves in the flames of despair? [Written by MAL Rewrite]","['Sequel (TV) 86 Part 2', 'Adaptation (Manga) 86', 'Adaptation (Manga) 86: Run Through the Battlefront', 'Adaptation (Manga) 86: Fragmental Neoteny']",86,Eighty Six,86 Eighty-Six,86 Eighty-Six,86 Eighty-Six,,,
4,イジらないで、長瀞さん,"Don't Toy with Me, Miss Nagatoro",['TV'],12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021",['Spring 2021'],Sundays at 01:00 (JST),"['TMS Entertainment', 'Mainichi Broadcasting System', 'Kodansha', 'King Records']","None found,",['Telecom Animation Film'],['Web manga'],"['Comedy', 'Romance']","['Love Status Quo', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,7.22,#3266,#238,"841,190","8,953",456143,"Every day, Naoto Hachiouji is teased relentlessly by Hayase Nagatoro, a first year student he meets one day in the library while working on his manga. After reading his story and seeing his awkward demeanor, she decides from that moment on to toy with him, even calling him ""Senpai"" in lieu of using his real name. At first, Nagatoro's relentless antics are more bothersome than anything and leave him feeling embarrassed, as he is forced to cater to her whims. However, as they spend more time together, a strange sort of friendship develops between them, and Naoto finds that life with Nagatoro can even be fun. But one thing's for sure: his days will never be dull again. [Written by MAL Rewrite]","['Sequel (TV) Ijiranaide, Nagatoro-san 2nd Attack', 'Adaptation (Manga) Ijiranaide, Nagatoro-san']","Ijiranaide, Nagatoro-san","Please don't bully me, Nagatoro","Don´t Toy with Me, Miss Nagatoro","Don´t Toy with Me, Miss Nagatoro","Arrête de me chauffer, Nagatoro",,,
5,ひげを剃る。そして女子高生を拾う。,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",['TV'],13,Finished Airing,"Apr 5, 2021 to Jun 28, 2021",['Spring 2021'],Mondays at 22:30 (JST),"['Toei Video', 'Pony Canyon', 'AT-X', 'Magic Capsule', 'KlockWorx', 'Hakuhodo DY Music & Pictures', 'BS11', 'Kadokawa', 'Yomiuri Shimbun', 'APDREAM', 'Dream Shift', 'Bergamo']","None found,",['Project No.9'],['Light novel'],"['Drama', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.27,#3018,#357,"641,457","6,290",343406,"When regular salaryman Yoshida wakes up one Sunday morning after a long night at the bar, the last thing he expects to see is that his tiny apartment has a new resident—an unfamiliar high school girl. The previous night, despite finally gathering the courage to confess to his boss and longtime crush, Airi Gotou, Yoshida was rejected. After drowning his sorrows at a bar with his good friend Hashimoto, Yoshida headed back to his home in a drunken stupor, only to run into Sayu Ogiwara, a runaway high schooler. She asked him to let her stay the night, and with his judgment clouded by alcohol, Yoshida complied. Now, with his head on straight but with no memory of last night's events, Yoshida has Sayu explain just how she ended up sleeping at his apartment. Having listened to her story, Yoshida finds himself unable to kick her out—especially after learning that she came all the way from Hokkaido! So, despite his reservations about sheltering an underage girl, Yoshida allows her to stay, and their life together begins. [Written by MAL Rewrite]","['Adaptation (Manga) Hige wo Soru. Soshite Joshikousei wo Hirou.', 'Adaptation (Light Novel) Hige wo Soru. Soshite Joshikousei wo Hirou.']",Hige wo Soru. Soshite Joshikousei wo Hirou.,"I Shaved. Then I Brought a High School Girl Home., Higehiro","Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway","Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway","Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",,,
6,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),Vivy -Fluorite Eye's Song-,['TV'],13,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",['Spring 2021'],Saturdays at 23:30 (JST),['Aniplex'],['Aniplex of America'],['Wit Studio'],Original,"['Action', 'Sci-Fi', 'Suspense']","['Music', 'Time Travel']",,24 min. per ep.,R - 17+ (violence & profanity),8.39,#205,#412,"570,873","11,147",257105,"When highly evolved AIs set out to eradicate mankind, the carnage that ensues fills the air with the stench of fresh blood and burning bodies. In a desperate bid to prevent the calamity from ever occurring, a scientist bets everything on a remnant from the past. Turning the clock back a hundred years, AIs are already an integral part of human society, programmed with specific missions meant to be carried out for their entire course of operation. Vivy, the first ever autonomous AI, is a songstress tasked with spreading happiness through her voice. In a theme park where she hardly ever gets a proper audience, she strives to pour her heart out into her performances, bound to repeat it day after day—that is, until an advanced AI from the future appears before her and enlists her help in stopping a devastating war a hundred years in the making. With no time to process the revelation that flips her world upside down, Vivy is catapulted into a century-long journey to avert the violent history yet to come. [Written by MAL Rewrite]","[""Adaptation (Manga) Vivy: Fluorite Eye's Song"", '']",Vivy: Fluorite Eye's Song,,Vivy - Fluorite Eye´s Song -,,Vivy - Fluorite Eye´s Song -,,,
7,フルーツバスケット The Final,Fruits Basket: The Final Season,['TV'],13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",['Spring 2021'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",['Funimation'],['TMS Entertainment'],['Manga'],"['Drama', 'Romance', 'Supernatural']",,['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,8.96,#15,#460,"515,153","20,752",256067,"Hundreds of years ago, the Chinese zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment. Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion. [Written by MAL Rewrite]","['Prequel (TV) Fruits Basket 2nd Season', 'Adaptation (Manga) Fruits Basket']",Fruits Basket: The Final,"Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",Fruits Basket Staffel 3,Fruits Basket: The Final Season,Fruits Basket Saison 3,,,
8,オッドタクシー,Odd Taxi,['TV'],13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",['Spring 2021'],Tuesdays at 02:00 (JST),"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'AT-X', 'Crunchyroll', 'Pony Canyon Enterprises', 'Mimoid', 'Yoshimoto Kogyo']","None found,","['OLM', 'P.I.C.S.']",Original,"['Award Winning', 'Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Anthropomorphic', 'Organized Crime']",,23 min. per ep.,PG-13 - Teens 13 or older,8.65,#77,#514,"467,293","8,723",231125,"Eccentric and blunt, the walrus Hiroshi Odokawa lives a relatively normal life. He drives a taxi for a living, and there he meets several unique individuals: the jobless Taichi Kabasawa who is dead-set on going viral, the mysterious nurse Miho Shirakawa, the struggling comedic duo ""Homo Sapiens,"" and Dobu, a well-known delinquent. But Odokawa's simple way of life is about to be turned upside down. The case of a missing girl the police have been tracking leads back to him, and now both the yakuza and a duo of corrupt cops are on his tail. [Written by MAL Rewrite]","['Adaptation (Manga) Odd Taxi', '']",Odd Taxi,,,,,,,
9,異世界魔王と召喚少女の奴隷魔術Ω,How Not to Summon a Demon Lord Ω,['TV'],10,Finished Airing,"Apr 9, 2021 to Jun 11, 2021",['Spring 2021'],Fridays at 01:28 (JST),"['TBS', 'Kodansha', 'Half H.P Studio', 'KlockWorx', '81 Produce', 'Avex Pictures', 'Crunchyroll', 'GREE']",['Funimation'],"['Tezuka Productions', 'Okuruto Noboru']",['Light novel'],"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",,24 min. per ep.,PG-13 - Teens 13 or older,6.69,#5962,#559,"439,818","2,750",198515,"The Demon King Diablo is back as... God? A fateful encounter with the High Priest Lumachina Weselia finds Diablo and his party accompanying this mysterious stranger on a journey to cleanse the Church of its corruption. Believed to be God by Lumachina, Diablo eventually decides to protect her on her initial quest to find the head paladin, the virtuous Batutta. Diablo, Rem, Shera and Lumachina are joined by the grasswalker, Horn and the Magmatic Maid, Rose. Will Diablo fulfil Lumachina's wish? And can the Demon Lord from Another World truly play the role of God?","['Prequel (TV) Isekai Maou to Shoukan Shoujo no Dorei Majutsu', 'Adaptation (Manga) Isekai Maou to Shoukan Shoujo no Dorei Majutsu', 'Adaptation (Light Novel) Isekai Maou to Shoukan Shoujo no Dorei Majutsu', '']",Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,"How Not to Summon a Demon Lord 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu 2nd Season, The Otherworldly Demon King and the Summoner Girls' Slave Magic 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu Omega",How Not to Summon a Demon Lord Ω,How Not to Summon a Demon Lord Ω,How Not to Summon a Demon Lord Ω,,,
