,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Genre,German,Demographics
0,"Kare Kano, Karekano",彼氏彼女の事情,His and Her Circumstances,Kare Kano,Entre Elle et Lui,['TV'],26,Finished Airing,"Oct 2, 1998 to Mar 26, 1999",['Fall 1998'],Fridays at 18:30 (JST),"['TV Tokyo', 'SoftX', 'GANSIS']",['Nozomi Entertainment'],"['Gainax', 'J.C.Staff']",['Manga'],"['Comedy', 'Drama', 'Romance']",['School'],['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.60,#1576,#1072,"242,309","2,761",83818,"Yukino Miyazawa is the female representative for her class and the most popular girl among the freshmen at her high school. Good at both academics and sports on top of being elegant and sociable, she has been an object of admiration all her life. However, in reality, she is an incredibly vain person who toils relentlessly to maintain her good grades, athleticism, and graceful appearance. She wants nothing more than to be the center of attention and praise—which is why she cannot stand Souichirou Arima, the male representative for her class and the only person more perfect than her. Since the first day of high school, she has struggled to steal the spotlight from her new rival but to no avail. At last, on the midterm exams, Yukino gets the top score and beats Souichirou. But, to her surprise, he congratulates her on her achievement, leading her to question her deceptive lifestyle. When Souichirou confesses his love to Yukino, she turns him down and gloats about it at home with only a hint of regret. But the very next day, Souichirou visits Yukino house to bring her a CD and sees her uninhibited self in action; now equipped with the truth, he blackmails her into completing his student council duties. Coerced into spending time with Souichirou, Yukino learns that she is not the only one hiding secrets. [Written by MAL Rewrite]","['Adaptation (Manga) Kareshi Kanojo no Jijou', '']",Kareshi Kanojo no Jijou,,,,
1,"Sorcerer Stabber Orphen, Sorcerous Stabber Orphen",魔術士オーフェン,Orphen,Orphen,Orphen: Le Sorcier Noir,['TV'],24,Finished Airing,"Oct 3, 1998 to Mar 27, 1999",['Fall 1998'],Saturdays at 17:00 (JST),"['Kadokawa Shoten', 'TBS']","['ADV Films', 'Sentai Filmworks']",['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.08,#4012,#3368,"48,649",182,16440,"Six years ago at the magic school known as the Tower of Fang, a grave accident happened involving the magical sword Baltanders and the magic user Azalie. Unable to control the sword's power, Azalie was transformed into the shape of a great dragon who since that day became known as Bloody August. Krilancelo, a young magician at the Tower who cared greatly for Azalie found much to his disgust that the elders of the Tower of Fang were less than willing to save Azalie and wanted rather to pretend the accident never happened. Angered by their stand, Krilanceloa swore that he would find a way to return Azalie to her former self. Thus he forsook the name Krilancelo and declared himself Orphen, leaving the Tower and his magical studies behind to wander the world... (Source: ANN, edited)","['Sequel (TV) Majutsushi Orphen: Revenge', 'Adaptation (Manga) Majutsushi Orphen Hagure Tabi', 'Adaptation (Manga) Majutsushi Orphen Hagure Tabi Max', 'Adaptation (Manga) Majutsushi Orphen Hagure Tabi: Waga Yobigoe ni Kotae yo, Kemono']",Majutsushi Orphen,,,,
2,Bubblegum Crisis 2040,バブルガムクライシス TOKYO2040,,,,['TV'],26,Finished Airing,"Oct 8, 1998 to Apr 1, 1999",['Fall 1998'],Thursdays at 01:15 (JST),"['Victor Entertainment', 'Toshiba EMI']","['ADV Films', 'Funimation']",['AIC'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,R - 17+ (violence & profanity),7.08,#3992,#3668,"41,895",205,15686,"In the wake of an earthquake that devastated most of the city, Tokyo has been rebuilt in record time due to the development of humanoid robots known as boomers. After the disaster, these machines now service the city as cheap labor. Genom Corporation is the mastermind behind the boomers, having become so rich and powerful that they have extended its influence into space. However, all is not well with the boomers. Random breakdowns in their neural structure are causing some of them to go berserk, destroying property and killing humans in violent rampages. To combat this, Tokyo has formed the Advanced Police, a peacekeeping force with jurisdiction over boomer matters. There are also rumors of a second group known as the Knight Sabers, a vigilante unit operating from the shadows. Trying to investigate the Knight Sabers, the adventurous Linna Yamazaki travels to Tokyo in pursuit of her heroes. There, she finds the enigmatic singer Priscilla Asagiri, the beautiful entrepreneur Sylia Stingray, and the exuberant Nene Romanova, each with their own reasons for coming together. As the struggle intensifies, the girls learn that the boomer problem might delve deeper than any of them could ever imagine. [Written by MAL Rewrite]",[],Bubblegum Crisis Tokyo 2040,"['Adult Cast', 'Mecha']",,,
3,Master Keaton: Blood and Bullets,マスターキートン,,,,['TV'],24,Finished Airing,"Oct 6, 1998 to Mar 30, 1999",['Fall 1998'],Tuesdays at 00:50 (JST),"['VAP', 'Nippon Television Network', 'Shogakukan']",['Geneon Entertainment USA'],['Madhouse'],['Manga'],"['Adventure', 'Drama', 'Mystery']",,['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),7.62,#1513,#4284,"30,351",151,6403,"The amazing Taichi Keaton works on cases around the globe that always lead to adventure! He combines his arsenal of multidisciplinary expertise in investigation, archeology, and survival with his experience as a professor, a Falklands Conflict veteran and a SAS agent to unravel the often dangerous challenges in each riveting episode. (Source: Geneon Entertainment USA)","['Sequel (OVA) Master Keaton OVA', 'Adaptation (Manga) Master Keaton']",Master Keaton,"['Adult Cast', 'Historical']",,,
4,,デビルマンレディー,The Devil Lady,,,['TV'],26,Finished Airing,"Oct 10, 1998 to May 8, 1999",['Fall 1998'],Sundays at 01:40 (JST),['Dynamic Planning'],"['ADV Films', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Drama', 'Horror', 'Suspense']",['Psychological'],,24 min. per ep.,R+ - Mild Nudity,6.60,#6477,#4495,"27,577",115,7137,"Fudo Jun is a beautiful supermodel who is idolized by many. She also has a dark secret that not even she knows about at first, for within her veins run the genes that hold the next step in the evolution of mankind. The same blood as the beastlike superhumans that terrorize the city. Unlike the rest of them, though, Jun has managed to hold a tenuous grip onto her humanity, and she is recruited by the mysterious Asuka Ran, member of a secret organization within the government, aimed at controlling, if not eliminating, these berserk destroyers of mankind. Jun, as Devilman Lady, must now exterminate her own kind, but how much longer can she keep her sanity in a situation she never chose in the first place? (Source: ANN)","['Adaptation (Manga) Devilman Lady', '']",Devilman Lady,,,,
5,,ガサラキ,Gasaraki,,,['TV'],25,Finished Airing,"Oct 4, 1998 to Mar 28, 1999",['Fall 1998'],Sundays at 09:30 (JST),"['Bandai Visual', 'TV Osaka', 'Yomiko Advertising', 'Atelier Musa']","['ADV Films', 'Nozomi Entertainment']",['Sunrise'],Original,"['Drama', 'Supernatural']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.62,#6388,#4679,"25,103",69,6459,"At the start of the 21st century, Japan plunges into a state of financial and political decline. In an attempt to revitalize their nation, the army develops the next generation of battlefield weapons in the form of tactical suits known as Tactical Armor (TA). Despite giving a significant advantage in mobility, TAs place a heavy strain on their pilots, and few people are capable of handling them. Yuushirou Gouwa is one such talented pilot who is unusually adept at steering these new machines. As the fourth son of the esteemed Gouwa family, Yuushirou is no stranger to the influence of powerful authority. His abilities and knowledge of the TAs are soon tested, as other geopolitical entities are also attempting to develop their own combat-ready versions. Things take a dire turn when Yuushirou encounters a mysterious girl, who cautions him of the future that awaits them should he revive a ""terror."" While he tries to heed the warning, Yuushirou's family may be more involved in the rising conflict than they let on. [Written by MAL Rewrite]","['Adaptation (Manga) Gasaraki', 'Adaptation (Light Novel) Gasaraki']",Gasaraki,"['Mecha', 'Military', 'Psychological']",,,
6,,セイバーマリオネットJ to X,,,,['TV'],26,Finished Airing,"Oct 6, 1998 to Mar 30, 1999",['Fall 1998'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu']",['Bandai Entertainment'],['HAL Film Maker'],Unknown,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.27,#2982,#5629,"15,784",41,7957,"Taking place mere months after the Saber Marionette J OVA series, this newest installment in the Saber Marionette line follows the continuing adventures of Otaru and his clan of selfless, obsessive marionette girls. This time, the evil Faust is back, and again toying with Marionette technology that was never meant to be explored. The Saber Dolls are back, and torn between their newfound love for Otaru and their undying loyalty to Faust; Will Otaru, Lime, Cherry and Bloodberry be able to stop Faust again, or are they all headed for the scrap heap? (Source: AniDB)","['Prequel (OVA) Saber Marionette R', 'Prequel (OVA) Saber Marionette J Again', 'Adaptation (Manga) Saber Marionette J', 'Adaptation (Light Novel) SM Girls: Saber Marionette J']",Saber Marionette J to X,"['Harem', 'Mecha']",,,
7,"Jiku Tantei Genshi-kun, Flint Hammerhead",時空探偵ゲンシクン,Flint the Time Detective,,,['TV'],39,Finished Airing,"Oct 1, 1998 to Jun 24, 1999",['Fall 1998'],Thursdays at 18:00 (JST),"['Nihon Ad Systems', 'Sanrio']",['Saban Entertainment'],['Group TAC'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Sci-Fi']",['Time Travel'],,25 min. per ep.,PG - Children,6.32,#8162,#6597,"10,594",21,5385,"It is the 25th century. The dark lord has 'infected' history with time-devices that could damage history beyond repair. Genshi and his father lived in the prehistorics when they got turned into fossiles. They are discovered and Genshi gets turned back to his original state. With the help of his father, a boy Tony and a girl Sara he has to travel trough time to bring the time-devices back to the land of time so history will be saved. (Source: ANN)",[],Jikuu Tantei Genshi-kun,,,,
8,,ジェネレイターガウル,,,,['TV'],12,Finished Airing,"Oct 7, 1998 to Dec 23, 1998",['Fall 1998'],Tuesdays at 02:55 (JST),"None found,",['ADV Films'],['Tatsunoko Production'],Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",['Time Travel'],,24 min. per ep.,PG-13 - Teens 13 or older,6.86,#5037,#6634,"10,453",29,3898,"Ryo, Gawl and Koji are 3 young boys who travel back into the past with only 1 objective: change history. In their time they discover that their country, Kubere, uses genetically enhanced persons called generators as a military tool. These generators are the cause for the Third War which kills most of the human population. Now Koji, Ryo and Gawl are there to change all the events. (Source: ANN)","['Adaptation (Manga) Generator Gawl', '']",Generator Gawl,,,,
9,,まもって守護月天！,"Protect Me, Heavenly Moon Guardian!",,,['TV'],22,Finished Airing,"Oct 17, 1998 to Apr 3, 1999",['Fall 1998'],Saturdays at 18:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.63,#6317,#6809,"9,882",15,3152,"Tasuke Shichiri is the envy of his friends because since his parents are always traveling he can do as he pleases. It's a surprise present from his father that keeps him from being lonely: an odd ring known as the shitenrin. From it comes a moon goddess named Shaorin, dedicated to protecting her ""master"" -- no matter how much of a mess she makes doing it!","['Sequel (OVA) Denshin Mamotte Shugogetten', 'Adaptation (Manga) Mamotte Shugogetten!']",Mamotte Shugogetten!,,,,
