,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,German,Spanish,French,Genre,Demographics
33,,こわぼん,,['TV'],13,Finished Airing,"Oct 4, 2015 to Dec 27, 2015",['Fall 2015'],Sundays at 01:42 (JST),"None found,","None found,",['ILCA'],Original,,,,3 min. per ep.,PG-13 - Teens 13 or older,5.22,#12877,#4009,"34,834",23,13525,"In today's world full of wondrous technological innovation, the unnatural and mysterious sometimes appear even more horrifying than usual. But despite how far society has advanced, the fear of the unknown always remains. The unfortunate participants in Kowabon find themselves in such a predicament, experiencing the supernatural through their everyday technology. From a frightening sight caught on a parking garage camera to a video chat that takes an unexpected turn, the victims struggle to escape that which haunts them. However, what awaits these doomed souls may be a fate even worse than death... [Written by MAL Rewrite]",[],Kowabon,,,,,['Horror'],
34,Ani Tore! EX,あにトレ！ＥＸ,Anime de Training! Ex,['TV'],12,Finished Airing,"Oct 13, 2015 to Dec 29, 2015",['Fall 2015'],Tuesdays at 01:11 (JST),"['Earth Star Entertainment', 'F.M.F']","None found,",['Rising Force'],Original,,,,4 min. per ep.,PG-13 - Teens 13 or older,5.39,#12448,#4059,"34,074",32,13339,"""Move your soul and body!"" Each episode contains a variety of routines, such as push-ups, sit-ups, spine twists, dance, yoga, stretches, trunk training, and taichi. Five girls aiming to become idols will exercise with you, and that troubling body fat percentage will go down by 1000%...!?","['Sequel (TV) Anitore! XX: Hitotsu Yane no Shita de', '']",Anitore! EX,,Anime de Training! EX,Anime de Training EX,Anime de Training! EX,['Sports'],
35,,影鰐-KAGEWANI-,Kagewani,['TV'],13,Finished Airing,"Oct 2, 2015 to Dec 25, 2015",['Fall 2015'],Fridays at 23:17 (JST),['Directions'],"None found,",['Tomovies'],Original,"['Horror', 'Mystery', 'Supernatural']",,,7 min. per ep.,R - 17+ (violence & profanity),6.38,#7819,#4086,"33,694",32,13591,"A video blogger attempts to fake cryptid sightings to boost his views, but gets more than he bargained for when his crew is slaughtered by a real monster. Elsewhere, students find themselves preyed upon by a sandworm-like beast, initiating a desperate struggle for survival on their own school grounds. With more of these attacks from mysterious creatures occurring, researcher Sousuke Banba tasks himself with delving into the mystery. With nothing but the keyword ""Kagewani"" to lead him, he scours the sites of recent attacks in hopes of finding a lead to eradicating the creatures for good. However, Sousuke finds that these threats to humanity are even closer to home when the pharmaceutical company, Sarugaku, starts to encroach on his investigation. [Written by MAL Rewrite]","['Sequel (TV) Kagewani: Shou', '']",Kagewani,,,,,,
36,Garo 2nd Season,GARO 紅蓮ノ月,Garo: Crimson Moon,['TV'],23,Finished Airing,"Oct 10, 2015 to Apr 2, 2016",['Fall 2015'],Saturdays at 01:23 (JST),['Tohokushinsha Film Corporation'],['Funimation'],['MAPPA'],Original,"['Action', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,5.88,#10527,#4184,"31,899",23,9468,"Monsters known as ""Horrors"" have invaded the world, entering through gates from the Makai Realm of Darkness. These corrupt, demonic creatures have the ability to seize human bodies and feed on their souls. Citizens who are out past sunset will likely never see the sun rise again, but those who live in the capital city have no need to worry—they are protected by a spiritual force field created by the sorcerer group Onmyouji. In possession of legendary armor, the Golden Knight Raikou proclaims that he will protect everyone from the Horrors. Accompanied by his attendant Kintoki and the mysterious Makai Alchemist Seimei, he strives to become a formidable Makai Knight, but Raikou is ill-prepared to handle the side effects of the armor. Disappointed by his own shortcomings, he sets out on a journey of self-discovery to master his weaknesses and prove his worth. [Written by MAL Rewrite]","['Sequel (Movie) Usuzumizakura: Garo', '']",Garo: Guren no Tsuki,['Mythology'],Garo: Crimson Moon,Garo: Crimson Moon,Garo: Crimson Moon,,
37,Hot Springs Fairy Hakone-Chan,温泉幼精ハコネちゃん,Hakone-chan,['TV'],13,Finished Airing,"Oct 4, 2015 to Dec 27, 2015",['Fall 2015'],Sundays at 20:55 (JST),['Jinnan Studio'],"None found,","['Production Reed', 'Asahi Production']",['Web manga'],"['Comedy', 'Supernatural']",,,3 min. per ep.,PG-13 - Teens 13 or older,5.84,#10758,#4264,"30,535",9,15102,"After many years of dormant rest, a hot springs fairy awakens in modern-day Japan. However, while she slept, she took on the appearance of a young girl. She decides to cooperate with the locals whilst trying to regain her powers. (Source: LiveChart)","['Adaptation (Manga) Onsen Yousei Hakone-chan', '']",Onsen Yousei Hakone-chan,,Hakone-chan,Hakone-Chan,Hakone-chan,,
38,,てーきゅう 6期,Teekyu 6,['TV'],12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015",['Fall 2015'],Tuesdays at 01:05 (JST),"['DAX Production', 'Earth Star Entertainment']","None found,",['Millepensee'],['Manga'],,,['Shounen'],2 min. per ep.,PG-13 - Teens 13 or older,6.56,#6686,#5282,"18,657",13,10320,Sixth season of the Teekyuu series.,"['Prequel (TV) Teekyuu 5', 'Sequel (TV) Teekyuu 7', 'Adaptation (Manga) Teekyuu', '']",Teekyuu 6,,Teekyu 6,Teekyu 6,Teekyu 6,['Comedy'],
39,"Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season, Fafner in the Azure: Dead Aggressor - Exodus 2nd Season",蒼穹のファフナー Dead Aggressor EXODUS,,['TV'],13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",['Fall 2015'],Saturdays at 02:25 (JST),"['Starchild Records', 'Mainichi Broadcasting System']","None found,",['I.Gzwei'],Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",,24 min. per ep.,PG-13 - Teens 13 or older,7.61,#1528,#5605,"15,937",89,6068,Continuation of Soukyuu no Fafner: Dead Aggressor - Exodus.,"['Prequel (TV) Soukyuu no Fafner: Dead Aggressor - Exodus', 'Sequel (Movie) Soukyuu no Fafner: Dead Aggressor - The Beyond']",Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,,,,,,
40,,ミス・モノクローム -The Animation- 3,,['TV'],13,Finished Airing,"Oct 2, 2015 to Dec 25, 2015",['Fall 2015'],Fridays at 22:30 (JST),"['Starchild Records', 'Magic Capsule']",['Crunchyroll'],"['SANZIGEN', 'LIDENFILMS']",Original,"['Comedy', 'Slice of Life']","['Idols (Female)', 'Music']",,7 min. per ep.,G - All Ages,6.51,#7017,#5604,"15,944",6,7592,Third season of Miss Monochrome: The Animation.,"['Prequel (TV) Miss Monochrome The Animation 2', '']",Miss Monochrome The Animation 3,,,,,,
41,,探偵チームＫＺ（カッズ）事件ノート,,['TV'],16,Finished Airing,"Oct 7, 2015 to Jan 27, 2016",['Fall 2015'],Wednesdays at 18:45 (JST),"None found,","None found,",['Signal.MD'],Novel,,,,9 min. per ep.,PG - Children,6.19,#8895,#5788,"14,691",16,6182,"Aya Tachibana is a sixth-grader who frets and obsesses over friends, family, grades, and more. One day, she joins the ""Tantei Team KZ"" with four very idiosyncratic boys she met at cram school. There is the glib and attention-grabbing leader Kazuomi Wakatake, the mysterious ""expert of personal relationships"" Takakazu Kuroki, the smart and stoic math genius Kazunori Uesugi, and the sweet-hearted Kazuhiko Kozuka who is good at social matters and science. Aya finds her place among them as the ""language expert."" ""Tantei Team KZ"" gets involved in modern-day cases, and even if they bicker from time to time, they collaborate by pooling each of their talents and skills to solve these cases. (Source: ANN)","['Adaptation (Manga) Tantei Team KZ Jiken Note', '']",Tantei Team KZ Jiken Note,['School'],,,,['Mystery'],
42,Magical Somera-chan,不思議なソメラちゃん,,['TV'],12,Finished Airing,"Oct 7, 2015 to Dec 23, 2015",['Fall 2015'],Wednesdays at 23:55 (JST),"['DAX Production', 'Dream Creation']","None found,",['Seven'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,3 min. per ep.,PG-13 - Teens 13 or older,5.87,#10592,#5884,"14,029",14,6847,"The story follows the everyday life of Somera Nonomoto who can use the strongest kenpo, Nonomoto Mahou-ken, which is inherited from her mother with her younger sister Kukuru. (Source: Crunchyroll)","['Adaptation (Manga) Fushigi na Somera-chan', '']",Fushigi na Somera-chan,['Gag Humor'],Magical Somera-chan,Magical Somera Chan: Fushigi na Somera-chan,Magical Somera-chan,,
43,"Kindaichi Shounen no Jikenbo R 2, Kindaichi Case Files Returns, Kindaichi Case Files R 2, The File of Young Kindaichi Returns 2nd Season",金田一少年の事件簿R【リターンズ】,,['TV'],22,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",['Fall 2015'],Saturdays at 17:30 (JST),['Yomiuri Telecasting'],"None found,",['Toei Animation'],['Manga'],,,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.66,#1383,#6150,"12,547",31,5244,"Hajime Kindaichi once again becomes embroiled in solving baffling cases and deciphering puzzling crimes that would confound the most seasoned of detectives. Whether it's a gruesome murder and shady circumstances surrounding the Japanese board game Go; a perplexing and macabre case involving a mysterious character, ""Rosenkreutz,"" and blue roses; or blood curdling crimes associated with an urban legend at a winter ski resort – Hajime is out to crack them all! (Source: YTV)","['Prequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: Case Series', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Shin Series']",Kindaichi Shounen no Jikenbo Returns 2nd Season,,The File of Young Kindaichi Returns Staffel 2,Kindaichi Shounen no Jikenbo Returns Temporada 2,The File of Young Kindaichi Returns Saison 2,['Mystery'],
44,,ＪＫめし！,JK-MESHI!,['TV'],26,Finished Airing,"Oct 6, 2015 to Mar 29, 2016",['Fall 2015'],Tuesdays at 01:00 (JST),"None found,","None found,","['Kyotoma', 'Office Nobu']",Original,"['Comedy', 'Gourmet']",,,3 min. per ep.,PG-13 - Teens 13 or older,4.62,#13573,#6183,"12,372",7,4846,"Three high school girls have mastered the art of cooking simple, B-class dishes called JK meshi. The three girls — Reina, Ryouka, and Ruriko — are all classmates in their second year of high school. They often get distracted when studying for tests, and when they do, they cook JK meshi. (Source: ANN)",[],JK Meshi!,['CGDCT'],JK-Meshi!,JK-Meshi!,JK-Meshi!,,
45,,カードファイト!! ヴァンガードG　ギアースクライシス編,Cardfight!! Vanguard G GIRS Crisis,['TV'],26,Finished Airing,"Oct 11, 2015 to Apr 10, 2016",['Fall 2015'],Sundays at 10:00 (JST),"['TV Tokyo', 'Dentsu', 'Sotsu', 'Bushiroad']","None found,",['TMS Entertainment'],Card game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.69,#5945,#6247,"12,027",22,5830,The first half of the second season of Cardfight!! Vanguard G series.,"['Prequel (TV) Cardfight!! Vanguard G', 'Sequel (TV) Cardfight!! Vanguard G: Stride Gate-hen']",Cardfight!! Vanguard G: GIRS Crisis-hen,['Strategy Game'],Cardfight!! Vanguard G GIRS Crisis,Cardfight!! Vanguard G GIRS Crisis,Cardfight!! Vanguard G GIRS Crisis,['Action'],
46,"Ameiro Cocoa: Rainy Color e Youkoso!, Ame-iro Cocoa 2",雨色ココア Rainy colorへようこそ！,"Rainy Cocoa, Welcome to Rainy Color",['TV'],12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",['Fall 2015'],Sundays at 22:15 (JST),['DAX Production'],['Funimation'],['EMT Squared'],['Web manga'],"['Comedy', 'Slice of Life']",,,2 min. per ep.,PG-13 - Teens 13 or older,4.78,#13443,#6487,"11,009",3,5086,"Life at the Rainy Color café can never be described as boring. The arrival of the Koga brothers from England—Noel, always brimming with curiosity, and Nicola, somewhat shy and conservative—ensures that their sibling, café manager Shion, is kept on his toes. There's also another newcomer, cameraman/photographer Jun Arisawa, who holds a mysterious connection to café owner Koji Amami. Last but not least, there's a special photograph that incites all kinds of heartfelt and comedic reactions from the Rainy Color crew! (Source: YTV)","['Prequel (TV) Ame-iro Cocoa', 'Sequel (TV) Ame-iro Cocoa in Hawaii']",Ame-iro Cocoa: Rainy Color e Youkoso!,['Workplace'],,,,,
47,"Lovely Muco!, Itoshi no Muuco",いとしのムーコ,Lovely Muuuuuuuco!,['TV'],25,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",['Fall 2015'],Saturdays at 09:14 (JST),"None found,","None found,",['DLE'],['Manga'],"['Comedy', 'Slice of Life']",,,12 min. per ep.,PG - Children,6.75,#5604,#7578,"7,499",26,3106,"Muco is the sweetest, most lovable dog in the neighborhood. This sparkly-nosed Shiba Inu lives with her owner and best friend, Komatsu, a glassblower who lives in the mountains. These two companions have wonderful adventures, from going on walks to playing in the pond in front of their house. No matter where they go or what they do, Muco will always love her best friend Komatsu! [Written by MAL Rewrite]","['Adaptation (Manga) Itoshi no Muco', '']",Itoshi no Muco,['Pets'],Lovely Muuuuuuco!,Lovely Muuuuuuuco!,,,
48,,ブレイブビーツ,Brave Beats,['TV'],22,Finished Airing,"Oct 11, 2015 to Mar 27, 2016",['Fall 2015'],Sundays at 07:00 (JST),"None found,","None found,",['Bandai Namco Pictures'],Original,,,,23 min. per ep.,G - All Ages,6.47,#7260,#8797,"5,213",23,2177,"Hibiki Kazaguruma, a sixth grader, meets an amusing little robot named Bureikin while coming home from school one day. Bureikin, a dancer from an alternate-dimension dance world, challenged the dance king for the throne and lost. He has been deprived of Dance Stones (the stones of dance power) and sent to the human world. To restore his power, Bureikin must collect all the Dance Stones scattered around Earth. (Source: ANN)",[],Brave Beats,['Music'],,,,['Adventure'],
49,"SD Hamatora, Minimum-Hamatora",ミニはま -MINIMUM HAMATORA-,,['TV'],8,Finished Airing,"Nov 1, 2015 to Dec 21, 2015",['Fall 2015'],Mondays at 21:24 (JST),"None found,","None found,",['Lerche'],Mixed media,"['Comedy', 'Mystery']","['School', 'Super Power']",,5 min. per ep.,PG-13 - Teens 13 or older,6.22,#8725,#8929,"5,013",2,1176,Super deformed Hamatora.,[],Mini Hama: Minimum Hamatora,,,,,,
50,Shin Atashinchi,新あたしンち,,['TV'],26,Finished Airing,"Oct 6, 2015 to Apr 5, 2016",['Fall 2015'],Tuesdays at 19:00 (JST),"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,,23 min. per ep.,G - All Ages,7.33,#2682,#9440,"4,228",20,1759,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuusuke and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Prequel (TV) Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Shin Atashin'chi,,Shin Atashinchi,Shin Atashinchi,Shin Atashinchi,,
51,Kamisama Minarai: Himitsu no Kokotama,かみさまみならい ヒミツのここたま,,['TV'],139,Finished Airing,"Oct 1, 2015 to Jun 28, 2018",['Fall 2015'],Thursdays at 17:55 (JST),"['TV Tokyo', 'Lantis']","None found,",['OLM'],Original,"['Fantasy', 'Slice of Life']",,['Kids'],24 min. per ep.,PG - Children,6.30,#8276,#9634,"3,969",16,1017,"Cocotama are tiny gods born from the thoughts and feelings of objects that people use with great care. The fact that Cocotama wear part of the egg they hatch out of as underwear is proof that they are still apprentices. The Cocotama use a mysterious magic, and they train hard to be of use to humans and to become full gods. They live inside human houses and stealthily move around to help humans find things they have lost, although they make many mistakes. (Source: ANN)","['Sequel (TV) Kirakira Happy★Hirake! Cocotama', '']",Kamisama Minarai: Himitsu no Cocotama,,,,,,
52,Hokuto no Ken: Ichigo Aji,DD北斗の拳2 イチゴ味+,DD Fist of the North Star 2: Strawberry Flavor Plus,['TV'],12,Finished Airing,"Oct 7, 2015 to Dec 23, 2015",['Fall 2015'],Wednesdays at 01:35 (JST),['North Stars Pictures'],"None found,",['Ajia-do'],['Manga'],,"['Parody', 'School']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,5.90,#10449,#9665,"3,943",2,1316,"In the 21st century, the characters of Fist of the North Star are living in peaceful Japan. In particular, Kenshirou is a convenience store worker, Raoh works at a factory, and wracked by illness, Toki is looking for work. The legend of the Fighting NEET (Not in Education, Employment, or Training) North Star begins in the modern day. (Source: Crunchyroll) Note: Short stories adapting Hokuto no Ken: Ichigo Aji manga are included at the end of each episode. Serving as a spinoff gag manga of the original Hokuto no Ken series, the story is a parody of Fist of the North Star by Buronson and Tetsuo Hara. It consists of page-long gags centered mainly on Souther, both within his final battle with Kenshiro and inserting himself into other parts of the series where he doesn't belong. One recurring gag involves the kid with a turban repeatedly stabbing Souther in the leg every time he climbs the pyramid's staircase, and another involves Rei suddenly transforming into Souther in his iconic moments. (Source: Hokuto no Ken Wikia)","['Adaptation (Manga) DD Hokuto no Ken', 'Adaptation (Manga) Hokuto no Ken: Ichigo Aji']",DD Hokuto no Ken 2 Ichigo Aji+,,DD Fist of the North Star: Strawberry Flavor,DD First of The North Star Ⅱ: Strawberry Flavor,,['Comedy'],
53,,血液型くん！3,,['TV'],12,Finished Airing,"Oct 13, 2015 to Dec 29, 2015",['Fall 2015'],Tuesdays at 01:08 (JST),['Earth Star Entertainment'],"None found,","['feel.', 'Zexcs', 'Assez Finaud Fabric']",['Web manga'],,,,2 min. per ep.,PG-13 - Teens 13 or older,6.29,#8352,#9695,"3,904",2,1745,"Which type is the best at convincing a father for his daughter's hand in marriage? How does each type behave during a blackout? Whether they are getting rejected by the love of their life, solving a murder mystery, or preparing for an overseas vacation, these stereotypical representations of the four blood types always find a way to make things lively. [Written by MAL Rewrite]","['Prequel (TV) Ketsuekigata-kun! 2', 'Sequel (TV) Ketsuekigata-kun! 4', 'Adaptation (Manhwa) A Simple Thinking About Blood Type', '']",Ketsuekigata-kun! 3,['Anthropomorphic'],,,,['Comedy'],
54,,Peeping Life（ピーピングライフ）TV シーズン1 ??,,['TV'],12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",['Fall 2015'],Sundays at 02:55 (JST),"None found,","None found,","['Tatsunoko Production', 'CoMix Wave Films', 'FOREST Hunting One']",Original,"['Comedy', 'Slice of Life']",,,23 min. per ep.,G - All Ages,5.69,#11453,#10809,"2,776",6,997,"This ""slow-life anime"" is part of the datsuryoku-kei (ennui-style) genre of comedy that depicts the minutiae of everyday life. The series observes the daily lives of Heroes from the worlds of Tezuka Production and Tatsunoko Production, ""evolved"" for their modern TV appearances, and combines motion-captured improvised acting with computer animation into a series of comedy shorts. (Source: ANN)",[],Peeping Life TV: Season 1??,,Peeping Life TV Season 1??,Peeping Life TV Season 1??,Peeping Life TV Season 1??,,
55,"NekoYon, Neko Nanka Yonde mo Konai",猫なんかよんでもこない。,,['TV'],12,Finished Airing,"Oct 3, 2015 to Dec 19, 2015",['Fall 2015'],Saturdays at 00:54 (JST),"None found,","None found,","None found,",['Manga'],,,['Seinen'],1 min. per ep.,G - All Ages,6.01,#9868,#11617,"2,185",3,725,"The series focuses on a professional boxer who chooses to become a manga artist after sustaining an injury. The man takes in two cats: Kuro, who is very timid, and her younger sister Chin. (Source: Livechart)","['Adaptation (Manga) Neko nanka Yondemo Konai.', '']",Neko nanka Yondemo Konai.,['Pets'],,,,['Slice of Life'],
56,,きょーふ！ゾンビ猫,,['TV'],52,Finished Airing,"Oct 2, 2015 to Sep 30, 2016",['Fall 2015'],Fridays at 02:05 (JST),"None found,","None found,",['Kachidoki Studio'],Original,,,,1 min. per ep.,G - All Ages,5.89,#10482,#13064,"1,384",0,166,"The series of ""warm and soothing"" anime shorts will follow a cat who is suddenly resurrected from the grave and begins to wander around town. Despite being a zombie, the cat is able to get all the townsfolk to fall in love with it. (Source: ANN)",[],Kyoufu! Zombie Neko,,,,,['Comedy'],
57,"Mini Vanguard 2nd Season, Saturday Vanguard 1030",みにヴぁん,,['TV'],26,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",['Fall 2015'],Saturdays at 10:30 (JST),['HeART-BIT'],"None found,",['DLE'],['4-koma manga'],"['Comedy', 'Slice of Life']","['Parody', 'Strategy Game']",,3 min. per ep.,PG-13 - Teens 13 or older,6.13,#9209,#13483,"1,235",0,270,An animated flash series of the manga Mini Vanguard.,"['Prequel (TV) Mini Van', 'Adaptation (Manga) Mini Van']",Mini Van 2nd Season,,,,,,
58,King of Warrior 3,战斗王之飓风战魂3,Infinity Nado 3,['TV'],40,Finished Airing,"Sep 3, 2015 to Oct 12, 2015",['Fall 2015'],Unknown,['Alpha Group'],"None found,",['Alpha Animation'],Original,,,,23 min. per ep.,PG - Children,6.10,#9413,#15077,796,5,353,"Jin, Dawn, Cecilia and Davis help Pandora build up a new world. However, they all lost their memories and become the normal kids that purely like playing nados. Jin attains a mysterious nado when he is wandering, and the other three kids have also got the mysterious nados. Due to the misunderstanding, they four start a battle. Through the battle, they recall their memories, and become good friends again. They work together to smash the scheme of the evil spirit “Hellish ghost”, who want to destroy the world. They take part in the “The Most Powerful Nado Player’s Championship”, who finally defeated the destroyers and protect the world and Infinity Nado. (Source: Official YouTube Channel)","['Prequel (TV) Zhandou Wang Zhi Jufeng Zhan Hun 2', 'Sequel (TV) Zhandou Wang Zhi Jufeng Zhan Hun 5']",Zhandou Wang Zhi Jufeng Zhan Hun 3,,,,,['Action'],
59,,おしりかじり虫　第４シリーズ,Bottom Biting Bug 4,['TV'],10,Finished Airing,"Oct 5, 2015 to Dec 7, 2015",['Fall 2015'],Mondays at 18:25 (JST),"['NHK', 'Sound Team Don Juan']","None found,",['Kinema Citrus'],Music,,,['Kids'],5 min. per ep.,G - All Ages,5.21,#12907,#15697,670,1,256,"A gag comedy about Oshiri Kajiri Mushi XVIII, a 10-year-old insect who goes to Biting School to inherit his family's Biting Shop business. (Source: ANN)","['Prequel (TV) Oshiri Kajiri Mushi (TV) 3rd Season', '']",Oshiri Kajiri Mushi (TV) 4th Season,,Les insectes mord-fesses Staffel 4,Bottom Biting Bug (Oshiri Kajiri Mushi) Temporada 4,Les insectes mord-fesses Saison 4,['Comedy'],
60,"I Really Want to Join the Zodiac, Etoneko",どうしても干支にはいりたい,,['TV'],13,Finished Airing,"Oct 11, 2015 to Jan 10, 2016",['Fall 2015'],Sundays at 09:20 (JST),['Studio Mausu'],"None found,",['Pollyanna Graphics'],['Web manga'],,,,6 min. per ep.,G - All Ages,6.01,#9896,#15985,627,2,130,"Rat, a member of the Zodiac, meets a normal cat at a park one day. Rat comes to love Cat so much that it becomes very eager to get Cat to become a member of the Zodiac. Cat goes with Rat to meet the rest of the 12 members of the Zodiac to ask them to become a member. (Source: ANN)","['Sequel (TV) Doushitemo Eto ni Hairitai 2', '']",Doushitemo Eto ni Hairitai,,,,,['Comedy'],
61,Dayan the Cat Goes to Japan,猫のダヤン　日本へ行く,,['TV'],12,Finished Airing,"Oct 17, 2015 to Jan 9, 2016",['Fall 2015'],Saturdays at 07:00 (JST),"None found,","None found,",['Kachidoki Studio'],Picture book,,,['Kids'],3 min. per ep.,G - All Ages,[],#20612,#17528,456,1,,Second season of Dayan the Cat. The titular character and his friends energetically explore Japan. (Source: LiveChart),"['Prequel (TV) Neko no Dayan', 'Sequel (TV) Neko no Dayan: Fushigi Gekijou']",Neko no Dayan: Nihon e Iku,['Anthropomorphic'],,,,['Fantasy'],
62,,どちゃもん じゅにあ,,['TV'],16,Finished Airing,"Oct 5, 2015 to Feb 22, 2016",['Fall 2015'],Mondays at 18:45 (JST),['Calf Studio'],"None found,","None found,",Original,,,['Kids'],9 min. per ep.,G - All Ages,[],#17663,#18374,392,0,,Japan has 47 prefectures and each one has a guardian spirit called a Dochamon. Dochamon Junior follows guardian spirits in training to one day take over the jobs of their elders. But these juniors have a lot of growing up to do before they graduate!,"['Sequel (TV) Dochamon Junior 2', '']",Dochamon Junior,,,,,['Comedy'],
63,Balloon Dog Tinny 2nd Season,ふうせんいぬティニー 第2シリーズ,,['TV'],26,Finished Airing,"Sep 25, 2015 to Mar 25, 2016",['Fall 2015'],Fridays at 06:40 (JST),['NHK'],"None found,","[""Steve N' Steven""]",Picture book,,,['Kids'],5 min. per ep.,G - All Ages,[],#18054,#18591,376,1,,Follows a dog and his friends who wear balloons and explore a kingdom in the clouds.,"['Prequel (TV) Fuusen Inu Tinny', '']",Fuusen Inu Tinny 2nd Season,,,,,['Adventure'],
64,GG Bond 10,猪猪侠 五灵守卫者,GG Bond Season 10: The Legend of Warriors,['TV'],52,Finished Airing,"Sep 18, 2015 to Dec 2015",['Fall 2015'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],15 min. per ep.,G - All Ages,[],#16373,#19590,308,0,,G.G. Bond finally won the appreciation of Princess Crystal and moved to Crystal City. But conspiracy traps lurk in the darkness out to frame G.G. Bond an ruin his good name.,"['Prequel (TV) Zhu Zhu Xia: Bai Bian Lian Meng', 'Sequel (TV) Zhu Zhu Xia: Guang Ming Shou Wei Zhe']",Zhu Zhu Xia: Wu Ling Shou Wei Zhe,['Super Power'],,,,['Sci-Fi'],
65,,斗龙战士3龙印之战,,['TV'],60,Finished Airing,"Sep 1, 2015 to Oct 31, 2015",['Fall 2015'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],22 min. per ep.,PG - Children,[],#17762,#22998,137,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Dou Long Zhanshi 2: Xing Long Sheng Yu', 'Sequel (TV) Dou Long Zhanshi 4: Shuanglong He']",Dou Long Zhanshi 3: Long Yin Zhi Zhan,['Mecha'],,,,['Sci-Fi'],
66,Gaelleogsi Kijeu,갤럭시 키즈,Galaxy Kids,['TV'],26,Finished Airing,"Sep 19, 2015 to Apr 9, 2016",['Fall 2015'],Unknown,"None found,","None found,",['Central Animation Studio'],Original,,,['Kids'],11 min. per ep.,PG - Children,[],#18088,#23607,118,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Galaxy Kids,['Anthropomorphic'],,,,['Adventure'],
67,,토닥 토닥 꼬모,Pat a Pat Como,['TV'],18,Finished Airing,"Nov 17, 2015 to Dec 15, 2015",['Fall 2015'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],7 min. per ep.,PG - Children,[],#14927,#24626,100,0,,Pat a Pat Como is a Korean-American animated children's comedy television series.,[],Todag Todag Kkomo,,,,,['Comedy'],
68,,加油吧!三二班,,['TV'],10,Finished Airing,"Oct 1, 2015 to Oct 5, 2015",['Fall 2015'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],15 min. per ep.,PG - Children,[],#18978,#24801,97,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Jiayou Ba! San Er Ban 2nd Season', '']",Jiayou Ba! San Er Ban,['School'],,,,,
69,,こども刑事めめたん,,['TV'],8,Finished Airing,"Nov 8, 2015 to Dec 27, 2015",['Fall 2015'],Unknown,"None found,","None found,","None found,",Unknown,,,,4 min. per ep.,G - All Ages,[],#19494,#27771,60,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kodomo Keiji Memetan,,,,,['Comedy'],
70,,바이클론즈 4기,,['TV'],28,Finished Airing,"Sep 17, 2015 to Nov 5, 2015",['Fall 2015'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,['Kids'],10 min. per ep.,PG - Children,[],#16951,#27766,60,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Biklonz 3rd Season', 'Sequel (TV) Biklonz 5th Season']",Biklonz 4th Season,,,,,,
