,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographics
0,Kimiuso,四月は君の嘘,Your Lie in April,Shigatsu Wa Kimi No Uso - Sekunden in Moll,Your Lie in April,Your Lie in April,['TV'],22,Finished Airing,"Oct 10, 2014 to Mar 20, 2015",['Fall 2014'],Fridays at 01:20 (JST),"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Drama', 'Romance']","['Love Polygon', 'Music', 'School']",['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,8.64,#81,#24,"2,297,782","87,444",1397472,"Kousei Arima is a child prodigy known as the ""Human Metronome"" for playing the piano with precision and perfection. Guided by a strict mother and rigorous training, Kousei dominates every competition he enters, earning the admiration of his musical peers and praise from audiences. When his mother suddenly passes away, the subsequent trauma makes him unable to hear the sound of a piano, and he never takes the stage thereafter. Nowadays, Kousei lives a quiet and unassuming life as a junior high school student alongside his friends Tsubaki Sawabe and Ryouta Watari. While struggling to get over his mother's death, he continues to cling to music. His monochrome life turns upside down the day he encounters the eccentric violinist Kaori Miyazono, who thrusts him back into the spotlight as her accompanist. Through a little lie, these two young musicians grow closer together as Kaori tries to fill Kousei's world with color. [Written by MAL Rewrite]","['Prequel (OVA) Shigatsu wa Kimi no Uso: Moments', 'Adaptation (Manga) Shigatsu wa Kimi no Uso']",Shigatsu wa Kimi no Uso,,,
1,,七つの大罪,The Seven Deadly Sins,The Seven Deadly Sins,,The Seven Deadly Sins,['TV'],24,Finished Airing,"Oct 5, 2014 to Mar 29, 2015",['Fall 2014'],Sundays at 17:00 (JST),"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Movic']",['Funimation'],['A-1 Pictures'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.62,#1523,#32,"2,124,863","19,309",1381620,"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones. Based on the best-selling manga series of the same name, Nanatsu no Taizai follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world. [Written by MAL Rewrite]","['Sequel (TV) Nanatsu no Taizai: Seisen no Shirushi', 'Adaptation (Manga) Nanatsu no Taizai']",Nanatsu no Taizai,,,
2,"Parasite, Parasitic Beasts, Parasyte",寄生獣 セイの格率,Parasyte: The Maxim,Parasyte -the maxim-,Parasyte -the maxim-,Parasite -la maxime-,['TV'],24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",['Fall 2014'],Thursdays at 01:29 (JST),"['VAP', 'Nippon Television Network', 'Forecast Communications']",['Sentai Filmworks'],['Madhouse'],['Manga'],"['Action', 'Horror', 'Sci-Fi', 'Suspense']","['Gore', 'Psychological']",['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),8.32,#256,#43,"1,946,754","35,687",1199959,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey. Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species. [Written by MAL Rewrite]","['Adaptation (Manga) Kiseijuu', '']",Kiseijuu: Sei no Kakuritsu,,,
3,"Fate/stay night (2014), Fate - Stay Night",Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],['TV'],12,Finished Airing,"Oct 12, 2014 to Dec 28, 2014",['Fall 2014'],Sundays at 00:00 (JST),"['Aniplex', 'Notes', 'Studio Mausu']",['Aniplex of America'],['ufotable'],Visual novel,"['Action', 'Fantasy']",,,28 min. per ep.,R - 17+ (violence & profanity),8.18,#420,#141,"1,109,905","16,907",699782,"The Holy Grail War is a battle royale among seven magi who serve as Masters. Masters, through the use of the command seals they are given when they enter the war, command Heroic Spirits known as Servants to fight for them in battle. In the Fifth Holy Grail War, Rin Toosaka is among the magi entering the competition. With her Servant, Archer, she hopes to obtain the ultimate prize—the Holy Grail, a magical artifact capable of granting its wielder any wish. One of Rin's classmates, Shirou Emiya, accidentally enters the competition and ends up commanding a Servant of his own known as Saber. As they find themselves facing mutual enemies, Rin and Shirou decide to form a temporary alliance as they challenge their opponents in the Holy Grail War. [Written by MAL Rewrite]","['Prequel (TV Special) Fate/stay night: Unlimited Blade Works Prologue', 'Sequel (TV) Fate/stay night: Unlimited Blade Works 2nd Season', 'Adaptation (Manga) Fate/stay night: Unlimited Blade Works', '']",Fate/stay night: Unlimited Blade Works,['Urban Fantasy'],,
4,Yona: The girl standing in the blush of dawn,暁のヨナ,Yona of the Dawn,Akatsuki No Yona: Prinzessin der Morgendämmerung,Akatsuka no Yona: Yona of the Dawn,Yona: Princesse de l'Aube,['TV'],24,Finished Airing,"Oct 7, 2014 to Mar 24, 2015",['Fall 2014'],Tuesdays at 23:00 (JST),"['VAP', 'Hakusensha', 'AT-X', 'Delfi Sound', 'Marvelous AQL', 'Tokyo MX', 'Age Global Networks', 'Docomo Anime Store', 'Top-Insight International']",['Funimation'],['Pierrot'],['Manga'],"['Adventure', 'Fantasy', 'Romance']",,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,8.03,#625,#210,"891,045","16,955",432955,"The kingdom of Kouka is blessed with a beautiful princess whose childlike innocence charms all who come across her. Named Yona, she has grown up sheltered in the royal palace, shielded from any danger that may befall her. However, all good things must come to an end. Yona's perfect world comes crashing down when a heinous act of treason threatens to erase all that she holds dear, including her birthright as the princess of Kouka. Left with no one to trust but her childhood friend and loyal bodyguard Son Hak, she is forced to flee the palace. Faced with the perils of surviving in the wild with a target on her back, Yona realizes that her kingdom is no longer the safe haven it once was. Free from the shackles of naivety, Yona vows to do everything in her power to become strong enough to crush her enemies. With Hak by her side, she must piece together the remains of an ancient legend that might be the key to reclaiming her kingdom from those who conspired to steal it from her. [Written by MAL Rewrite]","['Sequel (OVA) Akatsuki no Yona OVA', 'Adaptation (Manga) Akatsuki no Yona']",Akatsuki no Yona,,,
5,,トリニティセブン,Trinity Seven,,,,['TV'],12,Finished Airing,"Oct 8, 2014 to Dec 24, 2014",['Fall 2014'],Wednesdays at 01:40 (JST),"['TV Tokyo', 'Sotsu', 'Kadokawa Shoten', 'AT-X', 'Studio Mausu', 'Avex Pictures', 'Q-Tec', 'Docomo Anime Store', 'DeNA']",['Sentai Filmworks'],['Seven Arcs Pictures'],['Manga'],"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.04,#4222,#217,"871,564","3,847",474512,"One day, the bright red sun stopped shining, causing the ""Breakdown Phenomenon""—the destruction of Arata Kasuga's town and the disappearance of the people inhabiting it. All, however, is not yet lost; by utilizing the magical grimoire given to him by his childhood friend and cousin Hijiri Kasuga, Arata's world gets artificially reconstructed. In order to investigate the phenomenon, Lilith Asami appears before Arata, whose artificial world suddenly disintegrates. He is given two choices: hand over the book, or die. However, Arata chooses the third option—enrolling in the top-secret magic school Royal Biblia Academy, where six other magical users await him. Together with Lilith, these six form the Trinity Seven, the elite of the school who each bolster their own power and skill. With the ambition to save Hijiri and the help of his newfound friends, Arata stops at nothing to prevent the destruction of his beloved hometown and to bring his best friend back. [Written by MAL Rewrite]","['Sequel (OVA) Trinity Seven: Nanatsu no Taizai to Nana Madoushi', 'Adaptation (Manga) Trinity Seven: 7-nin no Mashotsukai']",Trinity Seven,,,
6,Amaburi,甘城ブリリアントパーク,Amagi Brilliant Park,,,,['TV'],13,Finished Airing,"Oct 7, 2014 to Dec 26, 2014",['Fall 2014'],Fridays at 02:16 (JST),"['Avex Entertainment', 'TBS', 'DAX Production', 'flying DOG', 'Mobcast']",['Sentai Filmworks'],['Kyoto Animation'],['Light novel'],"['Comedy', 'Supernatural']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.45,#2167,#323,"679,213","2,733",361749,"Seiya Kanie, a smart and extremely narcissistic high school student, believes that the beautiful but reserved Isuzu Sento has invited him on a date at an amusement park called Amagi Brilliant Park. Much to his chagrin, not only is the location a run-down facility, the supposed date is merely a recruitment tour where Sento and Princess Latifa Fleuranza, the owner of the theme park, ask him to become the park's new manager. Their cause for desperation? As stipulated in a land-use contract, Amagi has less than three months to meet a quota of 500,000 guests, or the park will be closed for good and the land redeveloped by a greedy real-estate company. Seiya is won over by the revelation that Amagi is no ordinary amusement park; many of its employees are Maple Landers—mysterious magical beings who live in the human world and are nourished by the energy created by people having fun. Entrusted with the hopes and dreams of this far-off enchanted land, Seiya must now use his many skills to bring Amagi back on its feet, or watch it crumble before his eyes. [Written by MAL Rewrite]","['Sequel (Special) Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!', 'Adaptation (Manga) Amagi Brilliant Park', 'Adaptation (Light Novel) Amagi Brilliant Park', '']",Amagi Brilliant Park,['Workplace'],,
7,"Psycho-Pass Second Season, Psychopath 2nd Season",PSYCHO-PASS サイコパス 2,Psycho-Pass 2,Psycho-Pass Staffel 2,Psycho - Pass Temporada 2,Psycho-Pass Saison 2,['TV'],11,Finished Airing,"Oct 10, 2014 to Dec 19, 2014",['Fall 2014'],Fridays at 00:50 (JST),"['Production I.G', 'Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",['Funimation'],['Tatsunoko Production'],Original,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",,23 min. per ep.,R - 17+ (violence & profanity),7.40,#2357,#331,"673,618","1,511",360751,"A year and a half after the events of the original sci-fi psychological thriller, Akane Tsunemori continues her work as an inspector—enforcing the Sibyl System's judgments. Joining her are new enforcers and junior inspector Mika Shimotsuki, a young woman blindly and inflexibly loyal to Sibyl. As Akane ponders both the nature of her job and the legitimacy of Sibyl's verdicts, a disturbing new menace emerges. A mysterious figure has discovered a way to control the Crime Coefficient—a number compiled from mental scans that allows Sibyl to gauge psychological health and identify potential criminals. Through these means, he is able to murder an enforcer, leaving behind a cryptic clue: ""WC?"" scrawled in blood on a wall. Akane and the rest of Division 01 soon find themselves playing a deadly game against their new foe, coming face-to-face with a conspiracy threatening not only the authority of the Sibyl System, but the very foundation of Akane's own convictions. [Written by MAL Rewrite]","['Prequel (TV) Psycho-Pass', 'Sequel (Movie) Psycho-Pass Movie', 'Adaptation (Manga) Psycho-Pass 2', '']",Psycho-Pass 2,,,
8,Le Fruit de la Grisaia,グリザイアの果実,The Fruit of Grisaia,The Fruit of Grisaia,Le Fruit de la Grisaia,Le Fruit de la Grisaia,['TV'],13,Finished Airing,"Oct 5, 2014 to Dec 28, 2014",['Fall 2014'],Sundays at 20:30 (JST),"['Frontier Works', 'AT-X', 'Magic Capsule', 'Bushiroad', 'NBCUniversal Entertainment Japan', 'Front Wing']",['Sentai Filmworks'],['8bit'],Visual novel,"['Drama', 'Romance', 'Suspense']","['Harem', 'Psychological', 'School']",,23 min. per ep.,R+ - Mild Nudity,7.46,#2124,#360,"637,299","4,414",322813,"Yuuji Kazami is a transfer student who has just been admitted into Mihama Academy. He wants to live an ordinary high school life, but this dream of his may not come true any time soon as Mihama Academy is quite the opposite. Consisting of only the principal and five other students, all of whom are girls, Yuuji becomes acquainted with each of them, discovering more about their personalities as socialization is inevitable. Slowly, he begins to learn about the truth behind the small group of students occupying the academy—they each have their own share of traumatic experiences which are tucked away from the world. Mihama Academy acts as a home for these girls, they are the ""fruit"" which fell from their trees and have begun to decay. It is up to Yuuji to become the catalyst to save them from themselves, but how can he save another when he cannot even save himself? [Written by MAL Rewrite]","['Sequel (TV Special) Grisaia no Meikyuu: Caprice no Mayu 0', 'Adaptation (Manga) Grisaia no Kajitsu: Sanctuary Fellows']",Grisaia no Kajitsu,,,
9,"Log Horizon Second Season, Log Horizon Dai 2 Series",ログ・ホライズン 第2シリーズ,Log Horizon 2,Log Horizon 2,Log Horizon 2,Log Horizon 2,['TV'],25,Finished Airing,"Oct 4, 2014 to Mar 28, 2015",['Fall 2014'],Saturdays at 17:30 (JST),['NHK'],"['Funimation', 'Sentai Filmworks']",['Studio Deen'],['Light novel'],"['Action', 'Adventure', 'Fantasy']","['Adult Cast', 'Video Game']",,24 min. per ep.,PG-13 - Teens 13 or older,7.56,#1740,#364,"630,981","1,406",349599,"After being trapped in the world of Elder Tale for six months, Shiroe and the other Adventurers have begun to get the hang of things in their new environment. The Adventurers are starting to gain the trust of the People of the Land, and Akiba has flourished thanks to the law and order established by Shiroe's Round Table Alliance, regaining its everyday liveliness. Despite this success, however, the Alliance faces a new crisis: they are running out of funds to govern Akiba, and spies from the Minami district have infiltrated the city. As formidable forces rise in other districts, there is also a need to discover more about the vast new world they are trapped in—leading Shiroe to decide that the time has come to venture outside the city. Accompanied by his friend Naotsugu and the Sage of Mirror Lake Regan, the calculative Shiroe makes his move, hoping to unravel new possibilities and eventually find a way home. [Written by MAL Rewrite]","['Prequel (TV) Log Horizon', 'Sequel (TV) Log Horizon: Entaku Houkai', 'Adaptation (Manga) Log Horizon', 'Adaptation (Manga) Log Horizon: Kanami, Go! East!']",Log Horizon 2nd Season,,,
