,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographic,Demographics
10,"My Mental Multiple-Choice Power Is Completely Ruining My School Romantic Comedy, NouCome, NouKome",俺の脳内選択肢が、学園ラブコメを全力で邪魔している,My Mental Choices Are Completely Interfering With My School Romantic Comedy,My Mental Choises are Completely interferring with my School Romantic Comedy,,Noucome,['TV'],10,Finished Airing,"Oct 10, 2013 to Dec 12, 2013",['Fall 2013'],Thursdays at 01:00 (JST),"['Kadokawa Shoten', 'DAX Production', 'MAGES.']",['Sentai Filmworks'],['Diomedéa'],['Light novel'],"['Comedy', 'Romance']","['Harem', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.13,#3774,#592,"416,386","1,511",218971,"For Kanade Amakusa, life as a high schooler should have been normal, and it would have been—if he wasn't living with the most ridiculous curse imaginable. ""Absolute Choice,"" a system forced upon him by a self-proclaimed god, randomly presents a mental selection of actions that he must act out based on his choice. To add to his dilemma, it tends to occur in the most public of places, and his options never seem to deviate from the rude and crude in nature. As a result, the helpless boy stresses through each day, fumbling to repair his already tarnished reputation while desperately praying to avoid the next spontaneous episode of Absolute Choice. To his dismay, the one in charge is always one step ahead of him and proceeds to not-so-subtly ""choice"" him into the lives of several girls at his school. Just when Kanade's school life can't seem to be doomed any further, a decision that he reluctantly selects on the way home sends a beautiful girl crashing down from the sky, along with the promise of more hysterically hellish choices. [Written by MAL Rewrite]","['Adaptation (Manga) Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama shiteiru', 'Adaptation (Light Novel) Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama shiteiru']","Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",,,,
11,,IS〈インフィニット・ストラトス〉2,Infinite Stratos 2,Infinite Stratos 2,,Infinite Stratos 2,['TV'],12,Finished Airing,"Oct 4, 2013 to Dec 20, 2013",['Fall 2013'],Fridays at 01:58 (JST),"['Lantis', 'TBS', 'Sony Music Communications', 'Overlap']",['Sentai Filmworks'],['8bit'],['Light novel'],"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","['Harem', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7387,#612,"404,454",523,233385,Second season of Infinite Stratos.,"['Prequel (TV) IS: Infinite Stratos', 'Adaptation (Manga) IS: Infinite Stratos', 'Adaptation (Manga) IS: Infinite Stratos', 'Adaptation (Light Novel) IS: Infinite Stratos']",IS: Infinite Stratos 2,,,,
12,,アウトブレイク・カンパニー,Outbreak Company,,,,['TV'],12,Finished Airing,"Oct 4, 2013 to Dec 20, 2013",['Fall 2013'],Unknown,"['Pony Canyon', 'TBS', 'Kodansha', 'Movic', 'DAX Production']",['Sentai Filmworks'],['feel.'],['Light novel'],"['Comedy', 'Fantasy']","['Harem', 'Isekai', 'Otaku Culture', 'Parody']",24 min. per ep.,PG-13 - Teens 13 or older,7.16,#3597,#675,"372,934",908,184447,"Shinichi Kanou is a shut-in otaku with a vast knowledge of anime, manga, and video games. One day, after applying for a job in hopes of escaping his secluded lifestyle, he is kidnapped and transported to the Eldant Empire—a fantasy world filled with elves, dragons, and dwarves. Trapped in this strange land, Shinichi is given an unlikely task by the Japanese government: to spread otaku culture across the realm by becoming an ""Otaku Missionary."" To accomplish his mission, Shinichi has the full support of the Japanese government, as well as the half-elf maid Myucel and Princess Petralka of the Eldant Empire. Together with this ragtag bunch, he will overcome the obstacles of politics, social classes, and ethnic discrimination to promote the ways of the otaku in this holy land. [Written by MAL Rewrite]","['Adaptation (Manga) Outbreak Company: Moeru Shinryakusha', 'Adaptation (Light Novel) Outbreak Company: Moeru Shinryakusha']",Outbreak Company,,,,
13,DiaLover,DIABOLIK LOVERS,Diabolik Lovers,,,,['TV'],12,Finished Airing,"Sep 16, 2013 to Dec 9, 2013",['Fall 2013'],Unknown,"['Frontier Works', 'Idea Factory', 'Showgate']",['Sentai Filmworks'],['Zexcs'],Visual novel,"['Drama', 'Supernatural']","['Reverse Harem', 'School', 'Vampire']",15 min. per ep.,R - 17+ (violence & profanity),5.18,#12952,#700,"361,095","1,839",205058,"At the behest of her father, Yui Komori goes to live in a secluded mansion, home to the six Sakamaki brothers—Shuu, Reiji, Ayato, Kanato, Laito, and Subaru—a family of vampires. Though at first the siblings are confused as to why the girl has arrived, they soon realize that she is to be their new ""sacrificial bride,"" not to mention their other, more carnal intentions for her. After meeting the brothers, Yui quickly begins to question why her father would have sent her here and why she feels a strange, new pain in her chest. With each brother more sadistic than the last, Yui's life as a captive takes a harrowing turn in her new home. As her days turn into endless nights, and each brother vows to make her his own, Yui falls deeper and deeper into madness and ecstasy. [Written by MAL Rewrite]","['Sequel (TV) Diabolik Lovers More,Blood', 'Adaptation (Manga) Diabolik Lovers: Prequel', 'Adaptation (Manga) Diabolik Lovers Anthology', '']",Diabolik Lovers,,,['Josei'],
14,"Machine Girl wa Kizutsukanai, Kikou Shoujo wa Kizutsukanai",機巧少女〈マシンドール〉は傷つかない,Unbreakable Machine-Doll,Unbreakable Machine-Doll,Unbreakable Machine-Doll,Unbreakable Machine-Doll,['TV'],12,Finished Airing,"Oct 7, 2013 to Dec 23, 2013",['Fall 2013'],Mondays at 20:30 (JST),"['Genco', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Showgate']",['Funimation'],['Lerche'],['Light novel'],"['Action', 'Fantasy', 'Ecchi']",,23 min. per ep.,R+ - Mild Nudity,7.03,#4228,#766,"335,967",672,160291,"The Walpurgis Royal Academy of Machinart was founded alongside the development of ""Machinart,"" machine magic capable of giving life and intelligence to mechanical dolls subsequently called as ""automaton."" Its aim: train skilled puppeteers to control the automatons, as militaries across the globe have begun incorporating Machinart into their armies. After miserably failing the academy's entrance exams, Raishin Akabane and his humanoid automaton Yaya must defeat one of the top one hundred students to earn the right to take part in the Evening Party, a fight for supremacy between puppeteers using their automatons. The last one standing is bestowed the title of ""Wiseman"" and granted access to the powerful forbidden arts. Thus, Raishin challenges Charlotte Belew and her automaton Sigmund to a duel, but before they even begin, Sigmund is attacked by other students. After saving his opponents from their assaulters, Raishin cancels the duel but is forced to search for a new way to gain access to the Party. Driven by the tragedies of his past, Raishin fights alongside Yaya to rise to the top and claim the title of Wiseman. [Written by MAL Rewrite]","['Adaptation (Manga) Machine-Doll wa Kizutsukanai', 'Adaptation (Light Novel) Machine-Doll wa Kizutsukanai']",Machine-Doll wa Kizutsukanai,['School'],,,
15,"Yu-sibu, Yusibu, Yuushibu",勇者になれなかった俺はしぶしぶ就職を決意しました。,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job","Yusibu: I Couldn’t Become a Hero, So I Reluctantly Decided to Get a Job.",Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita,"Yusibu: I Couldn’t Become a Hero, So I Reluctantly Decided to Get a Job.",['TV'],12,Finished Airing,"Oct 5, 2013 to Dec 21, 2013",['Fall 2013'],Saturdays at 01:30 (JST),"['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'KlockWorx', 'chara-ani.com', 'Docomo Anime Store', 'Fujimi Shobo']",['Sentai Filmworks'],['asread.'],['Light novel'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.80,#5321,#811,"316,478",557,139186,"Dreaming of becoming a hero and vanquishing the Demon King, Raul Chaser enters the Hero Training Program in pursuit of his ambition. However, when the Demon King is defeated and peace returns to the world, the Hero Training Program is suspended indefinitely, making it impossible for anyone to become a hero. Two years later, Raul reluctantly works at a small electronics store called Magic Shop Leon. Though the former hero-in-training is plagued by the mundanity of working in retail, everything changes with the arrival of a new hire. Appearing at first to be just a boy with good looks, ""he"" turns out to be a female demon by the name of Fino Bloodstone. She is not just any old demon either—Raul's new coworker is in fact the daughter of the late Demon King! Handed the responsibility of training this eccentric new employee, Raul soon finds his life becoming livelier than it ever was before. [Written by MAL Rewrite]","['Sequel (OVA) Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA', 'Adaptation (Manga) Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.', 'Adaptation (Manga) Yuushibu. - Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.', 'Adaptation (Light Novel) Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.']",Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,,,,
16,"Fighting Spirit: Rising, Hajime no Ippo 3",はじめの一歩 Rising,Fighting Spirit: Rising,Hajime No Ippo: The Fighting! - Rising,Hajime No Ippo: The Fighting!,Hajime No Ippo: The Fighting! - Rising,['TV'],25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",['Fall 2013'],Sundays at 01:35 (JST),"['VAP', 'Kodansha', 'Nippon Television Network']","None found,","['Madhouse', 'MAPPA']",['Manga'],,,22 min. per ep.,PG-13 - Teens 13 or older,8.61,#93,#933,"276,429","1,355",152195,"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and right, claiming to have an answer for the move responsible for crushing his opponents. Will Ippo be able to step up to the challenge, or will the weight of his pride destroy him before he finds out just what it means to be strong? Meanwhile, fellow Kamogawa Gym mate Aoki Masaru is just a hop, skip, and a Frog Punch away from claiming his own belt, ready to take on the Japanese Lightweight Champion! Hajime no Ippo: Rising continues Ippo's quest to become stronger, featuring the same cast of loveable dimwits from Kamogawa Gym, as they put their bodies and hearts on the line to make their way in the harsh world of professional boxing. With a will of iron, Ippo steps into the ring once again. [Written by MAL Rewrite]","['Prequel (TV) Hajime no Ippo: New Challenger', 'Adaptation (Manga) Hajime no Ippo']",Hajime no Ippo: Rising,['Combat Sports'],['Sports'],['Shounen'],
17,"White Album2, WA2",ホワイトアルバム2,White Album 2,,,,['TV'],13,Finished Airing,"Oct 6, 2013 to Dec 29, 2013",['Fall 2013'],Unknown,['Starchild Records'],"None found,",['Satelight'],Visual novel,"['Drama', 'Romance']","['Love Polygon', 'Music']",23 min. per ep.,PG-13 - Teens 13 or older,7.59,#1632,#1023,"254,959","3,357",114653,"Haruki Kitahara's light music club is on the verge of disbanding. At this rate, the third year's dream of performing at the school festival would never be realized. However, as his exhausted fingers drift through the chords of ""White Album,"" the first song he would ever play, an angelic voice and mysterious piano begin harmonizing with his lonely guitar. It is a momentous performance that marks the beginning of everything for Haruki. White Album 2 orchestrates Haruki's final semester with complex romance and exhilarating music, as the curtains of the stage he so desired begin to open... [Written by MAL Rewrite]","['Adaptation (Light Novel) White Album 2: Yuki ga Tsumugu Senritsu', 'Adaptation (Manga) White Album 2']",White Album 2,,,,
18,"Daiya no Ace, Ace of the Diamond, Dia no A",ダイヤのA[エース],Ace of Diamond,Ace of Diamond,Ace of the Diamond,Ace of Diamond,['TV'],75,Finished Airing,"Oct 6, 2013 to Mar 29, 2015",['Fall 2013'],Sundays at 08:30 (JST),"['TV Tokyo', 'Sotsu', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production']","None found,","['Production I.G', 'Madhouse']",['Manga'],,"['School', 'Team Sports']",24 min. per ep.,PG-13 - Teens 13 or older,8.11,#515,#1025,"254,628","4,764",119497,"With a stray pitch that completely missed the batter, Eijun Sawamura loses his final middle school baseball game. Frustrated by this defeat, Eijun and his teammates vow to reach the national tournament once they are in high school. But everything changes when a scout unexpectedly invites him to Tokyo's prestigious Seidou High School after seeing the potential in his unusual pitching style. Encouraged by his teammates, Eijun accepts the offer, ready to improve his skills and play at a much more competitive level of baseball. However, now surrounded by a large number of skilled players, Eijun struggles to find his place on the team. He declares that he will one day become the team's ace, but that's only if fellow first year Satoru Furuya doesn't take the title first, with his breakneck fastballs that earn him a coveted spot on the starting roster. With the addition of these talented new players to an already powerful lineup, the Seidou baseball team aims to become the best in Japan, facing off against a number of formidable foes that stand in their way. [Written by MAL Rewrite]","['Sequel (TV) Diamond no Ace: Second Season', 'Adaptation (Manga) Diamond no Ace']",Diamond no Ace,,['Sports'],['Shounen'],
19,Yowapeda,弱虫ペダル,Yowamushi Pedal,,,,['TV'],38,Finished Airing,"Oct 8, 2013 to Jul 1, 2014",['Fall 2013'],Unknown,"['TV Tokyo', 'MediaNet', 'TOHO animation', 'Akita Shoten']",['Discotek Media'],['TMS Entertainment'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.92,#793,#1085,"239,524","2,288",119333,"Sakamichi Onoda is a cheerful otaku looking to join his new school's anime club, eager to finally make some friends. Unfortunately, the club has been disbanded and he takes it upon himself to revive it by finding students who are willing to join. Without much luck, Onoda decides to make a round trip to Akihabara on his old, bulky city bicycle, a weekly 90-kilometer ride he has been completing since fourth grade. This is when he meets fellow first year student, Shunsuke Imaizumi, a determined cyclist who is using the school's steep incline for practice. Surprised by Onoda's ability to climb the hill with his specific type of bicycle, Imaizumi challenges him to a race, with the proposition of joining the anime club should Onoda win. And thus begins the young boy's first foray into the world of high school bicycle racing! [Written by MAL Rewrite]","['Sequel (TV) Yowamushi Pedal: Grande Road', 'Adaptation (Manga) Yowamushi Pedal']",Yowamushi Pedal,['Racing'],['Sports'],['Shounen'],
