,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Spanish,French,Theme,German,Genre,Demographics
20,"Gorgeous Tango: The Mars Daybreak, Kenran Butoh Sai: The Mars Daybreak",絢爛舞踏祭ザ･マーズ･デイブレイク,Mars Daybreak,['TV'],26,Finished Airing,"Apr 1, 2004 to Sep 23, 2004",['Spring 2004'],Unknown,"None found,",['Bandai Entertainment'],['Bones'],Original,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']","['Mecha', 'Military']",23 min. per ep.,PG-13 - Teens 13 or older,7.13,#3762,#4845,"23,038",33,8360,"Mars is now almost entirely covered in water. Humanity exists in large city-ships that float through the open seas. But life is hard for those who live on Mars—the economy is in bad shape, work is scarce, and food is expensive and highly prized. Gram and his friends try to do the best they can, but the work keeps drying up. Some have taken to a life of piracy to combat the corruption in the government; one such group is the pirates of the feared Ship of Aurora. And the Earth government, which rules Mars, has dispatched a new team of military pilots to combat them. In their specialized mecha called Round Bucklers, they must make the seas of Mars safe for humanity. Caught in the wrong place at the wrong time, Gram finds himself on the run with the most notorious pirates on Mars. But here's the thing—he's starting to like them! (Source: Bandai Entertainment)",[],Kenran Butou Sai: The Mars Daybreak,,,Mars Daybreak,,,,
21,,忘却の旋律,The Melody of Oblivion,['TV'],24,Finished Airing,"Apr 7, 2004 to Sep 22, 2004",['Spring 2004'],Wednesdays at 02:54 (JST),"['Gainax', 'Kadokawa Shoten', 'TBS', 'Ken Media']",['Geneon Entertainment USA'],['J.C.Staff'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","['Mecha', 'Psychological', 'Space', 'Super Power']",23 min. per ep.,PG-13 - Teens 13 or older,6.26,#8494,#5155,"19,885",42,6492,"A great war occurred in the 20th century between humans and monsters. Since that time, the monsters rule the world in fear but keep relatively hidden from public view. A boy named Bokka ponders the past and wonders what became of the Meros Warriors who defended the world so bravely against the demons. He soon meets Kurofune and learns of the power of the Meros and the I-bar machines they ride in battle. Warriors are the only ones who can see and hear the Melody of Oblivion, a phantom girl hidden away waiting to be rescued and be the savior of mankind. During a battle between Kurofune and a demon, Bokka discovers something only his wildest dreams could possibly imagine...he too can hear that melody. Throughout his journeys, Bokka meets many monsters and their agents, friends, and companions as he discovers the true extent of his new powers. He must continue to battle evil in the hope of releasing Boukyaku no Senritsu and free a world that has forgotten its once beautiful melody. (Source: ANN)","['Adaptation (Manga) Boukyaku no Senritsu', '']",Boukyaku no Senritsu,['Shounen'],La Melodía del Olvido,The Melody of Oblivion,,The Melody of Oblivion,,
22,"Hinotori, Bird of Fire",火の鳥,Phoenix,['TV'],13,Finished Airing,"Mar 21, 2004 to Jun 27, 2004",['Spring 2004'],Sundays at 19:30 (JST),"['NHK', 'Tohokushinsha Film Corporation', 'NHK Enterprises']","['Media Blasters', 'NYAV Post']",['Tezuka Productions'],['Manga'],"['Adventure', 'Drama', 'Sci-Fi', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,7.05,#4139,#6440,"11,186",32,3285,"From prehistoric times to the distant future, Hi no Tori portrays how the legendary immortal bird Phoenix acts as a witness and chronicler for the history of mankind's endless struggle in search of power, justice, and freedom. 1. Reimei-hen (Dawn) 2. Fukkatsu-hen (Resurrection) 3. Igyou-hen (Transformation) 4. Taiyou-hen (The Sun) 5. Mirai-hen (Future) [Written by MAL Rewrite]","['Adaptation (Manga) Hi no Tori (1967)', '']",Hi no Tori,,,,['Historical'],Hinotori: The Phoenix,,
23,,神魂合体ゴーダンナー!! SECOND SEASON,Marriage of God & Soul Godannar!! 2nd Season,['TV'],13,Finished Airing,"Apr 6, 2004 to Jun 29, 2004",['Spring 2004'],Unknown,"None found,","['ADV Films', 'Sentai Filmworks']","['OLM', 'AIC ASTA']",Original,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.89,#4852,#6837,"9,781",10,3791,The history is placed right after the -cliffhanger- end of Godannar when Anna looks surprised to see Mira driving the Neo Okusaer. (Source: AniDB),"['Prequel (TV) Shinkon Gattai Godannar!!', '']",Shinkon Gattai Godannar!! 2nd Season,,,,['Mecha'],,,
24,Doki Doki School Hours,せんせいのお時間,Teacher's Time,['TV'],13,Finished Airing,"Apr 5, 2004 to Jun 28, 2004",['Spring 2004'],Unknown,"['Genco', 'King Records']",['Geneon Entertainment USA'],['J.C.Staff'],['4-koma manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.65,#6160,#6974,"9,313",22,3480,"Meet Suzuki Mika, teacher at Okitsu High School. Mika-sensei is a good teacher, but she has a small problem... literally. Although she's 27, she is only 148 cm tall, and has the face of a child. As a result, it is often difficult for Mika-sensei to get anyone to take her seriously. (Source: ANN)","['Sequel (OVA) Sensei no Ojikan: Dokidoki School Hours OVA', 'Adaptation (Manga) Sensei no Ojikan']",Sensei no Ojikan: Dokidoki School Hours,,,,['School'],,['Comedy'],
25,Kinnikuman Nisei: Ultimate Muscle,キン肉マンII世 ULTIMATE MUSCLE,,['TV'],13,Finished Airing,"Apr 8, 2004 to Jul 1, 2004",['Spring 2004'],Unknown,"None found,",['Discotek Media'],['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi', 'Sports']",,24 min. per ep.,PG-13 - Teens 13 or older,6.95,#4599,#7175,"8,659",11,4294,"The Chojin Crown, the tournament which Mantaro (Kid Muscle) reluctantly participates in. After going along with the obstacles (most of which were created to try and eliminate him), he qualified. (Source: Wikipedia)","['Prequel (TV) Kinnikuman II Sei', 'Sequel (TV) Kinnikuman II Sei: Ultimate Muscle 2']",Kinnikuman II Sei: Ultimate Muscle,,,,['Combat Sports'],,,
26,Smash Hit!,ヒットをねらえ!,,['TV'],8,Finished Airing,"Mar 9, 2004 to Apr 27, 2004",['Spring 2004'],Unknown,['m.o.e.'],"None found,","['Imagin', 'Studio Live']",Original,"['Comedy', 'Ecchi']",,14 min. per ep.,R+ - Mild Nudity,5.46,#12236,#7710,"7,229",1,2883,"Mitsuki Ikuta works for the Houchiku Corporation, making movies. To all who know her, she is perceived as being a very infantile woman, still wearing childish fashions. A fan of the detective movie genre, she suddenly finds herself chosen to be the main producer of a new film—but it's a ""hero movie"" (a genre generally considered childish). Determined to succeed, regardless, she takes on the job. (Source: ANN)",[],Hit wo Nerae!,,,,,,,
27,Tetsujin 28-go (2004),鉄人２８号 (2004),Tetsujin 28,['TV'],26,Finished Airing,"Apr 8, 2004 to Sep 30, 2004",['Spring 2004'],Thursdays at 01:30 (JST),"['Genco', 'GANSIS']","['Discotek Media', 'Geneon Entertainment USA']",['Palm Studio'],['Manga'],"['Adventure', 'Drama', 'Sci-Fi']","['Historical', 'Mecha']",25 min. per ep.,G - All Ages,7.33,#2684,#8025,"6,525",41,1692,"In post-WWII Japan, Prof. Shikishima has built up Shikishima Industries to be a technological powerhouse, working on developing robots. However, at the heart of their success lurks a dark secret from the war, something that cost the life of Prof. Kaneda, the mentor of Prof. Shikishima. Now Kaneda's son, Shoutarou, is about to learn the truth, and it will change him forever. (Source: ANN)","['Adaptation (Manga) Tetsujin 28-gou', '']",Tetsujin 28-gou (2004),['Shounen'],,,,,,
28,,デュエル・マスターズ　チャージ,,['TV'],52,Finished Airing,"Apr 19, 2004 to Mar 27, 2006",['Spring 2004'],Unknown,"None found,","None found,",['Studio Hibari'],Original,"['Action', 'Adventure', 'Comedy']",,21 min. per ep.,PG-13 - Teens 13 or older,6.17,#9001,#8375,"5,905",3,2934,"Shobu has returned after his 3 years training with all his friends in Battle Arena tournament. However, Shobu encounters a new enemy Zakira and his followers, the Fua Duelists. Zakira is a strong kaijudo duelist like Hakuoh. After kidnapping Hakuoh, they turn him into an enemy! Shobu and his friends try to stop them, but will they make it in time? Or will Shobu lose everything and end up devastated!? (Source: DuelMasters.wikia.com)","['Prequel (TV) Duel Masters', 'Sequel (TV) Zero Duel Masters']",Duel Masters Charge,['Kids'],,,,,,
29,,ぷぎゅる,,['TV'],13,Finished Airing,"Apr 12, 2004 to Jul 5, 2004",['Spring 2004'],Unknown,"['Kids Station', 'Kodansha', 'Movic']","None found,",['Creators Dot Com'],['4-koma manga'],"['Comedy', 'Fantasy']",,3 min. per ep.,PG-13 - Teens 13 or older,5.75,#11167,#8461,"5,786",16,2624,"One day, an ordinal high school girl, Ma$%^&* (her name is left to your imagination), met Cheko, who was a maid came from a village of maids. She could melt, fly, and pull her head off... Anyway, strange people began to come, for example, a snow fairy who disliked cold, a large squid that could speak, scary persons, and the like. Pugyuru is a world of absurdity drawn by a hope of comedy. (Source: AnimeNfo)","['Adaptation (Manga) Pugyuru', '']",Pugyuru,,,,['School'],,,
30,,ダンドー,,['TV'],26,Finished Airing,"Apr 3, 2004 to Sep 25, 2004",['Spring 2004'],Saturdays at 09:30 (JST),"['TV Tokyo', 'HoriPro']",['Bandai Entertainment'],['Tokyo Kids'],['Manga'],"['Adventure', 'Sports']",,24 min. per ep.,G - All Ages,6.63,#6295,#8958,"4,978",3,2082,"Dandoh was playing a baseball game with friends Yuka and Kohei and hits a wild fly ball which crashes into the principal's potted plants. Rather than getting mad, the principal admires Dandoh's swing and introduces him to the world of golf. It's now an adventure in golf as Dandoh is under the watchful eye of a former pro-golfer. They enter a tournament together and play for a shot at the national championships. (Source: ANN)","['Adaptation (Manga) Dan Doh!!', '']",Dan Doh!!,['Shounen'],,,,,,
31,,レジェンズ 甦る竜王伝説,Legendz: Tale of the Dragon Kings,['TV'],50,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Unknown,"None found,","None found,",['Gallop'],Unknown,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,7.33,#2661,#9786,"3,810",48,1478,"When a crafty toy company ""Wiz"" also known in this show as Dark Wiz Company, finds crystals with the faint DNA of monsters known as ""Legendz"" are found and made into a battle game. A young boy named Shu receives one these crystals known as ""soul figures"" from his father after a baseball game. Legendz rapidly became popular and more and more children played it. Wiz employeys start to track down Shu for his special soul figure, for his soul figure can revive real legendz not just the little kiddy digital images! How will Shu fight his way to victory and claim this soul figure as his own? (Source: TV.com)","['Adaptation (Manga) Legendz', '']",Legendz: Yomigaeru Ryuuou Densetsu,,,,,,,
32,"Massugu ni Ikou. (2004), Go forward, Let's Go Straight Ahead!, Let's Walk Straight",まっすぐにいこう。第2期,,['TV'],5,Finished Airing,"Mar 27, 2004 to Apr 1, 2004",['Spring 2004'],Not scheduled once per week,['Yomiuri Telecasting'],"None found,",['Yumeta Company'],['Manga'],"['Comedy', 'Slice of Life']",,22 min. per ep.,PG - Children,6.53,#6900,#10822,"2,774",3,919,"Mametarou is a Crossbreed and this is about his daily activities and the friends he makes with his girlfriend, Hanako.","['Prequel (TV) Massugu ni Ikou.', 'Adaptation (Manga) Massugu ni Ikou.']",Massugu ni Ikou. 2nd Season,['Josei'],,,['Pets'],,,
33,AM Driver,Get Ride! アムドライバー,,['TV'],51,Finished Airing,"Apr 5, 2004 to Mar 28, 2005",['Spring 2004'],Mondays at 18:30 (JST),"['Nihon Ad Systems', 'Illumitoon Entertainment']","None found,",['Studio Deen'],Original,"['Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.25,#8573,#10905,"2,704",5,716,"In the future, human beings are attacked by beings called the Bug-chine, which appeared a few years back. No normal human weapon can defeat the Bug-chine, but there is hope. It is the AMDrivers that will save the earth. They are solders using the latest ""AM Technology"". With overwhelming power, they will beat the Bug-chine one after another and become heroes, as well as capture the hearts of their fans. (Source: ANN)",[],Get Ride! AMDriver,,,,['Mecha'],,,
34,"Panda Zeto, Robonimal Panda-Z: The Robonimation",パンダーゼット THE ROBONIMATION,,['TV'],30,Finished Airing,"Apr 12, 2004 to Oct 4, 2004",['Spring 2004'],Unknown,"['Bee Media', 'Dynamic Planning']",['Bandai Entertainment'],"['Bee Train', 'Synergy Japan']",['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Mecha', 'Parody']",5 min. per ep.,PG - Children,6.10,#9379,#11003,"2,621",2,916,"Panda-Z chronicles the misadventures of Pan Taron and his giant robot Panda-Z, as they battle the evil Skull Panda and his Warunimal forces. (Source: ANN)",[],Panda-Z: The Robonimation,['Kids'],,,,,,
35,"Mashumaro Taimusu, The Raspberry Times",マシュマロ通信 <タイムス>,,['TV'],52,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Sundays at 09:30 (JST),"['Studio Comet', 'Seoul Movie']","None found,","None found,",['Manga'],,,24 min. per ep.,G - All Ages,6.68,#6001,#12326,"1,747",9,664,"The series focuses on 7 children and a sheep-like character. Together, they work together as a team and hang out together. They wear various fashion through the series. They also have different colored hair. Sandy, a girl who has a pet sheep-like character named Cloud and 6 other children, Jasmine, Lime, Basil, Clove, Nattsu, and Cinnamon, became friends, they become a news reporter team. Each episode has the children dressed in various clothes. (Source: ANN)","['Adaptation (Manga) Marshmellow Tsuushin', '']",The Marshmallow Times,,,,,,['Slice of Life'],
36,Dogtato-kun,じゃがいぬくん,,['TV'],26,Finished Airing,"Apr 4, 2004 to Jul 18, 2004",['Spring 2004'],Unknown,['Aniplex'],"None found,","None found,",Original,"['Adventure', 'Fantasy', 'Slice of Life']",,3 min. per ep.,G - All Ages,6.44,#7462,#12599,"1,597",2,686,"Known in Japan as Jagainu-kun, Dogtato is the heartwarming tale of a dog that`s really a potato...or a potato that`s really a dog. Or something. (Jagaimo = potato, inu = dog, thus the name Jagainu/Dogtato.) Dogtato`s world is full of his lovable half-veggie, half-animal friends who are always getting into wacky hijinks and misadventures. (Source: AniDB)",[],Jagainu-kun,['Kids'],,,['Anthropomorphic'],,,
37,Grandpa Danger,絶体絶命でんぢゃらすじーさん,,['TV'],51,Finished Airing,"Apr 4, 2004 to Mar 27, 2005",['Spring 2004'],Unknown,"['Shogakukan', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],,,5 min. per ep.,PG - Children,5.76,#11136,#15426,718,2,148,"Grandpa Danger is a world where the great protector is Grandpa Danger! He's an expert at falling off of cliffs, dealing with a principal who suffers from a severe inferiority complex, and escaping the hidden dangers of sleep! He's a nonsensical, utterly disgusting, relentless prankster. Grandpa Danger's excessive phlegm and farts frustrate Grandson to hilarious extremes, and make you laugh until your stomach splits! (Source: AniDB)","['Prequel (TV) Zettai Zetsumei Dangerous Jiisan', 'Sequel (TV) Zettai Zetsumei Dangerous Jiisan (2005)', 'Adaptation (Manga) Zettai Zetsumei Dangerous Jiisan', '']",Zettai Zetsumei Dangerous Jiisan (2004),['Kids'],,,,,['Comedy'],
38,,それいけ! ズッコケ三人組,,['TV'],26,Finished Airing,"Apr 4, 2004 to Oct 3, 2004",['Spring 2004'],Unknown,['TV Tokyo'],"None found,",['Nippon Animation'],Novel,,,25 min. per ep.,PG - Children,[],#14562,#17816,435,0,,"Based on Nasu Masamoto's Zukkoke Sannin-gumi juvenile novels series. The main characters are 6 grade boys, Hachibei, Hakase, and Mo-chan. This anime shows their adventures. (Source: AnimeNfo)",[],Sore Ike! Zukkoke Sannin-gumi,['Kids'],,,['School'],,['Comedy'],
39,,아쿠아 키즈,Aqua Kids,['TV'],26,Finished Airing,"Apr 1, 2004 to Sep 23, 2004",['Spring 2004'],Thursdays at Unknown,"None found,","None found,",['CinePix'],Original,,,26 min. per ep.,G - All Ages,[],#16626,#18029,418,3,,The polar ice caps have melted due to global warming. The human race has been stuck on one island as the marine life begins to evolve. Kids use a submarine and the help of their robot companions to explore the depths and come upon an ancient secret underwater civilization with treasure. It's a new hope for the human race to live under water but a money hungry real-estate tycoon stands in their way of peace.,[],Aqua Kids,['Kids'],,,,,['Adventure'],
40,"Genki Genki Nontan, Genki! Genki! Nontan, Genki Genki Nontan 2",げんき げんき ノンタン,,['TV'],10,Finished Airing,"Apr 20, 2004 to May 3, 2004",['Spring 2004'],Unknown,['Nippon Columbia'],"None found,",['Polygon Pictures'],Picture book,,,6 min. per ep.,G - All Ages,[],#18167,#19079,341,0,,Direct continuation of the first season. Also labeled as episode 16-25.,"['Prequel (TV) Genki Genki Non-tan', 'Sequel (TV) Genki Genki Non-tan (2006)']",Genki Genki Non-tan (2004),['Kids'],,,['Music'],,,
41,,パンツぱんくろう,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#20968,#19439,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,['Kids'],,,,,,
42,,モリゾーとキッコロ,,['TV'],52,Finished Airing,"Apr 3, 2004 to Sep 24, 2004",['Spring 2004'],Unknown,"None found,","None found,","None found,",Unknown,,,5 min. per ep.,PG - Children,[],#20431,#19508,314,0,,"Morizo and Kikkoro are the official mascot characters of EXPO 2004 Aichi, Japan. They are fairies of forest, they teach us the strength and beauty of nature that we tend to forget. The EXPO will be held on Kasho Forest in Seto, where Morizo and Kikkoro, the fairies of forest, are living. Morizo is an old and knowledgeable creature that has been living for thousands years. Kikkoro was a child of forest born little before, and he likes Kikkoro very much He is curious about everything he sees, and his daily lives are full of wonders. (Source: AnimeNfo)",[],Morizo to Kikkoro,['Kids'],,,,,,
43,,のってけエクスプレッツ,,['TV'],26,Finished Airing,"Apr 4, 2004 to Jul 18, 2004",['Spring 2004'],Unknown,"['TBS', 'Milky Cartoon']","None found,","None found,",Unknown,,,3 min. per ep.,PG - Children,[],#20754,#20366,266,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Notteke Explet's,['Kids'],,,,,,
44,,알렉스의 모험,,['TV'],26,Finished Airing,"Mar 20, 2004 to Jun 2004",['Spring 2004'],Unknown,"None found,","None found,","None found,",Unknown,,,25 min. per ep.,G - All Ages,[],#16554,#21780,188,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Allegseuui Moheom,['Kids'],,,,,['Fantasy'],
45,NARUTO,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,857","82,502",2044700,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,['Shounen'],,,['Martial Arts'],,,
46,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,341","234,813",1420096,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,['Shounen'],,,,,,
47,"Hagane no Renkinjutsushi, FMA, Full Metal Alchemist",鋼の錬金術師,Fullmetal Alchemist,['TV'],51,Finished Airing,"Oct 4, 2003 to Oct 2, 2004",['Fall 2003'],Saturdays at 18:00 (JST),"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']","['Funimation', 'Aniplex of America']",['Bones'],['Manga'],"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",,24 min. per ep.,R - 17+ (violence & profanity),8.11,#517,#83,"1,510,097","26,278",910072,"Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation, Edward loses his brother as well as two of his limbs. With his supreme alchemy skills, Edward binds Alphonse's soul to a large suit of armor. A year later, Edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the Philosopher's Stone. The fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However, the Elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined. [Written by MAL Rewrite]","['Sequel (Movie) Fullmetal Alchemist: The Conqueror of Shamballa', 'Adaptation (Manga) Fullmetal Alchemist Read Manga', 'Adaptation (Light Novel) Fullmetal Alchemist', '']",Fullmetal Alchemist,['Shounen'],,,['Military'],,,
48,Inu Yasha,犬夜叉,InuYasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,151","19,335",402552,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,['Shounen'],Inuyasha,,,,,
49,Mousou Dairinin,妄想代理人,Paranoia Agent,['TV'],13,Finished Airing,"Feb 3, 2004 to May 18, 2004",['Winter 2004'],Saturdays at 00:00 (JST),"['WOWOW', 'Asmik Ace', 'Tohokushinsha Film Corporation']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],Original,"['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Supernatural', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",24 min. per ep.,R+ - Mild Nudity,7.66,#1391,#552,"442,973","5,916",170574,"The infamous Shounen Bat is terrorizing the residents of Musashino City. Flying around on his rollerblades and beating people down with a golden baseball bat, the assailant seems impossible to catch—much less understand. His first victim, the well-known yet timid character designer Tsukiko Sagi, is suspected of orchestrating the attacks. Believed only by her anthropomorphic pink stuffed animal, Maromi, Tsukiko is just one of Shounen Bat's many victims. As Shounen Bat continues his relentless assault on the town, detectives Keiichi Ikari and Mitsuhiro Maniwa begin to investigate the identity of the attacker. However, more and more people fall victim to the notorious golden bat, and news of the assailant begins circulating around the town. Paranoia starts to set in as chilling rumors spread amongst adults and children alike. Will the two detectives be able to unravel the truth behind Shounen Bat, or will the paranoia get to them first? [Written by MAL Rewrite]",[],Mousou Dairinin,,Paranoia Agent,Paranoia Agent,,Paranoja Agent,,
50,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#603,"412,177","5,011",259893,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,['Shounen'],,Yu-Gi-Oh!,['Strategy Game'],,,
