,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Spanish,French,Theme,German,Genre,Demographics
10,Bakuretsu Tenshi,爆裂天使,Burst Angel,['TV'],24,Finished Airing,"Apr 7, 2004 to Sep 15, 2004",['Spring 2004'],Tuesdays at 02:12 (JST),"['GDH', 'TV Asahi', 'Imagica']",['Funimation'],['Gonzo'],Original,"['Action', 'Adventure', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.78,#5422,#2689,"73,631",239,32006,"In Japan's not-too-distant future, crime has become so common that the government has legalised firearms for citizens to use in self-defence. To combat this new wave of wrongdoing, the Recently Armed Police of Tokyo was established in hopes of hunting down criminals with lethal force. Kyohei Tachibana is a gifted culinary student who dreams of saving up enough money to become a pastry chef in France. When four young mercenaries ask him to be their cook, he's forced into making a tough choice. As Jo, Meg, Sei, and Amy take on the bloodiest jobs in the chaotic city of Tokyo, Kyohei accepts an imminent descent into the world of crime—and he'll do a lot more than just cooking!","['Prequel (OVA) Bakuretsu Tenshi: Infinity', ""Adaptation (Manga) Bakuretsu Tenshi: Angel's Adolescence""]",Bakuretsu Tenshi,,,,['Mecha'],Burst Angel,,
11,,この醜くも美しい世界,This Ugly Yet Beautiful World,['TV'],12,Finished Airing,"Apr 2, 2004 to Jun 18, 2004",['Spring 2004'],Fridays at 00:30 (JST),"['TBS', 'Rondo Robe', 'Movic', 'Geneon Entertainment']",['ADV Films'],"['Gainax', 'Shaft']",Original,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.69,#5961,#2935,"63,146",163,29428,"High school student Takeru Takemoto works part time as a (motor)bike courier. During one of his deliveries, he saw a mysterious light passing him and fell into a forest. What he had found was a beautiful girl coming out from a glowing cocoon, calling herself ""Hikari."" While Takeru was quite embarrassed because of Hikari's nudity, a strange monster suddenly showed up and immediately attacked the two. Both Takeru and Hikari demonstrated the power of their other selves before Takeru had a clue of what's going on. (Source: ANN)","['Adaptation (Manga) Kono Minikuku mo Utsukushii Sekai', '']",Kono Minikuku mo Utsukushii Sekai,,,,,,,
12,,RAGNARÖK THE ANIMATION,Ragnarok the Animation,['TV'],26,Finished Airing,"Apr 7, 2004 to Sep 29, 2004",['Spring 2004'],Wednesdays at 01:30 (JST),"['Gonzo', 'Frontier Works']",['Funimation'],['G&G Entertainment'],Game,"['Action', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7411,#3274,"51,218",129,24874,"A great evil is sweeping over the realm; an evil that the young swordsman Roan and his life-long companion, the acolyte Yufa, must face head on! For these two travel toward their destiny, from the highest towers to the depths of the underworld, through forest and desert alike. With an ever-growing cast of fellow heroes, fate will grasp these travelers by their very souls and propel the band of skilled adventurers towards a noble end. Or ignoble, if they don't watch their step! Monsters are afoot and the way rife with danger and magic, the path forward may be unclear... But where will is strong, there is a way! Lessons wait in the depths of darkness, and good must prevail. The journey starts now! (Source: FUNimation Entertainment)",[],Ragnarök The Animation,,,Ragnarok The Animation,,,,
13,,マーメイドメロディーぴちぴちピッチピュア,,['TV'],39,Finished Airing,"Apr 3, 2004 to Dec 25, 2004",['Spring 2004'],Unknown,"['TV Aichi', 'Tokyu Agency', ""We've Inc.""]","None found,","['Actas', 'Synergy Japan']",['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Mahou Shoujo', 'Music']",24 min. per ep.,PG - Children,7.22,#3280,#3410,"47,534",264,25231,"After the final battle against Gaito, Sara had given her life to remain with him. The sea world is now at peace, but only with six mermaid princesses. While Caren, Noel, and Coco have returned to their kingdoms, it should be time for Lucia, Hanon, and Rina to do the same. After all, Mitsuki Tarou is leaving for Germany, and Doumoto Kaito is heading to Hawaii. Lucia is devestated, and when things couldn't get any worse, Kaito is lost at sea! Worst of all, a strange angel named Michel has appeared, wanting the mermaids to join him. But on the lighter side, Sara's spirit tells Lucia of Sara's successor, a young mermaid named Seira. The mermaids are in for another adventure!","['Prequel (TV) Mermaid Melody Pichi Pichi Pitch', 'Adaptation (Manga) Pichi Pichi Pitch: Mermaid Melody']",Mermaid Melody Pichi Pichi Pitch Pure,['Shoujo'],,,,,,
14,,マドラックス,,['TV'],26,Finished Airing,"Apr 6, 2004 to Sep 28, 2004",['Spring 2004'],Tuesdays at 01:30 (JST),['Victor Entertainment'],['ADV Films'],['Bee Train'],Original,"['Drama', 'Mystery', 'Supernatural']","['Military', 'Psychological']",24 min. per ep.,PG-13 - Teens 13 or older,7.01,#4363,#3577,"43,940",157,14053,"In the country of Gazth-Sonika, civil war rages. There, a mercenary called Madlax plies her trade, with almost supernatural skill. In the seemingly peaceful country of Nafrece, Margaret Burton lives a tranquil life. As separate as their lives may seem, the two are connected by ties of mystery, and by a holy book that is also sought by the shadowy organisation, Enfant. As Margaret and Madlax follow the path of their destiny, they come ever closer to uncovering the truth - with no guarantee that it is a truth they can bear to learn. (Source: ANN)",[],Madlax,,,,,,,
15,"Mahou Shoujo-tai Alice, Mahou Shoujotai, Magic-Girl Squad: Alice, Magical Girl Squad Arusu",魔法少女隊アルス,Tweeny Witches,['TV'],40,Finished Airing,"Apr 9, 2004 to Mar 4, 2005",['Spring 2004'],Fridays at 18:20 (JST),"['Sogo Vision', 'Tohokushinsha Film Corporation', 'Beyond C.']",['Media Blasters'],['Studio 4°C'],Original,"['Adventure', 'Comedy', 'Fantasy']",,9 min. per ep.,PG-13 - Teens 13 or older,7.03,#4227,#4185,"31,972",89,7090,"Arusu believes in magic. With all her heart, she believes that magic is possible and that it can be used for good deeds and fun games. But suddenly, she finds herself transported into another world, ruled by a mysterious elite of witches—and these witches don't seem to be in it for the fun. They're hard at work capturing sprites, the native magical beings of the world, and forcing them into slavery. Once Arusu realizes that her new surroundings aren't just a dream, she sets out to change things. (Source: ANN)",[],Mahou Shoujo-tai Arusu,,,,['Isekai'],,,
16,"Shura no Toki - Age of Chaos, Shura no Toki",陸奥圓明流外伝 修羅の刻,Time of Shura,['TV'],26,Finished Airing,"Apr 6, 2004 to Sep 28, 2004",['Spring 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Marvelous Entertainment', 'Media Factory']",['Media Blasters'],['Studio Comet'],['Manga'],,"['Historical', 'Martial Arts', 'Samurai']",23 min. per ep.,PG-13 - Teens 13 or older,7.54,#1796,#4639,"25,574",135,10310,"Legends tell of an invincible martial art known as Mutsu Enmei-Ryu, an unarmed style that allows the user to defeat any number of armed opponents using incredible speed and strength. This is the story of three generations of those who bear the name Mutsu, and their encounters and battles with the strongest fighters of their era. (Source: ANN)","['Adaptation (Manga) Mutsu Enmei-ryuu Gaiden: Shura no Toki', '']",Mutsu Enmei Ryuu Gaiden: Shura no Toki,['Shounen'],,L'Ère des Shura,,,['Action'],
17,Hanaukyo Maid Team: La Verite,花右京メイド隊 La Verite,Hanaukyo Maid Team: La Verite,['TV'],12,Finished Airing,"Apr 4, 2004 to Jun 20, 2004",['Spring 2004'],Mondays at 00:00 (JST),"None found,","['Sentai Filmworks', 'Geneon Entertainment USA']",['Daume'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,R+ - Mild Nudity,6.75,#5593,#4675,"25,103",16,11433,"After his mother passes away, Taro Hanaukyo is invited to his grandfather's home. There, he meets a beautiful maid named Mariel and finds out that his grandfather has retired to a remote island and has given him ownership of his estate. Taro also discovers that not only is the estate a colossal mansion, it has hundreds of gorgeous maids ready to serve him 24 hours a day, seven days a week. (Source: ANN)",[],Hanaukyou Maid-tai: La Verite,['Shounen'],,,['Harem'],,,
18,"Saiyuki Reload Gunlock, SRG",最遊記RELOAD GUNLOCK,Saiyuki Gunlock,['TV'],26,Finished Airing,"Apr 2, 2004 to Sep 24, 2004",['Spring 2004'],Fridays at 01:30 (JST),"None found,",['Geneon Entertainment USA'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.37,#2506,#4721,"24,547",48,8877,"The Sanzo Ikkou continues its westward journey, on a mission to prevent a demonic resurrection. As Genjo Sanzo, Cho Hakkai, Sha Gojyo, and Son Goku fight their way to their goal, their path is fraught with internal strife. When they encounter a formidable pair of adversaries from the west, the cohesion of the group -- and the fate of the mission -- may be at stake. (Source: ANN)","['Prequel (TV) Saiyuuki Reload', 'Sequel (TV) Saiyuuki Reload Blast', 'Adaptation (Manga) Saiyuuki Reload', '']",Saiyuuki Reload Gunlock,['Josei'],,Saiyuki Gunlock,['Mythology'],,,
19,,LOVE♥LOVE?,Love♥Love?,['TV'],9,Finished Airing,"May 4, 2004 to Jun 29, 2004",['Spring 2004'],Tuesdays at 00:35 (JST),['m.o.e.'],['Maiden Japan'],"['Imagin', 'Studio Live']",Original,"['Comedy', 'Romance', 'Ecchi']",,14 min. per ep.,R+ - Mild Nudity,5.83,#10753,#4848,"23,029",13,10082,"Naoto Ooizumi is the writer of the CosPrayers TV show, although this is a secret known only to the producer of the show, Mitsuki Ikuta. He has a crush on one of the actresses in the show, Natsumi Yagami. As the show proceeds so does their relationship, with many wacky twists and turns along the way. (Source: ANN)",[],Love♥Love?,,,,['Harem'],,,
