,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Demographic,Demographics
0,Dangan Ronpa: The Animation,ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION,Danganronpa: The Animation,Danganronpa: The Animation,Danganronpa: The Animation,Danganronpa: The Animation,['TV'],13,Finished Airing,"Jul 5, 2013 to Sep 27, 2013",['Summer 2013'],Fridays at 01:35 (JST),"['Geneon Universal Entertainment', 'Studio Hibari', 'Mainichi Broadcasting System', 'Showgate']",['Funimation'],['Lerche'],Visual novel,"['Horror', 'Mystery', 'Suspense']","['High Stakes Game', 'Psychological', 'School', 'Survival']",24 min. per ep.,R - 17+ (violence & profanity),7.20,#3348,#183,"970,480","8,395",560218,"Makoto Naegi, a teenager with no remarkable talent, is surprised to learn that he has been accepted into Hope's Peak Private Academy: an elite school that gathers the best students from various fields. Despite believing his admission was just a fluke, Naegi is delighted to attend an institution known for ensuring success to those who graduate. Determined, he enters the front doors of the prestigious academy. However, after losing consciousness inside, Naegi wakes up in a seemingly abandoned classroom. Failing to comprehend how he got there, Naegi begins to explore, and to his surprise, finds his classmates assembled in the gym. While everyone is trying to figure out what happened, they are confronted by the school principal—Monokuma, a robotic teddy bear. The mysterious toy explains that the freshmen are trapped inside the school with only one means of escape—kill a classmate without being discovered. Tension fills the air as Naegi and his classmates realize that they are faced with two choices: participate in Monokuma's killing game, or reside together in the school for the rest of their lives. [Written by MAL Rewrite]","['Sequel (TV) Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen', 'Sequel (TV) Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen', 'Adaptation (Manga) Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei', 'Adaptation (Manga) Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation']",Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,,,,
1,"High School DxD Dai 2-ki, High School DxD 2nd Season, High School DxD Second Season, Highschool DxD 2",ハイスクールD×D NEW,High School DxD New,,,,['TV'],12,Finished Airing,"Jul 7, 2013 to Sep 22, 2013",['Summer 2013'],Sundays at 20:30 (JST),"['Genco', 'Lantis', 'Media Factory', 'Movic', 'AT-X', 'Showgate', 'Q-Tec', 'Fujimi Shobo']",['Funimation'],['TNK'],['Light novel'],"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'Mythology', 'School']",26 min. per ep.,R+ - Mild Nudity,7.46,#2115,#193,"940,607","4,514",608507,"The misadventures of Issei Hyoudou, high school pervert and aspiring Harem King, continue on in High School DxD New. As the members of the Occult Research Club carry out their regular activities, it becomes increasingly obvious that there is something wrong with their Knight, the usually composed and alert Yuuto Kiba. Soon, Issei learns of Kiba's dark, bloody past and its connection to the mysterious Holy Swords. Once the subject of a cruel experiment, Kiba now seeks revenge on all those who wronged him. With the return of an old enemy, as well as the appearance of two new, Holy Sword-wielding beauties, it isn't long before Issei and his Devil comrades are plunged into a twisted plot once more. [Written by MAL Rewrite]","['Prequel (OVA) High School DxD OVA', 'Sequel (OVA) High School DxD New: Oppai, Tsutsumimasu!', 'Adaptation (Manga) High School DxD', 'Adaptation (Manga) High School DxD: Akuma no Oshigoto']",High School DxD New,,,,
2,フリー！,Free!,Free! - Iwatobi Swim Club,,Free! Iwatobi Swim Club,,['TV'],12,Finished Airing,"Jul 4, 2013 to Sep 26, 2013",['Summer 2013'],Thursdays at 00:30 (JST),"['Lantis', 'Iwatobi High School Swimming Club', 'Asahi Broadcasting']","['Funimation', 'Discotek Media', 'Crunchyroll']","['Kyoto Animation', 'Animation Do']",Original,,,23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2720,#249,"821,418","9,630",450732,"Haruka Nanase has a love for water and a passion for swimming. In elementary school, he competed in and won a relay race with his three friends Rin Matsuoka, Nagisa Hazuki, and Makoto Tachibana. After claiming victory at the tournament, the four friends went their separate ways. Years later, they reunite as high school students; however, Rin couldn't care less about returning to the way things used to be. Not only does he attend a different school, but the sole thing important to him is proving that he is a better swimmer than Haruka. After the bitter reunion, Haruka, Nagisa, and Makoto decide to form the Iwatobi High School Swim Club, but they will need a fourth member if they hope to take part in the upcoming tournament. Enter Rei Ryuugazaki, a former member of the track team whom Nagisa recruits. As the time to compete draws near, the four develop a close bond while training intensely to come out on top and settle things between Haruka and Rin once and for all. [Written by MAL Rewrite]","['Prequel (Movie) High☆Speed! Movie: Free! Starting Days', 'Sequel (TV) Free! Eternal Summer']",Free!,['Sports'],['School'],,
3,,ブラッドラッド,Blood Lad,,,,['TV'],10,Finished Airing,"Jul 8, 2013 to Sep 9, 2013",['Summer 2013'],Mondays at 00:30 (JST),"['Kadokawa Shoten', 'KlockWorx', 'flying DOG']",['VIZ Media'],"[""Brain's Base""]",['Manga'],"['Action', 'Comedy', 'Fantasy']","['Delinquents', 'Mythology', 'Vampire']",24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3157,#306,"706,801","2,083",368867,"Staz Charlie Blood is a powerful vampire who rules the Eastern district of Demon World. According to rumors, he is a bloodthirsty and merciless monster, but in reality, Staz is just an otaku obsessed with Japanese culture and completely uninterested in human blood. Leaving the management of his territory to his underlings, Staz spends his days lazing around, indulging in anime, manga, and games. When Fuyumi Yanagi, a Japanese girl, accidentally wanders through a portal leading into the demon world, Staz is overjoyed. But just as he is starting to feel an unusual attraction to her, his territory is attacked, resulting in Fuyumi's untimely death. She turns into a wandering ghost and the crestfallen Staz vows to resurrect her as this would mean being able to travel to the human world, something he has always dreamed of. Blood Lad follows Staz and Fuyumi, soon joined by the spatial magician Bell and the half-werewolf Wolf, as they travel to find a magic that can bring humans back to life. [Written by MAL Rewrite]","['Sequel (OVA) Blood Lad: Wagahai wa Neko de wa Nai', 'Adaptation (Manga) Blood Lad']",Blood Lad,,,['Seinen'],
4,"Nekomonogatari: Shiro, Kabukimonogatari, Otorimonogatari, Onimonogatari, Koimonogatari",〈物語〉シリーズ セカンドシーズン,Monogatari Series: Second Season,,,Monogatari Seconde Saison,['TV'],26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",['Summer 2013'],Sundays at 00:00 (JST),"['Aniplex', 'Kodansha', 'Cyclone Graphics']",['Aniplex of America'],['Shaft'],['Light novel'],"['Comedy', 'Mystery', 'Romance', 'Supernatural']",,25 min. per ep.,R - 17+ (violence & profanity),8.76,#46,#316,"691,490","23,862",368326,"Apparitions, oddities, and gods continue to manifest around Koyomi Araragi and his close-knit group of friends: Tsubasa Hanekawa, the group's modest genius; Shinobu Oshino, the resident doughnut-loving vampire; athletic deviant Suruga Kanbaru; bite-happy spirit Mayoi Hachikuji; Koyomi's cute admirer Nadeko Sengoku; and Hitagi Senjougahara, Koyomi's eclectic girlfriend. A new semester has begun and with graduation looming over Koyomi, he must quickly decide the paths he will walk, as well as the relationships he will form and friends that he will save. But as strange events begin to unfold, Koyomi is nowhere to be found, and a vicious tiger apparition has appeared in his absence. Hanekawa has become its target, and she quickly finds she must fend for herself. [Written by MAL Rewrite]","['Prequel (TV) Nisemonogatari', 'Sequel (TV Special) Hanamonogatari', 'Adaptation (Light Novel) Monogatari Series: Second Season', '']",Monogatari Series: Second Season,,['Vampire'],,
5,"Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!, It's Not My Fault That I'm Not Popular!, WataMote",私がモテないのはどう考えてもお前らが悪い!,"WataMote: No Matter How I Look At It, It's You Guys' Fault I'm Not Popular!","WATAMOTE: No Matter How I Look at It, It's You Guys Fault I'm Not Popular!","WATAMOTE: No Matter How I Look at It, It’s You Guys Fault I’m Not Popular!","WATAMOTE: No Matter How I Look at It, It's You Guys Fault I'm Not Popular!",['TV'],12,Finished Airing,"Jul 9, 2013 to Sep 24, 2013",['Summer 2013'],Tuesdays at 02:05 (JST),"['TV Tokyo', 'Media Factory', 'MediaNet', 'AT-X', 'DAX Production', 'Sony Music Communications', 'Bushiroad', 'Good Smile Company', 'NichiNare']",['Sentai Filmworks'],['SILVER LINK.'],['Web manga'],,"['Otaku Culture', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.99,#4443,#327,"676,025","5,958",350372,"After living 50 simulated high school lives and dating over 100 virtual boys, Tomoko Kuroki believes that she is ready to conquer her first year of high school. Little does she know that she is much less prepared than she would like to think. In reality, Tomoko is an introverted and awkward young girl, and she herself is the only one who doesn't realize it! With the help of her best friend, Yuu Naruse, and the support and love of her brother Tomoki, Tomoko attempts to brave the new world of high school life. Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! chronicles the life of a socially awkward and relatively friendless high school otaku as she attempts to overcome her personal barriers in order to live a fulfilling life. [Written by MAL Rewrite]","['Sequel (OVA) Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru', 'Adaptation (Manga) Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!']",Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,['Comedy'],,,
6,"Kami nomi zo Shiru Sekai III, Kami nomi zo Shiru Sekai 3, Kaminomi III, Kaminomi 3, The World God Only Knows III, The World God Only Knows 3",神のみぞ知るセカイ 女神篇,The World God Only Knows: Goddesses,The World God Only Knows: Goddesses,The World God Only Knows: Goddesses (Kami nomi zo Shiru Sekai: Megami-hen),The World God Only Knows: Goddesses,['TV'],12,Finished Airing,"Jul 9, 2013 to Sep 24, 2013",['Summer 2013'],Tuesdays at 01:35 (JST),"['TV Tokyo', 'Geneon Universal Entertainment', 'Shogakukan', 'Imagine']",['Sentai Filmworks'],['Manglobe'],['Manga'],"['Comedy', 'Romance', 'Supernatural']","['Harem', 'Otaku Culture']",24 min. per ep.,PG-13 - Teens 13 or older,7.98,#692,#715,"356,432","2,108",199143,"Having freed a myriad of women from the runaway spirits possessing their hearts, the ""God of Conquest"" Keima Katsuragi is confronted with a new task: find the Jupiter Sisters, the goddesses that sealed Old Hell in the past. Diana, the goddess that resides inside his childhood friend Tenri Ayukawa, explains that they have taken shelter in the hearts of the girls he had assisted previously. Moreover, once Diana and her sisters are reunited, their power can seal the runaway spirits away for good and relieve Keima of his exorcising duties. Though he is initially reluctant to get involved in yet another chore, everything changes when tragedy befalls one of the hosts. Discovering that the goddesses are being targeted by a mysterious organization known as Vintage, Keima is caught in a race against time to reunite the sisters and rescue the girl who has already fallen prey. With deeper resolve than ever before, Keima works together with demons Elsie and Haqua to recapture the hearts of the girls he had charmed in the past. However, the road ahead is a difficult one, as he is soon met with the consequences of his previous conquests. [Written by MAL Rewrite]","['Prequel (OVA) Kami nomi zo Shiru Sekai: Tenri-hen', 'Adaptation (Manga) Kami nomi zo Shiru Sekai']",Kami nomi zo Shiru Sekai: Megami-hen,,,['Shounen'],
7,,銀の匙,Silver Spoon,Silver Spoon,Silver Spoon,Silver Spoon,['TV'],11,Finished Airing,"Jul 12, 2013 to Sep 20, 2013",['Summer 2013'],Fridays at 00:45 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings']",['Aniplex of America'],['A-1 Pictures'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,8.09,#536,#874,"302,496","2,987",135035,"Yuugo Hachiken is studious, hard-working, and tired of trying to live up to expectations he just cannot meet. With the ushering in of a brand new school year, he decides to enroll in Ooezo Agricultural High School, a boarding school located in the Hokkaido countryside, as a means to escape from the stress brought upon by his parents. Initially convinced that he would do well at this institution, Hachiken is quickly proven wrong by his talented classmates, individuals who have been living on farms their entire lives and know just about everything when it comes to food, vegetables, and even the physiology of livestock! Whether it be waking up at five in the morning for strenuous labor or to take care of farm animals, Hachiken is a complete amateur when it comes to the harsh agricultural life. Gin no Saji follows the comedic story of a young student as he tries to fit into a completely new environment, meeting many unique people along the way. As he struggles to appreciate his surroundings, Hachiken hopes to discover his dreams, so that he may lead a fulfilling life on his own terms. [Written by MAL Rewrite]","['Sequel (TV) Gin no Saji 2nd Season', 'Adaptation (Manga) Gin no Saji']",Gin no Saji,['Comedy'],['School'],['Shounen'],
8,,Fate/kaleid liner プリズマ☆イリヤ,Fate/Kaleid Liner Prisma Illya,Fate/Kaleid Liner Prisma☆ Illya,Fate/Kaleid Liner Prisma☆ Illya,Fate/Kaleid Liner Prisma☆ Illya,['TV'],10,Finished Airing,"Jul 13, 2013 to Sep 14, 2013",['Summer 2013'],Saturdays at 01:30 (JST),"['Lantis', 'Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx', 'Notes', 'Dwango', 'Tokyo MX', 'Docomo Anime Store', 'Kadokawa Media House']",['Sentai Filmworks'],['SILVER LINK.'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.01,#4353,#909,"284,479","1,031",129118,"Mage's Association members Rin Toosaka and Luviagelita ""Luvia"" Edelfelt are tasked with finding and retrieving seven Class Cards, medieval artifacts containing the life essence of legendary Heroic Spirits. To aid them in their mission, they are granted the power of Ruby and Sapphire, two sentient Kaleidosticks that would enable them to transform themselves into magical girls and drastically increase their abilities. However, the two mages are on anything but good terms, prompting the Kaleidosticks to abandon them in search for new masters. They stumble upon two young schoolgirls—Illyasviel von Einzbern and Miyu—and quickly convince them to form a contract. With their new powers and responsibilities, Illya and Miyu set forth to collect all the Class Cards. [Written by MAL Rewrite]","['Sequel (TV) Fate/kaleid liner Prisma☆Illya 2wei!', 'Adaptation (Manga) Fate/kaleid liner Prisma☆Illya', 'Adaptation (Light Novel) Fate/kaleid liner Prisma☆Illya', '']",Fate/kaleid liner Prisma☆Illya,,['Mahou Shoujo'],,
9,,サーバント×サービス,Servant x Service,,,,['TV'],13,Finished Airing,"Jul 6, 2013 to Sep 28, 2013",['Summer 2013'],Saturdays at 03:08 (JST),"['Aniplex', 'Half H.P Studio', 'Asahi Broadcasting', 'Three S Studio']",['Aniplex of America'],['A-1 Pictures'],['4-koma manga'],,"['Adult Cast', 'Workplace']",23 min. per ep.,PG-13 - Teens 13 or older,7.61,#1525,#1136,"229,065",706,98631,"Frustrating, insufficient, and irritating is how most citizens would describe civil servants. However, three new employees are about to discover what really happens behind the scenes. Lucy Yamagami, bent on revenge against the civil servant who allowed her comically long name to be put on her birth certificate; Yutaka Hasebe, an easygoing guy always on the lookout for a place to slack off; and Saya Miyoshi, a nervous first-time worker, are about to experience the underwhelming satisfaction of being government employees. They are supposed to be trained by Taishi Ichimiya, but he has no idea how to do so, even though he has worked there for eight years. With an incompetent senior colleague and unfavorable confrontations with clients, the trio starts to lose faith in their chosen occupation but encourage each other to do their best. [Written by MAL Rewrite]","['Adaptation (Manga) Servant x Service', '']",Servant x Service,['Comedy'],,['Seinen'],
