,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,German,Spanish,French,Genre,Demographics
20,God and Spirit Combination Godannar!!,神魂合体ゴーダンナー！！,Marriage of God & Soul Godannar!!,['TV'],13,Finished Airing,"Oct 1, 2003 to Dec 24, 2003",['Fall 2003'],Unknown,['AIC'],"['ADV Films', 'Sentai Filmworks']","['OLM', 'AIC ASTA']",Original,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Mecha'],,24 min. per ep.,PG-13 - Teens 13 or older,6.63,#6339,#4883,"22,604",48,5534,"Five years ago, while battling an alien force known as the ""Mimesis,"" Dannar pilot Goh Saruwatari first met Anna Aoi. Today, on the day of their wedding, the ceremony is interrupted when the Mimesis strike again. As Goh struggles in his battle against the alien threat, Anna stumbles upon a top secret robot known as the ""Neo-Okusaer"" and uses it as a last-resort to save her fiancee. At that moment, Dannar and Neo-Okusaer merge to become the mighty robot ""Godannar."" (Source: ANN)","['Sequel (TV) Shinkon Gattai Godannar!! 2nd Season', '']",Shinkon Gattai Godannar!!,,,,Marriage of God & Soul Godannar!!,,
21,Binzume Yousei: Bottle Fairy,瓶詰妖精,Bottle Fairy,['TV'],13,Finished Airing,"Oct 4, 2003 to Dec 27, 2003",['Fall 2003'],Saturdays at Unknown,"['HAL Film Maker', 'Genco', 'Starchild Records']",['Geneon Entertainment USA'],['Xebec'],Original,"['Comedy', 'Fantasy']",['CGDCT'],,12 min. per ep.,G - All Ages,6.43,#7535,#5112,"20,319",63,8705,"Set in the year 2004, Binzume Yousei is a slice-of-life fairy tale that revolves around four fairies, each represented by four unique colors as seen with their magical bottle jars. These fairies are the extremely peppy Kururu, the reserved and feminine Chiriri, the samurai-loving tomboy Sarara, and the quiet yet quirky Hororo. Fascinated by the human world, these fairies arrived from the fairy world in hopes of participating in the annual traditions and overall way of human life. However, they have a very limited understanding of the human world. Luckily, they are befriended and guided by two humans—""Sensei-san,"" a university student who they live with, and a first-grade girl they call ""Tama-chan,"" who is sometimes as naive as the fairies themselves. Though these bottle fairies have strange ideas and sometimes have difficulty understanding this new world, they try to make the most of the human experience in their own cute little ways. [Written by MAL Rewrite]",[],Binzume Yousei,,,,,,
22,,アヴェンジャー,,['TV'],13,Finished Airing,"Oct 2, 2003 to Dec 25, 2003",['Fall 2003'],Thursdays at 01:00 (JST),['Yomiko Advertising'],['Bandai Entertainment'],['Bee Train'],Original,"['Adventure', 'Fantasy', 'Sci-Fi']",,,23 min. per ep.,R - 17+ (violence & profanity),5.85,#10655,#5290,"18,647",22,7293,"Mars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed.",[],Avenger,,,,,,
23,Rockman EXE Axess,ロックマンエグゼ Axess,MegaMan NT Warrior: Axess,['TV'],51,Finished Airing,"Oct 4, 2003 to Sep 25, 2004",['Fall 2003'],Unknown,"['TV Tokyo', 'Shogakukan Productions']",['VIZ Media'],['Xebec'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Strategy Game'],,24 min. per ep.,PG - Children,7.14,#3703,#5314,"18,475",49,8921,"Netto's father Yuuichirou Hikari has made a scientific breakthrough by introducing the ""synchro chips"". If an operator and his or her navi are in a special enviroment known as a ""dimensional area"", they can fuse together in the real world via a technique called ""cross fusion""! Yuuichirou's first test subject, Misaki Gorou, attempts the process and sadly fails. Netto offers to try with Rockman, but his father forbids it. Cross Fusion puts enormous strain on the operator's health, and battling in the real world could mean death. (Source: Official Site)","['Prequel (TV) Rockman.EXE', 'Sequel (TV) Rockman.EXE Stream']",Rockman.EXE Axess,,,,,,
24,,銀河鉄道物語,The Galaxy Railways,['TV'],26,Finished Airing,"Oct 5, 2003 to Apr 11, 2004",['Fall 2003'],Unknown,"['Ginga Ya', 'Studio Kyuuma', 'Trilogy Future Studio']",['Funimation'],['Planet'],Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Space'],,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#3998,#5958,"13,627",51,3731,"In the distant future, trains are no longer bound by their physical tracks. Instead, they take to the skies and travel across the universe on the Galaxy Railways, transporting mankind from planet to planet. However, the Galaxy Railways are no safer than traditional trains: criminals, terrorists, and vile aliens always find a way to stir up trouble. Manabu Yuuki, a rash and hot-headed man, is the latest addition to the Galaxy Railways' elite Space Defence Force (SDF). These brave men and women are responsible for protecting the railways and responding to any unprecedented danger, risking their lives to protect the innocent from evil. But as this drama unfolds and the SDF's greatest crisis draws nearer, Manabu must truly learn what it means to be a member of the SDF before it is too late. [Written by MAL Rewrite]","['Sequel (TV) Ginga Tetsudou Monogatari: Eien e no Bunkiten', 'Sequel (OVA) Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei']",Ginga Tetsudou Monogatari,,The Galaxy Railways,The Galaxy Railways,Galaxy Railways,,
25,,ふたつのスピカ,Twin Spica,['TV'],20,Finished Airing,"Nov 1, 2003 to Mar 27, 2004",['Fall 2003'],Saturdays at 09:00 (JST),['NHK'],"None found,",['Group TAC'],['Manga'],"['Drama', 'Sci-Fi', 'Supernatural']",['School'],,25 min. per ep.,PG-13 - Teens 13 or older,7.35,#2570,#6385,"11,423",71,4303,"When Kamogawa Asumi was just a baby, her mother was grievously injured when a rocket crashed to the ground. Five years later, having been in a coma all the time, Asumi's mother finally dies, and the little girl struggles to come to terms with the death of a mother she barely remembers. In the midst of her turmoil, she meets ""Lion-san,"" a strange figure wearing a lion mask and claiming to be a ghost. Lion-san helps Asumi to bury her mother's ashes, and finally, Asumi reaches her own decision: ""When I grow up, I'm going to be a rocket pilot."" (Source: ANN)","['Adaptation (Manga) Futatsu no Spica', '']",Futatsu no Spica,,,,,,
26,"UFO Princess Valkyrie - December's Nocturne, UFO Princess Walküre 2",円盤皇女ワるきゅーレ 十二月の夜想曲,UFO Ultramaiden Valkyrie 2: December Nocturne,['TV'],12,Finished Airing,"Oct 4, 2003 to Dec 20, 2003",['Fall 2003'],Saturdays at 01:15 (JST),"['Media Factory', 'KlockWorx', 'Toshiba Entertainment', 'Omnibus Promotion']",['ADV Films'],['TNK'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi']",,,23 min. per ep.,R+ - Mild Nudity,6.91,#4776,#6574,"10,651",15,4854,"Valkyrie, Kazuto, Akina, Hydra, and friends are back for more when the Key of time suddenly appears along with many other mysterious happenings. All seemed to be linked to a person named ""Valkyrie Ghost"" whose only goal is stealing Kazuto for herself. As they team up against this seeming unbeatable foe they dig deeper into the mysterious past of Valkyrie's home planet, Valhalla. (Source: ANN)","['Prequel (TV) UFO Princess Valkyrie', 'Sequel (OVA) UFO Princess Valkyrie 3: Seiresetsu no Hanayome']",UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,,,,,,
27,F-Zero: The Legend of Falcon,F-ZERO ファルコン伝説,F-Zero: GP Legend,['TV'],51,Finished Airing,"Oct 7, 2003 to Sep 28, 2004",['Fall 2003'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['4Kids Entertainment'],['Ashi Productions'],Game,"['Action', 'Adventure', 'Sci-Fi']",,,23 min. per ep.,PG - Children,6.52,#6968,#6779,"9,978",65,2869,"Rick Wheeler was a police detective who got into a fatal car accident while pursuing the criminal Zoda. He was placed into artificial coldsleep for 150 years. Wheeler is brought back to life by Jody Summer and Dr. Stewart, who work with a group of good racers who try to keep prize money out of the hands of unsavory people like the Dark Million Organization run by Black Shadow and Deathborn.",[],F-Zero: Falcon Densetsu,"['Mecha', 'Racing']",,,,,
28,Popolocrois Monogatari - Hajimari no Bouken,ポポロクロイス,,['TV'],26,Finished Airing,"Oct 5, 2003 to Mar 28, 2004",['Fall 2003'],Unknown,"['Tokyo Movie Shinsha', 'Tohokushinsha Film Corporation']","None found,",['TMS Entertainment'],Game,"['Adventure', 'Fantasy']",,,23 min. per ep.,PG - Children,6.79,#5377,#11046,"2,590",2,1024,"Pinon, the boy who flows within his body, the blood of the three races (the Dragons, the fairies and the humans), is actually the son of the Courageous One, Pietro. Pinon's encounter with a mysterious animal, Pap, opens up the door to an adventurous journey. He befriends Luna and Marco on the way. However, when he learns that his adventure will determine the fate of PoPoLoCrois, Pinon hardens his heart and leaves his friends. Unknown to him, this is an introductory chapter to a new adventure and Pinon will realise that he must resolve the bigger crisis present in PoPoLoCrois. (Source: ANN)","['Prequel (TV) Popolocrois Monogatari', '']",PopoloCrois,,,,,,
29,Papuwa 2,パプワ,,['TV'],26,Finished Airing,"Sep 30, 2003 to Mar 30, 2004",['Fall 2003'],Tuesdays at 18:00 (JST),['Sotsu'],['ADV Films'],['Nippon Animation'],['Manga'],"['Adventure', 'Comedy']",,,23 min. per ep.,R+ - Mild Nudity,6.60,#6490,#11551,"2,234",10,872,"In this sequel series, events continue four years after they left off in the first series. Papuwa-kun is a mysterious boy who lives on a new tropical island full of the same crazy creatures. Along with his maid, Liquid, and his new amnestic friend, ""Rotarou"", they lead nonsensical adventures as they try to evade and confuse the Ganma Army, Special Corps, and even the Shinsengumi from discovering Rotarou's real secret and taking him away. (Source: ANN)","['Prequel (TV) Nangoku Shounen Papuwa-kun', '']",Papuwa,,,,,,
30,"Tea-dog, Tea Dogs",お茶犬 ちょこっとものがたり,,['TV'],26,Finished Airing,"Oct 6, 2003 to Apr 1, 2004",['Fall 2003'],Unknown,['Four Some'],"None found,","None found,",Unknown,,,['Kids'],4 min. per ep.,G - All Ages,6.28,#8382,#12940,"1,440",8,515,"Ocha-ken is a children's program about tea-dogs and tea-cats, each representing a different blend. The episodes are very short and geared to teaching the audience various values. The lesson, or moral of the episode is displayed at the end. (Source: AniDB)","['Sequel (TV) Ocha-ken: Hotto Monogatari', '']",Ocha-ken: Chokotto Monogatari,,,,,['Comedy'],
31,Pororo the Little Penguin,뽀롱뽀롱 뽀로로,,['TV'],52,Finished Airing,"Nov 27, 2003 to May 18, 2004",['Fall 2003'],Unknown,['EBS'],"None found,","None found,",Original,,,['Kids'],5 min. per ep.,G - All Ages,6.00,#9925,#13846,"1,119",3,456,"The curious penguin Pororo is out exploring one day when he stumbles upon a mysterious egg. Planning on eating it, Pororo decides to take it home. However, the egg hatches in front of his eyes, and to his surprise a dinosaur emerges, staring him in the face. Though terrified at first, Pororo soon befriends the lovable pint-sized creature and the two go on many adventures with the rest of their friends. Within this gang of friends, there is the dinosaur Crong, a playful troublemaker; the fox Eddy, a trickster and inventor; the beaver Loopy, an artistic baker; and the polar bear Poby, a photographer and fisherman with a generous heart. When all these friends get together, they are sure to get into mischief. Porong Porong Pororo follows Pororo and his friends as they venture through their daily lives. Confronting every new adventure and challenge, Pororo and the gang will learn courage, compassion, and what it truly means to be a good friend. [Written by MAL Rewrite]","['Sequel (TV) Porong Porong Pororo 2', '']",Porong Porong Pororo,,,Pororo: El Pequeño Pingüino,,,
32,,ミッドナイトホラースクール,,['TV'],52,Finished Airing,"Oct 1, 2003 to Mar 24, 2004",['Fall 2003'],Wednesdays at 15:30 (JST),['Milky Cartoon'],"None found,","None found,",Unknown,,,,11 min. per ep.,None,6.28,#8378,#14356,979,4,146,"The school has 26 students with each name of them beginning with a letter of the alphabet in order and a color, 3 teachers, 3 classrooms, a library, a cafeteria, a music room, a playroom, a fountain, a skeleton playground, a graveyard and several school staff. (Source: Wikipedia)",[],Midnight Horror School,,,,,['Comedy'],
33,Sou Nanda,おもいっきり科学アドベンチャー そーなんだ!,Full-Blast Science Adventure: So That's How It Is!,['TV'],26,Finished Airing,"Oct 5, 2003 to Mar 28, 2004",['Fall 2003'],Unknown,"['TV Tokyo', 'Dentsu', 'WAO World', 'Future Planet', 'Geneon Entertainment']","None found,",['OLM'],Original,"['Comedy', 'Sci-Fi']",,['Kids'],20 min. per ep.,None,[],#20838,#15496,707,1,,"After a soccer game one day, six kids are playing a cute RPG-looking video game at their homes. One of them scored the winning goal, one was the goal keeper who barely missed the ball, and the others were two groups of two who were rooting for their respective sides. Suddenly, when they defeat a boss, a strange thing pops up in front of them, and they're sucked into the game world! Tomoru (scorer), Mio, and Dai end up together with Professor Galileo, who tells them that he's the one that created this game that they`ve appeared in, called Eureka, but he inadvertently got sucked into it as well. In order to get back to their world, they need to clear missions that pop up in certain areas of the world. So when a mission appears, Tomoru and the gang make the professor take them along. When they get to area C-1, they find that not only do they have a mission, but they have a rival group! The rival professor has brought their rivals from the soccer game, Yukio, Suzuka, and Kouta, with him! Their mission, of course, is a scientific one. First the computer explains how lightning is formed, and then they have to figure out a way to stop the lightning to clear the mission! Tomoru and company manage to get it done, and get a Eureka Stone, letting them get back to their world! Except... the gateway back actually needs ten Eureka Stones total before it will open! Sounds like there's a lot of science to be learned and missions to be cleared before they can go home. (Source: Jascii.net)",[],Omoikkiri Kagaku Adventure Sou Nanda!,,,,,,
34,Grandpa Danger,絶体絶命でんぢゃらすじーさん,,['TV'],33,Finished Airing,Oct 2003 to Mar 2004,['Fall 2003'],Unknown,"None found,","None found,","None found,",['Manga'],,,['Kids'],35 sec. per ep.,G - All Ages,5.50,#12120,#16995,509,0,140,"Grandpa Danger is a world where the great protector is Grandpa Danger! He's an expert at falling off of cliffs, dealing with a principal who suffers from a severe inferiority complex, and escaping the hidden dangers of sleep! He's a nonsensical, utterly disgusting, relentless prankster. Grandpa Danger's excessive phlegm and farts frustrate Grandson to hilarious extremes, and make you laugh until your stomach splits! (Source: AniDB)","['Sequel (TV) Zettai Zetsumei Dangerous Jiisan (2004)', 'Adaptation (Manga) Zettai Zetsumei Dangerous Jiisan']",Zettai Zetsumei Dangerous Jiisan,,,,,['Comedy'],
35,,まゆとろ THE TOONS,,['TV'],33,Finished Airing,"Oct 1, 2003 to Mar 1, 2004",['Fall 2003'],Unknown,"None found,","None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,['Kids'],2 min. per ep.,G - All Ages,[],#20086,#19187,335,0,,No synopsis has been added for this series yet. Click here to update this information.,[],Mayutoro The Toons,,,,,,
36,NARUTO,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,967,015","82,512",2044904,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despise him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,,,,,,
37,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,568","234,836",1420232,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,,,
38,Inu Yasha,犬夜叉,InuYasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,189","19,337",402579,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",,Inuyasha,,,
39,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Strategy Game'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1978,#603,"412,191","5,011",259903,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,,,Yu-Gi-Oh!,,
40,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,892","15,328",164366,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,Case Closed,,,,
41,"Full Metal Panic Fumoffu, Fullmetal Panic? Fumoffu",フルメタル・パニック? ふもっふ,Full Metal Panic? Fumoffu,['TV'],12,Finished Airing,"Aug 26, 2003 to Nov 18, 2003",['Summer 2003'],Tuesdays at 02:28 (JST),"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']","['ADV Films', 'Funimation']",['Kyoto Animation'],['Light novel'],"['Action', 'Comedy']",,,24 min. per ep.,PG-13 - Teens 13 or older,8.02,#644,#869,"303,598","2,977",178503,"Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check. To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu."" Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause. [Written by MAL Rewrite]","['Adaptation (Light Novel) Full Metal Panic! Tanpenshuu', 'Adaptation (Light Novel) Full Metal Panic! Side Arms']",Full Metal Panic? Fumoffu,"['Gag Humor', 'School']",,,,,
42,"Pocket Monsters: Advanced Generation, Advanced Challenge, Advanced Battle, Battle Frontier",ポケットモンスター　アドバンスジェネレーション,Pokémon: Advanced,['TV'],192,Finished Airing,"Nov 21, 2002 to Sep 14, 2006",['Fall 2002'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.13,#3776,#1307,"195,946",295,120800,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League. (Source: ANN, edited)","['Prequel (TV) Pokemon', 'Sequel (TV) Pokemon Diamond & Pearl']",Pokemon Advanced Generation,,Pokémon: Rubin und Saphir,Pokémon Advanced,Pokémon Advance,,
43,"TeniPuri, PoT",テニスの王子様,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,['School'],['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,933","3,041",86561,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,,,,The Prince of Tennis,['Sports'],
44,,金色のガッシュベル!!,Zatch Bell!,['TV'],150,Finished Airing,"Apr 6, 2003 to Mar 26, 2006",['Spring 2003'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['VIZ Media', 'Flatiron Film Company']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",['Mythology'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.55,#1773,#1817,"132,190","1,314",62537,"Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.","['Adaptation (Manga) Konjiki no Gash!!', '']",Konjiki no Gash Bell!!,,,,Zatch Bell!,,
45,Kaleido Star: New Wings,カレイドスター,Kaleido Star,['TV'],51,Finished Airing,"Apr 3, 2003 to Mar 27, 2004",['Spring 2003'],Saturdays at 09:30 (JST),"['Production I.G', 'TV Tokyo', 'HAL Film Maker', 'HoriPro', 'MediaNet']","['ADV Films', 'Funimation']",['Gonzo'],Original,"['Comedy', 'Drama', 'Supernatural']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.90,#812,#2390,"88,830","1,318",36837,"The Kaleido Stage is known throughout the world for captivating audiences with its amazing acrobatics, innovative routines, and extravagant costumes and sets. It is a place for guests to believe in magic, and Sora Naegino wants nothing more than to be a part of that magic—by becoming an acrobat for the famed circus herself. To realize her dream, she travels from Japan to California to audition for a place in the group. However, Sora learns that she needs much more than her natural talent to bring joy to the faces in the crowd. She quickly discovers just how difficult it is to be a professional performer where the stakes—and the stunts—are higher and mistakes spell danger! To put on performances worthy of the Kaleido Stage, she will need to endure rigorous training, unconventional assignments, fierce competition, and the antics of a mischievous spirit named Fool. Can Sora reach new heights, make new friends, conquer her fears, and surpass her limits to become a Kaleido Star? [Written by MAL Rewrite]","['Sequel (OVA) Kaleido Star: Aratanaru Tsubasa - Extra Stage', '']",Kaleido Star,"['Performing Arts', 'Showbiz']",,,,,
