,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,German,Spanish,French,Genre,Demographics
10,"Read or Die TV, Read or Die, ROD, Read or Die: the TV, Read or Dream, R.O.D. TV",アール・オー・ディー ザ・ティーヴィー,R.O.D -The TV-,['TV'],26,Finished Airing,"Sep 1, 2003 to Mar 16, 2004",['Fall 2003'],Not scheduled once per week,"['Aniplex', 'Studio Deen', 'Broccoli', 'Sony Music Entertainment']","['Aniplex of America', 'Geneon Entertainment USA']",['J.C.Staff'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",['Super Power'],,25 min. per ep.,R+ - Mild Nudity,7.52,#1905,#2737,"71,819",434,29556,"Anita King, Maggie Mui, and Michelle Cheung are the Paper Sisters. They run the Three Sisters Detective Agency in Hong Kong which is dedicated to solving cases involving books. They are hired as local guides for Nenene Sumiregawa, a Japanese novelist who has been struggling with writer's block following the disappearance of her longtime friend, Yomiko Readman. The sisters are all Paper Masters—individuals with the power to control paper—and with their abilities, they save Nenene from the dangerous terrorists targeting her at a book signing. But in case they strike again, the sisters remain as her bodyguards to protect her from further harm. This is a dream come true for bookworms Maggie and Michelle who love Nenene's stories, but the young Anita cannot stand books despite her powers over paper. The three struggle to adapt to their new daily life in Japan, guarding Nenene while continuing their detective work under a mysterious organization, Dokusensha. However, the more they get to know Nenene, the more they discover the link between her, the disappearance of her friend Yomiko, and the mysterious books Dokusensha sends the Paper Masters to investigate. What began as a simple job ends up a bigger case than they have ever had before. Are these girls really willing to risk their lives over literature? [Written by MAL Rewrite]","['Prequel (OVA) R.O.D: Read or Die', 'Adaptation (Manga) R.O.D: Read or Dream']",R.O.D: The TV,,,,R.O.D -The TV-,,
11,Bluer Than Indigo: Fate,藍より青し～縁～,Ai Yori Aoshi: Enishi,['TV'],12,Finished Airing,"Oct 13, 2003 to Dec 29, 2003",['Fall 2003'],Unknown,"['Rondo Robe', 'Movic', 'Cosmic Ray']","['Funimation', 'Geneon Entertainment USA']",['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance']",['Harem'],['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.11,#3834,#2995,"61,023",87,33475,"Two years after meeting Aoi, Kaoru and gang are still up to their normal habits. Kaoru now in grad school and the tenants being as rowdy as ever what will become of Aoi and Kaoru's love. Two years has passed since Aoi and Kaoru were freed from the bonds of their families. They continue to live their normal lives with their usual friends in their house.","['Prequel (TV) Ai Yori Aoshi', 'Adaptation (Manga) Ai yori Aoshi']",Ai Yori Aoshi: Enishi,,,,,,
12,"Peacemaker Kurogane, PMK",PEACE MAKER 鐵,Peace Maker Kurogane,['TV'],24,Finished Airing,"Oct 8, 2003 to Mar 24, 2004",['Fall 2003'],Unknown,"['GDH', 'TV Asahi', 'Imagica']","['ADV Films', 'Funimation']",['Gonzo'],['Manga'],"['Action', 'Comedy']",,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.29,#2876,#3019,"59,647",273,23953,"Although traumatized by witnessing the murder of his parents by one of the Choushuu, Ichimura Tetsunosuke's thirst for revenge lead him to desire strength. At the age of 15, Tetsunosuke approached the Shinsengumi, wanting to become one of its members. However, Tetsunosuke lacked the skill, mind and will to emotionlessly cut down whoever threatened peace and the Shinsengumi. Even with the support of his brother Tatsunosuke and his newfound friends of the Shinsengumi, little did Tetsunosuke know the blood and pain he would have to face being part of this historical group.","['Sequel (Movie) Peace Maker Kurogane Movie 1: Omou Michi', 'Adaptation (Manga) Shinsengumi Imon Peace Maker']",Peace Maker Kurogane,"['Historical', 'Samurai']",,,,,
13,,ギルガメッシュ,Gilgamesh,['TV'],26,Finished Airing,"Oct 2, 2003 to Mar 18, 2004",['Fall 2003'],Unknown,['Kansai Telecasting'],['ADV Films'],"['Group TAC', 'Japan Vistec']",['Manga'],"['Drama', 'Fantasy', 'Sci-Fi']",,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),6.59,#6534,#3573,"44,054",194,11964,"In an attempt to gather information on immortality, scientists from around the world have assembled to study ""Heaven's Gate""—the tomb turned laboratory of the mythical king Gilgamesh. But soon enough, the research is deemed unethical and all planned work comes to a halt. However, a group of terrorists pay this no thought and storm into Heaven's Gate, ultimately causing an explosion that leads to the collapse of the advanced information civilization. Many years after the incident, the siblings Tatsuya and Kiyoko Madoka are on the run from thugs. Yet this seems to be the least of their worries as they find themselves in the midst of a war between two powerful cryptic factions. With both groups claiming to fight for the betterment of society, Tatsuya and Kiyoko will have to find a way to decide who to trust. [Written by MAL Rewrite]","['Adaptation (Manga) Gilgamesh', '']",Gilgamesh,,,,,,
14,"Hundred Stories, 100 Stories, Natsuhiko Kyougoku's Worldly Horror Stories",京極夏彦　巷説百物語,Requiem from the Darkness,['TV'],13,Finished Airing,"Oct 4, 2003 to Dec 27, 2003",['Fall 2003'],Saturdays at 01:35 (JST),"['Tokyo Movie Shinsha', 'RCC Chugoku Broadcasting', 'TOHO', 'Tohokushinsha Film Corporation', 'RKB Mainichi Broadcasting Corporation']","['Discotek Media', 'Geneon Entertainment USA']",['TMS Entertainment'],Novel,"['Horror', 'Mystery', 'Supernatural']",,,24 min. per ep.,R - 17+ (violence & profanity),7.07,#4073,#3677,"41,760",136,10622,"In an attempt to turn his floundering career around by compiling one hundred ghost stories, struggling author Momosuke Yamaoka roams through Edo-period Japan searching for material. During his travels, the young man wanders deep into the mountains, where he encounters a monk named Mataichi. Failing to heed the monk's advice to turn back, Momosuke presses forward and soon witnesses a murder carried out by Mataichi and his two associates. As it turns out, Mataichi's gang also investigates paranormal incidents—aiming to make those in the wrong pay the ultimate price. Continuing to seek out subject matter for his stories, Momosuke repeatedly crosses paths with the trio of outlaws, becoming increasingly involved in their schemes each time. As the author strays further toward the world of darkness, he grapples with both the morality of the group's actions and the line between humans and the supernatural. [Written by MAL Rewrite]",[],Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"['Gore', 'Historical', 'Mythology', 'Psychological']",,,Requiem from the Darkness,,
15,"Saiyuki Reloaded, Saiyuki 2, Saiyuki R",最遊記RELOAD,Saiyuki Reload,['TV'],25,Finished Airing,"Oct 2, 2003 to Mar 25, 2004",['Fall 2003'],Thursdays at 18:30 (JST),"None found,","['Discotek Media', 'Geneon Entertainment USA']",['Pierrot'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Mythology'],['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,7.36,#2527,#3897,"37,034",118,13944,"Priest Genjo Sanzo and companions Cho Hakkai, Sha Gojyo, and Son Goku maintain their westward journey to stop the resurrection of the demon Gyoumao. As the reputation of the Sanzo Ikkou precedes them, they continue to fight demon assassins at every turn, but they must also deal with increasing tensions within their group in order to defeat a powerful enemy. (Source: ANN)","['Prequel (TV) Gensoumaden Saiyuuki', 'Sequel (TV) Saiyuuki Reload Gunlock', 'Sequel (TV) Saiyuuki Reload: Zeroin', 'Adaptation (Manga) Saiyuuki Read Manga']",Saiyuuki Reload,,Saiyuki Reload,Saiyuki Reload,Saiyuki Reload,,
16,BPS,バトルプログラマーシラセ,,['TV'],15,Finished Airing,"Oct 4, 2003 to Jan 4, 2004",['Fall 2003'],Unknown,"['GANSIS', 'Omnibus Promotion']",['Maiden Japan'],['AIC'],Original,"['Comedy', 'Sci-Fi', 'Ecchi']",,,12 min. per ep.,PG-13 - Teens 13 or older,6.87,#4964,#3908,"36,860",119,16623,"Battle Programmer Shirase, also known as BPS, is a free programmer with super hacking abilities who doesn't work for money. What he does work for is certainly something that only people like him would appreciate. But, his demeanor certainly doesn't suit the jobs he is hired for. With the evil King of America causing trouble via the internet, Shirase is nothing but busy as each new adventure brings even more interesting people into the picture. (Source: ANN)",[],Battle Programmer Shirase,,,,Battle Programmer SHIRASE,,
17,"YamiBou, Traveller of Darkness, Hat and Book Traveler, Traveller Yami, Hat and Book",ヤミと帽子と本の旅人,"Yamibo: Darkness, The Hat and the Travelers of the Books",['TV'],13,Finished Airing,"Oct 2, 2003 to Dec 25, 2003",['Fall 2003'],Unknown,"None found,",['Media Blasters'],['Studio Deen'],Visual novel,"['Adventure', 'Fantasy', 'Girls Love', 'Mystery', 'Ecchi']",,,24 min. per ep.,R+ - Mild Nudity,6.51,#7032,#4196,"31,716",110,11062,"Hatsuki is a highschool student living with her sister, Hatsumi, who she has a huge crush on. On Hatsumi's 16th birthday, she is suddenly surrounded by a green light and disappears in front of Hatsuki. She manages to follow Hatsumi with the help of a being resembling a fat baby chick (literally), ending up in a place called ""The Great Library"", which is full of different worlds stored in books. Hatsumi wasn't there, though, so the search for Hatsuki's great love begins and involves traveling from book to book. (Source: AniDB)","['Adaptation (Manga) Yami to Boushi to Hon no Tabibito: Romance', '']",Yami to Boushi to Hon no Tabibito,,,,,,
18,"Uninhabited Planet Survive, Survivants, Survive! - Uninhabited Planet, Uninhabited Planet SURVIVE, Uninhabited Planet Survival",無人惑星サヴァイヴ,,['TV'],52,Finished Airing,"Oct 16, 2003 to Oct 28, 2004",['Fall 2003'],Unknown,['NHK'],"None found,","['Madhouse', 'Telecom Animation Film']",Original,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Slice of Life']",,,25 min. per ep.,G - All Ages,7.72,#1234,#4205,"31,573",325,10909,"The story is set in the 22nd century where space travel, planet colonization and anti-gravity basketball are practically everyday things. Planet Earth has become uninhabitable, and therefore people live in colonies on the surrounding planets. On a school field trip, a mistake causes the protagonist, a young transfer student named Luna, her pet robot, and six of her classmates to be thrown through a gravity storm and crash land on a seemingly uninhabited planet. There, with Luna as their leader, the robot cat Chako, the lone wolf Kaoru, the spoiled rich boy Howard, the shy Sharla, the obedient Bell, the prideful musician Menori and the young genius Shingo must fight for their survival. But is the planet really uninhabited, or is there someone or something out there, waiting in the shadows? (Source: Wikipedia)",[],Mujin Wakusei Survive,,,,,,
19,"Mermaid Forest TV, Ningyo no Mori TV, Rumic Theater: Mermaid Forest",高橋留美子劇場 人魚の森,Mermaid Forest,['TV'],11,Finished Airing,"Oct 5, 2003 to Dec 21, 2003",['Fall 2003'],Sundays at 00:55 (JST),['TV Tokyo'],['Geneon Entertainment USA'],['TMS Entertainment'],['Manga'],"['Drama', 'Fantasy', 'Horror', 'Mystery']",,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.02,#4316,#4349,"29,454",89,10002,"According to an ancient legend, mermaid's flesh can grant immortality if eaten. 500 years ago, Yuta unknowingly ate a piece of mermaid's flesh. For centuries, he travels across Japan, hoping to find a mermaid, thinking she may be able to make him a normal human again. When he finally finds one, he discovers that she and her companions have been raising a girl to be their food so they can eat her and take on her youthful looks. That is how mermaids stay young. Yuta kills the mermaids and rescues her, but she has already eaten some of the mermaid's flesh. Although he had to kill the mermaids, Yuta isn't too disappointed. Yuta's once lonely existence is now over, as he has found a companion in Mana. And Mana, who had been trapped in a small hut her whole life, finds delight in even the simplest of things. Together, Yuta and Mana attempt to seek out more mermaids, trying to become normal humans again. (Source: ANN)","['Sequel (Special) Takahashi Rumiko Gekijou Ningyo no Mori Specials', 'Adaptation (Manga) Ningyo Series']",Takahashi Rumiko Gekijou Ningyo no Mori,,Mermaid Forest,,Mermaid Forest,,
