,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Themes,Demographic,German,Genre,Demographics
10,Magical Soldier Louie,魔法戦士リウイ,Rune Soldier,Louie el Guerrero de las Runas,['TV'],24,Finished Airing,"Apr 3, 2001 to Sep 18, 2001",['Spring 2001'],Tuesdays at 18:30 (JST),"None found,",['ADV Films'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.14,#3690,#4771,"24,003",87,9800,"Louie, a brawny student at the mage's guild, is reluctantly accepted by three girls (Merrill-thief, Genie-fighter, and Melissa-priestess) as a companion for their adventuring party. As the foursome explore ruins, battle dark creatures, and make new friends, they also uncover a sinister plot within the kingdom. (Source: ANN)","['Adaptation (Manga) Mahou Senshi Louie: Kouen no Bastard', 'Adaptation (Light Novel) Mahou Senshi Louie']",Mahou Senshi Louie,Louie: Rune Soldier,,,Rune Soldier,,
11,,こみっくパーティー,Comic Party,,['TV'],13,Finished Airing,"Apr 2, 2001 to Jun 25, 2001",['Spring 2001'],Unknown,['KSS'],"['Nozomi Entertainment', 'Discotek Media']",['OLM'],Visual novel,"['Comedy', 'Drama']",['Otaku Culture'],24 min. per ep.,PG-13 - Teens 13 or older,6.56,#6698,#5020,"21,252",34,8589,"Destiny or delusion? It's a hilarious rollercoaster of laughter and confusion when Taishi, the ultimate otaku, drags his friend Kazuki into the swirling world of ambition, hatred, and love—the world of fan comics! Poor clueless Kazuki must sink or swim when he's dumped straight into the middle of a massive comic convention. Lost amidst hoards of buyers, sellers, and cosplayers, Kazuki is about to be baptized by fire, all in order to lead him toward his true calling: to take over the world through fan comics! Meanwhile, Kazuki's childhood friend Mizuki isn't about to let him be dragged from his normal life without a fight! But will she be able to stop the addictive draw of the new world that lies before Kazuki? Little by little, Kazuki is slipping down the path towards destiny—and Taishi is shoving him every step of the way! (Source: RightStuf)","['Sequel (OVA) Comic Party Revolution OVA', 'Sequel (TV) Comic Party Revolution', 'Adaptation (Manga) Comic Party', '']",Comic Party,,,,,,
12,ARMS,プロジェクトアームズ,Project ARMS,,['TV'],26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001",['Spring 2001'],Unknown,"None found,","['VIZ Media', 'Discotek Media']",['TMS Entertainment'],['Manga'],,,24 min. per ep.,R - 17+ (violence & profanity),6.92,#4753,#5637,"15,661",40,4240,"A boy gets involved in an accident when in kindergarten, horribly damaging his arm, but the doctors somehow manage to save it. Now, several years later, his arm seems to be becoming the focus of strange events as it turns out to be more than a normal arm. Meanwhile, a secret organization is out to get hold of him and the power he possess.","['Sequel (TV) Project ARMS: The 2nd Chapter', 'Adaptation (Manga) Arms']",Project ARMS,,"['Martial Arts', 'Super Power']",['Shounen'],,['Action'],
13,,ジーンシャフト,,,['TV'],13,Finished Airing,"Apr 5, 2001 to Jun 28, 2001",['Spring 2001'],Thursdays at 18:30 (JST),"['Bandai Visual', 'Dentsu']",['Bandai Entertainment'],"['Satelight', 'Studio Gazelle']",Original,"['Adventure', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.29,#8343,#5676,"15,420",15,5936,"In the 21st century mankind was on the brink of destruction. Through genetic engineering however they eradicated such feelings as love and the desire for power. Since women are naturally less agressive than men, women to man ratio was set to 9:1. Now people are engineered to have skills that others view as being necessary. There is a giant ring that now orbits the earth, that sits there and relays information back to an alien race that sent it. Now a team of five women will try to eradicate the alien threat. (Source: ANN)","['Adaptation (Manga) Lunashaft', '']",Geneshaft,,"['Mecha', 'Space']",,,,
14,Figure 17 - Tsubasa and Hikaru,フィギュア17 つばさ&ヒカル,,,['TV'],13,Finished Airing,"May 27, 2001 to May 26, 2002",['Spring 2001'],Not scheduled once per week,"['Bandai Visual', 'Genco', 'MediaNet']",['Media Blasters'],['OLM'],Original,"['Sci-Fi', 'Slice of Life']",,47 min. per ep.,PG-13 - Teens 13 or older,7.19,#3418,#5742,"15,062",85,3981,"Tsubasa Shiina is a 10-year-old girl who recently moved to Hokkaido to live with her father. In school, she is very quiet and unsociable with her classmates. Then one night, she witnesses a UFO crash in the forest near her home. She rushes to the scene and finds the pilot, codenamed ""D.D."", in a barely stable condition. Also in the scene is a Maguar, a hideous alien that hatched aboard D.D.'s ship. As the Maguar is close to taking Tsubasa's life, an alien lifeform fuses with her body to form the Riberus battle armor Figure 17, which shortly destroys the alien threat. The life form takes the name Hikaru and turns into an identical twin of Tsubasa. As time passes, Tsubasa becomes more open to everyone around her, thanks to her new twin sister Hikaru. However, with Maguar eggs scattered all over Hokkaido, their ability to form Figure 17 is needed to eliminate all hatched Maguars until backup from D.D.'s home planet arrives on Earth. (Source: ANN)","['Adaptation (Manga) Figure 17', '']",Figure 17: Tsubasa & Hikaru,Figure 17,,,,,
15,,スターオーシャンEX,Star Ocean EX,,['TV'],26,Finished Airing,"Apr 3, 2001 to Sep 25, 2001",['Spring 2001'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']","['Discotek Media', 'Geneon Entertainment USA']",['Studio Deen'],Game,"['Adventure', 'Fantasy', 'Sci-Fi']",,22 min. per ep.,PG-13 - Teens 13 or older,6.58,#6590,#5895,"13,993",30,6412,"Claude C. Kenni, a crewmember on the spaceship Calnus and son of the commander of the ship, is transported to Expel, a backwards planet with swords and magic. He teams up with Rena Lanford, who thinks he is the legendary Warrior of Light, and other characters to investigate the Sorcery Globe, a meteorite that has been causing problems all over the world. (Source: ANN)","['Adaptation (Manga) Star Ocean: The Second Story', '']",Star Ocean EX,,,['Shounen'],,,
16,"ZOE: Dolores, I, Z.O.E Dolores, I","Z.O.E Dolores,i",Zone of the Enders: Dolores,,['TV'],26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001",['Spring 2001'],Saturdays at 02:30 (JST),"['VAP', 'AT-X', 'TV Tokyo Music']",['ADV Films'],['Sunrise'],Game,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.92,#4726,#6003,"13,395",37,4519,"49-year-old James Lynx was an officer (LEV pilot) in the United Nations global army, one day he received notification that his wife—a Martian scientist—was killed during a lab experiment. Hateful and resentful for letting her go, his children blamed him and cast him aside, depressed and in despair, James quit the military and took up a job as a transporter between Earth and Mars, he had some slight hope of his wife still being alive and to find her he wanted to be out there. After a few years, he seemed to have given up all hope and turned to drinking, until one day he receives an orbital frame by the name of ""Dolores,"" sent by his dead wife. Once again, he dares to hope and sets off on a wild and wacky adventure to find the truth and to reunite his family. (Source: AniDB)","['Prequel (OVA) Zone of the Enders: 2167 Idolo', '']","Zone of the Enders: Dolores, I",,"['Mecha', 'Military', 'Space']",,,,
17,Koutetsu Tenshi Kurumi 2 shiki,鋼鉄天使くるみ2式,Steel Angel Kurumi 2,,['TV'],12,Finished Airing,"Apr 12, 2001 to Jun 28, 2001",['Spring 2001'],Unknown,"['m.o.e.', 'Pony Canyon']",['ADV Films'],['OLM'],Original,"['Comedy', 'Girls Love', 'Sci-Fi']",['Mecha'],15 min. per ep.,R+ - Mild Nudity,6.27,#8446,#6077,"12,917",13,5867,"Taking place 75 years after the first series, Steel Angel Kurumi 2 brings the Steel Angels in a new mis-adventure. High school student and aspiring cellist Nako Kagura accidentally discovers and kisses Kurumi Mk. II at her home, thus making her Kurumi's master. But things go awry as Nako's best friend Uruka gets jealous and tries anything - including her father's army of top-secret mecha - to destroy Kurumi and win back Nako. Things get more out of control when Saki Mk. II is awakened by Uruka, and Karinka Mk. II joins in to steal Nako away from Kurumi. (Source: ANN)","['Prequel (TV) Koutetsu Tenshi Kurumi', 'Sequel (OVA) Koutetsu Tenshi Kurumi Zero']",Koutetsu Tenshi Kurumi 2,,,,,,
18,"Taiho Shichauzo: Second Season, Taiho Shichau zo 2nd Season, You're Under Arrest: Second Season",逮捕しちゃうぞ SECOND SEASON,You're Under Arrest: Fast & Furious,,['TV'],26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001",['Spring 2001'],Unknown,['Kodansha'],['Sentai Filmworks'],['Studio Deen'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.37,#2478,#6212,"12,271",12,4735,"AA! Megami Sama creator, Kosuke Fujishima, is back with the second season of Taiho Schihauzo (You're Under Arrest). Same characters, two policewomen, the gentle Miyuki and the wild Natsumi teamed up together in Bokuto police station`s traffic division. Other characters including Kenichi, the motorcycle cop who has a feeling for Miyuki; Yoriko with her gossip and Aoi, a transvestite. They all ready to take on harmless criminals and costumed weirdos... You think you can have a better police station? (Source: AniDB)","['Prequel (OVA) Taiho Shichau zo', 'Prequel (TV) Taiho Shichau zo (TV)', 'Prequel (TV) Taiho Shichau zo Special', 'Prequel (TV Special) Taiho Shichau zo: Nagisa no Koutsuu Yuudou']",Taiho Shichau zo: Second Season,,"['Adult Cast', 'Detective', 'Workplace']",['Seinen'],,,
19,Shen Diao Xia Lu,神鵰侠侶 コンドルヒーロー,Legend of the Condor Hero,,['TV'],26,Finished Airing,"Apr 11, 2001 to Oct 28, 2002",['Spring 2001'],Unknown,['Jade Animation'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Romance']",['Historical'],24 min. per ep.,PG-13 - Teens 13 or older,7.29,#2884,#6905,"9,516",38,2863,"Youka is a young 13-year-old boy. One day, his Uncle, Kakusei, has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated, Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman, by the name of Shouryuujo. After a short time, Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her, and thus begins their adventure through martial arts and love. (Source: ANN)","['Sequel (TV) Shin Chou Kyou Ryo: Condor Hero II', '']",Shin Chou Kyou Ryo: Condor Hero,,,,,,
